"Confirmed fragments if intensity is above 1000 and number of scans is greater than or equal to 1","PC","[M+H]+","MH-PC","PC Head","RT_min","RT_max","Comment","RT at Max Intensity","PC","[M+H]+","MH-PC","PC Head","RT_min","RT_max","Comment","Number of Scans","PC","[M+H]+","MH-PC","PC Head","RT_min","RT_max","Comment","Max Intensity","PC","[M+H]+","MH-PC","PC Head","RT_min","RT_max","Comment","Average m/z","PC","[M+H]+","MH-PC","PC Head","RT_min","RT_max","Comment","Theoretical, Library Parent Hits","PC","[M+H]+","MH-PC","PC Head","RT_min","RT_max","Comment"
"","PC(32:0)+H","1","1","1","7.05414444444444","7.35414444444444","9118","","PC(32:0)+H"," 7.332081"," 7.332081"," 7.332081","7.05414444444444","7.35414444444444","9118","","PC(32:0)+H","1","1","1","7.05414444444444","7.35414444444444","9118","","PC(32:0)+H"," 1701472.000","  12533.1400","1.591440e+07","7.05414444444444","7.35414444444444","9118","","PC(32:0)+H","734.5693","551.5036","184.0732","7.05414444444444","7.35414444444444","9118","","PC(32:0)+H","734.56944","551.5034","184.07332","7.05414444444444","7.35414444444444","9118"
"","PC(32:0)+H","1","1","1","7.05408472222222","7.35408472222222","12681","","PC(32:0)+H"," 7.332081"," 7.332081"," 7.332081","7.05408472222222","7.35408472222222","12681","","PC(32:0)+H","1","1","1","7.05408472222222","7.35408472222222","12681","","PC(32:0)+H"," 1701472.000","  12533.1400","1.591440e+07","7.05408472222222","7.35408472222222","12681","","PC(32:0)+H","734.5693","551.5036","184.0732","7.05408472222222","7.35408472222222","12681","","PC(32:0)+H","734.56944","551.5034","184.07332","7.05408472222222","7.35408472222222","12681"
"","PC(32:1)+H","1","1","1","6.12905972222222","6.42905972222222","86","","PC(32:1)+H"," 6.312529"," 6.312529"," 6.312529","6.12905972222222","6.42905972222222","86","","PC(32:1)+H","2","2","2","6.12905972222222","6.42905972222222","86","","PC(32:1)+H"," 3831567.000","  17341.4700","3.951542e+07","6.12905972222222","6.42905972222222","86","","PC(32:1)+H","732.5542","549.4881","184.0734","6.12905972222222","6.42905972222222","86","","PC(32:1)+H","732.55384","549.4878","184.07332","6.12905972222222","6.42905972222222","86"
"","PC(32:1)+H","1","0","1","6.504625","6.804625","1076","","PC(32:1)+H"," 6.566255"," 6.566255"," 6.566255","6.504625","6.804625","1076","","PC(32:1)+H","2","1","2","6.504625","6.804625","1076","","PC(32:1)+H","  130463.900","    629.9045","1.082183e+06","6.504625","6.804625","1076","","PC(32:1)+H","732.5551","549.4896","184.0736","6.504625","6.804625","1076","","PC(32:1)+H","732.55384","549.4878","184.07332","6.504625","6.804625","1076"
"","PC(32:1)+H","1","0","1","6.50722222222222","6.80722222222222","17141","","PC(32:1)+H"," 6.566255"," 6.566255"," 6.566255","6.50722222222222","6.80722222222222","17141","","PC(32:1)+H","2","1","2","6.50722222222222","6.80722222222222","17141","","PC(32:1)+H","  130463.900","    629.9045","1.082183e+06","6.50722222222222","6.80722222222222","17141","","PC(32:1)+H","732.5551","549.4896","184.0736","6.50722222222222","6.80722222222222","17141","","PC(32:1)+H","732.55384","549.4878","184.07332","6.50722222222222","6.80722222222222","17141"
"","PC(32:2)+H","1","1","1","5.11436666666667","5.41436666666667","115","","PC(32:2)+H"," 5.306864"," 5.306864"," 5.306864","5.11436666666667","5.41436666666667","115","","PC(32:2)+H","1","1","1","5.11436666666667","5.41436666666667","115","","PC(32:2)+H"," 2756709.000","  17475.9600","2.539447e+07","5.11436666666667","5.41436666666667","115","","PC(32:2)+H","730.5391","547.4727","184.0735","5.11436666666667","5.41436666666667","115","","PC(32:2)+H","730.53814","547.4721","184.07332","5.11436666666667","5.41436666666667","115"
"","PC(33:0)+H","1","1","1","7.62339444444445","7.92339444444445","674","","PC(33:0)+H"," 7.805631"," 7.805631"," 7.805631","7.62339444444445","7.92339444444445","674","","PC(33:0)+H","1","1","1","7.62339444444445","7.92339444444445","674","","PC(33:0)+H","  335252.600","   1339.7660","2.268558e+06","7.62339444444445","7.92339444444445","674","","PC(33:0)+H","748.5861","565.5198","184.0736","7.62339444444445","7.92339444444445","674","","PC(33:0)+H","748.58514","565.5191","184.07332","7.62339444444445","7.92339444444445","674"
"","PC(33:1)+H","1","1","1","6.74571388888889","7.04571388888889","181","","PC(33:1)+H"," 6.918066"," 6.918066"," 6.918066","6.74571388888889","7.04571388888889","181","","PC(33:1)+H","1","1","1","6.74571388888889","7.04571388888889","181","","PC(33:1)+H"," 1807902.000","   9929.6550","1.522369e+07","6.74571388888889","7.04571388888889","181","","PC(33:1)+H","746.5698","563.5044","184.0734","6.74571388888889","7.04571388888889","181","","PC(33:1)+H","746.56954","563.5035","184.07332","6.74571388888889","7.04571388888889","181"
"","PC(33:1)+H","1","0","1","8.71344583333333","9.01344583333333","707","","PC(33:1)+H"," 8.923824"," 0.000000"," 8.923824","8.71344583333333","9.01344583333333","707","","PC(33:1)+H","1","0","1","8.71344583333333","9.01344583333333","707","","PC(33:1)+H","    3548.037","      0.0000","3.344468e+04","8.71344583333333","9.01344583333333","707","","PC(33:1)+H","746.5717","  0.0000","184.0739","8.71344583333333","9.01344583333333","707","","PC(33:1)+H","746.56954","563.5035","184.07332","8.71344583333333","9.01344583333333","707"
"","PC(33:1)+H","0","0","1","12.741253030303","13.041253030303","3250","","PC(33:1)+H"," 0.000000"," 0.000000","12.891740","12.741253030303","13.041253030303","3250","","PC(33:1)+H","0","0","1","12.741253030303","13.041253030303","3250","","PC(33:1)+H","       0.000","      0.0000","2.256579e+03","12.741253030303","13.041253030303","3250","","PC(33:1)+H","  0.0000","  0.0000","184.0739","12.741253030303","13.041253030303","3250","","PC(33:1)+H","746.56954","563.5035","184.07332","12.741253030303","13.041253030303","3250"
