"Confirmed fragments if intensity is above 1000 and number of scans is greater than or equal to 1","PC","[M+H]+","MH-PC","PC Head","RT_min","RT_max","Comment","RT at Max Intensity","PC","[M+H]+","MH-PC","PC Head","RT_min","RT_max","Comment","Number of Scans","PC","[M+H]+","MH-PC","PC Head","RT_min","RT_max","Comment","Max Intensity","PC","[M+H]+","MH-PC","PC Head","RT_min","RT_max","Comment","Average m/z","PC","[M+H]+","MH-PC","PC Head","RT_min","RT_max","Comment","Theoretical, Library Parent Hits","PC","[M+H]+","MH-PC","PC Head","RT_min","RT_max","Comment"
"","PC(35:2)+H","1","1","1","6.99751944444444","7.29751944444444","89","","PC(35:2)+H"," 7.102481"," 7.102481"," 7.102481","6.99751944444444","7.29751944444444","89","","PC(35:2)+H","2","2","2","6.99751944444444","7.29751944444444","89","","PC(35:2)+H"," 2004370.000","  18919.9400","2.046416e+07","6.99751944444444","7.29751944444444","89","","PC(35:2)+H","772.5854","589.5195","184.0734","6.99751944444444","7.29751944444444","89","","PC(35:2)+H","772.58514","589.5191","184.07332","6.99751944444444","7.29751944444444","89"
"","PC(35:2)+H","1","1","1","6.80782777777778","7.10782777777778","143","","PC(35:2)+H"," 6.979968"," 6.979968"," 6.979968","6.80782777777778","7.10782777777778","143","","PC(35:2)+H","2","2","2","6.80782777777778","7.10782777777778","143","","PC(35:2)+H"," 2258199.000","  20067.7600","2.259026e+07","6.80782777777778","7.10782777777778","143","","PC(35:2)+H","772.5851","589.5190","184.0733","6.80782777777778","7.10782777777778","143","","PC(35:2)+H","772.58514","589.5191","184.07332","6.80782777777778","7.10782777777778","143"
"","PC(35:2)+H","0","0","1","8.86654722222222","9.16654722222222","14628","","PC(35:2)+H"," 0.000000"," 0.000000"," 9.050057","8.86654722222222","9.16654722222222","14628","","PC(35:2)+H","0","0","1","8.86654722222222","9.16654722222222","14628","","PC(35:2)+H","       0.000","      0.0000","1.662145e+06","8.86654722222222","9.16654722222222","14628","","PC(35:2)+H","  0.0000","  0.0000","184.0739","8.86654722222222","9.16654722222222","14628","","PC(35:2)+H","772.58514","589.5191","184.07332","8.86654722222222","9.16654722222222","14628"
"","PC(35:3)+H","1","1","1","6.08608472222222","6.38608472222222","402","","PC(35:3)+H"," 6.256794"," 6.256794"," 6.256794","6.08608472222222","6.38608472222222","402","","PC(35:3)+H","2","1","2","6.08608472222222","6.38608472222222","402","","PC(35:3)+H","  685172.000","   3923.3190","5.334090e+06","6.08608472222222","6.38608472222222","402","","PC(35:3)+H","770.5702","587.5026","184.0736","6.08608472222222","6.38608472222222","402","","PC(35:3)+H","770.56954","587.5035","184.07332","6.08608472222222","6.38608472222222","402"
"","PC(35:3)+H","1","1","1","5.87367083333333","6.17367083333333","501","","PC(35:3)+H"," 6.000633"," 6.000633"," 6.000633","5.87367083333333","6.17367083333333","501","","PC(35:3)+H","2","1","2","5.87367083333333","6.17367083333333","501","","PC(35:3)+H","  397629.000","   3288.3170","3.095911e+06","5.87367083333333","6.17367083333333","501","","PC(35:3)+H","770.5707","587.5040","184.0736","5.87367083333333","6.17367083333333","501","","PC(35:3)+H","770.56954","587.5035","184.07332","5.87367083333333","6.17367083333333","501"
"","PC(35:3)+H","0","0","1","8.126675","8.426675","963","","PC(35:3)+H"," 0.000000"," 0.000000"," 8.274826","8.126675","8.426675","963","","PC(35:3)+H","0","0","1","8.126675","8.426675","963","","PC(35:3)+H","       0.000","      0.0000","3.977707e+06","8.126675","8.426675","963","","PC(35:3)+H","  0.0000","  0.0000","184.0735","8.126675","8.426675","963","","PC(35:3)+H","770.56954","587.5035","184.07332","8.126675","8.426675","963"
"","PC(35:4)+H","1","1","1","5.57732083333333","5.87732083333333","296","","PC(35:4)+H"," 5.796961"," 5.796961"," 5.796961","5.57732083333333","5.87732083333333","296","","PC(35:4)+H","2","1","2","5.57732083333333","5.87732083333333","296","","PC(35:4)+H","  545673.800","   1160.5270","4.183173e+06","5.57732083333333","5.87732083333333","296","","PC(35:4)+H","768.5553","585.4901","184.0737","5.57732083333333","5.87732083333333","296","","PC(35:4)+H","768.55384","585.4878","184.07332","5.57732083333333","5.87732083333333","296"
"","PC(35:4)+H","1","0","1","7.66248611111111","7.96248611111111","9089","","PC(35:4)+H"," 7.779676"," 0.000000"," 7.779676","7.66248611111111","7.96248611111111","9089","","PC(35:4)+H","1","0","1","7.66248611111111","7.96248611111111","9089","","PC(35:4)+H","   29444.280","      0.0000","2.055243e+05","7.66248611111111","7.96248611111111","9089","","PC(35:4)+H","768.5544","  0.0000","184.0736","7.66248611111111","7.96248611111111","9089","","PC(35:4)+H","768.55384","585.4878","184.07332","7.66248611111111","7.96248611111111","9089"
"","PC(35:5)+H","0","0","1","6.54070694444444","6.84070694444444","730","","PC(35:5)+H"," 0.000000"," 0.000000"," 6.735215","6.54070694444444","6.84070694444444","730","","PC(35:5)+H","0","0","2","6.54070694444444","6.84070694444444","730","","PC(35:5)+H","       0.000","      0.0000","4.303559e+06","6.54070694444444","6.84070694444444","730","","PC(35:5)+H","  0.0000","  0.0000","184.0736","6.54070694444444","6.84070694444444","730","","PC(35:5)+H","766.53824","583.4722","184.07332","6.54070694444444","6.84070694444444","730"
"","PC(35:5)+H","0","0","1","6.90980694444444","7.20980694444444","1245","","PC(35:5)+H"," 0.000000"," 0.000000"," 7.014940","6.90980694444444","7.20980694444444","1245","","PC(35:5)+H","0","0","1","6.90980694444444","7.20980694444444","1245","","PC(35:5)+H","       0.000","      0.0000","3.995667e+06","6.90980694444444","7.20980694444444","1245","","PC(35:5)+H","  0.0000","  0.0000","184.0735","6.90980694444444","7.20980694444444","1245","","PC(35:5)+H","766.53824","583.4722","184.07332","6.90980694444444","7.20980694444444","1245"
"","PC(35:5)+H","1","0","1","4.70570694444444","5.00570694444444","9188","","PC(35:5)+H"," 4.878976"," 0.000000"," 4.878976","4.70570694444444","5.00570694444444","9188","","PC(35:5)+H","1","0","1","4.70570694444444","5.00570694444444","9188","","PC(35:5)+H","   51995.890","      0.0000","4.010059e+05","4.70570694444444","5.00570694444444","9188","","PC(35:5)+H","766.5398","  0.0000","184.0738","4.70570694444444","5.00570694444444","9188","","PC(35:5)+H","766.53824","583.4722","184.07332","4.70570694444444","5.00570694444444","9188"
"","PC(35:6)+H","1","0","1","6.12905972222222","6.42905972222222","491","","PC(35:6)+H"," 6.261979"," 0.000000"," 6.261979","6.12905972222222","6.42905972222222","491","","PC(35:6)+H","2","0","2","6.12905972222222","6.42905972222222","491","","PC(35:6)+H","   20059.700","      0.0000","1.179841e+05","6.12905972222222","6.42905972222222","491","","PC(35:6)+H","764.5236","  0.0000","184.0736","6.12905972222222","6.42905972222222","491","","PC(35:6)+H","764.52254","581.4565","184.07332","6.12905972222222","6.42905972222222","491"
"","PC(35:6)+H","0","0","1","11.8072236111111","12.1072236111111","2283","","PC(35:6)+H"," 0.000000"," 0.000000","12.050770","11.8072236111111","12.1072236111111","2283","","PC(35:6)+H","0","0","1","11.8072236111111","12.1072236111111","2283","","PC(35:6)+H","       0.000","      0.0000","3.968387e+03","11.8072236111111","12.1072236111111","2283","","PC(35:6)+H","  0.0000","  0.0000","184.0739","11.8072236111111","12.1072236111111","2283","","PC(35:6)+H","764.52254","581.4565","184.07332","11.8072236111111","12.1072236111111","2283"
"","PC(36:0)+H","1","1","1","9.41335833333333","9.71335833333333","437","","PC(36:0)+H"," 9.531310"," 9.531310"," 9.531310","9.41335833333333","9.71335833333333","437","","PC(36:0)+H","2","1","2","9.41335833333333","9.71335833333333","437","","PC(36:0)+H","  390063.400","   2721.0380","3.474659e+06","9.41335833333333","9.71335833333333","437","","PC(36:0)+H","790.6327","607.5664","184.0736","9.41335833333333","9.71335833333333","437","","PC(36:0)+H","790.63204","607.566","184.07332","9.41335833333333","9.71335833333333","437"
"","PC(36:1)+H","1","1","1","8.4482125","8.7482125","31","","PC(36:1)+H"," 8.585182"," 8.585182"," 8.585182","8.4482125","8.7482125","31","","PC(36:1)+H","3","3","3","8.4482125","8.7482125","31","","PC(36:1)+H","11980960.000","  76070.5600","1.255972e+08","8.4482125","8.7482125","31","","PC(36:1)+H","788.6160","605.5503","184.0733","8.4482125","8.7482125","31","","PC(36:1)+H","788.61644","605.5504","184.07332","8.4482125","8.7482125","31"
"","PC(36:2)+H","1","1","1","7.57646666666667","7.87646666666667","2","","PC(36:2)+H"," 7.758957"," 7.758957"," 7.758957","7.57646666666667","7.87646666666667","2","","PC(36:2)+H","2","2","2","7.57646666666667","7.87646666666667","2","","PC(36:2)+H","70751260.000"," 471258.1000","7.131857e+08","7.57646666666667","7.87646666666667","2","","PC(36:2)+H","786.6001","603.5344","184.0731","7.57646666666667","7.87646666666667","2","","PC(36:2)+H","786.60074","603.5347","184.07332","7.57646666666667","7.87646666666667","2"
"","PC(36:3)+H","1","1","1","6.70160416666667","7.00160416666667","10","","PC(36:3)+H"," 6.876792"," 6.876792"," 6.876792","6.70160416666667","7.00160416666667","10","","PC(36:3)+H","3","3","3","6.70160416666667","7.00160416666667","10","","PC(36:3)+H","38120540.000"," 200115.1000","3.865543e+08","6.70160416666667","7.00160416666667","10","","PC(36:3)+H","784.5846","601.5190","184.0731","6.70160416666667","7.00160416666667","10","","PC(36:3)+H","784.58514","601.5191","184.07332","6.70160416666667","7.00160416666667","10"
"","PC(36:3)+H","1","1","1","6.49417777777778","6.79417777777778","20","","PC(36:3)+H"," 6.622591"," 6.622591"," 6.622591","6.49417777777778","6.79417777777778","20","","PC(36:3)+H","2","2","2","6.49417777777778","6.79417777777778","20","","PC(36:3)+H","17610440.000"," 106454.7000","1.992298e+08","6.49417777777778","6.79417777777778","20","","PC(36:3)+H","784.5847","601.5193","184.0731","6.49417777777778","6.79417777777778","20","","PC(36:3)+H","784.58514","601.5191","184.07332","6.49417777777778","6.79417777777778","20"
"","PC(36:4)+H","1","1","1","6.19623055555556","6.49623055555556","3","","PC(36:4)+H"," 6.377342"," 6.377342"," 6.377342","6.19623055555556","6.49623055555556","3","","PC(36:4)+H","2","2","2","6.19623055555556","6.49623055555556","3","","PC(36:4)+H","51438020.000"," 191077.8000","6.006899e+08","6.19623055555556","6.49623055555556","3","","PC(36:4)+H","782.5691","599.5035","184.0732","6.19623055555556","6.49623055555556","3","","PC(36:4)+H","782.56944","599.5034","184.07332","6.19623055555556","6.49623055555556","3"
"","PC(36:4)+H","1","1","1","5.52218333333333","5.82218333333333","43","","PC(36:4)+H"," 5.727679"," 5.727679"," 5.727679","5.52218333333333","5.82218333333333","43","","PC(36:4)+H","1","1","1","5.52218333333333","5.82218333333333","43","","PC(36:4)+H"," 8179768.000","  45371.7700","7.778674e+07","5.52218333333333","5.82218333333333","43","","PC(36:4)+H","782.5690","599.5037","184.0732","5.52218333333333","5.82218333333333","43","","PC(36:4)+H","782.56944","599.5034","184.07332","5.52218333333333","5.82218333333333","43"
"","PC(36:4)+H","1","1","1","5.86516388888889","6.16516388888889","12643","","PC(36:4)+H"," 5.995445"," 5.995445"," 5.995445","5.86516388888889","6.16516388888889","12643","","PC(36:4)+H","2","2","2","5.86516388888889","6.16516388888889","12643","","PC(36:4)+H"," 1579572.000","  12466.1700","1.703740e+07","5.86516388888889","6.16516388888889","12643","","PC(36:4)+H","782.5701","599.5045","184.0734","5.86516388888889","6.16516388888889","12643","","PC(36:4)+H","782.56944","599.5034","184.07332","5.86516388888889","6.16516388888889","12643"
"","PC(36:5)+H","1","1","1","5.37506805555555","5.67506805555555","64","","PC(36:5)+H"," 5.598378"," 5.461682"," 5.461682","5.37506805555555","5.67506805555555","64","","PC(36:5)+H","2","2","2","5.37506805555555","5.67506805555555","64","","PC(36:5)+H"," 2547703.000","   8344.0750","2.733842e+07","5.37506805555555","5.67506805555555","64","","PC(36:5)+H","780.5538","597.4896","184.0733","5.37506805555555","5.67506805555555","64","","PC(36:5)+H","780.55384","597.4878","184.07332","5.37506805555555","5.67506805555555","64"
"","PC(36:5)+H","1","1","1","5.00485151515152","5.30485151515152","125","","PC(36:5)+H"," 5.199954"," 5.199954"," 5.199954","5.00485151515152","5.30485151515152","125","","PC(36:5)+H","2","2","2","5.00485151515152","5.30485151515152","125","","PC(36:5)+H"," 2002326.000","  11692.0200","2.242220e+07","5.00485151515152","5.30485151515152","125","","PC(36:5)+H","780.5555","597.4897","184.0737","5.00485151515152","5.30485151515152","125","","PC(36:5)+H","780.55384","597.4878","184.07332","5.00485151515152","5.30485151515152","125"
"","PC(36:5)+H","1","1","1","4.58952361111111","4.88952361111111","545","","PC(36:5)+H"," 4.786699"," 4.786699"," 4.786699","4.58952361111111","4.88952361111111","545","","PC(36:5)+H","1","1","1","4.58952361111111","4.88952361111111","545","","PC(36:5)+H","  263594.200","   1474.0470","2.180410e+06","4.58952361111111","4.88952361111111","545","","PC(36:5)+H","780.5553","597.4891","184.0737","4.58952361111111","4.88952361111111","545","","PC(36:5)+H","780.55384","597.4878","184.07332","4.58952361111111","4.88952361111111","545"
"","PC(36:5)+H","1","1","1","6.47969027777778","6.77969027777778","601","","PC(36:5)+H"," 6.484857"," 6.484857"," 6.484857","6.47969027777778","6.77969027777778","601","","PC(36:5)+H","2","2","2","6.47969027777778","6.77969027777778","601","","PC(36:5)+H","  754364.400"," 519956.8000","4.382589e+05","6.47969027777778","6.77969027777778","601","","PC(36:5)+H","780.5527","597.4864","184.0736","6.47969027777778","6.77969027777778","601","","PC(36:5)+H","780.55384","597.4878","184.07332","6.47969027777778","6.77969027777778","601"
"","PC(36:5)+H","1","1","1","5.02155","5.32155","12641","","PC(36:5)+H"," 5.199954"," 5.199954"," 5.199954","5.02155","5.32155","12641","","PC(36:5)+H","2","2","2","5.02155","5.32155","12641","","PC(36:5)+H"," 2002326.000","  11692.0200","2.242220e+07","5.02155","5.32155","12641","","PC(36:5)+H","780.5555","597.4897","184.0737","5.02155","5.32155","12641","","PC(36:5)+H","780.55384","597.4878","184.07332","5.02155","5.32155","12641"
"","PC(36:6)+H","1","1","1","5.54003333333333","5.84003333333333","1161","","PC(36:6)+H"," 5.613944"," 5.613944"," 5.613944","5.54003333333333","5.84003333333333","1161","","PC(36:6)+H","1","1","1","5.54003333333333","5.84003333333333","1161","","PC(36:6)+H","  246907.000"," 160374.0000","2.238716e+04","5.54003333333333","5.84003333333333","1161","","PC(36:6)+H","778.5369","595.4708","184.0737","5.54003333333333","5.84003333333333","1161","","PC(36:6)+H","778.53814","595.4721","184.07332","5.54003333333333","5.84003333333333","1161"
"","PC(36:6)+H","1","0","1","4.11489305555556","4.41489305555556","1706","","PC(36:6)+H"," 4.268749"," 0.000000"," 4.268749","4.11489305555556","4.41489305555556","1706","","PC(36:6)+H","1","0","1","4.11489305555556","4.41489305555556","1706","","PC(36:6)+H","   68975.300","      0.0000","6.352059e+05","4.11489305555556","4.41489305555556","1706","","PC(36:6)+H","778.5392","  0.0000","184.0736","4.11489305555556","4.41489305555556","1706","","PC(36:6)+H","778.53814","595.4721","184.07332","4.11489305555556","4.41489305555556","1706"
"","PC(36:6)+H","1","1","1","5.25342916666667","5.55342916666667","9112","","PC(36:6)+H"," 5.414547"," 5.414547"," 5.414547","5.25342916666667","5.55342916666667","9112","","PC(36:6)+H","1","1","1","5.25342916666667","5.55342916666667","9112","","PC(36:6)+H","  421282.000"," 303083.3000","2.395744e+04","5.25342916666667","5.55342916666667","9112","","PC(36:6)+H","778.5378","595.4715","184.0739","5.25342916666667","5.55342916666667","9112","","PC(36:6)+H","778.53814","595.4721","184.07332","5.25342916666667","5.55342916666667","9112"
"","PC(36:6)+H","1","1","1","5.25342916666667","5.55342916666667","12669","","PC(36:6)+H"," 5.414547"," 5.414547"," 5.414547","5.25342916666667","5.55342916666667","12669","","PC(36:6)+H","1","1","1","5.25342916666667","5.55342916666667","12669","","PC(36:6)+H","  421282.000"," 303083.3000","2.395744e+04","5.25342916666667","5.55342916666667","12669","","PC(36:6)+H","778.5378","595.4715","184.0739","5.25342916666667","5.55342916666667","12669","","PC(36:6)+H","778.53814","595.4721","184.07332","5.25342916666667","5.55342916666667","12669"
"","PC(36:7)+H","1","1","1","4.9153","5.2153","502","","PC(36:7)+H"," 5.073851"," 5.073851"," 5.073851","4.9153","5.2153","502","","PC(36:7)+H","1","1","1","4.9153","5.2153","502","","PC(36:7)+H","  910724.300"," 951096.5000","1.514376e+05","4.9153","5.2153","502","","PC(36:7)+H","776.5220","593.4557","184.0739","4.9153","5.2153","502","","PC(36:7)+H","776.52254","593.4565","184.07332","4.9153","5.2153","502"
"","PC(37:1)+H","1","0","1","8.95680138888889","9.25680138888889","1197","","PC(37:1)+H"," 9.086959"," 0.000000"," 9.086959","8.95680138888889","9.25680138888889","1197","","PC(37:1)+H","1","0","1","8.95680138888889","9.25680138888889","1197","","PC(37:1)+H","  122088.000","      0.0000","9.347793e+05","8.95680138888889","9.25680138888889","1197","","PC(37:1)+H","802.6320","  0.0000","184.0733","8.95680138888889","9.25680138888889","1197","","PC(37:1)+H","802.63214","619.5661","184.07332","8.95680138888889","9.25680138888889","1197"
"","PC(37:2)+H","1","1","1","8.13221388888889","8.43221388888889","301","","PC(37:2)+H"," 8.306120"," 8.306120"," 8.306120","8.13221388888889","8.43221388888889","301","","PC(37:2)+H","2","2","2","8.13221388888889","8.43221388888889","301","","PC(37:2)+H","  778024.400","   1677.8160","6.288579e+06","8.13221388888889","8.43221388888889","301","","PC(37:2)+H","800.6164","617.5503","184.0735","8.13221388888889","8.43221388888889","301","","PC(37:2)+H","800.61644","617.5504","184.07332","8.13221388888889","8.43221388888889","301"
"","PC(37:2)+H","1","1","1","7.92857222222222","8.22857222222222","17797","","PC(37:2)+H"," 8.161917"," 8.161917"," 8.161917","7.92857222222222","8.22857222222222","17797","","PC(37:2)+H","1","1","1","7.92857222222222","8.22857222222222","17797","","PC(37:2)+H","  192656.700","   1424.1420","1.612863e+06","7.92857222222222","8.22857222222222","17797","","PC(37:2)+H","800.6161","617.5500","184.0735","7.92857222222222","8.22857222222222","17797","","PC(37:2)+H","800.61644","617.5504","184.07332","7.92857222222222","8.22857222222222","17797"
"","PC(37:3)+H","1","1","1","7.2798","7.5798","344","","PC(37:3)+H"," 7.424463"," 7.424463"," 7.424463","7.2798","7.5798","344","","PC(37:3)+H","2","2","2","7.2798","7.5798","344","","PC(37:3)+H","  731011.200","   3542.0540","6.648742e+06","7.2798","7.5798","344","","PC(37:3)+H","798.6014","615.5344","184.0736","7.2798","7.5798","344","","PC(37:3)+H","798.60084","615.5348","184.07332","7.2798","7.5798","344"
"","PC(37:3)+H","1","1","1","7.09015833333333","7.39015833333333","353","","PC(37:3)+H"," 7.300851"," 7.149203"," 7.300851","7.09015833333333","7.39015833333333","353","","PC(37:3)+H","2","2","2","7.09015833333333","7.39015833333333","353","","PC(37:3)+H","  512799.400","   2592.1630","3.730293e+06","7.09015833333333","7.39015833333333","353","","PC(37:3)+H","798.6013","615.5350","184.0736","7.09015833333333","7.39015833333333","353","","PC(37:3)+H","798.60084","615.5348","184.07332","7.09015833333333","7.39015833333333","353"
"","PC(37:4)+H","1","1","1","6.80782777777778","7.10782777777778","154","","PC(37:4)+H"," 6.969626"," 6.969626"," 6.969626","6.80782777777778","7.10782777777778","154","","PC(37:4)+H","2","2","2","6.80782777777778","7.10782777777778","154","","PC(37:4)+H"," 1819422.000","   6499.8620","1.976401e+07","6.80782777777778","7.10782777777778","154","","PC(37:4)+H","796.5858","613.5194","184.0735","6.80782777777778","7.10782777777778","154","","PC(37:4)+H","796.58514","613.5191","184.07332","6.80782777777778","7.10782777777778","154"
"","PC(37:4)+H","1","1","1","6.61006388888889","6.91006388888889","248","","PC(37:4)+H"," 6.709229"," 6.709229"," 6.709229","6.61006388888889","6.91006388888889","248","","PC(37:4)+H","2","2","2","6.61006388888889","6.91006388888889","248","","PC(37:4)+H","  471735.300","   1355.2690","4.402414e+06","6.61006388888889","6.91006388888889","248","","PC(37:4)+H","796.5861","613.5200","184.0736","6.61006388888889","6.91006388888889","248","","PC(37:4)+H","796.58514","613.5191","184.07332","6.61006388888889","6.91006388888889","248"
"","PC(37:4)+H","0","0","1","7.38762638888889","7.68762638888889","2203","","PC(37:4)+H"," 0.000000"," 0.000000"," 7.587090","7.38762638888889","7.68762638888889","2203","","PC(37:4)+H","0","0","1","7.38762638888889","7.68762638888889","2203","","PC(37:4)+H","       0.000","      0.0000","5.304493e+06","7.38762638888889","7.68762638888889","2203","","PC(37:4)+H","  0.0000","  0.0000","184.0735","7.38762638888889","7.68762638888889","2203","","PC(37:4)+H","796.58514","613.5191","184.07332","7.38762638888889","7.68762638888889","2203"
"","PC(37:4)+H","0","1","1","8.43268888888889","8.73268888888889","2577","","PC(37:4)+H"," 0.000000"," 8.444125"," 8.444125","8.43268888888889","8.73268888888889","2577","","PC(37:4)+H","0","1","2","8.43268888888889","8.73268888888889","2577","","PC(37:4)+H","       0.000","   3001.2690","3.318130e+06","8.43268888888889","8.73268888888889","2577","","PC(37:4)+H","  0.0000","613.5170","184.0736","8.43268888888889","8.73268888888889","2577","","PC(37:4)+H","796.58514","613.5191","184.07332","8.43268888888889","8.73268888888889","2577"
"","PC(37:5)+H","1","0","1","5.66719861111111","5.96719861111111","682","","PC(37:5)+H"," 5.786267"," 0.000000"," 5.786267","5.66719861111111","5.96719861111111","682","","PC(37:5)+H","2","0","2","5.66719861111111","5.96719861111111","682","","PC(37:5)+H","  226959.300","      0.0000","1.972367e+06","5.66719861111111","5.96719861111111","682","","PC(37:5)+H","794.5701","  0.0000","184.0735","5.66719861111111","5.96719861111111","682","","PC(37:5)+H","794.56954","611.5035","184.07332","5.66719861111111","5.96719861111111","682"
"","PC(37:5)+H","0","0","1","7.68438194444444","7.98438194444444","1682","","PC(37:5)+H"," 0.000000"," 0.000000"," 7.934477","7.68438194444444","7.98438194444444","1682","","PC(37:5)+H","0","0","1","7.68438194444444","7.98438194444444","1682","","PC(37:5)+H","       0.000","      0.0000","4.904404e+06","7.68438194444444","7.98438194444444","1682","","PC(37:5)+H","  0.0000","  0.0000","184.0735","7.68438194444444","7.98438194444444","1682","","PC(37:5)+H","794.56954","611.5035","184.07332","7.68438194444444","7.98438194444444","1682"
"","PC(37:6)+H","1","0","1","5.24122777777778","5.54122777777778","590","","PC(37:6)+H"," 5.348853"," 0.000000"," 5.348853","5.24122777777778","5.54122777777778","590","","PC(37:6)+H","2","0","2","5.24122777777778","5.54122777777778","590","","PC(37:6)+H","  235191.600","      0.0000","2.005805e+06","5.24122777777778","5.54122777777778","590","","PC(37:6)+H","792.5553","  0.0000","184.0738","5.24122777777778","5.54122777777778","590","","PC(37:6)+H","792.55384","609.4878","184.07332","5.24122777777778","5.54122777777778","590"
"","PC(37:6)+H","1","0","1","7.3207875","7.6207875","706","","PC(37:6)+H"," 7.511254"," 0.000000"," 7.511254","7.3207875","7.6207875","706","","PC(37:6)+H","1","0","1","7.3207875","7.6207875","706","","PC(37:6)+H","   11397.440","      0.0000","1.038078e+05","7.3207875","7.6207875","706","","PC(37:6)+H","792.5559","  0.0000","184.0737","7.3207875","7.6207875","706","","PC(37:6)+H","792.55384","609.4878","184.07332","7.3207875","7.6207875","706"
"","PC(37:6)+H","1","1","1","6.08093333333333","6.38093333333333","17163","","PC(37:6)+H"," 6.230666"," 6.230666"," 6.230666","6.08093333333333","6.38093333333333","17163","","PC(37:6)+H","1","2","2","6.08093333333333","6.38093333333333","17163","","PC(37:6)+H","   37753.190","  29624.3600","2.967659e+06","6.08093333333333","6.38093333333333","17163","","PC(37:6)+H","792.5530","609.4867","184.0736","6.08093333333333","6.38093333333333","17163","","PC(37:6)+H","792.55384","609.4878","184.07332","6.08093333333333","6.38093333333333","17163"
"","PC(37:7)+H","0","0","1","11.8608930555556","12.1608930555556","2713","","PC(37:7)+H"," 0.000000"," 0.000000","12.119180","11.8608930555556","12.1608930555556","2713","","PC(37:7)+H","0","0","1","11.8608930555556","12.1608930555556","2713","","PC(37:7)+H","       0.000","      0.0000","8.446713e+03","11.8608930555556","12.1608930555556","2713","","PC(37:7)+H","  0.0000","  0.0000","184.0738","11.8608930555556","12.1608930555556","2713","","PC(37:7)+H","790.53814","607.4721","184.07332","11.8608930555556","12.1608930555556","2713"
"","PC(37:7)+H","0","0","1","6.23224444444445","6.53224444444445","12777","","PC(37:7)+H"," 0.000000"," 0.000000"," 6.418835","6.23224444444445","6.53224444444445","12777","","PC(37:7)+H","0","0","1","6.23224444444445","6.53224444444445","12777","","PC(37:7)+H","       0.000","      0.0000","3.355849e+06","6.23224444444445","6.53224444444445","12777","","PC(37:7)+H","  0.0000","  0.0000","184.0736","6.23224444444445","6.53224444444445","12777","","PC(37:7)+H","790.53814","607.4721","184.07332","6.23224444444445","6.53224444444445","12777"
"","PC(37:7)+H","0","0","1","12.4749939393939","12.7749939393939","14920","","PC(37:7)+H"," 0.000000"," 0.000000","12.494130","12.4749939393939","12.7749939393939","14920","","PC(37:7)+H","0","0","1","12.4749939393939","12.7749939393939","14920","","PC(37:7)+H","       0.000","      0.0000","6.088603e+03","12.4749939393939","12.7749939393939","14920","","PC(37:7)+H","  0.0000","  0.0000","184.0739","12.4749939393939","12.7749939393939","14920","","PC(37:7)+H","790.53814","607.4721","184.07332","12.4749939393939","12.7749939393939","14920"
"","PC(38:0)+H","1","1","1","10.3399527777778","10.6399527777778","15","","PC(38:0)+H","10.521890","10.521890","10.521890","10.3399527777778","10.6399527777778","15","","PC(38:0)+H","2","2","2","10.3399527777778","10.6399527777778","15","","PC(38:0)+H","18384810.000"," 123407.2000","2.059212e+08","10.3399527777778","10.6399527777778","15","","PC(38:0)+H","818.6630","635.5972","184.0732","10.3399527777778","10.6399527777778","15","","PC(38:0)+H","818.66334","635.5973","184.07332","10.3399527777778","10.6399527777778","15"
"","PC(38:1)+H","1","1","1","9.42664444444445","9.72664444444445","541","","PC(38:1)+H"," 9.629420"," 9.629420"," 9.526123","9.42664444444445","9.72664444444445","541","","PC(38:1)+H","3","3","3","9.42664444444445","9.72664444444445","541","","PC(38:1)+H","  315466.300","   3744.0920","6.939885e+06","9.42664444444445","9.72664444444445","541","","PC(38:1)+H","816.6479","633.5820","184.0735","9.42664444444445","9.72664444444445","541","","PC(38:1)+H","816.64774","633.5817","184.07332","9.42664444444445","9.72664444444445","541"
"","PC(38:2)+H","1","1","1","8.58068888888889","8.88068888888889","139","","PC(38:2)+H"," 8.717202"," 8.717202"," 8.717202","8.58068888888889","8.88068888888889","139","","PC(38:2)+H","4","4","4","8.58068888888889","8.88068888888889","139","","PC(38:2)+H"," 2320095.000","  18317.3300","2.374736e+07","8.58068888888889","8.88068888888889","139","","PC(38:2)+H","814.6329","631.5670","184.0736","8.58068888888889","8.88068888888889","139","","PC(38:2)+H","814.63214","631.5661","184.07332","8.58068888888889","8.88068888888889","139"
"","PC(38:3)+H","1","1","1","7.85714861111111","8.15714861111111","17","","PC(38:3)+H"," 8.078541"," 8.078541"," 8.078541","7.85714861111111","8.15714861111111","17","","PC(38:3)+H","2","2","2","7.85714861111111","8.15714861111111","17","","PC(38:3)+H","10496790.000","  75006.9800","1.111303e+08","7.85714861111111","8.15714861111111","17","","PC(38:3)+H","812.6155","629.5504","184.0731","7.85714861111111","8.15714861111111","17","","PC(38:3)+H","812.61644","629.5504","184.07332","7.85714861111111","8.15714861111111","17"
