"Confirmed fragments if intensity is above 1000 and number of scans is greater than or equal to 1","SM","[M+H]+","MH-PC","MH-N(CH3)3","Mprev-C2H4O4P","Mprev-H2O","PC Head","CH2CHN(CH3)3","RT_min","RT_max","Comment","RT at Max Intensity","SM","[M+H]+","MH-PC","MH-N(CH3)3","Mprev-C2H4O4P","Mprev-H2O","PC Head","CH2CHN(CH3)3","RT_min","RT_max","Comment","Number of Scans","SM","[M+H]+","MH-PC","MH-N(CH3)3","Mprev-C2H4O4P","Mprev-H2O","PC Head","CH2CHN(CH3)3","RT_min","RT_max","Comment","Max Intensity","SM","[M+H]+","MH-PC","MH-N(CH3)3","Mprev-C2H4O4P","Mprev-H2O","PC Head","CH2CHN(CH3)3","RT_min","RT_max","Comment","Average m/z","SM","[M+H]+","MH-PC","MH-N(CH3)3","Mprev-C2H4O4P","Mprev-H2O","PC Head","CH2CHN(CH3)3","RT_min","RT_max","Comment","Theoretical, Library Parent Hits","SM","[M+H]+","MH-PC","MH-N(CH3)3","Mprev-C2H4O4P","Mprev-H2O","PC Head","CH2CHN(CH3)3","RT_min","RT_max","Comment"
"","SM(33:1)+H","1","0","0","0","1","1","1","5.02984305555556","5.32984305555556","12660","","SM(33:1)+H"," 5.146398"," 0.000000"," 0.000000"," 0.000000"," 5.146398"," 5.146398"," 5.146398","5.02984305555556","5.32984305555556","12660","","SM(33:1)+H","2","0","0","0","1","2","2","5.02984305555556","5.32984305555556","12660","","SM(33:1)+H","  121263.20","      0.0000","      0.0","      0.0000","  1206.3310","2.743860e+06","  15883.480","5.02984305555556","5.32984305555556","12660","","SM(33:1)+H","689.5612","  0.0000","  0.0000","  0.0000","488.4843","184.0738","86.09668","5.02984305555556","5.32984305555556","12660","","SM(33:1)+H","689.55927","506.49323","630.48573","506.49315","488.48257","184.07332","86.09648","5.02984305555556","5.32984305555556","12660"
"","SM(33:2)+H","1","0","0","0","0","1","1","4.06225606060606","4.36225606060606","2175","","SM(33:2)+H"," 4.237036"," 0.000000"," 0.000000"," 0.000000"," 0.000000"," 4.237036"," 4.237036","4.06225606060606","4.36225606060606","2175","","SM(33:2)+H","1","0","0","0","0","1","1","4.06225606060606","4.36225606060606","2175","","SM(33:2)+H","   17327.66","      0.0000","      0.0","      0.0000","     0.0000","4.094198e+05","   2751.760","4.06225606060606","4.36225606060606","2175","","SM(33:2)+H","687.5446","  0.0000","  0.0000","  0.0000","  0.0000","184.0736","86.09654","4.06225606060606","4.36225606060606","2175","","SM(33:2)+H","687.54357","504.47753","628.47003","504.47745","486.46687","184.07332","86.09648","4.06225606060606","4.36225606060606","2175"
"","SM(33:2)+H","1","0","0","0","0","1","1","4.06957638888889","4.36957638888889","12757","","SM(33:2)+H"," 4.237036"," 0.000000"," 0.000000"," 0.000000"," 0.000000"," 4.237036"," 4.237036","4.06957638888889","4.36957638888889","12757","","SM(33:2)+H","1","0","0","0","0","1","1","4.06957638888889","4.36957638888889","12757","","SM(33:2)+H","   17327.66","      0.0000","      0.0","      0.0000","     0.0000","4.094198e+05","   2751.760","4.06957638888889","4.36957638888889","12757","","SM(33:2)+H","687.5446","  0.0000","  0.0000","  0.0000","  0.0000","184.0736","86.09654","4.06957638888889","4.36957638888889","12757","","SM(33:2)+H","687.54357","504.47753","628.47003","504.47745","486.46687","184.07332","86.09648","4.06957638888889","4.36957638888889","12757"
"","SM(34:0)+H","1","1","0","1","0","1","1","6.44598611111111","6.74598611111111","195","","SM(34:0)+H"," 6.592217"," 6.592217"," 0.000000"," 6.592217"," 0.000000"," 6.592217"," 6.592217","6.44598611111111","6.74598611111111","195","","SM(34:0)+H","2","2","0","2","0","2","2","6.44598611111111","6.74598611111111","195","","SM(34:0)+H","  677649.30","  10207.8200","      0.0","  10207.8200","     0.0000","1.468982e+07"," 128726.200","6.44598611111111","6.74598611111111","195","","SM(34:0)+H","705.5914","522.5254","  0.0000","522.5254","  0.0000","184.0735","86.09653","6.44598611111111","6.74598611111111","195","","SM(34:0)+H","705.59047","522.52443","646.51693","522.52435","504.51377","184.07332","86.09648","6.44598611111111","6.74598611111111","195"
"","SM(34:1)+H","1","1","0","1","1","1","1","5.93972638888889","6.23972638888889","12","","SM(34:1)+H"," 6.086508"," 6.086508"," 0.000000"," 6.086508"," 6.086508"," 6.086508"," 6.086508","5.93972638888889","6.23972638888889","12","","SM(34:1)+H","3","2","0","2","3","3","3","5.93972638888889","6.23972638888889","12","","SM(34:1)+H","10788060.00","  45559.7500","      0.0","  45559.7500","168524.1000","3.448585e+08","3328110.000","5.93972638888889","6.23972638888889","12","","SM(34:1)+H","703.5752","520.5089","  0.0000","520.5089","502.4986","184.0733","86.09645","5.93972638888889","6.23972638888889","12","","SM(34:1)+H","703.57487","520.50883","644.50133","520.50875","502.49817","184.07332","86.09648","5.93972638888889","6.23972638888889","12"
"","SM(34:1)+H","1","1","0","0","1","1","1","5.73618055555555","6.03618055555555","12648","","SM(34:1)+H"," 5.959077"," 5.838773"," 0.000000"," 0.000000"," 5.838773"," 5.959077"," 5.959077","5.73618055555555","6.03618055555555","12648","","SM(34:1)+H","2","1","0","0","2","2","2","5.73618055555555","6.03618055555555","12648","","SM(34:1)+H","  232404.40","   4527.7450","      0.0","      0.0000","  1227.4090","5.799747e+06","  40294.090","5.73618055555555","6.03618055555555","12648","","SM(34:1)+H","703.5765","520.5114","  0.0000","  0.0000","502.4991","184.0738","86.09662","5.73618055555555","6.03618055555555","12648","","SM(34:1)+H","703.57487","520.50883","644.50133","520.50875","502.49817","184.07332","86.09648","5.73618055555555","6.03618055555555","12648"
"","SM(34:2)+H","1","1","0","1","1","1","1","4.88641666666667","5.18641666666667","70","","SM(34:2)+H"," 5.058272"," 5.058272"," 0.000000"," 5.058272"," 5.058272"," 5.058272"," 5.058272","4.88641666666667","5.18641666666667","70","","SM(34:2)+H","2","2","0","2","2","2","2","4.88641666666667","5.18641666666667","70","","SM(34:2)+H"," 1655628.00","   9491.2740","      0.0","   9491.2740"," 20435.7500","5.345461e+07"," 508438.800","4.88641666666667","5.18641666666667","70","","SM(34:2)+H","701.5598","518.4933","  0.0000","518.4933","500.4832","184.0734","86.09646","4.88641666666667","5.18641666666667","70","","SM(34:2)+H","701.55917","518.49313","642.48563","518.49305","500.48247","184.07332","86.09648","4.88641666666667","5.18641666666667","70"
"","SM(35:1)+H","1","1","0","1","1","1","1","6.58988888888889","6.88988888888889","182","","SM(35:1)+H"," 6.755314"," 6.755314"," 0.000000"," 6.755314"," 6.755314"," 6.755314"," 6.755314","6.58988888888889","6.88988888888889","182","","SM(35:1)+H","1","1","0","1","1","1","1","6.58988888888889","6.88988888888889","182","","SM(35:1)+H","  562927.70","   3303.3460","      0.0","   3303.3460","  7978.3400","1.625403e+07"," 142737.500","6.58988888888889","6.88988888888889","182","","SM(35:1)+H","717.5910","534.5261","  0.0000","534.5261","516.5145","184.0733","86.09647","6.58988888888889","6.88988888888889","182","","SM(35:1)+H","717.59057","534.52453","658.51703","534.52445","516.51387","184.07332","86.09648","6.58988888888889","6.88988888888889","182"
"","SM(35:1)+H","1","0","0","0","0","1","1","6.33020694444444","6.63020694444444","680","","SM(35:1)+H"," 6.510095"," 0.000000"," 0.000000"," 0.000000"," 0.000000"," 6.510095"," 6.510095","6.33020694444444","6.63020694444444","680","","SM(35:1)+H","1","0","0","0","0","1","1","6.33020694444444","6.63020694444444","680","","SM(35:1)+H","   99962.16","      0.0000","      0.0","      0.0000","     0.0000","2.137034e+06","  15467.470","6.33020694444444","6.63020694444444","680","","SM(35:1)+H","717.5919","  0.0000","  0.0000","  0.0000","  0.0000","184.0737","86.09660","6.33020694444444","6.63020694444444","680","","SM(35:1)+H","717.59057","534.52453","658.51703","534.52445","516.51387","184.07332","86.09648","6.33020694444444","6.63020694444444","680"
"","SM(35:2)+H","1","0","0","0","1","1","1","5.46108888888889","5.76108888888889","821","","SM(35:2)+H"," 5.608754"," 0.000000"," 0.000000"," 0.000000"," 5.608754"," 5.608754"," 5.608754","5.46108888888889","5.76108888888889","821","","SM(35:2)+H","1","0","0","0","1","1","1","5.46108888888889","5.76108888888889","821","","SM(35:2)+H","   81003.22","      0.0000","      0.0","      0.0000","  1095.6670","1.811700e+06","  12721.230","5.46108888888889","5.76108888888889","821","","SM(35:2)+H","715.5760","  0.0000","  0.0000","  0.0000","514.4996","184.0736","86.09660","5.46108888888889","5.76108888888889","821","","SM(35:2)+H","715.57487","532.50883","656.50133","532.50875","514.49817","184.07332","86.09648","5.46108888888889","5.76108888888889","821"
