"Confirmed fragments if intensity is above 1000 and number of scans is greater than or equal to 1","Plasmanyl-PC","[M+H]+","MH-PC","PC_Head","RT_min","RT_max","Comment","RT at Max Intensity","Plasmanyl-PC","[M+H]+","MH-PC","PC_Head","RT_min","RT_max","Comment","Number of Scans","Plasmanyl-PC","[M+H]+","MH-PC","PC_Head","RT_min","RT_max","Comment","Max Intensity","Plasmanyl-PC","[M+H]+","MH-PC","PC_Head","RT_min","RT_max","Comment","Average m/z","Plasmanyl-PC","[M+H]+","MH-PC","PC_Head","RT_min","RT_max","Comment","Theoretical, Library Parent Hits","Plasmanyl-PC","[M+H]+","MH-PC","PC_Head","RT_min","RT_max","Comment"
"","Plasmanyl-PC(24:0)+H","1","0","1","4.053675","4.353675","1986","","Plasmanyl-PC(24:0)+H"," 4.199957"," 4.199957"," 4.199957","4.053675","4.353675","1986","","Plasmanyl-PC(24:0)+H","1","1","1","4.053675","4.353675","1986","","Plasmanyl-PC(24:0)+H"," 124698.700","   656.1175","9.855186e+04","4.053675","4.353675","1986","","Plasmanyl-PC(24:0)+H","608.4661","425.3999","184.0737","4.053675","4.353675","1986","","Plasmanyl-PC(24:0)+H","608.4649576","425.3989176","184.07332","4.053675","4.353675","1986"
"","Plasmanyl-PC(32:0)+H","1","1","1","7.93372916666667","8.23372916666667","168","","Plasmanyl-PC(32:0)+H"," 8.125407"," 8.125407"," 8.125407","7.93372916666667","8.23372916666667","168","","Plasmanyl-PC(32:0)+H","1","1","1","7.93372916666667","8.23372916666667","168","","Plasmanyl-PC(32:0)+H","1267757.000"," 11510.7400","1.019412e+07","7.93372916666667","8.23372916666667","168","","Plasmanyl-PC(32:0)+H","720.5903","537.5242","184.0733","7.93372916666667","8.23372916666667","168","","Plasmanyl-PC(32:0)+H","720.5901576","537.5241176","184.07332","7.93372916666667","8.23372916666667","168"
"","Plasmanyl-PC(32:1)+H","1","0","1","7.75862638888889","8.05862638888889","197","","Plasmanyl-PC(32:1)+H"," 7.872663"," 0.000000"," 7.872663","7.75862638888889","8.05862638888889","197","","Plasmanyl-PC(32:1)+H","2","0","2","7.75862638888889","8.05862638888889","197","","Plasmanyl-PC(32:1)+H"," 740660.800","     0.0000","6.397098e+06","7.75862638888889","8.05862638888889","197","","Plasmanyl-PC(32:1)+H","718.5752","  0.0000","184.0736","7.75862638888889","8.05862638888889","197","","Plasmanyl-PC(32:1)+H","718.5745576","535.5085176","184.07332","7.75862638888889","8.05862638888889","197"
"","Plasmanyl-PC(32:1)+H","1","1","1","6.86943888888889","7.16943888888889","699","","Plasmanyl-PC(32:1)+H"," 7.144014"," 7.144014"," 7.144014","6.86943888888889","7.16943888888889","699","","Plasmanyl-PC(32:1)+H","1","1","1","6.86943888888889","7.16943888888889","699","","Plasmanyl-PC(32:1)+H"," 178567.100","  1051.5310","1.337785e+06","6.86943888888889","7.16943888888889","699","","Plasmanyl-PC(32:1)+H","718.5760","535.5106","184.0737","6.86943888888889","7.16943888888889","699","","Plasmanyl-PC(32:1)+H","718.5745576","535.5085176","184.07332","6.86943888888889","7.16943888888889","699"
"","Plasmanyl-PC(32:2)+H","1","0","1","6.66181805555556","6.96181805555556","1083","","Plasmanyl-PC(32:2)+H"," 6.856732"," 0.000000"," 6.856732","6.66181805555556","6.96181805555556","1083","","Plasmanyl-PC(32:2)+H","1","0","1","6.66181805555556","6.96181805555556","1083","","Plasmanyl-PC(32:2)+H","  73595.970","     0.0000","6.126628e+05","6.66181805555556","6.96181805555556","1083","","Plasmanyl-PC(32:2)+H","716.5604","  0.0000","184.0737","6.66181805555556","6.96181805555556","1083","","Plasmanyl-PC(32:2)+H","716.5589576","533.4929176","184.07332","6.66181805555556","6.96181805555556","1083"
"","Plasmanyl-PC(32:2)+H","1","0","1","6.64093611111111","6.94093611111111","9134","","Plasmanyl-PC(32:2)+H"," 6.856732"," 0.000000"," 6.856732","6.64093611111111","6.94093611111111","9134","","Plasmanyl-PC(32:2)+H","1","0","1","6.64093611111111","6.94093611111111","9134","","Plasmanyl-PC(32:2)+H","  73595.970","     0.0000","6.126628e+05","6.64093611111111","6.94093611111111","9134","","Plasmanyl-PC(32:2)+H","716.5604","  0.0000","184.0737","6.64093611111111","6.94093611111111","9134","","Plasmanyl-PC(32:2)+H","716.5589576","533.4929176","184.07332","6.64093611111111","6.94093611111111","9134"
"","Plasmanyl-PC(32:2)+H","1","0","1","6.77170138888889","7.07170138888889","18325","","Plasmanyl-PC(32:2)+H"," 6.856732"," 0.000000"," 6.856732","6.77170138888889","7.07170138888889","18325","","Plasmanyl-PC(32:2)+H","1","0","1","6.77170138888889","7.07170138888889","18325","","Plasmanyl-PC(32:2)+H","  73595.970","     0.0000","6.126628e+05","6.77170138888889","7.07170138888889","18325","","Plasmanyl-PC(32:2)+H","716.5604","  0.0000","184.0737","6.77170138888889","7.07170138888889","18325","","Plasmanyl-PC(32:2)+H","716.5589576","533.4929176","184.07332","6.77170138888889","7.07170138888889","18325"
"","Plasmanyl-PC(33:2)+H","1","0","1","9.20176666666667","9.50176666666667","1235","","Plasmanyl-PC(33:2)+H"," 9.373480"," 0.000000"," 9.373480","9.20176666666667","9.50176666666667","1235","","Plasmanyl-PC(33:2)+H","1","0","1","9.20176666666667","9.50176666666667","1235","","Plasmanyl-PC(33:2)+H","   7793.215","     0.0000","2.778627e+03","9.20176666666667","9.50176666666667","1235","","Plasmanyl-PC(33:2)+H","730.5742","  0.0000","184.0735","9.20176666666667","9.50176666666667","1235","","Plasmanyl-PC(33:2)+H","730.5745576","547.5085176","184.07332","9.20176666666667","9.50176666666667","1235"
"","Plasmanyl-PC(34:0)+H","1","1","1","9.018525","9.318525","632","","Plasmanyl-PC(34:0)+H"," 9.181929"," 9.181929"," 9.181929","9.018525","9.318525","632","","Plasmanyl-PC(34:0)+H","1","1","1","9.018525","9.318525","632","","Plasmanyl-PC(34:0)+H"," 356934.300","  3484.4500","2.520702e+06","9.018525","9.318525","632","","Plasmanyl-PC(34:0)+H","748.6232","565.5571","184.0738","9.018525","9.318525","632","","Plasmanyl-PC(34:0)+H","748.6214576","565.5554176","184.07332","9.018525","9.318525","632"
"","Plasmanyl-PC(34:1)+H","1","1","1","7.97837916666667","8.27837916666667","130","","Plasmanyl-PC(34:1)+H"," 8.120220"," 8.120220"," 8.120220","7.97837916666667","8.27837916666667","130","","Plasmanyl-PC(34:1)+H","2","2","2","7.97837916666667","8.27837916666667","130","","Plasmanyl-PC(34:1)+H","2061740.000"," 15174.9100","2.005751e+07","7.97837916666667","8.27837916666667","130","","Plasmanyl-PC(34:1)+H","746.6059","563.5403","184.0734","7.97837916666667","8.27837916666667","130","","Plasmanyl-PC(34:1)+H","746.6058576","563.5398176","184.07332","7.97837916666667","8.27837916666667","130"
