"Confirmed fragments if intensity is above 1000 and number of scans is greater than or equal to 1","PE","[M+H]+","NL_head","head","RT_min","RT_max","Comment","RT at Max Intensity","PE","[M+H]+","NL_head","head","RT_min","RT_max","Comment","Number of Scans","PE","[M+H]+","NL_head","head","RT_min","RT_max","Comment","Max Intensity","PE","[M+H]+","NL_head","head","RT_min","RT_max","Comment","Average m/z","PE","[M+H]+","NL_head","head","RT_min","RT_max","Comment","Theoretical, Library Parent Hits","PE","[M+H]+","NL_head","head","RT_min","RT_max","Comment"
"","PE(36:3)+H","0","1","0","6.94883888888889","7.24883888888889","9128","","PE(36:3)+H"," 0.000000","6.985158","0.000000","6.94883888888889","7.24883888888889","9128","","PE(36:3)+H","0","2","0","6.94883888888889","7.24883888888889","9128","","PE(36:3)+H","       0.000","  492118.90","   0.000","6.94883888888889","7.24883888888889","9128","","PE(36:3)+H","  0.0000","601.5194","  0.0000","6.94883888888889","7.24883888888889","9128","","PE(36:3)+H","742.53818","601.51907","142.02639","6.94883888888889","7.24883888888889","9128"
"","PE(36:4)+H","1","1","0","6.49417777777778","6.79417777777778","510","","PE(36:4)+H"," 6.663421","6.663421","0.000000","6.49417777777778","6.79417777777778","510","","PE(36:4)+H","1","1","0","6.49417777777778","6.79417777777778","510","","PE(36:4)+H","   15678.960"," 1564707.00","   0.000","6.49417777777778","6.79417777777778","510","","PE(36:4)+H","740.5244","599.5046","  0.0000","6.49417777777778","6.79417777777778","510","","PE(36:4)+H","740.52248","599.50337","142.02639","6.49417777777778","6.79417777777778","510"
"","PE(38:2)+H","0","1","0","8.86654722222222","9.16654722222222","14628","","PE(38:2)+H"," 0.000000","9.050057","0.000000","8.86654722222222","9.16654722222222","14628","","PE(38:2)+H","0","1","0","8.86654722222222","9.16654722222222","14628","","PE(38:2)+H","       0.000","   20902.13","   0.000","8.86654722222222","9.16654722222222","14628","","PE(38:2)+H","  0.0000","631.5679","  0.0000","8.86654722222222","9.16654722222222","14628","","PE(38:2)+H","772.58518","631.56607","142.02639","8.86654722222222","9.16654722222222","14628"
"","PE(38:3)+H","0","1","0","8.126675","8.426675","963","","PE(38:3)+H"," 0.000000","8.274826","0.000000","8.126675","8.426675","963","","PE(38:3)+H","0","1","0","8.126675","8.426675","963","","PE(38:3)+H","       0.000","  789116.00","   0.000","8.126675","8.426675","963","","PE(38:3)+H","  0.0000","629.5508","  0.0000","8.126675","8.426675","963","","PE(38:3)+H","770.56948","629.55037","142.02639","8.126675","8.426675","963"
"","PE(38:4)+H","1","1","1","7.66248611111111","7.96248611111111","9089","","PE(38:4)+H"," 7.779676","7.779676","7.779676","7.66248611111111","7.96248611111111","9089","","PE(38:4)+H","1","1","1","7.66248611111111","7.96248611111111","9089","","PE(38:4)+H","   29444.280"," 2772933.00","1263.628","7.66248611111111","7.96248611111111","9089","","PE(38:4)+H","768.5544","627.5354","142.0265","7.66248611111111","7.96248611111111","9089","","PE(38:4)+H","768.55378","627.53467","142.02639","7.66248611111111","7.96248611111111","9089"
"","PE(38:5)+H","0","1","0","6.54070694444444","6.84070694444444","730","","PE(38:5)+H"," 0.000000","6.730028","0.000000","6.54070694444444","6.84070694444444","730","","PE(38:5)+H","0","2","0","6.54070694444444","6.84070694444444","730","","PE(38:5)+H","       0.000","  893936.30","   0.000","6.54070694444444","6.84070694444444","730","","PE(38:5)+H","  0.0000","625.5199","  0.0000","6.54070694444444","6.84070694444444","730","","PE(38:5)+H","766.53818","625.51907","142.02639","6.54070694444444","6.84070694444444","730"
"","PE(38:5)+H","0","1","0","6.90980694444444","7.20980694444444","1245","","PE(38:5)+H"," 0.000000","7.014940","0.000000","6.90980694444444","7.20980694444444","1245","","PE(38:5)+H","0","1","0","6.90980694444444","7.20980694444444","1245","","PE(38:5)+H","       0.000","  353710.80","   0.000","6.90980694444444","7.20980694444444","1245","","PE(38:5)+H","  0.0000","625.5199","  0.0000","6.90980694444444","7.20980694444444","1245","","PE(38:5)+H","766.53818","625.51907","142.02639","6.90980694444444","7.20980694444444","1245"
"","PE(38:6)+H","1","1","1","6.12905972222222","6.42905972222222","491","","PE(38:6)+H"," 6.261979","6.261979","6.261979","6.12905972222222","6.42905972222222","491","","PE(38:6)+H","2","2","1","6.12905972222222","6.42905972222222","491","","PE(38:6)+H","   20059.700"," 1700118.00","1396.089","6.12905972222222","6.42905972222222","491","","PE(38:6)+H","764.5236","623.5044","142.0266","6.12905972222222","6.42905972222222","491","","PE(38:6)+H","764.52248","623.50337","142.02639","6.12905972222222","6.42905972222222","491"
"","PE(40:4)+H","0","1","0","8.43268888888889","8.73268888888889","2577","","PE(40:4)+H"," 0.000000","8.559902","0.000000","8.43268888888889","8.73268888888889","2577","","PE(40:4)+H","0","2","0","8.43268888888889","8.73268888888889","2577","","PE(40:4)+H","       0.000","  136770.80","   0.000","8.43268888888889","8.73268888888889","2577","","PE(40:4)+H","  0.0000","655.5676","  0.0000","8.43268888888889","8.73268888888889","2577","","PE(40:4)+H","796.58508","655.56597","142.02639","8.43268888888889","8.73268888888889","2577"
"","PE(40:5)+H","0","1","0","7.68438194444444","7.98438194444444","1682","","PE(40:5)+H"," 0.000000","7.934477","0.000000","7.68438194444444","7.98438194444444","1682","","PE(40:5)+H","0","1","0","7.68438194444444","7.98438194444444","1682","","PE(40:5)+H","       0.000","   61257.74","   0.000","7.68438194444444","7.98438194444444","1682","","PE(40:5)+H","  0.0000","653.5511","  0.0000","7.68438194444444","7.98438194444444","1682","","PE(40:5)+H","794.56948","653.55037","142.02639","7.68438194444444","7.98438194444444","1682"
"","PE(40:6)+H","1","1","0","7.3207875","7.6207875","706","","PE(40:6)+H"," 7.511254","7.511254","0.000000","7.3207875","7.6207875","706","","PE(40:6)+H","1","1","0","7.3207875","7.6207875","706","","PE(40:6)+H","   11397.440"," 1160655.00","   0.000","7.3207875","7.6207875","706","","PE(40:6)+H","792.5559","651.5358","  0.0000","7.3207875","7.6207875","706","","PE(40:6)+H","792.55378","651.53467","142.02639","7.3207875","7.6207875","706"
"","PE(40:7)+H","0","1","0","6.23224444444445","6.53224444444445","12777","","PE(40:7)+H"," 0.000000","6.418835","0.000000","6.23224444444445","6.53224444444445","12777","","PE(40:7)+H","0","1","0","6.23224444444445","6.53224444444445","12777","","PE(40:7)+H","       0.000","  184575.50","   0.000","6.23224444444445","6.53224444444445","12777","","PE(40:7)+H","  0.0000","649.5202","  0.0000","6.23224444444445","6.53224444444445","12777","","PE(40:7)+H","790.53818","649.51907","142.02639","6.23224444444445","6.53224444444445","12777"
