SM,[M+C2H3O2]-,[M-CH3]-,Sph-C-H,[C4H11NO4P]-,[PO3]-
SM(d14:1/12:1)+C2H3O2,647.44,573.4033,393.2519,168.0431,78.95905
SM(d14:1/13:0)+C2H3O2,663.4713,589.4346,393.252,168.0431,78.95905
SM(d14:1/13:1)+C2H3O2,661.4557,587.4189,393.252,168.0431,78.95905
SM(d14:1/14:0)+C2H3O2,677.487,603.4502,393.252,168.0431,78.95905
SM(d14:1/14:1)+C2H3O2,675.4713,601.4346,393.252,168.0431,78.95905
SM(d14:1/15:0)+C2H3O2,691.5026,617.4658,393.252,168.0431,78.95905
SM(d14:1/15:1)+C2H3O2,689.487,615.4502,393.252,168.0431,78.95905
SM(d14:1/16:0)+C2H3O2,705.5182,631.4815,393.252,168.0431,78.95905
SM(d14:1/16:1)+C2H3O2,703.5026,629.4658,393.252,168.0431,78.95905
SM(d14:1/16:2)+C2H3O2,701.487,627.4502,393.252,168.0431,78.95905
SM(d14:1/17:0)+C2H3O2,719.5339,645.4971,393.252,168.0431,78.95905
SM(d14:1/18:0)+C2H3O2,733.5496,659.5128,393.252,168.0431,78.95905
SM(d14:1/18:1)+C2H3O2,731.5339,657.4971,393.252,168.0431,78.95905
SM(d14:1/18:2)+C2H3O2,729.5182,655.4815,393.252,168.0431,78.95905
SM(d14:1/19:0)+C2H3O2,747.5652,673.5284,393.252,168.0431,78.95905
SM(d14:1/19:1)+C2H3O2,745.5496,671.5128,393.252,168.0431,78.95905
SM(d14:1/20:0)+C2H3O2,761.5809,687.5441,393.252,168.0431,78.95905
SM(d14:1/20:1)+C2H3O2,759.5652,685.5284,393.252,168.0431,78.95905
SM(d14:1/20:2)+C2H3O2,757.5496,683.5128,393.252,168.0431,78.95905
SM(d14:1/21:0)+C2H3O2,775.5966,701.5598,393.252,168.0431,78.95905
SM(d14:1/21:1)+C2H3O2,773.5809,699.5441,393.252,168.0431,78.95905
SM(d14:1/22:0)+C2H3O2,789.6122,715.5754,393.252,168.0431,78.95905
SM(d14:1/22:1)+C2H3O2,787.5966,713.5598,393.252,168.0431,78.95905
SM(d14:1/22:2)+C2H3O2,785.5809,711.5441,393.252,168.0431,78.95905
SM(d14:1/23:0)+C2H3O2,803.6278,729.5911,393.252,168.0431,78.95905
SM(d14:1/23:1)+C2H3O2,801.6122,727.5754,393.252,168.0431,78.95905
SM(d14:1/24:0)+C2H3O2,817.6435,743.6067,393.2521,168.0431,78.95905
SM(d14:1/24:1)+C2H3O2,815.6278,741.5911,393.252,168.0431,78.95905
SM(d14:1/24:2)+C2H3O2,813.6122,739.5754,393.252,168.0431,78.95905
SM(d14:1/25:0)+C2H3O2,831.6591,757.6224,393.2521,168.0431,78.95905
SM(d14:1/25:1)+C2H3O2,829.6435,755.6067,393.2521,168.0431,78.95905
SM(d14:1/26:0)+C2H3O2,845.6748,771.638,393.2521,168.0431,78.95905
SM(d14:1/26:1)+C2H3O2,843.6591,769.6224,393.2521,168.0431,78.95905
SM(d14:1/26:2)+C2H3O2,841.6435,767.6067,393.2521,168.0431,78.95905
SM(d14:1/27:0)+C2H3O2,859.6904,785.6536,393.2521,168.0431,78.95905
SM(d14:1/27:1)+C2H3O2,857.6748,783.638,393.2521,168.0431,78.95905
SM(d14:1/28:0)+C2H3O2,873.7061,799.6693,393.2521,168.0431,78.95905
SM(d14:1/28:1)+C2H3O2,871.6904,797.6536,393.2521,168.0431,78.95905
SM(d14:1/28:2)+C2H3O2,869.6748,795.638,393.2521,168.0431,78.95905
SM(d14:1/29:0)+C2H3O2,887.7217,813.6849,393.2521,168.0431,78.95905
SM(d14:1/29:1)+C2H3O2,885.7061,811.6693,393.2521,168.0431,78.95905
SM(d14:1/30:0)+C2H3O2,901.7374,827.7006,393.2521,168.0431,78.95905
SM(d14:1/30:1)+C2H3O2,899.7217,825.6849,393.2521,168.0431,78.95905
SM(d14:1/30:2)+C2H3O2,897.7061,823.6693,393.2521,168.0431,78.95905
SM(d14:1/31:0)+C2H3O2,915.7531,841.7162,393.2521,168.0431,78.95905
