ether-PS,[M+H]+,NL_head,NL_T2_RCOOH,T2_RCO+
Plasmenyl-PS(P-18:0/14:0)+H,720.51743,535.50848,325.31013,211.20565
Plasmenyl-PS(P-18:0/14:1)+H,718.50183,533.49288,325.31013,209.19005
Plasmenyl-PS(P-18:0/15:0)+H,734.53313,549.52418,325.31013,225.22135
Plasmenyl-PS(P-18:0/15:1)+H,732.51743,547.50848,325.31013,223.20565
Plasmenyl-PS(P-18:0/16:0)+H,748.54873,563.53978,325.31013,239.23695
Plasmenyl-PS(P-18:0/16:1)+H,746.53313,561.52418,325.31013,237.22135
Plasmenyl-PS(P-18:0/17:0)+H,762.56443,577.55548,325.31013,253.25265
Plasmenyl-PS(P-18:0/17:1)+H,760.54873,575.53978,325.31013,251.23695
Plasmenyl-PS(P-18:0/17:2)+H,758.53313,573.52418,325.31013,249.22135
Plasmenyl-PS(P-18:0/18:0)+H,776.58003,591.57108,325.31013,267.26825
Plasmenyl-PS(P-18:0/18:1)+H,774.56443,589.55548,325.31013,265.25265
Plasmenyl-PS(P-18:0/18:2)+H,772.54873,587.53978,325.31013,263.23695
Plasmenyl-PS(P-18:0/18:3)+H,770.53313,585.52418,325.31013,261.22135
Plasmenyl-PS(P-18:0/18:4)+H,768.51743,583.50848,325.31013,259.20565
Plasmenyl-PS(P-18:0/19:0)+H,790.59573,605.58678,325.31013,281.28395
Plasmenyl-PS(P-18:0/20:0)+H,804.61133,619.60238,325.31013,295.29955
Plasmenyl-PS(P-18:0/20:1)+H,802.59573,617.58678,325.31013,293.28395
Plasmenyl-PS(P-18:0/20:2)+H,800.58003,615.57108,325.31013,291.26825
Plasmenyl-PS(P-18:0/20:3)+H,798.56443,613.55548,325.31013,289.25265
Plasmenyl-PS(P-18:0/20:4)+H,796.54873,611.53978,325.31013,287.23695
Plasmenyl-PS(P-18:0/20:5)+H,794.53313,609.52418,325.31013,285.22135
Plasmenyl-PS(P-18:0/21:0)+H,818.62703,633.61808,325.31013,309.31525
Plasmenyl-PS(P-18:0/22:0)+H,832.64263,647.63368,325.31013,323.33085
Plasmenyl-PS(P-18:0/22:1)+H,830.62703,645.61808,325.31013,321.31525
Plasmenyl-PS(P-18:0/22:2)+H,828.61133,643.60238,325.31013,319.29955
Plasmenyl-PS(P-18:0/22:3)+H,826.59573,641.58678,325.31013,317.28395
Plasmenyl-PS(P-18:0/22:4)+H,824.58003,639.57108,325.31013,315.26825
Plasmenyl-PS(P-18:0/22:5)+H,822.56443,637.55548,325.31013,313.25265
Plasmenyl-PS(P-18:0/22:6)+H,820.54873,635.53978,325.31013,311.23695
Plasmenyl-PS(P-18:0/23:0)+H,846.65833,661.64938,325.31013,337.34655
Plasmenyl-PS(P-18:0/24:0)+H,860.67393,675.66498,325.31013,351.36215
Plasmenyl-PS(P-18:0/24:1)+H,858.65833,673.64938,325.31013,349.34655
Plasmenyl-PS(P-18:0/25:0)+H,874.68963,689.68068,325.31013,365.37785
Plasmenyl-PS(P-18:0/26:0)+H,888.70523,703.69628,325.31013,379.39345
Plasmenyl-PS(P-18:0/8:0)+H,636.42353,451.41458,325.31013,127.11175
Plasmenyl-PS(P-18:1/10:0)+H,662.43923,477.43028,323.29453,155.14305
Plasmenyl-PS(P-18:1/12:0)+H,690.47053,505.46158,323.29453,183.17435
Plasmenyl-PS(P-18:1/13:0)+H,704.48623,519.47728,323.29453,197.19005
Plasmenyl-PS(P-18:1/14:0)+H,718.50183,533.49288,323.29453,211.20565
Plasmenyl-PS(P-18:1/14:1)+H,716.48623,531.47728,323.29453,209.19005
Plasmenyl-PS(P-18:1/15:0)+H,732.51753,547.50858,323.29453,225.22135
Plasmenyl-PS(P-18:1/15:1)+H,730.50183,545.49288,323.29453,223.20565
Plasmenyl-PS(P-18:1/16:0)+H,746.53313,561.52418,323.29453,239.23695
Plasmenyl-PS(P-18:1/16:1)+H,744.51753,559.50858,323.29453,237.22135
Plasmenyl-PS(P-18:1/17:0)+H,760.54883,575.53988,323.29453,253.25265
Plasmenyl-PS(P-18:1/17:1)+H,758.53313,573.52418,323.29453,251.23695
Plasmenyl-PS(P-18:1/17:2)+H,756.51753,571.50858,323.29453,249.22135
Plasmenyl-PS(P-18:1/18:0)+H,774.56443,589.55548,323.29453,267.26825
Plasmenyl-PS(P-18:1/18:1)+H,772.54883,587.53988,323.29453,265.25265
Plasmenyl-PS(P-18:1/18:2)+H,770.53313,585.52418,323.29453,263.23695
Plasmenyl-PS(P-18:1/18:3)+H,768.51753,583.50858,323.29453,261.22135
Plasmenyl-PS(P-18:1/18:4)+H,766.50183,581.49288,323.29453,259.20565
Plasmenyl-PS(P-18:1/19:0)+H,788.58013,603.57118,323.29453,281.28395
Plasmenyl-PS(P-18:1/20:0)+H,802.59573,617.58678,323.29453,295.29955
Plasmenyl-PS(P-18:1/20:1)+H,800.58013,615.57118,323.29453,293.28395
Plasmenyl-PS(P-18:1/20:2)+H,798.56443,613.55548,323.29453,291.26825
Plasmenyl-PS(P-18:1/20:3)+H,796.54883,611.53988,323.29453,289.25265
Plasmenyl-PS(P-18:1/20:4)+H,794.53313,609.52418,323.29453,287.23695
Plasmenyl-PS(P-18:1/20:5)+H,792.51753,607.50858,323.29453,285.22135
Plasmenyl-PS(P-18:1/21:0)+H,816.61143,631.60248,323.29453,309.31525
Plasmenyl-PS(P-18:1/22:0)+H,830.62703,645.61808,323.29453,323.33085
Plasmenyl-PS(P-18:1/22:1)+H,828.61143,643.60248,323.29453,321.31525
Plasmenyl-PS(P-18:1/22:2)+H,826.59573,641.58678,323.29453,319.29955
Plasmenyl-PS(P-18:1/22:3)+H,824.58013,639.57118,323.29453,317.28395
Plasmenyl-PS(P-18:1/22:4)+H,822.56443,637.55548,323.29453,315.26825
Plasmenyl-PS(P-18:1/22:5)+H,820.54883,635.53988,323.29453,313.25265
Plasmenyl-PS(P-18:1/22:6)+H,818.53313,633.52418,323.29453,311.23695
Plasmenyl-PS(P-18:1/23:0)+H,844.64273,659.63378,323.29453,337.34655
Plasmenyl-PS(P-18:1/24:0)+H,858.65833,673.64938,323.29453,351.36215
Plasmenyl-PS(P-18:1/24:1)+H,856.64273,671.63378,323.29453,349.34655
Plasmenyl-PS(P-18:1/25:0)+H,872.67403,687.66508,323.29453,365.37785
Plasmenyl-PS(P-18:1/26:0)+H,886.68963,701.68068,323.29453,379.39345
Plasmenyl-PS(P-18:1/8:0)+H,634.40793,449.39898,323.29453,127.11175
Plasmenyl-PS(P-20:0/10:0)+H,692.48613,507.47718,353.34143,155.14305
Plasmenyl-PS(P-20:0/12:0)+H,720.51743,535.50848,353.34143,183.17435
Plasmenyl-PS(P-20:0/13:0)+H,734.53313,549.52418,353.34143,197.19005
Plasmenyl-PS(P-20:0/14:0)+H,748.54873,563.53978,353.34143,211.20565
Plasmenyl-PS(P-20:0/14:1)+H,746.53313,561.52418,353.34143,209.19005
Plasmenyl-PS(P-20:0/15:0)+H,762.56443,577.55548,353.34143,225.22135
Plasmenyl-PS(P-20:0/15:1)+H,760.54873,575.53978,353.34143,223.20565
Plasmenyl-PS(P-20:0/16:0)+H,776.58003,591.57108,353.34143,239.23695
Plasmenyl-PS(P-20:0/16:1)+H,774.56443,589.55548,353.34143,237.22135
Plasmenyl-PS(P-20:0/17:0)+H,790.59573,605.58678,353.34143,253.25265
Plasmenyl-PS(P-20:0/17:1)+H,788.58003,603.57108,353.34143,251.23695
Plasmenyl-PS(P-20:0/17:2)+H,786.56443,601.55548,353.34143,249.22135
Plasmenyl-PS(P-20:0/18:0)+H,804.61133,619.60238,353.34143,267.26825
Plasmenyl-PS(P-20:0/18:1)+H,802.59573,617.58678,353.34143,265.25265
Plasmenyl-PS(P-20:0/18:2)+H,800.58003,615.57108,353.34143,263.23695
Plasmenyl-PS(P-20:0/18:3)+H,798.56443,613.55548,353.34143,261.22135
Plasmenyl-PS(P-20:0/18:4)+H,796.54873,611.53978,353.34143,259.20565
Plasmenyl-PS(P-20:0/19:0)+H,818.62703,633.61808,353.34143,281.28395
Plasmenyl-PS(P-20:0/20:0)+H,832.64263,647.63368,353.34143,295.29955
Plasmenyl-PS(P-20:0/20:1)+H,830.62703,645.61808,353.34143,293.28395
Plasmenyl-PS(P-20:0/20:2)+H,828.61133,643.60238,353.34143,291.26825
Plasmenyl-PS(P-20:0/20:3)+H,826.59573,641.58678,353.34143,289.25265
Plasmenyl-PS(P-20:0/20:4)+H,824.58003,639.57108,353.34143,287.23695
