Cholesterol,[M+NH4]+,Cholesterol,Exper_CholFrag1,CholFrag2,CholFrag3,C13H19,C12H17,C11H15,C10H15
Cholesterol+NH4,404.3887,369.3511,313.2885,287.2728,243.2103,175.1487,161.133,147.1174,135.1174
SPLASH_Cholesterol(d7)+NH4,411.43259,376.39499,320.33239,294.31669,250.25419,182.19259,168.17689,154.16129,142.16129
