Plasmenyl-PE,[M+H]+,NL_head,NL_T2RCO,T2_RCO+,T2RCOO+58,head
Plasmenyl-PE(P-18:0/21:0)+H,774.63716,633.61805,325.3101,309.31525,383.35203,142.02639
Plasmenyl-PE(P-18:0/22:0)+H,788.65276,647.63365,325.3101,323.33085,397.36763,142.02639
Plasmenyl-PE(P-18:0/22:1)+H,786.63716,645.61805,325.3101,321.31525,395.35203,142.02639
Plasmenyl-PE(P-18:0/22:2)+H,784.62146,643.60235,325.3101,319.29955,393.33633,142.02639
Plasmenyl-PE(P-18:0/22:3)+H,782.60586,641.58675,325.3101,317.28395,391.32073,142.02639
Plasmenyl-PE(P-18:0/22:4)+H,780.59016,639.57105,325.3101,315.26825,389.30503,142.02639
Plasmenyl-PE(P-18:0/22:5)+H,778.57456,637.55545,325.3101,313.25265,387.28943,142.02639
Plasmenyl-PE(P-18:0/22:6)+H,776.55886,635.53975,325.3101,311.23695,385.27373,142.02639
Plasmenyl-PE(P-18:0/23:0)+H,802.66846,661.64935,325.3101,337.34655,411.38333,142.02639
Plasmenyl-PE(P-18:0/24:0)+H,816.68406,675.66495,325.3101,351.36215,425.39893,142.02639
Plasmenyl-PE(P-18:0/24:1)+H,814.66846,673.64935,325.3101,349.34655,423.38333,142.02639
Plasmenyl-PE(P-18:0/25:0)+H,830.69976,689.68065,325.3101,365.37785,439.41463,142.02639
Plasmenyl-PE(P-18:0/26:0)+H,844.71536,703.69625,325.3101,379.39345,453.43023,142.02639
Plasmenyl-PE(P-18:0/8:0)+H,592.43366,451.41455,325.3101,127.11175,201.14853,142.02639
Plasmenyl-PE(P-18:1/10:0)+H,618.44936,477.43025,323.2945,155.14305,229.17983,142.02639
Plasmenyl-PE(P-18:1/12:0)+H,646.48066,505.46155,323.2945,183.17435,257.21113,142.02639
Plasmenyl-PE(P-18:1/13:0)+H,660.49636,519.47725,323.2945,197.19005,271.22683,142.02639
Plasmenyl-PE(P-18:1/14:0)+H,674.51196,533.49285,323.2945,211.20565,285.24243,142.02639
Plasmenyl-PE(P-18:1/14:1)+H,672.49636,531.47725,323.2945,209.19005,283.22683,142.02639
Plasmenyl-PE(P-18:1/15:0)+H,688.52766,547.50855,323.2945,225.22135,299.25813,142.02639
Plasmenyl-PE(P-18:1/15:1)+H,686.51196,545.49285,323.2945,223.20565,297.24243,142.02639
Plasmenyl-PE(P-18:1/16:0)+H,702.54326,561.52415,323.2945,239.23695,313.27373,142.02639
Plasmenyl-PE(P-18:1/16:1)+H,700.52766,559.50855,323.2945,237.22135,311.25813,142.02639
Plasmenyl-PE(P-18:1/17:0)+H,716.55896,575.53985,323.2945,253.25265,327.28943,142.02639
Plasmenyl-PE(P-18:1/17:1)+H,714.54326,573.52415,323.2945,251.23695,325.27373,142.02639
Plasmenyl-PE(P-18:1/17:2)+H,712.52766,571.50855,323.2945,249.22135,323.25813,142.02639
Plasmenyl-PE(P-18:1/18:0)+H,730.57456,589.55545,323.2945,267.26825,341.30503,142.02639
Plasmenyl-PE(P-18:1/18:1)+H,728.55896,587.53985,323.2945,265.25265,339.28943,142.02639
Plasmenyl-PE(P-18:1/18:2)+H,726.54326,585.52415,323.2945,263.23695,337.27373,142.02639
Plasmenyl-PE(P-18:1/18:3)+H,724.52766,583.50855,323.2945,261.22135,335.25813,142.02639
Plasmenyl-PE(P-18:1/18:4)+H,722.51196,581.49285,323.2945,259.20565,333.24243,142.02639
Plasmenyl-PE(P-18:1/19:0)+H,744.59026,603.57115,323.2945,281.28395,355.32073,142.02639
Plasmenyl-PE(P-18:1/20:0)+H,758.60586,617.58675,323.2945,295.29955,369.33633,142.02639
Plasmenyl-PE(P-18:1/20:1)+H,756.59026,615.57115,323.2945,293.28395,367.32073,142.02639
Plasmenyl-PE(P-18:1/20:2)+H,754.57456,613.55545,323.2945,291.26825,365.30503,142.02639
Plasmenyl-PE(P-18:1/20:3)+H,752.55896,611.53985,323.2945,289.25265,363.28943,142.02639
Plasmenyl-PE(P-18:1/20:4)+H,750.54326,609.52415,323.2945,287.23695,361.27373,142.02639
Plasmenyl-PE(P-18:1/20:5)+H,748.52766,607.50855,323.2945,285.22135,359.25813,142.02639
Plasmenyl-PE(P-18:1/21:0)+H,772.62156,631.60245,323.2945,309.31525,383.35203,142.02639
Plasmenyl-PE(P-18:1/22:0)+H,786.63716,645.61805,323.2945,323.33085,397.36763,142.02639
Plasmenyl-PE(P-18:1/22:1)+H,784.62156,643.60245,323.2945,321.31525,395.35203,142.02639
Plasmenyl-PE(P-18:1/22:2)+H,782.60586,641.58675,323.2945,319.29955,393.33633,142.02639
Plasmenyl-PE(P-18:1/22:3)+H,780.59026,639.57115,323.2945,317.28395,391.32073,142.02639
Plasmenyl-PE(P-18:1/22:4)+H,778.57456,637.55545,323.2945,315.26825,389.30503,142.02639
Plasmenyl-PE(P-18:1/22:5)+H,776.55896,635.53985,323.2945,313.25265,387.28943,142.02639
Plasmenyl-PE(P-18:1/22:6)+H,774.54326,633.52415,323.2945,311.23695,385.27373,142.02639
Plasmenyl-PE(P-18:1/23:0)+H,800.65286,659.63375,323.2945,337.34655,411.38333,142.02639
Plasmenyl-PE(P-18:1/24:0)+H,814.66846,673.64935,323.2945,351.36215,425.39893,142.02639
Plasmenyl-PE(P-18:1/24:1)+H,812.65286,671.63375,323.2945,349.34655,423.38333,142.02639
Plasmenyl-PE(P-18:1/25:0)+H,828.68416,687.66505,323.2945,365.37785,439.41463,142.02639
Plasmenyl-PE(P-18:1/26:0)+H,842.69976,701.68065,323.2945,379.39345,453.43023,142.02639
Plasmenyl-PE(P-18:1/8:0)+H,590.41806,449.39895,323.2945,127.11175,201.14853,142.02639
Plasmenyl-PE(P-20:0/10:0)+H,648.49626,507.47715,353.3414,155.14305,229.17983,142.02639
Plasmenyl-PE(P-20:0/12:0)+H,676.52756,535.50845,353.3414,183.17435,257.21113,142.02639
Plasmenyl-PE(P-20:0/13:0)+H,690.54326,549.52415,353.3414,197.19005,271.22683,142.02639
Plasmenyl-PE(P-20:0/14:0)+H,704.55886,563.53975,353.3414,211.20565,285.24243,142.02639
Plasmenyl-PE(P-20:0/14:1)+H,702.54326,561.52415,353.3414,209.19005,283.22683,142.02639
Plasmenyl-PE(P-20:0/15:0)+H,718.57456,577.55545,353.3414,225.22135,299.25813,142.02639
Plasmenyl-PE(P-20:0/15:1)+H,716.55886,575.53975,353.3414,223.20565,297.24243,142.02639
Plasmenyl-PE(P-20:0/16:0)+H,732.59016,591.57105,353.3414,239.23695,313.27373,142.02639
Plasmenyl-PE(P-20:0/16:1)+H,730.57456,589.55545,353.3414,237.22135,311.25813,142.02639
Plasmenyl-PE(P-20:0/17:0)+H,746.60586,605.58675,353.3414,253.25265,327.28943,142.02639
Plasmenyl-PE(P-20:0/17:1)+H,744.59016,603.57105,353.3414,251.23695,325.27373,142.02639
Plasmenyl-PE(P-20:0/17:2)+H,742.57456,601.55545,353.3414,249.22135,323.25813,142.02639
Plasmenyl-PE(P-20:0/18:0)+H,760.62146,619.60235,353.3414,267.26825,341.30503,142.02639
Plasmenyl-PE(P-20:0/18:1)+H,758.60586,617.58675,353.3414,265.25265,339.28943,142.02639
Plasmenyl-PE(P-20:0/18:2)+H,756.59016,615.57105,353.3414,263.23695,337.27373,142.02639
Plasmenyl-PE(P-20:0/18:3)+H,754.57456,613.55545,353.3414,261.22135,335.25813,142.02639
Plasmenyl-PE(P-20:0/18:4)+H,752.55886,611.53975,353.3414,259.20565,333.24243,142.02639
Plasmenyl-PE(P-20:0/19:0)+H,774.63716,633.61805,353.3414,281.28395,355.32073,142.02639
Plasmenyl-PE(P-20:0/20:0)+H,788.65276,647.63365,353.3414,295.29955,369.33633,142.02639
Plasmenyl-PE(P-20:0/20:1)+H,786.63716,645.61805,353.3414,293.28395,367.32073,142.02639
Plasmenyl-PE(P-20:0/20:2)+H,784.62146,643.60235,353.3414,291.26825,365.30503,142.02639
Plasmenyl-PE(P-20:0/20:3)+H,782.60586,641.58675,353.3414,289.25265,363.28943,142.02639
Plasmenyl-PE(P-20:0/20:4)+H,780.59016,639.57105,353.3414,287.23695,361.27373,142.02639
Plasmenyl-PE(P-20:0/20:5)+H,778.57456,637.55545,353.3414,285.22135,359.25813,142.02639
