LipidA-PP,[M-H]-,[M-H]-PO3H,[M-H]-PO4H3,[M-H]-R2,[M-H]-R3,[M-H]-PO4H3-R2'-O-FA,[M-H]-PO4H3-R3'-O-FA,[M-H]-(R2'-O-FA)-R2',[M-H]-(R3'-O-FA)-R3',[M-H]-R2-PO4H3,[M-H]-R3-PO4H3
LipidA-PP [12_14_16_14_3O-(14)_3O-(10)],1768.180272,1686.198292,1670.203372,1552.007832,1523.976552,1441.994572,1498.057132,1539.971472,1596.034032,1454.030932,1425.999652
LipidA-PP [12_14_16_14_3O-(14)_3O-(12)],1796.211572,1714.229592,1698.234672,1580.039132,1552.007852,1470.025872,1498.057152,1568.002772,1596.034052,1482.062232,1454.030952
LipidA-PP [12_14_16_14_3O-(14)_3O-(14)],1824.242872,1742.260892,1726.265972,1608.070432,1580.039152,1498.057172,1498.057172,1596.034072,1596.034072,1510.093532,1482.062252
LipidA-PP [12_14_16_14_3O-(14)_3O-(16)],1852.274173,1770.292193,1754.297273,1636.101733,1608.070453,1526.088473,1498.057193,1624.065373,1596.034093,1538.124833,1510.093553
LipidA-PP [12_14_16_14_3O-(14)_3O-(18)],1880.305473,1798.323493,1782.328573,1664.133033,1636.101753,1554.119773,1498.057213,1652.096673,1596.034113,1566.156133,1538.124853
LipidA-PP [12_14_16_14_3O-(16)_3O-(10)],1796.211572,1714.229592,1698.234672,1580.039132,1552.007852,1441.994592,1526.088432,1539.971492,1624.065332,1482.062232,1454.030952
LipidA-PP [12_14_16_14_3O-(16)_3O-(12)],1824.242872,1742.260892,1726.265972,1608.070432,1580.039152,1470.025892,1526.088452,1568.002792,1624.065352,1510.093532,1482.062252
LipidA-PP [12_14_16_14_3O-(16)_3O-(14)],1852.274173,1770.292193,1754.297273,1636.101733,1608.070453,1498.057193,1526.088473,1596.034093,1624.065373,1538.124833,1510.093553
LipidA-PP [12_14_16_14_3O-(16)_3O-(16)],1880.305473,1798.323493,1782.328573,1664.133033,1636.101753,1526.088493,1526.088493,1624.065393,1624.065393,1566.156133,1538.124853
LipidA-PP [12_14_16_14_3O-(16)_3O-(18)],1908.336773,1826.354793,1810.359873,1692.164333,1664.133053,1554.119793,1526.088513,1652.096693,1624.065413,1594.187433,1566.156153
LipidA-PP [12_14_16_14_3O-(18)_3O-(10)],1824.242872,1742.260892,1726.265972,1608.070432,1580.039152,1441.994612,1554.119732,1539.971512,1652.096632,1510.093532,1482.062252
LipidA-PP [12_14_16_14_3O-(18)_3O-(12)],1852.274173,1770.292193,1754.297273,1636.101733,1608.070453,1470.025913,1554.119753,1568.002813,1652.096653,1538.124833,1510.093553
LipidA-PP [12_14_16_14_3O-(18)_3O-(14)],1880.305473,1798.323493,1782.328573,1664.133033,1636.101753,1498.057213,1554.119773,1596.034113,1652.096673,1566.156133,1538.124853
LipidA-PP [12_14_16_14_3O-(18)_3O-(16)],1908.336773,1826.354793,1810.359873,1692.164333,1664.133053,1526.088513,1554.119793,1624.065413,1652.096693,1594.187433,1566.156153
LipidA-PP [12_14_16_14_3O-(18)_3O-(18)],1936.368073,1854.386093,1838.391173,1720.195633,1692.164353,1554.119813,1554.119813,1652.096713,1652.096713,1622.218733,1594.187453
LipidA-PP [12_14_16_16_3O-(10)_3O-(10)],1740.148972,1658.166992,1642.172072,1523.976532,1495.945252,1470.025832,1470.025832,1568.002732,1568.002732,1425.999632,1397.968352
LipidA-PP [12_14_16_16_3O-(10)_3O-(12)],1768.180272,1686.198292,1670.203372,1552.007832,1523.976552,1498.057132,1470.025852,1596.034032,1568.002752,1454.030932,1425.999652
LipidA-PP [12_14_16_16_3O-(10)_3O-(14)],1796.211572,1714.229592,1698.234672,1580.039132,1552.007852,1526.088432,1470.025872,1624.065332,1568.002772,1482.062232,1454.030952
LipidA-PP [12_14_16_16_3O-(10)_3O-(16)],1824.242872,1742.260892,1726.265972,1608.070432,1580.039152,1554.119732,1470.025892,1652.096632,1568.002792,1510.093532,1482.062252
LipidA-PP [12_14_16_16_3O-(10)_3O-(18)],1852.274173,1770.292193,1754.297273,1636.101733,1608.070453,1582.151033,1470.025913,1680.127933,1568.002813,1538.124833,1510.093553
LipidA-PP [12_14_16_16_3O-(12)_3O-(10)],1768.180272,1686.198292,1670.203372,1552.007832,1523.976552,1470.025852,1498.057132,1568.002752,1596.034032,1454.030932,1425.999652
LipidA-PP [12_14_16_16_3O-(12)_3O-(12)],1796.211572,1714.229592,1698.234672,1580.039132,1552.007852,1498.057152,1498.057152,1596.034052,1596.034052,1482.062232,1454.030952
LipidA-PP [12_14_16_16_3O-(12)_3O-(14)],1824.242872,1742.260892,1726.265972,1608.070432,1580.039152,1526.088452,1498.057172,1624.065352,1596.034072,1510.093532,1482.062252
LipidA-PP [12_14_16_16_3O-(12)_3O-(16)],1852.274173,1770.292193,1754.297273,1636.101733,1608.070453,1554.119753,1498.057193,1652.096653,1596.034093,1538.124833,1510.093553
LipidA-PP [12_14_16_16_3O-(12)_3O-(18)],1880.305473,1798.323493,1782.328573,1664.133033,1636.101753,1582.151053,1498.057213,1680.127953,1596.034113,1566.156133,1538.124853
LipidA-PP [12_14_16_16_3O-(14)_3O-(10)],1796.211572,1714.229592,1698.234672,1580.039132,1552.007852,1470.025872,1526.088432,1568.002772,1624.065332,1482.062232,1454.030952
LipidA-PP [12_14_16_16_3O-(14)_3O-(12)],1824.242872,1742.260892,1726.265972,1608.070432,1580.039152,1498.057172,1526.088452,1596.034072,1624.065352,1510.093532,1482.062252
LipidA-PP [12_14_16_16_3O-(14)_3O-(14)],1852.274173,1770.292193,1754.297273,1636.101733,1608.070453,1526.088473,1526.088473,1624.065373,1624.065373,1538.124833,1510.093553
LipidA-PP [12_14_16_16_3O-(14)_3O-(16)],1880.305473,1798.323493,1782.328573,1664.133033,1636.101753,1554.119773,1526.088493,1652.096673,1624.065393,1566.156133,1538.124853
LipidA-PP [12_14_16_16_3O-(14)_3O-(18)],1908.336773,1826.354793,1810.359873,1692.164333,1664.133053,1582.151073,1526.088513,1680.127973,1624.065413,1594.187433,1566.156153
LipidA-PP [12_14_16_16_3O-(16)_3O-(10)],1824.242872,1742.260892,1726.265972,1608.070432,1580.039152,1470.025892,1554.119732,1568.002792,1652.096632,1510.093532,1482.062252
LipidA-PP [12_14_16_16_3O-(16)_3O-(12)],1852.274173,1770.292193,1754.297273,1636.101733,1608.070453,1498.057193,1554.119753,1596.034093,1652.096653,1538.124833,1510.093553
LipidA-PP [12_14_16_16_3O-(16)_3O-(14)],1880.305473,1798.323493,1782.328573,1664.133033,1636.101753,1526.088493,1554.119773,1624.065393,1652.096673,1566.156133,1538.124853
LipidA-PP [12_14_16_16_3O-(16)_3O-(16)],1908.336773,1826.354793,1810.359873,1692.164333,1664.133053,1554.119793,1554.119793,1652.096693,1652.096693,1594.187433,1566.156153
LipidA-PP [12_14_16_16_3O-(16)_3O-(18)],1936.368073,1854.386093,1838.391173,1720.195633,1692.164353,1582.151093,1554.119813,1680.127993,1652.096713,1622.218733,1594.187453
LipidA-PP [12_14_16_16_3O-(18)_3O-(10)],1852.274173,1770.292193,1754.297273,1636.101733,1608.070453,1470.025913,1582.151033,1568.002813,1680.127933,1538.124833,1510.093553
LipidA-PP [12_14_16_16_3O-(18)_3O-(12)],1880.305473,1798.323493,1782.328573,1664.133033,1636.101753,1498.057213,1582.151053,1596.034113,1680.127953,1566.156133,1538.124853
LipidA-PP [12_14_16_16_3O-(18)_3O-(14)],1908.336773,1826.354793,1810.359873,1692.164333,1664.133053,1526.088513,1582.151073,1624.065413,1680.127973,1594.187433,1566.156153
LipidA-PP [12_14_16_16_3O-(18)_3O-(16)],1936.368073,1854.386093,1838.391173,1720.195633,1692.164353,1554.119813,1582.151093,1652.096713,1680.127993,1622.218733,1594.187453
LipidA-PP [12_14_16_16_3O-(18)_3O-(18)],1964.399373,1882.417393,1866.422473,1748.226933,1720.195653,1582.151113,1582.151113,1680.128013,1680.128013,1650.250033,1622.218753
LipidA-PP [12_14_16_18_3O-(10)_3O-(10)],1768.180272,1686.198292,1670.203372,1552.007832,1523.976552,1498.057132,1498.057132,1596.034032,1596.034032,1454.030932,1425.999652
LipidA-PP [12_14_16_18_3O-(10)_3O-(12)],1796.211572,1714.229592,1698.234672,1580.039132,1552.007852,1526.088432,1498.057152,1624.065332,1596.034052,1482.062232,1454.030952
LipidA-PP [12_14_16_18_3O-(10)_3O-(14)],1824.242872,1742.260892,1726.265972,1608.070432,1580.039152,1554.119732,1498.057172,1652.096632,1596.034072,1510.093532,1482.062252
LipidA-PP [12_14_16_18_3O-(10)_3O-(16)],1852.274173,1770.292193,1754.297273,1636.101733,1608.070453,1582.151033,1498.057193,1680.127933,1596.034093,1538.124833,1510.093553
LipidA-PP [12_14_16_18_3O-(10)_3O-(18)],1880.305473,1798.323493,1782.328573,1664.133033,1636.101753,1610.182333,1498.057213,1708.159233,1596.034113,1566.156133,1538.124853
LipidA-PP [12_14_16_18_3O-(12)_3O-(10)],1796.211572,1714.229592,1698.234672,1580.039132,1552.007852,1498.057152,1526.088432,1596.034052,1624.065332,1482.062232,1454.030952
LipidA-PP [12_14_16_18_3O-(12)_3O-(12)],1824.242872,1742.260892,1726.265972,1608.070432,1580.039152,1526.088452,1526.088452,1624.065352,1624.065352,1510.093532,1482.062252
LipidA-PP [12_14_16_18_3O-(12)_3O-(14)],1852.274173,1770.292193,1754.297273,1636.101733,1608.070453,1554.119753,1526.088473,1652.096653,1624.065373,1538.124833,1510.093553
LipidA-PP [12_14_16_18_3O-(12)_3O-(16)],1880.305473,1798.323493,1782.328573,1664.133033,1636.101753,1582.151053,1526.088493,1680.127953,1624.065393,1566.156133,1538.124853
LipidA-PP [12_14_16_18_3O-(12)_3O-(18)],1908.336773,1826.354793,1810.359873,1692.164333,1664.133053,1610.182353,1526.088513,1708.159253,1624.065413,1594.187433,1566.156153
LipidA-PP [12_14_16_18_3O-(14)_3O-(10)],1824.242872,1742.260892,1726.265972,1608.070432,1580.039152,1498.057172,1554.119732,1596.034072,1652.096632,1510.093532,1482.062252
LipidA-PP [12_14_16_18_3O-(14)_3O-(12)],1852.274173,1770.292193,1754.297273,1636.101733,1608.070453,1526.088473,1554.119753,1624.065373,1652.096653,1538.124833,1510.093553
LipidA-PP [12_14_16_18_3O-(14)_3O-(14)],1880.305473,1798.323493,1782.328573,1664.133033,1636.101753,1554.119773,1554.119773,1652.096673,1652.096673,1566.156133,1538.124853
LipidA-PP [12_14_16_18_3O-(14)_3O-(16)],1908.336773,1826.354793,1810.359873,1692.164333,1664.133053,1582.151073,1554.119793,1680.127973,1652.096693,1594.187433,1566.156153
LipidA-PP [12_14_16_18_3O-(14)_3O-(18)],1936.368073,1854.386093,1838.391173,1720.195633,1692.164353,1610.182373,1554.119813,1708.159273,1652.096713,1622.218733,1594.187453
LipidA-PP [12_14_16_18_3O-(16)_3O-(10)],1852.274173,1770.292193,1754.297273,1636.101733,1608.070453,1498.057193,1582.151033,1596.034093,1680.127933,1538.124833,1510.093553
LipidA-PP [12_14_16_18_3O-(16)_3O-(12)],1880.305473,1798.323493,1782.328573,1664.133033,1636.101753,1526.088493,1582.151053,1624.065393,1680.127953,1566.156133,1538.124853
LipidA-PP [12_14_16_18_3O-(16)_3O-(14)],1908.336773,1826.354793,1810.359873,1692.164333,1664.133053,1554.119793,1582.151073,1652.096693,1680.127973,1594.187433,1566.156153
LipidA-PP [12_14_16_18_3O-(16)_3O-(16)],1936.368073,1854.386093,1838.391173,1720.195633,1692.164353,1582.151093,1582.151093,1680.127993,1680.127993,1622.218733,1594.187453
LipidA-PP [12_14_16_18_3O-(16)_3O-(18)],1964.399373,1882.417393,1866.422473,1748.226933,1720.195653,1610.182393,1582.151113,1708.159293,1680.128013,1650.250033,1622.218753
LipidA-PP [12_14_16_18_3O-(18)_3O-(10)],1880.305473,1798.323493,1782.328573,1664.133033,1636.101753,1498.057213,1610.182333,1596.034113,1708.159233,1566.156133,1538.124853
LipidA-PP [12_14_16_18_3O-(18)_3O-(12)],1908.336773,1826.354793,1810.359873,1692.164333,1664.133053,1526.088513,1610.182353,1624.065413,1708.159253,1594.187433,1566.156153
LipidA-PP [12_14_16_18_3O-(18)_3O-(14)],1936.368073,1854.386093,1838.391173,1720.195633,1692.164353,1554.119813,1610.182373,1652.096713,1708.159273,1622.218733,1594.187453
LipidA-PP [12_14_16_18_3O-(18)_3O-(16)],1964.399373,1882.417393,1866.422473,1748.226933,1720.195653,1582.151113,1610.182393,1680.128013,1708.159293,1650.250033,1622.218753
LipidA-PP [12_14_16_18_3O-(18)_3O-(18)],1992.430673,1910.448693,1894.453773,1776.258233,1748.226953,1610.182413,1610.182413,1708.159313,1708.159313,1678.281333,1650.250053
LipidA-PP [12_14_18_10_3O-(10)_3O-(10)],1684.086372,1602.104392,1586.109472,1467.913932,1439.882652,1413.963232,1413.963232,1511.940132,1511.940132,1369.937032,1341.905752
LipidA-PP [12_14_18_10_3O-(10)_3O-(12)],1712.117672,1630.135692,1614.140772,1495.945232,1467.913952,1441.994532,1413.963252,1539.971432,1511.940152,1397.968332,1369.937052
LipidA-PP [12_14_18_10_3O-(10)_3O-(14)],1740.148972,1658.166992,1642.172072,1523.976532,1495.945252,1470.025832,1413.963272,1568.002732,1511.940172,1425.999632,1397.968352
LipidA-PP [12_14_18_10_3O-(10)_3O-(16)],1768.180272,1686.198292,1670.203372,1552.007832,1523.976552,1498.057132,1413.963292,1596.034032,1511.940192,1454.030932,1425.999652
LipidA-PP [12_14_18_10_3O-(10)_3O-(18)],1796.211572,1714.229592,1698.234672,1580.039132,1552.007852,1526.088432,1413.963312,1624.065332,1511.940212,1482.062232,1454.030952
LipidA-PP [12_14_18_10_3O-(12)_3O-(10)],1712.117672,1630.135692,1614.140772,1495.945232,1467.913952,1413.963252,1441.994532,1511.940152,1539.971432,1397.968332,1369.937052
LipidA-PP [12_14_18_10_3O-(12)_3O-(12)],1740.148972,1658.166992,1642.172072,1523.976532,1495.945252,1441.994552,1441.994552,1539.971452,1539.971452,1425.999632,1397.968352
LipidA-PP [12_14_18_10_3O-(12)_3O-(14)],1768.180272,1686.198292,1670.203372,1552.007832,1523.976552,1470.025852,1441.994572,1568.002752,1539.971472,1454.030932,1425.999652
LipidA-PP [12_14_18_10_3O-(12)_3O-(16)],1796.211572,1714.229592,1698.234672,1580.039132,1552.007852,1498.057152,1441.994592,1596.034052,1539.971492,1482.062232,1454.030952
LipidA-PP [12_14_18_10_3O-(12)_3O-(18)],1824.242872,1742.260892,1726.265972,1608.070432,1580.039152,1526.088452,1441.994612,1624.065352,1539.971512,1510.093532,1482.062252
LipidA-PP [12_14_18_10_3O-(14)_3O-(10)],1740.148972,1658.166992,1642.172072,1523.976532,1495.945252,1413.963272,1470.025832,1511.940172,1568.002732,1425.999632,1397.968352
LipidA-PP [12_14_18_10_3O-(14)_3O-(12)],1768.180272,1686.198292,1670.203372,1552.007832,1523.976552,1441.994572,1470.025852,1539.971472,1568.002752,1454.030932,1425.999652
LipidA-PP [12_14_18_10_3O-(14)_3O-(14)],1796.211572,1714.229592,1698.234672,1580.039132,1552.007852,1470.025872,1470.025872,1568.002772,1568.002772,1482.062232,1454.030952
LipidA-PP [12_14_18_10_3O-(14)_3O-(16)],1824.242872,1742.260892,1726.265972,1608.070432,1580.039152,1498.057172,1470.025892,1596.034072,1568.002792,1510.093532,1482.062252
LipidA-PP [12_14_18_10_3O-(14)_3O-(18)],1852.274173,1770.292193,1754.297273,1636.101733,1608.070453,1526.088473,1470.025913,1624.065373,1568.002813,1538.124833,1510.093553
LipidA-PP [12_14_18_10_3O-(16)_3O-(10)],1768.180272,1686.198292,1670.203372,1552.007832,1523.976552,1413.963292,1498.057132,1511.940192,1596.034032,1454.030932,1425.999652
LipidA-PP [12_14_18_10_3O-(16)_3O-(12)],1796.211572,1714.229592,1698.234672,1580.039132,1552.007852,1441.994592,1498.057152,1539.971492,1596.034052,1482.062232,1454.030952
LipidA-PP [12_14_18_10_3O-(16)_3O-(14)],1824.242872,1742.260892,1726.265972,1608.070432,1580.039152,1470.025892,1498.057172,1568.002792,1596.034072,1510.093532,1482.062252
LipidA-PP [12_14_18_10_3O-(16)_3O-(16)],1852.274173,1770.292193,1754.297273,1636.101733,1608.070453,1498.057193,1498.057193,1596.034093,1596.034093,1538.124833,1510.093553
LipidA-PP [12_14_18_10_3O-(16)_3O-(18)],1880.305473,1798.323493,1782.328573,1664.133033,1636.101753,1526.088493,1498.057213,1624.065393,1596.034113,1566.156133,1538.124853
LipidA-PP [12_14_18_10_3O-(18)_3O-(10)],1796.211572,1714.229592,1698.234672,1580.039132,1552.007852,1413.963312,1526.088432,1511.940212,1624.065332,1482.062232,1454.030952
LipidA-PP [12_14_18_10_3O-(18)_3O-(12)],1824.242872,1742.260892,1726.265972,1608.070432,1580.039152,1441.994612,1526.088452,1539.971512,1624.065352,1510.093532,1482.062252
LipidA-PP [12_14_18_10_3O-(18)_3O-(14)],1852.274173,1770.292193,1754.297273,1636.101733,1608.070453,1470.025913,1526.088473,1568.002813,1624.065373,1538.124833,1510.093553
LipidA-PP [12_14_18_10_3O-(18)_3O-(16)],1880.305473,1798.323493,1782.328573,1664.133033,1636.101753,1498.057213,1526.088493,1596.034113,1624.065393,1566.156133,1538.124853
LipidA-PP [12_14_18_10_3O-(18)_3O-(18)],1908.336773,1826.354793,1810.359873,1692.164333,1664.133053,1526.088513,1526.088513,1624.065413,1624.065413,1594.187433,1566.156153
LipidA-PP [12_14_18_12_3O-(10)_3O-(10)],1712.117672,1630.135692,1614.140772,1495.945232,1467.913952,1441.994532,1441.994532,1539.971432,1539.971432,1397.968332,1369.937052
LipidA-PP [12_14_18_12_3O-(10)_3O-(12)],1740.148972,1658.166992,1642.172072,1523.976532,1495.945252,1470.025832,1441.994552,1568.002732,1539.971452,1425.999632,1397.968352
LipidA-PP [12_14_18_12_3O-(10)_3O-(14)],1768.180272,1686.198292,1670.203372,1552.007832,1523.976552,1498.057132,1441.994572,1596.034032,1539.971472,1454.030932,1425.999652
LipidA-PP [12_14_18_12_3O-(10)_3O-(16)],1796.211572,1714.229592,1698.234672,1580.039132,1552.007852,1526.088432,1441.994592,1624.065332,1539.971492,1482.062232,1454.030952
LipidA-PP [12_14_18_12_3O-(10)_3O-(18)],1824.242872,1742.260892,1726.265972,1608.070432,1580.039152,1554.119732,1441.994612,1652.096632,1539.971512,1510.093532,1482.062252
LipidA-PP [12_14_18_12_3O-(12)_3O-(10)],1740.148972,1658.166992,1642.172072,1523.976532,1495.945252,1441.994552,1470.025832,1539.971452,1568.002732,1425.999632,1397.968352
LipidA-PP [12_14_18_12_3O-(12)_3O-(12)],1768.180272,1686.198292,1670.203372,1552.007832,1523.976552,1470.025852,1470.025852,1568.002752,1568.002752,1454.030932,1425.999652
LipidA-PP [12_14_18_12_3O-(12)_3O-(14)],1796.211572,1714.229592,1698.234672,1580.039132,1552.007852,1498.057152,1470.025872,1596.034052,1568.002772,1482.062232,1454.030952
LipidA-PP [12_14_18_12_3O-(12)_3O-(16)],1824.242872,1742.260892,1726.265972,1608.070432,1580.039152,1526.088452,1470.025892,1624.065352,1568.002792,1510.093532,1482.062252
LipidA-PP [12_14_18_12_3O-(12)_3O-(18)],1852.274173,1770.292193,1754.297273,1636.101733,1608.070453,1554.119753,1470.025913,1652.096653,1568.002813,1538.124833,1510.093553
LipidA-PP [12_14_18_12_3O-(14)_3O-(10)],1768.180272,1686.198292,1670.203372,1552.007832,1523.976552,1441.994572,1498.057132,1539.971472,1596.034032,1454.030932,1425.999652
LipidA-PP [12_14_18_12_3O-(14)_3O-(12)],1796.211572,1714.229592,1698.234672,1580.039132,1552.007852,1470.025872,1498.057152,1568.002772,1596.034052,1482.062232,1454.030952
LipidA-PP [12_14_18_12_3O-(14)_3O-(14)],1824.242872,1742.260892,1726.265972,1608.070432,1580.039152,1498.057172,1498.057172,1596.034072,1596.034072,1510.093532,1482.062252
LipidA-PP [12_14_18_12_3O-(14)_3O-(16)],1852.274173,1770.292193,1754.297273,1636.101733,1608.070453,1526.088473,1498.057193,1624.065373,1596.034093,1538.124833,1510.093553
LipidA-PP [12_14_18_12_3O-(14)_3O-(18)],1880.305473,1798.323493,1782.328573,1664.133033,1636.101753,1554.119773,1498.057213,1652.096673,1596.034113,1566.156133,1538.124853
LipidA-PP [12_14_18_12_3O-(16)_3O-(10)],1796.211572,1714.229592,1698.234672,1580.039132,1552.007852,1441.994592,1526.088432,1539.971492,1624.065332,1482.062232,1454.030952
LipidA-PP [12_14_18_12_3O-(16)_3O-(12)],1824.242872,1742.260892,1726.265972,1608.070432,1580.039152,1470.025892,1526.088452,1568.002792,1624.065352,1510.093532,1482.062252
LipidA-PP [12_14_18_12_3O-(16)_3O-(14)],1852.274173,1770.292193,1754.297273,1636.101733,1608.070453,1498.057193,1526.088473,1596.034093,1624.065373,1538.124833,1510.093553
LipidA-PP [12_14_18_12_3O-(16)_3O-(16)],1880.305473,1798.323493,1782.328573,1664.133033,1636.101753,1526.088493,1526.088493,1624.065393,1624.065393,1566.156133,1538.124853
LipidA-PP [12_14_18_12_3O-(16)_3O-(18)],1908.336773,1826.354793,1810.359873,1692.164333,1664.133053,1554.119793,1526.088513,1652.096693,1624.065413,1594.187433,1566.156153
LipidA-PP [12_14_18_12_3O-(18)_3O-(10)],1824.242872,1742.260892,1726.265972,1608.070432,1580.039152,1441.994612,1554.119732,1539.971512,1652.096632,1510.093532,1482.062252
LipidA-PP [12_14_18_12_3O-(18)_3O-(12)],1852.274173,1770.292193,1754.297273,1636.101733,1608.070453,1470.025913,1554.119753,1568.002813,1652.096653,1538.124833,1510.093553
LipidA-PP [12_14_18_12_3O-(18)_3O-(14)],1880.305473,1798.323493,1782.328573,1664.133033,1636.101753,1498.057213,1554.119773,1596.034113,1652.096673,1566.156133,1538.124853
LipidA-PP [12_14_18_12_3O-(18)_3O-(16)],1908.336773,1826.354793,1810.359873,1692.164333,1664.133053,1526.088513,1554.119793,1624.065413,1652.096693,1594.187433,1566.156153
LipidA-PP [12_14_18_12_3O-(18)_3O-(18)],1936.368073,1854.386093,1838.391173,1720.195633,1692.164353,1554.119813,1554.119813,1652.096713,1652.096713,1622.218733,1594.187453
LipidA-PP [12_14_18_14_3O-(10)_3O-(10)],1740.148972,1658.166992,1642.172072,1523.976532,1495.945252,1470.025832,1470.025832,1568.002732,1568.002732,1425.999632,1397.968352
LipidA-PP [12_14_18_14_3O-(10)_3O-(12)],1768.180272,1686.198292,1670.203372,1552.007832,1523.976552,1498.057132,1470.025852,1596.034032,1568.002752,1454.030932,1425.999652
LipidA-PP [12_14_18_14_3O-(10)_3O-(14)],1796.211572,1714.229592,1698.234672,1580.039132,1552.007852,1526.088432,1470.025872,1624.065332,1568.002772,1482.062232,1454.030952
LipidA-PP [12_14_18_14_3O-(10)_3O-(16)],1824.242872,1742.260892,1726.265972,1608.070432,1580.039152,1554.119732,1470.025892,1652.096632,1568.002792,1510.093532,1482.062252
LipidA-PP [12_14_18_14_3O-(10)_3O-(18)],1852.274173,1770.292193,1754.297273,1636.101733,1608.070453,1582.151033,1470.025913,1680.127933,1568.002813,1538.124833,1510.093553
LipidA-PP [12_14_18_14_3O-(12)_3O-(10)],1768.180272,1686.198292,1670.203372,1552.007832,1523.976552,1470.025852,1498.057132,1568.002752,1596.034032,1454.030932,1425.999652
LipidA-PP [12_14_18_14_3O-(12)_3O-(12)],1796.211572,1714.229592,1698.234672,1580.039132,1552.007852,1498.057152,1498.057152,1596.034052,1596.034052,1482.062232,1454.030952
LipidA-PP [12_14_18_14_3O-(12)_3O-(14)],1824.242872,1742.260892,1726.265972,1608.070432,1580.039152,1526.088452,1498.057172,1624.065352,1596.034072,1510.093532,1482.062252
LipidA-PP [12_14_18_14_3O-(12)_3O-(16)],1852.274173,1770.292193,1754.297273,1636.101733,1608.070453,1554.119753,1498.057193,1652.096653,1596.034093,1538.124833,1510.093553
LipidA-PP [12_14_18_14_3O-(12)_3O-(18)],1880.305473,1798.323493,1782.328573,1664.133033,1636.101753,1582.151053,1498.057213,1680.127953,1596.034113,1566.156133,1538.124853
LipidA-PP [12_14_18_14_3O-(14)_3O-(10)],1796.211572,1714.229592,1698.234672,1580.039132,1552.007852,1470.025872,1526.088432,1568.002772,1624.065332,1482.062232,1454.030952
LipidA-PP [12_14_18_14_3O-(14)_3O-(12)],1824.242872,1742.260892,1726.265972,1608.070432,1580.039152,1498.057172,1526.088452,1596.034072,1624.065352,1510.093532,1482.062252
LipidA-PP [12_14_18_14_3O-(14)_3O-(14)],1852.274173,1770.292193,1754.297273,1636.101733,1608.070453,1526.088473,1526.088473,1624.065373,1624.065373,1538.124833,1510.093553
LipidA-PP [12_14_18_14_3O-(14)_3O-(16)],1880.305473,1798.323493,1782.328573,1664.133033,1636.101753,1554.119773,1526.088493,1652.096673,1624.065393,1566.156133,1538.124853
LipidA-PP [12_14_18_14_3O-(14)_3O-(18)],1908.336773,1826.354793,1810.359873,1692.164333,1664.133053,1582.151073,1526.088513,1680.127973,1624.065413,1594.187433,1566.156153
LipidA-PP [12_14_18_14_3O-(16)_3O-(10)],1824.242872,1742.260892,1726.265972,1608.070432,1580.039152,1470.025892,1554.119732,1568.002792,1652.096632,1510.093532,1482.062252
LipidA-PP [12_14_18_14_3O-(16)_3O-(12)],1852.274173,1770.292193,1754.297273,1636.101733,1608.070453,1498.057193,1554.119753,1596.034093,1652.096653,1538.124833,1510.093553
LipidA-PP [12_14_18_14_3O-(16)_3O-(14)],1880.305473,1798.323493,1782.328573,1664.133033,1636.101753,1526.088493,1554.119773,1624.065393,1652.096673,1566.156133,1538.124853
LipidA-PP [12_14_18_14_3O-(16)_3O-(16)],1908.336773,1826.354793,1810.359873,1692.164333,1664.133053,1554.119793,1554.119793,1652.096693,1652.096693,1594.187433,1566.156153
LipidA-PP [12_14_18_14_3O-(16)_3O-(18)],1936.368073,1854.386093,1838.391173,1720.195633,1692.164353,1582.151093,1554.119813,1680.127993,1652.096713,1622.218733,1594.187453
LipidA-PP [12_14_18_14_3O-(18)_3O-(10)],1852.274173,1770.292193,1754.297273,1636.101733,1608.070453,1470.025913,1582.151033,1568.002813,1680.127933,1538.124833,1510.093553
LipidA-PP [12_14_18_14_3O-(18)_3O-(12)],1880.305473,1798.323493,1782.328573,1664.133033,1636.101753,1498.057213,1582.151053,1596.034113,1680.127953,1566.156133,1538.124853
LipidA-PP [12_14_18_14_3O-(18)_3O-(14)],1908.336773,1826.354793,1810.359873,1692.164333,1664.133053,1526.088513,1582.151073,1624.065413,1680.127973,1594.187433,1566.156153
LipidA-PP [12_14_18_14_3O-(18)_3O-(16)],1936.368073,1854.386093,1838.391173,1720.195633,1692.164353,1554.119813,1582.151093,1652.096713,1680.127993,1622.218733,1594.187453
LipidA-PP [12_14_18_14_3O-(18)_3O-(18)],1964.399373,1882.417393,1866.422473,1748.226933,1720.195653,1582.151113,1582.151113,1680.128013,1680.128013,1650.250033,1622.218753
LipidA-PP [12_14_18_16_3O-(10)_3O-(10)],1768.180272,1686.198292,1670.203372,1552.007832,1523.976552,1498.057132,1498.057132,1596.034032,1596.034032,1454.030932,1425.999652
LipidA-PP [12_14_18_16_3O-(10)_3O-(12)],1796.211572,1714.229592,1698.234672,1580.039132,1552.007852,1526.088432,1498.057152,1624.065332,1596.034052,1482.062232,1454.030952
LipidA-PP [12_14_18_16_3O-(10)_3O-(14)],1824.242872,1742.260892,1726.265972,1608.070432,1580.039152,1554.119732,1498.057172,1652.096632,1596.034072,1510.093532,1482.062252
LipidA-PP [12_14_18_16_3O-(10)_3O-(16)],1852.274173,1770.292193,1754.297273,1636.101733,1608.070453,1582.151033,1498.057193,1680.127933,1596.034093,1538.124833,1510.093553
