LipidA-PP,[M-H]-,[M-H]-PO3H,[M-H]-PO4H3,[M-H]-R2,[M-H]-R3,[M-H]-PO4H3-R2'-O-FA,[M-H]-PO4H3-R3'-O-FA,[M-H]-(R2'-O-FA)-R2',[M-H]-(R3'-O-FA)-R3',[M-H]-R2-PO4H3,[M-H]-R3-PO4H3
LipidA-PP [10_10_10_12_3O-(12)_3O-(12)],1571.961171,1489.979191,1473.984271,1383.820011,1383.820011,1273.806751,1273.806751,1371.783651,1371.783651,1285.843111,1285.843111
LipidA-PP [10_10_10_12_3O-(12)_3O-(14)],1599.992471,1518.010491,1502.015571,1411.851311,1411.851311,1301.838051,1273.806771,1399.814951,1371.783671,1313.874411,1313.874411
LipidA-PP [10_10_10_12_3O-(12)_3O-(16)],1628.023772,1546.041792,1530.046872,1439.882612,1439.882612,1329.869352,1273.806792,1427.846252,1371.783692,1341.905712,1341.905712
LipidA-PP [10_10_10_12_3O-(12)_3O-(18)],1656.055072,1574.073092,1558.078172,1467.913912,1467.913912,1357.900652,1273.806812,1455.877552,1371.783712,1369.937012,1369.937012
LipidA-PP [10_10_10_12_3O-(14)_3O-(10)],1571.961171,1489.979191,1473.984271,1383.820011,1383.820011,1245.775471,1301.838031,1343.752371,1399.814931,1285.843111,1285.843111
LipidA-PP [10_10_10_12_3O-(14)_3O-(12)],1599.992471,1518.010491,1502.015571,1411.851311,1411.851311,1273.806771,1301.838051,1371.783671,1399.814951,1313.874411,1313.874411
LipidA-PP [10_10_10_12_3O-(14)_3O-(14)],1628.023772,1546.041792,1530.046872,1439.882612,1439.882612,1301.838072,1301.838072,1399.814972,1399.814972,1341.905712,1341.905712
LipidA-PP [10_10_10_12_3O-(14)_3O-(16)],1656.055072,1574.073092,1558.078172,1467.913912,1467.913912,1329.869372,1301.838092,1427.846272,1399.814992,1369.937012,1369.937012
LipidA-PP [10_10_10_12_3O-(14)_3O-(18)],1684.086372,1602.104392,1586.109472,1495.945212,1495.945212,1357.900672,1301.838112,1455.877572,1399.815012,1397.968312,1397.968312
LipidA-PP [10_10_10_12_3O-(16)_3O-(10)],1599.992471,1518.010491,1502.015571,1411.851311,1411.851311,1245.775491,1329.869331,1343.752391,1427.846231,1313.874411,1313.874411
LipidA-PP [10_10_10_12_3O-(16)_3O-(12)],1628.023772,1546.041792,1530.046872,1439.882612,1439.882612,1273.806792,1329.869352,1371.783692,1427.846252,1341.905712,1341.905712
LipidA-PP [10_10_10_12_3O-(16)_3O-(14)],1656.055072,1574.073092,1558.078172,1467.913912,1467.913912,1301.838092,1329.869372,1399.814992,1427.846272,1369.937012,1369.937012
LipidA-PP [10_10_10_12_3O-(16)_3O-(16)],1684.086372,1602.104392,1586.109472,1495.945212,1495.945212,1329.869392,1329.869392,1427.846292,1427.846292,1397.968312,1397.968312
LipidA-PP [10_10_10_12_3O-(16)_3O-(18)],1712.117672,1630.135692,1614.140772,1523.976512,1523.976512,1357.900692,1329.869412,1455.877592,1427.846312,1425.999612,1425.999612
