Plasmanyl-TG,[M+NH4],NL R2COOH,NL R3COOH
plasmanyl-TG(O-16:1_13:0_15:0)+NH4,752.71285,521.49285,493.46155
plasmanyl-TG(O-16:1_13:0_15:1)+NH4,750.69715,519.47715,493.46155
plasmanyl-TG(O-16:1_13:0_16:0)+NH4,766.72845,535.50845,493.46155
plasmanyl-TG(O-16:1_13:0_16:1)+NH4,764.71285,533.49285,493.46155
plasmanyl-TG(O-16:1_13:0_17:0)+NH4,780.74415,549.52415,493.46155
plasmanyl-TG(O-16:1_13:0_17:1)+NH4,778.72845,547.50845,493.46155
plasmanyl-TG(O-16:1_13:0_17:2)+NH4,776.71285,545.49285,493.46155
plasmanyl-TG(O-16:1_13:0_18:0)+NH4,794.75975,563.53975,493.46155
plasmanyl-TG(O-16:1_13:0_18:1)+NH4,792.74415,561.52415,493.46155
plasmanyl-TG(O-16:1_13:0_18:2)+NH4,790.72845,559.50845,493.46155
plasmanyl-TG(O-16:1_13:0_18:3)+NH4,788.71285,557.49285,493.46155
plasmanyl-TG(O-16:1_13:0_18:4)+NH4,786.69715,555.47715,493.46155
plasmanyl-TG(O-16:1_13:0_19:0)+NH4,808.77545,577.55545,493.46155
plasmanyl-TG(O-16:1_13:0_20:0)+NH4,822.79105,591.57105,493.46155
plasmanyl-TG(O-16:1_13:0_20:1)+NH4,820.77545,589.55545,493.46155
plasmanyl-TG(O-16:1_13:0_20:2)+NH4,818.75975,587.53975,493.46155
plasmanyl-TG(O-16:1_13:0_20:3)+NH4,816.74415,585.52415,493.46155
plasmanyl-TG(O-16:1_13:0_20:4)+NH4,814.72845,583.50845,493.46155
plasmanyl-TG(O-16:1_13:0_20:5)+NH4,812.71285,581.49285,493.46155
plasmanyl-TG(O-16:1_13:0_21:0)+NH4,836.80675,605.58675,493.46155
plasmanyl-TG(O-16:1_13:0_22:0)+NH4,850.82235,619.60235,493.46155
plasmanyl-TG(O-16:1_13:0_22:1)+NH4,848.80675,617.58675,493.46155
plasmanyl-TG(O-16:1_13:0_22:2)+NH4,846.79105,615.57105,493.46155
plasmanyl-TG(O-16:1_13:0_22:3)+NH4,844.77545,613.55545,493.46155
plasmanyl-TG(O-16:1_13:0_22:4)+NH4,842.75975,611.53975,493.46155
plasmanyl-TG(O-16:1_13:0_22:5)+NH4,840.74415,609.52415,493.46155
plasmanyl-TG(O-16:1_13:0_22:6)+NH4,838.72845,607.50845,493.46155
plasmanyl-TG(O-16:1_13:0_23:0)+NH4,864.83805,633.61805,493.46155
plasmanyl-TG(O-16:1_13:0_24:0)+NH4,878.85365,647.63365,493.46155
plasmanyl-TG(O-16:1_13:0_24:1)+NH4,876.83805,645.61805,493.46155
plasmanyl-TG(O-16:1_13:0_25:0)+NH4,892.86935,661.64935,493.46155
plasmanyl-TG(O-16:1_13:0_26:0)+NH4,906.88495,675.66495,493.46155
plasmanyl-TG(O-16:1_14:0_14:0)+NH4,752.71275,507.47715,507.47715
plasmanyl-TG(O-16:1_14:0_14:1)+NH4,750.69715,505.46155,507.47715
plasmanyl-TG(O-16:1_14:0_15:0)+NH4,766.72845,521.49285,507.47715
plasmanyl-TG(O-16:1_14:0_15:1)+NH4,764.71275,519.47715,507.47715
plasmanyl-TG(O-16:1_14:0_16:0)+NH4,780.74405,535.50845,507.47715
plasmanyl-TG(O-16:1_14:0_16:1)+NH4,778.72845,533.49285,507.47715
plasmanyl-TG(O-16:1_14:0_17:0)+NH4,794.75975,549.52415,507.47715
plasmanyl-TG(O-16:1_14:0_17:1)+NH4,792.74405,547.50845,507.47715
plasmanyl-TG(O-16:1_14:0_17:2)+NH4,790.72845,545.49285,507.47715
plasmanyl-TG(O-16:1_14:0_18:0)+NH4,808.77535,563.53975,507.47715
plasmanyl-TG(O-16:1_14:0_18:1)+NH4,806.75975,561.52415,507.47715
plasmanyl-TG(O-16:1_14:0_18:2)+NH4,804.74405,559.50845,507.47715
plasmanyl-TG(O-16:1_14:0_18:3)+NH4,802.72845,557.49285,507.47715
plasmanyl-TG(O-16:1_14:0_18:4)+NH4,800.71275,555.47715,507.47715
plasmanyl-TG(O-16:1_14:0_19:0)+NH4,822.79105,577.55545,507.47715
plasmanyl-TG(O-16:1_14:0_20:0)+NH4,836.80665,591.57105,507.47715
plasmanyl-TG(O-16:1_14:0_20:1)+NH4,834.79105,589.55545,507.47715
plasmanyl-TG(O-16:1_14:0_20:2)+NH4,832.77535,587.53975,507.47715
plasmanyl-TG(O-16:1_14:0_20:3)+NH4,830.75975,585.52415,507.47715
plasmanyl-TG(O-16:1_14:0_20:4)+NH4,828.74405,583.50845,507.47715
plasmanyl-TG(O-16:1_14:0_20:5)+NH4,826.72845,581.49285,507.47715
plasmanyl-TG(O-16:1_14:0_21:0)+NH4,850.82235,605.58675,507.47715
plasmanyl-TG(O-16:1_14:0_22:0)+NH4,864.83795,619.60235,507.47715
plasmanyl-TG(O-16:1_14:0_22:1)+NH4,862.82235,617.58675,507.47715
plasmanyl-TG(O-16:1_14:0_22:2)+NH4,860.80665,615.57105,507.47715
plasmanyl-TG(O-16:1_14:0_22:3)+NH4,858.79105,613.55545,507.47715
plasmanyl-TG(O-16:1_14:0_22:4)+NH4,856.77535,611.53975,507.47715
plasmanyl-TG(O-16:1_14:0_22:5)+NH4,854.75975,609.52415,507.47715
plasmanyl-TG(O-16:1_14:0_22:6)+NH4,852.74405,607.50845,507.47715
plasmanyl-TG(O-16:1_14:0_23:0)+NH4,878.85365,633.61805,507.47715
plasmanyl-TG(O-16:1_14:0_24:0)+NH4,892.86925,647.63365,507.47715
plasmanyl-TG(O-16:1_14:0_24:1)+NH4,890.85365,645.61805,507.47715
plasmanyl-TG(O-16:1_14:0_25:0)+NH4,906.88495,661.64935,507.47715
plasmanyl-TG(O-16:1_14:0_26:0)+NH4,920.90055,675.66495,507.47715
plasmanyl-TG(O-16:1_14:1_14:1)+NH4,748.68155,505.46155,505.46155
plasmanyl-TG(O-16:1_14:1_15:0)+NH4,764.71285,521.49285,505.46155
plasmanyl-TG(O-16:1_14:1_15:1)+NH4,762.69715,519.47715,505.46155
plasmanyl-TG(O-16:1_14:1_16:0)+NH4,778.72845,535.50845,505.46155
plasmanyl-TG(O-16:1_14:1_16:1)+NH4,776.71285,533.49285,505.46155
plasmanyl-TG(O-16:1_14:1_17:0)+NH4,792.74415,549.52415,505.46155
plasmanyl-TG(O-16:1_14:1_17:1)+NH4,790.72845,547.50845,505.46155
plasmanyl-TG(O-16:1_14:1_17:2)+NH4,788.71285,545.49285,505.46155
plasmanyl-TG(O-16:1_14:1_18:0)+NH4,806.75975,563.53975,505.46155
plasmanyl-TG(O-16:1_14:1_18:1)+NH4,804.74415,561.52415,505.46155
plasmanyl-TG(O-16:1_14:1_18:2)+NH4,802.72845,559.50845,505.46155
plasmanyl-TG(O-16:1_14:1_18:3)+NH4,800.71285,557.49285,505.46155
plasmanyl-TG(O-16:1_14:1_18:4)+NH4,798.69715,555.47715,505.46155
plasmanyl-TG(O-16:1_14:1_19:0)+NH4,820.77545,577.55545,505.46155
plasmanyl-TG(O-16:1_14:1_20:0)+NH4,834.79105,591.57105,505.46155
plasmanyl-TG(O-16:1_14:1_20:1)+NH4,832.77545,589.55545,505.46155
plasmanyl-TG(O-16:1_14:1_20:2)+NH4,830.75975,587.53975,505.46155
plasmanyl-TG(O-16:1_14:1_20:3)+NH4,828.74415,585.52415,505.46155
plasmanyl-TG(O-16:1_14:1_20:4)+NH4,826.72845,583.50845,505.46155
plasmanyl-TG(O-16:1_14:1_20:5)+NH4,824.71285,581.49285,505.46155
plasmanyl-TG(O-16:1_14:1_21:0)+NH4,848.80675,605.58675,505.46155
plasmanyl-TG(O-16:1_14:1_22:0)+NH4,862.82235,619.60235,505.46155
plasmanyl-TG(O-16:1_14:1_22:1)+NH4,860.80675,617.58675,505.46155
plasmanyl-TG(O-16:1_14:1_22:2)+NH4,858.79105,615.57105,505.46155
plasmanyl-TG(O-16:1_14:1_22:3)+NH4,856.77545,613.55545,505.46155
plasmanyl-TG(O-16:1_14:1_22:4)+NH4,854.75975,611.53975,505.46155
plasmanyl-TG(O-16:1_14:1_22:5)+NH4,852.74415,609.52415,505.46155
plasmanyl-TG(O-16:1_14:1_22:6)+NH4,850.72845,607.50845,505.46155
plasmanyl-TG(O-16:1_14:1_23:0)+NH4,876.83805,633.61805,505.46155
plasmanyl-TG(O-16:1_14:1_24:0)+NH4,890.85365,647.63365,505.46155
plasmanyl-TG(O-16:1_14:1_24:1)+NH4,888.83805,645.61805,505.46155
plasmanyl-TG(O-16:1_14:1_25:0)+NH4,904.86935,661.64935,505.46155
plasmanyl-TG(O-16:1_14:1_26:0)+NH4,918.88495,675.66495,505.46155
plasmanyl-TG(O-16:1_15:0_15:0)+NH4,780.74415,521.49285,521.49285
plasmanyl-TG(O-16:1_15:0_15:1)+NH4,778.72845,519.47715,521.49285
plasmanyl-TG(O-16:1_15:0_16:0)+NH4,794.75975,535.50845,521.49285
plasmanyl-TG(O-16:1_15:0_16:1)+NH4,792.74415,533.49285,521.49285
plasmanyl-TG(O-16:1_15:0_17:0)+NH4,808.77545,549.52415,521.49285
plasmanyl-TG(O-16:1_15:0_17:1)+NH4,806.75975,547.50845,521.49285
plasmanyl-TG(O-16:1_15:0_17:2)+NH4,804.74415,545.49285,521.49285
plasmanyl-TG(O-16:1_15:0_18:0)+NH4,822.79105,563.53975,521.49285
plasmanyl-TG(O-16:1_15:0_18:1)+NH4,820.77545,561.52415,521.49285
plasmanyl-TG(O-16:1_15:0_18:2)+NH4,818.75975,559.50845,521.49285
plasmanyl-TG(O-16:1_15:0_18:3)+NH4,816.74415,557.49285,521.49285
plasmanyl-TG(O-16:1_15:0_18:4)+NH4,814.72845,555.47715,521.49285
plasmanyl-TG(O-16:1_15:0_19:0)+NH4,836.80675,577.55545,521.49285
plasmanyl-TG(O-16:1_15:0_20:0)+NH4,850.82235,591.57105,521.49285
plasmanyl-TG(O-16:1_15:0_20:1)+NH4,848.80675,589.55545,521.49285
plasmanyl-TG(O-16:1_15:0_20:2)+NH4,846.79105,587.53975,521.49285
plasmanyl-TG(O-16:1_15:0_20:3)+NH4,844.77545,585.52415,521.49285
plasmanyl-TG(O-16:1_15:0_20:4)+NH4,842.75975,583.50845,521.49285
plasmanyl-TG(O-16:1_15:0_20:5)+NH4,840.74415,581.49285,521.49285
plasmanyl-TG(O-16:1_15:0_21:0)+NH4,864.83805,605.58675,521.49285
plasmanyl-TG(O-16:1_15:0_22:0)+NH4,878.85365,619.60235,521.49285
plasmanyl-TG(O-16:1_15:0_22:1)+NH4,876.83805,617.58675,521.49285
plasmanyl-TG(O-16:1_15:0_22:2)+NH4,874.82235,615.57105,521.49285
plasmanyl-TG(O-16:1_15:0_22:3)+NH4,872.80675,613.55545,521.49285
plasmanyl-TG(O-16:1_15:0_22:4)+NH4,870.79105,611.53975,521.49285
plasmanyl-TG(O-16:1_15:0_22:5)+NH4,868.77545,609.52415,521.49285
plasmanyl-TG(O-16:1_15:0_22:6)+NH4,866.75975,607.50845,521.49285
plasmanyl-TG(O-16:1_15:0_23:0)+NH4,892.86935,633.61805,521.49285
plasmanyl-TG(O-16:1_15:0_24:0)+NH4,906.88495,647.63365,521.49285
plasmanyl-TG(O-16:1_15:0_24:1)+NH4,904.86935,645.61805,521.49285
plasmanyl-TG(O-16:1_15:0_25:0)+NH4,920.90065,661.64935,521.49285
plasmanyl-TG(O-16:1_15:0_26:0)+NH4,934.91625,675.66495,521.49285
plasmanyl-TG(O-16:1_15:1_15:1)+NH4,776.71275,519.47715,519.47715
plasmanyl-TG(O-16:1_15:1_16:0)+NH4,792.74405,535.50845,519.47715
plasmanyl-TG(O-16:1_15:1_16:1)+NH4,790.72845,533.49285,519.47715
plasmanyl-TG(O-16:1_15:1_17:0)+NH4,806.75975,549.52415,519.47715
plasmanyl-TG(O-16:1_15:1_17:1)+NH4,804.74405,547.50845,519.47715
plasmanyl-TG(O-16:1_15:1_17:2)+NH4,802.72845,545.49285,519.47715
plasmanyl-TG(O-16:1_15:1_18:0)+NH4,820.77535,563.53975,519.47715
plasmanyl-TG(O-16:1_15:1_18:1)+NH4,818.75975,561.52415,519.47715
plasmanyl-TG(O-16:1_15:1_18:2)+NH4,816.74405,559.50845,519.47715
plasmanyl-TG(O-16:1_15:1_18:3)+NH4,814.72845,557.49285,519.47715
plasmanyl-TG(O-16:1_15:1_18:4)+NH4,812.71275,555.47715,519.47715
plasmanyl-TG(O-16:1_15:1_19:0)+NH4,834.79105,577.55545,519.47715
plasmanyl-TG(O-16:1_15:1_20:0)+NH4,848.80665,591.57105,519.47715
plasmanyl-TG(O-16:1_15:1_20:1)+NH4,846.79105,589.55545,519.47715
plasmanyl-TG(O-16:1_15:1_20:2)+NH4,844.77535,587.53975,519.47715
plasmanyl-TG(O-16:1_15:1_20:3)+NH4,842.75975,585.52415,519.47715
plasmanyl-TG(O-16:1_15:1_20:4)+NH4,840.74405,583.50845,519.47715
plasmanyl-TG(O-16:1_15:1_20:5)+NH4,838.72845,581.49285,519.47715
plasmanyl-TG(O-16:1_15:1_21:0)+NH4,862.82235,605.58675,519.47715
plasmanyl-TG(O-16:1_15:1_22:0)+NH4,876.83795,619.60235,519.47715
plasmanyl-TG(O-16:1_15:1_22:1)+NH4,874.82235,617.58675,519.47715
plasmanyl-TG(O-16:1_15:1_22:2)+NH4,872.80665,615.57105,519.47715
plasmanyl-TG(O-16:1_15:1_22:3)+NH4,870.79105,613.55545,519.47715
plasmanyl-TG(O-16:1_15:1_22:4)+NH4,868.77535,611.53975,519.47715
plasmanyl-TG(O-16:1_15:1_22:5)+NH4,866.75975,609.52415,519.47715
plasmanyl-TG(O-16:1_15:1_22:6)+NH4,864.74405,607.50845,519.47715
plasmanyl-TG(O-16:1_15:1_23:0)+NH4,890.85365,633.61805,519.47715
plasmanyl-TG(O-16:1_15:1_24:0)+NH4,904.86925,647.63365,519.47715
plasmanyl-TG(O-16:1_15:1_24:1)+NH4,902.85365,645.61805,519.47715
plasmanyl-TG(O-16:1_15:1_25:0)+NH4,918.88495,661.64935,519.47715
plasmanyl-TG(O-16:1_15:1_26:0)+NH4,932.90055,675.66495,519.47715
plasmanyl-TG(O-16:1_16:0_16:0)+NH4,808.77535,535.50845,535.50845
plasmanyl-TG(O-16:1_16:0_16:1)+NH4,806.75975,533.49285,535.50845
plasmanyl-TG(O-16:1_16:0_17:0)+NH4,822.79105,549.52415,535.50845
plasmanyl-TG(O-16:1_16:0_17:1)+NH4,820.77535,547.50845,535.50845
plasmanyl-TG(O-16:1_16:0_17:2)+NH4,818.75975,545.49285,535.50845
plasmanyl-TG(O-16:1_16:0_18:0)+NH4,836.80665,563.53975,535.50845
plasmanyl-TG(O-16:1_16:0_18:1)+NH4,834.79105,561.52415,535.50845
plasmanyl-TG(O-16:1_16:0_18:2)+NH4,832.77535,559.50845,535.50845
plasmanyl-TG(O-16:1_16:0_18:3)+NH4,830.75975,557.49285,535.50845
plasmanyl-TG(O-16:1_16:0_18:4)+NH4,828.74405,555.47715,535.50845
plasmanyl-TG(O-16:1_16:0_19:0)+NH4,850.82235,577.55545,535.50845
plasmanyl-TG(O-16:1_16:0_20:0)+NH4,864.83795,591.57105,535.50845
plasmanyl-TG(O-16:1_16:0_20:1)+NH4,862.82235,589.55545,535.50845
plasmanyl-TG(O-16:1_16:0_20:2)+NH4,860.80665,587.53975,535.50845
plasmanyl-TG(O-16:1_16:0_20:3)+NH4,858.79105,585.52415,535.50845
plasmanyl-TG(O-16:1_16:0_20:4)+NH4,856.77535,583.50845,535.50845
plasmanyl-TG(O-16:1_16:0_20:5)+NH4,854.75975,581.49285,535.50845
plasmanyl-TG(O-16:1_16:0_21:0)+NH4,878.85365,605.58675,535.50845
plasmanyl-TG(O-16:1_16:0_22:0)+NH4,892.86925,619.60235,535.50845
plasmanyl-TG(O-16:1_16:0_22:1)+NH4,890.85365,617.58675,535.50845
plasmanyl-TG(O-16:1_16:0_22:2)+NH4,888.83795,615.57105,535.50845
plasmanyl-TG(O-16:1_16:0_22:3)+NH4,886.82235,613.55545,535.50845
plasmanyl-TG(O-16:1_16:0_22:4)+NH4,884.80665,611.53975,535.50845
plasmanyl-TG(O-16:1_16:0_22:5)+NH4,882.79105,609.52415,535.50845
plasmanyl-TG(O-16:1_16:0_22:6)+NH4,880.77535,607.50845,535.50845
plasmanyl-TG(O-16:1_16:0_23:0)+NH4,906.88495,633.61805,535.50845
plasmanyl-TG(O-16:1_16:0_24:0)+NH4,920.90055,647.63365,535.50845
plasmanyl-TG(O-16:1_16:0_24:1)+NH4,918.88495,645.61805,535.50845
plasmanyl-TG(O-16:1_16:0_25:0)+NH4,934.91625,661.64935,535.50845
plasmanyl-TG(O-16:1_16:0_26:0)+NH4,948.93185,675.66495,535.50845
plasmanyl-TG(O-16:1_16:1_16:1)+NH4,804.74415,533.49285,533.49285
plasmanyl-TG(O-16:1_16:1_17:0)+NH4,820.77545,549.52415,533.49285
plasmanyl-TG(O-16:1_16:1_17:1)+NH4,818.75975,547.50845,533.49285
plasmanyl-TG(O-16:1_16:1_17:2)+NH4,816.74415,545.49285,533.49285
plasmanyl-TG(O-16:1_16:1_18:0)+NH4,834.79105,563.53975,533.49285
plasmanyl-TG(O-16:1_16:1_18:1)+NH4,832.77545,561.52415,533.49285
plasmanyl-TG(O-16:1_16:1_18:2)+NH4,830.75975,559.50845,533.49285
plasmanyl-TG(O-16:1_16:1_18:3)+NH4,828.74415,557.49285,533.49285
plasmanyl-TG(O-16:1_16:1_18:4)+NH4,826.72845,555.47715,533.49285
plasmanyl-TG(O-16:1_16:1_19:0)+NH4,848.80675,577.55545,533.49285
plasmanyl-TG(O-16:1_16:1_20:0)+NH4,862.82235,591.57105,533.49285
plasmanyl-TG(O-16:1_16:1_20:1)+NH4,860.80675,589.55545,533.49285
plasmanyl-TG(O-16:1_16:1_20:2)+NH4,858.79105,587.53975,533.49285
plasmanyl-TG(O-16:1_16:1_20:3)+NH4,856.77545,585.52415,533.49285
plasmanyl-TG(O-16:1_16:1_20:4)+NH4,854.75975,583.50845,533.49285
plasmanyl-TG(O-16:1_16:1_20:5)+NH4,852.74415,581.49285,533.49285
plasmanyl-TG(O-16:1_16:1_21:0)+NH4,876.83805,605.58675,533.49285
plasmanyl-TG(O-16:1_16:1_22:0)+NH4,890.85365,619.60235,533.49285
plasmanyl-TG(O-16:1_16:1_22:1)+NH4,888.83805,617.58675,533.49285
plasmanyl-TG(O-16:1_16:1_22:2)+NH4,886.82235,615.57105,533.49285
plasmanyl-TG(O-16:1_16:1_22:3)+NH4,884.80675,613.55545,533.49285
plasmanyl-TG(O-16:1_16:1_22:4)+NH4,882.79105,611.53975,533.49285
plasmanyl-TG(O-16:1_16:1_22:5)+NH4,880.77545,609.52415,533.49285
plasmanyl-TG(O-16:1_16:1_22:6)+NH4,878.75975,607.50845,533.49285
plasmanyl-TG(O-16:1_16:1_23:0)+NH4,904.86935,633.61805,533.49285
plasmanyl-TG(O-16:1_16:1_24:0)+NH4,918.88495,647.63365,533.49285
plasmanyl-TG(O-16:1_16:1_24:1)+NH4,916.86935,645.61805,533.49285
plasmanyl-TG(O-16:1_16:1_25:0)+NH4,932.90065,661.64935,533.49285
plasmanyl-TG(O-16:1_16:1_26:0)+NH4,946.91625,675.66495,533.49285
plasmanyl-TG(O-16:1_17:0_17:0)+NH4,836.80675,549.52415,549.52415
plasmanyl-TG(O-16:1_17:0_17:1)+NH4,834.79105,547.50845,549.52415
plasmanyl-TG(O-16:1_17:0_17:2)+NH4,832.77545,545.49285,549.52415
plasmanyl-TG(O-16:1_17:0_18:0)+NH4,850.82235,563.53975,549.52415
plasmanyl-TG(O-16:1_17:0_18:1)+NH4,848.80675,561.52415,549.52415
plasmanyl-TG(O-16:1_17:0_18:2)+NH4,846.79105,559.50845,549.52415
plasmanyl-TG(O-16:1_17:0_18:3)+NH4,844.77545,557.49285,549.52415
plasmanyl-TG(O-16:1_17:0_18:4)+NH4,842.75975,555.47715,549.52415
plasmanyl-TG(O-16:1_17:0_19:0)+NH4,864.83805,577.55545,549.52415
plasmanyl-TG(O-16:1_17:0_20:0)+NH4,878.85365,591.57105,549.52415
plasmanyl-TG(O-16:1_17:0_20:1)+NH4,876.83805,589.55545,549.52415
plasmanyl-TG(O-16:1_17:0_20:2)+NH4,874.82235,587.53975,549.52415
plasmanyl-TG(O-16:1_17:0_20:3)+NH4,872.80675,585.52415,549.52415
plasmanyl-TG(O-16:1_17:0_20:4)+NH4,870.79105,583.50845,549.52415
plasmanyl-TG(O-16:1_17:0_20:5)+NH4,868.77545,581.49285,549.52415
plasmanyl-TG(O-16:1_17:0_21:0)+NH4,892.86935,605.58675,549.52415
plasmanyl-TG(O-16:1_17:0_22:0)+NH4,906.88495,619.60235,549.52415
plasmanyl-TG(O-16:1_17:0_22:1)+NH4,904.86935,617.58675,549.52415
plasmanyl-TG(O-16:1_17:0_22:2)+NH4,902.85365,615.57105,549.52415
plasmanyl-TG(O-16:1_17:0_22:3)+NH4,900.83805,613.55545,549.52415
plasmanyl-TG(O-16:1_17:0_22:4)+NH4,898.82235,611.53975,549.52415
plasmanyl-TG(O-16:1_17:0_22:5)+NH4,896.80675,609.52415,549.52415
plasmanyl-TG(O-16:1_17:0_22:6)+NH4,894.79105,607.50845,549.52415
plasmanyl-TG(O-16:1_17:0_23:0)+NH4,920.90065,633.61805,549.52415
plasmanyl-TG(O-16:1_17:0_24:0)+NH4,934.91625,647.63365,549.52415
plasmanyl-TG(O-16:1_17:0_24:1)+NH4,932.90065,645.61805,549.52415
plasmanyl-TG(O-16:1_17:0_25:0)+NH4,948.93195,661.64935,549.52415
plasmanyl-TG(O-16:1_17:0_26:0)+NH4,962.94755,675.66495,549.52415
plasmanyl-TG(O-16:1_17:1_17:1)+NH4,832.77535,547.50845,547.50845
plasmanyl-TG(O-16:1_17:1_17:2)+NH4,830.75975,545.49285,547.50845
plasmanyl-TG(O-16:1_17:1_18:0)+NH4,848.80665,563.53975,547.50845
plasmanyl-TG(O-16:1_17:1_18:1)+NH4,846.79105,561.52415,547.50845
plasmanyl-TG(O-16:1_17:1_18:2)+NH4,844.77535,559.50845,547.50845
plasmanyl-TG(O-16:1_17:1_18:3)+NH4,842.75975,557.49285,547.50845
plasmanyl-TG(O-16:1_17:1_18:4)+NH4,840.74405,555.47715,547.50845
plasmanyl-TG(O-16:1_17:1_19:0)+NH4,862.82235,577.55545,547.50845
plasmanyl-TG(O-16:1_17:1_20:0)+NH4,876.83795,591.57105,547.50845
plasmanyl-TG(O-16:1_17:1_20:1)+NH4,874.82235,589.55545,547.50845
plasmanyl-TG(O-16:1_17:1_20:2)+NH4,872.80665,587.53975,547.50845
plasmanyl-TG(O-16:1_17:1_20:3)+NH4,870.79105,585.52415,547.50845
plasmanyl-TG(O-16:1_17:1_20:4)+NH4,868.77535,583.50845,547.50845
plasmanyl-TG(O-16:1_17:1_20:5)+NH4,866.75975,581.49285,547.50845
plasmanyl-TG(O-16:1_17:1_21:0)+NH4,890.85365,605.58675,547.50845
plasmanyl-TG(O-16:1_17:1_22:0)+NH4,904.86925,619.60235,547.50845
plasmanyl-TG(O-16:1_17:1_22:1)+NH4,902.85365,617.58675,547.50845
plasmanyl-TG(O-16:1_17:1_22:2)+NH4,900.83795,615.57105,547.50845
plasmanyl-TG(O-16:1_17:1_22:3)+NH4,898.82235,613.55545,547.50845
plasmanyl-TG(O-16:1_17:1_22:4)+NH4,896.80665,611.53975,547.50845
plasmanyl-TG(O-16:1_17:1_22:5)+NH4,894.79105,609.52415,547.50845
plasmanyl-TG(O-16:1_17:1_22:6)+NH4,892.77535,607.50845,547.50845
plasmanyl-TG(O-16:1_17:1_23:0)+NH4,918.88495,633.61805,547.50845
plasmanyl-TG(O-16:1_17:1_24:0)+NH4,932.90055,647.63365,547.50845
plasmanyl-TG(O-16:1_17:1_24:1)+NH4,930.88495,645.61805,547.50845
plasmanyl-TG(O-16:1_17:1_25:0)+NH4,946.91625,661.64935,547.50845
plasmanyl-TG(O-16:1_17:1_26:0)+NH4,960.93185,675.66495,547.50845
plasmanyl-TG(O-16:1_17:2_17:2)+NH4,828.74415,545.49285,545.49285
plasmanyl-TG(O-16:1_17:2_18:0)+NH4,846.79105,563.53975,545.49285
plasmanyl-TG(O-16:1_17:2_18:1)+NH4,844.77545,561.52415,545.49285
plasmanyl-TG(O-16:1_17:2_18:2)+NH4,842.75975,559.50845,545.49285
plasmanyl-TG(O-16:1_17:2_18:3)+NH4,840.74415,557.49285,545.49285
plasmanyl-TG(O-16:1_17:2_18:4)+NH4,838.72845,555.47715,545.49285
plasmanyl-TG(O-16:1_17:2_19:0)+NH4,860.80675,577.55545,545.49285
plasmanyl-TG(O-16:1_17:2_20:0)+NH4,874.82235,591.57105,545.49285
plasmanyl-TG(O-16:1_17:2_20:1)+NH4,872.80675,589.55545,545.49285
plasmanyl-TG(O-16:1_17:2_20:2)+NH4,870.79105,587.53975,545.49285
plasmanyl-TG(O-16:1_17:2_20:3)+NH4,868.77545,585.52415,545.49285
plasmanyl-TG(O-16:1_17:2_20:4)+NH4,866.75975,583.50845,545.49285
plasmanyl-TG(O-16:1_17:2_20:5)+NH4,864.74415,581.49285,545.49285
plasmanyl-TG(O-16:1_17:2_21:0)+NH4,888.83805,605.58675,545.49285
plasmanyl-TG(O-16:1_17:2_22:0)+NH4,902.85365,619.60235,545.49285
plasmanyl-TG(O-16:1_17:2_22:1)+NH4,900.83805,617.58675,545.49285
plasmanyl-TG(O-16:1_17:2_22:2)+NH4,898.82235,615.57105,545.49285
plasmanyl-TG(O-16:1_17:2_22:3)+NH4,896.80675,613.55545,545.49285
plasmanyl-TG(O-16:1_17:2_22:4)+NH4,894.79105,611.53975,545.49285
plasmanyl-TG(O-16:1_17:2_22:5)+NH4,892.77545,609.52415,545.49285
plasmanyl-TG(O-16:1_17:2_22:6)+NH4,890.75975,607.50845,545.49285
plasmanyl-TG(O-16:1_17:2_23:0)+NH4,916.86935,633.61805,545.49285
plasmanyl-TG(O-16:1_17:2_24:0)+NH4,930.88495,647.63365,545.49285
plasmanyl-TG(O-16:1_17:2_24:1)+NH4,928.86935,645.61805,545.49285
plasmanyl-TG(O-16:1_17:2_25:0)+NH4,944.90065,661.64935,545.49285
plasmanyl-TG(O-16:1_17:2_26:0)+NH4,958.91625,675.66495,545.49285
plasmanyl-TG(O-16:1_18:0_18:0)+NH4,864.83795,563.53975,563.53975
plasmanyl-TG(O-16:1_18:0_18:1)+NH4,862.82235,561.52415,563.53975
plasmanyl-TG(O-16:1_18:0_18:2)+NH4,860.80665,559.50845,563.53975
plasmanyl-TG(O-16:1_18:0_18:3)+NH4,858.79105,557.49285,563.53975
plasmanyl-TG(O-16:1_18:0_18:4)+NH4,856.77535,555.47715,563.53975
plasmanyl-TG(O-16:1_18:0_19:0)+NH4,878.85365,577.55545,563.53975
plasmanyl-TG(O-16:1_18:0_20:0)+NH4,892.86925,591.57105,563.53975
plasmanyl-TG(O-16:1_18:0_20:1)+NH4,890.85365,589.55545,563.53975
plasmanyl-TG(O-16:1_18:0_20:2)+NH4,888.83795,587.53975,563.53975
plasmanyl-TG(O-16:1_18:0_20:3)+NH4,886.82235,585.52415,563.53975
plasmanyl-TG(O-16:1_18:0_20:4)+NH4,884.80665,583.50845,563.53975
plasmanyl-TG(O-16:1_18:0_20:5)+NH4,882.79105,581.49285,563.53975
plasmanyl-TG(O-16:1_18:0_21:0)+NH4,906.88495,605.58675,563.53975
plasmanyl-TG(O-16:1_18:0_22:0)+NH4,920.90055,619.60235,563.53975
plasmanyl-TG(O-16:1_18:0_22:1)+NH4,918.88495,617.58675,563.53975
