Plasmanyl-TG,[M+NH4],NL R2COOH,NL R3COOH
plasmanyl-TG(O-16:0_10:0_21:0)+NH4,796.77535,607.60235,453.43015
plasmanyl-TG(O-16:0_10:0_22:0)+NH4,810.79095,621.61795,453.43015
plasmanyl-TG(O-16:0_10:0_22:1)+NH4,808.77535,619.60235,453.43015
plasmanyl-TG(O-16:0_10:0_22:2)+NH4,806.75965,617.58665,453.43015
plasmanyl-TG(O-16:0_10:0_22:3)+NH4,804.74405,615.57105,453.43015
plasmanyl-TG(O-16:0_10:0_22:4)+NH4,802.72835,613.55535,453.43015
plasmanyl-TG(O-16:0_10:0_22:5)+NH4,800.71275,611.53975,453.43015
plasmanyl-TG(O-16:0_10:0_22:6)+NH4,798.69705,609.52405,453.43015
plasmanyl-TG(O-16:0_10:0_23:0)+NH4,824.80665,635.63365,453.43015
plasmanyl-TG(O-16:0_10:0_24:0)+NH4,838.82225,649.64925,453.43015
plasmanyl-TG(O-16:0_10:0_24:1)+NH4,836.80665,647.63365,453.43015
plasmanyl-TG(O-16:0_10:0_25:0)+NH4,852.83795,663.66495,453.43015
plasmanyl-TG(O-16:0_10:0_26:0)+NH4,866.85355,677.68055,453.43015
plasmanyl-TG(O-16:0_12:0_12:0)+NH4,698.66575,481.46145,481.46145
plasmanyl-TG(O-16:0_12:0_13:0)+NH4,712.68145,495.47715,481.46145
plasmanyl-TG(O-16:0_12:0_14:0)+NH4,726.69705,509.49275,481.46145
plasmanyl-TG(O-16:0_12:0_14:1)+NH4,724.68145,507.47715,481.46145
plasmanyl-TG(O-16:0_12:0_15:0)+NH4,740.71275,523.50845,481.46145
plasmanyl-TG(O-16:0_12:0_15:1)+NH4,738.69705,521.49275,481.46145
plasmanyl-TG(O-16:0_12:0_16:0)+NH4,754.72835,537.52405,481.46145
plasmanyl-TG(O-16:0_12:0_16:1)+NH4,752.71275,535.50845,481.46145
plasmanyl-TG(O-16:0_12:0_17:0)+NH4,768.74405,551.53975,481.46145
plasmanyl-TG(O-16:0_12:0_17:1)+NH4,766.72835,549.52405,481.46145
plasmanyl-TG(O-16:0_12:0_17:2)+NH4,764.71275,547.50845,481.46145
plasmanyl-TG(O-16:0_12:0_18:0)+NH4,782.75965,565.55535,481.46145
plasmanyl-TG(O-16:0_12:0_18:1)+NH4,780.74405,563.53975,481.46145
plasmanyl-TG(O-16:0_12:0_18:2)+NH4,778.72835,561.52405,481.46145
plasmanyl-TG(O-16:0_12:0_18:3)+NH4,776.71275,559.50845,481.46145
plasmanyl-TG(O-16:0_12:0_18:4)+NH4,774.69705,557.49275,481.46145
plasmanyl-TG(O-16:0_12:0_19:0)+NH4,796.77535,579.57105,481.46145
plasmanyl-TG(O-16:0_12:0_20:0)+NH4,810.79095,593.58665,481.46145
plasmanyl-TG(O-16:0_12:0_20:1)+NH4,808.77535,591.57105,481.46145
plasmanyl-TG(O-16:0_12:0_20:2)+NH4,806.75965,589.55535,481.46145
plasmanyl-TG(O-16:0_12:0_20:3)+NH4,804.74405,587.53975,481.46145
plasmanyl-TG(O-16:0_12:0_20:4)+NH4,802.72835,585.52405,481.46145
plasmanyl-TG(O-16:0_12:0_20:5)+NH4,800.71275,583.50845,481.46145
plasmanyl-TG(O-16:0_12:0_21:0)+NH4,824.80665,607.60235,481.46145
plasmanyl-TG(O-16:0_12:0_22:0)+NH4,838.82225,621.61795,481.46145
plasmanyl-TG(O-16:0_12:0_22:1)+NH4,836.80665,619.60235,481.46145
plasmanyl-TG(O-16:0_12:0_22:2)+NH4,834.79095,617.58665,481.46145
plasmanyl-TG(O-16:0_12:0_22:3)+NH4,832.77535,615.57105,481.46145
plasmanyl-TG(O-16:0_12:0_22:4)+NH4,830.75965,613.55535,481.46145
plasmanyl-TG(O-16:0_12:0_22:5)+NH4,828.74405,611.53975,481.46145
plasmanyl-TG(O-16:0_12:0_22:6)+NH4,826.72835,609.52405,481.46145
plasmanyl-TG(O-16:0_12:0_23:0)+NH4,852.83795,635.63365,481.46145
plasmanyl-TG(O-16:0_12:0_24:0)+NH4,866.85355,649.64925,481.46145
plasmanyl-TG(O-16:0_12:0_24:1)+NH4,864.83795,647.63365,481.46145
plasmanyl-TG(O-16:0_12:0_25:0)+NH4,880.86925,663.66495,481.46145
plasmanyl-TG(O-16:0_12:0_26:0)+NH4,894.88485,677.68055,481.46145
plasmanyl-TG(O-16:0_13:0_13:0)+NH4,726.69715,495.47715,495.47715
plasmanyl-TG(O-16:0_13:0_14:0)+NH4,740.71275,509.49275,495.47715
plasmanyl-TG(O-16:0_13:0_14:1)+NH4,738.69715,507.47715,495.47715
plasmanyl-TG(O-16:0_13:0_15:0)+NH4,754.72845,523.50845,495.47715
plasmanyl-TG(O-16:0_13:0_15:1)+NH4,752.71275,521.49275,495.47715
plasmanyl-TG(O-16:0_13:0_16:0)+NH4,768.74405,537.52405,495.47715
plasmanyl-TG(O-16:0_13:0_16:1)+NH4,766.72845,535.50845,495.47715
plasmanyl-TG(O-16:0_13:0_17:0)+NH4,782.75975,551.53975,495.47715
plasmanyl-TG(O-16:0_13:0_17:1)+NH4,780.74405,549.52405,495.47715
plasmanyl-TG(O-16:0_13:0_17:2)+NH4,778.72845,547.50845,495.47715
plasmanyl-TG(O-16:0_13:0_18:0)+NH4,796.77535,565.55535,495.47715
plasmanyl-TG(O-16:0_13:0_18:1)+NH4,794.75975,563.53975,495.47715
plasmanyl-TG(O-16:0_13:0_18:2)+NH4,792.74405,561.52405,495.47715
plasmanyl-TG(O-16:0_13:0_18:3)+NH4,790.72845,559.50845,495.47715
plasmanyl-TG(O-16:0_13:0_18:4)+NH4,788.71275,557.49275,495.47715
plasmanyl-TG(O-16:0_13:0_19:0)+NH4,810.79105,579.57105,495.47715
plasmanyl-TG(O-16:0_13:0_20:0)+NH4,824.80665,593.58665,495.47715
plasmanyl-TG(O-16:0_13:0_20:1)+NH4,822.79105,591.57105,495.47715
plasmanyl-TG(O-16:0_13:0_20:2)+NH4,820.77535,589.55535,495.47715
plasmanyl-TG(O-16:0_13:0_20:3)+NH4,818.75975,587.53975,495.47715
plasmanyl-TG(O-16:0_13:0_20:4)+NH4,816.74405,585.52405,495.47715
plasmanyl-TG(O-16:0_13:0_20:5)+NH4,814.72845,583.50845,495.47715
plasmanyl-TG(O-16:0_13:0_21:0)+NH4,838.82235,607.60235,495.47715
plasmanyl-TG(O-16:0_13:0_22:0)+NH4,852.83795,621.61795,495.47715
plasmanyl-TG(O-16:0_13:0_22:1)+NH4,850.82235,619.60235,495.47715
plasmanyl-TG(O-16:0_13:0_22:2)+NH4,848.80665,617.58665,495.47715
plasmanyl-TG(O-16:0_13:0_22:3)+NH4,846.79105,615.57105,495.47715
plasmanyl-TG(O-16:0_13:0_22:4)+NH4,844.77535,613.55535,495.47715
plasmanyl-TG(O-16:0_13:0_22:5)+NH4,842.75975,611.53975,495.47715
plasmanyl-TG(O-16:0_13:0_22:6)+NH4,840.74405,609.52405,495.47715
plasmanyl-TG(O-16:0_13:0_23:0)+NH4,866.85365,635.63365,495.47715
plasmanyl-TG(O-16:0_13:0_24:0)+NH4,880.86925,649.64925,495.47715
plasmanyl-TG(O-16:0_13:0_24:1)+NH4,878.85365,647.63365,495.47715
plasmanyl-TG(O-16:0_13:0_25:0)+NH4,894.88495,663.66495,495.47715
plasmanyl-TG(O-16:0_13:0_26:0)+NH4,908.90055,677.68055,495.47715
plasmanyl-TG(O-16:0_14:0_14:0)+NH4,754.72835,509.49275,509.49275
plasmanyl-TG(O-16:0_14:0_14:1)+NH4,752.71275,507.47715,509.49275
plasmanyl-TG(O-16:0_14:0_15:0)+NH4,768.74405,523.50845,509.49275
plasmanyl-TG(O-16:0_14:0_15:1)+NH4,766.72835,521.49275,509.49275
plasmanyl-TG(O-16:0_14:0_16:0)+NH4,782.75965,537.52405,509.49275
plasmanyl-TG(O-16:0_14:0_16:1)+NH4,780.74405,535.50845,509.49275
plasmanyl-TG(O-16:0_14:0_17:0)+NH4,796.77535,551.53975,509.49275
plasmanyl-TG(O-16:0_14:0_17:1)+NH4,794.75965,549.52405,509.49275
plasmanyl-TG(O-16:0_14:0_17:2)+NH4,792.74405,547.50845,509.49275
plasmanyl-TG(O-16:0_14:0_18:0)+NH4,810.79095,565.55535,509.49275
plasmanyl-TG(O-16:0_14:0_18:1)+NH4,808.77535,563.53975,509.49275
plasmanyl-TG(O-16:0_14:0_18:2)+NH4,806.75965,561.52405,509.49275
plasmanyl-TG(O-16:0_14:0_18:3)+NH4,804.74405,559.50845,509.49275
plasmanyl-TG(O-16:0_14:0_18:4)+NH4,802.72835,557.49275,509.49275
plasmanyl-TG(O-16:0_14:0_19:0)+NH4,824.80665,579.57105,509.49275
plasmanyl-TG(O-16:0_14:0_20:0)+NH4,838.82225,593.58665,509.49275
plasmanyl-TG(O-16:0_14:0_20:1)+NH4,836.80665,591.57105,509.49275
plasmanyl-TG(O-16:0_14:0_20:2)+NH4,834.79095,589.55535,509.49275
plasmanyl-TG(O-16:0_14:0_20:3)+NH4,832.77535,587.53975,509.49275
plasmanyl-TG(O-16:0_14:0_20:4)+NH4,830.75965,585.52405,509.49275
