PMeOH,[M+NH4]+,[M-CH5O4P+H]+,NL of SN1+H2O,NL of SN2+H2O,[M-SN1-112+H]+,[M-SN2-112+H]+,SN2-H2O,SN1-H2O,[C4H9O5P+H]+
PMeOH(14:1_18:4)+NH4,670.44422,541.4251,427.2245,377.2089,333.2425,283.2269,259.2055,209.1899,169.026
PMeOH(14:1_18:5)+NH4,668.42862,539.4095,425.2089,377.2089,331.2269,283.2269,257.1899,209.1899,169.026
PMeOH(19:0_14:1)+NH4,692.52252,563.5034,377.2089,449.3027,283.2269,355.3207,209.1899,281.2837,169.026
PMeOH(14:1_19:1)+NH4,690.50682,561.4877,447.2871,377.2089,353.3051,283.2269,279.2681,209.1899,169.026
PMeOH(14:1_19:2)+NH4,688.49112,559.472,445.2714,377.2089,351.2894,283.2269,277.2524,209.1899,169.026
PMeOH(20:0_14:1)+NH4,706.53812,577.519,377.2089,463.3184,283.227,369.3364,209.1899,295.2993,169.026
PMeOH(14:1_20:1)+NH4,704.52252,575.5034,461.3027,377.2089,367.3207,283.2269,293.2837,209.1899,169.026
PMeOH(14:1_20:2)+NH4,702.50682,573.4877,459.2871,377.2089,365.3051,283.2269,291.2681,209.1899,169.026
PMeOH(14:1_20:3)+NH4,700.49112,571.472,457.2714,377.2089,363.2894,283.2269,289.2524,209.1899,169.026
PMeOH(14:1_20:4)+NH4,698.47552,569.4564,455.2558,377.2089,361.2738,283.2269,287.2368,209.1899,169.026
PMeOH(14:1_20:5)+NH4,696.46002,567.4409,453.2402,377.2089,359.2582,283.227,285.2212,209.1899,169.026
PMeOH(21:0_14:1)+NH4,720.55382,591.5347,377.209,477.3341,283.227,383.3521,209.1899,309.315,169.026
PMeOH(14:1_21:1)+NH4,718.53812,589.519,475.3184,377.2089,381.3364,283.227,307.2993,209.1899,169.026
PMeOH(14:1_21:2)+NH4,716.52252,587.5034,473.3027,377.2089,379.3207,283.2269,305.2837,209.1899,169.026
PMeOH(22:0_14:1)+NH4,734.56952,605.5504,377.209,491.3497,283.227,397.3677,209.1899,323.3306,169.026
PMeOH(14:1_22:1)+NH4,732.55382,603.5347,489.3341,377.209,395.3521,283.227,321.315,209.1899,169.026
PMeOH(14:1_22:2)+NH4,730.53812,601.519,487.3184,377.2089,393.3364,283.227,319.2993,209.1899,169.026
PMeOH(14:1_22:3)+NH4,728.52252,599.5034,485.3027,377.2089,391.3207,283.2269,317.2837,209.1899,169.026
PMeOH(14:1_22:4)+NH4,726.50682,597.4877,483.2871,377.2089,389.3051,283.2269,315.2681,209.1899,169.026
PMeOH(14:1_22:5)+NH4,724.49112,595.472,481.2714,377.2089,387.2894,283.2269,313.2524,209.1899,169.026
PMeOH(14:1_22:6)+NH4,722.47552,593.4564,479.2558,377.2089,385.2738,283.2269,311.2368,209.1899,169.026
PMeOH(23:0_14:1)+NH4,748.58512,619.566,377.209,505.3654,283.227,411.3834,209.1899,337.3463,169.026
PMeOH(24:0_14:1)+NH4,762.60072,633.5816,377.209,519.381,283.227,425.399,209.1899,351.3619,169.026
PMeOH(14:1_24:1)+NH4,760.58512,631.566,517.3654,377.209,423.3834,283.227,349.3463,209.1899,169.026
PMeOH(14:1_24:2)+NH4,758.56952,629.5504,515.3497,377.209,421.3677,283.227,347.3306,209.1899,169.026
PMeOH(14:1_24:4)+NH4,754.53812,625.519,511.3184,377.2089,417.3364,283.227,343.2993,209.1899,169.026
PMeOH(25:0_14:1)+NH4,776.61652,647.5974,377.209,533.3967,283.2271,439.4147,209.1899,365.3776,169.026
PMeOH(26:0_14:1)+NH4,790.63202,661.6129,377.209,547.4123,283.227,453.4303,209.1899,379.3932,169.026
PMeOH(14:1_26:1)+NH4,788.61652,659.5974,545.3967,377.209,451.4147,283.2271,377.3776,209.1899,169.026
PMeOH(14:1_26:2)+NH4,786.60072,657.5816,543.381,377.209,449.399,283.227,375.3619,209.1899,169.026
PMeOH(14:1_26:4)+NH4,782.56952,653.5504,539.3497,377.209,445.3677,283.227,371.3306,209.1899,169.026
PMeOH(27:0_14:1)+NH4,804.64762,675.6285,377.209,561.4279,283.227,467.4459,209.1899,393.4088,169.026
PMeOH(15:0_15:0)+NH4,652.49112,523.472,393.2401,393.2401,299.2581,299.2581,225.2211,225.2211,169.026
PMeOH(15:0_15:1)+NH4,650.47552,521.4564,391.2245,393.2402,297.2426,299.2582,223.2055,225.2211,169.026
PMeOH(15:0_16:0)+NH4,666.50682,537.4877,407.2558,393.2402,313.2739,299.2582,239.2368,225.2211,169.026
PMeOH(15:0_16:1)+NH4,664.49112,535.472,405.2401,393.2401,311.2581,299.2581,237.2211,225.2211,169.026
PMeOH(15:0_16:2)+NH4,662.47552,533.4564,403.2245,393.2402,309.2426,299.2582,235.2055,225.2211,169.026
PMeOH(15:0_16:3)+NH4,660.46002,531.4409,401.2089,393.2402,307.227,299.2582,233.1899,225.2211,169.026
PMeOH(15:0_16:4)+NH4,658.44422,529.4251,399.1932,393.2401,305.2112,299.2582,231.1742,225.2211,169.026
PMeOH(15:0_17:0)+NH4,680.52252,551.5034,421.2714,393.2401,327.2895,299.2582,253.2524,225.2211,169.026
PMeOH(15:0_17:1)+NH4,678.50682,549.4877,419.2558,393.2402,325.2739,299.2582,251.2368,225.2211,169.026
PMeOH(15:0_17:2)+NH4,676.49112,547.472,417.2401,393.2401,323.2581,299.2581,249.2211,225.2211,169.026
PMeOH(15:0_18:0)+NH4,694.53812,565.519,435.2871,393.2402,341.3051,299.2582,267.2681,225.2211,169.026
PMeOH(15:0_18:1)+NH4,692.52252,563.5034,433.2714,393.2401,339.2895,299.2582,265.2524,225.2211,169.026
PMeOH(15:0_18:2)+NH4,690.50682,561.4877,431.2558,393.2402,337.2739,299.2582,263.2368,225.2211,169.026
PMeOH(15:0_18:3)+NH4,688.49112,559.472,429.2401,393.2401,335.2581,299.2581,261.2212,225.2211,169.026
PMeOH(15:0_18:4)+NH4,686.47552,557.4564,427.2245,393.2402,333.2426,299.2582,259.2055,225.2211,169.026
PMeOH(15:0_18:5)+NH4,684.46002,555.4409,425.2089,393.2402,331.227,299.2582,257.1899,225.2211,169.026
PMeOH(15:0_19:0)+NH4,708.55382,579.5347,449.3028,393.2403,355.3209,299.2583,281.2837,225.2211,169.026
PMeOH(15:0_19:1)+NH4,706.53812,577.519,447.2871,393.2402,353.3051,299.2582,279.2681,225.2211,169.026
PMeOH(15:0_19:2)+NH4,704.52252,575.5034,445.2714,393.2401,351.2895,299.2582,277.2524,225.2211,169.026
PMeOH(15:0_20:0)+NH4,722.56952,593.5504,463.3184,393.2402,369.3365,299.2582,295.2993,225.2211,169.026
PMeOH(15:0_20:1)+NH4,720.55382,591.5347,461.3028,393.2403,367.3209,299.2583,293.2837,225.2211,169.026
PMeOH(15:0_20:2)+NH4,718.53812,589.519,459.2871,393.2402,365.3051,299.2582,291.2681,225.2211,169.026
PMeOH(15:0_20:3)+NH4,716.52252,587.5034,457.2714,393.2401,363.2895,299.2582,289.2524,225.2211,169.026
PMeOH(15:0_20:4)+NH4,714.50682,585.4877,455.2558,393.2402,361.2739,299.2582,287.2368,225.2211,169.026
PMeOH(15:0_20:5)+NH4,712.49112,583.472,453.2401,393.2401,359.2581,299.2581,285.2212,225.2211,169.026
PMeOH(15:0_21:0)+NH4,736.58512,607.566,477.3341,393.2403,383.3521,299.2583,309.315,225.2211,169.026
PMeOH(15:0_21:1)+NH4,734.56952,605.5504,475.3184,393.2402,381.3365,299.2582,307.2993,225.2211,169.026
PMeOH(15:0_21:2)+NH4,732.55382,603.5347,473.3028,393.2403,379.3209,299.2583,305.2837,225.2211,169.026
PMeOH(15:0_22:0)+NH4,750.60072,621.5816,491.3497,393.2403,397.3677,299.2583,323.3306,225.2211,169.026
PMeOH(15:0_22:1)+NH4,748.58512,619.566,489.3341,393.2403,395.3521,299.2583,321.315,225.2211,169.026
PMeOH(15:0_22:2)+NH4,746.56952,617.5504,487.3184,393.2402,393.3365,299.2582,319.2993,225.2211,169.026
PMeOH(15:0_22:3)+NH4,744.55382,615.5347,485.3028,393.2403,391.3209,299.2583,317.2837,225.2211,169.026
PMeOH(15:0_22:4)+NH4,742.53812,613.519,483.2871,393.2402,389.3051,299.2582,315.2681,225.2211,169.026
PMeOH(15:0_22:5)+NH4,740.52252,611.5034,481.2714,393.2401,387.2895,299.2582,313.2524,225.2211,169.026
PMeOH(15:0_22:6)+NH4,738.50682,609.4877,479.2558,393.2402,385.2739,299.2582,311.2368,225.2211,169.026
PMeOH(15:0_23:0)+NH4,764.61652,635.5974,505.3654,393.2403,411.3835,299.2583,337.3463,225.2211,169.026
PMeOH(15:0_24:0)+NH4,778.63202,649.6129,519.381,393.2403,425.399,299.2583,351.3619,225.2211,169.026
PMeOH(15:0_24:1)+NH4,776.61652,647.5974,517.3654,393.2403,423.3835,299.2583,349.3463,225.2211,169.026
PMeOH(15:0_24:2)+NH4,774.60072,645.5816,515.3497,393.2403,421.3677,299.2583,347.3306,225.2211,169.026
PMeOH(15:0_24:4)+NH4,770.56952,641.5504,511.3184,393.2402,417.3365,299.2582,343.2993,225.2211,169.026
PMeOH(15:0_25:0)+NH4,792.64762,663.6285,533.3966,393.2402,439.4146,299.2582,365.3776,225.2211,169.026
PMeOH(15:0_26:0)+NH4,806.66332,677.6442,547.4124,393.2403,453.4304,299.2583,379.3932,225.2211,169.026
PMeOH(15:0_26:1)+NH4,804.64762,675.6285,545.3966,393.2402,451.4146,299.2582,377.3776,225.2211,169.026
PMeOH(15:0_26:2)+NH4,802.63202,673.6129,543.381,393.2403,449.399,299.2583,375.3619,225.2211,169.026
PMeOH(15:0_26:4)+NH4,798.60072,669.5816,539.3497,393.2403,445.3677,299.2583,371.3306,225.2211,169.026
PMeOH(15:0_27:0)+NH4,820.67902,691.6599,561.4279,393.2403,467.446,299.2583,393.4088,225.2211,169.026
PMeOH(15:1_15:1)+NH4,648.46002,519.4409,391.2246,391.2246,297.2426,297.2426,223.2055,223.2055,169.026
PMeOH(16:0_15:1)+NH4,664.49112,535.472,391.2245,407.2558,297.2425,313.2738,223.2055,239.2368,169.026
PMeOH(15:1_16:1)+NH4,662.47552,533.4564,405.2402,391.2245,311.2582,297.2426,237.2211,223.2055,169.026
PMeOH(15:1_16:2)+NH4,660.46002,531.4409,403.2246,391.2246,309.2426,297.2426,235.2055,223.2055,169.026
PMeOH(15:1_16:3)+NH4,658.44422,529.4251,401.2089,391.2245,307.2269,297.2425,233.1899,223.2055,169.026
PMeOH(15:1_16:4)+NH4,656.42862,527.4095,399.1933,391.2245,305.2113,297.2426,231.1742,223.2055,169.026
PMeOH(17:0_15:1)+NH4,678.50682,549.4877,391.2245,421.2715,297.2426,327.2895,223.2055,253.2524,169.026
PMeOH(15:1_17:1)+NH4,676.49112,547.472,419.2558,391.2245,325.2738,297.2425,251.2368,223.2055,169.026
PMeOH(15:1_17:2)+NH4,674.47552,545.4564,417.2402,391.2245,323.2582,297.2426,249.2211,223.2055,169.026
PMeOH(18:0_15:1)+NH4,692.52252,563.5034,391.2245,435.2871,297.2425,341.3051,223.2055,267.2681,169.026
PMeOH(15:1_18:1)+NH4,690.50682,561.4877,433.2715,391.2245,339.2895,297.2426,265.2524,223.2055,169.026
PMeOH(15:1_18:2)+NH4,688.49112,559.472,431.2558,391.2245,337.2738,297.2425,263.2368,223.2055,169.026
PMeOH(15:1_18:3)+NH4,686.47552,557.4564,429.2402,391.2245,335.2582,297.2426,261.2212,223.2055,169.026
PMeOH(15:1_18:4)+NH4,684.46002,555.4409,427.2246,391.2246,333.2426,297.2426,259.2055,223.2055,169.026
PMeOH(15:1_18:5)+NH4,682.44422,553.4251,425.2089,391.2245,331.2269,297.2425,257.1899,223.2055,169.026
PMeOH(19:0_15:1)+NH4,706.53812,577.519,391.2246,449.3028,297.2426,355.3208,223.2055,281.2837,169.026
PMeOH(15:1_19:1)+NH4,704.52252,575.5034,447.2871,391.2245,353.3051,297.2425,279.2681,223.2055,169.026
PMeOH(15:1_19:2)+NH4,702.50682,573.4877,445.2715,391.2245,351.2895,297.2426,277.2524,223.2055,169.026
PMeOH(20:0_15:1)+NH4,720.55382,591.5347,391.2246,463.3185,297.2426,369.3365,223.2055,295.2993,169.026
PMeOH(15:1_20:1)+NH4,718.53812,589.519,461.3028,391.2246,367.3208,297.2426,293.2837,223.2055,169.026
PMeOH(15:1_20:2)+NH4,716.52252,587.5034,459.2871,391.2245,365.3051,297.2425,291.2681,223.2055,169.026
PMeOH(15:1_20:3)+NH4,714.50682,585.4877,457.2715,391.2245,363.2895,297.2426,289.2524,223.2055,169.026
PMeOH(15:1_20:4)+NH4,712.49112,583.472,455.2558,391.2245,361.2738,297.2425,287.2368,223.2055,169.026
PMeOH(15:1_20:5)+NH4,710.47552,581.4564,453.2402,391.2245,359.2582,297.2426,285.2212,223.2055,169.026
PMeOH(21:0_15:1)+NH4,734.56952,605.5504,391.2246,477.3341,297.2426,383.3521,223.2055,309.315,169.026
PMeOH(15:1_21:1)+NH4,732.55382,603.5347,475.3185,391.2246,381.3365,297.2426,307.2993,223.2055,169.026
PMeOH(15:1_21:2)+NH4,730.53812,601.519,473.3028,391.2246,379.3208,297.2426,305.2837,223.2055,169.026
PMeOH(22:0_15:1)+NH4,748.58512,619.566,391.2246,491.3498,297.2427,397.3678,223.2055,323.3306,169.026
PMeOH(15:1_22:1)+NH4,746.56952,617.5504,489.3341,391.2246,395.3521,297.2426,321.315,223.2055,169.026
PMeOH(15:1_22:2)+NH4,744.55382,615.5347,487.3185,391.2246,393.3365,297.2426,319.2993,223.2055,169.026
PMeOH(15:1_22:3)+NH4,742.53812,613.519,485.3028,391.2246,391.3208,297.2426,317.2837,223.2055,169.026
PMeOH(15:1_22:4)+NH4,740.52252,611.5034,483.2871,391.2245,389.3051,297.2425,315.2681,223.2055,169.026
PMeOH(15:1_22:5)+NH4,738.50682,609.4877,481.2715,391.2245,387.2895,297.2426,313.2524,223.2055,169.026
PMeOH(15:1_22:6)+NH4,736.49112,607.472,479.2558,391.2245,385.2738,297.2425,311.2368,223.2055,169.026
PMeOH(23:0_15:1)+NH4,762.60072,633.5816,391.2246,505.3654,297.2426,411.3834,223.2055,337.3463,169.026
PMeOH(24:0_15:1)+NH4,776.61652,647.5974,391.2247,519.381,297.2427,425.3991,223.2055,351.3619,169.026
PMeOH(15:1_24:1)+NH4,774.60072,645.5816,517.3654,391.2246,423.3834,297.2426,349.3463,223.2055,169.026
PMeOH(15:1_24:2)+NH4,772.58512,643.566,515.3498,391.2246,421.3678,297.2427,347.3306,223.2055,169.026
PMeOH(15:1_24:4)+NH4,768.55382,639.5347,511.3185,391.2246,417.3365,297.2426,343.2993,223.2055,169.026
PMeOH(25:0_15:1)+NH4,790.63202,661.6129,391.2246,533.3967,297.2426,439.4147,223.2055,365.3776,169.026
PMeOH(26:0_15:1)+NH4,804.64762,675.6285,391.2246,547.4123,297.2426,453.4303,223.2055,379.3932,169.026
PMeOH(15:1_26:1)+NH4,802.63202,673.6129,545.3967,391.2246,451.4147,297.2426,377.3776,223.2055,169.026
PMeOH(15:1_26:2)+NH4,800.61652,671.5974,543.381,391.2247,449.3991,297.2427,375.3619,223.2055,169.026
PMeOH(15:1_26:4)+NH4,796.58512,667.566,539.3498,391.2246,445.3678,297.2427,371.3306,223.2055,169.026
PMeOH(27:0_15:1)+NH4,818.66332,689.6442,391.2246,561.428,297.2427,467.446,223.2055,393.4088,169.026
PMeOH(16:0_16:0)+NH4,680.52252,551.5034,407.2558,407.2558,313.2738,313.2738,239.2368,239.2368,169.026
PMeOH(16:0_16:1)+NH4,678.50682,549.4877,405.2402,407.2558,311.2582,313.2739,237.2211,239.2368,169.026
PMeOH(16:0_16:2)+NH4,676.49112,547.472,403.2245,407.2558,309.2425,313.2738,235.2055,239.2368,169.026
PMeOH(16:0_16:3)+NH4,674.47552,545.4564,401.2089,407.2558,307.2269,313.2738,233.1899,239.2368,169.026
PMeOH(16:0_16:4)+NH4,672.46002,543.4409,399.1933,407.2559,305.2113,313.2739,231.1742,239.2368,169.026
PMeOH(16:0_17:0)+NH4,694.53812,565.519,421.2715,407.2559,327.2895,313.2739,253.2524,239.2368,169.026
PMeOH(16:0_17:1)+NH4,692.52252,563.5034,419.2558,407.2558,325.2738,313.2738,251.2368,239.2368,169.026
PMeOH(16:0_17:2)+NH4,690.50682,561.4877,417.2402,407.2558,323.2582,313.2739,249.2211,239.2368,169.026
PMeOH(16:0_18:0)+NH4,708.55382,579.5347,435.2872,407.2559,341.3052,313.2739,267.2681,239.2368,169.026
PMeOH(16:0_18:1)+NH4,706.53812,577.519,433.2715,407.2559,339.2895,313.2739,265.2524,239.2368,169.026
PMeOH(16:0_18:2)+NH4,704.52252,575.5034,431.2558,407.2558,337.2738,313.2738,263.2368,239.2368,169.026
PMeOH(16:0_18:3)+NH4,702.50682,573.4877,429.2402,407.2558,335.2582,313.2739,261.2212,239.2368,169.026
PMeOH(16:0_18:4)+NH4,700.49112,571.472,427.2245,407.2558,333.2425,313.2738,259.2055,239.2368,169.026
PMeOH(16:0_18:5)+NH4,698.47552,569.4564,425.2089,407.2558,331.2269,313.2738,257.1899,239.2368,169.026
PMeOH(16:0_19:0)+NH4,722.56952,593.5504,449.3028,407.2559,355.3208,313.2739,281.2837,239.2368,169.026
PMeOH(16:0_19:1)+NH4,720.55382,591.5347,447.2872,407.2559,353.3052,313.2739,279.2681,239.2368,169.026
PMeOH(16:0_19:2)+NH4,718.53812,589.519,445.2715,407.2559,351.2895,313.2739,277.2524,239.2368,169.026
PMeOH(16:0_20:0)+NH4,736.58512,607.566,463.3185,407.2559,369.3365,313.274,295.2993,239.2368,169.026
PMeOH(16:0_20:1)+NH4,734.56952,605.5504,461.3028,407.2559,367.3208,313.2739,293.2837,239.2368,169.026
PMeOH(16:0_20:2)+NH4,732.55382,603.5347,459.2872,407.2559,365.3052,313.2739,291.2681,239.2368,169.026
PMeOH(16:0_20:3)+NH4,730.53812,601.519,457.2715,407.2559,363.2895,313.2739,289.2524,239.2368,169.026
PMeOH(16:0_20:4)+NH4,728.52252,599.5034,455.2558,407.2558,361.2738,313.2738,287.2368,239.2368,169.026
PMeOH(16:0_20:5)+NH4,726.50682,597.4877,453.2402,407.2558,359.2582,313.2739,285.2212,239.2368,169.026
PMeOH(16:0_21:0)+NH4,750.60072,621.5816,477.3341,407.2559,383.3521,313.2739,309.315,239.2368,169.026
PMeOH(16:0_21:1)+NH4,748.58512,619.566,475.3185,407.2559,381.3365,313.274,307.2993,239.2368,169.026
PMeOH(16:0_21:2)+NH4,746.56952,617.5504,473.3028,407.2559,379.3208,313.2739,305.2837,239.2368,169.026
PMeOH(16:0_22:0)+NH4,764.61652,635.5974,491.3498,407.256,397.3678,313.274,323.3306,239.2368,169.026
PMeOH(16:0_22:1)+NH4,762.60072,633.5816,489.3341,407.2559,395.3521,313.2739,321.315,239.2368,169.026
PMeOH(16:0_22:2)+NH4,760.58512,631.566,487.3185,407.2559,393.3365,313.274,319.2993,239.2368,169.026
PMeOH(16:0_22:3)+NH4,758.56952,629.5504,485.3028,407.2559,391.3208,313.2739,317.2837,239.2368,169.026
PMeOH(16:0_22:4)+NH4,756.55382,627.5347,483.2872,407.2559,389.3052,313.2739,315.2681,239.2368,169.026
PMeOH(16:0_22:5)+NH4,754.53812,625.519,481.2715,407.2559,387.2895,313.2739,313.2524,239.2368,169.026
PMeOH(16:0_22:6)+NH4,752.52252,623.5034,479.2558,407.2558,385.2738,313.2738,311.2368,239.2368,169.026
PMeOH(16:0_23:0)+NH4,778.63202,649.6129,505.3654,407.2559,411.3834,313.2739,337.3463,239.2368,169.026
PMeOH(16:0_24:0)+NH4,792.64762,663.6285,519.381,407.2559,425.399,313.2739,351.3619,239.2368,169.026
PMeOH(16:0_24:1)+NH4,790.63202,661.6129,517.3654,407.2559,423.3834,313.2739,349.3463,239.2368,169.026
PMeOH(16:0_24:2)+NH4,788.61652,659.5974,515.3498,407.256,421.3678,313.274,347.3306,239.2368,169.026
PMeOH(16:0_24:4)+NH4,784.58512,655.566,511.3185,407.2559,417.3365,313.274,343.2993,239.2368,169.026
PMeOH(16:0_25:0)+NH4,806.66332,677.6442,533.3967,407.2559,439.4147,313.274,365.3776,239.2368,169.026
PMeOH(16:0_26:0)+NH4,820.67902,691.6599,547.4123,407.2559,453.4303,313.2739,379.3932,239.2368,169.026
PMeOH(16:0_26:1)+NH4,818.66332,689.6442,545.3967,407.2559,451.4147,313.274,377.3776,239.2368,169.026
PMeOH(16:0_26:2)+NH4,816.64762,687.6285,543.381,407.2559,449.399,313.2739,375.3619,239.2368,169.026
PMeOH(16:0_26:4)+NH4,812.61652,683.5974,539.3498,407.256,445.3678,313.274,371.3306,239.2368,169.026
PMeOH(16:0_27:0)+NH4,834.69462,705.6755,561.428,407.256,467.446,313.274,393.4088,239.2368,169.026
PMeOH(16:1_16:1)+NH4,676.49112,547.472,405.2401,405.2401,311.2581,311.2581,237.2211,237.2211,169.026
PMeOH(16:1_16:2)+NH4,674.47552,545.4564,403.2245,405.2402,309.2426,311.2582,235.2055,237.2211,169.026
PMeOH(16:1_16:3)+NH4,672.46002,543.4409,401.2089,405.2402,307.227,311.2582,233.1899,237.2211,169.026
PMeOH(16:1_16:4)+NH4,670.44422,541.4251,399.1932,405.2401,305.2112,311.2582,231.1742,237.2211,169.026
PMeOH(17:0_16:1)+NH4,692.52252,563.5034,405.2401,421.2714,311.2582,327.2895,237.2211,253.2524,169.026
PMeOH(16:1_17:1)+NH4,690.50682,561.4877,419.2558,405.2402,325.2739,311.2582,251.2368,237.2211,169.026
PMeOH(16:1_17:2)+NH4,688.49112,559.472,417.2401,405.2401,323.2581,311.2581,249.2211,237.2211,169.026
PMeOH(18:0_16:1)+NH4,706.53812,577.519,405.2402,435.2871,311.2582,341.3051,237.2211,267.2681,169.026
PMeOH(16:1_18:1)+NH4,704.52252,575.5034,433.2714,405.2401,339.2895,311.2582,265.2524,237.2211,169.026
PMeOH(16:1_18:2)+NH4,702.50682,573.4877,431.2558,405.2402,337.2739,311.2582,263.2368,237.2211,169.026
PMeOH(16:1_18:3)+NH4,700.49112,571.472,429.2401,405.2401,335.2581,311.2581,261.2212,237.2211,169.026
PMeOH(16:1_18:4)+NH4,698.47552,569.4564,427.2245,405.2402,333.2426,311.2582,259.2055,237.2211,169.026
PMeOH(16:1_18:5)+NH4,696.46002,567.4409,425.2089,405.2402,331.227,311.2582,257.1899,237.2211,169.026
PMeOH(19:0_16:1)+NH4,720.55382,591.5347,405.2403,449.3028,311.2583,355.3209,237.2211,281.2837,169.026
PMeOH(16:1_19:1)+NH4,718.53812,589.519,447.2871,405.2402,353.3051,311.2582,279.2681,237.2211,169.026
PMeOH(16:1_19:2)+NH4,716.52252,587.5034,445.2714,405.2401,351.2895,311.2582,277.2524,237.2211,169.026
PMeOH(20:0_16:1)+NH4,734.56952,605.5504,405.2402,463.3184,311.2582,369.3365,237.2211,295.2993,169.026
PMeOH(16:1_20:1)+NH4,732.55382,603.5347,461.3028,405.2403,367.3209,311.2583,293.2837,237.2211,169.026
PMeOH(16:1_20:2)+NH4,730.53812,601.519,459.2871,405.2402,365.3051,311.2582,291.2681,237.2211,169.026
PMeOH(16:1_20:3)+NH4,728.52252,599.5034,457.2714,405.2401,363.2895,311.2582,289.2524,237.2211,169.026
PMeOH(16:1_20:4)+NH4,726.50682,597.4877,455.2558,405.2402,361.2739,311.2582,287.2368,237.2211,169.026
PMeOH(16:1_20:5)+NH4,724.49112,595.472,453.2401,405.2401,359.2581,311.2581,285.2212,237.2211,169.026
PMeOH(21:0_16:1)+NH4,748.58512,619.566,405.2403,477.3341,311.2583,383.3521,237.2211,309.315,169.026
PMeOH(16:1_21:1)+NH4,746.56952,617.5504,475.3184,405.2402,381.3365,311.2582,307.2993,237.2211,169.026
PMeOH(16:1_21:2)+NH4,744.55382,615.5347,473.3028,405.2403,379.3209,311.2583,305.2837,237.2211,169.026
PMeOH(22:0_16:1)+NH4,762.60072,633.5816,405.2403,491.3497,311.2583,397.3677,237.2211,323.3306,169.026
PMeOH(16:1_22:1)+NH4,760.58512,631.566,489.3341,405.2403,395.3521,311.2583,321.315,237.2211,169.026
PMeOH(16:1_22:2)+NH4,758.56952,629.5504,487.3184,405.2402,393.3365,311.2582,319.2993,237.2211,169.026
PMeOH(16:1_22:3)+NH4,756.55382,627.5347,485.3028,405.2403,391.3209,311.2583,317.2837,237.2211,169.026
PMeOH(16:1_22:4)+NH4,754.53812,625.519,483.2871,405.2402,389.3051,311.2582,315.2681,237.2211,169.026
PMeOH(16:1_22:5)+NH4,752.52252,623.5034,481.2714,405.2401,387.2895,311.2582,313.2524,237.2211,169.026
PMeOH(16:1_22:6)+NH4,750.50682,621.4877,479.2558,405.2402,385.2739,311.2582,311.2368,237.2211,169.026
PMeOH(23:0_16:1)+NH4,776.61652,647.5974,405.2403,505.3654,311.2583,411.3835,237.2211,337.3463,169.026
PMeOH(24:0_16:1)+NH4,790.63202,661.6129,405.2403,519.381,311.2583,425.399,237.2211,351.3619,169.026
PMeOH(16:1_24:1)+NH4,788.61652,659.5974,517.3654,405.2403,423.3835,311.2583,349.3463,237.2211,169.026
PMeOH(16:1_24:2)+NH4,786.60072,657.5816,515.3497,405.2403,421.3677,311.2583,347.3306,237.2211,169.026
PMeOH(16:1_24:4)+NH4,782.56952,653.5504,511.3184,405.2402,417.3365,311.2582,343.2993,237.2211,169.026
PMeOH(25:0_16:1)+NH4,804.64762,675.6285,405.2402,533.3966,311.2582,439.4146,237.2211,365.3776,169.026
PMeOH(26:0_16:1)+NH4,818.66332,689.6442,405.2403,547.4124,311.2583,453.4304,237.2211,379.3932,169.026
PMeOH(16:1_26:1)+NH4,816.64762,687.6285,545.3966,405.2402,451.4146,311.2582,377.3776,237.2211,169.026
PMeOH(16:1_26:2)+NH4,814.63202,685.6129,543.381,405.2403,449.399,311.2583,375.3619,237.2211,169.026
PMeOH(16:1_26:4)+NH4,810.60072,681.5816,539.3497,405.2403,445.3677,311.2583,371.3306,237.2211,169.026
PMeOH(27:0_16:1)+NH4,832.67902,703.6599,405.2403,561.4279,311.2583,467.446,237.2211,393.4088,169.026
PMeOH(16:2_16:2)+NH4,672.46002,543.4409,403.2246,403.2246,309.2426,309.2426,235.2055,235.2055,169.026
PMeOH(16:2_16:3)+NH4,670.44422,541.4251,401.2089,403.2245,307.2269,309.2425,233.1899,235.2055,169.026
PMeOH(16:2_16:4)+NH4,668.42862,539.4095,399.1933,403.2245,305.2113,309.2426,231.1742,235.2055,169.026
PMeOH(17:0_16:2)+NH4,690.50682,561.4877,403.2245,421.2715,309.2426,327.2895,235.2055,253.2524,169.026
PMeOH(17:1_16:2)+NH4,688.49112,559.472,403.2245,419.2558,309.2425,325.2738,235.2055,251.2368,169.026
PMeOH(16:2_17:2)+NH4,686.47552,557.4564,417.2402,403.2245,323.2582,309.2426,249.2211,235.2055,169.026
PMeOH(18:0_16:2)+NH4,704.52252,575.5034,403.2245,435.2871,309.2425,341.3051,235.2055,267.2681,169.026
PMeOH(18:1_16:2)+NH4,702.50682,573.4877,403.2245,433.2715,309.2426,339.2895,235.2055,265.2524,169.026
PMeOH(16:2_18:2)+NH4,700.49112,571.472,431.2558,403.2245,337.2738,309.2425,263.2368,235.2055,169.026
PMeOH(16:2_18:3)+NH4,698.47552,569.4564,429.2402,403.2245,335.2582,309.2426,261.2212,235.2055,169.026
PMeOH(16:2_18:4)+NH4,696.46002,567.4409,427.2246,403.2246,333.2426,309.2426,259.2055,235.2055,169.026
PMeOH(16:2_18:5)+NH4,694.44422,565.4251,425.2089,403.2245,331.2269,309.2425,257.1899,235.2055,169.026
