PMeOH,[M+NH4]+,[M-CH5O4P+H]+,NL of SN1+H2O,NL of SN2+H2O,[M-SN1-112+H]+,[M-SN2-112+H]+,SN2-H2O,SN1-H2O,[C4H9O5P+H]+
PMeOH(12:0_26:4)+NH4,756.55382,627.5347,539.3497,351.1934,445.3678,257.2114,371.3306,183.1742,169.026
PMeOH(12:0_27:0)+NH4,778.63202,649.6129,561.428,351.1934,467.446,257.2114,393.4088,183.1742,169.026
PMeOH(13:0_13:0)+NH4,596.42862,467.4095,365.2089,365.2089,271.2269,271.2269,197.1899,197.1899,169.026
PMeOH(13:0_13:1)+NH4,594.41292,465.3938,363.1932,365.2089,269.2112,271.2269,195.1742,197.1899,169.026
PMeOH(13:0_14:0)+NH4,610.44422,481.4251,379.2245,365.2089,285.2425,271.2269,211.2055,197.1899,169.026
PMeOH(13:0_14:1)+NH4,608.42862,479.4095,377.2089,365.2089,283.2269,271.2269,209.1899,197.1899,169.026
PMeOH(13:0_15:0)+NH4,624.45992,495.4408,393.2402,365.2089,299.2582,271.227,225.2211,197.1899,169.026
PMeOH(13:0_15:1)+NH4,622.44422,493.4251,391.2245,365.2089,297.2425,271.2269,223.2055,197.1899,169.026
PMeOH(13:0_16:0)+NH4,638.47552,509.4564,407.2558,365.2089,313.2738,271.2269,239.2368,197.1899,169.026
PMeOH(13:0_16:1)+NH4,636.45992,507.4408,405.2402,365.2089,311.2582,271.227,237.2211,197.1899,169.026
PMeOH(13:0_16:2)+NH4,634.44422,505.4251,403.2245,365.2089,309.2425,271.2269,235.2055,197.1899,169.026
PMeOH(13:0_16:3)+NH4,632.42862,503.4095,401.2089,365.2089,307.2269,271.2269,233.1899,197.1899,169.026
PMeOH(13:0_16:4)+NH4,630.41292,501.3938,399.1932,365.2089,305.2112,271.2269,231.1742,197.1899,169.026
PMeOH(13:0_17:0)+NH4,652.49112,523.472,421.2714,365.2089,327.2894,271.2269,253.2524,197.1899,169.026
PMeOH(13:0_17:1)+NH4,650.47552,521.4564,419.2558,365.2089,325.2738,271.2269,251.2368,197.1899,169.026
