GlcCer_NDS,[M+H]+,[M-C6H10O5+H]+,[M-Hex-H2O+H]+,[M-Hex-2H2O+H]+,[Sph-H2O+H]+,[Sph-2H2O+H]+,[FAA+H]+,[Sph-CH4O2+H]+
GlcCer_NDS(d16:0/24:2)+H,782.65045,620.59755,602.58705,584.57645,256.26295,238.25235,364.35685,226.25235
GlcCer_NDS(d16:0/24:3)+H,780.63475,618.58195,600.57145,582.56075,256.26295,238.25235,362.34115,226.25235
GlcCer_NDS(d16:0/24:4)+H,778.61915,616.56625,598.55575,580.54515,256.26295,238.25235,360.32555,226.25235
GlcCer_NDS(d16:0/25:0)+H,800.69735,638.64455,620.63395,602.62345,256.26295,238.25235,382.40385,226.25235
GlcCer_NDS(d16:0/25:1)+H,798.68175,636.62895,618.61835,600.60775,256.26295,238.25235,380.38815,226.25235
GlcCer_NDS(d16:0/25:2)+H,796.66605,634.61325,616.60265,598.59215,256.26295,238.25235,378.37245,226.25235
GlcCer_NDS(d16:0/25:3)+H,794.65045,632.59755,614.58705,596.57645,256.26295,238.25235,376.35685,226.25235
GlcCer_NDS(d16:0/25:4)+H,792.63475,630.58195,612.57145,594.56075,256.26295,238.25235,374.34115,226.25235
GlcCer_NDS(d16:0/26:0)+H,814.71305,652.66025,634.64965,616.63905,256.26295,238.25235,396.41945,226.25235
GlcCer_NDS(d16:0/26:1)+H,812.69735,650.64455,632.63395,614.62345,256.26295,238.25235,394.40385,226.25235
GlcCer_NDS(d16:0/26:2)+H,810.68175,648.62895,630.61835,612.60775,256.26295,238.25235,392.38815,226.25235
GlcCer_NDS(d16:0/26:3)+H,808.66605,646.61325,628.60265,610.59215,256.26295,238.25235,390.37245,226.25235
GlcCer_NDS(d16:0/26:4)+H,806.65045,644.59755,626.58705,608.57645,256.26295,238.25235,388.35685,226.25235
GlcCer_NDS(d16:0/27:0)+H,828.72865,666.67585,648.66525,630.65475,256.26295,238.25235,410.43505,226.25235
GlcCer_NDS(d16:0/27:1)+H,826.71305,664.66025,646.64965,628.63905,256.26295,238.25235,408.41945,226.25235
GlcCer_NDS(d16:0/27:2)+H,824.69735,662.64455,644.63395,626.62345,256.26295,238.25235,406.40385,226.25235
GlcCer_NDS(d16:0/27:3)+H,822.68175,660.62895,642.61835,624.60775,256.26295,238.25235,404.38815,226.25235
GlcCer_NDS(d16:0/27:4)+H,820.66605,658.61325,640.60265,622.59215,256.26295,238.25235,402.37245,226.25235
GlcCer_NDS(d16:0/28:0)+H,842.74435,680.69155,662.68095,644.67035,256.26295,238.25235,424.45075,226.25235
GlcCer_NDS(d16:0/28:1)+H,840.72865,678.67585,660.66525,642.65475,256.26295,238.25235,422.43505,226.25235
GlcCer_NDS(d16:0/28:2)+H,838.71305,676.66025,658.64965,640.63905,256.26295,238.25235,420.41945,226.25235
GlcCer_NDS(d16:0/28:3)+H,836.69735,674.64455,656.63395,638.62345,256.26295,238.25235,418.40385,226.25235
GlcCer_NDS(d16:0/28:4)+H,834.68175,672.62895,654.61835,636.60775,256.26295,238.25235,416.38815,226.25235
GlcCer_NDS(d16:0/29:0)+H,856.76005,694.70715,676.69655,658.68605,256.26295,238.25235,438.46635,226.25235
GlcCer_NDS(d16:0/29:1)+H,854.74435,692.69155,674.68095,656.67035,256.26295,238.25235,436.45075,226.25235
GlcCer_NDS(d16:0/29:2)+H,852.72865,690.67585,672.66525,654.65475,256.26295,238.25235,434.43505,226.25235
GlcCer_NDS(d16:0/29:3)+H,850.71305,688.66025,670.64965,652.63905,256.26295,238.25235,432.41945,226.25235
GlcCer_NDS(d16:0/29:4)+H,848.69735,686.64455,668.63395,650.62345,256.26295,238.25235,430.40385,226.25235
GlcCer_NDS(d16:0/30:0)+H,870.77565,708.72285,690.71225,672.70165,256.26295,238.25235,452.48205,226.25235
GlcCer_NDS(d16:0/30:1)+H,868.76005,706.70715,688.69655,670.68605,256.26295,238.25235,450.46635,226.25235
GlcCer_NDS(d16:0/30:2)+H,866.74435,704.69155,686.68095,668.67035,256.26295,238.25235,448.45075,226.25235
GlcCer_NDS(d16:0/30:3)+H,864.72865,702.67585,684.66525,666.65475,256.26295,238.25235,446.43505,226.25235
GlcCer_NDS(d16:0/30:4)+H,862.71305,700.66025,682.64965,664.63905,256.26295,238.25235,444.41945,226.25235
GlcCer_NDS(d16:0/31:0)+H,884.79135,722.73845,704.72795,686.71735,256.26295,238.25235,466.49775,226.25235
GlcCer_NDS(d16:0/31:1)+H,882.77565,720.72285,702.71225,684.70165,256.26295,238.25235,464.48205,226.25235
GlcCer_NDS(d16:0/31:2)+H,880.76005,718.70715,700.69655,682.68605,256.26295,238.25235,462.46635,226.25235
GlcCer_NDS(d16:0/31:3)+H,878.74435,716.69155,698.68095,680.67035,256.26295,238.25235,460.45075,226.25235
GlcCer_NDS(d16:0/31:4)+H,876.72865,714.67585,696.66525,678.65475,256.26295,238.25235,458.43505,226.25235
GlcCer_NDS(d16:0/32:0)+H,898.80695,736.75405,718.74355,700.73295,256.26295,238.25235,480.51335,226.25235
GlcCer_NDS(d16:0/32:1)+H,896.79135,734.73845,716.72795,698.71735,256.26295,238.25235,478.49775,226.25235
GlcCer_NDS(d16:0/32:2)+H,894.77565,732.72285,714.71225,696.70165,256.26295,238.25235,476.48205,226.25235
GlcCer_NDS(d16:0/32:3)+H,892.76005,730.70715,712.69655,694.68605,256.26295,238.25235,474.46635,226.25235
GlcCer_NDS(d16:0/32:4)+H,890.74435,728.69155,710.68095,692.67035,256.26295,238.25235,472.45075,226.25235
GlcCer_NDS(d16:0/33:0)+H,912.82255,750.76975,732.75925,714.74855,256.26295,238.25235,494.52895,226.25235
GlcCer_NDS(d16:0/33:1)+H,910.80695,748.75405,730.74355,712.73295,256.26295,238.25235,492.51335,226.25235
GlcCer_NDS(d16:0/33:2)+H,908.79135,746.73845,728.72795,710.71735,256.26295,238.25235,490.49775,226.25235
GlcCer_NDS(d16:0/33:3)+H,906.77565,744.72285,726.71225,708.70165,256.26295,238.25235,488.48205,226.25235
GlcCer_NDS(d16:0/33:4)+H,904.76005,742.70715,724.69655,706.68605,256.26295,238.25235,486.46635,226.25235
GlcCer_NDS(d16:0/34:0)+H,926.83825,764.78535,746.77485,728.76425,256.26295,238.25235,508.54465,226.25235
GlcCer_NDS(d16:0/34:1)+H,924.82255,762.76975,744.75925,726.74855,256.26295,238.25235,506.52895,226.25235
GlcCer_NDS(d16:0/34:2)+H,922.80695,760.75405,742.74355,724.73295,256.26295,238.25235,504.51335,226.25235
GlcCer_NDS(d16:0/34:3)+H,920.79135,758.73845,740.72795,722.71735,256.26295,238.25235,502.49775,226.25235
GlcCer_NDS(d16:0/34:4)+H,918.77565,756.72285,738.71225,720.70165,256.26295,238.25235,500.48205,226.25235
GlcCer_NDS(d16:0/35:0)+H,940.85385,778.80105,760.79045,742.77995,256.26295,238.25235,522.56035,226.25235
GlcCer_NDS(d16:0/35:1)+H,938.83825,776.78535,758.77485,740.76425,256.26295,238.25235,520.54465,226.25235
GlcCer_NDS(d16:0/35:2)+H,936.82255,774.76975,756.75925,738.74855,256.26295,238.25235,518.52895,226.25235
GlcCer_NDS(d16:0/35:3)+H,934.80695,772.75405,754.74355,736.73295,256.26295,238.25235,516.51335,226.25235
GlcCer_NDS(d16:0/35:4)+H,932.79135,770.73845,752.72795,734.71735,256.26295,238.25235,514.49765,226.25235
GlcCer_NDS(d16:0/36:0)+H,954.86955,792.81675,774.80615,756.79555,256.26295,238.25235,536.57595,226.25235
GlcCer_NDS(d16:0/36:1)+H,952.85385,790.80105,772.79045,754.77995,256.26295,238.25235,534.56035,226.25235
GlcCer_NDS(d16:0/36:2)+H,950.83825,788.78535,770.77485,752.76425,256.26295,238.25235,532.54465,226.25235
GlcCer_NDS(d16:0/36:3)+H,948.82255,786.76975,768.75925,750.74855,256.26295,238.25235,530.52895,226.25235
GlcCer_NDS(d16:0/36:4)+H,946.80695,784.75405,766.74355,748.73295,256.26295,238.25235,528.51335,226.25235
GlcCer_NDS(d17:0/14:0)+H,660.54085,498.48805,480.47745,462.46695,270.27855,252.26805,228.23165,240.26805
GlcCer_NDS(d17:0/14:1)+H,658.52525,496.47245,478.46185,460.45125,270.27855,252.26805,226.21605,240.26805
GlcCer_NDS(d17:0/14:2)+H,656.50955,494.45675,476.44615,458.43565,270.27855,252.26805,224.20035,240.26805
GlcCer_NDS(d17:0/14:3)+H,654.49395,492.44115,474.43055,456.41995,270.27855,252.26805,222.18475,240.26805
GlcCer_NDS(d17:0/15:0)+H,674.55655,512.50375,494.49315,476.48255,270.27855,252.26805,242.24725,240.26805
GlcCer_NDS(d17:0/15:1)+H,672.54085,510.48805,492.47745,474.46695,270.27855,252.26805,240.23165,240.26805
GlcCer_NDS(d17:0/15:2)+H,670.52525,508.47245,490.46185,472.45125,270.27855,252.26805,238.21605,240.26805
GlcCer_NDS(d17:0/15:3)+H,668.50955,506.45675,488.44615,470.43565,270.27855,252.26805,236.20035,240.26805
GlcCer_NDS(d17:0/16:0)+H,688.57225,526.51935,508.50875,490.49825,270.27855,252.26805,256.26295,240.26805
GlcCer_NDS(d17:0/16:1)+H,686.55655,524.50375,506.49315,488.48255,270.27855,252.26805,254.24725,240.26805
GlcCer_NDS(d17:0/16:2)+H,684.54085,522.48805,504.47745,486.46695,270.27855,252.26805,252.23165,240.26805
GlcCer_NDS(d17:0/16:3)+H,682.52525,520.47245,502.46185,484.45125,270.27855,252.26805,250.21605,240.26805
GlcCer_NDS(d17:0/16:4)+H,680.50955,518.45675,500.44615,482.43565,270.27855,252.26805,248.20035,240.26805
GlcCer_NDS(d17:0/17:0)+H,702.58785,540.53505,522.52445,504.51385,270.27855,252.26805,270.27855,240.26805
GlcCer_NDS(d17:0/17:1)+H,700.57225,538.51935,520.50875,502.49825,270.27855,252.26805,268.26295,240.26805
GlcCer_NDS(d17:0/17:2)+H,698.55655,536.50375,518.49315,500.48255,270.27855,252.26805,266.24735,240.26805
GlcCer_NDS(d17:0/17:3)+H,696.54085,534.48805,516.47745,498.46695,270.27855,252.26805,264.23165,240.26805
GlcCer_NDS(d17:0/18:0)+H,716.60355,554.55065,536.54005,518.52955,270.27855,252.26805,284.29425,240.26805
GlcCer_NDS(d17:0/18:1)+H,714.58785,552.53505,534.52445,516.51385,270.27855,252.26805,282.27855,240.26805
