PE,[M+H]+,NL_head,head
PE(38:6)+H,764.52248,623.50337,142.02639
PE(38:7)+H,762.50688,621.48777,142.02639
PE(38:8)+H,760.49128,619.47217,142.02639
PE(38:9)+H,758.47558,617.45647,142.02639
PE(39:0)+H,790.63208,649.61297,142.02639
PE(39:1)+H,788.61648,647.59737,142.02639
PE(39:2)+H,786.60078,645.58167,142.02639
PE(39:3)+H,784.58518,643.56607,142.02639
PE(39:4)+H,782.56948,641.55037,142.02639
PE(39:5)+H,780.55388,639.53477,142.02639
PE(39:6)+H,778.53818,637.51907,142.02639
PE(39:7)+H,776.52248,635.50337,142.02639
PE(39:8)+H,774.50688,633.48777,142.02639
PE(40:0)+H,804.64768,663.62857,142.02639
PE(40:1)+H,802.63208,661.61297,142.02639
PE(40:10)+H,784.49118,643.47207,142.02639
PE(40:2)+H,800.61648,659.59737,142.02639
PE(40:3)+H,798.60078,657.58167,142.02639
PE(40:4)+H,796.58508,655.56597,142.02639
PE(40:5)+H,794.56948,653.55037,142.02639
PE(40:6)+H,792.55378,651.53467,142.02639
PE(40:7)+H,790.53818,649.51907,142.02639
PE(40:8)+H,788.52248,647.50337,142.02639
PE(40:9)+H,786.50688,645.48777,142.02639
PE(41:0)+H,818.66338,677.64427,142.02639
PE(41:1)+H,816.64768,675.62857,142.02639
PE(41:2)+H,814.63208,673.61297,142.02639
PE(41:3)+H,812.61648,671.59737,142.02639
PE(41:4)+H,810.60078,669.58167,142.02639
PE(41:5)+H,808.58518,667.56607,142.02639
PE(41:6)+H,806.56948,665.55037,142.02639
PE(42:0)+H,832.67898,691.65987,142.02639
PE(42:1)+H,830.66338,689.64427,142.02639
PE(42:10)+H,812.52248,671.50337,142.02639
PE(42:11)+H,810.50688,669.48777,142.02639
PE(42:2)+H,828.64778,687.62867,142.02639
PE(42:3)+H,826.63208,685.61297,142.02639
PE(42:4)+H,824.61648,683.59737,142.02639
PE(42:5)+H,822.60078,681.58167,142.02639
PE(42:6)+H,820.58508,679.56597,142.02639
PE(42:7)+H,818.56948,677.55037,142.02639
PE(42:8)+H,816.55378,675.53467,142.02639
PE(42:9)+H,814.53818,673.51907,142.02639
PE(43:0)+H,846.69468,705.67557,142.02639
