Ac4PIM2,[M-H]-,M-sn1,M-sn2,M-sn3,M-sn4,M-sn1-sn2,M-sn3-sn4,M-sn1-sn2-C3H5O,M-sn3-sn4-C3H5O
Ac4PIM2(14:0_14:0_17:0_15:0)-H,1554.020387,1325.811587,1325.811587,1283.764667,1311.795947,1097.602787,1041.540227,1041.576577,985.5140169
Ac4PIM2(14:0_14:0_17:0_16:0)-H,1568.036037,1339.827237,1339.827237,1297.780317,1311.795957,1111.618437,1041.540237,1055.592227,985.514027
Ac4PIM2(14:0_14:0_17:0_17:0)-H,1582.051687,1353.842887,1353.842887,1311.795967,1311.795967,1125.634087,1041.540247,1069.607877,985.514037
Ac4PIM2(14:0_14:0_17:0_18:0)-H,1596.067337,1367.858537,1367.858537,1325.811617,1311.795977,1139.649737,1041.540257,1083.623527,985.5140471
Ac4PIM2(14:0_14:0_17:0_19:0)-H,1610.082987,1381.874187,1381.874187,1339.827267,1311.795987,1153.665387,1041.540267,1097.639177,985.5140572
Ac4PIM2(14:0_14:0_17:0_20:0)-H,1624.098637,1395.889837,1395.889837,1353.842917,1311.795997,1167.681037,1041.540277,1111.654827,985.5140672
Ac4PIM2(14:0_14:0_17:0_16:1)-H,1566.020387,1337.811587,1337.811587,1295.764667,1311.795947,1109.602787,1041.540227,1053.576577,985.5140169
Ac4PIM2(14:0_14:0_17:0_17:1)-H,1580.036037,1351.827237,1351.827237,1309.780317,1311.795957,1123.618437,1041.540237,1067.592227,985.514027
Ac4PIM2(14:0_14:0_17:0_18:1)-H,1594.051687,1365.842887,1365.842887,1323.795967,1311.795967,1137.634087,1041.540247,1081.607877,985.514037
Ac4PIM2(14:0_14:0_17:0_18:2)-H,1592.036037,1363.827237,1363.827237,1321.780317,1311.795957,1135.618437,1041.540237,1079.592227,985.514027
Ac4PIM2(14:0_14:0_17:0_methyl-18:0)-H,1610.082987,1381.874187,1381.874187,1339.827267,1311.795987,1153.665387,1041.540267,1097.639177,985.5140572
Ac4PIM2(14:0_14:0_18:0_14:0)-H,1554.020387,1325.811587,1325.811587,1269.749027,1325.811587,1097.602787,1041.540227,1041.576577,985.5140169
Ac4PIM2(14:0_14:0_18:0_15:0)-H,1568.036037,1339.827237,1339.827237,1283.764677,1325.811597,1111.618437,1041.540237,1055.592227,985.514027
Ac4PIM2(14:0_14:0_18:0_16:0)-H,1582.051687,1353.842887,1353.842887,1297.780327,1325.811607,1125.634087,1041.540247,1069.607877,985.514037
Ac4PIM2(14:0_14:0_18:0_17:0)-H,1596.067337,1367.858537,1367.858537,1311.795977,1325.811617,1139.649737,1041.540257,1083.623527,985.5140471
Ac4PIM2(14:0_14:0_18:0_18:0)-H,1610.082987,1381.874187,1381.874187,1325.811627,1325.811627,1153.665387,1041.540267,1097.639177,985.5140572
Ac4PIM2(14:0_14:0_18:0_19:0)-H,1624.098637,1395.889837,1395.889837,1339.827277,1325.811637,1167.681037,1041.540277,1111.654827,985.5140672
Ac4PIM2(14:0_14:0_18:0_20:0)-H,1638.114287,1409.905487,1409.905487,1353.842927,1325.811647,1181.696687,1041.540287,1125.670477,985.5140773
Ac4PIM2(14:0_14:0_18:0_16:1)-H,1580.036037,1351.827237,1351.827237,1295.764677,1325.811597,1123.618437,1041.540237,1067.592227,985.514027
Ac4PIM2(14:0_14:0_18:0_17:1)-H,1594.051687,1365.842887,1365.842887,1309.780327,1325.811607,1137.634087,1041.540247,1081.607877,985.514037
Ac4PIM2(14:0_14:0_18:0_18:1)-H,1608.067337,1379.858537,1379.858537,1323.795977,1325.811617,1151.649737,1041.540257,1095.623527,985.5140471
Ac4PIM2(14:0_14:0_18:0_18:2)-H,1606.051687,1377.842887,1377.842887,1321.780327,1325.811607,1149.634087,1041.540247,1093.607877,985.514037
Ac4PIM2(14:0_14:0_18:0_methyl-18:0)-H,1624.098637,1395.889837,1395.889837,1339.827277,1325.811637,1167.681037,1041.540277,1111.654827,985.5140672
Ac4PIM2(14:0_14:0_19:0_14:0)-H,1568.036037,1339.827237,1339.827237,1269.749037,1339.827237,1111.618437,1041.540237,1055.592227,985.514027
Ac4PIM2(14:0_14:0_19:0_15:0)-H,1582.051687,1353.842887,1353.842887,1283.764687,1339.827247,1125.634087,1041.540247,1069.607877,985.514037
Ac4PIM2(14:0_14:0_19:0_16:0)-H,1596.067337,1367.858537,1367.858537,1297.780337,1339.827257,1139.649737,1041.540257,1083.623527,985.5140471
Ac4PIM2(14:0_14:0_19:0_17:0)-H,1610.082987,1381.874187,1381.874187,1311.795987,1339.827267,1153.665387,1041.540267,1097.639177,985.5140572
Ac4PIM2(14:0_14:0_19:0_18:0)-H,1624.098637,1395.889837,1395.889837,1325.811637,1339.827277,1167.681037,1041.540277,1111.654827,985.5140672
Ac4PIM2(14:0_14:0_19:0_19:0)-H,1638.114287,1409.905487,1409.905487,1339.827287,1339.827287,1181.696687,1041.540287,1125.670477,985.5140773
Ac4PIM2(14:0_14:0_19:0_20:0)-H,1652.129937,1423.921137,1423.921137,1353.842937,1339.827297,1195.712337,1041.540297,1139.686127,985.5140873
Ac4PIM2(14:0_14:0_19:0_16:1)-H,1594.051687,1365.842887,1365.842887,1295.764687,1339.827247,1137.634087,1041.540247,1081.607877,985.514037
Ac4PIM2(14:0_14:0_19:0_17:1)-H,1608.067337,1379.858537,1379.858537,1309.780337,1339.827257,1151.649737,1041.540257,1095.623527,985.5140471
Ac4PIM2(14:0_14:0_19:0_18:1)-H,1622.082987,1393.874187,1393.874187,1323.795987,1339.827267,1165.665387,1041.540267,1109.639177,985.5140572
Ac4PIM2(14:0_14:0_19:0_18:2)-H,1620.067337,1391.858537,1391.858537,1321.780337,1339.827257,1163.649737,1041.540257,1107.623527,985.5140471
Ac4PIM2(14:0_14:0_19:0_methyl-18:0)-H,1638.114287,1409.905487,1409.905487,1339.827287,1339.827287,1181.696687,1041.540287,1125.670477,985.5140773
Ac4PIM2(14:0_14:0_20:0_14:0)-H,1582.051687,1353.842887,1353.842887,1269.749047,1353.842887,1125.634087,1041.540247,1069.607877,985.514037
Ac4PIM2(14:0_14:0_20:0_15:0)-H,1596.067337,1367.858537,1367.858537,1283.764697,1353.842897,1139.649737,1041.540257,1083.623527,985.5140471
Ac4PIM2(14:0_14:0_20:0_16:0)-H,1610.082987,1381.874187,1381.874187,1297.780347,1353.842907,1153.665387,1041.540267,1097.639177,985.5140572
Ac4PIM2(14:0_14:0_20:0_17:0)-H,1624.098637,1395.889837,1395.889837,1311.795997,1353.842917,1167.681037,1041.540277,1111.654827,985.5140672
Ac4PIM2(14:0_14:0_20:0_18:0)-H,1638.114287,1409.905487,1409.905487,1325.811647,1353.842927,1181.696687,1041.540287,1125.670477,985.5140773
Ac4PIM2(14:0_14:0_20:0_19:0)-H,1652.129937,1423.921137,1423.921137,1339.827297,1353.842937,1195.712337,1041.540297,1139.686127,985.5140873
Ac4PIM2(14:0_14:0_20:0_20:0)-H,1666.145587,1437.936787,1437.936787,1353.842947,1353.842947,1209.727987,1041.540307,1153.701777,985.5140974
Ac4PIM2(14:0_14:0_20:0_16:1)-H,1608.067337,1379.858537,1379.858537,1295.764697,1353.842897,1151.649737,1041.540257,1095.623527,985.5140471
Ac4PIM2(14:0_14:0_20:0_17:1)-H,1622.082987,1393.874187,1393.874187,1309.780347,1353.842907,1165.665387,1041.540267,1109.639177,985.5140572
Ac4PIM2(14:0_14:0_20:0_18:1)-H,1636.098637,1407.889837,1407.889837,1323.795997,1353.842917,1179.681037,1041.540277,1123.654827,985.5140672
Ac4PIM2(14:0_14:0_20:0_18:2)-H,1634.082987,1405.874187,1405.874187,1321.780347,1353.842907,1177.665387,1041.540267,1121.639177,985.5140572
Ac4PIM2(14:0_14:0_20:0_methyl-18:0)-H,1652.129937,1423.921137,1423.921137,1339.827297,1353.842937,1195.712337,1041.540297,1139.686127,985.5140873
Ac4PIM2(14:0_14:0_16:1_14:0)-H,1523.973437,1295.764637,1295.764637,1269.748997,1295.764637,1067.555837,1041.540197,1011.529627,985.5139867
Ac4PIM2(14:0_14:0_16:1_15:0)-H,1537.989087,1309.780287,1309.780287,1283.764647,1295.764647,1081.571487,1041.540207,1025.545277,985.5139968
Ac4PIM2(14:0_14:0_16:1_16:0)-H,1552.004737,1323.795937,1323.795937,1297.780297,1295.764657,1095.587137,1041.540217,1039.560927,985.5140068
Ac4PIM2(14:0_14:0_16:1_17:0)-H,1566.020387,1337.811587,1337.811587,1311.795947,1295.764667,1109.602787,1041.540227,1053.576577,985.5140169
Ac4PIM2(14:0_14:0_16:1_18:0)-H,1580.036037,1351.827237,1351.827237,1325.811597,1295.764677,1123.618437,1041.540237,1067.592227,985.514027
Ac4PIM2(14:0_14:0_16:1_19:0)-H,1594.051687,1365.842887,1365.842887,1339.827247,1295.764687,1137.634087,1041.540247,1081.607877,985.514037
Ac4PIM2(14:0_14:0_16:1_20:0)-H,1608.067337,1379.858537,1379.858537,1353.842897,1295.764697,1151.649737,1041.540257,1095.623527,985.5140471
Ac4PIM2(14:0_14:0_16:1_16:1)-H,1549.989087,1321.780287,1321.780287,1295.764647,1295.764647,1093.571487,1041.540207,1037.545277,985.5139968
Ac4PIM2(14:0_14:0_16:1_17:1)-H,1564.004737,1335.795937,1335.795937,1309.780297,1295.764657,1107.587137,1041.540217,1051.560927,985.5140068
Ac4PIM2(14:0_14:0_16:1_18:1)-H,1578.020387,1349.811587,1349.811587,1323.795947,1295.764667,1121.602787,1041.540227,1065.576577,985.5140169
Ac4PIM2(14:0_14:0_16:1_18:2)-H,1576.004737,1347.795937,1347.795937,1321.780297,1295.764657,1119.587137,1041.540217,1063.560927,985.5140068
Ac4PIM2(14:0_14:0_16:1_methyl-18:0)-H,1594.051687,1365.842887,1365.842887,1339.827247,1295.764687,1137.634087,1041.540247,1081.607877,985.514037
Ac4PIM2(14:0_14:0_17:1_14:0)-H,1537.989087,1309.780287,1309.780287,1269.749007,1309.780287,1081.571487,1041.540207,1025.545277,985.5139968
Ac4PIM2(14:0_14:0_17:1_15:0)-H,1552.004737,1323.795937,1323.795937,1283.764657,1309.780297,1095.587137,1041.540217,1039.560927,985.5140068
Ac4PIM2(14:0_14:0_17:1_16:0)-H,1566.020387,1337.811587,1337.811587,1297.780307,1309.780307,1109.602787,1041.540227,1053.576577,985.5140169
Ac4PIM2(14:0_14:0_17:1_17:0)-H,1580.036037,1351.827237,1351.827237,1311.795957,1309.780317,1123.618437,1041.540237,1067.592227,985.514027
Ac4PIM2(14:0_14:0_17:1_18:0)-H,1594.051687,1365.842887,1365.842887,1325.811607,1309.780327,1137.634087,1041.540247,1081.607877,985.514037
Ac4PIM2(14:0_14:0_17:1_19:0)-H,1608.067337,1379.858537,1379.858537,1339.827257,1309.780337,1151.649737,1041.540257,1095.623527,985.5140471
Ac4PIM2(14:0_14:0_17:1_20:0)-H,1622.082987,1393.874187,1393.874187,1353.842907,1309.780347,1165.665387,1041.540267,1109.639177,985.5140572
