Ac4PIM2,[M-H]-,M-sn1,M-sn2,M-sn3,M-sn4,M-sn1-sn2,M-sn3-sn4,M-sn1-sn2-C3H5O,M-sn3-sn4-C3H5O
Ac4PIM2(17:0_20:0_18:0_17:0)-H,1722.208188,1451.952468,1409.905548,1437.936828,1451.952468,1139.649828,1167.681108,1083.623618,1111.654898
Ac4PIM2(17:0_20:0_18:0_18:0)-H,1736.223838,1465.968118,1423.921198,1451.952478,1451.952478,1153.665478,1167.681118,1097.639268,1111.654908
Ac4PIM2(17:0_20:0_18:0_19:0)-H,1750.239488,1479.983768,1437.936848,1465.968128,1451.952488,1167.681128,1167.681128,1111.654918,1111.654918
Ac4PIM2(17:0_20:0_18:0_20:0)-H,1764.255138,1493.999418,1451.952498,1479.983778,1451.952498,1181.696778,1167.681138,1125.670568,1111.654928
Ac4PIM2(17:0_20:0_18:0_16:1)-H,1706.176888,1435.921168,1393.874248,1421.905528,1451.952448,1123.618528,1167.681088,1067.592318,1111.654878
Ac4PIM2(17:0_20:0_18:0_17:1)-H,1720.192538,1449.936818,1407.889898,1435.921178,1451.952458,1137.634178,1167.681098,1081.607968,1111.654888
Ac4PIM2(17:0_20:0_18:0_18:1)-H,1734.208188,1463.952468,1421.905548,1449.936828,1451.952468,1151.649828,1167.681108,1095.623618,1111.654898
Ac4PIM2(17:0_20:0_18:0_18:2)-H,1732.192538,1461.936818,1419.889898,1447.921178,1451.952458,1149.634178,1167.681098,1093.607968,1111.654888
Ac4PIM2(17:0_20:0_18:0_methyl-18:0)-H,1750.239488,1479.983768,1437.936848,1465.968128,1451.952488,1167.681128,1167.681128,1111.654918,1111.654918
Ac4PIM2(17:0_20:0_19:0_14:0)-H,1694.176888,1423.921168,1381.874248,1395.889888,1465.968088,1111.618528,1167.681088,1055.592318,1111.654878
Ac4PIM2(17:0_20:0_19:0_15:0)-H,1708.192538,1437.936818,1395.889898,1409.905538,1465.968098,1125.634178,1167.681098,1069.607968,1111.654888
Ac4PIM2(17:0_20:0_19:0_16:0)-H,1722.208188,1451.952468,1409.905548,1423.921188,1465.968108,1139.649828,1167.681108,1083.623618,1111.654898
Ac4PIM2(17:0_20:0_19:0_17:0)-H,1736.223838,1465.968118,1423.921198,1437.936838,1465.968118,1153.665478,1167.681118,1097.639268,1111.654908
Ac4PIM2(17:0_20:0_19:0_18:0)-H,1750.239488,1479.983768,1437.936848,1451.952488,1465.968128,1167.681128,1167.681128,1111.654918,1111.654918
Ac4PIM2(17:0_20:0_19:0_19:0)-H,1764.255138,1493.999418,1451.952498,1465.968138,1465.968138,1181.696778,1167.681138,1125.670568,1111.654928
Ac4PIM2(17:0_20:0_19:0_20:0)-H,1778.270788,1508.015068,1465.968148,1479.983788,1465.968148,1195.712428,1167.681148,1139.686218,1111.654938
Ac4PIM2(17:0_20:0_19:0_16:1)-H,1720.192538,1449.936818,1407.889898,1421.905538,1465.968098,1137.634178,1167.681098,1081.607968,1111.654888
Ac4PIM2(17:0_20:0_19:0_17:1)-H,1734.208188,1463.952468,1421.905548,1435.921188,1465.968108,1151.649828,1167.681108,1095.623618,1111.654898
Ac4PIM2(17:0_20:0_19:0_18:1)-H,1748.223838,1477.968118,1435.921198,1449.936838,1465.968118,1165.665478,1167.681118,1109.639268,1111.654908
Ac4PIM2(17:0_20:0_19:0_18:2)-H,1746.208188,1475.952468,1433.905548,1447.921188,1465.968108,1163.649828,1167.681108,1107.623618,1111.654898
Ac4PIM2(17:0_20:0_19:0_methyl-18:0)-H,1764.255138,1493.999418,1451.952498,1465.968138,1465.968138,1181.696778,1167.681138,1125.670568,1111.654928
Ac4PIM2(17:0_20:0_20:0_14:0)-H,1708.192538,1437.936818,1395.889898,1395.889898,1479.983738,1125.634178,1167.681098,1069.607968,1111.654888
Ac4PIM2(17:0_20:0_20:0_15:0)-H,1722.208188,1451.952468,1409.905548,1409.905548,1479.983748,1139.649828,1167.681108,1083.623618,1111.654898
Ac4PIM2(17:0_20:0_20:0_16:0)-H,1736.223838,1465.968118,1423.921198,1423.921198,1479.983758,1153.665478,1167.681118,1097.639268,1111.654908
Ac4PIM2(17:0_20:0_20:0_17:0)-H,1750.239488,1479.983768,1437.936848,1437.936848,1479.983768,1167.681128,1167.681128,1111.654918,1111.654918
Ac4PIM2(17:0_20:0_20:0_18:0)-H,1764.255138,1493.999418,1451.952498,1451.952498,1479.983778,1181.696778,1167.681138,1125.670568,1111.654928
Ac4PIM2(17:0_20:0_20:0_19:0)-H,1778.270788,1508.015068,1465.968148,1465.968148,1479.983788,1195.712428,1167.681148,1139.686218,1111.654938
Ac4PIM2(17:0_20:0_20:0_20:0)-H,1792.286438,1522.030718,1479.983798,1479.983798,1479.983798,1209.728078,1167.681158,1153.701868,1111.654948
Ac4PIM2(17:0_20:0_20:0_16:1)-H,1734.208188,1463.952468,1421.905548,1421.905548,1479.983748,1151.649828,1167.681108,1095.623618,1111.654898
Ac4PIM2(17:0_20:0_20:0_17:1)-H,1748.223838,1477.968118,1435.921198,1435.921198,1479.983758,1165.665478,1167.681118,1109.639268,1111.654908
Ac4PIM2(17:0_20:0_20:0_18:1)-H,1762.239488,1491.983768,1449.936848,1449.936848,1479.983768,1179.681128,1167.681128,1123.654918,1111.654918
Ac4PIM2(17:0_20:0_20:0_18:2)-H,1760.223838,1489.968118,1447.921198,1447.921198,1479.983758,1177.665478,1167.681118,1121.639268,1111.654908
Ac4PIM2(17:0_20:0_20:0_methyl-18:0)-H,1778.270788,1508.015068,1465.968148,1465.968148,1479.983788,1195.712428,1167.681148,1139.686218,1111.654938
Ac4PIM2(17:0_20:0_16:1_14:0)-H,1650.114287,1379.858567,1337.811647,1395.889847,1421.905487,1067.555927,1167.681047,1011.529717,1111.654837
Ac4PIM2(17:0_20:0_16:1_15:0)-H,1664.129937,1393.874217,1351.827297,1409.905497,1421.905497,1081.571577,1167.681057,1025.545367,1111.654847
Ac4PIM2(17:0_20:0_16:1_16:0)-H,1678.145587,1407.889867,1365.842947,1423.921147,1421.905507,1095.587227,1167.681067,1039.561017,1111.654857
Ac4PIM2(17:0_20:0_16:1_17:0)-H,1692.161237,1421.905517,1379.858597,1437.936797,1421.905517,1109.602877,1167.681077,1053.576667,1111.654867
Ac4PIM2(17:0_20:0_16:1_18:0)-H,1706.176888,1435.921168,1393.874248,1451.952448,1421.905528,1123.618528,1167.681088,1067.592318,1111.654878
Ac4PIM2(17:0_20:0_16:1_19:0)-H,1720.192538,1449.936818,1407.889898,1465.968098,1421.905538,1137.634178,1167.681098,1081.607968,1111.654888
Ac4PIM2(17:0_20:0_16:1_20:0)-H,1734.208188,1463.952468,1421.905548,1479.983748,1421.905548,1151.649828,1167.681108,1095.623618,1111.654898
Ac4PIM2(17:0_20:0_16:1_16:1)-H,1676.129937,1405.874217,1363.827297,1421.905497,1421.905497,1093.571577,1167.681057,1037.545367,1111.654847
Ac4PIM2(17:0_20:0_16:1_17:1)-H,1690.145587,1419.889867,1377.842947,1435.921147,1421.905507,1107.587227,1167.681067,1051.561017,1111.654857
Ac4PIM2(17:0_20:0_16:1_18:1)-H,1704.161237,1433.905517,1391.858597,1449.936797,1421.905517,1121.602877,1167.681077,1065.576667,1111.654867
Ac4PIM2(17:0_20:0_16:1_18:2)-H,1702.145587,1431.889867,1389.842947,1447.921147,1421.905507,1119.587227,1167.681067,1063.561017,1111.654857
Ac4PIM2(17:0_20:0_16:1_methyl-18:0)-H,1720.192538,1449.936818,1407.889898,1465.968098,1421.905538,1137.634178,1167.681098,1081.607968,1111.654888
Ac4PIM2(17:0_20:0_17:1_14:0)-H,1664.129937,1393.874217,1351.827297,1395.889857,1435.921137,1081.571577,1167.681057,1025.545367,1111.654847
Ac4PIM2(17:0_20:0_17:1_15:0)-H,1678.145587,1407.889867,1365.842947,1409.905507,1435.921147,1095.587227,1167.681067,1039.561017,1111.654857
Ac4PIM2(17:0_20:0_17:1_16:0)-H,1692.161237,1421.905517,1379.858597,1423.921157,1435.921157,1109.602877,1167.681077,1053.576667,1111.654867
Ac4PIM2(17:0_20:0_17:1_17:0)-H,1706.176888,1435.921168,1393.874248,1437.936808,1435.921168,1123.618528,1167.681088,1067.592318,1111.654878
Ac4PIM2(17:0_20:0_17:1_18:0)-H,1720.192538,1449.936818,1407.889898,1451.952458,1435.921178,1137.634178,1167.681098,1081.607968,1111.654888
Ac4PIM2(17:0_20:0_17:1_19:0)-H,1734.208188,1463.952468,1421.905548,1465.968108,1435.921188,1151.649828,1167.681108,1095.623618,1111.654898
Ac4PIM2(17:0_20:0_17:1_20:0)-H,1748.223838,1477.968118,1435.921198,1479.983758,1435.921198,1165.665478,1167.681118,1109.639268,1111.654908
Ac4PIM2(17:0_20:0_17:1_16:1)-H,1690.145587,1419.889867,1377.842947,1421.905507,1435.921147,1107.587227,1167.681067,1051.561017,1111.654857
Ac4PIM2(17:0_20:0_17:1_17:1)-H,1704.161237,1433.905517,1391.858597,1435.921157,1435.921157,1121.602877,1167.681077,1065.576667,1111.654867
Ac4PIM2(17:0_20:0_17:1_18:1)-H,1718.176888,1447.921168,1405.874248,1449.936808,1435.921168,1135.618528,1167.681088,1079.592318,1111.654878
Ac4PIM2(17:0_20:0_17:1_18:2)-H,1716.161237,1445.905517,1403.858597,1447.921157,1435.921157,1133.602877,1167.681077,1077.576667,1111.654867
Ac4PIM2(17:0_20:0_17:1_methyl-18:0)-H,1734.208188,1463.952468,1421.905548,1465.968108,1435.921188,1151.649828,1167.681108,1095.623618,1111.654898
Ac4PIM2(17:0_20:0_18:1_14:0)-H,1678.145587,1407.889867,1365.842947,1395.889867,1449.936787,1095.587227,1167.681067,1039.561017,1111.654857
Ac4PIM2(17:0_20:0_18:1_15:0)-H,1692.161237,1421.905517,1379.858597,1409.905517,1449.936797,1109.602877,1167.681077,1053.576667,1111.654867
Ac4PIM2(17:0_20:0_18:1_16:0)-H,1706.176888,1435.921168,1393.874248,1423.921168,1449.936808,1123.618528,1167.681088,1067.592318,1111.654878
Ac4PIM2(17:0_20:0_18:1_17:0)-H,1720.192538,1449.936818,1407.889898,1437.936818,1449.936818,1137.634178,1167.681098,1081.607968,1111.654888
Ac4PIM2(17:0_20:0_18:1_18:0)-H,1734.208188,1463.952468,1421.905548,1451.952468,1449.936828,1151.649828,1167.681108,1095.623618,1111.654898
Ac4PIM2(17:0_20:0_18:1_19:0)-H,1748.223838,1477.968118,1435.921198,1465.968118,1449.936838,1165.665478,1167.681118,1109.639268,1111.654908
Ac4PIM2(17:0_20:0_18:1_20:0)-H,1762.239488,1491.983768,1449.936848,1479.983768,1449.936848,1179.681128,1167.681128,1123.654918,1111.654918
Ac4PIM2(17:0_20:0_18:1_16:1)-H,1704.161237,1433.905517,1391.858597,1421.905517,1449.936797,1121.602877,1167.681077,1065.576667,1111.654867
Ac4PIM2(17:0_20:0_18:1_17:1)-H,1718.176888,1447.921168,1405.874248,1435.921168,1449.936808,1135.618528,1167.681088,1079.592318,1111.654878
Ac4PIM2(17:0_20:0_18:1_18:1)-H,1732.192538,1461.936818,1419.889898,1449.936818,1449.936818,1149.634178,1167.681098,1093.607968,1111.654888
Ac4PIM2(17:0_20:0_18:1_18:2)-H,1730.176888,1459.921168,1417.874248,1447.921168,1449.936808,1147.618528,1167.681088,1091.592318,1111.654878
Ac4PIM2(17:0_20:0_18:1_methyl-18:0)-H,1748.223838,1477.968118,1435.921198,1465.968118,1449.936838,1165.665478,1167.681118,1109.639268,1111.654908
Ac4PIM2(17:0_20:0_18:2_14:0)-H,1676.129937,1405.874217,1363.827297,1395.889857,1447.921137,1093.571577,1167.681057,1037.545367,1111.654847
Ac4PIM2(17:0_20:0_18:2_15:0)-H,1690.145587,1419.889867,1377.842947,1409.905507,1447.921147,1107.587227,1167.681067,1051.561017,1111.654857
Ac4PIM2(17:0_20:0_18:2_16:0)-H,1704.161237,1433.905517,1391.858597,1423.921157,1447.921157,1121.602877,1167.681077,1065.576667,1111.654867
Ac4PIM2(17:0_20:0_18:2_17:0)-H,1718.176888,1447.921168,1405.874248,1437.936808,1447.921168,1135.618528,1167.681088,1079.592318,1111.654878
Ac4PIM2(17:0_20:0_18:2_18:0)-H,1732.192538,1461.936818,1419.889898,1451.952458,1447.921178,1149.634178,1167.681098,1093.607968,1111.654888
Ac4PIM2(17:0_20:0_18:2_19:0)-H,1746.208188,1475.952468,1433.905548,1465.968108,1447.921188,1163.649828,1167.681108,1107.623618,1111.654898
Ac4PIM2(17:0_20:0_18:2_20:0)-H,1760.223838,1489.968118,1447.921198,1479.983758,1447.921198,1177.665478,1167.681118,1121.639268,1111.654908
Ac4PIM2(17:0_20:0_18:2_16:1)-H,1702.145587,1431.889867,1389.842947,1421.905507,1447.921147,1119.587227,1167.681067,1063.561017,1111.654857
Ac4PIM2(17:0_20:0_18:2_17:1)-H,1716.161237,1445.905517,1403.858597,1435.921157,1447.921157,1133.602877,1167.681077,1077.576667,1111.654867
Ac4PIM2(17:0_20:0_18:2_18:1)-H,1730.176888,1459.921168,1417.874248,1449.936808,1447.921168,1147.618528,1167.681088,1091.592318,1111.654878
Ac4PIM2(17:0_20:0_18:2_18:2)-H,1728.161237,1457.905517,1415.858597,1447.921157,1447.921157,1145.602877,1167.681077,1089.576667,1111.654867
Ac4PIM2(17:0_20:0_18:2_methyl-18:0)-H,1746.208188,1475.952468,1433.905548,1465.968108,1447.921188,1163.649828,1167.681108,1107.623618,1111.654898
Ac4PIM2(17:0_20:0_methyl-18:0_14:0)-H,1694.176888,1423.921168,1381.874248,1395.889888,1465.968088,1111.618528,1167.681088,1055.592318,1111.654878
Ac4PIM2(17:0_20:0_methyl-18:0_15:0)-H,1708.192538,1437.936818,1395.889898,1409.905538,1465.968098,1125.634178,1167.681098,1069.607968,1111.654888
Ac4PIM2(17:0_20:0_methyl-18:0_16:0)-H,1722.208188,1451.952468,1409.905548,1423.921188,1465.968108,1139.649828,1167.681108,1083.623618,1111.654898
Ac4PIM2(17:0_20:0_methyl-18:0_17:0)-H,1736.223838,1465.968118,1423.921198,1437.936838,1465.968118,1153.665478,1167.681118,1097.639268,1111.654908
Ac4PIM2(17:0_20:0_methyl-18:0_18:0)-H,1750.239488,1479.983768,1437.936848,1451.952488,1465.968128,1167.681128,1167.681128,1111.654918,1111.654918
Ac4PIM2(17:0_20:0_methyl-18:0_19:0)-H,1764.255138,1493.999418,1451.952498,1465.968138,1465.968138,1181.696778,1167.681138,1125.670568,1111.654928
Ac4PIM2(17:0_20:0_methyl-18:0_20:0)-H,1778.270788,1508.015068,1465.968148,1479.983788,1465.968148,1195.712428,1167.681148,1139.686218,1111.654938
Ac4PIM2(17:0_20:0_methyl-18:0_16:1)-H,1720.192538,1449.936818,1407.889898,1421.905538,1465.968098,1137.634178,1167.681098,1081.607968,1111.654888
Ac4PIM2(17:0_20:0_methyl-18:0_17:1)-H,1734.208188,1463.952468,1421.905548,1435.921188,1465.968108,1151.649828,1167.681108,1095.623618,1111.654898
Ac4PIM2(17:0_20:0_methyl-18:0_18:1)-H,1748.223838,1477.968118,1435.921198,1449.936838,1465.968118,1165.665478,1167.681118,1109.639268,1111.654908
Ac4PIM2(17:0_20:0_methyl-18:0_18:2)-H,1746.208188,1475.952468,1433.905548,1447.921188,1465.968108,1163.649828,1167.681108,1107.623618,1111.654898
Ac4PIM2(17:0_20:0_methyl-18:0_methyl-18:0)-H,1764.255138,1493.999418,1451.952498,1465.968138,1465.968138,1181.696778,1167.681138,1125.670568,1111.654928
Ac4PIM2(17:0_16:1_14:0_14:0)-H,1566.020387,1295.764667,1311.795947,1337.811587,1337.811587,1041.540227,1109.602787,985.5140169,1053.576577
Ac4PIM2(17:0_16:1_14:0_15:0)-H,1580.036037,1309.780317,1325.811597,1351.827237,1337.811597,1055.555877,1109.602797,999.529667,1053.576587
Ac4PIM2(17:0_16:1_14:0_16:0)-H,1594.051687,1323.795967,1339.827247,1365.842887,1337.811607,1069.571527,1109.602807,1013.545317,1053.576597
Ac4PIM2(17:0_16:1_14:0_17:0)-H,1608.067337,1337.811617,1353.842897,1379.858537,1337.811617,1083.587177,1109.602817,1027.560967,1053.576607
Ac4PIM2(17:0_16:1_14:0_18:0)-H,1622.082987,1351.827267,1367.858547,1393.874187,1337.811627,1097.602827,1109.602827,1041.576617,1053.576617
Ac4PIM2(17:0_16:1_14:0_19:0)-H,1636.098637,1365.842917,1381.874197,1407.889837,1337.811637,1111.618477,1109.602837,1055.592267,1053.576627
Ac4PIM2(17:0_16:1_14:0_20:0)-H,1650.114287,1379.858567,1395.889847,1421.905487,1337.811647,1125.634127,1109.602847,1069.607917,1053.576637
Ac4PIM2(17:0_16:1_14:0_16:1)-H,1592.036037,1321.780317,1337.811597,1363.827237,1337.811597,1067.555877,1109.602797,1011.529667,1053.576587
Ac4PIM2(17:0_16:1_14:0_17:1)-H,1606.051687,1335.795967,1351.827247,1377.842887,1337.811607,1081.571527,1109.602807,1025.545317,1053.576597
Ac4PIM2(17:0_16:1_14:0_18:1)-H,1620.067337,1349.811617,1365.842897,1391.858537,1337.811617,1095.587177,1109.602817,1039.560967,1053.576607
Ac4PIM2(17:0_16:1_14:0_18:2)-H,1618.051687,1347.795967,1363.827247,1389.842887,1337.811607,1093.571527,1109.602807,1037.545317,1053.576597
Ac4PIM2(17:0_16:1_14:0_methyl-18:0)-H,1636.098637,1365.842917,1381.874197,1407.889837,1337.811637,1111.618477,1109.602837,1055.592267,1053.576627
Ac4PIM2(17:0_16:1_15:0_14:0)-H,1580.036037,1309.780317,1325.811597,1337.811597,1351.827237,1055.555877,1109.602797,999.529667,1053.576587
Ac4PIM2(17:0_16:1_15:0_15:0)-H,1594.051687,1323.795967,1339.827247,1351.827247,1351.827247,1069.571527,1109.602807,1013.545317,1053.576597
Ac4PIM2(17:0_16:1_15:0_16:0)-H,1608.067337,1337.811617,1353.842897,1365.842897,1351.827257,1083.587177,1109.602817,1027.560967,1053.576607
Ac4PIM2(17:0_16:1_15:0_17:0)-H,1622.082987,1351.827267,1367.858547,1379.858547,1351.827267,1097.602827,1109.602827,1041.576617,1053.576617
Ac4PIM2(17:0_16:1_15:0_18:0)-H,1636.098637,1365.842917,1381.874197,1393.874197,1351.827277,1111.618477,1109.602837,1055.592267,1053.576627
Ac4PIM2(17:0_16:1_15:0_19:0)-H,1650.114287,1379.858567,1395.889847,1407.889847,1351.827287,1125.634127,1109.602847,1069.607917,1053.576637
Ac4PIM2(17:0_16:1_15:0_20:0)-H,1664.129937,1393.874217,1409.905497,1421.905497,1351.827297,1139.649777,1109.602857,1083.623567,1053.576647
Ac4PIM2(17:0_16:1_15:0_16:1)-H,1606.051687,1335.795967,1351.827247,1363.827247,1351.827247,1081.571527,1109.602807,1025.545317,1053.576597
Ac4PIM2(17:0_16:1_15:0_17:1)-H,1620.067337,1349.811617,1365.842897,1377.842897,1351.827257,1095.587177,1109.602817,1039.560967,1053.576607
Ac4PIM2(17:0_16:1_15:0_18:1)-H,1634.082987,1363.827267,1379.858547,1391.858547,1351.827267,1109.602827,1109.602827,1053.576617,1053.576617
Ac4PIM2(17:0_16:1_15:0_18:2)-H,1632.067337,1361.811617,1377.842897,1389.842897,1351.827257,1107.587177,1109.602817,1051.560967,1053.576607
Ac4PIM2(17:0_16:1_15:0_methyl-18:0)-H,1650.114287,1379.858567,1395.889847,1407.889847,1351.827287,1125.634127,1109.602847,1069.607917,1053.576637
Ac4PIM2(17:0_16:1_16:0_14:0)-H,1594.051687,1323.795967,1339.827247,1337.811607,1365.842887,1069.571527,1109.602807,1013.545317,1053.576597
Ac4PIM2(17:0_16:1_16:0_15:0)-H,1608.067337,1337.811617,1353.842897,1351.827257,1365.842897,1083.587177,1109.602817,1027.560967,1053.576607
Ac4PIM2(17:0_16:1_16:0_16:0)-H,1622.082987,1351.827267,1367.858547,1365.842907,1365.842907,1097.602827,1109.602827,1041.576617,1053.576617
Ac4PIM2(17:0_16:1_16:0_17:0)-H,1636.098637,1365.842917,1381.874197,1379.858557,1365.842917,1111.618477,1109.602837,1055.592267,1053.576627
Ac4PIM2(17:0_16:1_16:0_18:0)-H,1650.114287,1379.858567,1395.889847,1393.874207,1365.842927,1125.634127,1109.602847,1069.607917,1053.576637
Ac4PIM2(17:0_16:1_16:0_19:0)-H,1664.129937,1393.874217,1409.905497,1407.889857,1365.842937,1139.649777,1109.602857,1083.623567,1053.576647
Ac4PIM2(17:0_16:1_16:0_20:0)-H,1678.145587,1407.889867,1423.921147,1421.905507,1365.842947,1153.665427,1109.602867,1097.639217,1053.576657
Ac4PIM2(17:0_16:1_16:0_16:1)-H,1620.067337,1349.811617,1365.842897,1363.827257,1365.842897,1095.587177,1109.602817,1039.560967,1053.576607
Ac4PIM2(17:0_16:1_16:0_17:1)-H,1634.082987,1363.827267,1379.858547,1377.842907,1365.842907,1109.602827,1109.602827,1053.576617,1053.576617
Ac4PIM2(17:0_16:1_16:0_18:1)-H,1648.098637,1377.842917,1393.874197,1391.858557,1365.842917,1123.618477,1109.602837,1067.592267,1053.576627
Ac4PIM2(17:0_16:1_16:0_18:2)-H,1646.082987,1375.827267,1391.858547,1389.842907,1365.842907,1121.602827,1109.602827,1065.576617,1053.576617
Ac4PIM2(17:0_16:1_16:0_methyl-18:0)-H,1664.129937,1393.874217,1409.905497,1407.889857,1365.842937,1139.649777,1109.602857,1083.623567,1053.576647
Ac4PIM2(17:0_16:1_17:0_14:0)-H,1608.067337,1337.811617,1353.842897,1337.811617,1379.858537,1083.587177,1109.602817,1027.560967,1053.576607
Ac4PIM2(17:0_16:1_17:0_15:0)-H,1622.082987,1351.827267,1367.858547,1351.827267,1379.858547,1097.602827,1109.602827,1041.576617,1053.576617
Ac4PIM2(17:0_16:1_17:0_16:0)-H,1636.098637,1365.842917,1381.874197,1365.842917,1379.858557,1111.618477,1109.602837,1055.592267,1053.576627
Ac4PIM2(17:0_16:1_17:0_17:0)-H,1650.114287,1379.858567,1395.889847,1379.858567,1379.858567,1125.634127,1109.602847,1069.607917,1053.576637
Ac4PIM2(17:0_16:1_17:0_18:0)-H,1664.129937,1393.874217,1409.905497,1393.874217,1379.858577,1139.649777,1109.602857,1083.623567,1053.576647
Ac4PIM2(17:0_16:1_17:0_19:0)-H,1678.145587,1407.889867,1423.921147,1407.889867,1379.858587,1153.665427,1109.602867,1097.639217,1053.576657
Ac4PIM2(17:0_16:1_17:0_20:0)-H,1692.161237,1421.905517,1437.936797,1421.905517,1379.858597,1167.681077,1109.602877,1111.654867,1053.576667
Ac4PIM2(17:0_16:1_17:0_16:1)-H,1634.082987,1363.827267,1379.858547,1363.827267,1379.858547,1109.602827,1109.602827,1053.576617,1053.576617
Ac4PIM2(17:0_16:1_17:0_17:1)-H,1648.098637,1377.842917,1393.874197,1377.842917,1379.858557,1123.618477,1109.602837,1067.592267,1053.576627
Ac4PIM2(17:0_16:1_17:0_18:1)-H,1662.114287,1391.858567,1407.889847,1391.858567,1379.858567,1137.634127,1109.602847,1081.607917,1053.576637
Ac4PIM2(17:0_16:1_17:0_18:2)-H,1660.098637,1389.842917,1405.874197,1389.842917,1379.858557,1135.618477,1109.602837,1079.592267,1053.576627
Ac4PIM2(17:0_16:1_17:0_methyl-18:0)-H,1678.145587,1407.889867,1423.921147,1407.889867,1379.858587,1153.665427,1109.602867,1097.639217,1053.576657
Ac4PIM2(17:0_16:1_18:0_14:0)-H,1622.082987,1351.827267,1367.858547,1337.811627,1393.874187,1097.602827,1109.602827,1041.576617,1053.576617
Ac4PIM2(17:0_16:1_18:0_15:0)-H,1636.098637,1365.842917,1381.874197,1351.827277,1393.874197,1111.618477,1109.602837,1055.592267,1053.576627
Ac4PIM2(17:0_16:1_18:0_16:0)-H,1650.114287,1379.858567,1395.889847,1365.842927,1393.874207,1125.634127,1109.602847,1069.607917,1053.576637
Ac4PIM2(17:0_16:1_18:0_17:0)-H,1664.129937,1393.874217,1409.905497,1379.858577,1393.874217,1139.649777,1109.602857,1083.623567,1053.576647
Ac4PIM2(17:0_16:1_18:0_18:0)-H,1678.145587,1407.889867,1423.921147,1393.874227,1393.874227,1153.665427,1109.602867,1097.639217,1053.576657
Ac4PIM2(17:0_16:1_18:0_19:0)-H,1692.161237,1421.905517,1437.936797,1407.889877,1393.874237,1167.681077,1109.602877,1111.654867,1053.576667
Ac4PIM2(17:0_16:1_18:0_20:0)-H,1706.176888,1435.921168,1451.952448,1421.905528,1393.874248,1181.696728,1109.602888,1125.670518,1053.576678
Ac4PIM2(17:0_16:1_18:0_16:1)-H,1648.098637,1377.842917,1393.874197,1363.827277,1393.874197,1123.618477,1109.602837,1067.592267,1053.576627
Ac4PIM2(17:0_16:1_18:0_17:1)-H,1662.114287,1391.858567,1407.889847,1377.842927,1393.874207,1137.634127,1109.602847,1081.607917,1053.576637
Ac4PIM2(17:0_16:1_18:0_18:1)-H,1676.129937,1405.874217,1421.905497,1391.858577,1393.874217,1151.649777,1109.602857,1095.623567,1053.576647
Ac4PIM2(17:0_16:1_18:0_18:2)-H,1674.114287,1403.858567,1419.889847,1389.842927,1393.874207,1149.634127,1109.602847,1093.607917,1053.576637
Ac4PIM2(17:0_16:1_18:0_methyl-18:0)-H,1692.161237,1421.905517,1437.936797,1407.889877,1393.874237,1167.681077,1109.602877,1111.654867,1053.576667
Ac4PIM2(17:0_16:1_19:0_14:0)-H,1636.098637,1365.842917,1381.874197,1337.811637,1407.889837,1111.618477,1109.602837,1055.592267,1053.576627
Ac4PIM2(17:0_16:1_19:0_15:0)-H,1650.114287,1379.858567,1395.889847,1351.827287,1407.889847,1125.634127,1109.602847,1069.607917,1053.576637
Ac4PIM2(17:0_16:1_19:0_16:0)-H,1664.129937,1393.874217,1409.905497,1365.842937,1407.889857,1139.649777,1109.602857,1083.623567,1053.576647
Ac4PIM2(17:0_16:1_19:0_17:0)-H,1678.145587,1407.889867,1423.921147,1379.858587,1407.889867,1153.665427,1109.602867,1097.639217,1053.576657
Ac4PIM2(17:0_16:1_19:0_18:0)-H,1692.161237,1421.905517,1437.936797,1393.874237,1407.889877,1167.681077,1109.602877,1111.654867,1053.576667
Ac4PIM2(17:0_16:1_19:0_19:0)-H,1706.176888,1435.921168,1451.952448,1407.889888,1407.889888,1181.696728,1109.602888,1125.670518,1053.576678
Ac4PIM2(17:0_16:1_19:0_20:0)-H,1720.192538,1449.936818,1465.968098,1421.905538,1407.889898,1195.712378,1109.602898,1139.686168,1053.576688
Ac4PIM2(17:0_16:1_19:0_16:1)-H,1662.114287,1391.858567,1407.889847,1363.827287,1407.889847,1137.634127,1109.602847,1081.607917,1053.576637
Ac4PIM2(17:0_16:1_19:0_17:1)-H,1676.129937,1405.874217,1421.905497,1377.842937,1407.889857,1151.649777,1109.602857,1095.623567,1053.576647
Ac4PIM2(17:0_16:1_19:0_18:1)-H,1690.145587,1419.889867,1435.921147,1391.858587,1407.889867,1165.665427,1109.602867,1109.639217,1053.576657
Ac4PIM2(17:0_16:1_19:0_18:2)-H,1688.129937,1417.874217,1433.905497,1389.842937,1407.889857,1163.649777,1109.602857,1107.623567,1053.576647
Ac4PIM2(17:0_16:1_19:0_methyl-18:0)-H,1706.176888,1435.921168,1451.952448,1407.889888,1407.889888,1181.696728,1109.602888,1125.670518,1053.576678
Ac4PIM2(17:0_16:1_20:0_14:0)-H,1650.114287,1379.858567,1395.889847,1337.811647,1421.905487,1125.634127,1109.602847,1069.607917,1053.576637
Ac4PIM2(17:0_16:1_20:0_15:0)-H,1664.129937,1393.874217,1409.905497,1351.827297,1421.905497,1139.649777,1109.602857,1083.623567,1053.576647
Ac4PIM2(17:0_16:1_20:0_16:0)-H,1678.145587,1407.889867,1423.921147,1365.842947,1421.905507,1153.665427,1109.602867,1097.639217,1053.576657
