PS,[M+Na]+,M+Na-87.03203,M+Na-97.9769 (H3PO4),M+Na-185.00892,M+Na-C3H7NO6PNa,NL_87_T1_RCOOH,NL_87_T2_RCOOH,Phosphoserine+Na
PS(13:0_20:1)+Na,770.4943249,683.4622949,672.5174249,487.5085049,563.5034549,469.2689649,373.1750649,207.99872
PS(13:0_20:2)+Na,768.4786249,681.4465949,670.5017249,485.4928049,561.4877549,467.2532649,373.1750649,207.99872
PS(13:0_20:3)+Na,766.4630249,679.4309949,668.4861249,483.4772049,559.4721549,465.2376649,373.1750649,207.99872
PS(13:0_20:4)+Na,764.4473249,677.4152949,666.4704249,481.4615049,557.4564549,463.2219649,373.1750649,207.99872
PS(13:0_20:5)+Na,762.4317249,675.3996949,664.4548249,479.4459049,555.4408549,461.2063649,373.1750649,207.99872
PS(13:0_21:0)+Na,786.5256249,699.4935949,688.5487249,503.5398049,579.5347549,485.3002649,373.1750649,207.99872
PS(13:0_22:0)+Na,800.5412249,713.5091949,702.5643249,517.5554049,593.5503549,499.3158649,373.1750649,207.99872
PS(13:0_22:1)+Na,798.5256249,711.4935949,700.5487249,515.5398049,591.5347549,497.3002649,373.1750649,207.99872
PS(13:0_22:2)+Na,796.5099249,709.4778949,698.5330249,513.5241049,589.5190549,495.2845649,373.1750649,207.99872
PS(13:0_22:3)+Na,794.4943249,707.4622949,696.5174249,511.5085049,587.5034549,493.2689649,373.1750649,207.99872
PS(13:0_22:4)+Na,792.4786249,705.4465949,694.5017249,509.4928049,585.4877549,491.2532649,373.1750649,207.99872
PS(13:0_22:5)+Na,790.4630249,703.4309949,692.4861249,507.4772049,583.4721549,489.2376649,373.1750649,207.99872
PS(13:0_22:6)+Na,788.4473249,701.4152949,690.4704249,505.4615049,581.4564549,487.2219649,373.1750649,207.99872
PS(13:0_23:0)+Na,814.5569249,727.5248949,716.5800249,531.5711049,607.5660549,513.3315649,373.1750649,207.99872
PS(13:0_24:0)+Na,828.5725249,741.5404949,730.5956249,545.5867049,621.5816549,527.3471649,373.1750649,207.99872
PS(13:0_24:1)+Na,826.5569249,739.5248949,728.5800249,543.5711049,619.5660549,525.3315649,373.1750649,207.99872
