PS,[M+Na]+,M+Na-87.03203,M+Na-97.9769 (H3PO4),M+Na-185.00892,M+Na-C3H7NO6PNa,NL_87_T1_RCOOH,NL_87_T2_RCOOH,Phosphoserine+Na
PS(15:0_17:0)+Na,758.4943249,671.4622949,660.5174249,475.5085049,551.5034549,429.2376649,401.2063649,207.99872
PS(15:0_17:1)+Na,756.4786249,669.4465949,658.5017249,473.4928049,549.4877549,427.2219649,401.2063649,207.99872
PS(15:0_17:2)+Na,754.4630249,667.4309949,656.4861249,471.4772049,547.4721549,425.2063649,401.2063649,207.99872
PS(15:0_18:0)+Na,772.5099249,685.4778949,674.5330249,489.5241049,565.5190549,443.2532649,401.2063649,207.99872
PS(15:0_18:1)+Na,770.4943249,683.4622949,672.5174249,487.5085049,563.5034549,441.2376649,401.2063649,207.99872
PS(15:0_18:2)+Na,768.4786249,681.4465949,670.5017249,485.4928049,561.4877549,439.2219649,401.2063649,207.99872
PS(15:0_18:3)+Na,766.4630249,679.4309949,668.4861249,483.4772049,559.4721549,437.2063649,401.2063649,207.99872
PS(15:0_18:4)+Na,764.4473249,677.4152949,666.4704249,481.4615049,557.4564549,435.1906649,401.2063649,207.99872
PS(15:0_19:0)+Na,786.5256249,699.4935949,688.5487249,503.5398049,579.5347549,457.2689649,401.2063649,207.99872
PS(15:0_20:0)+Na,800.5412249,713.5091949,702.5643249,517.5554049,593.5503549,471.2845649,401.2063649,207.99872
PS(15:0_20:1)+Na,798.5256249,711.4935949,700.5487249,515.5398049,591.5347549,469.2689649,401.2063649,207.99872
PS(15:0_20:2)+Na,796.5099249,709.4778949,698.5330249,513.5241049,589.5190549,467.2532649,401.2063649,207.99872
PS(15:0_20:3)+Na,794.4943249,707.4622949,696.5174249,511.5085049,587.5034549,465.2376649,401.2063649,207.99872
PS(15:0_20:4)+Na,792.4786249,705.4465949,694.5017249,509.4928049,585.4877549,463.2219649,401.2063649,207.99872
PS(15:0_20:5)+Na,790.4630249,703.4309949,692.4861249,507.4772049,583.4721549,461.2063649,401.2063649,207.99872
PS(15:0_21:0)+Na,814.5569249,727.5248949,716.5800249,531.5711049,607.5660549,485.3002649,401.2063649,207.99872
PS(15:0_22:0)+Na,828.5725249,741.5404949,730.5956249,545.5867049,621.5816549,499.3158649,401.2063649,207.99872
PS(15:0_22:1)+Na,826.5569249,739.5248949,728.5800249,543.5711049,619.5660549,497.3002649,401.2063649,207.99872
PS(15:0_22:2)+Na,824.5412249,737.5091949,726.5643249,541.5554049,617.5503549,495.2845649,401.2063649,207.99872
PS(15:0_22:3)+Na,822.5256249,735.4935949,724.5487249,539.5398049,615.5347549,493.2689649,401.2063649,207.99872
PS(15:0_22:4)+Na,820.5099249,733.4778949,722.5330249,537.5241049,613.5190549,491.2532649,401.2063649,207.99872
PS(15:0_22:5)+Na,818.4943249,731.4622949,720.5174249,535.5085049,611.5034549,489.2376649,401.2063649,207.99872
PS(15:0_22:6)+Na,816.4786249,729.4465949,718.5017249,533.4928049,609.4877549,487.2219649,401.2063649,207.99872
PS(15:0_23:0)+Na,842.5882249,755.5561949,744.6113249,559.6024049,635.5973549,513.3315649,401.2063649,207.99872
PS(15:0_24:0)+Na,856.6038249,769.5717949,758.6269249,573.6180049,649.6129549,527.3471649,401.2063649,207.99872
PS(15:0_24:1)+Na,854.5882249,767.5561949,756.6113249,571.6024049,647.5973549,525.3315649,401.2063649,207.99872
PS(15:0_25:0)+Na,870.6195249,783.5874949,772.6426249,587.6337049,663.6286549,541.3628649,401.2063649,207.99872
PS(15:0_26:0)+Na,884.6351249,797.6030949,786.6582249,601.6493049,677.6442549,555.3784649,401.2063649,207.99872
PS(15:1_15:1)+Na,726.4316249,639.3995949,628.4547249,443.4458049,519.4407549,399.1906649,399.1906649,207.99872
PS(15:1_16:0)+Na,742.4629249,655.4308949,644.4860249,459.4771049,535.4720549,415.2219649,399.1906649,207.99872
PS(15:1_16:1)+Na,740.4473249,653.4152949,642.4704249,457.4615049,533.4564549,413.2063649,399.1906649,207.99872
PS(15:1_17:0)+Na,756.4786249,669.4465949,658.5017249,473.4928049,549.4877549,429.2376649,399.1906649,207.99872
PS(15:1_17:1)+Na,754.4629249,667.4308949,656.4860249,471.4771049,547.4720549,427.2219649,399.1906649,207.99872
PS(15:1_17:2)+Na,752.4473249,665.4152949,654.4704249,469.4615049,545.4564549,425.2063649,399.1906649,207.99872
PS(15:1_18:0)+Na,770.4942249,683.4621949,672.5173249,487.5084049,563.5033549,443.2532649,399.1906649,207.99872
PS(15:1_18:1)+Na,768.4786249,681.4465949,670.5017249,485.4928049,561.4877549,441.2376649,399.1906649,207.99872
PS(15:1_18:2)+Na,766.4629249,679.4308949,668.4860249,483.4771049,559.4720549,439.2219649,399.1906649,207.99872
PS(15:1_18:3)+Na,764.4473249,677.4152949,666.4704249,481.4615049,557.4564549,437.2063649,399.1906649,207.99872
PS(15:1_18:4)+Na,762.4316249,675.3995949,664.4547249,479.4458049,555.4407549,435.1906649,399.1906649,207.99872
PS(15:1_19:0)+Na,784.5099249,697.4778949,686.5330249,501.5241049,577.5190549,457.2689649,399.1906649,207.99872
PS(15:1_20:0)+Na,798.5255249,711.4934949,700.5486249,515.5397049,591.5346549,471.2845649,399.1906649,207.99872
PS(15:1_20:1)+Na,796.5099249,709.4778949,698.5330249,513.5241049,589.5190549,469.2689649,399.1906649,207.99872
PS(15:1_20:2)+Na,794.4942249,707.4621949,696.5173249,511.5084049,587.5033549,467.2532649,399.1906649,207.99872
PS(15:1_20:3)+Na,792.4786249,705.4465949,694.5017249,509.4928049,585.4877549,465.2376649,399.1906649,207.99872
PS(15:1_20:4)+Na,790.4629249,703.4308949,692.4860249,507.4771049,583.4720549,463.2219649,399.1906649,207.99872
PS(15:1_20:5)+Na,788.4473249,701.4152949,690.4704249,505.4615049,581.4564549,461.2063649,399.1906649,207.99872
PS(15:1_21:0)+Na,812.5412249,725.5091949,714.5643249,529.5554049,605.5503549,485.3002649,399.1906649,207.99872
PS(15:1_22:0)+Na,826.5568249,739.5247949,728.5799249,543.5710049,619.5659549,499.3158649,399.1906649,207.99872
PS(15:1_22:1)+Na,824.5412249,737.5091949,726.5643249,541.5554049,617.5503549,497.3002649,399.1906649,207.99872
PS(15:1_22:2)+Na,822.5255249,735.4934949,724.5486249,539.5397049,615.5346549,495.2845649,399.1906649,207.99872
PS(15:1_22:3)+Na,820.5099249,733.4778949,722.5330249,537.5241049,613.5190549,493.2689649,399.1906649,207.99872
PS(15:1_22:4)+Na,818.4942249,731.4621949,720.5173249,535.5084049,611.5033549,491.2532649,399.1906649,207.99872
PS(15:1_22:5)+Na,816.4786249,729.4465949,718.5017249,533.4928049,609.4877549,489.2376649,399.1906649,207.99872
PS(15:1_22:6)+Na,814.4629249,727.4308949,716.4860249,531.4771049,607.4720549,487.2219649,399.1906649,207.99872
PS(15:1_23:0)+Na,840.5725249,753.5404949,742.5956249,557.5867049,633.5816549,513.3315649,399.1906649,207.99872
PS(15:1_24:0)+Na,854.5881249,767.5560949,756.6112249,571.6023049,647.5972549,527.3471649,399.1906649,207.99872
PS(15:1_24:1)+Na,852.5725249,765.5404949,754.5956249,569.5867049,645.5816549,525.3315649,399.1906649,207.99872
PS(15:1_25:0)+Na,868.6038249,781.5717949,770.6269249,585.6180049,661.6129549,541.3628649,399.1906649,207.99872
PS(15:1_26:0)+Na,882.6194249,795.5873949,784.6425249,599.6336049,675.6285549,555.3784649,399.1906649,207.99872
PS(16:0_16:0)+Na,758.4942249,671.4621949,660.5173249,475.5084049,551.5033549,415.2219649,415.2219649,207.99872
PS(16:0_16:1)+Na,756.4786249,669.4465949,658.5017249,473.4928049,549.4877549,413.2063649,415.2219649,207.99872
PS(16:0_17:0)+Na,772.5099249,685.4778949,674.5330249,489.5241049,565.5190549,429.2376649,415.2219649,207.99872
PS(16:0_17:1)+Na,770.4942249,683.4621949,672.5173249,487.5084049,563.5033549,427.2219649,415.2219649,207.99872
PS(16:0_17:2)+Na,768.4786249,681.4465949,670.5017249,485.4928049,561.4877549,425.2063649,415.2219649,207.99872
PS(16:0_18:0)+Na,786.5255249,699.4934949,688.5486249,503.5397049,579.5346549,443.2532649,415.2219649,207.99872
PS(16:0_18:1)+Na,784.5099249,697.4778949,686.5330249,501.5241049,577.5190549,441.2376649,415.2219649,207.99872
PS(16:0_18:2)+Na,782.4942249,695.4621949,684.5173249,499.5084049,575.5033549,439.2219649,415.2219649,207.99872
PS(16:0_18:3)+Na,780.4786249,693.4465949,682.5017249,497.4928049,573.4877549,437.2063649,415.2219649,207.99872
PS(16:0_18:4)+Na,778.4629249,691.4308949,680.4860249,495.4771049,571.4720549,435.1906649,415.2219649,207.99872
PS(16:0_19:0)+Na,800.5412249,713.5091949,702.5643249,517.5554049,593.5503549,457.2689649,415.2219649,207.99872
PS(16:0_20:0)+Na,814.5568249,727.5247949,716.5799249,531.5710049,607.5659549,471.2845649,415.2219649,207.99872
PS(16:0_20:1)+Na,812.5412249,725.5091949,714.5643249,529.5554049,605.5503549,469.2689649,415.2219649,207.99872
PS(16:0_20:2)+Na,810.5255249,723.4934949,712.5486249,527.5397049,603.5346549,467.2532649,415.2219649,207.99872
PS(16:0_20:3)+Na,808.5099249,721.4778949,710.5330249,525.5241049,601.5190549,465.2376649,415.2219649,207.99872
PS(16:0_20:4)+Na,806.4942249,719.4621949,708.5173249,523.5084049,599.5033549,463.2219649,415.2219649,207.99872
PS(16:0_20:5)+Na,804.4786249,717.4465949,706.5017249,521.4928049,597.4877549,461.2063649,415.2219649,207.99872
PS(16:0_21:0)+Na,828.5725249,741.5404949,730.5956249,545.5867049,621.5816549,485.3002649,415.2219649,207.99872
PS(16:0_22:0)+Na,842.5881249,755.5560949,744.6112249,559.6023049,635.5972549,499.3158649,415.2219649,207.99872
PS(16:0_22:1)+Na,840.5725249,753.5404949,742.5956249,557.5867049,633.5816549,497.3002649,415.2219649,207.99872
PS(16:0_22:2)+Na,838.5568249,751.5247949,740.5799249,555.5710049,631.5659549,495.2845649,415.2219649,207.99872
PS(16:0_22:3)+Na,836.5412249,749.5091949,738.5643249,553.5554049,629.5503549,493.2689649,415.2219649,207.99872
PS(16:0_22:4)+Na,834.5255249,747.4934949,736.5486249,551.5397049,627.5346549,491.2532649,415.2219649,207.99872
PS(16:0_22:5)+Na,832.5099249,745.4778949,734.5330249,549.5241049,625.5190549,489.2376649,415.2219649,207.99872
PS(16:0_22:6)+Na,830.4942249,743.4621949,732.5173249,547.5084049,623.5033549,487.2219649,415.2219649,207.99872
PS(16:0_23:0)+Na,856.6038249,769.5717949,758.6269249,573.6180049,649.6129549,513.3315649,415.2219649,207.99872
PS(16:0_24:0)+Na,870.6194249,783.5873949,772.6425249,587.6336049,663.6285549,527.3471649,415.2219649,207.99872
PS(16:0_24:1)+Na,868.6038249,781.5717949,770.6269249,585.6180049,661.6129549,525.3315649,415.2219649,207.99872
PS(16:0_25:0)+Na,884.6351249,797.6030949,786.6582249,601.6493049,677.6442549,541.3628649,415.2219649,207.99872
PS(16:0_26:0)+Na,898.6507249,811.6186949,800.6738249,615.6649049,691.6598549,555.3784649,415.2219649,207.99872
PS(16:1_16:1)+Na,754.4630249,667.4309949,656.4861249,471.4772049,547.4721549,413.2063649,413.2063649,207.99872
PS(16:1_17:0)+Na,770.4943249,683.4622949,672.5174249,487.5085049,563.5034549,429.2376649,413.2063649,207.99872
PS(16:1_17:1)+Na,768.4786249,681.4465949,670.5017249,485.4928049,561.4877549,427.2219649,413.2063649,207.99872
PS(16:1_17:2)+Na,766.4630249,679.4309949,668.4861249,483.4772049,559.4721549,425.2063649,413.2063649,207.99872
PS(16:1_18:0)+Na,784.5099249,697.4778949,686.5330249,501.5241049,577.5190549,443.2532649,413.2063649,207.99872
PS(16:1_18:1)+Na,782.4943249,695.4622949,684.5174249,499.5085049,575.5034549,441.2376649,413.2063649,207.99872
PS(16:1_18:2)+Na,780.4786249,693.4465949,682.5017249,497.4928049,573.4877549,439.2219649,413.2063649,207.99872
PS(16:1_18:3)+Na,778.4630249,691.4309949,680.4861249,495.4772049,571.4721549,437.2063649,413.2063649,207.99872
PS(16:1_18:4)+Na,776.4473249,689.4152949,678.4704249,493.4615049,569.4564549,435.1906649,413.2063649,207.99872
PS(16:1_19:0)+Na,798.5256249,711.4935949,700.5487249,515.5398049,591.5347549,457.2689649,413.2063649,207.99872
PS(16:1_20:0)+Na,812.5412249,725.5091949,714.5643249,529.5554049,605.5503549,471.2845649,413.2063649,207.99872
PS(16:1_20:1)+Na,810.5256249,723.4935949,712.5487249,527.5398049,603.5347549,469.2689649,413.2063649,207.99872
PS(16:1_20:2)+Na,808.5099249,721.4778949,710.5330249,525.5241049,601.5190549,467.2532649,413.2063649,207.99872
PS(16:1_20:3)+Na,806.4943249,719.4622949,708.5174249,523.5085049,599.5034549,465.2376649,413.2063649,207.99872
PS(16:1_20:4)+Na,804.4786249,717.4465949,706.5017249,521.4928049,597.4877549,463.2219649,413.2063649,207.99872
PS(16:1_20:5)+Na,802.4630249,715.4309949,704.4861249,519.4772049,595.4721549,461.2063649,413.2063649,207.99872
PS(16:1_21:0)+Na,826.5569249,739.5248949,728.5800249,543.5711049,619.5660549,485.3002649,413.2063649,207.99872
PS(16:1_22:0)+Na,840.5725249,753.5404949,742.5956249,557.5867049,633.5816549,499.3158649,413.2063649,207.99872
PS(16:1_22:1)+Na,838.5569249,751.5248949,740.5800249,555.5711049,631.5660549,497.3002649,413.2063649,207.99872
PS(16:1_22:2)+Na,836.5412249,749.5091949,738.5643249,553.5554049,629.5503549,495.2845649,413.2063649,207.99872
PS(16:1_22:3)+Na,834.5256249,747.4935949,736.5487249,551.5398049,627.5347549,493.2689649,413.2063649,207.99872
PS(16:1_22:4)+Na,832.5099249,745.4778949,734.5330249,549.5241049,625.5190549,491.2532649,413.2063649,207.99872
PS(16:1_22:5)+Na,830.4943249,743.4622949,732.5174249,547.5085049,623.5034549,489.2376649,413.2063649,207.99872
PS(16:1_22:6)+Na,828.4786249,741.4465949,730.5017249,545.4928049,621.4877549,487.2219649,413.2063649,207.99872
PS(16:1_23:0)+Na,854.5882249,767.5561949,756.6113249,571.6024049,647.5973549,513.3315649,413.2063649,207.99872
PS(16:1_24:0)+Na,868.6038249,781.5717949,770.6269249,585.6180049,661.6129549,527.3471649,413.2063649,207.99872
PS(16:1_24:1)+Na,866.5882249,779.5561949,768.6113249,583.6024049,659.5973549,525.3315649,413.2063649,207.99872
PS(16:1_25:0)+Na,882.6195249,795.5874949,784.6426249,599.6337049,675.6286549,541.3628649,413.2063649,207.99872
PS(16:1_26:0)+Na,896.6351249,809.6030949,798.6582249,613.6493049,689.6442549,555.3784649,413.2063649,207.99872
PS(17:0_17:0)+Na,786.5256249,699.4935949,688.5487249,503.5398049,579.5347549,429.2376649,429.2376649,207.99872
PS(17:0_17:1)+Na,784.5099249,697.4778949,686.5330249,501.5241049,577.5190549,427.2219649,429.2376649,207.99872
PS(17:0_17:2)+Na,782.4943249,695.4622949,684.5174249,499.5085049,575.5034549,425.2063649,429.2376649,207.99872
PS(17:0_18:0)+Na,800.5412249,713.5091949,702.5643249,517.5554049,593.5503549,443.2532649,429.2376649,207.99872
PS(17:0_18:1)+Na,798.5256249,711.4935949,700.5487249,515.5398049,591.5347549,441.2376649,429.2376649,207.99872
PS(17:0_18:2)+Na,796.5099249,709.4778949,698.5330249,513.5241049,589.5190549,439.2219649,429.2376649,207.99872
PS(17:0_18:3)+Na,794.4943249,707.4622949,696.5174249,511.5085049,587.5034549,437.2063649,429.2376649,207.99872
PS(17:0_18:4)+Na,792.4786249,705.4465949,694.5017249,509.4928049,585.4877549,435.1906649,429.2376649,207.99872
PS(17:0_19:0)+Na,814.5569249,727.5248949,716.5800249,531.5711049,607.5660549,457.2689649,429.2376649,207.99872
PS(17:0_20:0)+Na,828.5725249,741.5404949,730.5956249,545.5867049,621.5816549,471.2845649,429.2376649,207.99872
PS(17:0_20:1)+Na,826.5569249,739.5248949,728.5800249,543.5711049,619.5660549,469.2689649,429.2376649,207.99872
PS(17:0_20:2)+Na,824.5412249,737.5091949,726.5643249,541.5554049,617.5503549,467.2532649,429.2376649,207.99872
PS(17:0_20:3)+Na,822.5256249,735.4935949,724.5487249,539.5398049,615.5347549,465.2376649,429.2376649,207.99872
PS(17:0_20:4)+Na,820.5099249,733.4778949,722.5330249,537.5241049,613.5190549,463.2219649,429.2376649,207.99872
PS(17:0_20:5)+Na,818.4943249,731.4622949,720.5174249,535.5085049,611.5034549,461.2063649,429.2376649,207.99872
PS(17:0_21:0)+Na,842.5882249,755.5561949,744.6113249,559.6024049,635.5973549,485.3002649,429.2376649,207.99872
PS(17:0_22:0)+Na,856.6038249,769.5717949,758.6269249,573.6180049,649.6129549,499.3158649,429.2376649,207.99872
PS(17:0_22:1)+Na,854.5882249,767.5561949,756.6113249,571.6024049,647.5973549,497.3002649,429.2376649,207.99872
PS(17:0_22:2)+Na,852.5725249,765.5404949,754.5956249,569.5867049,645.5816549,495.2845649,429.2376649,207.99872
PS(17:0_22:3)+Na,850.5569249,763.5248949,752.5800249,567.5711049,643.5660549,493.2689649,429.2376649,207.99872
PS(17:0_22:4)+Na,848.5412249,761.5091949,750.5643249,565.5554049,641.5503549,491.2532649,429.2376649,207.99872
PS(17:0_22:5)+Na,846.5256249,759.4935949,748.5487249,563.5398049,639.5347549,489.2376649,429.2376649,207.99872
PS(17:0_22:6)+Na,844.5099249,757.4778949,746.5330249,561.5241049,637.5190549,487.2219649,429.2376649,207.99872
PS(17:0_23:0)+Na,870.6195249,783.5874949,772.6426249,587.6337049,663.6286549,513.3315649,429.2376649,207.99872
PS(17:0_24:0)+Na,884.6351249,797.6030949,786.6582249,601.6493049,677.6442549,527.3471649,429.2376649,207.99872
PS(17:0_24:1)+Na,882.6195249,795.5874949,784.6426249,599.6337049,675.6286549,525.3315649,429.2376649,207.99872
PS(17:0_25:0)+Na,898.6508249,811.6187949,800.6739249,615.6650049,691.6599549,541.3628649,429.2376649,207.99872
PS(17:0_26:0)+Na,912.6664249,825.6343949,814.6895249,629.6806049,705.6755549,555.3784649,429.2376649,207.99872
PS(17:1_17:1)+Na,782.4942249,695.4621949,684.5173249,499.5084049,575.5033549,427.2219649,427.2219649,207.99872
PS(17:1_17:2)+Na,780.4786249,693.4465949,682.5017249,497.4928049,573.4877549,425.2063649,427.2219649,207.99872
PS(17:1_18:0)+Na,798.5255249,711.4934949,700.5486249,515.5397049,591.5346549,443.2532649,427.2219649,207.99872
PS(17:1_18:1)+Na,796.5099249,709.4778949,698.5330249,513.5241049,589.5190549,441.2376649,427.2219649,207.99872
PS(17:1_18:2)+Na,794.4942249,707.4621949,696.5173249,511.5084049,587.5033549,439.2219649,427.2219649,207.99872
PS(17:1_18:3)+Na,792.4786249,705.4465949,694.5017249,509.4928049,585.4877549,437.2063649,427.2219649,207.99872
PS(17:1_18:4)+Na,790.4629249,703.4308949,692.4860249,507.4771049,583.4720549,435.1906649,427.2219649,207.99872
PS(17:1_19:0)+Na,812.5412249,725.5091949,714.5643249,529.5554049,605.5503549,457.2689649,427.2219649,207.99872
PS(17:1_20:0)+Na,826.5568249,739.5247949,728.5799249,543.5710049,619.5659549,471.2845649,427.2219649,207.99872
PS(17:1_20:1)+Na,824.5412249,737.5091949,726.5643249,541.5554049,617.5503549,469.2689649,427.2219649,207.99872
PS(17:1_20:2)+Na,822.5255249,735.4934949,724.5486249,539.5397049,615.5346549,467.2532649,427.2219649,207.99872
PS(17:1_20:3)+Na,820.5099249,733.4778949,722.5330249,537.5241049,613.5190549,465.2376649,427.2219649,207.99872
PS(17:1_20:4)+Na,818.4942249,731.4621949,720.5173249,535.5084049,611.5033549,463.2219649,427.2219649,207.99872
PS(17:1_20:5)+Na,816.4786249,729.4465949,718.5017249,533.4928049,609.4877549,461.2063649,427.2219649,207.99872
PS(17:1_21:0)+Na,840.5725249,753.5404949,742.5956249,557.5867049,633.5816549,485.3002649,427.2219649,207.99872
PS(17:1_22:0)+Na,854.5881249,767.5560949,756.6112249,571.6023049,647.5972549,499.3158649,427.2219649,207.99872
PS(17:1_22:1)+Na,852.5725249,765.5404949,754.5956249,569.5867049,645.5816549,497.3002649,427.2219649,207.99872
PS(17:1_22:2)+Na,850.5568249,763.5247949,752.5799249,567.5710049,643.5659549,495.2845649,427.2219649,207.99872
PS(17:1_22:3)+Na,848.5412249,761.5091949,750.5643249,565.5554049,641.5503549,493.2689649,427.2219649,207.99872
PS(17:1_22:4)+Na,846.5255249,759.4934949,748.5486249,563.5397049,639.5346549,491.2532649,427.2219649,207.99872
PS(17:1_22:5)+Na,844.5099249,757.4778949,746.5330249,561.5241049,637.5190549,489.2376649,427.2219649,207.99872
PS(17:1_22:6)+Na,842.4942249,755.4621949,744.5173249,559.5084049,635.5033549,487.2219649,427.2219649,207.99872
PS(17:1_23:0)+Na,868.6038249,781.5717949,770.6269249,585.6180049,661.6129549,513.3315649,427.2219649,207.99872
PS(17:1_24:0)+Na,882.6194249,795.5873949,784.6425249,599.6336049,675.6285549,527.3471649,427.2219649,207.99872
PS(17:1_24:1)+Na,880.6038249,793.5717949,782.6269249,597.6180049,673.6129549,525.3315649,427.2219649,207.99872
PS(17:1_25:0)+Na,896.6351249,809.6030949,798.6582249,613.6493049,689.6442549,541.3628649,427.2219649,207.99872
PS(17:1_26:0)+Na,910.6507249,823.6186949,812.6738249,627.6649049,703.6598549,555.3784649,427.2219649,207.99872
PS(17:2_17:2)+Na,778.4630249,691.4309949,680.4861249,495.4772049,571.4721549,425.2063649,425.2063649,207.99872
PS(17:2_18:0)+Na,796.5099249,709.4778949,698.5330249,513.5241049,589.5190549,443.2532649,425.2063649,207.99872
PS(17:2_18:1)+Na,794.4943249,707.4622949,696.5174249,511.5085049,587.5034549,441.2376649,425.2063649,207.99872
PS(17:2_18:2)+Na,792.4786249,705.4465949,694.5017249,509.4928049,585.4877549,439.2219649,425.2063649,207.99872
PS(17:2_18:3)+Na,790.4630249,703.4309949,692.4861249,507.4772049,583.4721549,437.2063649,425.2063649,207.99872
PS(17:2_18:4)+Na,788.4473249,701.4152949,690.4704249,505.4615049,581.4564549,435.1906649,425.2063649,207.99872
PS(17:2_19:0)+Na,810.5256249,723.4935949,712.5487249,527.5398049,603.5347549,457.2689649,425.2063649,207.99872
PS(17:2_20:0)+Na,824.5412249,737.5091949,726.5643249,541.5554049,617.5503549,471.2845649,425.2063649,207.99872
PS(17:2_20:1)+Na,822.5256249,735.4935949,724.5487249,539.5398049,615.5347549,469.2689649,425.2063649,207.99872
PS(17:2_20:2)+Na,820.5099249,733.4778949,722.5330249,537.5241049,613.5190549,467.2532649,425.2063649,207.99872
PS(17:2_20:3)+Na,818.4943249,731.4622949,720.5174249,535.5085049,611.5034549,465.2376649,425.2063649,207.99872
PS(17:2_20:4)+Na,816.4786249,729.4465949,718.5017249,533.4928049,609.4877549,463.2219649,425.2063649,207.99872
PS(17:2_20:5)+Na,814.4630249,727.4309949,716.4861249,531.4772049,607.4721549,461.2063649,425.2063649,207.99872
PS(17:2_21:0)+Na,838.5569249,751.5248949,740.5800249,555.5711049,631.5660549,485.3002649,425.2063649,207.99872
PS(17:2_22:0)+Na,852.5725249,765.5404949,754.5956249,569.5867049,645.5816549,499.3158649,425.2063649,207.99872
PS(17:2_22:1)+Na,850.5569249,763.5248949,752.5800249,567.5711049,643.5660549,497.3002649,425.2063649,207.99872
PS(17:2_22:2)+Na,848.5412249,761.5091949,750.5643249,565.5554049,641.5503549,495.2845649,425.2063649,207.99872
PS(17:2_22:3)+Na,846.5256249,759.4935949,748.5487249,563.5398049,639.5347549,493.2689649,425.2063649,207.99872
PS(17:2_22:4)+Na,844.5099249,757.4778949,746.5330249,561.5241049,637.5190549,491.2532649,425.2063649,207.99872
PS(17:2_22:5)+Na,842.4943249,755.4622949,744.5174249,559.5085049,635.5034549,489.2376649,425.2063649,207.99872
PS(17:2_22:6)+Na,840.4786249,753.4465949,742.5017249,557.4928049,633.4877549,487.2219649,425.2063649,207.99872
PS(17:2_23:0)+Na,866.5882249,779.5561949,768.6113249,583.6024049,659.5973549,513.3315649,425.2063649,207.99872
PS(17:2_24:0)+Na,880.6038249,793.5717949,782.6269249,597.6180049,673.6129549,527.3471649,425.2063649,207.99872
PS(17:2_24:1)+Na,878.5882249,791.5561949,780.6113249,595.6024049,671.5973549,525.3315649,425.2063649,207.99872
PS(17:2_25:0)+Na,894.6195249,807.5874949,796.6426249,611.6337049,687.6286549,541.3628649,425.2063649,207.99872
PS(17:2_26:0)+Na,908.6351249,821.6030949,810.6582249,625.6493049,701.6442549,555.3784649,425.2063649,207.99872
PS(18:0_18:0)+Na,814.5568249,727.5247949,716.5799249,531.5710049,607.5659549,443.2532649,443.2532649,207.99872
PS(18:0_18:1)+Na,812.5412249,725.5091949,714.5643249,529.5554049,605.5503549,441.2376649,443.2532649,207.99872
PS(18:0_18:2)+Na,810.5255249,723.4934949,712.5486249,527.5397049,603.5346549,439.2219649,443.2532649,207.99872
PS(18:0_18:3)+Na,808.5099249,721.4778949,710.5330249,525.5241049,601.5190549,437.2063649,443.2532649,207.99872
PS(18:0_18:4)+Na,806.4942249,719.4621949,708.5173249,523.5084049,599.5033549,435.1906649,443.2532649,207.99872
PS(18:0_19:0)+Na,828.5725249,741.5404949,730.5956249,545.5867049,621.5816549,457.2689649,443.2532649,207.99872
PS(18:0_20:0)+Na,842.5881249,755.5560949,744.6112249,559.6023049,635.5972549,471.2845649,443.2532649,207.99872
PS(18:0_20:1)+Na,840.5725249,753.5404949,742.5956249,557.5867049,633.5816549,469.2689649,443.2532649,207.99872
PS(18:0_20:2)+Na,838.5568249,751.5247949,740.5799249,555.5710049,631.5659549,467.2532649,443.2532649,207.99872
PS(18:0_20:3)+Na,836.5412249,749.5091949,738.5643249,553.5554049,629.5503549,465.2376649,443.2532649,207.99872
PS(18:0_20:4)+Na,834.5255249,747.4934949,736.5486249,551.5397049,627.5346549,463.2219649,443.2532649,207.99872
PS(18:0_20:5)+Na,832.5099249,745.4778949,734.5330249,549.5241049,625.5190549,461.2063649,443.2532649,207.99872
PS(18:0_21:0)+Na,856.6038249,769.5717949,758.6269249,573.6180049,649.6129549,485.3002649,443.2532649,207.99872
PS(18:0_22:0)+Na,870.6194249,783.5873949,772.6425249,587.6336049,663.6285549,499.3158649,443.2532649,207.99872
PS(18:0_22:1)+Na,868.6038249,781.5717949,770.6269249,585.6180049,661.6129549,497.3002649,443.2532649,207.99872
PS(18:0_22:2)+Na,866.5881249,779.5560949,768.6112249,583.6023049,659.5972549,495.2845649,443.2532649,207.99872
PS(18:0_22:3)+Na,864.5725249,777.5404949,766.5956249,581.5867049,657.5816549,493.2689649,443.2532649,207.99872
PS(18:0_22:4)+Na,862.5568249,775.5247949,764.5799249,579.5710049,655.5659549,491.2532649,443.2532649,207.99872
PS(18:0_22:5)+Na,860.5412249,773.5091949,762.5643249,577.5554049,653.5503549,489.2376649,443.2532649,207.99872
PS(18:0_22:6)+Na,858.5255249,771.4934949,760.5486249,575.5397049,651.5346549,487.2219649,443.2532649,207.99872
PS(18:0_23:0)+Na,884.6351249,797.6030949,786.6582249,601.6493049,677.6442549,513.3315649,443.2532649,207.99872
PS(18:0_24:0)+Na,898.6507249,811.6186949,800.6738249,615.6649049,691.6598549,527.3471649,443.2532649,207.99872
PS(18:0_24:1)+Na,896.6351249,809.6030949,798.6582249,613.6493049,689.6442549,525.3315649,443.2532649,207.99872
PS(18:0_25:0)+Na,912.6664249,825.6343949,814.6895249,629.6806049,705.6755549,541.3628649,443.2532649,207.99872
PS(18:0_26:0)+Na,926.6820249,839.6499949,828.7051249,643.6962049,719.6911549,555.3784649,443.2532649,207.99872
