DG,[M+NH4]+,sn1_NL,sn2_NL,sn1_acylChain([RC=O]+),sn2_acylChain([RC=O]+),sn1_acylChain([RC=O]+)-H2O,sn2_acylChain([RC=O]+)-H2O,sn1_acylChain([RC=O]+74)-H2O,sn2_acylChain([RC=O]+74)-H2O
DG(8:0_8:0)+NH4,362.2901,201.1485,201.1485,127.1117,127.1117,109.1012,109.1012,183.138,183.138
DG(8:0_10:0)+NH4,390.3214,229.1798,201.1485,127.1117,155.143,109.1012,137.1325,183.138,211.1693
DG(8:0_12:0)+NH4,418.3527,257.2111,201.1485,127.1117,183.1743,109.1012,165.1638,183.138,239.2006
DG(8:0_13:0)+NH4,432.3684,271.2268,201.1485,127.1117,197.19,109.1012,179.1795,183.138,253.2163
DG(8:0_14:0)+NH4,446.384,285.2424,201.1485,127.1117,211.2056,109.1012,193.1951,183.138,267.2319
DG(8:0_14:1)+NH4,444.3684,283.2268,201.1485,127.1117,209.19,109.1012,191.1795,183.138,265.2163
DG(8:0_15:0)+NH4,460.3997,299.2581,201.1485,127.1117,225.2213,109.1012,207.2108,183.138,281.2476
DG(8:0_15:1)+NH4,458.384,297.2424,201.1485,127.1117,223.2056,109.1012,205.1951,183.138,279.2319
DG(8:0_16:0)+NH4,474.4153,313.2737,201.1485,127.1117,239.2369,109.1012,221.2264,183.138,295.2632
DG(8:0_16:1)+NH4,472.3997,311.2581,201.1485,127.1117,237.2213,109.1012,219.2108,183.138,293.2476
DG(8:0_17:0)+NH4,488.431,327.2894,201.1485,127.1117,253.2526,109.1012,235.2421,183.138,309.2789
DG(8:0_17:1)+NH4,486.4153,325.2737,201.1485,127.1117,251.2369,109.1012,233.2264,183.138,307.2632
DG(8:0_17:2)+NH4,484.3997,323.2581,201.1485,127.1117,249.2213,109.1012,231.2108,183.138,305.2476
DG(8:0_18:0)+NH4,502.4466,341.305,201.1485,127.1117,267.2682,109.1012,249.2577,183.138,323.2945
DG(8:0_18:1)+NH4,500.431,339.2894,201.1485,127.1117,265.2526,109.1012,247.2421,183.138,321.2789
DG(8:0_18:2)+NH4,498.4153,337.2737,201.1485,127.1117,263.2369,109.1012,245.2264,183.138,319.2632
DG(8:0_18:3)+NH4,496.3997,335.2581,201.1485,127.1117,261.2213,109.1012,243.2108,183.138,317.2476
DG(8:0_18:4)+NH4,494.384,333.2424,201.1485,127.1117,259.2056,109.1012,241.1951,183.138,315.2319
DG(8:0_19:0)+NH4,516.4623,355.3207,201.1485,127.1117,281.2839,109.1012,263.2734,183.138,337.3102
DG(8:0_20:0)+NH4,530.4779,369.3363,201.1485,127.1117,295.2995,109.1012,277.289,183.138,351.3258
DG(8:0_20:1)+NH4,528.4623,367.3207,201.1485,127.1117,293.2839,109.1012,275.2734,183.138,349.3102
DG(8:0_20:2)+NH4,526.4466,365.305,201.1485,127.1117,291.2682,109.1012,273.2577,183.138,347.2945
DG(8:0_20:3)+NH4,524.431,363.2894,201.1485,127.1117,289.2526,109.1012,271.2421,183.138,345.2789
DG(8:0_20:4)+NH4,522.4153,361.2737,201.1485,127.1117,287.2369,109.1012,269.2264,183.138,343.2632
DG(8:0_20:5)+NH4,520.3997,359.2581,201.1485,127.1117,285.2213,109.1012,267.2108,183.138,341.2476
DG(8:0_21:0)+NH4,544.4936,383.352,201.1485,127.1117,309.3152,109.1012,291.3047,183.138,365.3415
DG(8:0_22:0)+NH4,558.5092,397.3676,201.1485,127.1117,323.3308,109.1012,305.3203,183.138,379.3571
DG(8:0_22:1)+NH4,556.4936,395.352,201.1485,127.1117,321.3152,109.1012,303.3047,183.138,377.3415
DG(8:0_22:2)+NH4,554.4779,393.3363,201.1485,127.1117,319.2995,109.1012,301.289,183.138,375.3258
DG(8:0_22:3)+NH4,552.4623,391.3207,201.1485,127.1117,317.2839,109.1012,299.2734,183.138,373.3102
DG(8:0_22:4)+NH4,550.4466,389.305,201.1485,127.1117,315.2682,109.1012,297.2577,183.138,371.2945
DG(8:0_22:5)+NH4,548.431,387.2894,201.1485,127.1117,313.2526,109.1012,295.2421,183.138,369.2789
DG(8:0_22:6)+NH4,546.4153,385.2737,201.1485,127.1117,311.2369,109.1012,293.2264,183.138,367.2632
DG(8:0_23:0)+NH4,572.5249,411.3833,201.1485,127.1117,337.3465,109.1012,319.336,183.138,393.3728
DG(8:0_24:0)+NH4,586.5405,425.3989,201.1485,127.1117,351.3621,109.1012,333.3516,183.138,407.3884
DG(8:0_24:1)+NH4,584.5249,423.3833,201.1485,127.1117,349.3465,109.1012,331.336,183.138,405.3728
DG(8:0_25:0)+NH4,600.5562,439.4146,201.1485,127.1117,365.3778,109.1012,347.3673,183.138,421.4041
DG(8:0_26:0)+NH4,614.5718,453.4302,201.1485,127.1117,379.3934,109.1012,361.3829,183.138,435.4197
DG(10:0_10:0)+NH4,418.3527,229.1798,229.1798,155.143,155.143,137.1325,137.1325,211.1693,211.1693
DG(10:0_12:0)+NH4,446.384,257.2111,229.1798,155.143,183.1743,137.1325,165.1638,211.1693,239.2006
DG(10:0_13:0)+NH4,460.3997,271.2268,229.1798,155.143,197.19,137.1325,179.1795,211.1693,253.2163
DG(10:0_14:0)+NH4,474.4153,285.2424,229.1798,155.143,211.2056,137.1325,193.1951,211.1693,267.2319
DG(10:0_14:1)+NH4,472.3997,283.2268,229.1798,155.143,209.19,137.1325,191.1795,211.1693,265.2163
DG(10:0_15:0)+NH4,488.431,299.2581,229.1798,155.143,225.2213,137.1325,207.2108,211.1693,281.2476
DG(10:0_15:1)+NH4,486.4153,297.2424,229.1798,155.143,223.2056,137.1325,205.1951,211.1693,279.2319
DG(10:0_16:0)+NH4,502.4466,313.2737,229.1798,155.143,239.2369,137.1325,221.2264,211.1693,295.2632
DG(10:0_16:1)+NH4,500.431,311.2581,229.1798,155.143,237.2213,137.1325,219.2108,211.1693,293.2476
DG(10:0_17:0)+NH4,516.4623,327.2894,229.1798,155.143,253.2526,137.1325,235.2421,211.1693,309.2789
DG(10:0_17:1)+NH4,514.4466,325.2737,229.1798,155.143,251.2369,137.1325,233.2264,211.1693,307.2632
DG(10:0_17:2)+NH4,512.431,323.2581,229.1798,155.143,249.2213,137.1325,231.2108,211.1693,305.2476
DG(10:0_18:0)+NH4,530.4779,341.305,229.1798,155.143,267.2682,137.1325,249.2577,211.1693,323.2945
DG(10:0_18:1)+NH4,528.4623,339.2894,229.1798,155.143,265.2526,137.1325,247.2421,211.1693,321.2789
DG(10:0_18:2)+NH4,526.4466,337.2737,229.1798,155.143,263.2369,137.1325,245.2264,211.1693,319.2632
DG(10:0_18:3)+NH4,524.431,335.2581,229.1798,155.143,261.2213,137.1325,243.2108,211.1693,317.2476
DG(10:0_18:4)+NH4,522.4153,333.2424,229.1798,155.143,259.2056,137.1325,241.1951,211.1693,315.2319
DG(10:0_19:0)+NH4,544.4936,355.3207,229.1798,155.143,281.2839,137.1325,263.2734,211.1693,337.3102
DG(10:0_20:0)+NH4,558.5092,369.3363,229.1798,155.143,295.2995,137.1325,277.289,211.1693,351.3258
DG(10:0_20:1)+NH4,556.4936,367.3207,229.1798,155.143,293.2839,137.1325,275.2734,211.1693,349.3102
DG(10:0_20:2)+NH4,554.4779,365.305,229.1798,155.143,291.2682,137.1325,273.2577,211.1693,347.2945
DG(10:0_20:3)+NH4,552.4623,363.2894,229.1798,155.143,289.2526,137.1325,271.2421,211.1693,345.2789
DG(10:0_20:4)+NH4,550.4466,361.2737,229.1798,155.143,287.2369,137.1325,269.2264,211.1693,343.2632
DG(10:0_20:5)+NH4,548.431,359.2581,229.1798,155.143,285.2213,137.1325,267.2108,211.1693,341.2476
DG(10:0_21:0)+NH4,572.5249,383.352,229.1798,155.143,309.3152,137.1325,291.3047,211.1693,365.3415
DG(10:0_22:0)+NH4,586.5405,397.3676,229.1798,155.143,323.3308,137.1325,305.3203,211.1693,379.3571
DG(10:0_22:1)+NH4,584.5249,395.352,229.1798,155.143,321.3152,137.1325,303.3047,211.1693,377.3415
DG(10:0_22:2)+NH4,582.5092,393.3363,229.1798,155.143,319.2995,137.1325,301.289,211.1693,375.3258
DG(10:0_22:3)+NH4,580.4936,391.3207,229.1798,155.143,317.2839,137.1325,299.2734,211.1693,373.3102
DG(10:0_22:4)+NH4,578.4779,389.305,229.1798,155.143,315.2682,137.1325,297.2577,211.1693,371.2945
DG(10:0_22:5)+NH4,576.4623,387.2894,229.1798,155.143,313.2526,137.1325,295.2421,211.1693,369.2789
DG(10:0_22:6)+NH4,574.4466,385.2737,229.1798,155.143,311.2369,137.1325,293.2264,211.1693,367.2632
DG(10:0_23:0)+NH4,600.5562,411.3833,229.1798,155.143,337.3465,137.1325,319.336,211.1693,393.3728
DG(10:0_24:0)+NH4,614.5718,425.3989,229.1798,155.143,351.3621,137.1325,333.3516,211.1693,407.3884
DG(10:0_24:1)+NH4,612.5562,423.3833,229.1798,155.143,349.3465,137.1325,331.336,211.1693,405.3728
DG(10:0_25:0)+NH4,628.5875,439.4146,229.1798,155.143,365.3778,137.1325,347.3673,211.1693,421.4041
DG(10:0_26:0)+NH4,642.6031,453.4302,229.1798,155.143,379.3934,137.1325,361.3829,211.1693,435.4197
DG(12:0_12:0)+NH4,474.4153,257.2111,257.2111,183.1743,183.1743,165.1638,165.1638,239.2006,239.2006
DG(12:0_13:0)+NH4,488.431,271.2268,257.2111,183.1743,197.19,165.1638,179.1795,239.2006,253.2163
DG(12:0_14:0)+NH4,502.4466,285.2424,257.2111,183.1743,211.2056,165.1638,193.1951,239.2006,267.2319
DG(12:0_14:1)+NH4,500.431,283.2268,257.2111,183.1743,209.19,165.1638,191.1795,239.2006,265.2163
DG(12:0_15:0)+NH4,516.4623,299.2581,257.2111,183.1743,225.2213,165.1638,207.2108,239.2006,281.2476
DG(12:0_15:1)+NH4,514.4466,297.2424,257.2111,183.1743,223.2056,165.1638,205.1951,239.2006,279.2319
DG(12:0_16:0)+NH4,530.4779,313.2737,257.2111,183.1743,239.2369,165.1638,221.2264,239.2006,295.2632
DG(12:0_16:1)+NH4,528.4623,311.2581,257.2111,183.1743,237.2213,165.1638,219.2108,239.2006,293.2476
DG(12:0_17:0)+NH4,544.4936,327.2894,257.2111,183.1743,253.2526,165.1638,235.2421,239.2006,309.2789
DG(12:0_17:1)+NH4,542.4779,325.2737,257.2111,183.1743,251.2369,165.1638,233.2264,239.2006,307.2632
DG(12:0_17:2)+NH4,540.4623,323.2581,257.2111,183.1743,249.2213,165.1638,231.2108,239.2006,305.2476
DG(12:0_18:0)+NH4,558.5092,341.305,257.2111,183.1743,267.2682,165.1638,249.2577,239.2006,323.2945
DG(12:0_18:1)+NH4,556.4936,339.2894,257.2111,183.1743,265.2526,165.1638,247.2421,239.2006,321.2789
DG(12:0_18:2)+NH4,554.4779,337.2737,257.2111,183.1743,263.2369,165.1638,245.2264,239.2006,319.2632
DG(12:0_18:3)+NH4,552.4623,335.2581,257.2111,183.1743,261.2213,165.1638,243.2108,239.2006,317.2476
DG(12:0_18:4)+NH4,550.4466,333.2424,257.2111,183.1743,259.2056,165.1638,241.1951,239.2006,315.2319
DG(12:0_19:0)+NH4,572.5249,355.3207,257.2111,183.1743,281.2839,165.1638,263.2734,239.2006,337.3102
DG(12:0_20:0)+NH4,586.5405,369.3363,257.2111,183.1743,295.2995,165.1638,277.289,239.2006,351.3258
DG(12:0_20:1)+NH4,584.5249,367.3207,257.2111,183.1743,293.2839,165.1638,275.2734,239.2006,349.3102
DG(12:0_20:2)+NH4,582.5092,365.305,257.2111,183.1743,291.2682,165.1638,273.2577,239.2006,347.2945
DG(12:0_20:3)+NH4,580.4936,363.2894,257.2111,183.1743,289.2526,165.1638,271.2421,239.2006,345.2789
DG(12:0_20:4)+NH4,578.4779,361.2737,257.2111,183.1743,287.2369,165.1638,269.2264,239.2006,343.2632
DG(12:0_20:5)+NH4,576.4623,359.2581,257.2111,183.1743,285.2213,165.1638,267.2108,239.2006,341.2476
DG(12:0_21:0)+NH4,600.5562,383.352,257.2111,183.1743,309.3152,165.1638,291.3047,239.2006,365.3415
DG(12:0_22:0)+NH4,614.5718,397.3676,257.2111,183.1743,323.3308,165.1638,305.3203,239.2006,379.3571
DG(12:0_22:1)+NH4,612.5562,395.352,257.2111,183.1743,321.3152,165.1638,303.3047,239.2006,377.3415
DG(12:0_22:2)+NH4,610.5405,393.3363,257.2111,183.1743,319.2995,165.1638,301.289,239.2006,375.3258
DG(12:0_22:3)+NH4,608.5249,391.3207,257.2111,183.1743,317.2839,165.1638,299.2734,239.2006,373.3102
DG(12:0_22:4)+NH4,606.5092,389.305,257.2111,183.1743,315.2682,165.1638,297.2577,239.2006,371.2945
DG(12:0_22:5)+NH4,604.4936,387.2894,257.2111,183.1743,313.2526,165.1638,295.2421,239.2006,369.2789
DG(12:0_22:6)+NH4,602.4779,385.2737,257.2111,183.1743,311.2369,165.1638,293.2264,239.2006,367.2632
DG(12:0_23:0)+NH4,628.5875,411.3833,257.2111,183.1743,337.3465,165.1638,319.336,239.2006,393.3728
DG(12:0_24:0)+NH4,642.6031,425.3989,257.2111,183.1743,351.3621,165.1638,333.3516,239.2006,407.3884
DG(12:0_24:1)+NH4,640.5875,423.3833,257.2111,183.1743,349.3465,165.1638,331.336,239.2006,405.3728
DG(12:0_25:0)+NH4,656.6188,439.4146,257.2111,183.1743,365.3778,165.1638,347.3673,239.2006,421.4041
DG(12:0_26:0)+NH4,670.6344,453.4302,257.2111,183.1743,379.3934,165.1638,361.3829,239.2006,435.4197
DG(13:0_13:0)+NH4,502.4467,271.2268,271.2268,197.19,197.19,179.1795,179.1795,253.2163,253.2163
DG(13:0_14:0)+NH4,516.4623,285.2424,271.2268,197.19,211.2056,179.1795,193.1951,253.2163,267.2319
DG(13:0_14:1)+NH4,514.4467,283.2268,271.2268,197.19,209.19,179.1795,191.1795,253.2163,265.2163
DG(13:0_15:0)+NH4,530.478,299.2581,271.2268,197.19,225.2213,179.1795,207.2108,253.2163,281.2476
DG(13:0_15:1)+NH4,528.4623,297.2424,271.2268,197.19,223.2056,179.1795,205.1951,253.2163,279.2319
DG(13:0_16:0)+NH4,544.4936,313.2737,271.2268,197.19,239.2369,179.1795,221.2264,253.2163,295.2632
DG(13:0_16:1)+NH4,542.478,311.2581,271.2268,197.19,237.2213,179.1795,219.2108,253.2163,293.2476
DG(13:0_17:0)+NH4,558.5093,327.2894,271.2268,197.19,253.2526,179.1795,235.2421,253.2163,309.2789
DG(13:0_17:1)+NH4,556.4936,325.2737,271.2268,197.19,251.2369,179.1795,233.2264,253.2163,307.2632
DG(13:0_17:2)+NH4,554.478,323.2581,271.2268,197.19,249.2213,179.1795,231.2108,253.2163,305.2476
DG(13:0_18:0)+NH4,572.5249,341.305,271.2268,197.19,267.2682,179.1795,249.2577,253.2163,323.2945
DG(13:0_18:1)+NH4,570.5093,339.2894,271.2268,197.19,265.2526,179.1795,247.2421,253.2163,321.2789
DG(13:0_18:2)+NH4,568.4936,337.2737,271.2268,197.19,263.2369,179.1795,245.2264,253.2163,319.2632
DG(13:0_18:3)+NH4,566.478,335.2581,271.2268,197.19,261.2213,179.1795,243.2108,253.2163,317.2476
DG(13:0_18:4)+NH4,564.4623,333.2424,271.2268,197.19,259.2056,179.1795,241.1951,253.2163,315.2319
DG(13:0_19:0)+NH4,586.5406,355.3207,271.2268,197.19,281.2839,179.1795,263.2734,253.2163,337.3102
DG(13:0_20:0)+NH4,600.5562,369.3363,271.2268,197.19,295.2995,179.1795,277.289,253.2163,351.3258
DG(13:0_20:1)+NH4,598.5406,367.3207,271.2268,197.19,293.2839,179.1795,275.2734,253.2163,349.3102
DG(13:0_20:2)+NH4,596.5249,365.305,271.2268,197.19,291.2682,179.1795,273.2577,253.2163,347.2945
DG(13:0_20:3)+NH4,594.5093,363.2894,271.2268,197.19,289.2526,179.1795,271.2421,253.2163,345.2789
DG(13:0_20:4)+NH4,592.4936,361.2737,271.2268,197.19,287.2369,179.1795,269.2264,253.2163,343.2632
DG(13:0_20:5)+NH4,590.478,359.2581,271.2268,197.19,285.2213,179.1795,267.2108,253.2163,341.2476
DG(13:0_21:0)+NH4,614.5719,383.352,271.2268,197.19,309.3152,179.1795,291.3047,253.2163,365.3415
DG(13:0_22:0)+NH4,628.5875,397.3676,271.2268,197.19,323.3308,179.1795,305.3203,253.2163,379.3571
DG(13:0_22:1)+NH4,626.5719,395.352,271.2268,197.19,321.3152,179.1795,303.3047,253.2163,377.3415
DG(13:0_22:2)+NH4,624.5562,393.3363,271.2268,197.19,319.2995,179.1795,301.289,253.2163,375.3258
DG(13:0_22:3)+NH4,622.5406,391.3207,271.2268,197.19,317.2839,179.1795,299.2734,253.2163,373.3102
DG(13:0_22:4)+NH4,620.5249,389.305,271.2268,197.19,315.2682,179.1795,297.2577,253.2163,371.2945
