DG,[M+NH4]+,sn1_NL,sn2_NL,sn1_acylChain([RC=O]+),sn2_acylChain([RC=O]+),sn1_acylChain([RC=O]+)-H2O,sn2_acylChain([RC=O]+)-H2O,sn1_acylChain([RC=O]+74)-H2O,sn2_acylChain([RC=O]+74)-H2O
DG(13:0_22:5)+NH4,618.5093,387.2894,271.2268,197.19,313.2526,179.1795,295.2421,253.2163,369.2789
DG(13:0_22:6)+NH4,616.4936,385.2737,271.2268,197.19,311.2369,179.1795,293.2264,253.2163,367.2632
DG(13:0_23:0)+NH4,642.6032,411.3833,271.2268,197.19,337.3465,179.1795,319.336,253.2163,393.3728
DG(13:0_24:0)+NH4,656.6188,425.3989,271.2268,197.19,351.3621,179.1795,333.3516,253.2163,407.3884
DG(13:0_24:1)+NH4,654.6032,423.3833,271.2268,197.19,349.3465,179.1795,331.336,253.2163,405.3728
DG(13:0_25:0)+NH4,670.6345,439.4146,271.2268,197.19,365.3778,179.1795,347.3673,253.2163,421.4041
DG(13:0_26:0)+NH4,684.6501,453.4302,271.2268,197.19,379.3934,179.1795,361.3829,253.2163,435.4197
DG(14:0_14:0)+NH4,530.4779,285.2424,285.2424,211.2056,211.2056,193.1951,193.1951,267.2319,267.2319
DG(14:0_14:1)+NH4,528.4623,283.2268,285.2424,211.2056,209.19,193.1951,191.1795,267.2319,265.2163
DG(14:0_15:0)+NH4,544.4936,299.2581,285.2424,211.2056,225.2213,193.1951,207.2108,267.2319,281.2476
DG(14:0_15:1)+NH4,542.4779,297.2424,285.2424,211.2056,223.2056,193.1951,205.1951,267.2319,279.2319
DG(14:0_16:0)+NH4,558.5092,313.2737,285.2424,211.2056,239.2369,193.1951,221.2264,267.2319,295.2632
DG(14:0_16:1)+NH4,556.4936,311.2581,285.2424,211.2056,237.2213,193.1951,219.2108,267.2319,293.2476
DG(14:0_17:0)+NH4,572.5249,327.2894,285.2424,211.2056,253.2526,193.1951,235.2421,267.2319,309.2789
DG(14:0_17:1)+NH4,570.5092,325.2737,285.2424,211.2056,251.2369,193.1951,233.2264,267.2319,307.2632
DG(14:0_17:2)+NH4,568.4936,323.2581,285.2424,211.2056,249.2213,193.1951,231.2108,267.2319,305.2476
DG(14:0_18:0)+NH4,586.5405,341.305,285.2424,211.2056,267.2682,193.1951,249.2577,267.2319,323.2945
DG(14:0_18:1)+NH4,584.5249,339.2894,285.2424,211.2056,265.2526,193.1951,247.2421,267.2319,321.2789
DG(14:0_18:2)+NH4,582.5092,337.2737,285.2424,211.2056,263.2369,193.1951,245.2264,267.2319,319.2632
DG(14:0_18:3)+NH4,580.4936,335.2581,285.2424,211.2056,261.2213,193.1951,243.2108,267.2319,317.2476
DG(14:0_18:4)+NH4,578.4779,333.2424,285.2424,211.2056,259.2056,193.1951,241.1951,267.2319,315.2319
DG(14:0_19:0)+NH4,600.5562,355.3207,285.2424,211.2056,281.2839,193.1951,263.2734,267.2319,337.3102
DG(14:0_20:0)+NH4,614.5718,369.3363,285.2424,211.2056,295.2995,193.1951,277.289,267.2319,351.3258
DG(14:0_20:1)+NH4,612.5562,367.3207,285.2424,211.2056,293.2839,193.1951,275.2734,267.2319,349.3102
DG(14:0_20:2)+NH4,610.5405,365.305,285.2424,211.2056,291.2682,193.1951,273.2577,267.2319,347.2945
DG(14:0_20:3)+NH4,608.5249,363.2894,285.2424,211.2056,289.2526,193.1951,271.2421,267.2319,345.2789
DG(14:0_20:4)+NH4,606.5092,361.2737,285.2424,211.2056,287.2369,193.1951,269.2264,267.2319,343.2632
DG(14:0_20:5)+NH4,604.4936,359.2581,285.2424,211.2056,285.2213,193.1951,267.2108,267.2319,341.2476
DG(14:0_21:0)+NH4,628.5875,383.352,285.2424,211.2056,309.3152,193.1951,291.3047,267.2319,365.3415
DG(14:0_22:0)+NH4,642.6031,397.3676,285.2424,211.2056,323.3308,193.1951,305.3203,267.2319,379.3571
DG(14:0_22:1)+NH4,640.5875,395.352,285.2424,211.2056,321.3152,193.1951,303.3047,267.2319,377.3415
DG(14:0_22:2)+NH4,638.5718,393.3363,285.2424,211.2056,319.2995,193.1951,301.289,267.2319,375.3258
DG(14:0_22:3)+NH4,636.5562,391.3207,285.2424,211.2056,317.2839,193.1951,299.2734,267.2319,373.3102
DG(14:0_22:4)+NH4,634.5405,389.305,285.2424,211.2056,315.2682,193.1951,297.2577,267.2319,371.2945
DG(14:0_22:5)+NH4,632.5249,387.2894,285.2424,211.2056,313.2526,193.1951,295.2421,267.2319,369.2789
DG(14:0_22:6)+NH4,630.5092,385.2737,285.2424,211.2056,311.2369,193.1951,293.2264,267.2319,367.2632
DG(14:0_23:0)+NH4,656.6188,411.3833,285.2424,211.2056,337.3465,193.1951,319.336,267.2319,393.3728
DG(14:0_24:0)+NH4,670.6344,425.3989,285.2424,211.2056,351.3621,193.1951,333.3516,267.2319,407.3884
DG(14:0_24:1)+NH4,668.6188,423.3833,285.2424,211.2056,349.3465,193.1951,331.336,267.2319,405.3728
DG(14:0_25:0)+NH4,684.6501,439.4146,285.2424,211.2056,365.3778,193.1951,347.3673,267.2319,421.4041
DG(14:0_26:0)+NH4,698.6657,453.4302,285.2424,211.2056,379.3934,193.1951,361.3829,267.2319,435.4197
DG(14:1_14:1)+NH4,526.4467,283.2268,283.2268,209.19,209.19,191.1795,191.1795,265.2163,265.2163
DG(14:1_15:0)+NH4,542.478,299.2581,283.2268,209.19,225.2213,191.1795,207.2108,265.2163,281.2476
DG(14:1_15:1)+NH4,540.4623,297.2424,283.2268,209.19,223.2056,191.1795,205.1951,265.2163,279.2319
DG(14:1_16:0)+NH4,556.4936,313.2737,283.2268,209.19,239.2369,191.1795,221.2264,265.2163,295.2632
DG(14:1_16:1)+NH4,554.478,311.2581,283.2268,209.19,237.2213,191.1795,219.2108,265.2163,293.2476
DG(14:1_17:0)+NH4,570.5093,327.2894,283.2268,209.19,253.2526,191.1795,235.2421,265.2163,309.2789
DG(14:1_17:1)+NH4,568.4936,325.2737,283.2268,209.19,251.2369,191.1795,233.2264,265.2163,307.2632
DG(14:1_17:2)+NH4,566.478,323.2581,283.2268,209.19,249.2213,191.1795,231.2108,265.2163,305.2476
DG(14:1_18:0)+NH4,584.5249,341.305,283.2268,209.19,267.2682,191.1795,249.2577,265.2163,323.2945
DG(14:1_18:1)+NH4,582.5093,339.2894,283.2268,209.19,265.2526,191.1795,247.2421,265.2163,321.2789
DG(14:1_18:2)+NH4,580.4936,337.2737,283.2268,209.19,263.2369,191.1795,245.2264,265.2163,319.2632
DG(14:1_18:3)+NH4,578.478,335.2581,283.2268,209.19,261.2213,191.1795,243.2108,265.2163,317.2476
DG(14:1_18:4)+NH4,576.4623,333.2424,283.2268,209.19,259.2056,191.1795,241.1951,265.2163,315.2319
DG(14:1_19:0)+NH4,598.5406,355.3207,283.2268,209.19,281.2839,191.1795,263.2734,265.2163,337.3102
DG(14:1_20:0)+NH4,612.5562,369.3363,283.2268,209.19,295.2995,191.1795,277.289,265.2163,351.3258
DG(14:1_20:1)+NH4,610.5406,367.3207,283.2268,209.19,293.2839,191.1795,275.2734,265.2163,349.3102
DG(14:1_20:2)+NH4,608.5249,365.305,283.2268,209.19,291.2682,191.1795,273.2577,265.2163,347.2945
DG(14:1_20:3)+NH4,606.5093,363.2894,283.2268,209.19,289.2526,191.1795,271.2421,265.2163,345.2789
DG(14:1_20:4)+NH4,604.4936,361.2737,283.2268,209.19,287.2369,191.1795,269.2264,265.2163,343.2632
DG(14:1_20:5)+NH4,602.478,359.2581,283.2268,209.19,285.2213,191.1795,267.2108,265.2163,341.2476
DG(14:1_21:0)+NH4,626.5719,383.352,283.2268,209.19,309.3152,191.1795,291.3047,265.2163,365.3415
DG(14:1_22:0)+NH4,640.5875,397.3676,283.2268,209.19,323.3308,191.1795,305.3203,265.2163,379.3571
DG(14:1_22:1)+NH4,638.5719,395.352,283.2268,209.19,321.3152,191.1795,303.3047,265.2163,377.3415
DG(14:1_22:2)+NH4,636.5562,393.3363,283.2268,209.19,319.2995,191.1795,301.289,265.2163,375.3258
DG(14:1_22:3)+NH4,634.5406,391.3207,283.2268,209.19,317.2839,191.1795,299.2734,265.2163,373.3102
DG(14:1_22:4)+NH4,632.5249,389.305,283.2268,209.19,315.2682,191.1795,297.2577,265.2163,371.2945
DG(14:1_22:5)+NH4,630.5093,387.2894,283.2268,209.19,313.2526,191.1795,295.2421,265.2163,369.2789
DG(14:1_22:6)+NH4,628.4936,385.2737,283.2268,209.19,311.2369,191.1795,293.2264,265.2163,367.2632
DG(14:1_23:0)+NH4,654.6032,411.3833,283.2268,209.19,337.3465,191.1795,319.336,265.2163,393.3728
DG(14:1_24:0)+NH4,668.6188,425.3989,283.2268,209.19,351.3621,191.1795,333.3516,265.2163,407.3884
DG(14:1_24:1)+NH4,666.6032,423.3833,283.2268,209.19,349.3465,191.1795,331.336,265.2163,405.3728
DG(14:1_25:0)+NH4,682.6345,439.4146,283.2268,209.19,365.3778,191.1795,347.3673,265.2163,421.4041
DG(14:1_26:0)+NH4,696.6501,453.4302,283.2268,209.19,379.3934,191.1795,361.3829,265.2163,435.4197
DG(15:0_15:0)+NH4,558.5093,299.2581,299.2581,225.2213,225.2213,207.2108,207.2108,281.2476,281.2476
DG(15:0_15:1)+NH4,556.4936,297.2424,299.2581,225.2213,223.2056,207.2108,205.1951,281.2476,279.2319
DG(15:0_16:0)+NH4,572.5249,313.2737,299.2581,225.2213,239.2369,207.2108,221.2264,281.2476,295.2632
DG(15:0_16:1)+NH4,570.5093,311.2581,299.2581,225.2213,237.2213,207.2108,219.2108,281.2476,293.2476
DG(15:0_17:0)+NH4,586.5406,327.2894,299.2581,225.2213,253.2526,207.2108,235.2421,281.2476,309.2789
DG(15:0_17:1)+NH4,584.5249,325.2737,299.2581,225.2213,251.2369,207.2108,233.2264,281.2476,307.2632
DG(15:0_17:2)+NH4,582.5093,323.2581,299.2581,225.2213,249.2213,207.2108,231.2108,281.2476,305.2476
DG(15:0_18:0)+NH4,600.5562,341.305,299.2581,225.2213,267.2682,207.2108,249.2577,281.2476,323.2945
DG(15:0_18:1)+NH4,598.5406,339.2894,299.2581,225.2213,265.2526,207.2108,247.2421,281.2476,321.2789
DG(15:0_18:2)+NH4,596.5249,337.2737,299.2581,225.2213,263.2369,207.2108,245.2264,281.2476,319.2632
DG(15:0_18:3)+NH4,594.5093,335.2581,299.2581,225.2213,261.2213,207.2108,243.2108,281.2476,317.2476
DG(15:0_18:4)+NH4,592.4936,333.2424,299.2581,225.2213,259.2056,207.2108,241.1951,281.2476,315.2319
DG(15:0_19:0)+NH4,614.5719,355.3207,299.2581,225.2213,281.2839,207.2108,263.2734,281.2476,337.3102
DG(15:0_20:0)+NH4,628.5875,369.3363,299.2581,225.2213,295.2995,207.2108,277.289,281.2476,351.3258
DG(15:0_20:1)+NH4,626.5719,367.3207,299.2581,225.2213,293.2839,207.2108,275.2734,281.2476,349.3102
