Cer_NS,[M+HCO2]-,[M-H]-,[M-CO-H]-,[M-CO-3H]-,[M-CO-O-3H]-,[FA+NCCO-3H]-,[FA+NCCO-3H]-,[Sph-N-O-5H]-,[FA+N-H]-,[Sph-NCC-3H]-,[FA-3H]-
Cer_NS(d16:1/22:2)+HCO2,634.54159,588.53621,558.52561,556.50991,540.51501,376.32221,360.32731,235.20725,334.31211,209.19162,317.28561
Cer_NS(d16:1/22:3)+HCO2,632.52593,586.52055,556.50995,554.49425,538.49935,374.30655,358.31165,235.20725,332.29645,209.19162,315.26995
Cer_NS(d16:1/22:4)+HCO2,630.51027,584.50489,554.49429,552.47859,536.48369,372.29089,356.29599,235.20725,330.28079,209.19162,313.25429
Cer_NS(d16:1/23:0)+HCO2,652.58857,606.58319,576.57259,574.55689,558.56199,394.36919,378.37429,235.20725,352.35909,209.19162,335.33259
Cer_NS(d16:1/23:1)+HCO2,650.57291,604.56753,574.55693,572.54123,556.54633,392.35353,376.35863,235.20725,350.34343,209.19162,333.31693
Cer_NS(d16:1/23:2)+HCO2,648.55725,602.55187,572.54127,570.52557,554.53067,390.33787,374.34297,235.20725,348.32777,209.19162,331.30127
Cer_NS(d16:1/23:3)+HCO2,646.54159,600.53621,570.52561,568.50991,552.51501,388.32221,372.32731,235.20725,346.31211,209.19162,329.28561
Cer_NS(d16:1/23:4)+HCO2,644.52593,598.52055,568.50995,566.49425,550.49935,386.30655,370.31165,235.20725,344.29645,209.19162,327.26995
Cer_NS(d16:1/24:0)+HCO2,666.60423,620.59885,590.58825,588.57255,572.57765,408.38485,392.38995,235.20725,366.37475,209.19162,349.34825
Cer_NS(d16:1/24:1)+HCO2,664.58857,618.58319,588.57259,586.55689,570.56199,406.36919,390.37429,235.20725,364.35909,209.19162,347.33259
Cer_NS(d16:1/24:2)+HCO2,662.57291,616.56753,586.55693,584.54123,568.54633,404.35353,388.35863,235.20725,362.34343,209.19162,345.31693
Cer_NS(d16:1/24:3)+HCO2,660.55725,614.55187,584.54127,582.52557,566.53067,402.33787,386.34297,235.20725,360.32777,209.19162,343.30127
Cer_NS(d16:1/24:4)+HCO2,658.54159,612.53621,582.52561,580.50991,564.51501,400.32221,384.32731,235.20725,358.31211,209.19162,341.28561
Cer_NS(d16:1/25:0)+HCO2,680.61989,634.61451,604.60391,602.58821,586.59331,422.40051,406.40561,235.20725,380.39041,209.19162,363.36391
Cer_NS(d16:1/25:1)+HCO2,678.60423,632.59885,602.58825,600.57255,584.57765,420.38485,404.38995,235.20725,378.37475,209.19162,361.34825
Cer_NS(d16:1/25:2)+HCO2,676.58857,630.58319,600.57259,598.55689,582.56199,418.36919,402.37429,235.20725,376.35909,209.19162,359.33259
Cer_NS(d16:1/25:3)+HCO2,674.57291,628.56753,598.55693,596.54123,580.54633,416.35353,400.35863,235.20725,374.34343,209.19162,357.31693
Cer_NS(d16:1/25:4)+HCO2,672.55725,626.55187,596.54127,594.52557,578.53067,414.33787,398.34297,235.20725,372.32777,209.19162,355.30127
Cer_NS(d16:1/26:0)+HCO2,694.63555,648.63017,618.61957,616.60387,600.60897,436.41617,420.42127,235.20725,394.40607,209.19162,377.37957
Cer_NS(d16:1/26:1)+HCO2,692.61989,646.61451,616.60391,614.58821,598.59331,434.40051,418.40561,235.20725,392.39041,209.19162,375.36391
Cer_NS(d16:1/26:2)+HCO2,690.60423,644.59885,614.58825,612.57255,596.57765,432.38485,416.38995,235.20725,390.37475,209.19162,373.34825
Cer_NS(d16:1/26:3)+HCO2,688.58857,642.58319,612.57259,610.55689,594.56199,430.36919,414.37429,235.20725,388.35909,209.19162,371.33259
Cer_NS(d16:1/26:4)+HCO2,686.57291,640.56753,610.55693,608.54123,592.54633,428.35353,412.35863,235.20725,386.34343,209.19162,369.31693
Cer_NS(d16:1/27:0)+HCO2,708.65121,662.64583,632.63523,630.61953,614.62463,450.43183,434.43693,235.20725,408.42173,209.19162,391.39523
Cer_NS(d16:1/27:1)+HCO2,706.63555,660.63017,630.61957,628.60387,612.60897,448.41617,432.42127,235.20725,406.40607,209.19162,389.37957
Cer_NS(d16:1/27:2)+HCO2,704.61989,658.61451,628.60391,626.58821,610.59331,446.40051,430.40561,235.20725,404.39041,209.19162,387.36391
Cer_NS(d16:1/27:3)+HCO2,702.60423,656.59885,626.58825,624.57255,608.57765,444.38485,428.38995,235.20725,402.37475,209.19162,385.34825
Cer_NS(d16:1/27:4)+HCO2,700.58857,654.58319,624.57259,622.55689,606.56199,442.36919,426.37429,235.20725,400.35909,209.19162,383.33259
Cer_NS(d16:1/28:0)+HCO2,722.66687,676.66149,646.65089,644.63519,628.64029,464.44749,448.45259,235.20725,422.43739,209.19162,405.41089
Cer_NS(d16:1/28:1)+HCO2,720.65121,674.64583,644.63523,642.61953,626.62463,462.43183,446.43693,235.20725,420.42173,209.19162,403.39523
Cer_NS(d16:1/28:2)+HCO2,718.63555,672.63017,642.61957,640.60387,624.60897,460.41617,444.42127,235.20725,418.40607,209.19162,401.37957
Cer_NS(d16:1/28:3)+HCO2,716.61989,670.61451,640.60391,638.58821,622.59331,458.40051,442.40561,235.20725,416.39041,209.19162,399.36391
Cer_NS(d16:1/28:4)+HCO2,714.60423,668.59885,638.58825,636.57255,620.57765,456.38485,440.38995,235.20725,414.37475,209.19162,397.34825
Cer_NS(d16:1/29:0)+HCO2,736.68253,690.67715,660.66655,658.65085,642.65595,478.46315,462.46825,235.20725,436.45305,209.19162,419.42655
Cer_NS(d16:1/29:1)+HCO2,734.66687,688.66149,658.65089,656.63519,640.64029,476.44749,460.45259,235.20725,434.43739,209.19162,417.41089
Cer_NS(d16:1/29:2)+HCO2,732.65121,686.64583,656.63523,654.61953,638.62463,474.43183,458.43693,235.20725,432.42173,209.19162,415.39523
Cer_NS(d16:1/29:3)+HCO2,730.63555,684.63017,654.61957,652.60387,636.60897,472.41617,456.42127,235.20725,430.40607,209.19162,413.37957
Cer_NS(d16:1/29:4)+HCO2,728.61989,682.61451,652.60391,650.58821,634.59331,470.40051,454.40561,235.20725,428.39041,209.19162,411.36391
Cer_NS(d16:1/30:0)+HCO2,750.69819,704.69281,674.68221,672.66651,656.67161,492.47881,476.48391,235.20725,450.46871,209.19162,433.44221
Cer_NS(d16:1/30:1)+HCO2,748.68253,702.67715,672.66655,670.65085,654.65595,490.46315,474.46825,235.20725,448.45305,209.19162,431.42655
Cer_NS(d16:1/30:2)+HCO2,746.66687,700.66149,670.65089,668.63519,652.64029,488.44749,472.45259,235.20725,446.43739,209.19162,429.41089
Cer_NS(d16:1/30:3)+HCO2,744.65121,698.64583,668.63523,666.61953,650.62463,486.43183,470.43693,235.20725,444.42173,209.19162,427.39523
Cer_NS(d16:1/30:4)+HCO2,742.63555,696.63017,666.61957,664.60387,648.60897,484.41617,468.42127,235.20725,442.40607,209.19162,425.37957
Cer_NS(d16:1/31:0)+HCO2,764.71385,718.70847,688.69787,686.68217,670.68727,506.49447,490.49957,235.20725,464.48437,209.19162,447.45787
Cer_NS(d16:1/31:1)+HCO2,762.69819,716.69281,686.68221,684.66651,668.67161,504.47881,488.48391,235.20725,462.46871,209.19162,445.44221
Cer_NS(d16:1/31:2)+HCO2,760.68253,714.67715,684.66655,682.65085,666.65595,502.46315,486.46825,235.20725,460.45305,209.19162,443.42655
Cer_NS(d16:1/31:3)+HCO2,758.66687,712.66149,682.65089,680.63519,664.64029,500.44749,484.45259,235.20725,458.43739,209.19162,441.41089
Cer_NS(d16:1/31:4)+HCO2,756.65121,710.64583,680.63523,678.61953,662.62463,498.43183,482.43693,235.20725,456.42173,209.19162,439.39523
Cer_NS(d16:1/32:0)+HCO2,778.72951,732.72413,702.71353,700.69783,684.70293,520.51013,504.51523,235.20725,478.50003,209.19162,461.47353
Cer_NS(d16:1/32:1)+HCO2,776.71385,730.70847,700.69787,698.68217,682.68727,518.49447,502.49957,235.20725,476.48437,209.19162,459.45787
Cer_NS(d16:1/32:2)+HCO2,774.69819,728.69281,698.68221,696.66651,680.67161,516.47881,500.48391,235.20725,474.46871,209.19162,457.44221
Cer_NS(d16:1/32:3)+HCO2,772.68253,726.67715,696.66655,694.65085,678.65595,514.46315,498.46825,235.20725,472.45305,209.19162,455.42655
Cer_NS(d16:1/32:4)+HCO2,770.66687,724.66149,694.65089,692.63519,676.64029,512.44749,496.45259,235.20725,470.43739,209.19162,453.41089
Cer_NS(d16:1/33:0)+HCO2,792.74517,746.73979,716.72919,714.71349,698.71859,534.52579,518.53089,235.20725,492.51569,209.19162,475.48919
Cer_NS(d16:1/33:1)+HCO2,790.72951,744.72413,714.71353,712.69783,696.70293,532.51013,516.51523,235.20725,490.50003,209.19162,473.47353
Cer_NS(d16:1/33:2)+HCO2,788.71385,742.70847,712.69787,710.68217,694.68727,530.49447,514.49957,235.20725,488.48437,209.19162,471.45787
Cer_NS(d16:1/33:3)+HCO2,786.69819,740.69281,710.68221,708.66651,692.67161,528.47881,512.48391,235.20725,486.46871,209.19162,469.44221
Cer_NS(d16:1/33:4)+HCO2,784.68253,738.67715,708.66655,706.65085,690.65595,526.46315,510.46825,235.20725,484.45305,209.19162,467.42655
Cer_NS(d16:1/34:0)+HCO2,806.76083,760.75545,730.74485,728.72915,712.73425,548.54145,532.54655,235.20725,506.53135,209.19162,489.50485
Cer_NS(d16:1/34:1)+HCO2,804.74517,758.73979,728.72919,726.71349,710.71859,546.52579,530.53089,235.20725,504.51569,209.19162,487.48919
