PG,[M+NH4]+,NL Head,NL_head&H2O
PG(41:1)+NH4,864.66886,693.66296,675.628627
PG(41:2)+NH4,862.65326,691.64736,673.613027
PG(41:3)+NH4,860.63766,689.63176,671.597427
PG(41:4)+NH4,858.62196,687.61606,669.581727
PG(41:5)+NH4,856.60636,685.60046,667.566127
PG(41:6)+NH4,854.59066,683.58476,665.550427
PG(42:0)+NH4,880.70016,709.69426,691.659927
PG(42:1)+NH4,878.68456,707.67866,689.644327
PG(42:10)+NH4,860.54366,689.53776,671.503427
PG(42:11)+NH4,858.52806,687.52216,669.487827
PG(42:2)+NH4,876.66896,705.66306,687.628727
PG(42:3)+NH4,874.65326,703.64736,685.613027
PG(42:4)+NH4,872.63766,701.63176,683.597427
PG(42:5)+NH4,870.62196,699.61606,681.581727
PG(42:6)+NH4,868.60626,697.60036,679.566027
PG(42:7)+NH4,866.59066,695.58476,677.550427
PG(42:8)+NH4,864.57496,693.56906,675.534727
PG(42:9)+NH4,862.55936,691.55346,673.519127
PG(43:0)+NH4,894.71586,723.70996,705.675627
PG(43:1)+NH4,892.70016,721.69426,703.659927
PG(43:2)+NH4,890.68456,719.67866,701.644327
PG(43:3)+NH4,888.66896,717.66306,699.628727
PG(43:4)+NH4,886.65326,715.64736,697.613027
PG(43:5)+NH4,884.63766,713.63176,695.597427
PG(43:6)+NH4,882.62196,711.61606,693.581727
PG(44:0)+NH4,908.73146,737.72556,719.691227
PG(44:1)+NH4,906.71586,735.70996,717.675627
PG(44:10)+NH4,888.57496,717.56906,699.534727
PG(44:11)+NH4,886.55936,715.55346,697.519127
PG(44:12)+NH4,884.54366,713.53776,695.503427
PG(44:2)+NH4,904.70016,733.69426,715.659927
PG(44:3)+NH4,902.68456,731.67866,713.644327
PG(44:4)+NH4,900.66886,729.66296,711.628627
PG(44:5)+NH4,898.65326,727.64736,709.613027
PG(44:6)+NH4,896.63766,725.63176,707.597427
PG(44:7)+NH4,894.62196,723.61606,705.581727
PG(44:8)+NH4,892.60626,721.60036,703.566027
PG(44:9)+NH4,890.59066,719.58476,701.550427
PG(45:0)+NH4,922.74716,751.74126,733.706927
PG(45:1)+NH4,920.73156,749.72566,731.691327
PG(45:2)+NH4,918.71586,747.70996,729.675627
PG(45:3)+NH4,916.70026,745.69436,727.660027
PG(45:4)+NH4,914.68456,743.67866,725.644327
PG(45:5)+NH4,912.66896,741.66306,723.628727
PG(45:6)+NH4,910.65326,739.64736,721.613027
PG(46:0)+NH4,936.76276,765.75686,747.722527
PG(46:1)+NH4,934.74716,763.74126,745.706927
PG(46:2)+NH4,932.73146,761.72556,743.691227
PG(46:3)+NH4,930.71586,759.70996,741.675627
PG(46:4)+NH4,928.70016,757.69426,739.659927
PG(46:5)+NH4,926.68456,755.67866,737.644327
PG(46:6)+NH4,924.66896,753.66306,735.628727
PG(46:7)+NH4,922.65326,751.64736,733.613027
PG(47:0)+NH4,950.77846,779.77256,761.738227
PG(47:1)+NH4,948.76286,777.75696,759.722627
PG(47:2)+NH4,946.74716,775.74126,757.706927
