PS,[M-H]-,M-Serine,GlyceroPC_NLCH3&H2O, Glycerol-3-phosphate_NLH2O,H2PO4-,PO3-
PS(37:0)-H,804.5761,717.54408,224.06881,152.99586,96.96964,78.95852
PS(37:1)-H,802.5605,715.52848,224.06881,152.99586,96.96964,78.95852
PS(37:2)-H,800.5448,713.51278,224.06881,152.99586,96.96964,78.95852
PS(37:3)-H,798.5292,711.49718,224.06881,152.99586,96.96964,78.95852
PS(37:4)-H,796.5135,709.48148,224.06881,152.99586,96.96964,78.95852
PS(37:5)-H,794.4979,707.46588,224.06881,152.99586,96.96964,78.95852
PS(37:6)-H,792.4822,705.45018,224.06881,152.99586,96.96964,78.95852
PS(37:7)-H,790.4665,703.43448,224.06881,152.99586,96.96964,78.95852
PS(38:0)-H,818.5917,731.55968,224.06881,152.99586,96.96964,78.95852
PS(38:1)-H,816.5761,729.54408,224.06881,152.99586,96.96964,78.95852
PS(38:2)-H,814.5605,727.52848,224.06881,152.99586,96.96964,78.95852
PS(38:3)-H,812.5448,725.51278,224.06881,152.99586,96.96964,78.95852
PS(38:4)-H,810.5291,723.49708,224.06881,152.99586,96.96964,78.95852
PS(38:5)-H,808.5135,721.48148,224.06881,152.99586,96.96964,78.95852
PS(38:6)-H,806.4978,719.46578,224.06881,152.99586,96.96964,78.95852
PS(38:7)-H,804.4822,717.45018,224.06881,152.99586,96.96964,78.95852
PS(38:8)-H,802.4666,715.43458,224.06881,152.99586,96.96964,78.95852
PS(38:9)-H,800.4509,713.41888,224.06881,152.99586,96.96964,78.95852
PS(39:0)-H,832.6074,745.57538,224.06881,152.99586,96.96964,78.95852
PS(39:1)-H,830.5918,743.55978,224.06881,152.99586,96.96964,78.95852
PS(39:2)-H,828.5761,741.54408,224.06881,152.99586,96.96964,78.95852
PS(39:3)-H,826.5605,739.52848,224.06881,152.99586,96.96964,78.95852
PS(39:4)-H,824.5448,737.51278,224.06881,152.99586,96.96964,78.95852
PS(39:5)-H,822.5292,735.49718,224.06881,152.99586,96.96964,78.95852
PS(39:6)-H,820.5135,733.48148,224.06881,152.99586,96.96964,78.95852
PS(39:7)-H,818.4978,731.46578,224.06881,152.99586,96.96964,78.95852
PS(39:8)-H,816.4822,729.45018,224.06881,152.99586,96.96964,78.95852
PS(40:0)-H,846.623,759.59098,224.06881,152.99586,96.96964,78.95852
PS(40:1)-H,844.6074,757.57538,224.06881,152.99586,96.96964,78.95852
PS(40:10)-H,826.4665,739.43448,224.06881,152.99586,96.96964,78.95852
PS(40:2)-H,842.5918,755.55978,224.06881,152.99586,96.96964,78.95852
PS(40:3)-H,840.5761,753.54408,224.06881,152.99586,96.96964,78.95852
PS(40:4)-H,838.5604,751.52838,224.06881,152.99586,96.96964,78.95852
PS(40:5)-H,836.5448,749.51278,224.06881,152.99586,96.96964,78.95852
PS(40:6)-H,834.5291,747.49708,224.06881,152.99586,96.96964,78.95852
PS(40:7)-H,832.5135,745.48148,224.06881,152.99586,96.96964,78.95852
PS(40:8)-H,830.4978,743.46578,224.06881,152.99586,96.96964,78.95852
