PE,[M+H]+,NL_head,NL_T1RCO,NL_T2RCO,T1_RCO+,T2_RCO+,head
PE(10:0_22:1)+H,690.50688,549.48777,395.35202,229.17982,155.14305,321.31525,142.02639
PE(10:0_22:2)+H,688.49118,547.47207,393.33632,229.17982,155.14305,319.29955,142.02639
PE(10:0_22:3)+H,686.47558,545.45647,391.32072,229.17982,155.14305,317.28395,142.02639
PE(10:0_22:4)+H,684.45988,543.44077,389.30502,229.17982,155.14305,315.26825,142.02639
PE(10:0_22:5)+H,682.44428,541.42517,387.28942,229.17982,155.14305,313.25265,142.02639
PE(10:0_22:6)+H,680.42858,539.40947,385.27372,229.17982,155.14305,311.23695,142.02639
PE(10:0_23:0)+H,706.53818,565.51907,411.38332,229.17982,155.14305,337.34655,142.02639
PE(10:0_24:0)+H,720.55378,579.53467,425.39892,229.17982,155.14305,351.36215,142.02639
PE(10:0_24:1)+H,718.53818,577.51907,423.38332,229.17982,155.14305,349.34655,142.02639
PE(10:0_25:0)+H,734.56948,593.55037,439.41462,229.17982,155.14305,365.37785,142.02639
PE(10:0_26:0)+H,748.58508,607.56597,453.43022,229.17982,155.14305,379.39345,142.02639
PE(12:0_12:0)+H,580.39728,439.37817,257.21112,257.21112,183.17435,183.17435,142.02639
PE(12:0_13:0)+H,594.41298,453.39387,271.22682,257.21112,183.17435,197.19005,142.02639
PE(12:0_14:0)+H,608.42858,467.40947,285.24242,257.21112,183.17435,211.20565,142.02639
PE(12:0_14:1)+H,606.41298,465.39387,283.22682,257.21112,183.17435,209.19005,142.02639
PE(12:0_15:0)+H,622.44428,481.42517,299.25812,257.21112,183.17435,225.22135,142.02639
PE(12:0_15:1)+H,620.42858,479.40947,297.24242,257.21112,183.17435,223.20565,142.02639
PE(12:0_16:0)+H,636.45988,495.44077,313.27372,257.21112,183.17435,239.23695,142.02639
PE(12:0_16:1)+H,634.44428,493.42517,311.25812,257.21112,183.17435,237.22135,142.02639
PE(12:0_17:0)+H,650.47558,509.45647,327.28942,257.21112,183.17435,253.25265,142.02639
PE(12:0_17:1)+H,648.45988,507.44077,325.27372,257.21112,183.17435,251.23695,142.02639
PE(12:0_17:2)+H,646.44428,505.42517,323.25812,257.21112,183.17435,249.22135,142.02639
PE(12:0_18:0)+H,664.49118,523.47207,341.30502,257.21112,183.17435,267.26825,142.02639
PE(12:0_18:1)+H,662.47558,521.45647,339.28942,257.21112,183.17435,265.25265,142.02639
PE(12:0_18:2)+H,660.45988,519.44077,337.27372,257.21112,183.17435,263.23695,142.02639
PE(12:0_18:3)+H,658.44428,517.42517,335.25812,257.21112,183.17435,261.22135,142.02639
PE(12:0_18:4)+H,656.42858,515.40947,333.24242,257.21112,183.17435,259.20565,142.02639
PE(12:0_19:0)+H,678.50688,537.48777,355.32072,257.21112,183.17435,281.28395,142.02639
PE(12:0_20:0)+H,692.52248,551.50337,369.33632,257.21112,183.17435,295.29955,142.02639
PE(12:0_20:1)+H,690.50688,549.48777,367.32072,257.21112,183.17435,293.28395,142.02639
PE(12:0_20:2)+H,688.49118,547.47207,365.30502,257.21112,183.17435,291.26825,142.02639
PE(12:0_20:3)+H,686.47558,545.45647,363.28942,257.21112,183.17435,289.25265,142.02639
PE(12:0_20:4)+H,684.45988,543.44077,361.27372,257.21112,183.17435,287.23695,142.02639
PE(12:0_20:5)+H,682.44428,541.42517,359.25812,257.21112,183.17435,285.22135,142.02639
PE(12:0_21:0)+H,706.53818,565.51907,383.35202,257.21112,183.17435,309.31525,142.02639
PE(12:0_22:0)+H,720.55378,579.53467,397.36762,257.21112,183.17435,323.33085,142.02639
PE(12:0_22:1)+H,718.53818,577.51907,395.35202,257.21112,183.17435,321.31525,142.02639
PE(12:0_22:2)+H,716.52248,575.50337,393.33632,257.21112,183.17435,319.29955,142.02639
PE(12:0_22:3)+H,714.50688,573.48777,391.32072,257.21112,183.17435,317.28395,142.02639
PE(12:0_22:4)+H,712.49118,571.47207,389.30502,257.21112,183.17435,315.26825,142.02639
PE(12:0_22:5)+H,710.47558,569.45647,387.28942,257.21112,183.17435,313.25265,142.02639
PE(12:0_22:6)+H,708.45988,567.44077,385.27372,257.21112,183.17435,311.23695,142.02639
PE(12:0_23:0)+H,734.56948,593.55037,411.38332,257.21112,183.17435,337.34655,142.02639
PE(12:0_24:0)+H,748.58508,607.56597,425.39892,257.21112,183.17435,351.36215,142.02639
PE(12:0_24:1)+H,746.56948,605.55037,423.38332,257.21112,183.17435,349.34655,142.02639
PE(12:0_25:0)+H,762.60078,621.58167,439.41462,257.21112,183.17435,365.37785,142.02639
PE(12:0_26:0)+H,776.61638,635.59727,453.43022,257.21112,183.17435,379.39345,142.02639
PE(13:0_13:0)+H,608.42868,467.40957,271.22682,271.22682,197.19005,197.19005,142.02639
PE(13:0_14:0)+H,622.44428,481.42517,285.24242,271.22682,197.19005,211.20565,142.02639
PE(13:0_14:1)+H,620.42868,479.40957,283.22682,271.22682,197.19005,209.19005,142.02639
PE(13:0_15:0)+H,636.45998,495.44087,299.25812,271.22682,197.19005,225.22135,142.02639
PE(13:0_15:1)+H,634.44428,493.42517,297.24242,271.22682,197.19005,223.20565,142.02639
PE(13:0_16:0)+H,650.47558,509.45647,313.27372,271.22682,197.19005,239.23695,142.02639
PE(13:0_16:1)+H,648.45998,507.44087,311.25812,271.22682,197.19005,237.22135,142.02639
PE(13:0_17:0)+H,664.49128,523.47217,327.28942,271.22682,197.19005,253.25265,142.02639
PE(13:0_17:1)+H,662.47558,521.45647,325.27372,271.22682,197.19005,251.23695,142.02639
PE(13:0_17:2)+H,660.45998,519.44087,323.25812,271.22682,197.19005,249.22135,142.02639
PE(13:0_18:0)+H,678.50688,537.48777,341.30502,271.22682,197.19005,267.26825,142.02639
PE(13:0_18:1)+H,676.49128,535.47217,339.28942,271.22682,197.19005,265.25265,142.02639
PE(13:0_18:2)+H,674.47558,533.45647,337.27372,271.22682,197.19005,263.23695,142.02639
PE(13:0_18:3)+H,672.45998,531.44087,335.25812,271.22682,197.19005,261.22135,142.02639
PE(13:0_18:4)+H,670.44428,529.42517,333.24242,271.22682,197.19005,259.20565,142.02639
PE(13:0_19:0)+H,692.52258,551.50347,355.32072,271.22682,197.19005,281.28395,142.02639
PE(13:0_20:0)+H,706.53818,565.51907,369.33632,271.22682,197.19005,295.29955,142.02639
PE(13:0_20:1)+H,704.52258,563.50347,367.32072,271.22682,197.19005,293.28395,142.02639
PE(13:0_20:2)+H,702.50688,561.48777,365.30502,271.22682,197.19005,291.26825,142.02639
PE(13:0_20:3)+H,700.49128,559.47217,363.28942,271.22682,197.19005,289.25265,142.02639
PE(13:0_20:4)+H,698.47558,557.45647,361.27372,271.22682,197.19005,287.23695,142.02639
PE(13:0_20:5)+H,696.45998,555.44087,359.25812,271.22682,197.19005,285.22135,142.02639
PE(13:0_21:0)+H,720.55388,579.53477,383.35202,271.22682,197.19005,309.31525,142.02639
PE(13:0_22:0)+H,734.56948,593.55037,397.36762,271.22682,197.19005,323.33085,142.02639
PE(13:0_22:1)+H,732.55388,591.53477,395.35202,271.22682,197.19005,321.31525,142.02639
PE(13:0_22:2)+H,730.53818,589.51907,393.33632,271.22682,197.19005,319.29955,142.02639
PE(13:0_22:3)+H,728.52258,587.50347,391.32072,271.22682,197.19005,317.28395,142.02639
PE(13:0_22:4)+H,726.50688,585.48777,389.30502,271.22682,197.19005,315.26825,142.02639
PE(13:0_22:5)+H,724.49128,583.47217,387.28942,271.22682,197.19005,313.25265,142.02639
PE(13:0_22:6)+H,722.47558,581.45647,385.27372,271.22682,197.19005,311.23695,142.02639
PE(13:0_23:0)+H,748.58518,607.56607,411.38332,271.22682,197.19005,337.34655,142.02639
PE(13:0_24:0)+H,762.60078,621.58167,425.39892,271.22682,197.19005,351.36215,142.02639
PE(13:0_24:1)+H,760.58518,619.56607,423.38332,271.22682,197.19005,349.34655,142.02639
PE(13:0_25:0)+H,776.61648,635.59737,439.41462,271.22682,197.19005,365.37785,142.02639
PE(13:0_26:0)+H,790.63208,649.61297,453.43022,271.22682,197.19005,379.39345,142.02639
PE(14:0_14:0)+H,636.45988,495.44077,285.24242,285.24242,211.20565,211.20565,142.02639
PE(14:0_14:1)+H,634.44428,493.42517,283.22682,285.24242,211.20565,209.19005,142.02639
PE(14:0_15:0)+H,650.47558,509.45647,299.25812,285.24242,211.20565,225.22135,142.02639
PE(14:0_15:1)+H,648.45988,507.44077,297.24242,285.24242,211.20565,223.20565,142.02639
PE(14:0_16:0)+H,664.49118,523.47207,313.27372,285.24242,211.20565,239.23695,142.02639
PE(14:0_16:1)+H,662.47558,521.45647,311.25812,285.24242,211.20565,237.22135,142.02639
PE(14:0_17:0)+H,678.50688,537.48777,327.28942,285.24242,211.20565,253.25265,142.02639
PE(14:0_17:1)+H,676.49118,535.47207,325.27372,285.24242,211.20565,251.23695,142.02639
PE(14:0_17:2)+H,674.47558,533.45647,323.25812,285.24242,211.20565,249.22135,142.02639
PE(14:0_18:0)+H,692.52248,551.50337,341.30502,285.24242,211.20565,267.26825,142.02639
PE(14:0_18:1)+H,690.50688,549.48777,339.28942,285.24242,211.20565,265.25265,142.02639
PE(14:0_18:2)+H,688.49118,547.47207,337.27372,285.24242,211.20565,263.23695,142.02639
PE(14:0_18:3)+H,686.47558,545.45647,335.25812,285.24242,211.20565,261.22135,142.02639
PE(14:0_18:4)+H,684.45988,543.44077,333.24242,285.24242,211.20565,259.20565,142.02639
PE(14:0_19:0)+H,706.53818,565.51907,355.32072,285.24242,211.20565,281.28395,142.02639
PE(14:0_20:0)+H,720.55378,579.53467,369.33632,285.24242,211.20565,295.29955,142.02639
PE(14:0_20:1)+H,718.53818,577.51907,367.32072,285.24242,211.20565,293.28395,142.02639
PE(14:0_20:2)+H,716.52248,575.50337,365.30502,285.24242,211.20565,291.26825,142.02639
PE(14:0_20:3)+H,714.50688,573.48777,363.28942,285.24242,211.20565,289.25265,142.02639
PE(14:0_20:4)+H,712.49118,571.47207,361.27372,285.24242,211.20565,287.23695,142.02639
PE(14:0_20:5)+H,710.47558,569.45647,359.25812,285.24242,211.20565,285.22135,142.02639
PE(14:0_21:0)+H,734.56948,593.55037,383.35202,285.24242,211.20565,309.31525,142.02639
PE(14:0_22:0)+H,748.58508,607.56597,397.36762,285.24242,211.20565,323.33085,142.02639
PE(14:0_22:1)+H,746.56948,605.55037,395.35202,285.24242,211.20565,321.31525,142.02639
PE(14:0_22:2)+H,744.55378,603.53467,393.33632,285.24242,211.20565,319.29955,142.02639
PE(14:0_22:3)+H,742.53818,601.51907,391.32072,285.24242,211.20565,317.28395,142.02639
PE(14:0_22:4)+H,740.52248,599.50337,389.30502,285.24242,211.20565,315.26825,142.02639
PE(14:0_22:5)+H,738.50688,597.48777,387.28942,285.24242,211.20565,313.25265,142.02639
PE(14:0_22:6)+H,736.49118,595.47207,385.27372,285.24242,211.20565,311.23695,142.02639
PE(14:0_23:0)+H,762.60078,621.58167,411.38332,285.24242,211.20565,337.34655,142.02639
