GM3,[M-H]-,[M-290-H]-,[C11H17NO8-H]-,[C3H4O3-H]-
GM3(d26:0)-H,1041.596,750.5002,290.0881,87.00877
GM3(d26:1)-H,1039.58,748.4842,290.0881,87.00877
GM3(d26:2)-H,1037.564,746.4682,290.0881,87.00877
GM3(d27:0)-H,1055.611,764.5152,290.0881,87.00877
GM3(d27:1)-H,1053.596,762.5002,290.0881,87.00877
GM3(d27:2)-H,1051.58,760.4842,290.0881,87.00877
GM3(d28:0)-H,1069.627,778.5312,290.0881,87.00877
GM3(d28:1)-H,1067.611,776.5152,290.0881,87.00877
GM3(d28:2)-H,1065.596,774.5002,290.0881,87.00877
GM3(d29:0)-H,1083.643,792.5472,290.0881,87.00877
GM3(d29:1)-H,1081.627,790.5312,290.0881,87.00877
GM3(d29:2)-H,1079.611,788.5152,290.0881,87.00877
GM3(d30:0)-H,1097.658,806.5622,290.0881,87.00877
GM3(d30:1)-H,1095.643,804.5472,290.0881,87.00877
GM3(d30:2)-H,1093.627,802.5312,290.0881,87.00877
GM3(d30:3)-H,1091.611,800.5152,290.0881,87.00877
GM3(d31:0)-H,1111.674,820.5782,290.0881,87.00877
GM3(d31:1)-H,1109.658,818.5622,290.0881,87.00877
GM3(d31:2)-H,1107.643,816.5472,290.0881,87.00877
GM3(d31:3)-H,1105.627,814.5312,290.0881,87.00877
GM3(d32:0)-H,1125.69,834.5942,290.0881,87.00877
GM3(d32:1)-H,1123.674,832.5782,290.0881,87.00877
GM3(d32:2)-H,1121.658,830.5622,290.0881,87.00877
GM3(d32:3)-H,1119.643,828.5472,290.0881,87.00877
GM3(d33:0)-H,1139.705,848.6092,290.0881,87.00877
GM3(d33:1)-H,1137.69,846.5942,290.0881,87.00877
GM3(d33:2)-H,1135.674,844.5782,290.0881,87.00877
GM3(d33:3)-H,1133.658,842.5622,290.0881,87.00877
GM3(d34:0)-H,1153.721,862.6252,290.0881,87.00877
GM3(d34:1)-H,1151.705,860.6092,290.0881,87.00877
GM3(d34:2)-H,1149.69,858.5942,290.0881,87.00877
GM3(d34:3)-H,1147.674,856.5782,290.0881,87.00877
GM3(d35:0)-H,1167.737,876.6412,290.0881,87.00877
GM3(d35:1)-H,1165.721,874.6252,290.0881,87.00877
GM3(d35:2)-H,1163.705,872.6092,290.0881,87.00877
GM3(d35:3)-H,1161.69,870.5942,290.0881,87.00877
GM3(d36:0)-H,1181.752,890.6562,290.0881,87.00877
GM3(d36:1)-H,1179.737,888.6412,290.0881,87.00877
GM3(d36:2)-H,1177.721,886.6252,290.0881,87.00877
GM3(d36:3)-H,1175.705,884.6092,290.0881,87.00877
GM3(d37:0)-H,1195.768,904.6722,290.0881,87.00877
GM3(d37:1)-H,1193.752,902.6562,290.0881,87.00877
GM3(d37:2)-H,1191.737,900.6412,290.0881,87.00877
GM3(d37:3)-H,1189.721,898.6252,290.0881,87.00877
GM3(d38:0)-H,1209.783,918.6872,290.0881,87.00877
GM3(d38:1)-H,1207.768,916.6722,290.0881,87.00877
GM3(d38:2)-H,1205.752,914.6562,290.0881,87.00877
GM3(d38:3)-H,1203.737,912.6412,290.0881,87.00877
GM3(d39:0)-H,1223.799,932.7032,290.0881,87.00877
GM3(d39:1)-H,1221.783,930.6872,290.0881,87.00877
GM3(d39:2)-H,1219.768,928.6722,290.0881,87.00877
GM3(d39:3)-H,1217.752,926.6562,290.0881,87.00877
GM3(d40:0)-H,1237.815,946.7192,290.0881,87.00877
GM3(d40:1)-H,1235.799,944.7032,290.0881,87.00877
GM3(d40:2)-H,1233.783,942.6872,290.0881,87.00877
GM3(d40:3)-H,1231.768,940.6722,290.0881,87.00877
GM3(d41:0)-H,1251.83,960.7342,290.0881,87.00877
GM3(d41:1)-H,1249.815,958.7192,290.0881,87.00877
GM3(d41:2)-H,1247.799,956.7032,290.0881,87.00877
GM3(d41:3)-H,1245.783,954.6872,290.0881,87.00877
GM3(d42:0)-H,1265.846,974.7502,290.0881,87.00877
GM3(d42:1)-H,1263.83,972.7342,290.0881,87.00877
GM3(d42:2)-H,1261.815,970.7192,290.0881,87.00877
GM3(d42:3)-H,1259.799,968.7032,290.0881,87.00877
GM3(d43:0)-H,1279.862,988.7662,290.0881,87.00877
GM3(d43:1)-H,1277.846,986.7502,290.0881,87.00877
GM3(d43:2)-H,1275.83,984.7342,290.0881,87.00877
GM3(d43:3)-H,1273.815,982.7192,290.0881,87.00877
GM3(d44:0)-H,1293.877,1002.781,290.0881,87.00877
GM3(d44:1)-H,1291.862,1000.766,290.0881,87.00877
GM3(d44:2)-H,1289.846,998.7502,290.0881,87.00877
GM3(d44:3)-H,1287.83,996.7342,290.0881,87.00877
GM3(d45:0)-H,1307.893,1016.797,290.0881,87.00877
GM3(d45:1)-H,1305.877,1014.781,290.0881,87.00877
GM3(d45:2)-H,1303.862,1012.766,290.0881,87.00877
GM3(d45:3)-H,1301.846,1010.75,290.0881,87.00877
GM3(d46:0)-H,1321.909,1030.813,290.0881,87.00877
GM3(d46:1)-H,1319.893,1028.797,290.0881,87.00877
GM3(d46:2)-H,1317.877,1026.781,290.0881,87.00877
GM3(d46:3)-H,1315.862,1024.766,290.0881,87.00877
GM3(d47:0)-H,1335.924,1044.828,290.0881,87.00877
GM3(d47:1)-H,1333.909,1042.813,290.0881,87.00877
GM3(d47:2)-H,1331.893,1040.797,290.0881,87.00877
GM3(d47:3)-H,1329.877,1038.781,290.0881,87.00877
GM3(d48:0)-H,1349.94,1058.844,290.0881,87.00877
GM3(d48:1)-H,1347.924,1056.828,290.0881,87.00877
GM3(d48:2)-H,1345.909,1054.813,290.0881,87.00877
GM3(d48:3)-H,1343.893,1052.797,290.0881,87.00877
GM3(d49:0)-H,1363.956,1072.86,290.0881,87.00877
GM3(d49:1)-H,1361.94,1070.844,290.0881,87.00877
GM3(d49:2)-H,1359.924,1068.828,290.0881,87.00877
GM3(d49:3)-H,1357.909,1066.813,290.0881,87.00877
GM3(d50:0)-H,1377.971,1086.875,290.0881,87.00877
GM3(d50:1)-H,1375.956,1084.86,290.0881,87.00877
GM3(d50:2)-H,1373.94,1082.844,290.0881,87.00877
GM3(d50:3)-H,1371.924,1080.828,290.0881,87.00877
GM3(d51:0)-H,1391.987,1100.891,290.0881,87.00877
GM3(d51:1)-H,1389.971,1098.875,290.0881,87.00877
GM3(d51:2)-H,1387.956,1096.86,290.0881,87.00877
GM3(d51:3)-H,1385.94,1094.844,290.0881,87.00877
GM3(d52:0)-H,1406.002,1114.906,290.0881,87.00877
GM3(d52:1)-H,1403.987,1112.891,290.0881,87.00877
GM3(d52:2)-H,1401.971,1110.875,290.0881,87.00877
GM3(d52:3)-H,1399.956,1108.86,290.0881,87.00877
GM3(d53:0)-H,1420.018,1128.922,290.0881,87.00877
GM3(d53:1)-H,1418.002,1126.906,290.0881,87.00877
GM3(d53:2)-H,1415.987,1124.891,290.0881,87.00877
GM3(d53:3)-H,1413.971,1122.875,290.0881,87.00877
GM3(d54:0)-H,1434.034,1142.938,290.0881,87.00877
GM3(d54:1)-H,1432.018,1140.922,290.0881,87.00877
GM3(d54:2)-H,1430.002,1138.906,290.0881,87.00877
GM3(d54:3)-H,1427.987,1136.891,290.0881,87.00877
GM3(d55:0)-H,1448.049,1156.953,290.0881,87.00877
GM3(d55:1)-H,1446.034,1154.938,290.0881,87.00877
GM3(d55:2)-H,1444.018,1152.922,290.0881,87.00877
GM3(d55:3)-H,1442.002,1150.906,290.0881,87.00877
GM3(d56:0)-H,1462.065,1170.969,290.0881,87.00877
GM3(d56:1)-H,1460.049,1168.953,290.0881,87.00877
GM3(d56:2)-H,1458.034,1166.938,290.0881,87.00877
GM3(d56:3)-H,1456.018,1164.922,290.0881,87.00877
GM3(d57:0)-H,1476.081,1184.985,290.0881,87.00877
GM3(d57:1)-H,1474.065,1182.969,290.0881,87.00877
GM3(d57:2)-H,1472.049,1180.953,290.0881,87.00877
GM3(d57:3)-H,1470.034,1178.938,290.0881,87.00877
GM3(d58:0)-H,1490.096,1199,290.0881,87.00877
GM3(d58:1)-H,1488.081,1196.985,290.0881,87.00877
GM3(d58:2)-H,1486.065,1194.969,290.0881,87.00877
GM3(d58:3)-H,1484.049,1192.953,290.0881,87.00877
GM3(d59:0)-H,1504.112,1213.016,290.0881,87.00877
GM3(d59:1)-H,1502.096,1211,290.0881,87.00877
GM3(d59:2)-H,1500.081,1208.985,290.0881,87.00877
GM3(d59:3)-H,1498.065,1206.969,290.0881,87.00877
GM3(d60:0)-H,1518.128,1227.032,290.0881,87.00877
GM3(d60:1)-H,1516.112,1225.016,290.0881,87.00877
GM3(d60:2)-H,1514.096,1223,290.0881,87.00877
GM3(d60:3)-H,1512.081,1220.985,290.0881,87.00877
GM3(d61:0)-H,1532.143,1241.047,290.0881,87.00877
GM3(d61:1)-H,1530.128,1239.032,290.0881,87.00877
GM3(d61:2)-H,1528.112,1237.016,290.0881,87.00877
GM3(d61:3)-H,1526.096,1235,290.0881,87.00877
GM3(d62:0)-H,1546.159,1255.063,290.0881,87.00877
GM3(d62:1)-H,1544.143,1253.047,290.0881,87.00877
GM3(d62:2)-H,1542.128,1251.032,290.0881,87.00877
GM3(d62:3)-H,1540.112,1249.016,290.0881,87.00877
GM3(d63:0)-H,1560.175,1269.079,290.0881,87.00877
GM3(d63:1)-H,1558.159,1267.063,290.0881,87.00877
GM3(d63:2)-H,1556.143,1265.047,290.0881,87.00877
GM3(d63:3)-H,1554.128,1263.032,290.0881,87.00877
GM3(d64:0)-H,1574.19,1283.094,290.0881,87.00877
GM3(d64:1)-H,1572.175,1281.079,290.0881,87.00877
GM3(d64:2)-H,1570.159,1279.063,290.0881,87.00877
GM3(d64:3)-H,1568.143,1277.047,290.0881,87.00877
GM3(d65:0)-H,1588.206,1297.11,290.0881,87.00877
GM3(d65:1)-H,1586.19,1295.094,290.0881,87.00877
GM3(d65:2)-H,1584.175,1293.079,290.0881,87.00877
GM3(d65:3)-H,1582.159,1291.063,290.0881,87.00877
GM3(d66:0)-H,1602.222,1311.126,290.0881,87.00877
GM3(d66:1)-H,1600.206,1309.11,290.0881,87.00877
GM3(d66:2)-H,1598.19,1307.094,290.0881,87.00877
GM3(d66:3)-H,1596.175,1305.079,290.0881,87.00877
GM3(d67:0)-H,1616.237,1325.141,290.0881,87.00877
GM3(d67:1)-H,1614.222,1323.126,290.0881,87.00877
GM3(d67:2)-H,1612.206,1321.11,290.0881,87.00877
GM3(d67:3)-H,1610.19,1319.094,290.0881,87.00877
GM3(d68:0)-H,1630.253,1339.157,290.0881,87.00877
GM3(d68:1)-H,1628.237,1337.141,290.0881,87.00877
GM3(d68:2)-H,1626.222,1335.126,290.0881,87.00877
GM3(d68:3)-H,1624.206,1333.11,290.0881,87.00877
GM3(d69:0)-H,1644.269,1353.173,290.0881,87.00877
GM3(d69:1)-H,1642.253,1351.157,290.0881,87.00877
GM3(d69:2)-H,1640.237,1349.141,290.0881,87.00877
GM3(d69:3)-H,1638.222,1347.126,290.0881,87.00877
GM3(d70:0)-H,1658.284,1367.188,290.0881,87.00877
GM3(d70:1)-H,1656.269,1365.173,290.0881,87.00877
GM3(d70:2)-H,1654.253,1363.157,290.0881,87.00877
GM3(d70:3)-H,1652.237,1361.141,290.0881,87.00877
GM3(d71:0)-H,1672.3,1381.204,290.0881,87.00877
GM3(d71:1)-H,1670.284,1379.188,290.0881,87.00877
GM3(d71:2)-H,1668.269,1377.173,290.0881,87.00877
GM3(d71:3)-H,1666.253,1375.157,290.0881,87.00877
GM3(d72:0)-H,1686.315,1395.219,290.0881,87.00877
GM3(d72:1)-H,1684.3,1393.204,290.0881,87.00877
