PS,[M+Na]+,Phosphoserine+Na
PS(44:10)+Na,906.5255249,207.99872
PS(44:11)+Na,904.5099249,207.99872
PS(44:12)+Na,902.4942249,207.99872
PS(44:2)+Na,922.6507249,207.99872
PS(44:3)+Na,920.6351249,207.99872
PS(44:4)+Na,918.6194249,207.99872
PS(44:5)+Na,916.6038249,207.99872
PS(44:6)+Na,914.5882249,207.99872
PS(44:7)+Na,912.5725249,207.99872
PS(44:8)+Na,910.5568249,207.99872
PS(44:9)+Na,908.5412249,207.99872
PS(45:0)+Na,940.6977249,207.99872
PS(45:1)+Na,938.6821249,207.99872
PS(45:2)+Na,936.6664249,207.99872
PS(45:3)+Na,934.6508249,207.99872
PS(45:4)+Na,932.6351249,207.99872
PS(45:5)+Na,930.6195249,207.99872
PS(45:6)+Na,928.6038249,207.99872
PS(46:0)+Na,954.7133249,207.99872
PS(46:1)+Na,952.6977249,207.99872
PS(46:2)+Na,950.6820249,207.99872
PS(46:3)+Na,948.6664249,207.99872
PS(46:4)+Na,946.6507249,207.99872
PS(46:5)+Na,944.6351249,207.99872
PS(46:6)+Na,942.6195249,207.99872
PS(46:7)+Na,940.6038249,207.99872
PS(47:0)+Na,968.7290249,207.99872
PS(47:1)+Na,966.7134249,207.99872
PS(47:2)+Na,964.6977249,207.99872
PS(47:3)+Na,962.6821249,207.99872
PS(47:4)+Na,960.6664249,207.99872
PS(47:5)+Na,958.6508249,207.99872
PS(47:6)+Na,956.6351249,207.99872
PS(48:0)+Na,982.7446249,207.99872
PS(48:1)+Na,980.7290249,207.99872
PS(48:2)+Na,978.7133249,207.99872
PS(48:3)+Na,976.6977249,207.99872
PS(48:4)+Na,974.6820249,207.99872
PS(48:5)+Na,972.6664249,207.99872
PS(48:6)+Na,970.6507249,207.99872
PS(49:0)+Na,996.7603249,207.99872
PS(49:1)+Na,994.7447249,207.99872
PS(50:0)+Na,1010.775925,207.99872
PS(50:1)+Na,1008.760325,207.99872
PS(51:0)+Na,1024.791625,207.99872
PS(52:0)+Na,1038.807225,207.99872
