GlcCer_NS,[M+HCO2]-,[M-H]-,[M-C6H10O5-H]-,[FAA+C2H3-H]-,[FAA-OH-H]-,[Sph-C2H7NO-H]-,[C6H11O6]-
GlcCer_NS(d16:1/25:0)+HCO2,842.67279,796.66729,634.61449,406.40561,363.38751,209.19162,179.05615
GlcCer_NS(d16:1/25:1)+HCO2,840.65713,794.65163,632.59883,404.38995,361.37185,209.19162,179.05615
GlcCer_NS(d16:1/25:2)+HCO2,838.64147,792.63597,630.58317,402.37429,359.35619,209.19162,179.05615
GlcCer_NS(d16:1/25:3)+HCO2,836.62581,790.62031,628.56751,400.35863,357.34053,209.19162,179.05615
GlcCer_NS(d16:1/25:4)+HCO2,834.61015,788.60465,626.55185,398.34297,355.32487,209.19162,179.05615
GlcCer_NS(d16:1/26:0)+HCO2,856.68845,810.68295,648.63015,420.42127,377.40317,209.19162,179.05615
GlcCer_NS(d16:1/26:1)+HCO2,854.67279,808.66729,646.61449,418.40561,375.38751,209.19162,179.05615
GlcCer_NS(d16:1/26:2)+HCO2,852.65713,806.65163,644.59883,416.38995,373.37185,209.19162,179.05615
GlcCer_NS(d16:1/26:3)+HCO2,850.64147,804.63597,642.58317,414.37429,371.35619,209.19162,179.05615
GlcCer_NS(d16:1/26:4)+HCO2,848.62581,802.62031,640.56751,412.35863,369.34053,209.19162,179.05615
GlcCer_NS(d16:1/27:0)+HCO2,870.70411,824.69861,662.64581,434.43693,391.41883,209.19162,179.05615
GlcCer_NS(d16:1/27:1)+HCO2,868.68845,822.68295,660.63015,432.42127,389.40317,209.19162,179.05615
GlcCer_NS(d16:1/27:2)+HCO2,866.67279,820.66729,658.61449,430.40561,387.38751,209.19162,179.05615
GlcCer_NS(d16:1/27:3)+HCO2,864.65713,818.65163,656.59883,428.38995,385.37185,209.19162,179.05615
GlcCer_NS(d16:1/27:4)+HCO2,862.64147,816.63597,654.58317,426.37429,383.35619,209.19162,179.05615
GlcCer_NS(d16:1/28:0)+HCO2,884.71977,838.71427,676.66147,448.45259,405.43449,209.19162,179.05615
