GlcCer_NDS,[M-H]-,[M-C6H10O5-H]-,[FAA+C2H3-H]-,[Sph-C2H7NO-H]-,[FAA-OH-H]-,[C6H11O6]-
GlcCer_NDS(d18:0/22:1)-H,782.65155,620.59865,362.34285,239.23855,319.32505,179.05615
GlcCer_NDS(d18:0/22:2)-H,780.63595,618.58305,360.32725,239.23855,317.30935,179.05615
GlcCer_NDS(d18:0/22:3)-H,778.62025,616.56745,358.31155,239.23855,315.29375,179.05615
GlcCer_NDS(d18:0/22:4)-H,776.60465,614.55175,356.29585,239.23855,313.27805,179.05615
GlcCer_NDS(d18:0/23:0)-H,798.68285,636.63005,378.37415,239.23855,335.35625,179.05615
GlcCer_NDS(d18:0/23:1)-H,796.66715,634.61435,376.35845,239.23855,333.34065,179.05615
GlcCer_NDS(d18:0/23:2)-H,794.65155,632.59865,374.34285,239.23855,331.32505,179.05615
GlcCer_NDS(d18:0/23:3)-H,792.63595,630.58305,372.32725,239.23855,329.30935,179.05615
GlcCer_NDS(d18:0/23:4)-H,790.62025,628.56745,370.31155,239.23855,327.29375,179.05615
GlcCer_NDS(d18:0/24:0)-H,812.69845,650.64565,392.38985,239.23855,349.37195,179.05615
GlcCer_NDS(d18:0/24:1)-H,810.68285,648.63005,390.37415,239.23855,347.35625,179.05615
GlcCer_NDS(d18:0/24:2)-H,808.66715,646.61435,388.35845,239.23855,345.34065,179.05615
GlcCer_NDS(d18:0/24:3)-H,806.65155,644.59865,386.34285,239.23855,343.32505,179.05615
GlcCer_NDS(d18:0/24:4)-H,804.63595,642.58305,384.32725,239.23855,341.30935,179.05615
GlcCer_NDS(d18:0/25:0)-H,826.71415,664.66135,406.40545,239.23855,363.38765,179.05615
GlcCer_NDS(d18:0/25:1)-H,824.69845,662.64565,404.38985,239.23855,361.37195,179.05615
GlcCer_NDS(d18:0/25:2)-H,822.68285,660.63005,402.37415,239.23855,359.35625,179.05615
GlcCer_NDS(d18:0/25:3)-H,820.66715,658.61435,400.35845,239.23855,357.34065,179.05615
GlcCer_NDS(d18:0/25:4)-H,818.65155,656.59865,398.34285,239.23855,355.32505,179.05615
GlcCer_NDS(d18:0/26:0)-H,840.72975,678.67695,420.42115,239.23855,377.40325,179.05615
GlcCer_NDS(d18:0/26:1)-H,838.71415,676.66135,418.40545,239.23855,375.38765,179.05615
GlcCer_NDS(d18:0/26:2)-H,836.69845,674.64565,416.38985,239.23855,373.37195,179.05615
GlcCer_NDS(d18:0/26:3)-H,834.68285,672.63005,414.37415,239.23855,371.35625,179.05615
GlcCer_NDS(d18:0/26:4)-H,832.66715,670.61435,412.35845,239.23855,369.34065,179.05615
GlcCer_NDS(d18:0/27:0)-H,854.74545,692.69265,434.43675,239.23855,391.41885,179.05615
GlcCer_NDS(d18:0/27:1)-H,852.72975,690.67695,432.42115,239.23855,389.40325,179.05615
GlcCer_NDS(d18:0/27:2)-H,850.71415,688.66135,430.40545,239.23855,387.38765,179.05615
GlcCer_NDS(d18:0/27:3)-H,848.69845,686.64565,428.38985,239.23855,385.37195,179.05615
GlcCer_NDS(d18:0/27:4)-H,846.68285,684.63005,426.37415,239.23855,383.35625,179.05615
GlcCer_NDS(d18:0/28:0)-H,868.76115,706.70825,448.45235,239.23855,405.43455,179.05615
GlcCer_NDS(d18:0/28:1)-H,866.74545,704.69265,446.43675,239.23855,403.41885,179.05615
GlcCer_NDS(d18:0/28:2)-H,864.72975,702.67695,444.42115,239.23855,401.40325,179.05615
GlcCer_NDS(d18:0/28:3)-H,862.71415,700.66135,442.40545,239.23855,399.38765,179.05615
GlcCer_NDS(d18:0/28:4)-H,860.69845,698.64565,440.38985,239.23855,397.37195,179.05615
GlcCer_NDS(d18:0/29:0)-H,882.77675,720.72395,462.46805,239.23855,419.45015,179.05615
GlcCer_NDS(d18:0/29:1)-H,880.76115,718.70825,460.45235,239.23855,417.43455,179.05615
GlcCer_NDS(d18:0/29:2)-H,878.74545,716.69265,458.43675,239.23855,415.41885,179.05615
GlcCer_NDS(d18:0/29:3)-H,876.72975,714.67695,456.42115,239.23855,413.40325,179.05615
GlcCer_NDS(d18:0/29:4)-H,874.71415,712.66135,454.40545,239.23855,411.38765,179.05615
GlcCer_NDS(d18:0/30:0)-H,896.79245,734.73955,476.48375,239.23855,433.46585,179.05615
GlcCer_NDS(d18:0/30:1)-H,894.77675,732.72395,474.46805,239.23855,431.45015,179.05615
GlcCer_NDS(d18:0/30:2)-H,892.76115,730.70825,472.45235,239.23855,429.43455,179.05615
GlcCer_NDS(d18:0/30:3)-H,890.74545,728.69265,470.43675,239.23855,427.41885,179.05615
GlcCer_NDS(d18:0/30:4)-H,888.72975,726.67695,468.42115,239.23855,425.40325,179.05615
GlcCer_NDS(d18:0/31:0)-H,910.80805,748.75525,490.49935,239.23855,447.48155,179.05615
GlcCer_NDS(d18:0/31:1)-H,908.79245,746.73955,488.48375,239.23855,445.46585,179.05615
GlcCer_NDS(d18:0/31:2)-H,906.77675,744.72395,486.46805,239.23855,443.45015,179.05615
GlcCer_NDS(d18:0/31:3)-H,904.76115,742.70825,484.45235,239.23855,441.43455,179.05615
GlcCer_NDS(d18:0/31:4)-H,902.74545,740.69265,482.43675,239.23855,439.41885,179.05615
GlcCer_NDS(d18:0/32:0)-H,924.82365,762.77085,504.51495,239.23855,461.49715,179.05615
GlcCer_NDS(d18:0/32:1)-H,922.80805,760.75525,502.49935,239.23855,459.48155,179.05615
GlcCer_NDS(d18:0/32:2)-H,920.79245,758.73955,500.48375,239.23855,457.46585,179.05615
GlcCer_NDS(d18:0/32:3)-H,918.77675,756.72395,498.46805,239.23855,455.45015,179.05615
GlcCer_NDS(d18:0/32:4)-H,916.76115,754.70825,496.45235,239.23855,453.43455,179.05615
GlcCer_NDS(d18:0/33:0)-H,938.83935,776.78645,518.53065,239.23855,475.51275,179.05615
GlcCer_NDS(d18:0/33:1)-H,936.82365,774.77085,516.51505,239.23855,473.49715,179.05615
GlcCer_NDS(d18:0/33:2)-H,934.80805,772.75525,514.49935,239.23855,471.48155,179.05615
GlcCer_NDS(d18:0/33:3)-H,932.79245,770.73955,512.48375,239.23855,469.46585,179.05615
GlcCer_NDS(d18:0/33:4)-H,930.77675,768.72395,510.46805,239.23855,467.45015,179.05615
GlcCer_NDS(d18:0/34:0)-H,952.85495,790.80215,532.54635,239.23855,489.52845,179.05615
GlcCer_NDS(d18:0/34:1)-H,950.83935,788.78645,530.53065,239.23855,487.51275,179.05615
GlcCer_NDS(d18:0/34:2)-H,948.82365,786.77085,528.51505,239.23855,485.49715,179.05615
GlcCer_NDS(d18:0/34:3)-H,946.80805,784.75525,526.49935,239.23855,483.48155,179.05615
GlcCer_NDS(d18:0/34:4)-H,944.79245,782.73955,524.48375,239.23855,481.46585,179.05615
GlcCer_NDS(d18:0/35:0)-H,966.87065,804.81785,546.56195,239.23855,503.54405,179.05615
GlcCer_NDS(d18:0/35:1)-H,964.85495,802.80215,544.54635,239.23855,501.52845,179.05615
GlcCer_NDS(d18:0/35:2)-H,962.83935,800.78645,542.53065,239.23855,499.51275,179.05615
GlcCer_NDS(d18:0/35:3)-H,960.82365,798.77085,540.51505,239.23855,497.49715,179.05615
GlcCer_NDS(d18:0/35:4)-H,958.80805,796.75525,538.49935,239.23855,495.48155,179.05615
GlcCer_NDS(d18:0/36:0)-H,980.88625,818.83345,560.57755,239.23855,517.55975,179.05615
GlcCer_NDS(d18:0/36:1)-H,978.87065,816.81785,558.56195,239.23855,515.54415,179.05615
GlcCer_NDS(d18:0/36:2)-H,976.85495,814.80215,556.54635,239.23855,513.52845,179.05615
GlcCer_NDS(d18:0/36:3)-H,974.83935,812.78645,554.53065,239.23855,511.51275,179.05615
GlcCer_NDS(d18:0/36:4)-H,972.82365,810.77085,552.51505,239.23855,509.49715,179.05615
GlcCer_NDS(d19:0/14:0)-H,686.55765,524.50485,252.23335,253.25425,209.21545,179.05615
GlcCer_NDS(d19:0/14:1)-H,684.54195,522.48915,250.21765,253.25425,207.19975,179.05615
GlcCer_NDS(d19:0/14:2)-H,682.52635,520.47355,248.20195,253.25425,205.18415,179.05615
GlcCer_NDS(d19:0/14:3)-H,680.51065,518.45785,246.18635,253.25425,203.16855,179.05615
GlcCer_NDS(d19:0/15:0)-H,700.57335,538.52045,266.24895,253.25425,223.23105,179.05615
GlcCer_NDS(d19:0/15:1)-H,698.55765,536.50485,264.23335,253.25425,221.21545,179.05615
GlcCer_NDS(d19:0/15:2)-H,696.54195,534.48915,262.21765,253.25425,219.19975,179.05615
GlcCer_NDS(d19:0/15:3)-H,694.52635,532.47355,260.20195,253.25425,217.18415,179.05615
GlcCer_NDS(d19:0/16:0)-H,714.58895,552.53615,280.26455,253.25425,237.24675,179.05615
GlcCer_NDS(d19:0/16:1)-H,712.57335,550.52045,278.24895,253.25425,235.23105,179.05615
GlcCer_NDS(d19:0/16:2)-H,710.55765,548.50485,276.23335,253.25425,233.21545,179.05615
GlcCer_NDS(d19:0/16:3)-H,708.54195,546.48915,274.21765,253.25425,231.19975,179.05615
GlcCer_NDS(d19:0/16:4)-H,706.52635,544.47355,272.20195,253.25425,229.18415,179.05615
GlcCer_NDS(d19:0/17:0)-H,728.60465,566.55175,294.28025,253.25425,251.26245,179.05615
GlcCer_NDS(d19:0/17:1)-H,726.58895,564.53615,292.26455,253.25425,249.24675,179.05615
GlcCer_NDS(d19:0/17:2)-H,724.57335,562.52045,290.24895,253.25425,247.23105,179.05615
GlcCer_NDS(d19:0/17:3)-H,722.55765,560.50485,288.23335,253.25425,245.21545,179.05615
GlcCer_NDS(d19:0/18:0)-H,742.62025,580.56745,308.29585,253.25425,265.27805,179.05615
GlcCer_NDS(d19:0/18:1)-H,740.60465,578.55175,306.28025,253.25425,263.26235,179.05615
GlcCer_NDS(d19:0/18:2)-H,738.58895,576.53615,304.26455,253.25425,261.24675,179.05615
GlcCer_NDS(d19:0/18:3)-H,736.57335,574.52045,302.24895,253.25425,259.23115,179.05615
GlcCer_NDS(d19:0/18:4)-H,734.55765,572.50485,300.23335,253.25425,257.21545,179.05615
GlcCer_NDS(d19:0/19:0)-H,756.63595,594.58305,322.31155,253.25425,279.29375,179.05615
GlcCer_NDS(d19:0/19:1)-H,754.62025,592.56745,320.29585,253.25425,277.27805,179.05615
GlcCer_NDS(d19:0/19:2)-H,752.60465,590.55175,318.28025,253.25425,275.26235,179.05615
GlcCer_NDS(d19:0/19:3)-H,750.58895,588.53615,316.26455,253.25425,273.24675,179.05615
GlcCer_NDS(d19:0/19:4)-H,748.57335,586.52045,314.24895,253.25425,271.23115,179.05615
GlcCer_NDS(d19:0/20:0)-H,770.65155,608.59865,336.32725,253.25425,293.30935,179.05615
GlcCer_NDS(d19:0/20:1)-H,768.63595,606.58305,334.31155,253.25425,291.29375,179.05615
GlcCer_NDS(d19:0/20:2)-H,766.62025,604.56745,332.29585,253.25425,289.27805,179.05615
GlcCer_NDS(d19:0/20:3)-H,764.60465,602.55175,330.28025,253.25425,287.26235,179.05615
GlcCer_NDS(d19:0/20:4)-H,762.58895,600.53615,328.26455,253.25425,285.24675,179.05615
GlcCer_NDS(d19:0/21:0)-H,784.66715,622.61435,350.34285,253.25425,307.32505,179.05615
GlcCer_NDS(d19:0/21:1)-H,782.65155,620.59865,348.32725,253.25425,305.30935,179.05615
GlcCer_NDS(d19:0/21:2)-H,780.63595,618.58305,346.31155,253.25425,303.29375,179.05615
GlcCer_NDS(d19:0/21:3)-H,778.62025,616.56745,344.29585,253.25425,301.27805,179.05615
GlcCer_NDS(d19:0/21:4)-H,776.60465,614.55175,342.28025,253.25425,299.26235,179.05615
GlcCer_NDS(d19:0/22:0)-H,798.68285,636.63005,364.35845,253.25425,321.34065,179.05615
GlcCer_NDS(d19:0/22:1)-H,796.66715,634.61435,362.34285,253.25425,319.32505,179.05615
GlcCer_NDS(d19:0/22:2)-H,794.65155,632.59865,360.32725,253.25425,317.30935,179.05615
GlcCer_NDS(d19:0/22:3)-H,792.63595,630.58305,358.31155,253.25425,315.29375,179.05615
GlcCer_NDS(d19:0/22:4)-H,790.62025,628.56745,356.29585,253.25425,313.27805,179.05615
GlcCer_NDS(d19:0/23:0)-H,812.69845,650.64565,378.37415,253.25425,335.35625,179.05615
GlcCer_NDS(d19:0/23:1)-H,810.68285,648.63005,376.35845,253.25425,333.34065,179.05615
GlcCer_NDS(d19:0/23:2)-H,808.66715,646.61435,374.34285,253.25425,331.32505,179.05615
GlcCer_NDS(d19:0/23:3)-H,806.65155,644.59865,372.32725,253.25425,329.30935,179.05615
GlcCer_NDS(d19:0/23:4)-H,804.63595,642.58305,370.31155,253.25425,327.29375,179.05615
GlcCer_NDS(d19:0/24:0)-H,826.71415,664.66135,392.38985,253.25425,349.37195,179.05615
GlcCer_NDS(d19:0/24:1)-H,824.69845,662.64565,390.37415,253.25425,347.35625,179.05615
GlcCer_NDS(d19:0/24:2)-H,822.68285,660.63005,388.35845,253.25425,345.34065,179.05615
GlcCer_NDS(d19:0/24:3)-H,820.66715,658.61435,386.34285,253.25425,343.32505,179.05615
GlcCer_NDS(d19:0/24:4)-H,818.65155,656.59865,384.32725,253.25425,341.30935,179.05615
GlcCer_NDS(d19:0/25:0)-H,840.72975,678.67695,406.40545,253.25425,363.38765,179.05615
GlcCer_NDS(d19:0/25:1)-H,838.71415,676.66135,404.38985,253.25425,361.37195,179.05615
GlcCer_NDS(d19:0/25:2)-H,836.69845,674.64565,402.37415,253.25425,359.35625,179.05615
GlcCer_NDS(d19:0/25:3)-H,834.68285,672.63005,400.35845,253.25425,357.34065,179.05615
GlcCer_NDS(d19:0/25:4)-H,832.66715,670.61435,398.34285,253.25425,355.32505,179.05615
GlcCer_NDS(d19:0/26:0)-H,854.74545,692.69265,420.42115,253.25425,377.40325,179.05615
GlcCer_NDS(d19:0/26:1)-H,852.72975,690.67695,418.40545,253.25425,375.38765,179.05615
GlcCer_NDS(d19:0/26:2)-H,850.71415,688.66135,416.38985,253.25425,373.37195,179.05615
GlcCer_NDS(d19:0/26:3)-H,848.69845,686.64565,414.37415,253.25425,371.35625,179.05615
GlcCer_NDS(d19:0/26:4)-H,846.68285,684.63005,412.35845,253.25425,369.34065,179.05615
GlcCer_NDS(d19:0/27:0)-H,868.76115,706.70825,434.43675,253.25425,391.41885,179.05615
GlcCer_NDS(d19:0/27:1)-H,866.74545,704.69265,432.42115,253.25425,389.40325,179.05615
GlcCer_NDS(d19:0/27:2)-H,864.72975,702.67695,430.40545,253.25425,387.38765,179.05615
GlcCer_NDS(d19:0/27:3)-H,862.71415,700.66135,428.38985,253.25425,385.37195,179.05615
GlcCer_NDS(d19:0/27:4)-H,860.69845,698.64565,426.37415,253.25425,383.35625,179.05615
GlcCer_NDS(d19:0/28:0)-H,882.77675,720.72395,448.45235,253.25425,405.43455,179.05615
GlcCer_NDS(d19:0/28:1)-H,880.76115,718.70825,446.43675,253.25425,403.41885,179.05615
GlcCer_NDS(d19:0/28:2)-H,878.74545,716.69265,444.42115,253.25425,401.40325,179.05615
GlcCer_NDS(d19:0/28:3)-H,876.72975,714.67695,442.40545,253.25425,399.38765,179.05615
GlcCer_NDS(d19:0/28:4)-H,874.71415,712.66135,440.38985,253.25425,397.37195,179.05615
GlcCer_NDS(d19:0/29:0)-H,896.79245,734.73955,462.46805,253.25425,419.45015,179.05615
GlcCer_NDS(d19:0/29:1)-H,894.77675,732.72395,460.45235,253.25425,417.43455,179.05615
GlcCer_NDS(d19:0/29:2)-H,892.76115,730.70825,458.43675,253.25425,415.41885,179.05615
GlcCer_NDS(d19:0/29:3)-H,890.74545,728.69265,456.42115,253.25425,413.40325,179.05615
GlcCer_NDS(d19:0/29:4)-H,888.72975,726.67695,454.40545,253.25425,411.38765,179.05615
GlcCer_NDS(d19:0/30:0)-H,910.80805,748.75525,476.48375,253.25425,433.46585,179.05615
GlcCer_NDS(d19:0/30:1)-H,908.79245,746.73955,474.46805,253.25425,431.45015,179.05615
GlcCer_NDS(d19:0/30:2)-H,906.77675,744.72395,472.45235,253.25425,429.43455,179.05615
GlcCer_NDS(d19:0/30:3)-H,904.76115,742.70825,470.43675,253.25425,427.41885,179.05615
GlcCer_NDS(d19:0/30:4)-H,902.74545,740.69265,468.42115,253.25425,425.40325,179.05615
GlcCer_NDS(d19:0/31:0)-H,924.82365,762.77085,490.49935,253.25425,447.48155,179.05615
GlcCer_NDS(d19:0/31:1)-H,922.80805,760.75525,488.48375,253.25425,445.46585,179.05615
GlcCer_NDS(d19:0/31:2)-H,920.79245,758.73955,486.46805,253.25425,443.45015,179.05615
GlcCer_NDS(d19:0/31:3)-H,918.77675,756.72395,484.45235,253.25425,441.43455,179.05615
GlcCer_NDS(d19:0/31:4)-H,916.76115,754.70825,482.43675,253.25425,439.41885,179.05615
GlcCer_NDS(d19:0/32:0)-H,938.83935,776.78645,504.51495,253.25425,461.49715,179.05615
GlcCer_NDS(d19:0/32:1)-H,936.82365,774.77085,502.49935,253.25425,459.48155,179.05615
GlcCer_NDS(d19:0/32:2)-H,934.80805,772.75525,500.48375,253.25425,457.46585,179.05615
GlcCer_NDS(d19:0/32:3)-H,932.79245,770.73955,498.46805,253.25425,455.45015,179.05615
GlcCer_NDS(d19:0/32:4)-H,930.77675,768.72395,496.45235,253.25425,453.43455,179.05615
GlcCer_NDS(d19:0/33:0)-H,952.85495,790.80215,518.53065,253.25425,475.51275,179.05615
GlcCer_NDS(d19:0/33:1)-H,950.83935,788.78645,516.51505,253.25425,473.49715,179.05615
GlcCer_NDS(d19:0/33:2)-H,948.82365,786.77085,514.49935,253.25425,471.48155,179.05615
GlcCer_NDS(d19:0/33:3)-H,946.80805,784.75525,512.48375,253.25425,469.46585,179.05615
GlcCer_NDS(d19:0/33:4)-H,944.79245,782.73955,510.46805,253.25425,467.45015,179.05615
GlcCer_NDS(d19:0/34:0)-H,966.87065,804.81785,532.54635,253.25425,489.52845,179.05615
GlcCer_NDS(d19:0/34:1)-H,964.85495,802.80215,530.53065,253.25425,487.51275,179.05615
GlcCer_NDS(d19:0/34:2)-H,962.83935,800.78645,528.51505,253.25425,485.49715,179.05615
GlcCer_NDS(d19:0/34:3)-H,960.82365,798.77085,526.49935,253.25425,483.48155,179.05615
GlcCer_NDS(d19:0/34:4)-H,958.80805,796.75525,524.48375,253.25425,481.46585,179.05615
GlcCer_NDS(d19:0/35:0)-H,980.88625,818.83345,546.56195,253.25425,503.54405,179.05615
GlcCer_NDS(d19:0/35:1)-H,978.87065,816.81785,544.54635,253.25425,501.52845,179.05615
GlcCer_NDS(d19:0/35:2)-H,976.85495,814.80215,542.53065,253.25425,499.51275,179.05615
GlcCer_NDS(d19:0/35:3)-H,974.83935,812.78645,540.51505,253.25425,497.49715,179.05615
GlcCer_NDS(d19:0/35:4)-H,972.82365,810.77085,538.49935,253.25425,495.48155,179.05615
GlcCer_NDS(d19:0/36:0)-H,994.90195,832.84915,560.57755,253.25425,517.55975,179.05615
GlcCer_NDS(d19:0/36:1)-H,992.88625,830.83345,558.56195,253.25425,515.54415,179.05615
GlcCer_NDS(d19:0/36:2)-H,990.87065,828.81785,556.54635,253.25425,513.52845,179.05615
GlcCer_NDS(d19:0/36:3)-H,988.85495,826.80215,554.53065,253.25425,511.51275,179.05615
GlcCer_NDS(d19:0/36:4)-H,986.83935,824.78645,552.51505,253.25425,509.49715,179.05615
GlcCer_NDS(d20:0/14:0)-H,700.57335,538.52045,252.23335,267.26985,209.21545,179.05615
GlcCer_NDS(d20:0/14:1)-H,698.55765,536.50485,250.21765,267.26985,207.19975,179.05615
GlcCer_NDS(d20:0/14:2)-H,696.54195,534.48915,248.20195,267.26985,205.18415,179.05615
GlcCer_NDS(d20:0/14:3)-H,694.52635,532.47355,246.18635,267.26985,203.16855,179.05615
GlcCer_NDS(d20:0/15:0)-H,714.58895,552.53615,266.24895,267.26985,223.23105,179.05615
GlcCer_NDS(d20:0/15:1)-H,712.57335,550.52045,264.23335,267.26985,221.21545,179.05615
GlcCer_NDS(d20:0/15:2)-H,710.55765,548.50485,262.21765,267.26985,219.19975,179.05615
GlcCer_NDS(d20:0/15:3)-H,708.54195,546.48915,260.20195,267.26985,217.18415,179.05615
GlcCer_NDS(d20:0/16:0)-H,728.60465,566.55175,280.26455,267.26985,237.24675,179.05615
GlcCer_NDS(d20:0/16:1)-H,726.58895,564.53615,278.24895,267.26985,235.23105,179.05615
GlcCer_NDS(d20:0/16:2)-H,724.57335,562.52045,276.23335,267.26985,233.21545,179.05615
GlcCer_NDS(d20:0/16:3)-H,722.55765,560.50485,274.21765,267.26985,231.19975,179.05615
GlcCer_NDS(d20:0/16:4)-H,720.54195,558.48915,272.20195,267.26985,229.18415,179.05615
GlcCer_NDS(d20:0/17:0)-H,742.62025,580.56745,294.28025,267.26985,251.26245,179.05615
GlcCer_NDS(d20:0/17:1)-H,740.60465,578.55175,292.26455,267.26985,249.24675,179.05615
GlcCer_NDS(d20:0/17:2)-H,738.58895,576.53615,290.24895,267.26985,247.23105,179.05615
GlcCer_NDS(d20:0/17:3)-H,736.57335,574.52045,288.23335,267.26985,245.21545,179.05615
GlcCer_NDS(d20:0/18:0)-H,756.63595,594.58305,308.29585,267.26985,265.27805,179.05615
GlcCer_NDS(d20:0/18:1)-H,754.62025,592.56745,306.28025,267.26985,263.26235,179.05615
GlcCer_NDS(d20:0/18:2)-H,752.60465,590.55175,304.26455,267.26985,261.24675,179.05615
GlcCer_NDS(d20:0/18:3)-H,750.58895,588.53615,302.24895,267.26985,259.23115,179.05615
GlcCer_NDS(d20:0/18:4)-H,748.57335,586.52045,300.23335,267.26985,257.21545,179.05615
GlcCer_NDS(d20:0/19:0)-H,770.65155,608.59865,322.31155,267.26985,279.29375,179.05615
GlcCer_NDS(d20:0/19:1)-H,768.63595,606.58305,320.29585,267.26985,277.27805,179.05615
GlcCer_NDS(d20:0/19:2)-H,766.62025,604.56745,318.28025,267.26985,275.26235,179.05615
GlcCer_NDS(d20:0/19:3)-H,764.60465,602.55175,316.26455,267.26985,273.24675,179.05615
GlcCer_NDS(d20:0/19:4)-H,762.58895,600.53615,314.24895,267.26985,271.23115,179.05615
GlcCer_NDS(d20:0/20:0)-H,784.66715,622.61435,336.32725,267.26985,293.30935,179.05615
GlcCer_NDS(d20:0/20:1)-H,782.65155,620.59865,334.31155,267.26985,291.29375,179.05615
GlcCer_NDS(d20:0/20:2)-H,780.63595,618.58305,332.29585,267.26985,289.27805,179.05615
GlcCer_NDS(d20:0/20:3)-H,778.62025,616.56745,330.28025,267.26985,287.26235,179.05615
GlcCer_NDS(d20:0/20:4)-H,776.60465,614.55175,328.26455,267.26985,285.24675,179.05615
GlcCer_NDS(d20:0/21:0)-H,798.68285,636.63005,350.34285,267.26985,307.32505,179.05615
GlcCer_NDS(d20:0/21:1)-H,796.66715,634.61435,348.32725,267.26985,305.30935,179.05615
GlcCer_NDS(d20:0/21:2)-H,794.65155,632.59865,346.31155,267.26985,303.29375,179.05615
GlcCer_NDS(d20:0/21:3)-H,792.63595,630.58305,344.29585,267.26985,301.27805,179.05615
GlcCer_NDS(d20:0/21:4)-H,790.62025,628.56745,342.28025,267.26985,299.26235,179.05615
GlcCer_NDS(d20:0/22:0)-H,812.69845,650.64565,364.35845,267.26985,321.34065,179.05615
GlcCer_NDS(d20:0/22:1)-H,810.68285,648.63005,362.34285,267.26985,319.32505,179.05615
GlcCer_NDS(d20:0/22:2)-H,808.66715,646.61435,360.32725,267.26985,317.30935,179.05615
GlcCer_NDS(d20:0/22:3)-H,806.65155,644.59865,358.31155,267.26985,315.29375,179.05615
GlcCer_NDS(d20:0/22:4)-H,804.63595,642.58305,356.29585,267.26985,313.27805,179.05615
GlcCer_NDS(d20:0/23:0)-H,826.71415,664.66135,378.37415,267.26985,335.35625,179.05615
GlcCer_NDS(d20:0/23:1)-H,824.69845,662.64565,376.35845,267.26985,333.34065,179.05615
GlcCer_NDS(d20:0/23:2)-H,822.68285,660.63005,374.34285,267.26985,331.32505,179.05615
GlcCer_NDS(d20:0/23:3)-H,820.66715,658.61435,372.32725,267.26985,329.30935,179.05615
GlcCer_NDS(d20:0/23:4)-H,818.65155,656.59865,370.31155,267.26985,327.29375,179.05615
GlcCer_NDS(d20:0/24:0)-H,840.72975,678.67695,392.38985,267.26985,349.37195,179.05615
GlcCer_NDS(d20:0/24:1)-H,838.71415,676.66135,390.37415,267.26985,347.35625,179.05615
GlcCer_NDS(d20:0/24:2)-H,836.69845,674.64565,388.35845,267.26985,345.34065,179.05615
GlcCer_NDS(d20:0/24:3)-H,834.68285,672.63005,386.34285,267.26985,343.32505,179.05615
GlcCer_NDS(d20:0/24:4)-H,832.66715,670.61435,384.32725,267.26985,341.30935,179.05615
GlcCer_NDS(d20:0/25:0)-H,854.74545,692.69265,406.40545,267.26985,363.38765,179.05615
GlcCer_NDS(d20:0/25:1)-H,852.72975,690.67695,404.38985,267.26985,361.37195,179.05615
GlcCer_NDS(d20:0/25:2)-H,850.71415,688.66135,402.37415,267.26985,359.35625,179.05615
GlcCer_NDS(d20:0/25:3)-H,848.69845,686.64565,400.35845,267.26985,357.34065,179.05615
GlcCer_NDS(d20:0/25:4)-H,846.68285,684.63005,398.34285,267.26985,355.32505,179.05615
GlcCer_NDS(d20:0/26:0)-H,868.76115,706.70825,420.42115,267.26985,377.40325,179.05615
GlcCer_NDS(d20:0/26:1)-H,866.74545,704.69265,418.40545,267.26985,375.38765,179.05615
GlcCer_NDS(d20:0/26:2)-H,864.72975,702.67695,416.38985,267.26985,373.37195,179.05615
GlcCer_NDS(d20:0/26:3)-H,862.71415,700.66135,414.37415,267.26985,371.35625,179.05615
GlcCer_NDS(d20:0/26:4)-H,860.69845,698.64565,412.35845,267.26985,369.34065,179.05615
GlcCer_NDS(d20:0/27:0)-H,882.77675,720.72395,434.43675,267.26985,391.41885,179.05615
GlcCer_NDS(d20:0/27:1)-H,880.76115,718.70825,432.42115,267.26985,389.40325,179.05615
GlcCer_NDS(d20:0/27:2)-H,878.74545,716.69265,430.40545,267.26985,387.38765,179.05615
GlcCer_NDS(d20:0/27:3)-H,876.72975,714.67695,428.38985,267.26985,385.37195,179.05615
GlcCer_NDS(d20:0/27:4)-H,874.71415,712.66135,426.37415,267.26985,383.35625,179.05615
GlcCer_NDS(d20:0/28:0)-H,896.79245,734.73955,448.45235,267.26985,405.43455,179.05615
GlcCer_NDS(d20:0/28:1)-H,894.77675,732.72395,446.43675,267.26985,403.41885,179.05615
GlcCer_NDS(d20:0/28:2)-H,892.76115,730.70825,444.42115,267.26985,401.40325,179.05615
GlcCer_NDS(d20:0/28:3)-H,890.74545,728.69265,442.40545,267.26985,399.38765,179.05615
GlcCer_NDS(d20:0/28:4)-H,888.72975,726.67695,440.38985,267.26985,397.37195,179.05615
GlcCer_NDS(d20:0/29:0)-H,910.80805,748.75525,462.46805,267.26985,419.45015,179.05615
GlcCer_NDS(d20:0/29:1)-H,908.79245,746.73955,460.45235,267.26985,417.43455,179.05615
GlcCer_NDS(d20:0/29:2)-H,906.77675,744.72395,458.43675,267.26985,415.41885,179.05615
GlcCer_NDS(d20:0/29:3)-H,904.76115,742.70825,456.42115,267.26985,413.40325,179.05615
GlcCer_NDS(d20:0/29:4)-H,902.74545,740.69265,454.40545,267.26985,411.38765,179.05615
GlcCer_NDS(d20:0/30:0)-H,924.82365,762.77085,476.48375,267.26985,433.46585,179.05615
GlcCer_NDS(d20:0/30:1)-H,922.80805,760.75525,474.46805,267.26985,431.45015,179.05615
GlcCer_NDS(d20:0/30:2)-H,920.79245,758.73955,472.45235,267.26985,429.43455,179.05615
GlcCer_NDS(d20:0/30:3)-H,918.77675,756.72395,470.43675,267.26985,427.41885,179.05615
