GlcCer_NDS,[M-H]-,[M-C6H10O5-H]-,[FAA+C2H3-H]-,[Sph-C2H7NO-H]-,[FAA-OH-H]-,[C6H11O6]-
GlcCer_NDS(d16:0/26:2)-H,808.66715,646.61435,416.38985,211.20725,373.37195,179.05615
GlcCer_NDS(d16:0/26:3)-H,806.65155,644.59865,414.37415,211.20725,371.35625,179.05615
GlcCer_NDS(d16:0/26:4)-H,804.63595,642.58305,412.35845,211.20725,369.34065,179.05615
GlcCer_NDS(d16:0/27:0)-H,826.71415,664.66135,434.43675,211.20725,391.41885,179.05615
GlcCer_NDS(d16:0/27:1)-H,824.69845,662.64565,432.42115,211.20725,389.40325,179.05615
GlcCer_NDS(d16:0/27:2)-H,822.68285,660.63005,430.40545,211.20725,387.38765,179.05615
GlcCer_NDS(d16:0/27:3)-H,820.66715,658.61435,428.38985,211.20725,385.37195,179.05615
GlcCer_NDS(d16:0/27:4)-H,818.65155,656.59865,426.37415,211.20725,383.35625,179.05615
GlcCer_NDS(d16:0/28:0)-H,840.72975,678.67695,448.45235,211.20725,405.43455,179.05615
GlcCer_NDS(d16:0/28:1)-H,838.71415,676.66135,446.43675,211.20725,403.41885,179.05615
GlcCer_NDS(d16:0/28:2)-H,836.69845,674.64565,444.42115,211.20725,401.40325,179.05615
GlcCer_NDS(d16:0/28:3)-H,834.68285,672.63005,442.40545,211.20725,399.38765,179.05615
GlcCer_NDS(d16:0/28:4)-H,832.66715,670.61435,440.38985,211.20725,397.37195,179.05615
GlcCer_NDS(d16:0/29:0)-H,854.74545,692.69265,462.46805,211.20725,419.45015,179.05615
GlcCer_NDS(d16:0/29:1)-H,852.72975,690.67695,460.45235,211.20725,417.43455,179.05615
GlcCer_NDS(d16:0/29:2)-H,850.71415,688.66135,458.43675,211.20725,415.41885,179.05615
GlcCer_NDS(d16:0/29:3)-H,848.69845,686.64565,456.42115,211.20725,413.40325,179.05615
GlcCer_NDS(d16:0/29:4)-H,846.68285,684.63005,454.40545,211.20725,411.38765,179.05615
GlcCer_NDS(d16:0/30:0)-H,868.76115,706.70825,476.48375,211.20725,433.46585,179.05615
GlcCer_NDS(d16:0/30:1)-H,866.74545,704.69265,474.46805,211.20725,431.45015,179.05615
GlcCer_NDS(d16:0/30:2)-H,864.72975,702.67695,472.45235,211.20725,429.43455,179.05615
GlcCer_NDS(d16:0/30:3)-H,862.71415,700.66135,470.43675,211.20725,427.41885,179.05615
GlcCer_NDS(d16:0/30:4)-H,860.69845,698.64565,468.42115,211.20725,425.40325,179.05615
GlcCer_NDS(d16:0/31:0)-H,882.77675,720.72395,490.49935,211.20725,447.48155,179.05615
GlcCer_NDS(d16:0/31:1)-H,880.76115,718.70825,488.48375,211.20725,445.46585,179.05615
GlcCer_NDS(d16:0/31:2)-H,878.74545,716.69265,486.46805,211.20725,443.45015,179.05615
GlcCer_NDS(d16:0/31:3)-H,876.72975,714.67695,484.45235,211.20725,441.43455,179.05615
GlcCer_NDS(d16:0/31:4)-H,874.71415,712.66135,482.43675,211.20725,439.41885,179.05615
GlcCer_NDS(d16:0/32:0)-H,896.79245,734.73955,504.51495,211.20725,461.49715,179.05615
GlcCer_NDS(d16:0/32:1)-H,894.77675,732.72395,502.49935,211.20725,459.48155,179.05615
GlcCer_NDS(d16:0/32:2)-H,892.76115,730.70825,500.48375,211.20725,457.46585,179.05615
GlcCer_NDS(d16:0/32:3)-H,890.74545,728.69265,498.46805,211.20725,455.45015,179.05615
GlcCer_NDS(d16:0/32:4)-H,888.72975,726.67695,496.45235,211.20725,453.43455,179.05615
GlcCer_NDS(d16:0/33:0)-H,910.80805,748.75525,518.53065,211.20725,475.51275,179.05615
GlcCer_NDS(d16:0/33:1)-H,908.79245,746.73955,516.51505,211.20725,473.49715,179.05615
GlcCer_NDS(d16:0/33:2)-H,906.77675,744.72395,514.49935,211.20725,471.48155,179.05615
GlcCer_NDS(d16:0/33:3)-H,904.76115,742.70825,512.48375,211.20725,469.46585,179.05615
GlcCer_NDS(d16:0/33:4)-H,902.74545,740.69265,510.46805,211.20725,467.45015,179.05615
GlcCer_NDS(d16:0/34:0)-H,924.82365,762.77085,532.54635,211.20725,489.52845,179.05615
GlcCer_NDS(d16:0/34:1)-H,922.80805,760.75525,530.53065,211.20725,487.51275,179.05615
GlcCer_NDS(d16:0/34:2)-H,920.79245,758.73955,528.51505,211.20725,485.49715,179.05615
GlcCer_NDS(d16:0/34:3)-H,918.77675,756.72395,526.49935,211.20725,483.48155,179.05615
GlcCer_NDS(d16:0/34:4)-H,916.76115,754.70825,524.48375,211.20725,481.46585,179.05615
GlcCer_NDS(d16:0/35:0)-H,938.83935,776.78645,546.56195,211.20725,503.54405,179.05615
GlcCer_NDS(d16:0/35:1)-H,936.82365,774.77085,544.54635,211.20725,501.52845,179.05615
GlcCer_NDS(d16:0/35:2)-H,934.80805,772.75525,542.53065,211.20725,499.51275,179.05615
GlcCer_NDS(d16:0/35:3)-H,932.79245,770.73955,540.51505,211.20725,497.49715,179.05615
GlcCer_NDS(d16:0/35:4)-H,930.77675,768.72395,538.49935,211.20725,495.48155,179.05615
GlcCer_NDS(d16:0/36:0)-H,952.85495,790.80215,560.57755,211.20725,517.55975,179.05615
GlcCer_NDS(d16:0/36:1)-H,950.83935,788.78645,558.56195,211.20725,515.54415,179.05615
GlcCer_NDS(d16:0/36:2)-H,948.82365,786.77085,556.54635,211.20725,513.52845,179.05615
GlcCer_NDS(d16:0/36:3)-H,946.80805,784.75525,554.53065,211.20725,511.51275,179.05615
GlcCer_NDS(d16:0/36:4)-H,944.79245,782.73955,552.51505,211.20725,509.49715,179.05615
GlcCer_NDS(d17:0/14:0)-H,658.52635,496.47355,252.23335,225.22295,209.21545,179.05615
GlcCer_NDS(d17:0/14:1)-H,656.51065,494.45785,250.21765,225.22295,207.19975,179.05615
GlcCer_NDS(d17:0/14:2)-H,654.49505,492.44225,248.20195,225.22295,205.18415,179.05615
GlcCer_NDS(d17:0/14:3)-H,652.47935,490.42655,246.18635,225.22295,203.16855,179.05615
GlcCer_NDS(d17:0/15:0)-H,672.54195,510.48915,266.24895,225.22295,223.23105,179.05615
GlcCer_NDS(d17:0/15:1)-H,670.52635,508.47355,264.23335,225.22295,221.21545,179.05615
GlcCer_NDS(d17:0/15:2)-H,668.51065,506.45785,262.21765,225.22295,219.19975,179.05615
GlcCer_NDS(d17:0/15:3)-H,666.49505,504.44225,260.20195,225.22295,217.18415,179.05615
GlcCer_NDS(d17:0/16:0)-H,686.55765,524.50485,280.26455,225.22295,237.24675,179.05615
GlcCer_NDS(d17:0/16:1)-H,684.54195,522.48915,278.24895,225.22295,235.23105,179.05615
GlcCer_NDS(d17:0/16:2)-H,682.52635,520.47355,276.23335,225.22295,233.21545,179.05615
GlcCer_NDS(d17:0/16:3)-H,680.51065,518.45785,274.21765,225.22295,231.19975,179.05615
GlcCer_NDS(d17:0/16:4)-H,678.49505,516.44225,272.20195,225.22295,229.18415,179.05615
GlcCer_NDS(d17:0/17:0)-H,700.57335,538.52045,294.28025,225.22295,251.26245,179.05615
GlcCer_NDS(d17:0/17:1)-H,698.55765,536.50485,292.26455,225.22295,249.24675,179.05615
GlcCer_NDS(d17:0/17:2)-H,696.54195,534.48915,290.24895,225.22295,247.23105,179.05615
GlcCer_NDS(d17:0/17:3)-H,694.52635,532.47355,288.23335,225.22295,245.21545,179.05615
GlcCer_NDS(d17:0/18:0)-H,714.58895,552.53615,308.29585,225.22295,265.27805,179.05615
GlcCer_NDS(d17:0/18:1)-H,712.57335,550.52045,306.28025,225.22295,263.26235,179.05615
GlcCer_NDS(d17:0/18:2)-H,710.55765,548.50485,304.26455,225.22295,261.24675,179.05615
GlcCer_NDS(d17:0/18:3)-H,708.54195,546.48915,302.24895,225.22295,259.23115,179.05615
GlcCer_NDS(d17:0/18:4)-H,706.52635,544.47355,300.23335,225.22295,257.21545,179.05615
GlcCer_NDS(d17:0/19:0)-H,728.60465,566.55175,322.31155,225.22295,279.29375,179.05615
GlcCer_NDS(d17:0/19:1)-H,726.58895,564.53615,320.29585,225.22295,277.27805,179.05615
GlcCer_NDS(d17:0/19:2)-H,724.57335,562.52045,318.28025,225.22295,275.26235,179.05615
GlcCer_NDS(d17:0/19:3)-H,722.55765,560.50485,316.26455,225.22295,273.24675,179.05615
GlcCer_NDS(d17:0/19:4)-H,720.54195,558.48915,314.24895,225.22295,271.23115,179.05615
GlcCer_NDS(d17:0/20:0)-H,742.62025,580.56745,336.32725,225.22295,293.30935,179.05615
GlcCer_NDS(d17:0/20:1)-H,740.60465,578.55175,334.31155,225.22295,291.29375,179.05615
GlcCer_NDS(d17:0/20:2)-H,738.58895,576.53615,332.29585,225.22295,289.27805,179.05615
GlcCer_NDS(d17:0/20:3)-H,736.57335,574.52045,330.28025,225.22295,287.26235,179.05615
GlcCer_NDS(d17:0/20:4)-H,734.55765,572.50485,328.26455,225.22295,285.24675,179.05615
GlcCer_NDS(d17:0/21:0)-H,756.63595,594.58305,350.34285,225.22295,307.32505,179.05615
GlcCer_NDS(d17:0/21:1)-H,754.62025,592.56745,348.32725,225.22295,305.30935,179.05615
GlcCer_NDS(d17:0/21:2)-H,752.60465,590.55175,346.31155,225.22295,303.29375,179.05615
GlcCer_NDS(d17:0/21:3)-H,750.58895,588.53615,344.29585,225.22295,301.27805,179.05615
GlcCer_NDS(d17:0/21:4)-H,748.57335,586.52045,342.28025,225.22295,299.26235,179.05615
GlcCer_NDS(d17:0/22:0)-H,770.65155,608.59865,364.35845,225.22295,321.34065,179.05615
GlcCer_NDS(d17:0/22:1)-H,768.63595,606.58305,362.34285,225.22295,319.32505,179.05615
GlcCer_NDS(d17:0/22:2)-H,766.62025,604.56745,360.32725,225.22295,317.30935,179.05615
GlcCer_NDS(d17:0/22:3)-H,764.60465,602.55175,358.31155,225.22295,315.29375,179.05615
GlcCer_NDS(d17:0/22:4)-H,762.58895,600.53615,356.29585,225.22295,313.27805,179.05615
GlcCer_NDS(d17:0/23:0)-H,784.66715,622.61435,378.37415,225.22295,335.35625,179.05615
GlcCer_NDS(d17:0/23:1)-H,782.65155,620.59865,376.35845,225.22295,333.34065,179.05615
GlcCer_NDS(d17:0/23:2)-H,780.63595,618.58305,374.34285,225.22295,331.32505,179.05615
GlcCer_NDS(d17:0/23:3)-H,778.62025,616.56745,372.32725,225.22295,329.30935,179.05615
GlcCer_NDS(d17:0/23:4)-H,776.60465,614.55175,370.31155,225.22295,327.29375,179.05615
GlcCer_NDS(d17:0/24:0)-H,798.68285,636.63005,392.38985,225.22295,349.37195,179.05615
GlcCer_NDS(d17:0/24:1)-H,796.66715,634.61435,390.37415,225.22295,347.35625,179.05615
GlcCer_NDS(d17:0/24:2)-H,794.65155,632.59865,388.35845,225.22295,345.34065,179.05615
GlcCer_NDS(d17:0/24:3)-H,792.63595,630.58305,386.34285,225.22295,343.32505,179.05615
GlcCer_NDS(d17:0/24:4)-H,790.62025,628.56745,384.32725,225.22295,341.30935,179.05615
GlcCer_NDS(d17:0/25:0)-H,812.69845,650.64565,406.40545,225.22295,363.38765,179.05615
GlcCer_NDS(d17:0/25:1)-H,810.68285,648.63005,404.38985,225.22295,361.37195,179.05615
GlcCer_NDS(d17:0/25:2)-H,808.66715,646.61435,402.37415,225.22295,359.35625,179.05615
GlcCer_NDS(d17:0/25:3)-H,806.65155,644.59865,400.35845,225.22295,357.34065,179.05615
GlcCer_NDS(d17:0/25:4)-H,804.63595,642.58305,398.34285,225.22295,355.32505,179.05615
GlcCer_NDS(d17:0/26:0)-H,826.71415,664.66135,420.42115,225.22295,377.40325,179.05615
GlcCer_NDS(d17:0/26:1)-H,824.69845,662.64565,418.40545,225.22295,375.38765,179.05615
GlcCer_NDS(d17:0/26:2)-H,822.68285,660.63005,416.38985,225.22295,373.37195,179.05615
GlcCer_NDS(d17:0/26:3)-H,820.66715,658.61435,414.37415,225.22295,371.35625,179.05615
