Cer-NS,[M+H]+,[M-H2O+H]+,[M-2H2O+H]+,[Sph-H2O+H]+,[Sph-2H2O+H]+,[FAA+H]+,[Sph-CH4O2+H]+
Cer-NS(d14:1/34:0)+H,734.7385,716.7279,698.7173,226.2166,208.206,508.5452,196.206
Cer-NS(d14:1/34:1)+H,732.7228,714.7123,696.7017,226.2166,208.206,506.5295,196.206
Cer-NS(d14:1/34:2)+H,730.7072,712.6966,694.686,226.2166,208.206,504.5139,196.206
Cer-NS(d14:1/35:0)+H,748.7542,730.7435,712.733,226.2166,208.206,522.5609,196.206
Cer-NS(d14:1/35:1)+H,746.7385,728.7279,710.7173,226.2166,208.206,520.5452,196.206
Cer-NS(d14:1/36:0)+H,762.7698,744.7592,726.7487,226.2166,208.206,536.5765,196.206
Cer-NS(d14:1/36:1)+H,760.7542,742.7435,724.733,226.2166,208.206,534.5609,196.206
Cer-NS(d14:1/36:2)+H,758.7385,740.7279,722.7173,226.2166,208.206,532.5452,196.206
Cer-NS(d14:1/38:0)+H,790.8011,772.7905,754.7799,226.2166,208.206,564.6078,196.206
Cer-NS(d14:1/38:1)+H,788.7854,770.7748,752.7643,226.2166,208.206,562.5922,196.206
Cer-NS(d14:1/38:2)+H,786.7698,768.7592,750.7487,226.2166,208.206,560.5765,196.206
Cer-NS(d14:1/40:0)+H,818.8324,800.8218,782.8112,226.2166,208.206,592.6391,196.206
Cer-NS(d14:1/40:1)+H,816.8167,798.8062,780.7956,226.2166,208.206,590.6235,196.206
Cer-NS(d14:1/40:2)+H,814.8011,796.7905,778.7799,226.2166,208.206,588.6078,196.206
Cer-NS(d14:1/42:0)+H,846.8636,828.8531,810.8425,226.2166,208.206,620.6704,196.206
Cer-NS(d14:1/42:1)+H,844.848,826.8375,808.8269,226.2166,208.206,618.6547,196.206
Cer-NS(d14:1/42:2)+H,842.8324,824.8218,806.8112,226.2166,208.206,616.6391,196.206
Cer-NS(d14:2/12:0)+H,424.3785,406.368,388.3574,224.2009,206.1903,200.2009,194.1903
Cer-NS(d14:2/12:1)+H,422.3629,404.3523,386.3417,224.2009,206.1903,198.1853,194.1903
Cer-NS(d14:2/13:0)+H,438.3942,420.3836,402.373,224.2009,206.1903,214.2166,194.1903
Cer-NS(d14:2/13:1)+H,436.3785,418.368,400.3574,224.2009,206.1903,212.2009,194.1903
Cer-NS(d14:2/14:0)+H,452.4098,434.3993,416.3887,224.2009,206.1903,228.2322,194.1903
Cer-NS(d14:2/14:1)+H,450.3942,432.3836,414.373,224.2009,206.1903,226.2166,194.1903
Cer-NS(d14:2/15:0)+H,466.4255,448.4149,430.4043,224.2009,206.1903,242.2478,194.1903
Cer-NS(d14:2/15:1)+H,464.4098,446.3993,428.3887,224.2009,206.1903,240.2322,194.1903
Cer-NS(d14:2/16:0)+H,480.4411,462.4305,444.42,224.2009,206.1903,256.2635,194.1903
Cer-NS(d14:2/16:1)+H,478.4255,460.4149,442.4043,224.2009,206.1903,254.2478,194.1903
Cer-NS(d14:2/16:2)+H,476.4098,458.3993,440.3887,224.2009,206.1903,252.2322,194.1903
Cer-NS(d14:2/17:0)+H,494.4568,476.4462,458.4356,224.2009,206.1903,270.2791,194.1903
Cer-NS(d14:2/18:0)+H,508.4724,490.4619,472.4513,224.2009,206.1903,284.2948,194.1903
Cer-NS(d14:2/18:1)+H,506.4568,488.4462,470.4356,224.2009,206.1903,282.2791,194.1903
Cer-NS(d14:2/18:2)+H,504.4411,486.4305,468.42,224.2009,206.1903,280.2635,194.1903
Cer-NS(d14:2/19:0)+H,522.4881,504.4775,486.4669,224.2009,206.1903,298.3105,194.1903
Cer-NS(d14:2/19:1)+H,520.4724,502.4619,484.4513,224.2009,206.1903,296.2948,194.1903
Cer-NS(d14:2/20:0)+H,536.5037,518.4932,500.4826,224.2009,206.1903,312.3261,194.1903
Cer-NS(d14:2/20:1)+H,534.4881,516.4775,498.4669,224.2009,206.1903,310.3105,194.1903
Cer-NS(d14:2/20:2)+H,532.4724,514.4619,496.4513,224.2009,206.1903,308.2948,194.1903
Cer-NS(d14:2/21:0)+H,550.5193,532.5088,514.4982,224.2009,206.1903,326.3417,194.1903
Cer-NS(d14:2/21:1)+H,548.5037,530.4932,512.4826,224.2009,206.1903,324.3261,194.1903
Cer-NS(d14:2/22:0)+H,564.535,546.5245,528.5139,224.2009,206.1903,340.3574,194.1903
Cer-NS(d14:2/22:1)+H,562.5193,544.5088,526.4982,224.2009,206.1903,338.3417,194.1903
Cer-NS(d14:2/22:2)+H,560.5037,542.4932,524.4826,224.2009,206.1903,336.3261,194.1903
Cer-NS(d14:2/23:0)+H,578.5507,560.5401,542.5295,224.2009,206.1903,354.373,194.1903
Cer-NS(d14:2/23:1)+H,576.535,558.5245,540.5139,224.2009,206.1903,352.3574,194.1903
Cer-NS(d14:2/24:0)+H,592.5663,574.5557,556.5452,224.2009,206.1903,368.3887,194.1903
Cer-NS(d14:2/24:1)+H,590.5507,572.5401,554.5295,224.2009,206.1903,366.373,194.1903
Cer-NS(d14:2/24:2)+H,588.535,570.5245,552.5139,224.2009,206.1903,364.3574,194.1903
Cer-NS(d14:2/25:0)+H,606.582,588.5714,570.5609,224.2009,206.1903,382.4044,194.1903
Cer-NS(d14:2/25:1)+H,604.5663,586.5557,568.5452,224.2009,206.1903,380.3887,194.1903
Cer-NS(d14:2/26:0)+H,620.5976,602.587,584.5765,224.2009,206.1903,396.42,194.1903
Cer-NS(d14:2/26:1)+H,618.582,600.5714,582.5609,224.2009,206.1903,394.4044,194.1903
Cer-NS(d14:2/26:2)+H,616.5663,598.5557,580.5452,224.2009,206.1903,392.3887,194.1903
Cer-NS(d14:2/27:0)+H,634.6133,616.6027,598.5921,224.2009,206.1903,410.4356,194.1903
Cer-NS(d14:2/27:1)+H,632.5976,614.587,596.5765,224.2009,206.1903,408.42,194.1903
Cer-NS(d14:2/28:0)+H,648.6289,630.6183,612.6078,224.2009,206.1903,424.4513,194.1903
Cer-NS(d14:2/28:1)+H,646.6133,628.6027,610.5921,224.2009,206.1903,422.4356,194.1903
Cer-NS(d14:2/28:2)+H,644.5976,626.587,608.5765,224.2009,206.1903,420.42,194.1903
Cer-NS(d14:2/29:0)+H,662.6446,644.634,626.6234,224.2009,206.1903,438.4669,194.1903
Cer-NS(d14:2/29:1)+H,660.6289,642.6183,624.6078,224.2009,206.1903,436.4513,194.1903
Cer-NS(d14:2/30:0)+H,676.6602,658.6497,640.6391,224.2009,206.1903,452.4826,194.1903
Cer-NS(d14:2/30:1)+H,674.6446,656.634,638.6234,224.2009,206.1903,450.4669,194.1903
Cer-NS(d14:2/30:2)+H,672.6289,654.6183,636.6078,224.2009,206.1903,448.4513,194.1903
Cer-NS(d14:2/31:0)+H,690.6758,672.6653,654.6547,224.2009,206.1903,466.4983,194.1903
Cer-NS(d14:2/31:1)+H,688.6602,670.6497,652.6391,224.2009,206.1903,464.4826,194.1903
Cer-NS(d14:2/32:0)+H,704.6915,686.681,668.6704,224.2009,206.1903,480.5139,194.1903
Cer-NS(d14:2/32:1)+H,702.6758,684.6653,666.6547,224.2009,206.1903,478.4983,194.1903
Cer-NS(d14:2/32:2)+H,700.6602,682.6497,664.6391,224.2009,206.1903,476.4826,194.1903
Cer-NS(d14:2/33:0)+H,718.7072,700.6966,682.686,224.2009,206.1903,494.5295,194.1903
Cer-NS(d14:2/33:1)+H,716.6915,698.681,680.6704,224.2009,206.1903,492.5139,194.1903
Cer-NS(d14:2/34:0)+H,732.7228,714.7123,696.7017,224.2009,206.1903,508.5452,194.1903
Cer-NS(d14:2/34:1)+H,730.7072,712.6966,694.686,224.2009,206.1903,506.5295,194.1903
Cer-NS(d14:2/34:2)+H,728.6915,710.681,692.6704,224.2009,206.1903,504.5139,194.1903
Cer-NS(d14:2/35:0)+H,746.7385,728.7279,710.7173,224.2009,206.1903,522.5609,194.1903
Cer-NS(d14:2/35:1)+H,744.7228,726.7123,708.7017,224.2009,206.1903,520.5452,194.1903
Cer-NS(d14:2/36:0)+H,760.7542,742.7435,724.733,224.2009,206.1903,536.5765,194.1903
Cer-NS(d14:2/36:1)+H,758.7385,740.7279,722.7173,224.2009,206.1903,534.5609,194.1903
Cer-NS(d14:2/36:2)+H,756.7228,738.7123,720.7017,224.2009,206.1903,532.5452,194.1903
Cer-NS(d14:2/38:0)+H,788.7854,770.7748,752.7643,224.2009,206.1903,564.6078,194.1903
Cer-NS(d14:2/38:1)+H,786.7698,768.7592,750.7487,224.2009,206.1903,562.5922,194.1903
Cer-NS(d14:2/38:2)+H,784.7542,766.7435,748.733,224.2009,206.1903,560.5765,194.1903
Cer-NS(d14:2/40:0)+H,816.8167,798.8062,780.7956,224.2009,206.1903,592.6391,194.1903
Cer-NS(d14:2/40:1)+H,814.8011,796.7905,778.7799,224.2009,206.1903,590.6235,194.1903
Cer-NS(d14:2/40:2)+H,812.7854,794.7748,776.7643,224.2009,206.1903,588.6078,194.1903
Cer-NS(d14:2/42:0)+H,844.848,826.8375,808.8269,224.2009,206.1903,620.6704,194.1903
Cer-NS(d14:2/42:1)+H,842.8324,824.8218,806.8112,224.2009,206.1903,618.6547,194.1903
Cer-NS(d14:2/42:2)+H,840.8167,822.8062,804.7956,224.2009,206.1903,616.6391,194.1903
Cer-NS(d14:3/12:0)+H,422.3629,404.3523,386.3417,222.1853,204.1747,200.2009,192.1747
Cer-NS(d14:3/12:1)+H,420.3472,402.3366,384.3261,222.1853,204.1747,198.1853,192.1747
Cer-NS(d14:3/13:0)+H,436.3785,418.368,400.3574,222.1853,204.1747,214.2166,192.1747
Cer-NS(d14:3/13:1)+H,434.3629,416.3523,398.3417,222.1853,204.1747,212.2009,192.1747
Cer-NS(d14:3/14:0)+H,450.3942,432.3836,414.373,222.1853,204.1747,228.2322,192.1747
Cer-NS(d14:3/14:1)+H,448.3785,430.368,412.3574,222.1853,204.1747,226.2166,192.1747
Cer-NS(d14:3/15:0)+H,464.4098,446.3993,428.3887,222.1853,204.1747,242.2478,192.1747
Cer-NS(d14:3/15:1)+H,462.3942,444.3836,426.373,222.1853,204.1747,240.2322,192.1747
Cer-NS(d14:3/16:0)+H,478.4255,460.4149,442.4043,222.1853,204.1747,256.2635,192.1747
Cer-NS(d14:3/16:1)+H,476.4098,458.3993,440.3887,222.1853,204.1747,254.2478,192.1747
Cer-NS(d14:3/16:2)+H,474.3942,456.3836,438.373,222.1853,204.1747,252.2322,192.1747
Cer-NS(d14:3/17:0)+H,492.4411,474.4305,456.42,222.1853,204.1747,270.2791,192.1747
Cer-NS(d14:3/18:0)+H,506.4568,488.4462,470.4356,222.1853,204.1747,284.2948,192.1747
Cer-NS(d14:3/18:1)+H,504.4411,486.4305,468.42,222.1853,204.1747,282.2791,192.1747
Cer-NS(d14:3/18:2)+H,502.4255,484.4149,466.4043,222.1853,204.1747,280.2635,192.1747
Cer-NS(d14:3/19:0)+H,520.4724,502.4619,484.4513,222.1853,204.1747,298.3105,192.1747
