Cer_NP,[M-H]-,[M-H2O-H]-,[M-2H2O-H]-,[FAA+C3H5O-H]-,[FAA+C2H5O-H]-,[FAA+C2H5O-H]-,[FAA+C2H3-H]-,[Sph-CH9NO-H]-,[FA+O-H]-,[Sph-C2H9NO-H]-,[FAA-H]-,[Sph-C3H11NO2-H]-
Cer_NP(t20:0/17:1)-H,594.54665,576.53615,558.52555,322.27465,310.27465,310.27465,292.26405,295.26375,267.23355,283.26375,266.24895,253.25315
Cer_NP(t20:0/17:2)-H,592.53105,574.52045,556.50985,320.25895,308.25895,308.25895,290.24845,295.26375,265.21785,283.26375,264.23325,253.25315
Cer_NP(t20:0/17:3)-H,590.51535,572.50485,554.49425,318.24335,306.24335,306.24335,288.23275,295.26375,263.20225,283.26375,262.21765,253.25315
Cer_NP(t20:0/18:0)-H,610.57805,592.56745,574.55685,338.30595,326.30595,326.30595,308.29535,295.26375,283.26485,283.26375,282.28025,253.25315
Cer_NP(t20:0/18:1)-H,608.56235,590.55175,572.54115,336.29025,324.29025,324.29025,306.27965,295.26375,281.24915,283.26375,280.26455,253.25315
Cer_NP(t20:0/18:2)-H,606.54665,588.53615,570.52555,334.27465,322.27465,322.27465,304.26405,295.26375,279.23355,283.26375,278.24895,253.25315
Cer_NP(t20:0/18:3)-H,604.53105,586.52045,568.50985,332.25895,320.25895,320.25895,302.24845,295.26375,277.21785,283.26375,276.23325,253.25315
Cer_NP(t20:0/18:4)-H,602.51535,584.50485,566.49425,330.24335,318.24335,318.24335,300.23275,295.26375,275.20225,283.26375,274.21765,253.25315
Cer_NP(t20:0/19:0)-H,624.59365,606.58305,588.57255,352.32155,340.32155,340.32155,322.31105,295.26375,297.28045,283.26375,296.29585,253.25315
Cer_NP(t20:0/19:1)-H,622.57805,604.56745,586.55685,350.30595,338.30595,338.30595,320.29535,295.26375,295.26485,283.26375,294.28025,253.25315
Cer_NP(t20:0/19:2)-H,620.56235,602.55175,584.54115,348.29025,336.29025,336.29025,318.27965,295.26375,293.24915,283.26375,292.26455,253.25315
Cer_NP(t20:0/19:3)-H,618.54665,600.53615,582.52555,346.27465,334.27465,334.27465,316.26405,295.26375,291.23355,283.26375,290.24895,253.25315
Cer_NP(t20:0/19:4)-H,616.53105,598.52045,580.50985,344.25895,332.25895,332.25895,314.24845,295.26375,289.21785,283.26375,288.23325,253.25315
Cer_NP(t20:0/20:0)-H,638.60935,620.59865,602.58815,366.33725,354.33725,354.33725,336.32665,295.26375,311.29615,283.26375,310.31155,253.25315
Cer_NP(t20:0/20:1)-H,636.59365,618.58305,600.57255,364.32155,352.32155,352.32155,334.31105,295.26375,309.28045,283.26375,308.29585,253.25315
Cer_NP(t20:0/20:2)-H,634.57805,616.56745,598.55685,362.30595,350.30595,350.30595,332.29535,295.26375,307.26485,283.26375,306.28025,253.25315
Cer_NP(t20:0/20:3)-H,632.56235,614.55175,596.54115,360.29025,348.29025,348.29025,330.27965,295.26375,305.24915,283.26375,304.26455,253.25315
Cer_NP(t20:0/20:4)-H,630.54665,612.53615,594.52555,358.27465,346.27465,346.27465,328.26405,295.26375,303.23355,283.26375,302.24895,253.25315
Cer_NP(t20:0/21:0)-H,652.62495,634.61435,616.60385,380.35285,368.35285,368.35285,350.34225,295.26375,325.31175,283.26375,324.32715,253.25315
Cer_NP(t20:0/21:1)-H,650.60935,632.59865,614.58815,378.33725,366.33725,366.33725,348.32665,295.26375,323.29615,283.26375,322.31155,253.25315
Cer_NP(t20:0/21:2)-H,648.59365,630.58305,612.57255,376.32155,364.32155,364.32155,346.31105,295.26375,321.28045,283.26375,320.29585,253.25315
Cer_NP(t20:0/21:3)-H,646.57805,628.56745,610.55685,374.30595,362.30595,362.30595,344.29535,295.26375,319.26485,283.26375,318.28025,253.25315
Cer_NP(t20:0/21:4)-H,644.56235,626.55175,608.54115,372.29025,360.29025,360.29025,342.27965,295.26375,317.24915,283.26375,316.26455,253.25315
Cer_NP(t20:0/22:0)-H,666.64055,648.63005,630.61945,394.36855,382.36855,382.36855,364.35795,295.26375,339.32745,283.26375,338.34285,253.25315
Cer_NP(t20:0/22:1)-H,664.62495,646.61435,628.60385,392.35285,380.35285,380.35285,362.34225,295.26375,337.31175,283.26375,336.32715,253.25315
Cer_NP(t20:0/22:2)-H,662.60935,644.59865,626.58815,390.33725,378.33725,378.33725,360.32665,295.26375,335.29615,283.26375,334.31155,253.25315
Cer_NP(t20:0/22:3)-H,660.59365,642.58305,624.57255,388.32155,376.32155,376.32155,358.31105,295.26375,333.28045,283.26375,332.29585,253.25315
Cer_NP(t20:0/22:4)-H,658.57805,640.56745,622.55685,386.30595,374.30595,374.30595,356.29535,295.26375,331.26485,283.26375,330.28025,253.25315
Cer_NP(t20:0/23:0)-H,680.65625,662.64565,644.63505,408.38415,396.38415,396.38415,378.37355,295.26375,353.34305,283.26375,352.35845,253.25315
Cer_NP(t20:0/23:1)-H,678.64055,660.63005,642.61945,406.36855,394.36855,394.36855,376.35795,295.26375,351.32745,283.26375,350.34285,253.25315
Cer_NP(t20:0/23:2)-H,676.62495,658.61435,640.60385,404.35285,392.35285,392.35285,374.34225,295.26375,349.31175,283.26375,348.32715,253.25315
Cer_NP(t20:0/23:3)-H,674.60935,656.59865,638.58815,402.33725,390.33725,390.33725,372.32665,295.26375,347.29615,283.26375,346.31155,253.25315
Cer_NP(t20:0/23:4)-H,672.59365,654.58305,636.57255,400.32155,388.32155,388.32155,370.31105,295.26375,345.28045,283.26375,344.29585,253.25315
Cer_NP(t20:0/24:0)-H,694.67185,676.66135,658.65075,422.39985,410.39985,410.39985,392.38925,295.26375,367.35875,283.26375,366.37415,253.25315
Cer_NP(t20:0/24:1)-H,692.65625,674.64565,656.63505,420.38415,408.38415,408.38415,390.37355,295.26375,365.34305,283.26375,364.35845,253.25315
Cer_NP(t20:0/24:2)-H,690.64055,672.63005,654.61945,418.36855,406.36855,406.36855,388.35795,295.26375,363.32745,283.26375,362.34285,253.25315
Cer_NP(t20:0/24:3)-H,688.62495,670.61435,652.60385,416.35285,404.35285,404.35285,386.34225,295.26375,361.31175,283.26375,360.32715,253.25315
Cer_NP(t20:0/24:4)-H,686.60935,668.59865,650.58815,414.33725,402.33725,402.33725,384.32665,295.26375,359.29615,283.26375,358.31155,253.25315
Cer_NP(t20:0/25:0)-H,708.68755,690.67695,672.66635,436.41545,424.41545,424.41545,406.40495,295.26375,381.37435,283.26375,380.38985,253.25315
Cer_NP(t20:0/25:1)-H,706.67185,688.66135,670.65075,434.39985,422.39985,422.39985,404.38925,295.26375,379.35875,283.26375,378.37415,253.25315
Cer_NP(t20:0/25:2)-H,704.65625,686.64565,668.63505,432.38415,420.38415,420.38415,402.37355,295.26375,377.34305,283.26375,376.35845,253.25315
Cer_NP(t20:0/25:3)-H,702.64055,684.63005,666.61945,430.36855,418.36855,418.36855,400.35795,295.26375,375.32745,283.26375,374.34285,253.25315
Cer_NP(t20:0/25:4)-H,700.62495,682.61435,664.60385,428.35285,416.35285,416.35285,398.34225,295.26375,373.31175,283.26375,372.32715,253.25315
Cer_NP(t20:0/26:0)-H,722.70315,704.69265,686.68205,450.43115,438.43115,438.43115,420.42055,295.26375,395.39005,283.26375,394.40545,253.25315
Cer_NP(t20:0/26:1)-H,720.68755,702.67695,684.66635,448.41545,436.41545,436.41545,418.40495,295.26375,393.37435,283.26375,392.38985,253.25315
Cer_NP(t20:0/26:2)-H,718.67185,700.66135,682.65075,446.39985,434.39985,434.39985,416.38925,295.26375,391.35875,283.26375,390.37415,253.25315
Cer_NP(t20:0/26:3)-H,716.65625,698.64565,680.63505,444.38415,432.38415,432.38415,414.37355,295.26375,389.34305,283.26375,388.35845,253.25315
Cer_NP(t20:0/26:4)-H,714.64055,696.63005,678.61945,442.36855,430.36855,430.36855,412.35795,295.26375,387.32745,283.26375,386.34285,253.25315
Cer_NP(t20:0/27:0)-H,736.71885,718.70825,700.69765,464.44675,452.44675,452.44675,434.43615,295.26375,409.40565,283.26375,408.42105,253.25315
Cer_NP(t20:0/27:1)-H,734.70315,716.69265,698.68205,462.43115,450.43115,450.43115,432.42055,295.26375,407.39005,283.26375,406.40545,253.25315
Cer_NP(t20:0/27:2)-H,732.68755,714.67695,696.66635,460.41545,448.41545,448.41545,430.40495,295.26375,405.37435,283.26375,404.38985,253.25315
Cer_NP(t20:0/27:3)-H,730.67185,712.66135,694.65075,458.39985,446.39985,446.39985,428.38925,295.26375,403.35875,283.26375,402.37415,253.25315
Cer_NP(t20:0/27:4)-H,728.65625,710.64565,692.63505,456.38415,444.38415,444.38415,426.37355,295.26375,401.34305,283.26375,400.35845,253.25315
Cer_NP(t20:0/28:0)-H,750.73445,732.72395,714.71335,478.46245,466.46245,466.46245,448.45185,295.26375,423.42125,283.26375,422.43675,253.25315
Cer_NP(t20:0/28:1)-H,748.71885,730.70825,712.69765,476.44675,464.44675,464.44675,446.43615,295.26375,421.40565,283.26375,420.42105,253.25315
Cer_NP(t20:0/28:2)-H,746.70315,728.69265,710.68205,474.43115,462.43115,462.43115,444.42055,295.26375,419.39005,283.26375,418.40545,253.25315
Cer_NP(t20:0/28:3)-H,744.68755,726.67695,708.66635,472.41545,460.41545,460.41545,442.40495,295.26375,417.37435,283.26375,416.38985,253.25315
Cer_NP(t20:0/28:4)-H,742.67185,724.66135,706.65075,470.39985,458.39985,458.39985,440.38925,295.26375,415.35875,283.26375,414.37415,253.25315
Cer_NP(t20:0/29:0)-H,764.75015,746.73955,728.72905,492.47805,480.47805,480.47805,462.46745,295.26375,437.43695,283.26375,436.45235,253.25315
Cer_NP(t20:0/29:1)-H,762.73445,744.72395,726.71335,490.46245,478.46245,478.46245,460.45185,295.26375,435.42125,283.26375,434.43675,253.25315
Cer_NP(t20:0/29:2)-H,760.71885,742.70825,724.69765,488.44675,476.44675,476.44675,458.43615,295.26375,433.40565,283.26375,432.42105,253.25315
Cer_NP(t20:0/29:3)-H,758.70315,740.69265,722.68205,486.43115,474.43115,474.43115,456.42055,295.26375,431.39005,283.26375,430.40545,253.25315
Cer_NP(t20:0/29:4)-H,756.68755,738.67695,720.66635,484.41545,472.41545,472.41545,454.40495,295.26375,429.37435,283.26375,428.38985,253.25315
Cer_NP(t20:0/30:0)-H,778.76585,760.75525,742.74465,506.49375,494.49375,494.49375,476.48315,295.26375,451.45265,283.26375,450.46805,253.25315
Cer_NP(t20:0/30:1)-H,776.75015,758.73955,740.72905,504.47805,492.47805,492.47805,474.46745,295.26375,449.43695,283.26375,448.45235,253.25315
Cer_NP(t20:0/30:2)-H,774.73445,756.72395,738.71335,502.46245,490.46245,490.46245,472.45185,295.26375,447.42125,283.26375,446.43675,253.25315
Cer_NP(t20:0/30:3)-H,772.71885,754.70825,736.69765,500.44675,488.44675,488.44675,470.43615,295.26375,445.40565,283.26375,444.42105,253.25315
Cer_NP(t20:0/30:4)-H,770.70315,752.69265,734.68205,498.43115,486.43115,486.43115,468.42055,295.26375,443.39005,283.26375,442.40545,253.25315
Cer_NP(t20:0/31:0)-H,792.78145,774.77085,756.76035,520.50945,508.50935,508.50935,490.49885,295.26375,465.46825,283.26375,464.48375,253.25315
Cer_NP(t20:0/31:1)-H,790.76585,772.75525,754.74465,518.49375,506.49375,506.49375,488.48315,295.26375,463.45265,283.26375,462.46805,253.25315
Cer_NP(t20:0/31:2)-H,788.75015,770.73955,752.72905,516.47805,504.47805,504.47805,486.46745,295.26375,461.43695,283.26375,460.45235,253.25315
Cer_NP(t20:0/31:3)-H,786.73445,768.72395,750.71335,514.46245,502.46245,502.46245,484.45185,295.26375,459.42125,283.26375,458.43675,253.25315
Cer_NP(t20:0/31:4)-H,784.71885,766.70825,748.69765,512.44675,500.44675,500.44675,482.43615,295.26375,457.40565,283.26375,456.42105,253.25315
Cer_NP(t20:0/32:0)-H,806.79715,788.78645,770.77595,534.52505,522.52505,522.52505,504.51445,295.26375,479.48395,283.26375,478.49935,253.25315
Cer_NP(t20:0/32:1)-H,804.78145,786.77085,768.76035,532.50945,520.50945,520.50945,502.49885,295.26375,477.46825,283.26375,476.48375,253.25315
Cer_NP(t20:0/32:2)-H,802.76585,784.75525,766.74465,530.49375,518.49375,518.49375,500.48315,295.26375,475.45265,283.26375,474.46805,253.25315
Cer_NP(t20:0/32:3)-H,800.75015,782.73955,764.72905,528.47805,516.47805,516.47805,498.46745,295.26375,473.43695,283.26375,472.45235,253.25315
Cer_NP(t20:0/32:4)-H,798.73445,780.72395,762.71335,526.46245,514.46245,514.46245,496.45185,295.26375,471.42125,283.26375,470.43675,253.25315
Cer_NP(t20:0/33:0)-H,820.81275,802.80215,784.79165,548.54065,536.54065,536.54065,518.53005,295.26375,493.49955,283.26375,492.51495,253.25315
Cer_NP(t20:0/33:1)-H,818.79715,800.78645,782.77595,546.52505,534.52505,534.52505,516.51445,295.26375,491.48395,283.26375,490.49935,253.25315
Cer_NP(t20:0/33:2)-H,816.78145,798.77085,780.76035,544.50945,532.50945,532.50945,514.49875,295.26375,489.46825,283.26375,488.48375,253.25315
Cer_NP(t20:0/33:3)-H,814.76585,796.75525,778.74465,542.49375,530.49375,530.49375,512.48315,295.26375,487.45265,283.26375,486.46805,253.25315
Cer_NP(t20:0/33:4)-H,812.75015,794.73955,776.72905,540.47805,528.47805,528.47805,510.46745,295.26375,485.43695,283.26375,484.45235,253.25315
Cer_NP(t20:0/34:0)-H,834.82835,816.81785,798.80725,562.55635,550.55635,550.55635,532.54575,295.26375,507.51515,283.26375,506.53065,253.25315
Cer_NP(t20:0/34:1)-H,832.81275,814.80215,796.79165,560.54065,548.54065,548.54065,530.53005,295.26375,505.49955,283.26375,504.51495,253.25315
Cer_NP(t20:0/34:2)-H,830.79715,812.78645,794.77595,558.52505,546.52505,546.52505,528.51445,295.26375,503.48395,283.26375,502.49935,253.25315
Cer_NP(t20:0/34:3)-H,828.78145,810.77085,792.76035,556.50945,544.50945,544.50945,526.49875,295.26375,501.46825,283.26375,500.48375,253.25315
Cer_NP(t20:0/34:4)-H,826.76585,808.75525,790.74465,554.49375,542.49375,542.49375,524.48315,295.26375,499.45265,283.26375,498.46805,253.25315
Cer_NP(t20:0/35:0)-H,848.84405,830.83345,812.82285,576.57195,564.57195,564.57195,546.56145,295.26375,521.53085,283.26375,520.54625,253.25315
Cer_NP(t20:0/35:1)-H,846.82835,828.81785,810.80725,574.55635,562.55635,562.55635,544.54575,295.26375,519.51515,283.26375,518.53065,253.25315
Cer_NP(t20:0/35:2)-H,844.81275,826.80215,808.79165,572.54065,560.54065,560.54065,542.53005,295.26375,517.49955,283.26375,516.51505,253.25315
Cer_NP(t20:0/35:3)-H,842.79715,824.78645,806.77595,570.52505,558.52505,558.52505,540.51445,295.26375,515.48385,283.26375,514.49935,253.25315
Cer_NP(t20:0/35:4)-H,840.78145,822.77085,804.76035,568.50945,556.50945,556.50945,538.49875,295.26375,513.46825,283.26375,512.48375,253.25315
Cer_NP(t20:0/36:0)-H,862.85965,844.84915,826.83855,590.58765,578.58765,578.58765,560.57705,295.26375,535.54655,283.26375,534.56195,253.25315
Cer_NP(t20:0/36:1)-H,860.84405,842.83345,824.82285,588.57195,576.57195,576.57195,558.56145,295.26375,533.53085,283.26375,532.54625,253.25315
Cer_NP(t20:0/36:2)-H,858.82835,840.81785,822.80725,586.55635,574.55635,574.55635,556.54575,295.26375,531.51515,283.26375,530.53065,253.25315
Cer_NP(t20:0/36:3)-H,856.81275,838.80215,820.79165,584.54065,572.54065,572.54065,554.53005,295.26375,529.49955,283.26375,528.51505,253.25315
Cer_NP(t20:0/36:4)-H,854.79715,836.78645,818.77595,582.52505,570.52505,570.52505,552.51445,295.26375,527.48385,283.26375,526.49935,253.25315
Cer_NP(t21:0/14:0)-H,568.53105,550.52045,532.50985,282.24335,270.24335,270.24335,252.23275,309.27935,227.20225,297.27935,226.21765,267.26875
Cer_NP(t21:0/14:1)-H,566.51535,548.50485,530.49425,280.22765,268.22765,268.22765,250.21715,309.27935,225.18655,297.27935,224.20195,267.26875
Cer_NP(t21:0/14:2)-H,564.49975,546.48915,528.47855,278.21205,266.21205,266.21205,248.20145,309.27935,223.17095,297.27935,222.18635,267.26875
Cer_NP(t21:0/14:3)-H,562.48405,544.47355,526.46295,276.19635,264.19635,264.19635,246.18585,309.27935,221.15525,297.27935,220.17065,267.26875
Cer_NP(t21:0/15:0)-H,582.54665,564.53615,546.52555,296.25895,284.25895,284.25895,266.24845,309.27935,241.21785,297.27935,240.23325,267.26875
Cer_NP(t21:0/15:1)-H,580.53105,562.52045,544.50985,294.24335,282.24335,282.24335,264.23275,309.27935,239.20225,297.27935,238.21765,267.26875
Cer_NP(t21:0/15:2)-H,578.51535,560.50485,542.49425,292.22765,280.22765,280.22765,262.21715,309.27935,237.18655,297.27935,236.20195,267.26875
Cer_NP(t21:0/15:3)-H,576.49975,558.48915,540.47855,290.21205,278.21205,278.21205,260.20145,309.27935,235.17095,297.27935,234.18635,267.26875
Cer_NP(t21:0/16:0)-H,596.56235,578.55175,560.54115,310.27465,298.27465,298.27465,280.26405,309.27935,255.23355,297.27935,254.24895,267.26875
Cer_NP(t21:0/16:1)-H,594.54665,576.53615,558.52555,308.25895,296.25895,296.25895,278.24845,309.27935,253.21785,297.27935,252.23325,267.26875
Cer_NP(t21:0/16:2)-H,592.53105,574.52045,556.50985,306.24335,294.24335,294.24335,276.23275,309.27935,251.20225,297.27935,250.21765,267.26875
Cer_NP(t21:0/16:3)-H,590.51535,572.50485,554.49425,304.22765,292.22765,292.22765,274.21715,309.27935,249.18655,297.27935,248.20195,267.26875
Cer_NP(t21:0/16:4)-H,588.49975,570.48915,552.47855,302.21205,290.21205,290.21205,272.20145,309.27935,247.17095,297.27935,246.18635,267.26875
Cer_NP(t21:0/17:0)-H,610.57805,592.56745,574.55685,324.29025,312.29025,312.29025,294.27965,309.27935,269.24915,297.27935,268.26455,267.26875
Cer_NP(t21:0/17:1)-H,608.56235,590.55175,572.54115,322.27465,310.27465,310.27465,292.26405,309.27935,267.23355,297.27935,266.24895,267.26875
Cer_NP(t21:0/17:2)-H,606.54665,588.53615,570.52555,320.25895,308.25895,308.25895,290.24845,309.27935,265.21785,297.27935,264.23325,267.26875
Cer_NP(t21:0/17:3)-H,604.53105,586.52045,568.50985,318.24335,306.24335,306.24335,288.23275,309.27935,263.20225,297.27935,262.21765,267.26875
Cer_NP(t21:0/18:0)-H,624.59365,606.58305,588.57255,338.30595,326.30595,326.30595,308.29535,309.27935,283.26485,297.27935,282.28025,267.26875
Cer_NP(t21:0/18:1)-H,622.57805,604.56745,586.55685,336.29025,324.29025,324.29025,306.27965,309.27935,281.24915,297.27935,280.26455,267.26875
Cer_NP(t21:0/18:2)-H,620.56235,602.55175,584.54115,334.27465,322.27465,322.27465,304.26405,309.27935,279.23355,297.27935,278.24895,267.26875
Cer_NP(t21:0/18:3)-H,618.54665,600.53615,582.52555,332.25895,320.25895,320.25895,302.24845,309.27935,277.21785,297.27935,276.23325,267.26875
Cer_NP(t21:0/18:4)-H,616.53105,598.52045,580.50985,330.24335,318.24335,318.24335,300.23275,309.27935,275.20225,297.27935,274.21765,267.26875
Cer_NP(t21:0/19:0)-H,638.60935,620.59865,602.58815,352.32155,340.32155,340.32155,322.31105,309.27935,297.28045,297.27935,296.29585,267.26875
Cer_NP(t21:0/19:1)-H,636.59365,618.58305,600.57255,350.30595,338.30595,338.30595,320.29535,309.27935,295.26485,297.27935,294.28025,267.26875
Cer_NP(t21:0/19:2)-H,634.57805,616.56745,598.55685,348.29025,336.29025,336.29025,318.27965,309.27935,293.24915,297.27935,292.26455,267.26875
Cer_NP(t21:0/19:3)-H,632.56235,614.55175,596.54115,346.27465,334.27465,334.27465,316.26405,309.27935,291.23355,297.27935,290.24895,267.26875
Cer_NP(t21:0/19:4)-H,630.54665,612.53615,594.52555,344.25895,332.25895,332.25895,314.24845,309.27935,289.21785,297.27935,288.23325,267.26875
Cer_NP(t21:0/20:0)-H,652.62495,634.61435,616.60385,366.33725,354.33725,354.33725,336.32665,309.27935,311.29615,297.27935,310.31155,267.26875
Cer_NP(t21:0/20:1)-H,650.60935,632.59865,614.58815,364.32155,352.32155,352.32155,334.31105,309.27935,309.28045,297.27935,308.29585,267.26875
Cer_NP(t21:0/20:2)-H,648.59365,630.58305,612.57255,362.30595,350.30595,350.30595,332.29535,309.27935,307.26485,297.27935,306.28025,267.26875
Cer_NP(t21:0/20:3)-H,646.57805,628.56745,610.55685,360.29025,348.29025,348.29025,330.27965,309.27935,305.24915,297.27935,304.26455,267.26875
Cer_NP(t21:0/20:4)-H,644.56235,626.55175,608.54115,358.27465,346.27465,346.27465,328.26405,309.27935,303.23355,297.27935,302.24895,267.26875
Cer_NP(t21:0/21:0)-H,666.64055,648.63005,630.61945,380.35285,368.35285,368.35285,350.34225,309.27935,325.31175,297.27935,324.32715,267.26875
Cer_NP(t21:0/21:1)-H,664.62495,646.61435,628.60385,378.33725,366.33725,366.33725,348.32665,309.27935,323.29615,297.27935,322.31155,267.26875
Cer_NP(t21:0/21:2)-H,662.60935,644.59865,626.58815,376.32155,364.32155,364.32155,346.31105,309.27935,321.28045,297.27935,320.29585,267.26875
Cer_NP(t21:0/21:3)-H,660.59365,642.58305,624.57255,374.30595,362.30595,362.30595,344.29535,309.27935,319.26485,297.27935,318.28025,267.26875
Cer_NP(t21:0/21:4)-H,658.57805,640.56745,622.55685,372.29025,360.29025,360.29025,342.27965,309.27935,317.24915,297.27935,316.26455,267.26875
Cer_NP(t21:0/22:0)-H,680.65625,662.64565,644.63505,394.36855,382.36855,382.36855,364.35795,309.27935,339.32745,297.27935,338.34285,267.26875
Cer_NP(t21:0/22:1)-H,678.64055,660.63005,642.61945,392.35285,380.35285,380.35285,362.34225,309.27935,337.31175,297.27935,336.32715,267.26875
Cer_NP(t21:0/22:2)-H,676.62495,658.61435,640.60385,390.33725,378.33725,378.33725,360.32665,309.27935,335.29615,297.27935,334.31155,267.26875
Cer_NP(t21:0/22:3)-H,674.60935,656.59865,638.58815,388.32155,376.32155,376.32155,358.31105,309.27935,333.28045,297.27935,332.29585,267.26875
Cer_NP(t21:0/22:4)-H,672.59365,654.58305,636.57255,386.30595,374.30595,374.30595,356.29535,309.27935,331.26485,297.27935,330.28025,267.26875
Cer_NP(t21:0/23:0)-H,694.67185,676.66135,658.65075,408.38415,396.38415,396.38415,378.37355,309.27935,353.34305,297.27935,352.35845,267.26875
Cer_NP(t21:0/23:1)-H,692.65625,674.64565,656.63505,406.36855,394.36855,394.36855,376.35795,309.27935,351.32745,297.27935,350.34285,267.26875
Cer_NP(t21:0/23:2)-H,690.64055,672.63005,654.61945,404.35285,392.35285,392.35285,374.34225,309.27935,349.31175,297.27935,348.32715,267.26875
Cer_NP(t21:0/23:3)-H,688.62495,670.61435,652.60385,402.33725,390.33725,390.33725,372.32665,309.27935,347.29615,297.27935,346.31155,267.26875
Cer_NP(t21:0/23:4)-H,686.60935,668.59865,650.58815,400.32155,388.32155,388.32155,370.31105,309.27935,345.28045,297.27935,344.29585,267.26875
Cer_NP(t21:0/24:0)-H,708.68755,690.67695,672.66635,422.39985,410.39985,410.39985,392.38925,309.27935,367.35875,297.27935,366.37415,267.26875
Cer_NP(t21:0/24:1)-H,706.67185,688.66135,670.65075,420.38415,408.38415,408.38415,390.37355,309.27935,365.34305,297.27935,364.35845,267.26875
Cer_NP(t21:0/24:2)-H,704.65625,686.64565,668.63505,418.36855,406.36855,406.36855,388.35795,309.27935,363.32745,297.27935,362.34285,267.26875
Cer_NP(t21:0/24:3)-H,702.64055,684.63005,666.61945,416.35285,404.35285,404.35285,386.34225,309.27935,361.31175,297.27935,360.32715,267.26875
Cer_NP(t21:0/24:4)-H,700.62495,682.61435,664.60385,414.33725,402.33725,402.33725,384.32665,309.27935,359.29615,297.27935,358.31155,267.26875
Cer_NP(t21:0/25:0)-H,722.70315,704.69265,686.68205,436.41545,424.41545,424.41545,406.40495,309.27935,381.37435,297.27935,380.38985,267.26875
Cer_NP(t21:0/25:1)-H,720.68755,702.67695,684.66635,434.39985,422.39985,422.39985,404.38925,309.27935,379.35875,297.27935,378.37415,267.26875
Cer_NP(t21:0/25:2)-H,718.67185,700.66135,682.65075,432.38415,420.38415,420.38415,402.37355,309.27935,377.34305,297.27935,376.35845,267.26875
Cer_NP(t21:0/25:3)-H,716.65625,698.64565,680.63505,430.36855,418.36855,418.36855,400.35795,309.27935,375.32745,297.27935,374.34285,267.26875
Cer_NP(t21:0/25:4)-H,714.64055,696.63005,678.61945,428.35285,416.35285,416.35285,398.34225,309.27935,373.31175,297.27935,372.32715,267.26875
Cer_NP(t21:0/26:0)-H,736.71885,718.70825,700.69765,450.43115,438.43115,438.43115,420.42055,309.27935,395.39005,297.27935,394.40545,267.26875
Cer_NP(t21:0/26:1)-H,734.70315,716.69265,698.68205,448.41545,436.41545,436.41545,418.40495,309.27935,393.37435,297.27935,392.38985,267.26875
Cer_NP(t21:0/26:2)-H,732.68755,714.67695,696.66635,446.39985,434.39985,434.39985,416.38925,309.27935,391.35875,297.27935,390.37415,267.26875
Cer_NP(t21:0/26:3)-H,730.67185,712.66135,694.65075,444.38415,432.38415,432.38415,414.37355,309.27935,389.34305,297.27935,388.35845,267.26875
Cer_NP(t21:0/26:4)-H,728.65625,710.64565,692.63505,442.36855,430.36855,430.36855,412.35795,309.27935,387.32745,297.27935,386.34285,267.26875
Cer_NP(t21:0/27:0)-H,750.73445,732.72395,714.71335,464.44675,452.44675,452.44675,434.43615,309.27935,409.40565,297.27935,408.42105,267.26875
Cer_NP(t21:0/27:1)-H,748.71885,730.70825,712.69765,462.43115,450.43115,450.43115,432.42055,309.27935,407.39005,297.27935,406.40545,267.26875
Cer_NP(t21:0/27:2)-H,746.70315,728.69265,710.68205,460.41545,448.41545,448.41545,430.40495,309.27935,405.37435,297.27935,404.38985,267.26875
Cer_NP(t21:0/27:3)-H,744.68755,726.67695,708.66635,458.39985,446.39985,446.39985,428.38925,309.27935,403.35875,297.27935,402.37415,267.26875
Cer_NP(t21:0/27:4)-H,742.67185,724.66135,706.65075,456.38415,444.38415,444.38415,426.37355,309.27935,401.34305,297.27935,400.35845,267.26875
Cer_NP(t21:0/28:0)-H,764.75015,746.73955,728.72905,478.46245,466.46245,466.46245,448.45185,309.27935,423.42125,297.27935,422.43675,267.26875
Cer_NP(t21:0/28:1)-H,762.73445,744.72395,726.71335,476.44675,464.44675,464.44675,446.43615,309.27935,421.40565,297.27935,420.42105,267.26875
Cer_NP(t21:0/28:2)-H,760.71885,742.70825,724.69765,474.43115,462.43115,462.43115,444.42055,309.27935,419.39005,297.27935,418.40545,267.26875
Cer_NP(t21:0/28:3)-H,758.70315,740.69265,722.68205,472.41545,460.41545,460.41545,442.40495,309.27935,417.37435,297.27935,416.38985,267.26875
Cer_NP(t21:0/28:4)-H,756.68755,738.67695,720.66635,470.39985,458.39985,458.39985,440.38925,309.27935,415.35875,297.27935,414.37415,267.26875
Cer_NP(t21:0/29:0)-H,778.76585,760.75525,742.74465,492.47805,480.47805,480.47805,462.46745,309.27935,437.43695,297.27935,436.45235,267.26875
Cer_NP(t21:0/29:1)-H,776.75015,758.73955,740.72905,490.46245,478.46245,478.46245,460.45185,309.27935,435.42125,297.27935,434.43675,267.26875
Cer_NP(t21:0/29:2)-H,774.73445,756.72395,738.71335,488.44675,476.44675,476.44675,458.43615,309.27935,433.40565,297.27935,432.42105,267.26875
Cer_NP(t21:0/29:3)-H,772.71885,754.70825,736.69765,486.43115,474.43115,474.43115,456.42055,309.27935,431.39005,297.27935,430.40545,267.26875
Cer_NP(t21:0/29:4)-H,770.70315,752.69265,734.68205,484.41545,472.41545,472.41545,454.40495,309.27935,429.37435,297.27935,428.38985,267.26875
