Cer_NP,[M-H]-,[M-H2O-H]-,[M-2H2O-H]-,[FAA+C3H5O-H]-,[FAA+C2H5O-H]-,[FAA+C2H5O-H]-,[FAA+C2H3-H]-,[Sph-CH9NO-H]-,[FA+O-H]-,[Sph-C2H9NO-H]-,[FAA-H]-,[Sph-C3H11NO2-H]-
Cer_NP(t16:0/22:1)-H,608.56235,590.55175,572.54115,392.35285,380.35285,380.35285,362.34225,239.20115,337.31175,227.20115,336.32715,197.19055
Cer_NP(t16:0/22:2)-H,606.54665,588.53615,570.52555,390.33725,378.33725,378.33725,360.32665,239.20115,335.29615,227.20115,334.31155,197.19055
Cer_NP(t16:0/22:3)-H,604.53105,586.52045,568.50985,388.32155,376.32155,376.32155,358.31105,239.20115,333.28045,227.20115,332.29585,197.19055
Cer_NP(t16:0/22:4)-H,602.51535,584.50485,566.49425,386.30595,374.30595,374.30595,356.29535,239.20115,331.26485,227.20115,330.28025,197.19055
Cer_NP(t16:0/23:0)-H,624.59365,606.58305,588.57255,408.38415,396.38415,396.38415,378.37355,239.20115,353.34305,227.20115,352.35845,197.19055
Cer_NP(t16:0/23:1)-H,622.57805,604.56745,586.55685,406.36855,394.36855,394.36855,376.35795,239.20115,351.32745,227.20115,350.34285,197.19055
Cer_NP(t16:0/23:2)-H,620.56235,602.55175,584.54115,404.35285,392.35285,392.35285,374.34225,239.20115,349.31175,227.20115,348.32715,197.19055
Cer_NP(t16:0/23:3)-H,618.54665,600.53615,582.52555,402.33725,390.33725,390.33725,372.32665,239.20115,347.29615,227.20115,346.31155,197.19055
Cer_NP(t16:0/23:4)-H,616.53105,598.52045,580.50985,400.32155,388.32155,388.32155,370.31105,239.20115,345.28045,227.20115,344.29585,197.19055
Cer_NP(t16:0/24:0)-H,638.60935,620.59865,602.58815,422.39985,410.39985,410.39985,392.38925,239.20115,367.35875,227.20115,366.37415,197.19055
Cer_NP(t16:0/24:1)-H,636.59365,618.58305,600.57255,420.38415,408.38415,408.38415,390.37355,239.20115,365.34305,227.20115,364.35845,197.19055
Cer_NP(t16:0/24:2)-H,634.57805,616.56745,598.55685,418.36855,406.36855,406.36855,388.35795,239.20115,363.32745,227.20115,362.34285,197.19055
Cer_NP(t16:0/24:3)-H,632.56235,614.55175,596.54115,416.35285,404.35285,404.35285,386.34225,239.20115,361.31175,227.20115,360.32715,197.19055
Cer_NP(t16:0/24:4)-H,630.54665,612.53615,594.52555,414.33725,402.33725,402.33725,384.32665,239.20115,359.29615,227.20115,358.31155,197.19055
Cer_NP(t16:0/25:0)-H,652.62495,634.61435,616.60385,436.41545,424.41545,424.41545,406.40495,239.20115,381.37435,227.20115,380.38985,197.19055
Cer_NP(t16:0/25:1)-H,650.60935,632.59865,614.58815,434.39985,422.39985,422.39985,404.38925,239.20115,379.35875,227.20115,378.37415,197.19055
Cer_NP(t16:0/25:2)-H,648.59365,630.58305,612.57255,432.38415,420.38415,420.38415,402.37355,239.20115,377.34305,227.20115,376.35845,197.19055
Cer_NP(t16:0/25:3)-H,646.57805,628.56745,610.55685,430.36855,418.36855,418.36855,400.35795,239.20115,375.32745,227.20115,374.34285,197.19055
Cer_NP(t16:0/25:4)-H,644.56235,626.55175,608.54115,428.35285,416.35285,416.35285,398.34225,239.20115,373.31175,227.20115,372.32715,197.19055
Cer_NP(t16:0/26:0)-H,666.64055,648.63005,630.61945,450.43115,438.43115,438.43115,420.42055,239.20115,395.39005,227.20115,394.40545,197.19055
Cer_NP(t16:0/26:1)-H,664.62495,646.61435,628.60385,448.41545,436.41545,436.41545,418.40495,239.20115,393.37435,227.20115,392.38985,197.19055
Cer_NP(t16:0/26:2)-H,662.60935,644.59865,626.58815,446.39985,434.39985,434.39985,416.38925,239.20115,391.35875,227.20115,390.37415,197.19055
Cer_NP(t16:0/26:3)-H,660.59365,642.58305,624.57255,444.38415,432.38415,432.38415,414.37355,239.20115,389.34305,227.20115,388.35845,197.19055
Cer_NP(t16:0/26:4)-H,658.57805,640.56745,622.55685,442.36855,430.36855,430.36855,412.35795,239.20115,387.32745,227.20115,386.34285,197.19055
Cer_NP(t16:0/27:0)-H,680.65625,662.64565,644.63505,464.44675,452.44675,452.44675,434.43615,239.20115,409.40565,227.20115,408.42105,197.19055
Cer_NP(t16:0/27:1)-H,678.64055,660.63005,642.61945,462.43115,450.43115,450.43115,432.42055,239.20115,407.39005,227.20115,406.40545,197.19055
Cer_NP(t16:0/27:2)-H,676.62495,658.61435,640.60385,460.41545,448.41545,448.41545,430.40495,239.20115,405.37435,227.20115,404.38985,197.19055
