HexCer-AP,[M+HCO2]-,[M-H]-,[M-C6H10O5-H]-,[FA+NC(C)CO-H]-,[FA+NCC-3H]-,[FA+O-H]-,[C6H12O6-H]-,[FA-CO-3H]-
HexCer-AP(t14:0/32:2)+HCO2,942.7245,896.7191,734.6663,546.4881,516.4775,491.447,179.0556,445.4415
HexCer-AP(t14:0/33:0)+HCO2,960.7715,914.7661,752.7132,564.535,534.5245,509.4939,179.0556,463.4884
HexCer-AP(t14:0/33:1)+HCO2,958.7559,912.7504,750.6976,562.5194,532.5089,507.4783,179.0556,461.4728
HexCer-AP(t14:0/34:0)+HCO2,974.7872,928.7817,766.7288,578.5507,548.5401,523.5096,179.0556,477.5041
HexCer-AP(t14:0/34:1)+HCO2,972.7715,926.7661,764.7132,576.535,546.5245,521.494,179.0556,475.4884
HexCer-AP(t14:0/34:2)+HCO2,970.7559,924.7504,762.6976,574.5194,544.5089,519.4783,179.0556,473.4728
HexCer-AP(t14:0/35:0)+HCO2,988.8028,942.7973,780.7445,592.5663,562.5558,537.5252,179.0556,491.5197
HexCer-AP(t14:0/35:1)+HCO2,986.7872,940.7817,778.7288,590.5507,560.5401,535.5096,179.0556,489.5041
HexCer-AP(t14:0/36:0)+HCO2,1002.818,956.813,794.7601,606.582,576.5714,551.5409,179.0556,505.5354
HexCer-AP(t14:0/36:1)+HCO2,1000.803,954.7973,792.7445,604.5663,574.5558,549.5252,179.0556,503.5197
HexCer-AP(t14:0/36:2)+HCO2,998.7872,952.7817,790.7288,602.5507,572.5401,547.5096,179.0556,501.5041
HexCer-AP(t14:0/38:0)+HCO2,1030.85,984.8443,822.7914,634.6133,604.6027,579.5722,179.0556,533.5667
HexCer-AP(t14:0/38:1)+HCO2,1028.834,982.8286,820.7758,632.5977,602.5871,577.5565,179.0556,531.551
HexCer-AP(t14:0/38:2)+HCO2,1026.818,980.813,818.7601,630.582,600.5714,575.5409,179.0556,529.5354
HexCer-AP(t14:0/40:0)+HCO2,1058.881,1012.876,850.8228,662.6446,632.634,607.6035,179.0556,561.598
HexCer-AP(t14:0/40:1)+HCO2,1056.865,1010.86,848.8071,660.629,630.6183,605.5878,179.0556,559.5823
HexCer-AP(t14:0/40:2)+HCO2,1054.85,1008.844,846.7914,658.6133,628.6027,603.5722,179.0556,557.5667
HexCer-AP(t14:0/42:0)+HCO2,1086.912,1040.907,878.8541,690.6759,660.6653,635.6348,179.0556,589.6293
HexCer-AP(t14:0/42:1)+HCO2,1084.897,1038.891,876.8384,688.6602,658.6497,633.6191,179.0556,587.6136
HexCer-AP(t14:0/42:2)+HCO2,1082.881,1036.876,874.8228,686.6446,656.634,631.6035,179.0556,585.598
HexCer-AP(t14:1/12:0)+HCO2,664.4272,618.4218,456.3689,270.2064,240.1958,215.1653,179.0556,169.1598
HexCer-AP(t14:1/12:1)+HCO2,662.4116,616.4061,454.3532,268.1907,238.1802,213.1496,179.0556,167.1441
HexCer-AP(t14:1/13:0)+HCO2,678.4429,632.4374,470.3846,284.222,254.2115,229.1809,179.0556,183.1754
