HexCer-AP,[M+HCO2]-,[M-H]-,[M-C6H10O5-H]-,[FA+NC(C)CO-H]-,[FA+NCC-3H]-,[FA+O-H]-,[C6H12O6-H]-,[FA-CO-3H]-
HexCer-AP(t16:2/22:0)+HCO2,830.5994,784.5939,622.541,410.3629,380.3523,355.3218,179.0556,309.3163
HexCer-AP(t16:2/22:1)+HCO2,828.5837,782.5782,620.5254,408.3472,378.3367,353.3061,179.0556,307.3006
HexCer-AP(t16:2/22:2)+HCO2,826.5681,780.5626,618.5098,406.3316,376.321,351.2905,179.0556,305.285
HexCer-AP(t16:2/23:0)+HCO2,844.615,798.6096,636.5567,424.3785,394.368,369.3374,179.0556,323.3319
HexCer-AP(t16:2/23:1)+HCO2,842.5994,796.5939,634.541,422.3629,392.3523,367.3218,179.0556,321.3163
HexCer-AP(t16:2/24:0)+HCO2,858.6307,812.6252,650.5723,438.3942,408.3836,383.3531,179.0556,337.3476
HexCer-AP(t16:2/24:1)+HCO2,856.615,810.6096,648.5567,436.3785,406.368,381.3374,179.0556,335.3319
HexCer-AP(t16:2/24:2)+HCO2,854.5994,808.5939,646.541,434.3629,404.3523,379.3218,179.0556,333.3163
HexCer-AP(t16:2/25:0)+HCO2,872.6463,826.6408,664.588,452.4099,422.3993,397.3687,179.0556,351.3633
HexCer-AP(t16:2/25:1)+HCO2,870.6307,824.6252,662.5723,450.3942,420.3836,395.3531,179.0556,349.3476
HexCer-AP(t16:2/26:0)+HCO2,886.6619,840.6565,678.6036,466.4255,436.4149,411.3844,179.0556,365.3789
HexCer-AP(t16:2/26:1)+HCO2,884.6463,838.6408,676.588,464.4099,434.3993,409.3687,179.0556,363.3633
HexCer-AP(t16:2/26:2)+HCO2,882.6307,836.6252,674.5723,462.3942,432.3836,407.3531,179.0556,361.3476
HexCer-AP(t16:2/27:0)+HCO2,900.6776,854.6721,692.6193,480.4411,450.4306,425.4,179.0556,379.3945
HexCer-AP(t16:2/27:1)+HCO2,898.6619,852.6565,690.6036,478.4255,448.4149,423.3844,179.0556,377.3789
HexCer-AP(t16:2/28:0)+HCO2,914.6932,868.6878,706.6349,494.4568,464.4462,439.4157,179.0556,393.4102
HexCer-AP(t16:2/28:1)+HCO2,912.6776,866.6721,704.6193,492.4411,462.4306,437.4,179.0556,391.3945
HexCer-AP(t16:2/28:2)+HCO2,910.6619,864.6565,702.6036,490.4255,460.4149,435.3844,179.0556,389.3789
HexCer-AP(t16:2/29:0)+HCO2,928.7089,882.7034,720.6506,508.4724,478.4619,453.4313,179.0556,407.4258
HexCer-AP(t16:2/29:1)+HCO2,926.6932,880.6878,718.6349,506.4568,476.4462,451.4157,179.0556,405.4102
HexCer-AP(t16:2/30:0)+HCO2,942.7245,896.7191,734.6663,522.4881,492.4775,467.447,179.0556,421.4415
HexCer-AP(t16:2/30:1)+HCO2,940.7089,894.7034,732.6506,520.4724,490.4619,465.4313,179.0556,419.4258
HexCer-AP(t16:2/30:2)+HCO2,938.6932,892.6878,730.6349,518.4568,488.4462,463.4157,179.0556,417.4102
HexCer-AP(t16:2/31:0)+HCO2,956.7402,910.7347,748.6819,536.5037,506.4932,481.4626,179.0556,435.4572
HexCer-AP(t16:2/31:1)+HCO2,954.7245,908.7191,746.6663,534.4881,504.4775,479.447,179.0556,433.4415
HexCer-AP(t16:2/32:0)+HCO2,970.7559,924.7504,762.6976,550.5194,520.5089,495.4783,179.0556,449.4728
HexCer-AP(t16:2/32:1)+HCO2,968.7402,922.7347,760.6819,548.5037,518.4932,493.4626,179.0556,447.4572
HexCer-AP(t16:2/32:2)+HCO2,966.7245,920.7191,758.6663,546.4881,516.4775,491.447,179.0556,445.4415
HexCer-AP(t16:2/33:0)+HCO2,984.7715,938.7661,776.7132,564.535,534.5245,509.4939,179.0556,463.4884
HexCer-AP(t16:2/33:1)+HCO2,982.7559,936.7504,774.6976,562.5194,532.5089,507.4783,179.0556,461.4728
HexCer-AP(t16:2/34:0)+HCO2,998.7872,952.7817,790.7288,578.5507,548.5401,523.5096,179.0556,477.5041
HexCer-AP(t16:2/34:1)+HCO2,996.7715,950.7661,788.7132,576.535,546.5245,521.494,179.0556,475.4884
HexCer-AP(t16:2/34:2)+HCO2,994.7559,948.7504,786.6976,574.5194,544.5089,519.4783,179.0556,473.4728
HexCer-AP(t16:2/35:0)+HCO2,1012.803,966.7973,804.7445,592.5663,562.5558,537.5252,179.0556,491.5197
HexCer-AP(t16:2/35:1)+HCO2,1010.787,964.7817,802.7288,590.5507,560.5401,535.5096,179.0556,489.5041
HexCer-AP(t16:2/36:0)+HCO2,1026.818,980.813,818.7601,606.582,576.5714,551.5409,179.0556,505.5354
HexCer-AP(t16:2/36:1)+HCO2,1024.803,978.7973,816.7445,604.5663,574.5558,549.5252,179.0556,503.5197
HexCer-AP(t16:2/36:2)+HCO2,1022.787,976.7817,814.7288,602.5507,572.5401,547.5096,179.0556,501.5041
HexCer-AP(t16:2/38:0)+HCO2,1054.85,1008.844,846.7914,634.6133,604.6027,579.5722,179.0556,533.5667
HexCer-AP(t16:2/38:1)+HCO2,1052.834,1006.829,844.7758,632.5977,602.5871,577.5565,179.0556,531.551
HexCer-AP(t16:2/38:2)+HCO2,1050.818,1004.813,842.7601,630.582,600.5714,575.5409,179.0556,529.5354
HexCer-AP(t16:2/40:0)+HCO2,1082.881,1036.876,874.8228,662.6446,632.634,607.6035,179.0556,561.598
HexCer-AP(t16:2/40:1)+HCO2,1080.865,1034.86,872.8071,660.629,630.6183,605.5878,179.0556,559.5823
HexCer-AP(t16:2/40:2)+HCO2,1078.85,1032.844,870.7914,658.6133,628.6027,603.5722,179.0556,557.5667
HexCer-AP(t16:2/42:0)+HCO2,1110.912,1064.907,902.8541,690.6759,660.6653,635.6348,179.0556,589.6293
HexCer-AP(t16:2/42:1)+HCO2,1108.897,1062.891,900.8384,688.6602,658.6497,633.6191,179.0556,587.6136
HexCer-AP(t16:2/42:2)+HCO2,1106.881,1060.876,898.8228,686.6446,656.634,631.6035,179.0556,585.598
HexCer-AP(t17:0/12:0)+HCO2,708.4898,662.4843,500.4315,270.2064,240.1958,215.1653,179.0556,169.1598
HexCer-AP(t17:0/12:1)+HCO2,706.4741,660.4687,498.4158,268.1907,238.1802,213.1496,179.0556,167.1441
HexCer-AP(t17:0/13:0)+HCO2,722.5054,676.5,514.4471,284.222,254.2115,229.1809,179.0556,183.1754
HexCer-AP(t17:0/13:1)+HCO2,720.4898,674.4843,512.4315,282.2064,252.1958,227.1653,179.0556,181.1598
HexCer-AP(t17:0/14:0)+HCO2,736.5211,690.5156,528.4628,298.2377,268.2271,243.1966,179.0556,197.1911
HexCer-AP(t17:0/14:1)+HCO2,734.5054,688.5,526.4471,296.222,266.2115,241.1809,179.0556,195.1754
HexCer-AP(t17:0/15:0)+HCO2,750.5367,704.5313,542.4785,312.2533,282.2428,257.2122,179.0556,211.2067
HexCer-AP(t17:0/15:1)+HCO2,748.5211,702.5156,540.4628,310.2377,280.2271,255.1966,179.0556,209.1911
HexCer-AP(t17:0/16:0)+HCO2,764.5524,718.5469,556.4941,326.269,296.2584,271.2279,179.0556,225.2224
HexCer-AP(t17:0/16:1)+HCO2,762.5367,716.5313,554.4785,324.2533,294.2428,269.2122,179.0556,223.2067
HexCer-AP(t17:0/16:2)+HCO2,760.5211,714.5156,552.4628,322.2377,292.2271,267.1966,179.0556,221.1911
HexCer-AP(t17:0/17:0)+HCO2,778.5681,732.5626,570.5098,340.2846,310.2741,285.2435,179.0556,239.238
HexCer-AP(t17:0/18:0)+HCO2,792.5837,746.5782,584.5254,354.3003,324.2897,299.2592,179.0556,253.2537
HexCer-AP(t17:0/18:1)+HCO2,790.5681,744.5626,582.5098,352.2846,322.2741,297.2435,179.0556,251.238
HexCer-AP(t17:0/18:2)+HCO2,788.5524,742.5469,580.4941,350.269,320.2584,295.2279,179.0556,249.2224
HexCer-AP(t17:0/19:0)+HCO2,806.5994,760.5939,598.541,368.3159,338.3054,313.2748,179.0556,267.2693
HexCer-AP(t17:0/19:1)+HCO2,804.5837,758.5782,596.5254,366.3003,336.2897,311.2592,179.0556,265.2537
HexCer-AP(t17:0/20:0)+HCO2,820.615,774.6096,612.5567,382.3316,352.321,327.2905,179.0556,281.285
HexCer-AP(t17:0/20:1)+HCO2,818.5994,772.5939,610.541,380.3159,350.3054,325.2748,179.0556,279.2693
HexCer-AP(t17:0/20:2)+HCO2,816.5837,770.5782,608.5254,378.3003,348.2897,323.2592,179.0556,277.2537
HexCer-AP(t17:0/21:0)+HCO2,834.6307,788.6252,626.5723,396.3472,366.3367,341.3061,179.0556,295.3006
HexCer-AP(t17:0/21:1)+HCO2,832.615,786.6096,624.5567,394.3316,364.321,339.2905,179.0556,293.285
HexCer-AP(t17:0/22:0)+HCO2,848.6463,802.6408,640.588,410.3629,380.3523,355.3218,179.0556,309.3163
HexCer-AP(t17:0/22:1)+HCO2,846.6307,800.6252,638.5723,408.3472,378.3367,353.3061,179.0556,307.3006
HexCer-AP(t17:0/22:2)+HCO2,844.615,798.6096,636.5567,406.3316,376.321,351.2905,179.0556,305.285
HexCer-AP(t17:0/23:0)+HCO2,862.6619,816.6565,654.6036,424.3785,394.368,369.3374,179.0556,323.3319
HexCer-AP(t17:0/23:1)+HCO2,860.6463,814.6408,652.588,422.3629,392.3523,367.3218,179.0556,321.3163
HexCer-AP(t17:0/24:0)+HCO2,876.6776,830.6721,668.6193,438.3942,408.3836,383.3531,179.0556,337.3476
HexCer-AP(t17:0/24:1)+HCO2,874.6619,828.6565,666.6036,436.3785,406.368,381.3374,179.0556,335.3319
HexCer-AP(t17:0/24:2)+HCO2,872.6463,826.6408,664.588,434.3629,404.3523,379.3218,179.0556,333.3163
HexCer-AP(t17:0/25:0)+HCO2,890.6932,844.6878,682.6349,452.4099,422.3993,397.3687,179.0556,351.3633
HexCer-AP(t17:0/25:1)+HCO2,888.6776,842.6721,680.6193,450.3942,420.3836,395.3531,179.0556,349.3476
HexCer-AP(t17:0/26:0)+HCO2,904.7089,858.7034,696.6506,466.4255,436.4149,411.3844,179.0556,365.3789
HexCer-AP(t17:0/26:1)+HCO2,902.6932,856.6878,694.6349,464.4099,434.3993,409.3687,179.0556,363.3633
HexCer-AP(t17:0/26:2)+HCO2,900.6776,854.6721,692.6193,462.3942,432.3836,407.3531,179.0556,361.3476
HexCer-AP(t17:0/27:0)+HCO2,918.7245,872.7191,710.6663,480.4411,450.4306,425.4,179.0556,379.3945
HexCer-AP(t17:0/27:1)+HCO2,916.7089,870.7034,708.6506,478.4255,448.4149,423.3844,179.0556,377.3789
HexCer-AP(t17:0/28:0)+HCO2,932.7402,886.7347,724.6819,494.4568,464.4462,439.4157,179.0556,393.4102
HexCer-AP(t17:0/28:1)+HCO2,930.7245,884.7191,722.6663,492.4411,462.4306,437.4,179.0556,391.3945
HexCer-AP(t17:0/28:2)+HCO2,928.7089,882.7034,720.6506,490.4255,460.4149,435.3844,179.0556,389.3789
HexCer-AP(t17:0/29:0)+HCO2,946.7559,900.7504,738.6976,508.4724,478.4619,453.4313,179.0556,407.4258
HexCer-AP(t17:0/29:1)+HCO2,944.7402,898.7347,736.6819,506.4568,476.4462,451.4157,179.0556,405.4102
HexCer-AP(t17:0/30:0)+HCO2,960.7715,914.7661,752.7132,522.4881,492.4775,467.447,179.0556,421.4415
HexCer-AP(t17:0/30:1)+HCO2,958.7559,912.7504,750.6976,520.4724,490.4619,465.4313,179.0556,419.4258
HexCer-AP(t17:0/30:2)+HCO2,956.7402,910.7347,748.6819,518.4568,488.4462,463.4157,179.0556,417.4102
HexCer-AP(t17:0/31:0)+HCO2,974.7872,928.7817,766.7288,536.5037,506.4932,481.4626,179.0556,435.4572
HexCer-AP(t17:0/31:1)+HCO2,972.7715,926.7661,764.7132,534.4881,504.4775,479.447,179.0556,433.4415
HexCer-AP(t17:0/32:0)+HCO2,988.8028,942.7973,780.7445,550.5194,520.5089,495.4783,179.0556,449.4728
HexCer-AP(t17:0/32:1)+HCO2,986.7872,940.7817,778.7288,548.5037,518.4932,493.4626,179.0556,447.4572
HexCer-AP(t17:0/32:2)+HCO2,984.7715,938.7661,776.7132,546.4881,516.4775,491.447,179.0556,445.4415
HexCer-AP(t17:0/33:0)+HCO2,1002.818,956.813,794.7601,564.535,534.5245,509.4939,179.0556,463.4884
HexCer-AP(t17:0/33:1)+HCO2,1000.803,954.7973,792.7445,562.5194,532.5089,507.4783,179.0556,461.4728
HexCer-AP(t17:0/34:0)+HCO2,1016.834,970.8286,808.7758,578.5507,548.5401,523.5096,179.0556,477.5041
HexCer-AP(t17:0/34:1)+HCO2,1014.818,968.813,806.7601,576.535,546.5245,521.494,179.0556,475.4884
HexCer-AP(t17:0/34:2)+HCO2,1012.803,966.7973,804.7445,574.5194,544.5089,519.4783,179.0556,473.4728
HexCer-AP(t17:0/35:0)+HCO2,1030.85,984.8443,822.7914,592.5663,562.5558,537.5252,179.0556,491.5197
HexCer-AP(t17:0/35:1)+HCO2,1028.834,982.8286,820.7758,590.5507,560.5401,535.5096,179.0556,489.5041
HexCer-AP(t17:0/36:0)+HCO2,1044.865,998.8599,836.8071,606.582,576.5714,551.5409,179.0556,505.5354
HexCer-AP(t17:0/36:1)+HCO2,1042.85,996.8443,834.7914,604.5663,574.5558,549.5252,179.0556,503.5197
HexCer-AP(t17:0/36:2)+HCO2,1040.834,994.8286,832.7758,602.5507,572.5401,547.5096,179.0556,501.5041
HexCer-AP(t17:0/38:0)+HCO2,1072.897,1026.891,864.8384,634.6133,604.6027,579.5722,179.0556,533.5667
HexCer-AP(t17:0/38:1)+HCO2,1070.881,1024.876,862.8228,632.5977,602.5871,577.5565,179.0556,531.551
HexCer-AP(t17:0/38:2)+HCO2,1068.865,1022.86,860.8071,630.582,600.5714,575.5409,179.0556,529.5354
HexCer-AP(t17:0/40:0)+HCO2,1100.928,1054.922,892.8697,662.6446,632.634,607.6035,179.0556,561.598
HexCer-AP(t17:0/40:1)+HCO2,1098.912,1052.907,890.8541,660.629,630.6183,605.5878,179.0556,559.5823
HexCer-AP(t17:0/40:2)+HCO2,1096.897,1050.891,888.8384,658.6133,628.6027,603.5722,179.0556,557.5667
HexCer-AP(t17:0/42:0)+HCO2,1128.959,1082.954,920.901,690.6759,660.6653,635.6348,179.0556,589.6293
HexCer-AP(t17:0/42:1)+HCO2,1126.944,1080.938,918.8854,688.6602,658.6497,633.6191,179.0556,587.6136
HexCer-AP(t17:0/42:2)+HCO2,1124.928,1078.922,916.8697,686.6446,656.634,631.6035,179.0556,585.598
HexCer-AP(t17:1/12:0)+HCO2,706.4741,660.4687,498.4158,270.2064,240.1958,215.1653,179.0556,169.1598
HexCer-AP(t17:1/12:1)+HCO2,704.4585,658.453,496.4002,268.1907,238.1802,213.1496,179.0556,167.1441
HexCer-AP(t17:1/13:0)+HCO2,720.4898,674.4843,512.4315,284.222,254.2115,229.1809,179.0556,183.1754
HexCer-AP(t17:1/13:1)+HCO2,718.4741,672.4687,510.4158,282.2064,252.1958,227.1653,179.0556,181.1598
HexCer-AP(t17:1/14:0)+HCO2,734.5054,688.5,526.4471,298.2377,268.2271,243.1966,179.0556,197.1911
HexCer-AP(t17:1/14:1)+HCO2,732.4898,686.4843,524.4315,296.222,266.2115,241.1809,179.0556,195.1754
HexCer-AP(t17:1/15:0)+HCO2,748.5211,702.5156,540.4628,312.2533,282.2428,257.2122,179.0556,211.2067
HexCer-AP(t17:1/15:1)+HCO2,746.5054,700.5,538.4471,310.2377,280.2271,255.1966,179.0556,209.1911
HexCer-AP(t17:1/16:0)+HCO2,762.5367,716.5313,554.4785,326.269,296.2584,271.2279,179.0556,225.2224
HexCer-AP(t17:1/16:1)+HCO2,760.5211,714.5156,552.4628,324.2533,294.2428,269.2122,179.0556,223.2067
HexCer-AP(t17:1/16:2)+HCO2,758.5054,712.5,550.4471,322.2377,292.2271,267.1966,179.0556,221.1911
HexCer-AP(t17:1/17:0)+HCO2,776.5524,730.5469,568.4941,340.2846,310.2741,285.2435,179.0556,239.238
HexCer-AP(t17:1/18:0)+HCO2,790.5681,744.5626,582.5098,354.3003,324.2897,299.2592,179.0556,253.2537
HexCer-AP(t17:1/18:1)+HCO2,788.5524,742.5469,580.4941,352.2846,322.2741,297.2435,179.0556,251.238
HexCer-AP(t17:1/18:2)+HCO2,786.5367,740.5313,578.4785,350.269,320.2584,295.2279,179.0556,249.2224
HexCer-AP(t17:1/19:0)+HCO2,804.5837,758.5782,596.5254,368.3159,338.3054,313.2748,179.0556,267.2693
HexCer-AP(t17:1/19:1)+HCO2,802.5681,756.5626,594.5098,366.3003,336.2897,311.2592,179.0556,265.2537
HexCer-AP(t17:1/20:0)+HCO2,818.5994,772.5939,610.541,382.3316,352.321,327.2905,179.0556,281.285
HexCer-AP(t17:1/20:1)+HCO2,816.5837,770.5782,608.5254,380.3159,350.3054,325.2748,179.0556,279.2693
HexCer-AP(t17:1/20:2)+HCO2,814.5681,768.5626,606.5098,378.3003,348.2897,323.2592,179.0556,277.2537
HexCer-AP(t17:1/21:0)+HCO2,832.615,786.6096,624.5567,396.3472,366.3367,341.3061,179.0556,295.3006
HexCer-AP(t17:1/21:1)+HCO2,830.5994,784.5939,622.541,394.3316,364.321,339.2905,179.0556,293.285
HexCer-AP(t17:1/22:0)+HCO2,846.6307,800.6252,638.5723,410.3629,380.3523,355.3218,179.0556,309.3163
HexCer-AP(t17:1/22:1)+HCO2,844.615,798.6096,636.5567,408.3472,378.3367,353.3061,179.0556,307.3006
HexCer-AP(t17:1/22:2)+HCO2,842.5994,796.5939,634.541,406.3316,376.321,351.2905,179.0556,305.285
HexCer-AP(t17:1/23:0)+HCO2,860.6463,814.6408,652.588,424.3785,394.368,369.3374,179.0556,323.3319
HexCer-AP(t17:1/23:1)+HCO2,858.6307,812.6252,650.5723,422.3629,392.3523,367.3218,179.0556,321.3163
HexCer-AP(t17:1/24:0)+HCO2,874.6619,828.6565,666.6036,438.3942,408.3836,383.3531,179.0556,337.3476
HexCer-AP(t17:1/24:1)+HCO2,872.6463,826.6408,664.588,436.3785,406.368,381.3374,179.0556,335.3319
HexCer-AP(t17:1/24:2)+HCO2,870.6307,824.6252,662.5723,434.3629,404.3523,379.3218,179.0556,333.3163
HexCer-AP(t17:1/25:0)+HCO2,888.6776,842.6721,680.6193,452.4099,422.3993,397.3687,179.0556,351.3633
HexCer-AP(t17:1/25:1)+HCO2,886.6619,840.6565,678.6036,450.3942,420.3836,395.3531,179.0556,349.3476
HexCer-AP(t17:1/26:0)+HCO2,902.6932,856.6878,694.6349,466.4255,436.4149,411.3844,179.0556,365.3789
HexCer-AP(t17:1/26:1)+HCO2,900.6776,854.6721,692.6193,464.4099,434.3993,409.3687,179.0556,363.3633
HexCer-AP(t17:1/26:2)+HCO2,898.6619,852.6565,690.6036,462.3942,432.3836,407.3531,179.0556,361.3476
HexCer-AP(t17:1/27:0)+HCO2,916.7089,870.7034,708.6506,480.4411,450.4306,425.4,179.0556,379.3945
HexCer-AP(t17:1/27:1)+HCO2,914.6932,868.6878,706.6349,478.4255,448.4149,423.3844,179.0556,377.3789
HexCer-AP(t17:1/28:0)+HCO2,930.7245,884.7191,722.6663,494.4568,464.4462,439.4157,179.0556,393.4102
HexCer-AP(t17:1/28:1)+HCO2,928.7089,882.7034,720.6506,492.4411,462.4306,437.4,179.0556,391.3945
HexCer-AP(t17:1/28:2)+HCO2,926.6932,880.6878,718.6349,490.4255,460.4149,435.3844,179.0556,389.3789
HexCer-AP(t17:1/29:0)+HCO2,944.7402,898.7347,736.6819,508.4724,478.4619,453.4313,179.0556,407.4258
HexCer-AP(t17:1/29:1)+HCO2,942.7245,896.7191,734.6663,506.4568,476.4462,451.4157,179.0556,405.4102
HexCer-AP(t17:1/30:0)+HCO2,958.7559,912.7504,750.6976,522.4881,492.4775,467.447,179.0556,421.4415
HexCer-AP(t17:1/30:1)+HCO2,956.7402,910.7347,748.6819,520.4724,490.4619,465.4313,179.0556,419.4258
HexCer-AP(t17:1/30:2)+HCO2,954.7245,908.7191,746.6663,518.4568,488.4462,463.4157,179.0556,417.4102
HexCer-AP(t17:1/31:0)+HCO2,972.7715,926.7661,764.7132,536.5037,506.4932,481.4626,179.0556,435.4572
HexCer-AP(t17:1/31:1)+HCO2,970.7559,924.7504,762.6976,534.4881,504.4775,479.447,179.0556,433.4415
HexCer-AP(t17:1/32:0)+HCO2,986.7872,940.7817,778.7288,550.5194,520.5089,495.4783,179.0556,449.4728
HexCer-AP(t17:1/32:1)+HCO2,984.7715,938.7661,776.7132,548.5037,518.4932,493.4626,179.0556,447.4572
HexCer-AP(t17:1/32:2)+HCO2,982.7559,936.7504,774.6976,546.4881,516.4775,491.447,179.0556,445.4415
HexCer-AP(t17:1/33:0)+HCO2,1000.803,954.7973,792.7445,564.535,534.5245,509.4939,179.0556,463.4884
HexCer-AP(t17:1/33:1)+HCO2,998.7872,952.7817,790.7288,562.5194,532.5089,507.4783,179.0556,461.4728
HexCer-AP(t17:1/34:0)+HCO2,1014.818,968.813,806.7601,578.5507,548.5401,523.5096,179.0556,477.5041
HexCer-AP(t17:1/34:1)+HCO2,1012.803,966.7973,804.7445,576.535,546.5245,521.494,179.0556,475.4884
HexCer-AP(t17:1/34:2)+HCO2,1010.787,964.7817,802.7288,574.5194,544.5089,519.4783,179.0556,473.4728
HexCer-AP(t17:1/35:0)+HCO2,1028.834,982.8286,820.7758,592.5663,562.5558,537.5252,179.0556,491.5197
HexCer-AP(t17:1/35:1)+HCO2,1026.818,980.813,818.7601,590.5507,560.5401,535.5096,179.0556,489.5041
HexCer-AP(t17:1/36:0)+HCO2,1042.85,996.8443,834.7914,606.582,576.5714,551.5409,179.0556,505.5354
HexCer-AP(t17:1/36:1)+HCO2,1040.834,994.8286,832.7758,604.5663,574.5558,549.5252,179.0556,503.5197
HexCer-AP(t17:1/36:2)+HCO2,1038.818,992.813,830.7601,602.5507,572.5401,547.5096,179.0556,501.5041
HexCer-AP(t17:1/38:0)+HCO2,1070.881,1024.876,862.8228,634.6133,604.6027,579.5722,179.0556,533.5667
HexCer-AP(t17:1/38:1)+HCO2,1068.865,1022.86,860.8071,632.5977,602.5871,577.5565,179.0556,531.551
HexCer-AP(t17:1/38:2)+HCO2,1066.85,1020.844,858.7914,630.582,600.5714,575.5409,179.0556,529.5354
HexCer-AP(t17:1/40:0)+HCO2,1098.912,1052.907,890.8541,662.6446,632.634,607.6035,179.0556,561.598
HexCer-AP(t17:1/40:1)+HCO2,1096.897,1050.891,888.8384,660.629,630.6183,605.5878,179.0556,559.5823
HexCer-AP(t17:1/40:2)+HCO2,1094.881,1048.876,886.8228,658.6133,628.6027,603.5722,179.0556,557.5667
HexCer-AP(t17:1/42:0)+HCO2,1126.944,1080.938,918.8854,690.6759,660.6653,635.6348,179.0556,589.6293
HexCer-AP(t17:1/42:1)+HCO2,1124.928,1078.922,916.8697,688.6602,658.6497,633.6191,179.0556,587.6136
HexCer-AP(t17:1/42:2)+HCO2,1122.912,1076.907,914.8541,686.6446,656.634,631.6035,179.0556,585.598
HexCer-AP(t17:2/12:0)+HCO2,704.4585,658.453,496.4002,270.2064,240.1958,215.1653,179.0556,169.1598
HexCer-AP(t17:2/12:1)+HCO2,702.4429,656.4374,494.3846,268.1907,238.1802,213.1496,179.0556,167.1441
HexCer-AP(t17:2/13:0)+HCO2,718.4741,672.4687,510.4158,284.222,254.2115,229.1809,179.0556,183.1754
HexCer-AP(t17:2/13:1)+HCO2,716.4585,670.453,508.4002,282.2064,252.1958,227.1653,179.0556,181.1598
HexCer-AP(t17:2/14:0)+HCO2,732.4898,686.4843,524.4315,298.2377,268.2271,243.1966,179.0556,197.1911
HexCer-AP(t17:2/14:1)+HCO2,730.4741,684.4687,522.4158,296.222,266.2115,241.1809,179.0556,195.1754
HexCer-AP(t17:2/15:0)+HCO2,746.5054,700.5,538.4471,312.2533,282.2428,257.2122,179.0556,211.2067
HexCer-AP(t17:2/15:1)+HCO2,744.4898,698.4843,536.4315,310.2377,280.2271,255.1966,179.0556,209.1911
HexCer-AP(t17:2/16:0)+HCO2,760.5211,714.5156,552.4628,326.269,296.2584,271.2279,179.0556,225.2224
HexCer-AP(t17:2/16:1)+HCO2,758.5054,712.5,550.4471,324.2533,294.2428,269.2122,179.0556,223.2067
HexCer-AP(t17:2/16:2)+HCO2,756.4898,710.4843,548.4315,322.2377,292.2271,267.1966,179.0556,221.1911
HexCer-AP(t17:2/17:0)+HCO2,774.5367,728.5313,566.4785,340.2846,310.2741,285.2435,179.0556,239.238
HexCer-AP(t17:2/18:0)+HCO2,788.5524,742.5469,580.4941,354.3003,324.2897,299.2592,179.0556,253.2537
HexCer-AP(t17:2/18:1)+HCO2,786.5367,740.5313,578.4785,352.2846,322.2741,297.2435,179.0556,251.238
HexCer-AP(t17:2/18:2)+HCO2,784.5211,738.5156,576.4628,350.269,320.2584,295.2279,179.0556,249.2224
HexCer-AP(t17:2/19:0)+HCO2,802.5681,756.5626,594.5098,368.3159,338.3054,313.2748,179.0556,267.2693
HexCer-AP(t17:2/19:1)+HCO2,800.5524,754.5469,592.4941,366.3003,336.2897,311.2592,179.0556,265.2537
HexCer-AP(t17:2/20:0)+HCO2,816.5837,770.5782,608.5254,382.3316,352.321,327.2905,179.0556,281.285
HexCer-AP(t17:2/20:1)+HCO2,814.5681,768.5626,606.5098,380.3159,350.3054,325.2748,179.0556,279.2693
HexCer-AP(t17:2/20:2)+HCO2,812.5524,766.5469,604.4941,378.3003,348.2897,323.2592,179.0556,277.2537
HexCer-AP(t17:2/21:0)+HCO2,830.5994,784.5939,622.541,396.3472,366.3367,341.3061,179.0556,295.3006
HexCer-AP(t17:2/21:1)+HCO2,828.5837,782.5782,620.5254,394.3316,364.321,339.2905,179.0556,293.285
HexCer-AP(t17:2/22:0)+HCO2,844.615,798.6096,636.5567,410.3629,380.3523,355.3218,179.0556,309.3163
HexCer-AP(t17:2/22:1)+HCO2,842.5994,796.5939,634.541,408.3472,378.3367,353.3061,179.0556,307.3006
HexCer-AP(t17:2/22:2)+HCO2,840.5837,794.5782,632.5254,406.3316,376.321,351.2905,179.0556,305.285
HexCer-AP(t17:2/23:0)+HCO2,858.6307,812.6252,650.5723,424.3785,394.368,369.3374,179.0556,323.3319
HexCer-AP(t17:2/23:1)+HCO2,856.615,810.6096,648.5567,422.3629,392.3523,367.3218,179.0556,321.3163
HexCer-AP(t17:2/24:0)+HCO2,872.6463,826.6408,664.588,438.3942,408.3836,383.3531,179.0556,337.3476
HexCer-AP(t17:2/24:1)+HCO2,870.6307,824.6252,662.5723,436.3785,406.368,381.3374,179.0556,335.3319
HexCer-AP(t17:2/24:2)+HCO2,868.615,822.6096,660.5567,434.3629,404.3523,379.3218,179.0556,333.3163
HexCer-AP(t17:2/25:0)+HCO2,886.6619,840.6565,678.6036,452.4099,422.3993,397.3687,179.0556,351.3633
HexCer-AP(t17:2/25:1)+HCO2,884.6463,838.6408,676.588,450.3942,420.3836,395.3531,179.0556,349.3476
HexCer-AP(t17:2/26:0)+HCO2,900.6776,854.6721,692.6193,466.4255,436.4149,411.3844,179.0556,365.3789
HexCer-AP(t17:2/26:1)+HCO2,898.6619,852.6565,690.6036,464.4099,434.3993,409.3687,179.0556,363.3633
HexCer-AP(t17:2/26:2)+HCO2,896.6463,850.6408,688.588,462.3942,432.3836,407.3531,179.0556,361.3476
HexCer-AP(t17:2/27:0)+HCO2,914.6932,868.6878,706.6349,480.4411,450.4306,425.4,179.0556,379.3945
HexCer-AP(t17:2/27:1)+HCO2,912.6776,866.6721,704.6193,478.4255,448.4149,423.3844,179.0556,377.3789
