PEtOH,[M+NH4]+,[M-C2H7O4P+H]+,[C5H11O5P+H]+
PEtOH(32:7)+NH4,680.42867,537.3939,183.0417
PEtOH(32:8)+NH4,678.41297,535.3782,183.0417
PEtOH(33:0)+NH4,708.55387,565.5191,183.0417
PEtOH(33:1)+NH4,706.53817,563.5034,183.0417
PEtOH(33:2)+NH4,704.52247,561.4877,183.0417
PEtOH(33:3)+NH4,702.50687,559.4721,183.0417
PEtOH(33:4)+NH4,700.49117,557.4564,183.0417
PEtOH(33:5)+NH4,698.47557,555.4408,183.0417
PEtOH(33:6)+NH4,696.45997,553.4252,183.0417
PEtOH(34:0)+NH4,722.56947,579.5347,183.0417
PEtOH(34:1)+NH4,720.55387,577.5191,183.0417
PEtOH(34:2)+NH4,718.53817,575.5034,183.0417
PEtOH(34:3)+NH4,716.52247,573.4877,183.0417
PEtOH(34:4)+NH4,714.50687,571.4721,183.0417
PEtOH(34:5)+NH4,712.49117,569.4564,183.0417
PEtOH(34:6)+NH4,710.47557,567.4408,183.0417
PEtOH(34:7)+NH4,708.45997,565.4252,183.0417
PEtOH(34:8)+NH4,706.44427,563.4095,183.0417
PEtOH(34:9)+NH4,704.42867,561.3939,183.0417
PEtOH(35:0)+NH4,736.58517,593.5504,183.0417
PEtOH(35:1)+NH4,734.56947,591.5347,183.0417
PEtOH(35:2)+NH4,732.55387,589.5191,183.0417
PEtOH(35:3)+NH4,730.53817,587.5034,183.0417
PEtOH(35:4)+NH4,728.52247,585.4877,183.0417
PEtOH(35:5)+NH4,726.50687,583.4721,183.0417
PEtOH(35:6)+NH4,724.49117,581.4564,183.0417
PEtOH(35:7)+NH4,722.47557,579.4408,183.0417
PEtOH(36:0)+NH4,750.60077,607.566,183.0417
PEtOH(36:1)+NH4,748.58517,605.5504,183.0417
PEtOH(36:10)+NH4,730.44427,587.4095,183.0417
PEtOH(36:2)+NH4,746.56947,603.5347,183.0417
PEtOH(36:3)+NH4,744.55387,601.5191,183.0417
PEtOH(36:4)+NH4,742.53817,599.5034,183.0417
PEtOH(36:5)+NH4,740.52247,597.4877,183.0417
PEtOH(36:6)+NH4,738.50687,595.4721,183.0417
PEtOH(36:7)+NH4,736.49117,593.4564,183.0417
PEtOH(36:8)+NH4,734.47557,591.4408,183.0417
PEtOH(36:9)+NH4,732.45997,589.4252,183.0417
PEtOH(37:0)+NH4,764.61647,621.5817,183.0417
PEtOH(37:1)+NH4,762.60077,619.566,183.0417
PEtOH(37:2)+NH4,760.58517,617.5504,183.0417
PEtOH(37:3)+NH4,758.56947,615.5347,183.0417
PEtOH(37:4)+NH4,756.55387,613.5191,183.0417
PEtOH(37:5)+NH4,754.53817,611.5034,183.0417
PEtOH(37:6)+NH4,752.52247,609.4877,183.0417
PEtOH(37:7)+NH4,750.50687,607.4721,183.0417
PEtOH(38:0)+NH4,778.63207,635.5973,183.0417
PEtOH(38:1)+NH4,776.61647,633.5817,183.0417
PEtOH(38:10)+NH4,758.47557,615.4408,183.0417
PEtOH(38:2)+NH4,774.60077,631.566,183.0417
PEtOH(38:3)+NH4,772.58517,629.5504,183.0417
PEtOH(38:4)+NH4,770.56947,627.5347,183.0417
PEtOH(38:5)+NH4,768.55387,625.5191,183.0417
PEtOH(38:6)+NH4,766.53817,623.5034,183.0417
PEtOH(38:7)+NH4,764.52247,621.4877,183.0417
PEtOH(38:8)+NH4,762.50687,619.4721,183.0417
PEtOH(38:9)+NH4,760.49117,617.4564,183.0417
PEtOH(39:0)+NH4,792.64767,649.6129,183.0417
PEtOH(39:1)+NH4,790.63207,647.5973,183.0417
PEtOH(39:2)+NH4,788.61647,645.5817,183.0417
PEtOH(39:3)+NH4,786.60077,643.566,183.0417
PEtOH(39:4)+NH4,784.58517,641.5504,183.0417
PEtOH(39:5)+NH4,782.56947,639.5347,183.0417
PEtOH(39:6)+NH4,780.55387,637.5191,183.0417
PEtOH(39:7)+NH4,778.53817,635.5034,183.0417
PEtOH(39:8)+NH4,776.52247,633.4877,183.0417
PEtOH(40:0)+NH4,806.66337,663.6286,183.0417
PEtOH(40:1)+NH4,804.64767,661.6129,183.0417
PEtOH(40:10)+NH4,786.50687,643.4721,183.0417
PEtOH(40:11)+NH4,784.49117,641.4564,183.0417
PEtOH(40:2)+NH4,802.63207,659.5973,183.0417
PEtOH(40:3)+NH4,800.61647,657.5817,183.0417
PEtOH(40:4)+NH4,798.60077,655.566,183.0417
PEtOH(40:5)+NH4,796.58517,653.5504,183.0417
PEtOH(40:6)+NH4,794.56947,651.5347,183.0417
PEtOH(40:7)+NH4,792.55387,649.5191,183.0417
PEtOH(40:8)+NH4,790.53817,647.5034,183.0417
PEtOH(40:9)+NH4,788.52247,645.4877,183.0417
PEtOH(41:0)+NH4,820.67897,677.6442,183.0417
PEtOH(41:1)+NH4,818.66337,675.6286,183.0417
PEtOH(41:2)+NH4,816.64767,673.6129,183.0417
PEtOH(41:3)+NH4,814.63207,671.5973,183.0417
PEtOH(41:4)+NH4,812.61647,669.5817,183.0417
PEtOH(41:5)+NH4,810.60077,667.566,183.0417
PEtOH(41:6)+NH4,808.58517,665.5504,183.0417
PEtOH(41:7)+NH4,806.56947,663.5347,183.0417
PEtOH(41:8)+NH4,804.55387,661.5191,183.0417
PEtOH(42:0)+NH4,834.69467,691.6599,183.0417
PEtOH(42:1)+NH4,832.67897,689.6442,183.0417
PEtOH(42:10)+NH4,814.53817,671.5034,183.0417
PEtOH(42:11)+NH4,812.52247,669.4877,183.0417
PEtOH(42:2)+NH4,830.66337,687.6286,183.0417
PEtOH(42:3)+NH4,828.64767,685.6129,183.0417
PEtOH(42:4)+NH4,826.63207,683.5973,183.0417
PEtOH(42:5)+NH4,824.61647,681.5817,183.0417
PEtOH(42:6)+NH4,822.60077,679.566,183.0417
PEtOH(42:7)+NH4,820.58517,677.5504,183.0417
PEtOH(42:8)+NH4,818.56947,675.5347,183.0417
PEtOH(42:9)+NH4,816.55387,673.5191,183.0417
PEtOH(43:0)+NH4,848.71037,705.6756,183.0417
PEtOH(43:1)+NH4,846.69467,703.6599,183.0417
PEtOH(43:2)+NH4,844.67897,701.6442,183.0417
PEtOH(43:3)+NH4,842.66337,699.6286,183.0417
PEtOH(43:4)+NH4,840.64767,697.6129,183.0417
PEtOH(43:5)+NH4,838.63207,695.5973,183.0417
PEtOH(43:6)+NH4,836.61647,693.5817,183.0417
PEtOH(43:7)+NH4,834.60077,691.566,183.0417
PEtOH(43:8)+NH4,832.58517,689.5504,183.0417
PEtOH(44:0)+NH4,862.72597,719.6912,183.0417
PEtOH(44:1)+NH4,860.71037,717.6756,183.0417
PEtOH(44:10)+NH4,842.56947,699.5347,183.0417
PEtOH(44:11)+NH4,840.55387,697.5191,183.0417
PEtOH(44:12)+NH4,838.53817,695.5034,183.0417
PEtOH(44:2)+NH4,858.69467,715.6599,183.0417
PEtOH(44:3)+NH4,856.67897,713.6442,183.0417
PEtOH(44:4)+NH4,854.66337,711.6286,183.0417
PEtOH(44:5)+NH4,852.64767,709.6129,183.0417
