SHexCer,[M-H]-,[H2SO4-H]-
SHexCer(d51:0)-H,1018.796,96.9601
SHexCer(d51:1)-H,1016.781,96.9601
SHexCer(d51:2)-H,1014.765,96.9601
SHexCer(d51:3)-H,1012.749,96.9601
SHexCer(d52:0)-H,1032.812,96.9601
SHexCer(d52:1)-H,1030.796,96.9601
SHexCer(d52:2)-H,1028.781,96.9601
SHexCer(d52:3)-H,1026.765,96.9601
SHexCer(d53:0)-H,1046.828,96.9601
SHexCer(d53:1)-H,1044.812,96.9601
SHexCer(d53:2)-H,1042.796,96.9601
SHexCer(d53:3)-H,1040.781,96.9601
SHexCer(d54:0)-H,1060.843,96.9601
SHexCer(d54:1)-H,1058.828,96.9601
SHexCer(d54:2)-H,1056.812,96.9601
SHexCer(d54:3)-H,1054.796,96.9601
SHexCer(d55:0)-H,1074.859,96.9601
SHexCer(d55:1)-H,1072.843,96.9601
SHexCer(d55:2)-H,1070.828,96.9601
SHexCer(d55:3)-H,1068.812,96.9601
SHexCer(d56:0)-H,1088.875,96.9601
SHexCer(d56:1)-H,1086.859,96.9601
SHexCer(d56:2)-H,1084.843,96.9601
SHexCer(d56:3)-H,1082.828,96.9601
SHexCer(d57:0)-H,1102.89,96.9601
SHexCer(d57:1)-H,1100.875,96.9601
SHexCer(d57:2)-H,1098.859,96.9601
SHexCer(d57:3)-H,1096.843,96.9601
SHexCer(d58:0)-H,1116.906,96.9601
SHexCer(d58:1)-H,1114.89,96.9601
SHexCer(d58:2)-H,1112.875,96.9601
SHexCer(d58:3)-H,1110.859,96.9601
SHexCer(d59:0)-H,1130.922,96.9601
SHexCer(d59:1)-H,1128.906,96.9601
SHexCer(d59:2)-H,1126.89,96.9601
SHexCer(d59:3)-H,1124.875,96.9601
SHexCer(d60:0)-H,1144.937,96.9601
SHexCer(d60:1)-H,1142.922,96.9601
SHexCer(d60:2)-H,1140.906,96.9601
SHexCer(d60:3)-H,1138.89,96.9601
SHexCer(d61:0)-H,1158.953,96.9601
SHexCer(d61:1)-H,1156.937,96.9601
SHexCer(d61:2)-H,1154.922,96.9601
SHexCer(d61:3)-H,1152.906,96.9601
SHexCer(d62:0)-H,1172.969,96.9601
SHexCer(d62:1)-H,1170.953,96.9601
SHexCer(d62:2)-H,1168.937,96.9601
SHexCer(d62:3)-H,1166.922,96.9601
SHexCer(d63:0)-H,1186.984,96.9601
SHexCer(d63:1)-H,1184.969,96.9601
SHexCer(d63:2)-H,1182.953,96.9601
SHexCer(d63:3)-H,1180.937,96.9601
SHexCer(d64:0)-H,1201,96.9601
SHexCer(d64:1)-H,1198.984,96.9601
SHexCer(d64:2)-H,1196.969,96.9601
SHexCer(d64:3)-H,1194.953,96.9601
SHexCer(d65:0)-H,1215.016,96.9601
SHexCer(d65:1)-H,1213,96.9601
SHexCer(d65:2)-H,1210.984,96.9601
SHexCer(d65:3)-H,1208.969,96.9601
SHexCer(d66:0)-H,1229.031,96.9601
SHexCer(d66:1)-H,1227.016,96.9601
SHexCer(d66:2)-H,1225,96.9601
SHexCer(d66:3)-H,1222.984,96.9601
SHexCer(d67:0)-H,1243.047,96.9601
SHexCer(d67:1)-H,1241.031,96.9601
SHexCer(d67:2)-H,1239.016,96.9601
SHexCer(d67:3)-H,1237,96.9601
SHexCer(d68:0)-H,1257.062,96.9601
SHexCer(d68:1)-H,1255.047,96.9601
SHexCer(d68:2)-H,1253.031,96.9601
SHexCer(d68:3)-H,1251.016,96.9601
SHexCer(d69:0)-H,1271.078,96.9601
SHexCer(d69:1)-H,1269.062,96.9601
SHexCer(d69:2)-H,1267.047,96.9601
SHexCer(d69:3)-H,1265.031,96.9601
SHexCer(d70:0)-H,1285.094,96.9601
SHexCer(d70:1)-H,1283.078,96.9601
SHexCer(d70:2)-H,1281.062,96.9601
SHexCer(d70:3)-H,1279.047,96.9601
SHexCer(d71:0)-H,1299.109,96.9601
SHexCer(d71:1)-H,1297.094,96.9601
SHexCer(d71:2)-H,1295.078,96.9601
SHexCer(d71:3)-H,1293.062,96.9601
SHexCer(d72:0)-H,1313.125,96.9601
SHexCer(d72:1)-H,1311.109,96.9601
SHexCer(d72:2)-H,1309.094,96.9601
SHexCer(d72:3)-H,1307.078,96.9601
