SM,[M+HCO2]-,M-CH3,(P-Cho)-CH3-H
SM(40:7)+HCO2,819.5658,759.54,168.0431
SM(40:8)+HCO2,817.5501,757.5243,168.0431
SM(40:9)+HCO2,815.5345,755.5087,168.0431
SM(41:0)+HCO2,847.691,787.6652,168.0431
SM(41:1)+HCO2,845.6753,785.6495,168.0431
SM(41:2)+HCO2,843.6597,783.6339,168.0431
SM(41:3)+HCO2,841.6441,781.6183,168.0431
SM(41:4)+HCO2,839.6284,779.6026,168.0431
SM(41:5)+HCO2,837.6128,777.587,168.0431
SM(41:6)+HCO2,835.5971,775.5713,168.0431
SM(42:0)+HCO2,861.7066,801.6808,168.0431
SM(42:1)+HCO2,859.691,799.6652,168.0431
SM(42:10)+HCO2,841.5501,781.5243,168.0431
SM(42:11)+HCO2,839.5345,779.5087,168.0431
SM(42:2)+HCO2,857.6754,797.6496,168.0431
SM(42:3)+HCO2,855.6597,795.6339,168.0431
SM(42:4)+HCO2,853.6441,793.6183,168.0431
SM(42:5)+HCO2,851.6284,791.6026,168.0431
SM(42:6)+HCO2,849.6127,789.5869,168.0431
SM(42:7)+HCO2,847.5971,787.5713,168.0431
SM(42:8)+HCO2,845.5814,785.5556,168.0431
SM(42:9)+HCO2,843.5658,783.54,168.0431
SM(43:0)+HCO2,875.7223,815.6965,168.0431
SM(43:1)+HCO2,873.7066,813.6808,168.0431
SM(43:2)+HCO2,871.691,811.6652,168.0431
SM(43:3)+HCO2,869.6754,809.6496,168.0431
SM(43:4)+HCO2,867.6597,807.6339,168.0431
SM(43:5)+HCO2,865.6441,805.6183,168.0431
SM(43:6)+HCO2,863.6284,803.6026,168.0431
SM(44:0)+HCO2,889.7379,829.7121,168.0431
SM(44:1)+HCO2,887.7223,827.6965,168.0431
SM(44:10)+HCO2,869.5814,809.5556,168.0431
SM(44:11)+HCO2,867.5658,807.54,168.0431
SM(44:12)+HCO2,865.5501,805.5243,168.0431
SM(44:2)+HCO2,885.7066,825.6808,168.0431
SM(44:3)+HCO2,883.691,823.6652,168.0431
SM(44:4)+HCO2,881.6753,821.6495,168.0431
SM(44:5)+HCO2,879.6597,819.6339,168.0431
SM(44:6)+HCO2,877.6441,817.6183,168.0431
