Plasmanyl-PC,[M+H]+,MH-PC,NL_sn1_ether,NL_sn1_59,NL_sn2_acyl,sn2_NL_H2O,LPC_T2_H,RCOO+58_T2,RCO_T2,PC_Head
Plasmanyl-PC(O-20:0/18:4)+H,796.6214576,613.5554176,500.3136926,441.2401926,538.4231776,520.4126176,516.30849,333.24243,259.2062,184.07332
Plasmanyl-PC(O-20:0/19:0)+H,818.6997576,635.6337176,522.3919926,463.3184926,538.4231776,520.4126176,538.38679,355.32073,281.2845,184.07332
Plasmanyl-PC(O-20:0/20:0)+H,832.7153576,649.6493176,536.4075926,477.3340926,538.4231776,520.4126176,552.40239,369.33633,295.3001,184.07332
Plasmanyl-PC(O-20:0/20:1)+H,830.6997576,647.6337176,534.3919926,475.3184926,538.4231776,520.4126176,550.38679,367.32073,293.2845,184.07332
Plasmanyl-PC(O-20:0/20:2)+H,828.6840576,645.6180176,532.3762926,473.3027926,538.4231776,520.4126176,548.37109,365.30503,291.2688,184.07332
Plasmanyl-PC(O-20:0/20:3)+H,826.6684576,643.6024176,530.3606926,471.2871926,538.4231776,520.4126176,546.35549,363.28943,289.2532,184.07332
Plasmanyl-PC(O-20:0/20:4)+H,824.6527576,641.5867176,528.3449926,469.2714926,538.4231776,520.4126176,544.33979,361.27373,287.2375,184.07332
Plasmanyl-PC(O-20:0/20:5)+H,822.6371576,639.5711176,526.3293926,467.2558926,538.4231776,520.4126176,542.32419,359.25813,285.2219,184.07332
Plasmanyl-PC(O-20:0/21:0)+H,846.7310576,663.6650176,550.4232926,491.3497926,538.4231776,520.4126176,566.41809,383.35203,309.3158,184.07332
Plasmanyl-PC(O-20:0/22:0)+H,860.7466576,677.6806176,564.4388926,505.3653926,538.4231776,520.4126176,580.43369,397.36763,323.3314,184.07332
Plasmanyl-PC(O-20:0/22:1)+H,858.7310576,675.6650176,562.4232926,503.3497926,538.4231776,520.4126176,578.41809,395.35203,321.3158,184.07332
Plasmanyl-PC(O-20:0/22:2)+H,856.7153576,673.6493176,560.4075926,501.3340926,538.4231776,520.4126176,576.40239,393.33633,319.3001,184.07332
Plasmanyl-PC(O-20:0/22:3)+H,854.6997576,671.6337176,558.3919926,499.3184926,538.4231776,520.4126176,574.38679,391.32073,317.2845,184.07332
Plasmanyl-PC(O-20:0/22:4)+H,852.6840576,669.6180176,556.3762926,497.3027926,538.4231776,520.4126176,572.37109,389.30503,315.2688,184.07332
Plasmanyl-PC(O-20:0/22:5)+H,850.6684576,667.6024176,554.3606926,495.2871926,538.4231776,520.4126176,570.35549,387.28943,313.2532,184.07332
Plasmanyl-PC(O-20:0/22:6)+H,848.6527576,665.5867176,552.3449926,493.2714926,538.4231776,520.4126176,568.33979,385.27373,311.2375,184.07332
Plasmanyl-PC(O-20:0/23:0)+H,874.7623576,691.6963176,578.4545926,519.3810926,538.4231776,520.4126176,594.44939,411.38333,337.3471,184.07332
Plasmanyl-PC(O-20:0/24:0)+H,888.7779576,705.7119176,592.4701926,533.3966926,538.4231776,520.4126176,608.46499,425.39893,351.3627,184.07332
Plasmanyl-PC(O-20:0/24:1)+H,886.7623576,703.6963176,590.4545926,531.3810926,538.4231776,520.4126176,606.44939,423.38333,349.3471,184.07332
Plasmanyl-PC(O-20:0/25:0)+H,902.7936576,719.7276176,606.4858926,547.4123926,538.4231776,520.4126176,622.48069,439.41463,365.3784,184.07332
Plasmanyl-PC(O-20:0/26:0)+H,916.8092576,733.7432176,620.5014926,561.4279926,538.4231776,520.4126176,636.49629,453.43023,379.394,184.07332
Plasmanyl-PC(O-20:0/8:0)+H,664.5275576,481.4615176,368.2197926,309.1462926,538.4231776,520.4126176,384.21459,201.14853,127.1123,184.07332
Plasmanyl-PC(O-20:1/10:0)+H,690.5432576,507.4772176,396.2510926,337.1775926,536.4075776,518.3970176,412.24589,229.17983,155.1436,184.07332
Plasmanyl-PC(O-20:1/12:0)+H,718.5745576,535.5085176,424.2823926,365.2088926,536.4075776,518.3970176,440.27719,257.21113,183.1749,184.07332
Plasmanyl-PC(O-20:1/13:0)+H,732.5902576,549.5242176,438.2980926,379.2245926,536.4075776,518.3970176,454.29289,271.22683,197.1906,184.07332
Plasmanyl-PC(O-20:1/14:0)+H,746.6058576,563.5398176,452.3136926,393.2401926,536.4075776,518.3970176,468.30849,285.24243,211.2062,184.07332
Plasmanyl-PC(O-20:1/14:1)+H,744.5902576,561.5242176,450.2980926,391.2245926,536.4075776,518.3970176,466.29289,283.22683,209.1906,184.07332
Plasmanyl-PC(O-20:1/15:0)+H,760.6215576,577.5555176,466.3293926,407.2558926,536.4075776,518.3970176,482.32419,299.25813,225.2219,184.07332
Plasmanyl-PC(O-20:1/15:1)+H,758.6058576,575.5398176,464.3136926,405.2401926,536.4075776,518.3970176,480.30849,297.24243,223.2062,184.07332
Plasmanyl-PC(O-20:1/16:0)+H,774.6371576,591.5711176,480.3449926,421.2714926,536.4075776,518.3970176,496.33979,313.27373,239.2375,184.07332
Plasmanyl-PC(O-20:1/16:1)+H,772.6215576,589.5555176,478.3293926,419.2558926,536.4075776,518.3970176,494.32419,311.25813,237.2219,184.07332
Plasmanyl-PC(O-20:1/17:0)+H,788.6528576,605.5868176,494.3606926,435.2871926,536.4075776,518.3970176,510.35549,327.28943,253.2532,184.07332
Plasmanyl-PC(O-20:1/17:1)+H,786.6371576,603.5711176,492.3449926,433.2714926,536.4075776,518.3970176,508.33979,325.27373,251.2375,184.07332
Plasmanyl-PC(O-20:1/17:2)+H,784.6215576,601.5555176,490.3293926,431.2558926,536.4075776,518.3970176,506.32419,323.25813,249.2219,184.07332
Plasmanyl-PC(O-20:1/18:0)+H,802.6684576,619.6024176,508.3762926,449.3027926,536.4075776,518.3970176,524.37109,341.30503,267.2688,184.07332
Plasmanyl-PC(O-20:1/18:1)+H,800.6528576,617.5868176,506.3606926,447.2871926,536.4075776,518.3970176,522.35549,339.28943,265.2532,184.07332
Plasmanyl-PC(O-20:1/18:2)+H,798.6371576,615.5711176,504.3449926,445.2714926,536.4075776,518.3970176,520.33979,337.27373,263.2375,184.07332
Plasmanyl-PC(O-20:1/18:3)+H,796.6215576,613.5555176,502.3293926,443.2558926,536.4075776,518.3970176,518.32419,335.25813,261.2219,184.07332
Plasmanyl-PC(O-20:1/18:4)+H,794.6058576,611.5398176,500.3136926,441.2401926,536.4075776,518.3970176,516.30849,333.24243,259.2062,184.07332
Plasmanyl-PC(O-20:1/19:0)+H,816.6841576,633.6181176,522.3919926,463.3184926,536.4075776,518.3970176,538.38679,355.32073,281.2845,184.07332
Plasmanyl-PC(O-20:1/20:0)+H,830.6997576,647.6337176,536.4075926,477.3340926,536.4075776,518.3970176,552.40239,369.33633,295.3001,184.07332
Plasmanyl-PC(O-20:1/20:1)+H,828.6841576,645.6181176,534.3919926,475.3184926,536.4075776,518.3970176,550.38679,367.32073,293.2845,184.07332
Plasmanyl-PC(O-20:1/20:2)+H,826.6684576,643.6024176,532.3762926,473.3027926,536.4075776,518.3970176,548.37109,365.30503,291.2688,184.07332
Plasmanyl-PC(O-20:1/20:3)+H,824.6528576,641.5868176,530.3606926,471.2871926,536.4075776,518.3970176,546.35549,363.28943,289.2532,184.07332
Plasmanyl-PC(O-20:1/20:4)+H,822.6371576,639.5711176,528.3449926,469.2714926,536.4075776,518.3970176,544.33979,361.27373,287.2375,184.07332
Plasmanyl-PC(O-20:1/20:5)+H,820.6215576,637.5555176,526.3293926,467.2558926,536.4075776,518.3970176,542.32419,359.25813,285.2219,184.07332
Plasmanyl-PC(O-20:1/21:0)+H,844.7154576,661.6494176,550.4232926,491.3497926,536.4075776,518.3970176,566.41809,383.35203,309.3158,184.07332
Plasmanyl-PC(O-20:1/22:0)+H,858.7310576,675.6650176,564.4388926,505.3653926,536.4075776,518.3970176,580.43369,397.36763,323.3314,184.07332
Plasmanyl-PC(O-20:1/22:1)+H,856.7154576,673.6494176,562.4232926,503.3497926,536.4075776,518.3970176,578.41809,395.35203,321.3158,184.07332
Plasmanyl-PC(O-20:1/22:2)+H,854.6997576,671.6337176,560.4075926,501.3340926,536.4075776,518.3970176,576.40239,393.33633,319.3001,184.07332
Plasmanyl-PC(O-20:1/22:3)+H,852.6841576,669.6181176,558.3919926,499.3184926,536.4075776,518.3970176,574.38679,391.32073,317.2845,184.07332
Plasmanyl-PC(O-20:1/22:4)+H,850.6684576,667.6024176,556.3762926,497.3027926,536.4075776,518.3970176,572.37109,389.30503,315.2688,184.07332
Plasmanyl-PC(O-20:1/22:5)+H,848.6528576,665.5868176,554.3606926,495.2871926,536.4075776,518.3970176,570.35549,387.28943,313.2532,184.07332
Plasmanyl-PC(O-20:1/22:6)+H,846.6371576,663.5711176,552.3449926,493.2714926,536.4075776,518.3970176,568.33979,385.27373,311.2375,184.07332
Plasmanyl-PC(O-20:1/23:0)+H,872.7467576,689.6807176,578.4545926,519.3810926,536.4075776,518.3970176,594.44939,411.38333,337.3471,184.07332
Plasmanyl-PC(O-20:1/24:0)+H,886.7623576,703.6963176,592.4701926,533.3966926,536.4075776,518.3970176,608.46499,425.39893,351.3627,184.07332
Plasmanyl-PC(O-20:1/24:1)+H,884.7467576,701.6807176,590.4545926,531.3810926,536.4075776,518.3970176,606.44939,423.38333,349.3471,184.07332
Plasmanyl-PC(O-20:1/25:0)+H,900.7780576,717.7120176,606.4858926,547.4123926,536.4075776,518.3970176,622.48069,439.41463,365.3784,184.07332
Plasmanyl-PC(O-20:1/26:0)+H,914.7936576,731.7276176,620.5014926,561.4279926,536.4075776,518.3970176,636.49629,453.43023,379.394,184.07332
Plasmanyl-PC(O-20:1/8:0)+H,662.5119576,479.4459176,368.2197926,309.1462926,536.4075776,518.3970176,384.21459,201.14853,127.1123,184.07332
Plasmanyl-PC(O-22:0/8:0)+H,692.5588576,509.4928176,368.2197926,309.1462926,566.4544776,548.4439176,384.21459,201.14853,127.1123,184.07332
Plasmanyl-PC(O-22:0/10:0)+H,720.5901576,537.5241176,396.2510926,337.1775926,566.4544776,548.4439176,412.24589,229.17983,155.1436,184.07332
Plasmanyl-PC(O-22:0/12:0)+H,748.6214576,565.5554176,424.2823926,365.2088926,566.4544776,548.4439176,440.27719,257.21113,183.1749,184.07332
Plasmanyl-PC(O-22:0/13:0)+H,762.6371576,579.5711176,438.2980926,379.2245926,566.4544776,548.4439176,454.29289,271.22683,197.1906,184.07332
Plasmanyl-PC(O-22:0/14:0)+H,776.6527576,593.5867176,452.3136926,393.2401926,566.4544776,548.4439176,468.30849,285.24243,211.2062,184.07332
Plasmanyl-PC(O-22:0/14:1)+H,774.6371576,591.5711176,450.2980926,391.2245926,566.4544776,548.4439176,466.29289,283.22683,209.1906,184.07332
Plasmanyl-PC(O-22:0/15:0)+H,790.6684576,607.6024176,466.3293926,407.2558926,566.4544776,548.4439176,482.32419,299.25813,225.2219,184.07332
Plasmanyl-PC(O-22:0/15:1)+H,788.6527576,605.5867176,464.3136926,405.2401926,566.4544776,548.4439176,480.30849,297.24243,223.2062,184.07332
Plasmanyl-PC(O-22:0/16:0)+H,804.6840576,621.6180176,480.3449926,421.2714926,566.4544776,548.4439176,496.33979,313.27373,239.2375,184.07332
Plasmanyl-PC(O-22:0/16:1)+H,802.6684576,619.6024176,478.3293926,419.2558926,566.4544776,548.4439176,494.32419,311.25813,237.2219,184.07332
Plasmanyl-PC(O-22:0/17:0)+H,818.6997576,635.6337176,494.3606926,435.2871926,566.4544776,548.4439176,510.35549,327.28943,253.2532,184.07332
Plasmanyl-PC(O-22:0/17:1)+H,816.6840576,633.6180176,492.3449926,433.2714926,566.4544776,548.4439176,508.33979,325.27373,251.2375,184.07332
Plasmanyl-PC(O-22:0/17:2)+H,814.6684576,631.6024176,490.3293926,431.2558926,566.4544776,548.4439176,506.32419,323.25813,249.2219,184.07332
Plasmanyl-PC(O-22:0/18:0)+H,832.7153576,649.6493176,508.3762926,449.3027926,566.4544776,548.4439176,524.37109,341.30503,267.2688,184.07332
Plasmanyl-PC(O-22:0/18:1)+H,830.6997576,647.6337176,506.3606926,447.2871926,566.4544776,548.4439176,522.35549,339.28943,265.2532,184.07332
Plasmanyl-PC(O-22:0/18:2)+H,828.6840576,645.6180176,504.3449926,445.2714926,566.4544776,548.4439176,520.33979,337.27373,263.2375,184.07332
Plasmanyl-PC(O-22:0/18:3)+H,826.6684576,643.6024176,502.3293926,443.2558926,566.4544776,548.4439176,518.32419,335.25813,261.2219,184.07332
Plasmanyl-PC(O-22:0/18:4)+H,824.6527576,641.5867176,500.3136926,441.2401926,566.4544776,548.4439176,516.30849,333.24243,259.2062,184.07332
Plasmanyl-PC(O-22:0/19:0)+H,846.7310576,663.6650176,522.3919926,463.3184926,566.4544776,548.4439176,538.38679,355.32073,281.2845,184.07332
Plasmanyl-PC(O-22:0/20:0)+H,860.7466576,677.6806176,536.4075926,477.3340926,566.4544776,548.4439176,552.40239,369.33633,295.3001,184.07332
Plasmanyl-PC(O-22:0/20:1)+H,858.7310576,675.6650176,534.3919926,475.3184926,566.4544776,548.4439176,550.38679,367.32073,293.2845,184.07332
Plasmanyl-PC(O-22:0/20:2)+H,856.7153576,673.6493176,532.3762926,473.3027926,566.4544776,548.4439176,548.37109,365.30503,291.2688,184.07332
Plasmanyl-PC(O-22:0/20:3)+H,854.6997576,671.6337176,530.3606926,471.2871926,566.4544776,548.4439176,546.35549,363.28943,289.2532,184.07332
Plasmanyl-PC(O-22:0/20:4)+H,852.6840576,669.6180176,528.3449926,469.2714926,566.4544776,548.4439176,544.33979,361.27373,287.2375,184.07332
Plasmanyl-PC(O-22:0/20:5)+H,850.6684576,667.6024176,526.3293926,467.2558926,566.4544776,548.4439176,542.32419,359.25813,285.2219,184.07332
Plasmanyl-PC(O-22:0/21:0)+H,874.7623576,691.6963176,550.4232926,491.3497926,566.4544776,548.4439176,566.41809,383.35203,309.3158,184.07332
Plasmanyl-PC(O-22:0/22:0)+H,888.7779576,705.7119176,564.4388926,505.3653926,566.4544776,548.4439176,580.43369,397.36763,323.3314,184.07332
Plasmanyl-PC(O-22:0/22:1)+H,886.7623576,703.6963176,562.4232926,503.3497926,566.4544776,548.4439176,578.41809,395.35203,321.3158,184.07332
Plasmanyl-PC(O-22:0/22:2)+H,884.7466576,701.6806176,560.4075926,501.3340926,566.4544776,548.4439176,576.40239,393.33633,319.3001,184.07332
Plasmanyl-PC(O-22:0/22:3)+H,882.7310576,699.6650176,558.3919926,499.3184926,566.4544776,548.4439176,574.38679,391.32073,317.2845,184.07332
Plasmanyl-PC(O-22:0/22:4)+H,880.7153576,697.6493176,556.3762926,497.3027926,566.4544776,548.4439176,572.37109,389.30503,315.2688,184.07332
Plasmanyl-PC(O-22:0/22:5)+H,878.6997576,695.6337176,554.3606926,495.2871926,566.4544776,548.4439176,570.35549,387.28943,313.2532,184.07332
Plasmanyl-PC(O-22:0/22:6)+H,876.6840576,693.6180176,552.3449926,493.2714926,566.4544776,548.4439176,568.33979,385.27373,311.2375,184.07332
Plasmanyl-PC(O-22:0/23:0)+H,902.7936576,719.7276176,578.4545926,519.3810926,566.4544776,548.4439176,594.44939,411.38333,337.3471,184.07332
Plasmanyl-PC(O-22:0/24:0)+H,916.8092576,733.7432176,592.4701926,533.3966926,566.4544776,548.4439176,608.46499,425.39893,351.3627,184.07332
Plasmanyl-PC(O-22:0/24:1)+H,914.7936576,731.7276176,590.4545926,531.3810926,566.4544776,548.4439176,606.44939,423.38333,349.3471,184.07332
Plasmanyl-PC(O-22:0/25:0)+H,930.8249576,747.7589176,606.4858926,547.4123926,566.4544776,548.4439176,622.48069,439.41463,365.3784,184.07332
Plasmanyl-PC(O-22:0/26:0)+H,944.8405576,761.7745176,620.5014926,561.4279926,566.4544776,548.4439176,636.49629,453.43023,379.394,184.07332
Plasmanyl-PC(O-22:1/8:0)+H,690.5432576,507.4772176,368.2197926,309.1462926,564.4388776,546.4283176,384.21459,201.14853,127.1123,184.07332
Plasmanyl-PC(O-22:1/10:0)+H,718.5745576,535.5085176,396.2510926,337.1775926,564.4388776,546.4283176,412.24589,229.17983,155.1436,184.07332
Plasmanyl-PC(O-22:1/12:0)+H,746.6058576,563.5398176,424.2823926,365.2088926,564.4388776,546.4283176,440.27719,257.21113,183.1749,184.07332
Plasmanyl-PC(O-22:1/13:0)+H,760.6215576,577.5555176,438.2980926,379.2245926,564.4388776,546.4283176,454.29289,271.22683,197.1906,184.07332
Plasmanyl-PC(O-22:1/14:0)+H,774.6371576,591.5711176,452.3136926,393.2401926,564.4388776,546.4283176,468.30849,285.24243,211.2062,184.07332
Plasmanyl-PC(O-22:1/14:1)+H,772.6215576,589.5555176,450.2980926,391.2245926,564.4388776,546.4283176,466.29289,283.22683,209.1906,184.07332
Plasmanyl-PC(O-22:1/15:0)+H,788.6528576,605.5868176,466.3293926,407.2558926,564.4388776,546.4283176,482.32419,299.25813,225.2219,184.07332
Plasmanyl-PC(O-22:1/15:1)+H,786.6371576,603.5711176,464.3136926,405.2401926,564.4388776,546.4283176,480.30849,297.24243,223.2062,184.07332
Plasmanyl-PC(O-22:1/16:0)+H,802.6684576,619.6024176,480.3449926,421.2714926,564.4388776,546.4283176,496.33979,313.27373,239.2375,184.07332
Plasmanyl-PC(O-22:1/16:1)+H,800.6528576,617.5868176,478.3293926,419.2558926,564.4388776,546.4283176,494.32419,311.25813,237.2219,184.07332
Plasmanyl-PC(O-22:1/17:0)+H,816.6841576,633.6181176,494.3606926,435.2871926,564.4388776,546.4283176,510.35549,327.28943,253.2532,184.07332
Plasmanyl-PC(O-22:1/17:1)+H,814.6684576,631.6024176,492.3449926,433.2714926,564.4388776,546.4283176,508.33979,325.27373,251.2375,184.07332
Plasmanyl-PC(O-22:1/17:2)+H,812.6528576,629.5868176,490.3293926,431.2558926,564.4388776,546.4283176,506.32419,323.25813,249.2219,184.07332
Plasmanyl-PC(O-22:1/18:0)+H,830.6997576,647.6337176,508.3762926,449.3027926,564.4388776,546.4283176,524.37109,341.30503,267.2688,184.07332
Plasmanyl-PC(O-22:1/18:1)+H,828.6841576,645.6181176,506.3606926,447.2871926,564.4388776,546.4283176,522.35549,339.28943,265.2532,184.07332
Plasmanyl-PC(O-22:1/18:2)+H,826.6684576,643.6024176,504.3449926,445.2714926,564.4388776,546.4283176,520.33979,337.27373,263.2375,184.07332
Plasmanyl-PC(O-22:1/18:3)+H,824.6528576,641.5868176,502.3293926,443.2558926,564.4388776,546.4283176,518.32419,335.25813,261.2219,184.07332
Plasmanyl-PC(O-22:1/18:4)+H,822.6371576,639.5711176,500.3136926,441.2401926,564.4388776,546.4283176,516.30849,333.24243,259.2062,184.07332
Plasmanyl-PC(O-22:1/19:0)+H,844.7154576,661.6494176,522.3919926,463.3184926,564.4388776,546.4283176,538.38679,355.32073,281.2845,184.07332
Plasmanyl-PC(O-22:1/20:0)+H,858.7310576,675.6650176,536.4075926,477.3340926,564.4388776,546.4283176,552.40239,369.33633,295.3001,184.07332
Plasmanyl-PC(O-22:1/20:1)+H,856.7154576,673.6494176,534.3919926,475.3184926,564.4388776,546.4283176,550.38679,367.32073,293.2845,184.07332
Plasmanyl-PC(O-22:1/20:2)+H,854.6997576,671.6337176,532.3762926,473.3027926,564.4388776,546.4283176,548.37109,365.30503,291.2688,184.07332
Plasmanyl-PC(O-22:1/20:3)+H,852.6841576,669.6181176,530.3606926,471.2871926,564.4388776,546.4283176,546.35549,363.28943,289.2532,184.07332
Plasmanyl-PC(O-22:1/20:4)+H,850.6684576,667.6024176,528.3449926,469.2714926,564.4388776,546.4283176,544.33979,361.27373,287.2375,184.07332
Plasmanyl-PC(O-22:1/20:5)+H,848.6528576,665.5868176,526.3293926,467.2558926,564.4388776,546.4283176,542.32419,359.25813,285.2219,184.07332
Plasmanyl-PC(O-22:1/21:0)+H,872.7467576,689.6807176,550.4232926,491.3497926,564.4388776,546.4283176,566.41809,383.35203,309.3158,184.07332
Plasmanyl-PC(O-22:1/22:0)+H,886.7623576,703.6963176,564.4388926,505.3653926,564.4388776,546.4283176,580.43369,397.36763,323.3314,184.07332
Plasmanyl-PC(O-22:1/22:1)+H,884.7467576,701.6807176,562.4232926,503.3497926,564.4388776,546.4283176,578.41809,395.35203,321.3158,184.07332
Plasmanyl-PC(O-22:1/22:2)+H,882.7310576,699.6650176,560.4075926,501.3340926,564.4388776,546.4283176,576.40239,393.33633,319.3001,184.07332
Plasmanyl-PC(O-22:1/22:3)+H,880.7154576,697.6494176,558.3919926,499.3184926,564.4388776,546.4283176,574.38679,391.32073,317.2845,184.07332
Plasmanyl-PC(O-22:1/22:4)+H,878.6997576,695.6337176,556.3762926,497.3027926,564.4388776,546.4283176,572.37109,389.30503,315.2688,184.07332
Plasmanyl-PC(O-22:1/22:5)+H,876.6841576,693.6181176,554.3606926,495.2871926,564.4388776,546.4283176,570.35549,387.28943,313.2532,184.07332
Plasmanyl-PC(O-22:1/22:6)+H,874.6684576,691.6024176,552.3449926,493.2714926,564.4388776,546.4283176,568.33979,385.27373,311.2375,184.07332
Plasmanyl-PC(O-22:1/23:0)+H,900.7780576,717.7120176,578.4545926,519.3810926,564.4388776,546.4283176,594.44939,411.38333,337.3471,184.07332
Plasmanyl-PC(O-22:1/24:0)+H,914.7936576,731.7276176,592.4701926,533.3966926,564.4388776,546.4283176,608.46499,425.39893,351.3627,184.07332
Plasmanyl-PC(O-22:1/24:1)+H,912.7780576,729.7120176,590.4545926,531.3810926,564.4388776,546.4283176,606.44939,423.38333,349.3471,184.07332
Plasmanyl-PC(O-22:1/25:0)+H,928.8093576,745.7433176,606.4858926,547.4123926,564.4388776,546.4283176,622.48069,439.41463,365.3784,184.07332
Plasmanyl-PC(O-22:1/26:0)+H,942.8249576,759.7589176,620.5014926,561.4279926,564.4388776,546.4283176,636.49629,453.43023,379.394,184.07332
Plasmanyl-PC(O-24:0/8:0)+H,720.5901576,537.5241176,368.2197926,309.1462926,594.4857776,576.4752176,384.21459,201.14853,127.1123,184.07332
Plasmanyl-PC(O-24:0/10:0)+H,748.6214576,565.5554176,396.2510926,337.1775926,594.4857776,576.4752176,412.24589,229.17983,155.1436,184.07332
Plasmanyl-PC(O-24:0/12:0)+H,776.6527576,593.5867176,424.2823926,365.2088926,594.4857776,576.4752176,440.27719,257.21113,183.1749,184.07332
Plasmanyl-PC(O-24:0/13:0)+H,790.6684576,607.6024176,438.2980926,379.2245926,594.4857776,576.4752176,454.29289,271.22683,197.1906,184.07332
Plasmanyl-PC(O-24:0/14:0)+H,804.6840576,621.6180176,452.3136926,393.2401926,594.4857776,576.4752176,468.30849,285.24243,211.2062,184.07332
Plasmanyl-PC(O-24:0/14:1)+H,802.6684576,619.6024176,450.2980926,391.2245926,594.4857776,576.4752176,466.29289,283.22683,209.1906,184.07332
Plasmanyl-PC(O-24:0/15:0)+H,818.6997576,635.6337176,466.3293926,407.2558926,594.4857776,576.4752176,482.32419,299.25813,225.2219,184.07332
Plasmanyl-PC(O-24:0/15:1)+H,816.6840576,633.6180176,464.3136926,405.2401926,594.4857776,576.4752176,480.30849,297.24243,223.2062,184.07332
Plasmanyl-PC(O-24:0/16:0)+H,832.7153576,649.6493176,480.3449926,421.2714926,594.4857776,576.4752176,496.33979,313.27373,239.2375,184.07332
Plasmanyl-PC(O-24:0/16:1)+H,830.6997576,647.6337176,478.3293926,419.2558926,594.4857776,576.4752176,494.32419,311.25813,237.2219,184.07332
Plasmanyl-PC(O-24:0/17:0)+H,846.7310576,663.6650176,494.3606926,435.2871926,594.4857776,576.4752176,510.35549,327.28943,253.2532,184.07332
Plasmanyl-PC(O-24:0/17:1)+H,844.7153576,661.6493176,492.3449926,433.2714926,594.4857776,576.4752176,508.33979,325.27373,251.2375,184.07332
Plasmanyl-PC(O-24:0/17:2)+H,842.6997576,659.6337176,490.3293926,431.2558926,594.4857776,576.4752176,506.32419,323.25813,249.2219,184.07332
Plasmanyl-PC(O-24:0/18:0)+H,860.7466576,677.6806176,508.3762926,449.3027926,594.4857776,576.4752176,524.37109,341.30503,267.2688,184.07332
Plasmanyl-PC(O-24:0/18:1)+H,858.7310576,675.6650176,506.3606926,447.2871926,594.4857776,576.4752176,522.35549,339.28943,265.2532,184.07332
Plasmanyl-PC(O-24:0/18:2)+H,856.7153576,673.6493176,504.3449926,445.2714926,594.4857776,576.4752176,520.33979,337.27373,263.2375,184.07332
Plasmanyl-PC(O-24:0/18:3)+H,854.6997576,671.6337176,502.3293926,443.2558926,594.4857776,576.4752176,518.32419,335.25813,261.2219,184.07332
Plasmanyl-PC(O-24:0/18:4)+H,852.6840576,669.6180176,500.3136926,441.2401926,594.4857776,576.4752176,516.30849,333.24243,259.2062,184.07332
Plasmanyl-PC(O-24:0/19:0)+H,874.7623576,691.6963176,522.3919926,463.3184926,594.4857776,576.4752176,538.38679,355.32073,281.2845,184.07332
Plasmanyl-PC(O-24:0/20:0)+H,888.7779576,705.7119176,536.4075926,477.3340926,594.4857776,576.4752176,552.40239,369.33633,295.3001,184.07332
Plasmanyl-PC(O-24:0/20:1)+H,886.7623576,703.6963176,534.3919926,475.3184926,594.4857776,576.4752176,550.38679,367.32073,293.2845,184.07332
Plasmanyl-PC(O-24:0/20:2)+H,884.7466576,701.6806176,532.3762926,473.3027926,594.4857776,576.4752176,548.37109,365.30503,291.2688,184.07332
Plasmanyl-PC(O-24:0/20:3)+H,882.7310576,699.6650176,530.3606926,471.2871926,594.4857776,576.4752176,546.35549,363.28943,289.2532,184.07332
Plasmanyl-PC(O-24:0/20:4)+H,880.7153576,697.6493176,528.3449926,469.2714926,594.4857776,576.4752176,544.33979,361.27373,287.2375,184.07332
Plasmanyl-PC(O-24:0/20:5)+H,878.6997576,695.6337176,526.3293926,467.2558926,594.4857776,576.4752176,542.32419,359.25813,285.2219,184.07332
Plasmanyl-PC(O-24:0/21:0)+H,902.7936576,719.7276176,550.4232926,491.3497926,594.4857776,576.4752176,566.41809,383.35203,309.3158,184.07332
Plasmanyl-PC(O-24:0/22:0)+H,916.8092576,733.7432176,564.4388926,505.3653926,594.4857776,576.4752176,580.43369,397.36763,323.3314,184.07332
Plasmanyl-PC(O-24:0/22:1)+H,914.7936576,731.7276176,562.4232926,503.3497926,594.4857776,576.4752176,578.41809,395.35203,321.3158,184.07332
Plasmanyl-PC(O-24:0/22:2)+H,912.7779576,729.7119176,560.4075926,501.3340926,594.4857776,576.4752176,576.40239,393.33633,319.3001,184.07332
Plasmanyl-PC(O-24:0/22:3)+H,910.7623576,727.6963176,558.3919926,499.3184926,594.4857776,576.4752176,574.38679,391.32073,317.2845,184.07332
Plasmanyl-PC(O-24:0/22:4)+H,908.7466576,725.6806176,556.3762926,497.3027926,594.4857776,576.4752176,572.37109,389.30503,315.2688,184.07332
Plasmanyl-PC(O-24:0/22:5)+H,906.7310576,723.6650176,554.3606926,495.2871926,594.4857776,576.4752176,570.35549,387.28943,313.2532,184.07332
Plasmanyl-PC(O-24:0/22:6)+H,904.7153576,721.6493176,552.3449926,493.2714926,594.4857776,576.4752176,568.33979,385.27373,311.2375,184.07332
Plasmanyl-PC(O-24:0/23:0)+H,930.8249576,747.7589176,578.4545926,519.3810926,594.4857776,576.4752176,594.44939,411.38333,337.3471,184.07332
Plasmanyl-PC(O-24:0/24:0)+H,944.8405576,761.7745176,592.4701926,533.3966926,594.4857776,576.4752176,608.46499,425.39893,351.3627,184.07332
Plasmanyl-PC(O-24:0/24:1)+H,942.8249576,759.7589176,590.4545926,531.3810926,594.4857776,576.4752176,606.44939,423.38333,349.3471,184.07332
Plasmanyl-PC(O-24:0/25:0)+H,958.8562576,775.7902176,606.4858926,547.4123926,594.4857776,576.4752176,622.48069,439.41463,365.3784,184.07332
