OxPI,[M-H]-,FA SN2,FA SN2-H2O,C9H14O9P,FA SN2-2H2O,FA SN1,C6H10O8P
OxPI(18:0_20:4(4O(1Cyc)))-H,949.529,367.2126,349.2021,297.0381,331.1915,283.2635,241.0119
OxPI(18:0_20:4(4O(2Cyc)))-H,949.529,367.2126,349.2021,297.0381,331.1915,283.2635,241.0119
OxPI(18:0_20:5(1O))-H,899.5286,317.2122,299.2017,297.0381,0.01,283.2635,241.0119
OxPI(18:0_20:5(1O(1Cyc)))-H,897.5129,315.1966,0.01,297.0381,0.01,283.2635,241.0119
OxPI(18:0_20:5(2O))-H,915.5235,333.2071,315.1966,297.0381,297.186,283.2635,241.0119
OxPI(18:0_20:5(3O))-H,931.5184,349.2021,331.1915,297.0381,313.1809,283.2635,241.0119
OxPI(18:0_20:5(3O(2Cyc)))-H,931.5184,349.2021,331.1915,297.0381,0.01,283.2635,241.0119
OxPI(18:0_20:5(4O(2Cyc)))-H,947.5133,365.197,347.1864,297.0381,329.1758,283.2635,241.0119
OxPI(18:0_22:5(1O(1Cyc)))-H,925.5443,343.2279,0.01,297.0381,0.01,283.2635,241.0119
OxPI(18:0_22:5(2O))-H,943.5548,361.2384,343.2279,297.0381,325.2173,283.2635,241.0119
OxPI(18:0_22:6(1O))-H,925.5443,343.2279,325.2173,297.0381,0.01,283.2635,241.0119
OxPI(18:0_22:6(2O))-H,941.5391,359.2228,341.2122,297.0381,323.2017,283.2635,241.0119
OxPI(18:0_22:6(3O))-H,957.5341,375.2177,357.2072,297.0381,339.1966,283.2635,241.0119
OxPI(18:0_22:6(4O))-H,973.529,391.2126,373.2021,297.0381,355.1915,283.2635,241.0119
OxPI(18:1_18:0(1O))-H,879.5599,299.2592,281.2486,297.0381,0.01,281.2479,241.0119
OxPI(18:1_18:0(1O(1Cyc)))-H,877.5443,297.2435,0.01,297.0381,0.01,281.2479,241.0119
OxPI(18:1_18:0(2O))-H,895.5548,315.2541,297.2435,297.0381,279.233,281.2479,241.0119
OxPI(18:1_18:1(1O))-H,877.5443,297.2435,279.233,297.0381,0.01,281.2479,241.0119
OxPI(18:1_18:1(1O(1Cyc)))-H,875.5286,295.2279,0.01,297.0381,0.01,281.2479,241.0119
OxPI(18:1_18:1(2O))-H,893.5391,313.2384,295.2279,297.0381,277.2173,281.2479,241.0119
OxPI(18:1_18:1(3O))-H,909.5341,329.2333,311.2228,297.0381,293.2122,281.2479,241.0119
OxPI(18:1_18:2(1O))-H,875.5286,295.2279,277.2173,297.0381,0.01,281.2479,241.0119
OxPI(18:1_18:2(2O))-H,891.5235,311.2228,293.2122,297.0381,275.2017,281.2479,241.0119
OxPI(18:1_18:3(1O))-H,873.5129,293.2122,275.2017,297.0381,0.01,281.2479,241.0119
OxPI(18:1_20:3(1O))-H,901.5443,321.2435,303.233,297.0381,0.01,281.2479,241.0119
OxPI(18:1_20:3(1O(1Cyc)))-H,899.5286,319.2279,0.01,297.0381,0.01,281.2479,241.0119
OxPI(18:1_20:3(2O))-H,917.5391,337.2384,319.2279,297.0381,301.2173,281.2479,241.0119
OxPI(18:1_20:3(2O(1Cyc)))-H,915.5235,335.2228,317.2122,297.0381,0.01,281.2479,241.0119
OxPI(18:1_20:3(3O))-H,933.5341,353.2333,335.2228,297.0381,317.2122,281.2479,241.0119
OxPI(18:1_20:3(4O(1Cyc)))-H,949.529,369.2283,351.2177,297.0381,333.2072,281.2479,241.0119
OxPI(18:1_20:4(1O))-H,899.5286,319.2279,301.2173,297.0381,0.01,281.2479,241.0119
OxPI(18:1_20:4(1O(1Cyc)))-H,897.5129,317.2122,0.01,297.0381,0.01,281.2479,241.0119
