AcylGlcADG,[M-H]-,[FA2-H]-,[FA3-H]-,[FA1-H]-
AcylGlcADG(12:0_12:0_12:0)-H,813.5734,199.1704,199.1704,199.1704
AcylGlcADG(12:0_12:0_14:0)-H,841.6047,199.1704,227.2017,199.1704
AcylGlcADG(12:0_12:0_14:1)-H,839.589,199.1704,225.186,199.1704
AcylGlcADG(12:0_12:0_16:0)-H,869.6359,199.1704,255.233,199.1704
AcylGlcADG(12:0_12:0_16:1)-H,867.6203,199.1704,253.2173,199.1704
AcylGlcADG(12:0_12:0_16:2)-H,865.6047,199.1704,251.2017,199.1704
AcylGlcADG(12:0_12:0_16:3)-H,863.589,199.1704,249.186,199.1704
AcylGlcADG(12:0_12:0_16:4)-H,861.5734,199.1704,247.1704,199.1704
AcylGlcADG(12:0_12:0_18:0)-H,897.6672,199.1704,283.2643,199.1704
AcylGlcADG(12:0_12:0_18:1)-H,895.6516,199.1704,281.2486,199.1704
AcylGlcADG(12:0_12:0_18:2)-H,893.6359,199.1704,279.233,199.1704
AcylGlcADG(12:0_12:0_18:3)-H,891.6203,199.1704,277.2173,199.1704
AcylGlcADG(12:0_12:0_18:4)-H,889.6047,199.1704,275.2017,199.1704
AcylGlcADG(12:0_12:0_18:5)-H,887.589,199.1704,273.186,199.1704
AcylGlcADG(12:0_12:0_20:0)-H,925.6985,199.1704,311.2956,199.1704
AcylGlcADG(12:0_12:0_20:1)-H,923.6829,199.1704,309.2799,199.1704
AcylGlcADG(12:0_12:0_20:2)-H,921.6672,199.1704,307.2643,199.1704
AcylGlcADG(12:0_12:0_20:3)-H,919.6516,199.1704,305.2486,199.1704
AcylGlcADG(12:0_12:0_20:4)-H,917.6359,199.1704,303.233,199.1704
AcylGlcADG(12:0_12:0_20:5)-H,915.6203,199.1704,301.2173,199.1704
AcylGlcADG(12:0_12:0_22:0)-H,953.7299,199.1704,339.3269,199.1704
AcylGlcADG(12:0_12:0_22:1)-H,951.7142,199.1704,337.3112,199.1704
AcylGlcADG(12:0_12:0_22:2)-H,949.6985,199.1704,335.2956,199.1704
AcylGlcADG(12:0_12:0_22:3)-H,947.6829,199.1704,333.2799,199.1704
AcylGlcADG(12:0_12:0_22:4)-H,945.6672,199.1704,331.2643,199.1704
AcylGlcADG(12:0_12:0_22:5)-H,943.6516,199.1704,329.2486,199.1704
AcylGlcADG(12:0_12:0_22:6)-H,941.6359,199.1704,327.233,199.1704
AcylGlcADG(12:0_14:0_12:0)-H,841.6047,227.2017,199.1704,199.1704
AcylGlcADG(12:0_14:0_14:0)-H,869.6359,227.2017,227.2017,199.1704
AcylGlcADG(12:0_14:0_14:1)-H,867.6203,227.2017,225.186,199.1704
AcylGlcADG(12:0_14:0_16:0)-H,897.6672,227.2017,255.233,199.1704
AcylGlcADG(12:0_14:0_16:1)-H,895.6516,227.2017,253.2173,199.1704
AcylGlcADG(12:0_14:0_16:2)-H,893.6359,227.2017,251.2017,199.1704
AcylGlcADG(12:0_14:0_16:3)-H,891.6203,227.2017,249.186,199.1704
AcylGlcADG(12:0_14:0_16:4)-H,889.6047,227.2017,247.1704,199.1704
AcylGlcADG(12:0_14:0_18:0)-H,925.6985,227.2017,283.2643,199.1704
AcylGlcADG(12:0_14:0_18:1)-H,923.6829,227.2017,281.2486,199.1704
AcylGlcADG(12:0_14:0_18:2)-H,921.6672,227.2017,279.233,199.1704
AcylGlcADG(12:0_14:0_18:3)-H,919.6516,227.2017,277.2173,199.1704
AcylGlcADG(12:0_14:0_18:4)-H,917.6359,227.2017,275.2017,199.1704
AcylGlcADG(12:0_14:0_18:5)-H,915.6203,227.2017,273.186,199.1704
AcylGlcADG(12:0_14:0_20:0)-H,953.7299,227.2017,311.2956,199.1704
AcylGlcADG(12:0_14:0_20:1)-H,951.7142,227.2017,309.2799,199.1704
AcylGlcADG(12:0_14:0_20:2)-H,949.6985,227.2017,307.2643,199.1704
AcylGlcADG(12:0_14:0_20:3)-H,947.6829,227.2017,305.2486,199.1704
AcylGlcADG(12:0_14:0_20:4)-H,945.6672,227.2017,303.233,199.1704
AcylGlcADG(12:0_14:0_20:5)-H,943.6516,227.2017,301.2173,199.1704
AcylGlcADG(12:0_14:0_22:0)-H,981.7612,227.2017,339.3269,199.1704
AcylGlcADG(12:0_14:0_22:1)-H,979.7455,227.2017,337.3112,199.1704
AcylGlcADG(12:0_14:0_22:2)-H,977.7299,227.2017,335.2956,199.1704
AcylGlcADG(12:0_14:0_22:3)-H,975.7142,227.2017,333.2799,199.1704
AcylGlcADG(12:0_14:0_22:4)-H,973.6985,227.2017,331.2643,199.1704
AcylGlcADG(12:0_14:0_22:5)-H,971.6829,227.2017,329.2486,199.1704
AcylGlcADG(12:0_14:0_22:6)-H,969.6672,227.2017,327.233,199.1704
AcylGlcADG(12:0_14:1_12:0)-H,839.589,225.186,199.1704,199.1704
AcylGlcADG(12:0_14:1_14:0)-H,867.6203,225.186,227.2017,199.1704
AcylGlcADG(12:0_14:1_14:1)-H,865.6047,225.186,225.186,199.1704
AcylGlcADG(12:0_14:1_16:0)-H,895.6516,225.186,255.233,199.1704
AcylGlcADG(12:0_14:1_16:1)-H,893.6359,225.186,253.2173,199.1704
AcylGlcADG(12:0_14:1_16:2)-H,891.6203,225.186,251.2017,199.1704
AcylGlcADG(12:0_14:1_16:3)-H,889.6047,225.186,249.186,199.1704
AcylGlcADG(12:0_14:1_16:4)-H,887.589,225.186,247.1704,199.1704
AcylGlcADG(12:0_14:1_18:0)-H,923.6829,225.186,283.2643,199.1704
AcylGlcADG(12:0_14:1_18:1)-H,921.6672,225.186,281.2486,199.1704
AcylGlcADG(12:0_14:1_18:2)-H,919.6516,225.186,279.233,199.1704
AcylGlcADG(12:0_14:1_18:3)-H,917.6359,225.186,277.2173,199.1704
AcylGlcADG(12:0_14:1_18:4)-H,915.6203,225.186,275.2017,199.1704
AcylGlcADG(12:0_14:1_18:5)-H,913.6047,225.186,273.186,199.1704
AcylGlcADG(12:0_14:1_20:0)-H,951.7142,225.186,311.2956,199.1704
AcylGlcADG(12:0_14:1_20:1)-H,949.6985,225.186,309.2799,199.1704
AcylGlcADG(12:0_14:1_20:2)-H,947.6829,225.186,307.2643,199.1704
AcylGlcADG(12:0_14:1_20:3)-H,945.6672,225.186,305.2486,199.1704
AcylGlcADG(12:0_14:1_20:4)-H,943.6516,225.186,303.233,199.1704
AcylGlcADG(12:0_14:1_20:5)-H,941.6359,225.186,301.2173,199.1704
AcylGlcADG(12:0_14:1_22:0)-H,979.7455,225.186,339.3269,199.1704
AcylGlcADG(12:0_14:1_22:1)-H,977.7299,225.186,337.3112,199.1704
AcylGlcADG(12:0_14:1_22:2)-H,975.7142,225.186,335.2956,199.1704
AcylGlcADG(12:0_14:1_22:3)-H,973.6985,225.186,333.2799,199.1704
AcylGlcADG(12:0_14:1_22:4)-H,971.6829,225.186,331.2643,199.1704
AcylGlcADG(12:0_14:1_22:5)-H,969.6672,225.186,329.2486,199.1704
AcylGlcADG(12:0_14:1_22:6)-H,967.6516,225.186,327.233,199.1704
AcylGlcADG(12:0_16:0_12:0)-H,869.6359,255.233,199.1704,199.1704
AcylGlcADG(12:0_16:0_14:0)-H,897.6672,255.233,227.2017,199.1704
AcylGlcADG(12:0_16:0_14:1)-H,895.6516,255.233,225.186,199.1704
AcylGlcADG(12:0_16:0_16:0)-H,925.6985,255.233,255.233,199.1704
AcylGlcADG(12:0_16:0_16:1)-H,923.6829,255.233,253.2173,199.1704
AcylGlcADG(12:0_16:0_16:2)-H,921.6672,255.233,251.2017,199.1704
AcylGlcADG(12:0_16:0_16:3)-H,919.6516,255.233,249.186,199.1704
AcylGlcADG(12:0_16:0_16:4)-H,917.6359,255.233,247.1704,199.1704
AcylGlcADG(12:0_16:0_18:0)-H,953.7299,255.233,283.2643,199.1704
AcylGlcADG(12:0_16:0_18:1)-H,951.7142,255.233,281.2486,199.1704
AcylGlcADG(12:0_16:0_18:2)-H,949.6985,255.233,279.233,199.1704
AcylGlcADG(12:0_16:0_18:3)-H,947.6829,255.233,277.2173,199.1704
AcylGlcADG(12:0_16:0_18:4)-H,945.6672,255.233,275.2017,199.1704
AcylGlcADG(12:0_16:0_18:5)-H,943.6516,255.233,273.186,199.1704
AcylGlcADG(12:0_16:0_20:0)-H,981.7612,255.233,311.2956,199.1704
AcylGlcADG(12:0_16:0_20:1)-H,979.7455,255.233,309.2799,199.1704
AcylGlcADG(12:0_16:0_20:2)-H,977.7299,255.233,307.2643,199.1704
AcylGlcADG(12:0_16:0_20:3)-H,975.7142,255.233,305.2486,199.1704
AcylGlcADG(12:0_16:0_20:4)-H,973.6985,255.233,303.233,199.1704
AcylGlcADG(12:0_16:0_20:5)-H,971.6829,255.233,301.2173,199.1704
AcylGlcADG(12:0_16:0_22:0)-H,1009.792,255.233,339.3269,199.1704
AcylGlcADG(12:0_16:0_22:1)-H,1007.777,255.233,337.3112,199.1704
AcylGlcADG(12:0_16:0_22:2)-H,1005.761,255.233,335.2956,199.1704
AcylGlcADG(12:0_16:0_22:3)-H,1003.745,255.233,333.2799,199.1704
AcylGlcADG(12:0_16:0_22:4)-H,1001.73,255.233,331.2643,199.1704
AcylGlcADG(12:0_16:0_22:5)-H,999.7142,255.233,329.2486,199.1704
AcylGlcADG(12:0_16:0_22:6)-H,997.6985,255.233,327.233,199.1704
AcylGlcADG(12:0_16:1_12:0)-H,867.6203,253.2173,199.1704,199.1704
AcylGlcADG(12:0_16:1_14:0)-H,895.6516,253.2173,227.2017,199.1704
AcylGlcADG(12:0_16:1_14:1)-H,893.6359,253.2173,225.186,199.1704
AcylGlcADG(12:0_16:1_16:0)-H,923.6829,253.2173,255.233,199.1704
AcylGlcADG(12:0_16:1_16:1)-H,921.6672,253.2173,253.2173,199.1704
AcylGlcADG(12:0_16:1_16:2)-H,919.6516,253.2173,251.2017,199.1704
AcylGlcADG(12:0_16:1_16:3)-H,917.6359,253.2173,249.186,199.1704
AcylGlcADG(12:0_16:1_16:4)-H,915.6203,253.2173,247.1704,199.1704
AcylGlcADG(12:0_16:1_18:0)-H,951.7142,253.2173,283.2643,199.1704
AcylGlcADG(12:0_16:1_18:1)-H,949.6985,253.2173,281.2486,199.1704
AcylGlcADG(12:0_16:1_18:2)-H,947.6829,253.2173,279.233,199.1704
AcylGlcADG(12:0_16:1_18:3)-H,945.6672,253.2173,277.2173,199.1704
AcylGlcADG(12:0_16:1_18:4)-H,943.6516,253.2173,275.2017,199.1704
AcylGlcADG(12:0_16:1_18:5)-H,941.6359,253.2173,273.186,199.1704
AcylGlcADG(12:0_16:1_20:0)-H,979.7455,253.2173,311.2956,199.1704
AcylGlcADG(12:0_16:1_20:1)-H,977.7299,253.2173,309.2799,199.1704
AcylGlcADG(12:0_16:1_20:2)-H,975.7142,253.2173,307.2643,199.1704
AcylGlcADG(12:0_16:1_20:3)-H,973.6985,253.2173,305.2486,199.1704
AcylGlcADG(12:0_16:1_20:4)-H,971.6829,253.2173,303.233,199.1704
AcylGlcADG(12:0_16:1_20:5)-H,969.6672,253.2173,301.2173,199.1704
AcylGlcADG(12:0_16:1_22:0)-H,1007.777,253.2173,339.3269,199.1704
AcylGlcADG(12:0_16:1_22:1)-H,1005.761,253.2173,337.3112,199.1704
AcylGlcADG(12:0_16:1_22:2)-H,1003.745,253.2173,335.2956,199.1704
AcylGlcADG(12:0_16:1_22:3)-H,1001.73,253.2173,333.2799,199.1704
AcylGlcADG(12:0_16:1_22:4)-H,999.7142,253.2173,331.2643,199.1704
AcylGlcADG(12:0_16:1_22:5)-H,997.6985,253.2173,329.2486,199.1704
AcylGlcADG(12:0_16:1_22:6)-H,995.6829,253.2173,327.233,199.1704
AcylGlcADG(12:0_16:2_12:0)-H,865.6047,251.2017,199.1704,199.1704
AcylGlcADG(12:0_16:2_14:0)-H,893.6359,251.2017,227.2017,199.1704
AcylGlcADG(12:0_16:2_14:1)-H,891.6203,251.2017,225.186,199.1704
AcylGlcADG(12:0_16:2_16:0)-H,921.6672,251.2017,255.233,199.1704
AcylGlcADG(12:0_16:2_16:1)-H,919.6516,251.2017,253.2173,199.1704
AcylGlcADG(12:0_16:2_16:2)-H,917.6359,251.2017,251.2017,199.1704
AcylGlcADG(12:0_16:2_16:3)-H,915.6203,251.2017,249.186,199.1704
AcylGlcADG(12:0_16:2_16:4)-H,913.6047,251.2017,247.1704,199.1704
AcylGlcADG(12:0_16:2_18:0)-H,949.6985,251.2017,283.2643,199.1704
AcylGlcADG(12:0_16:2_18:1)-H,947.6829,251.2017,281.2486,199.1704
AcylGlcADG(12:0_16:2_18:2)-H,945.6672,251.2017,279.233,199.1704
AcylGlcADG(12:0_16:2_18:3)-H,943.6516,251.2017,277.2173,199.1704
AcylGlcADG(12:0_16:2_18:4)-H,941.6359,251.2017,275.2017,199.1704
AcylGlcADG(12:0_16:2_18:5)-H,939.6203,251.2017,273.186,199.1704
AcylGlcADG(12:0_16:2_20:0)-H,977.7299,251.2017,311.2956,199.1704
AcylGlcADG(12:0_16:2_20:1)-H,975.7142,251.2017,309.2799,199.1704
AcylGlcADG(12:0_16:2_20:2)-H,973.6985,251.2017,307.2643,199.1704
AcylGlcADG(12:0_16:2_20:3)-H,971.6829,251.2017,305.2486,199.1704
AcylGlcADG(12:0_16:2_20:4)-H,969.6672,251.2017,303.233,199.1704
AcylGlcADG(12:0_16:2_20:5)-H,967.6516,251.2017,301.2173,199.1704
AcylGlcADG(12:0_16:2_22:0)-H,1005.761,251.2017,339.3269,199.1704
AcylGlcADG(12:0_16:2_22:1)-H,1003.745,251.2017,337.3112,199.1704
AcylGlcADG(12:0_16:2_22:2)-H,1001.73,251.2017,335.2956,199.1704
AcylGlcADG(12:0_16:2_22:3)-H,999.7142,251.2017,333.2799,199.1704
AcylGlcADG(12:0_16:2_22:4)-H,997.6985,251.2017,331.2643,199.1704
AcylGlcADG(12:0_16:2_22:5)-H,995.6829,251.2017,329.2486,199.1704
AcylGlcADG(12:0_16:2_22:6)-H,993.6672,251.2017,327.233,199.1704
AcylGlcADG(12:0_16:3_12:0)-H,863.589,249.186,199.1704,199.1704
AcylGlcADG(12:0_16:3_14:0)-H,891.6203,249.186,227.2017,199.1704
AcylGlcADG(12:0_16:3_14:1)-H,889.6047,249.186,225.186,199.1704
AcylGlcADG(12:0_16:3_16:0)-H,919.6516,249.186,255.233,199.1704
AcylGlcADG(12:0_16:3_16:1)-H,917.6359,249.186,253.2173,199.1704
AcylGlcADG(12:0_16:3_16:2)-H,915.6203,249.186,251.2017,199.1704
AcylGlcADG(12:0_16:3_16:3)-H,913.6047,249.186,249.186,199.1704
AcylGlcADG(12:0_16:3_16:4)-H,911.589,249.186,247.1704,199.1704
AcylGlcADG(12:0_16:3_18:0)-H,947.6829,249.186,283.2643,199.1704
AcylGlcADG(12:0_16:3_18:1)-H,945.6672,249.186,281.2486,199.1704
AcylGlcADG(12:0_16:3_18:2)-H,943.6516,249.186,279.233,199.1704
AcylGlcADG(12:0_16:3_18:3)-H,941.6359,249.186,277.2173,199.1704
AcylGlcADG(12:0_16:3_18:4)-H,939.6203,249.186,275.2017,199.1704
AcylGlcADG(12:0_16:3_18:5)-H,937.6047,249.186,273.186,199.1704
AcylGlcADG(12:0_16:3_20:0)-H,975.7142,249.186,311.2956,199.1704
AcylGlcADG(12:0_16:3_20:1)-H,973.6985,249.186,309.2799,199.1704
AcylGlcADG(12:0_16:3_20:2)-H,971.6829,249.186,307.2643,199.1704
AcylGlcADG(12:0_16:3_20:3)-H,969.6672,249.186,305.2486,199.1704
AcylGlcADG(12:0_16:3_20:4)-H,967.6516,249.186,303.233,199.1704
AcylGlcADG(12:0_16:3_20:5)-H,965.6359,249.186,301.2173,199.1704
AcylGlcADG(12:0_16:3_22:0)-H,1003.745,249.186,339.3269,199.1704
AcylGlcADG(12:0_16:3_22:1)-H,1001.73,249.186,337.3112,199.1704
AcylGlcADG(12:0_16:3_22:2)-H,999.7142,249.186,335.2956,199.1704
AcylGlcADG(12:0_16:3_22:3)-H,997.6985,249.186,333.2799,199.1704
AcylGlcADG(12:0_16:3_22:4)-H,995.6829,249.186,331.2643,199.1704
AcylGlcADG(12:0_16:3_22:5)-H,993.6672,249.186,329.2486,199.1704
AcylGlcADG(12:0_16:3_22:6)-H,991.6516,249.186,327.233,199.1704
AcylGlcADG(12:0_16:4_12:0)-H,861.5734,247.1704,199.1704,199.1704
AcylGlcADG(12:0_16:4_14:0)-H,889.6047,247.1704,227.2017,199.1704
AcylGlcADG(12:0_16:4_14:1)-H,887.589,247.1704,225.186,199.1704
AcylGlcADG(12:0_16:4_16:0)-H,917.6359,247.1704,255.233,199.1704
AcylGlcADG(12:0_16:4_16:1)-H,915.6203,247.1704,253.2173,199.1704
AcylGlcADG(12:0_16:4_16:2)-H,913.6047,247.1704,251.2017,199.1704
AcylGlcADG(12:0_16:4_16:3)-H,911.589,247.1704,249.186,199.1704
AcylGlcADG(12:0_16:4_16:4)-H,909.5734,247.1704,247.1704,199.1704
AcylGlcADG(12:0_16:4_18:0)-H,945.6672,247.1704,283.2643,199.1704
AcylGlcADG(12:0_16:4_18:1)-H,943.6516,247.1704,281.2486,199.1704
AcylGlcADG(12:0_16:4_18:2)-H,941.6359,247.1704,279.233,199.1704
AcylGlcADG(12:0_16:4_18:3)-H,939.6203,247.1704,277.2173,199.1704
AcylGlcADG(12:0_16:4_18:4)-H,937.6047,247.1704,275.2017,199.1704
AcylGlcADG(12:0_16:4_18:5)-H,935.589,247.1704,273.186,199.1704
AcylGlcADG(12:0_16:4_20:0)-H,973.6985,247.1704,311.2956,199.1704
AcylGlcADG(12:0_16:4_20:1)-H,971.6829,247.1704,309.2799,199.1704
AcylGlcADG(12:0_16:4_20:2)-H,969.6672,247.1704,307.2643,199.1704
AcylGlcADG(12:0_16:4_20:3)-H,967.6516,247.1704,305.2486,199.1704
AcylGlcADG(12:0_16:4_20:4)-H,965.6359,247.1704,303.233,199.1704
AcylGlcADG(12:0_16:4_20:5)-H,963.6203,247.1704,301.2173,199.1704
AcylGlcADG(12:0_16:4_22:0)-H,1001.73,247.1704,339.3269,199.1704
AcylGlcADG(12:0_16:4_22:1)-H,999.7142,247.1704,337.3112,199.1704
AcylGlcADG(12:0_16:4_22:2)-H,997.6985,247.1704,335.2956,199.1704
AcylGlcADG(12:0_16:4_22:3)-H,995.6829,247.1704,333.2799,199.1704
AcylGlcADG(12:0_16:4_22:4)-H,993.6672,247.1704,331.2643,199.1704
AcylGlcADG(12:0_16:4_22:5)-H,991.6516,247.1704,329.2486,199.1704
AcylGlcADG(12:0_16:4_22:6)-H,989.6359,247.1704,327.233,199.1704
AcylGlcADG(12:0_18:0_12:0)-H,897.6672,283.2643,199.1704,199.1704
AcylGlcADG(12:0_18:0_14:0)-H,925.6985,283.2643,227.2017,199.1704
AcylGlcADG(12:0_18:0_14:1)-H,923.6829,283.2643,225.186,199.1704
AcylGlcADG(12:0_18:0_16:0)-H,953.7299,283.2643,255.233,199.1704
AcylGlcADG(12:0_18:0_16:1)-H,951.7142,283.2643,253.2173,199.1704
AcylGlcADG(12:0_18:0_16:2)-H,949.6985,283.2643,251.2017,199.1704
AcylGlcADG(12:0_18:0_16:3)-H,947.6829,283.2643,249.186,199.1704
AcylGlcADG(12:0_18:0_16:4)-H,945.6672,283.2643,247.1704,199.1704
AcylGlcADG(12:0_18:0_18:0)-H,981.7612,283.2643,283.2643,199.1704
AcylGlcADG(12:0_18:0_18:1)-H,979.7455,283.2643,281.2486,199.1704
AcylGlcADG(12:0_18:0_18:2)-H,977.7299,283.2643,279.233,199.1704
AcylGlcADG(12:0_18:0_18:3)-H,975.7142,283.2643,277.2173,199.1704
AcylGlcADG(12:0_18:0_18:4)-H,973.6985,283.2643,275.2017,199.1704
AcylGlcADG(12:0_18:0_18:5)-H,971.6829,283.2643,273.186,199.1704
AcylGlcADG(12:0_18:0_20:0)-H,1009.792,283.2643,311.2956,199.1704
AcylGlcADG(12:0_18:0_20:1)-H,1007.777,283.2643,309.2799,199.1704
AcylGlcADG(12:0_18:0_20:2)-H,1005.761,283.2643,307.2643,199.1704
AcylGlcADG(12:0_18:0_20:3)-H,1003.745,283.2643,305.2486,199.1704
AcylGlcADG(12:0_18:0_20:4)-H,1001.73,283.2643,303.233,199.1704
AcylGlcADG(12:0_18:0_20:5)-H,999.7142,283.2643,301.2173,199.1704
AcylGlcADG(12:0_18:0_22:0)-H,1037.824,283.2643,339.3269,199.1704
AcylGlcADG(12:0_18:0_22:1)-H,1035.808,283.2643,337.3112,199.1704
AcylGlcADG(12:0_18:0_22:2)-H,1033.792,283.2643,335.2956,199.1704
AcylGlcADG(12:0_18:0_22:3)-H,1031.777,283.2643,333.2799,199.1704
AcylGlcADG(12:0_18:0_22:4)-H,1029.761,283.2643,331.2643,199.1704
AcylGlcADG(12:0_18:0_22:5)-H,1027.745,283.2643,329.2486,199.1704
AcylGlcADG(12:0_18:0_22:6)-H,1025.73,283.2643,327.233,199.1704
AcylGlcADG(12:0_18:1_12:0)-H,895.6516,281.2486,199.1704,199.1704
AcylGlcADG(12:0_18:1_14:0)-H,923.6829,281.2486,227.2017,199.1704
AcylGlcADG(12:0_18:1_14:1)-H,921.6672,281.2486,225.186,199.1704
AcylGlcADG(12:0_18:1_16:0)-H,951.7142,281.2486,255.233,199.1704
AcylGlcADG(12:0_18:1_16:1)-H,949.6985,281.2486,253.2173,199.1704
AcylGlcADG(12:0_18:1_16:2)-H,947.6829,281.2486,251.2017,199.1704
AcylGlcADG(12:0_18:1_16:3)-H,945.6672,281.2486,249.186,199.1704
AcylGlcADG(12:0_18:1_16:4)-H,943.6516,281.2486,247.1704,199.1704
AcylGlcADG(12:0_18:1_18:0)-H,979.7455,281.2486,283.2643,199.1704
AcylGlcADG(12:0_18:1_18:1)-H,977.7299,281.2486,281.2486,199.1704
AcylGlcADG(12:0_18:1_18:2)-H,975.7142,281.2486,279.233,199.1704
AcylGlcADG(12:0_18:1_18:3)-H,973.6985,281.2486,277.2173,199.1704
AcylGlcADG(12:0_18:1_18:4)-H,971.6829,281.2486,275.2017,199.1704
AcylGlcADG(12:0_18:1_18:5)-H,969.6672,281.2486,273.186,199.1704
AcylGlcADG(12:0_18:1_20:0)-H,1007.777,281.2486,311.2956,199.1704
AcylGlcADG(12:0_18:1_20:1)-H,1005.761,281.2486,309.2799,199.1704
AcylGlcADG(12:0_18:1_20:2)-H,1003.745,281.2486,307.2643,199.1704
AcylGlcADG(12:0_18:1_20:3)-H,1001.73,281.2486,305.2486,199.1704
AcylGlcADG(12:0_18:1_20:4)-H,999.7142,281.2486,303.233,199.1704
AcylGlcADG(12:0_18:1_20:5)-H,997.6985,281.2486,301.2173,199.1704
AcylGlcADG(12:0_18:1_22:0)-H,1035.808,281.2486,339.3269,199.1704
AcylGlcADG(12:0_18:1_22:1)-H,1033.792,281.2486,337.3112,199.1704
AcylGlcADG(12:0_18:1_22:2)-H,1031.777,281.2486,335.2956,199.1704
AcylGlcADG(12:0_18:1_22:3)-H,1029.761,281.2486,333.2799,199.1704
AcylGlcADG(12:0_18:1_22:4)-H,1027.745,281.2486,331.2643,199.1704
AcylGlcADG(12:0_18:1_22:5)-H,1025.73,281.2486,329.2486,199.1704
AcylGlcADG(12:0_18:1_22:6)-H,1023.714,281.2486,327.233,199.1704
AcylGlcADG(12:0_18:2_12:0)-H,893.6359,279.233,199.1704,199.1704
AcylGlcADG(12:0_18:2_14:0)-H,921.6672,279.233,227.2017,199.1704
AcylGlcADG(12:0_18:2_14:1)-H,919.6516,279.233,225.186,199.1704
AcylGlcADG(12:0_18:2_16:0)-H,949.6985,279.233,255.233,199.1704
AcylGlcADG(12:0_18:2_16:1)-H,947.6829,279.233,253.2173,199.1704
AcylGlcADG(12:0_18:2_16:2)-H,945.6672,279.233,251.2017,199.1704
AcylGlcADG(12:0_18:2_16:3)-H,943.6516,279.233,249.186,199.1704
AcylGlcADG(12:0_18:2_16:4)-H,941.6359,279.233,247.1704,199.1704
AcylGlcADG(12:0_18:2_18:0)-H,977.7299,279.233,283.2643,199.1704
AcylGlcADG(12:0_18:2_18:1)-H,975.7142,279.233,281.2486,199.1704
AcylGlcADG(12:0_18:2_18:2)-H,973.6985,279.233,279.233,199.1704
AcylGlcADG(12:0_18:2_18:3)-H,971.6829,279.233,277.2173,199.1704
AcylGlcADG(12:0_18:2_18:4)-H,969.6672,279.233,275.2017,199.1704
AcylGlcADG(12:0_18:2_18:5)-H,967.6516,279.233,273.186,199.1704
AcylGlcADG(12:0_18:2_20:0)-H,1005.761,279.233,311.2956,199.1704
AcylGlcADG(12:0_18:2_20:1)-H,1003.745,279.233,309.2799,199.1704
AcylGlcADG(12:0_18:2_20:2)-H,1001.73,279.233,307.2643,199.1704
AcylGlcADG(12:0_18:2_20:3)-H,999.7142,279.233,305.2486,199.1704
AcylGlcADG(12:0_18:2_20:4)-H,997.6985,279.233,303.233,199.1704
AcylGlcADG(12:0_18:2_20:5)-H,995.6829,279.233,301.2173,199.1704
AcylGlcADG(12:0_18:2_22:0)-H,1033.792,279.233,339.3269,199.1704
AcylGlcADG(12:0_18:2_22:1)-H,1031.777,279.233,337.3112,199.1704
AcylGlcADG(12:0_18:2_22:2)-H,1029.761,279.233,335.2956,199.1704
AcylGlcADG(12:0_18:2_22:3)-H,1027.745,279.233,333.2799,199.1704
AcylGlcADG(12:0_18:2_22:4)-H,1025.73,279.233,331.2643,199.1704
AcylGlcADG(12:0_18:2_22:5)-H,1023.714,279.233,329.2486,199.1704
AcylGlcADG(12:0_18:2_22:6)-H,1021.699,279.233,327.233,199.1704
AcylGlcADG(12:0_18:3_12:0)-H,891.6203,277.2173,199.1704,199.1704
AcylGlcADG(12:0_18:3_14:0)-H,919.6516,277.2173,227.2017,199.1704
AcylGlcADG(12:0_18:3_14:1)-H,917.6359,277.2173,225.186,199.1704
AcylGlcADG(12:0_18:3_16:0)-H,947.6829,277.2173,255.233,199.1704
AcylGlcADG(12:0_18:3_16:1)-H,945.6672,277.2173,253.2173,199.1704
AcylGlcADG(12:0_18:3_16:2)-H,943.6516,277.2173,251.2017,199.1704
AcylGlcADG(12:0_18:3_16:3)-H,941.6359,277.2173,249.186,199.1704
AcylGlcADG(12:0_18:3_16:4)-H,939.6203,277.2173,247.1704,199.1704
AcylGlcADG(12:0_18:3_18:0)-H,975.7142,277.2173,283.2643,199.1704
AcylGlcADG(12:0_18:3_18:1)-H,973.6985,277.2173,281.2486,199.1704
AcylGlcADG(12:0_18:3_18:2)-H,971.6829,277.2173,279.233,199.1704
AcylGlcADG(12:0_18:3_18:3)-H,969.6672,277.2173,277.2173,199.1704
AcylGlcADG(12:0_18:3_18:4)-H,967.6516,277.2173,275.2017,199.1704
AcylGlcADG(12:0_18:3_18:5)-H,965.6359,277.2173,273.186,199.1704
AcylGlcADG(12:0_18:3_20:0)-H,1003.745,277.2173,311.2956,199.1704
AcylGlcADG(12:0_18:3_20:1)-H,1001.73,277.2173,309.2799,199.1704
AcylGlcADG(12:0_18:3_20:2)-H,999.7142,277.2173,307.2643,199.1704
AcylGlcADG(12:0_18:3_20:3)-H,997.6985,277.2173,305.2486,199.1704
AcylGlcADG(12:0_18:3_20:4)-H,995.6829,277.2173,303.233,199.1704
AcylGlcADG(12:0_18:3_20:5)-H,993.6672,277.2173,301.2173,199.1704
AcylGlcADG(12:0_18:3_22:0)-H,1031.777,277.2173,339.3269,199.1704
AcylGlcADG(12:0_18:3_22:1)-H,1029.761,277.2173,337.3112,199.1704
AcylGlcADG(12:0_18:3_22:2)-H,1027.745,277.2173,335.2956,199.1704
AcylGlcADG(12:0_18:3_22:3)-H,1025.73,277.2173,333.2799,199.1704
