Cer_AP,[M-H]-,[FA+NC(C)CO-H]-,[FA+O-H]-,[FA-CO-3H]-,[Sph-NC(CO)CO-H]-
Cer_AP(t17:0/16:3)-H,550.44765,320.22255,265.18145,219.17595,211.20615
Cer_AP(t17:0/16:4)-H,548.43205,318.20695,263.16585,217.16035,211.20615
Cer_AP(t17:0/17:0)-H,570.51035,340.28515,285.24405,239.23855,211.20615
Cer_AP(t17:0/17:1)-H,568.49465,338.26955,283.22845,237.22295,211.20615
Cer_AP(t17:0/17:2)-H,566.47905,336.25385,281.21275,235.20725,211.20615
Cer_AP(t17:0/17:3)-H,564.46335,334.23825,279.19715,233.19165,211.20615
Cer_AP(t17:0/18:0)-H,584.52595,354.30085,299.25975,253.25425,211.20615
Cer_AP(t17:0/18:1)-H,582.51035,352.28515,297.24405,251.23855,211.20615
Cer_AP(t17:0/18:2)-H,580.49465,350.26955,295.22845,249.22295,211.20615
Cer_AP(t17:0/18:3)-H,578.47905,348.25385,293.21275,247.20725,211.20615
Cer_AP(t17:0/18:4)-H,576.46335,346.23825,291.19715,245.19165,211.20615
Cer_AP(t17:0/19:0)-H,598.54165,368.31645,313.27535,267.26985,211.20615
Cer_AP(t17:0/19:1)-H,596.52595,366.30085,311.25975,265.25425,211.20615
Cer_AP(t17:0/19:2)-H,594.51035,364.28515,309.24405,263.23855,211.20615
Cer_AP(t17:0/19:3)-H,592.49465,362.26955,307.22845,261.22295,211.20615
Cer_AP(t17:0/19:4)-H,590.47905,360.25385,305.21275,259.20725,211.20615
Cer_AP(t17:0/20:0)-H,612.55725,382.33215,327.29105,281.28555,211.20615
Cer_AP(t17:0/20:1)-H,610.54165,380.31645,325.27535,279.26985,211.20615
Cer_AP(t17:0/20:2)-H,608.52595,378.30085,323.25975,277.25425,211.20615
Cer_AP(t17:0/20:3)-H,606.51035,376.28515,321.24405,275.23855,211.20615
Cer_AP(t17:0/20:4)-H,604.49465,374.26955,319.22845,273.22295,211.20615
Cer_AP(t17:0/21:0)-H,626.57285,396.34775,341.30665,295.30115,211.20615
Cer_AP(t17:0/21:1)-H,624.55725,394.33215,339.29105,293.28555,211.20615
Cer_AP(t17:0/21:2)-H,622.54165,392.31645,337.27535,291.26985,211.20615
Cer_AP(t17:0/21:3)-H,620.52595,390.30085,335.25975,289.25425,211.20615
Cer_AP(t17:0/21:4)-H,618.51035,388.28515,333.24405,287.23855,211.20615
Cer_AP(t17:0/22:0)-H,640.58855,410.36345,355.32235,309.31685,211.20615
Cer_AP(t17:0/22:1)-H,638.57285,408.34775,353.30665,307.30115,211.20615
Cer_AP(t17:0/22:2)-H,636.55725,406.33215,351.29105,305.28555,211.20615
Cer_AP(t17:0/22:3)-H,634.54165,404.31645,349.27535,303.26985,211.20615
Cer_AP(t17:0/22:4)-H,632.52595,402.30085,347.25975,301.25425,211.20615
Cer_AP(t17:0/23:0)-H,654.60415,424.37905,369.33795,323.33245,211.20615
Cer_AP(t17:0/23:1)-H,652.58855,422.36345,367.32235,321.31685,211.20615
Cer_AP(t17:0/23:2)-H,650.57285,420.34775,365.30665,319.30115,211.20615
Cer_AP(t17:0/23:3)-H,648.55725,418.33215,363.29105,317.28555,211.20615
Cer_AP(t17:0/23:4)-H,646.54165,416.31645,361.27535,315.26985,211.20615
Cer_AP(t17:0/24:0)-H,668.61985,438.39475,383.35365,337.34815,211.20615
Cer_AP(t17:0/24:1)-H,666.60415,436.37905,381.33795,335.33245,211.20615
Cer_AP(t17:0/24:2)-H,664.58855,434.36345,379.32235,333.31685,211.20615
Cer_AP(t17:0/24:3)-H,662.57285,432.34775,377.30665,331.30115,211.20615
Cer_AP(t17:0/24:4)-H,660.55725,430.33215,375.29105,329.28555,211.20615
Cer_AP(t17:0/25:0)-H,682.63545,452.41045,397.36925,351.36385,211.20615
Cer_AP(t17:0/25:1)-H,680.61985,450.39475,395.35365,349.34815,211.20615
Cer_AP(t17:0/25:2)-H,678.60415,448.37905,393.33795,347.33245,211.20615
Cer_AP(t17:0/25:3)-H,676.58855,446.36345,391.32235,345.31685,211.20615
Cer_AP(t17:0/25:4)-H,674.57285,444.34775,389.30665,343.30115,211.20615
Cer_AP(t17:0/26:0)-H,696.65115,466.42605,411.38495,365.37945,211.20615
Cer_AP(t17:0/26:1)-H,694.63545,464.41045,409.36925,363.36385,211.20615
Cer_AP(t17:0/26:2)-H,692.61985,462.39475,407.35365,361.34815,211.20615
Cer_AP(t17:0/26:3)-H,690.60415,460.37905,405.33795,359.33245,211.20615
Cer_AP(t17:0/26:4)-H,688.58855,458.36345,403.32235,357.31685,211.20615
Cer_AP(t17:0/27:0)-H,710.66685,480.44165,425.40055,379.39505,211.20615
Cer_AP(t17:0/27:1)-H,708.65115,478.42605,423.38495,377.37945,211.20615
Cer_AP(t17:0/27:2)-H,706.63545,476.41045,421.36925,375.36385,211.20615
Cer_AP(t17:0/27:3)-H,704.61985,474.39475,419.35365,373.34815,211.20615
Cer_AP(t17:0/27:4)-H,702.60415,472.37905,417.33795,371.33245,211.20615
Cer_AP(t17:0/28:0)-H,724.68245,494.45735,439.41625,393.41075,211.20615
Cer_AP(t17:0/28:1)-H,722.66685,492.44165,437.40055,391.39505,211.20615
Cer_AP(t17:0/28:2)-H,720.65115,490.42605,435.38495,389.37945,211.20615
Cer_AP(t17:0/28:3)-H,718.63545,488.41045,433.36925,387.36385,211.20615
Cer_AP(t17:0/28:4)-H,716.61985,486.39475,431.35365,385.34815,211.20615
Cer_AP(t17:0/29:0)-H,738.69815,508.47295,453.43185,407.42635,211.20615
Cer_AP(t17:0/29:1)-H,736.68245,506.45735,451.41625,405.41075,211.20615
Cer_AP(t17:0/29:2)-H,734.66685,504.44165,449.40055,403.39505,211.20615
Cer_AP(t17:0/29:3)-H,732.65115,502.42605,447.38495,401.37945,211.20615
Cer_AP(t17:0/29:4)-H,730.63545,500.41045,445.36925,399.36385,211.20615
Cer_AP(t17:0/30:0)-H,752.71375,522.48865,467.44755,421.44205,211.20615
Cer_AP(t17:0/30:1)-H,750.69815,520.47295,465.43185,419.42635,211.20615
Cer_AP(t17:0/30:2)-H,748.68245,518.45735,463.41625,417.41075,211.20615
Cer_AP(t17:0/30:3)-H,746.66685,516.44175,461.40055,415.39505,211.20615
