Cer_AP,[M-H]-,[FA+NC(C)CO-H]-,[FA+O-H]-,[FA-CO-3H]-,[Sph-NC(CO)CO-H]-
Cer_AP(t17:0/30:4)-H,744.65115,514.42605,459.38495,413.37945,211.20615
Cer_AP(t17:0/31:0)-H,766.72945,536.50425,481.46315,435.45775,211.20615
Cer_AP(t17:0/31:1)-H,764.71375,534.48865,479.44755,433.44205,211.20615
Cer_AP(t17:0/31:2)-H,762.69815,532.47295,477.43185,431.42635,211.20615
Cer_AP(t17:0/31:3)-H,760.68245,530.45735,475.41625,429.41075,211.20615
Cer_AP(t17:0/31:4)-H,758.66685,528.44175,473.40055,427.39505,211.20615
Cer_AP(t17:0/32:0)-H,780.74505,550.51995,495.47885,449.47335,211.20615
Cer_AP(t17:0/32:1)-H,778.72945,548.50425,493.46315,447.45775,211.20615
Cer_AP(t17:0/32:2)-H,776.71375,546.48865,491.44755,445.44205,211.20615
Cer_AP(t17:0/32:3)-H,774.69815,544.47295,489.43185,443.42635,211.20615
Cer_AP(t17:0/32:4)-H,772.68245,542.45735,487.41625,441.41075,211.20615
Cer_AP(t17:0/33:0)-H,794.76065,564.53555,509.49445,463.48895,211.20615
Cer_AP(t17:0/33:1)-H,792.74505,562.51995,507.47885,461.47335,211.20615
Cer_AP(t17:0/33:2)-H,790.72945,560.50425,505.46315,459.45775,211.20615
Cer_AP(t17:0/33:3)-H,788.71375,558.48865,503.44755,457.44205,211.20615
Cer_AP(t17:0/33:4)-H,786.69815,556.47295,501.43185,455.42635,211.20615
Cer_AP(t17:0/34:0)-H,808.77635,578.55125,523.51015,477.50465,211.20615
Cer_AP(t17:0/34:1)-H,806.76065,576.53555,521.49455,475.48895,211.20615
Cer_AP(t17:0/34:2)-H,804.74505,574.51995,519.47885,473.47335,211.20615
Cer_AP(t17:0/34:3)-H,802.72945,572.50425,517.46315,471.45775,211.20615
Cer_AP(t17:0/34:4)-H,800.71375,570.48865,515.44755,469.44205,211.20615
Cer_AP(t17:0/35:0)-H,822.79195,592.56685,537.52575,491.52025,211.20615
Cer_AP(t17:0/35:1)-H,820.77635,590.55125,535.51015,489.50465,211.20615
Cer_AP(t17:0/35:2)-H,818.76065,588.53555,533.49455,487.48895,211.20615
Cer_AP(t17:0/35:3)-H,816.74505,586.51995,531.47885,485.47335,211.20615
Cer_AP(t17:0/35:4)-H,814.72945,584.50425,529.46315,483.45775,211.20615
Cer_AP(t17:0/36:0)-H,836.80765,606.58255,551.54145,505.53595,211.20615
Cer_AP(t17:0/36:1)-H,834.79195,604.56685,549.52575,503.52025,211.20615
Cer_AP(t17:0/36:2)-H,832.77635,602.55125,547.51015,501.50465,211.20615
Cer_AP(t17:0/36:3)-H,830.76065,600.53555,545.49455,499.48895,211.20615
Cer_AP(t17:0/36:4)-H,828.74505,598.51995,543.47885,497.47335,211.20615
Cer_AP(t18:0/14:0)-H,542.47905,298.23825,243.19715,197.19165,225.22185
Cer_AP(t18:0/14:1)-H,540.46335,296.22255,241.18145,195.17595,225.22185
Cer_AP(t18:0/14:2)-H,538.44765,294.20695,239.16585,193.16035,225.22185
Cer_AP(t18:0/14:3)-H,536.43205,292.19125,237.15015,191.14465,225.22185
Cer_AP(t18:0/15:0)-H,556.49465,312.25385,257.21275,211.20725,225.22185
Cer_AP(t18:0/15:1)-H,554.47905,310.23825,255.19715,209.19165,225.22185
Cer_AP(t18:0/15:2)-H,552.46335,308.22255,253.18145,207.17595,225.22185
Cer_AP(t18:0/15:3)-H,550.44765,306.20695,251.16585,205.16035,225.22185
Cer_AP(t18:0/16:0)-H,570.51035,326.26955,271.22845,225.22295,225.22185
Cer_AP(t18:0/16:1)-H,568.49465,324.25385,269.21275,223.20725,225.22185
Cer_AP(t18:0/16:2)-H,566.47905,322.23825,267.19715,221.19165,225.22185
