SM,[M+HCO2]-,M-CH3,FA-H,(P-Cho)-CH3-H
SM(d13:0/16:0)+HCO2,679.5032,619.4774,255.2329,168.0431
SM(d13:0/16:1)+HCO2,677.4876,617.4618,253.2173,168.0431
SM(d13:0/17:0)+HCO2,693.5189,633.4931,269.2486,168.0431
SM(d13:0/17:1)+HCO2,691.5032,631.4774,267.2329,168.0431
SM(d13:0/17:2)+HCO2,689.4876,629.4618,265.2173,168.0431
SM(d13:0/18:0)+HCO2,707.5345,647.5087,283.2642,168.0431
SM(d13:0/18:1)+HCO2,705.5189,645.4931,281.2486,168.0431
SM(d13:0/18:2)+HCO2,703.5032,643.4774,279.2329,168.0431
SM(d13:0/18:3)+HCO2,701.4876,641.4618,277.2173,168.0431
SM(d13:0/18:4)+HCO2,699.4719,639.4461,275.2016,168.0431
SM(d13:0/19:0)+HCO2,721.5502,661.5244,297.2799,168.0431
SM(d13:0/20:0)+HCO2,735.5658,675.54,311.2955,168.0431
SM(d13:0/20:1)+HCO2,733.5502,673.5244,309.2799,168.0431
SM(d13:0/20:2)+HCO2,731.5345,671.5087,307.2642,168.0431
SM(d13:0/20:3)+HCO2,729.5189,669.4931,305.2486,168.0431
SM(d13:0/20:4)+HCO2,727.5032,667.4774,303.2329,168.0431
SM(d13:0/20:5)+HCO2,725.4876,665.4618,301.2173,168.0431
SM(d13:0/21:0)+HCO2,749.5815,689.5557,325.3112,168.0431
SM(d13:0/22:0)+HCO2,763.5971,703.5713,339.3268,168.0431
SM(d13:0/22:1)+HCO2,761.5815,701.5557,337.3112,168.0431
SM(d13:0/22:2)+HCO2,759.5658,699.54,335.2955,168.0431
SM(d13:0/22:3)+HCO2,757.5502,697.5244,333.2799,168.0431
SM(d13:0/22:4)+HCO2,755.5345,695.5087,331.2642,168.0431
SM(d13:0/22:5)+HCO2,753.5189,693.4931,329.2486,168.0431
SM(d13:0/22:6)+HCO2,751.5032,691.4774,327.2329,168.0431
SM(d13:0/23:0)+HCO2,777.6128,717.587,353.3425,168.0431
SM(d13:0/24:0)+HCO2,791.6284,731.6026,367.3581,168.0431
SM(d13:0/24:1)+HCO2,789.6128,729.587,365.3425,168.0431
SM(d13:0/25:0)+HCO2,805.6441,745.6183,381.3738,168.0431
SM(d13:0/26:0)+HCO2,819.6597,759.6339,395.3894,168.0431
SM(d13:0/8:0)+HCO2,567.378,507.3522,143.1077,168.0431
SM(d14:0/10:0)+HCO2,609.4249,549.3991,171.139,168.0431
SM(d14:0/12:0)+HCO2,637.4562,577.4304,199.1703,168.0431
SM(d14:0/13:0)+HCO2,651.4719,591.4461,213.186,168.0431
SM(d14:0/14:0)+HCO2,665.4875,605.4617,227.2016,168.0431
SM(d14:0/14:1)+HCO2,663.4719,603.4461,225.186,168.0431
SM(d14:0/15:0)+HCO2,679.5032,619.4774,241.2173,168.0431
SM(d14:0/15:1)+HCO2,677.4875,617.4617,239.2016,168.0431
SM(d14:0/16:0)+HCO2,693.5188,633.493,255.2329,168.0431
SM(d14:0/16:1)+HCO2,691.5032,631.4774,253.2173,168.0431
SM(d14:0/17:0)+HCO2,707.5345,647.5087,269.2486,168.0431
SM(d14:0/17:1)+HCO2,705.5188,645.493,267.2329,168.0431
SM(d14:0/17:2)+HCO2,703.5032,643.4774,265.2173,168.0431
SM(d14:0/18:0)+HCO2,721.5501,661.5243,283.2642,168.0431
SM(d14:0/18:1)+HCO2,719.5345,659.5087,281.2486,168.0431
SM(d14:0/18:2)+HCO2,717.5188,657.493,279.2329,168.0431
SM(d14:0/18:3)+HCO2,715.5032,655.4774,277.2173,168.0431
SM(d14:0/18:4)+HCO2,713.4875,653.4617,275.2016,168.0431
SM(d14:0/19:0)+HCO2,735.5658,675.54,297.2799,168.0431
SM(d14:0/20:0)+HCO2,749.5814,689.5556,311.2955,168.0431
SM(d14:0/20:1)+HCO2,747.5658,687.54,309.2799,168.0431
SM(d14:0/20:2)+HCO2,745.5501,685.5243,307.2642,168.0431
SM(d14:0/20:3)+HCO2,743.5345,683.5087,305.2486,168.0431
SM(d14:0/20:4)+HCO2,741.5188,681.493,303.2329,168.0431
SM(d14:0/20:5)+HCO2,739.5032,679.4774,301.2173,168.0431
SM(d14:0/21:0)+HCO2,763.5971,703.5713,325.3112,168.0431
SM(d14:0/22:0)+HCO2,777.6127,717.5869,339.3268,168.0431
SM(d14:0/22:1)+HCO2,775.5971,715.5713,337.3112,168.0431
SM(d14:0/22:2)+HCO2,773.5814,713.5556,335.2955,168.0431
SM(d14:0/22:3)+HCO2,771.5658,711.54,333.2799,168.0431
SM(d14:0/22:4)+HCO2,769.5501,709.5243,331.2642,168.0431
SM(d14:0/22:5)+HCO2,767.5345,707.5087,329.2486,168.0431
SM(d14:0/22:6)+HCO2,765.5188,705.493,327.2329,168.0431
SM(d14:0/23:0)+HCO2,791.6284,731.6026,353.3425,168.0431
SM(d14:0/24:0)+HCO2,805.644,745.6182,367.3581,168.0431
SM(d14:0/24:1)+HCO2,803.6284,743.6026,365.3425,168.0431
SM(d14:0/25:0)+HCO2,819.6597,759.6339,381.3738,168.0431
SM(d14:0/26:0)+HCO2,833.6753,773.6495,395.3894,168.0431
SM(d14:0/8:0)+HCO2,581.3936,521.3678,143.1077,168.0431
SM(d14:1/10:0)+HCO2,607.4093,547.3835,171.139,168.0431
SM(d14:1/12:0)+HCO2,635.4406,575.4148,199.1703,168.0431
SM(d14:1/13:0)+HCO2,649.4563,589.4305,213.186,168.0431
SM(d14:1/14:0)+HCO2,663.4719,603.4461,227.2016,168.0431
SM(d14:1/14:1)+HCO2,661.4563,601.4305,225.186,168.0431
SM(d14:1/15:0)+HCO2,677.4876,617.4618,241.2173,168.0431
SM(d14:1/15:1)+HCO2,675.4719,615.4461,239.2016,168.0431
SM(d14:1/16:0)+HCO2,691.5032,631.4774,255.2329,168.0431
SM(d14:1/16:1)+HCO2,689.4876,629.4618,253.2173,168.0431
SM(d14:1/17:0)+HCO2,705.5189,645.4931,269.2486,168.0431
SM(d14:1/17:1)+HCO2,703.5032,643.4774,267.2329,168.0431
SM(d14:1/17:2)+HCO2,701.4876,641.4618,265.2173,168.0431
SM(d14:1/18:0)+HCO2,719.5345,659.5087,283.2642,168.0431
SM(d14:1/18:1)+HCO2,717.5189,657.4931,281.2486,168.0431
SM(d14:1/18:2)+HCO2,715.5032,655.4774,279.2329,168.0431
SM(d14:1/18:3)+HCO2,713.4876,653.4618,277.2173,168.0431
SM(d14:1/18:4)+HCO2,711.4719,651.4461,275.2016,168.0431
SM(d14:1/19:0)+HCO2,733.5502,673.5244,297.2799,168.0431
SM(d14:1/20:0)+HCO2,747.5658,687.54,311.2955,168.0431
SM(d14:1/20:1)+HCO2,745.5502,685.5244,309.2799,168.0431
SM(d14:1/20:2)+HCO2,743.5345,683.5087,307.2642,168.0431
SM(d14:1/20:3)+HCO2,741.5189,681.4931,305.2486,168.0431
SM(d14:1/20:4)+HCO2,739.5032,679.4774,303.2329,168.0431
SM(d14:1/20:5)+HCO2,737.4876,677.4618,301.2173,168.0431
SM(d14:1/21:0)+HCO2,761.5815,701.5557,325.3112,168.0431
SM(d14:1/22:0)+HCO2,775.5971,715.5713,339.3268,168.0431
SM(d14:1/22:1)+HCO2,773.5815,713.5557,337.3112,168.0431
SM(d14:1/22:2)+HCO2,771.5658,711.54,335.2955,168.0431
SM(d14:1/22:3)+HCO2,769.5502,709.5244,333.2799,168.0431
SM(d14:1/22:4)+HCO2,767.5345,707.5087,331.2642,168.0431
SM(d14:1/22:5)+HCO2,765.5189,705.4931,329.2486,168.0431
SM(d14:1/22:6)+HCO2,763.5032,703.4774,327.2329,168.0431
SM(d14:1/23:0)+HCO2,789.6128,729.587,353.3425,168.0431
SM(d14:1/24:0)+HCO2,803.6284,743.6026,367.3581,168.0431
SM(d14:1/24:1)+HCO2,801.6128,741.587,365.3425,168.0431
SM(d14:1/25:0)+HCO2,817.6441,757.6183,381.3738,168.0431
SM(d14:1/26:0)+HCO2,831.6597,771.6339,395.3894,168.0431
SM(d14:1/8:0)+HCO2,579.378,519.3522,143.1077,168.0431
SM(d15:0/10:0)+HCO2,623.4406,563.4148,171.139,168.0431
SM(d15:0/12:0)+HCO2,651.4719,591.4461,199.1703,168.0431
SM(d15:0/13:0)+HCO2,665.4876,605.4618,213.186,168.0431
SM(d15:0/14:0)+HCO2,679.5032,619.4774,227.2016,168.0431
SM(d15:0/14:1)+HCO2,677.4876,617.4618,225.186,168.0431
SM(d15:0/15:0)+HCO2,693.5189,633.4931,241.2173,168.0431
SM(d15:0/15:1)+HCO2,691.5032,631.4774,239.2016,168.0431
SM(d15:0/16:0)+HCO2,707.5345,647.5087,255.2329,168.0431
SM(d15:0/16:1)+HCO2,705.5189,645.4931,253.2173,168.0431
SM(d15:0/17:0)+HCO2,721.5502,661.5244,269.2486,168.0431
SM(d15:0/17:1)+HCO2,719.5345,659.5087,267.2329,168.0431
SM(d15:0/17:2)+HCO2,717.5189,657.4931,265.2173,168.0431
SM(d15:0/18:0)+HCO2,735.5658,675.54,283.2642,168.0431
SM(d15:0/18:1)+HCO2,733.5502,673.5244,281.2486,168.0431
SM(d15:0/18:2)+HCO2,731.5345,671.5087,279.2329,168.0431
SM(d15:0/18:3)+HCO2,729.5189,669.4931,277.2173,168.0431
SM(d15:0/18:4)+HCO2,727.5032,667.4774,275.2016,168.0431
SM(d15:0/19:0)+HCO2,749.5815,689.5557,297.2799,168.0431
SM(d15:0/20:0)+HCO2,763.5971,703.5713,311.2955,168.0431
SM(d15:0/20:1)+HCO2,761.5815,701.5557,309.2799,168.0431
SM(d15:0/20:2)+HCO2,759.5658,699.54,307.2642,168.0431
SM(d15:0/20:3)+HCO2,757.5502,697.5244,305.2486,168.0431
SM(d15:0/20:4)+HCO2,755.5345,695.5087,303.2329,168.0431
SM(d15:0/20:5)+HCO2,753.5189,693.4931,301.2173,168.0431
SM(d15:0/21:0)+HCO2,777.6128,717.587,325.3112,168.0431
SM(d15:0/22:0)+HCO2,791.6284,731.6026,339.3268,168.0431
SM(d15:0/22:1)+HCO2,789.6128,729.587,337.3112,168.0431
SM(d15:0/22:2)+HCO2,787.5971,727.5713,335.2955,168.0431
SM(d15:0/22:3)+HCO2,785.5815,725.5557,333.2799,168.0431
SM(d15:0/22:4)+HCO2,783.5658,723.54,331.2642,168.0431
SM(d15:0/22:5)+HCO2,781.5502,721.5244,329.2486,168.0431
SM(d15:0/22:6)+HCO2,779.5345,719.5087,327.2329,168.0431
SM(d15:0/23:0)+HCO2,805.6441,745.6183,353.3425,168.0431
SM(d15:0/24:0)+HCO2,819.6597,759.6339,367.3581,168.0431
SM(d15:0/24:1)+HCO2,817.6441,757.6183,365.3425,168.0431
