Cer-NDS,[M-H]-,[M-CO-3H]-,[M-CO-O-3H]-,[Sph-H]-,[FA+NCCO-3H]-,[FA+NCC-3H]-,[FA+N-H]-,[Sph-NCCO-3H]-,[FA-3H]-
Cer-NDS(d21:0/32:0)-H,804.8173,772.7911,756.7961,342.3378,520.5094,504.5144,478.4993,281.285,461.4966
Cer-NDS(d21:0/32:1)-H,802.8016,770.7754,754.7805,342.3378,518.4937,502.4988,476.4837,281.285,459.481
Cer-NDS(d21:0/32:2)-H,800.7859,768.7598,752.7648,342.3378,516.4781,500.4832,474.468,281.285,457.4653
Cer-NDS(d21:0/33:0)-H,818.8329,786.8067,770.8118,342.3378,534.525,518.5301,492.515,281.285,475.5122
Cer-NDS(d21:0/33:1)-H,816.8173,784.7911,768.7961,342.3378,532.5094,516.5145,490.4993,281.285,473.4966
Cer-NDS(d21:0/34:0)-H,832.8486,800.8224,784.8275,342.3378,548.5406,532.5458,506.5306,281.285,489.5279
Cer-NDS(d21:0/34:1)-H,830.8329,798.8067,782.8118,342.3378,546.525,530.5301,504.515,281.285,487.5122
Cer-NDS(d21:0/34:2)-H,828.8173,796.7911,780.7961,342.3378,544.5094,528.5145,502.4993,281.285,485.4966
Cer-NDS(d21:0/35:0)-H,846.8643,814.838,798.8431,342.3378,562.5563,546.5614,520.5463,281.285,503.5435
Cer-NDS(d21:0/35:1)-H,844.8486,812.8224,796.8275,342.3378,560.5406,544.5458,518.5306,281.285,501.5279
Cer-NDS(d21:0/36:0)-H,860.8799,828.8536,812.8588,342.3378,576.572,560.577,534.562,281.285,517.5592
Cer-NDS(d21:0/36:1)-H,858.8643,826.838,810.8431,342.3378,574.5563,558.5614,532.5463,281.285,515.5436
Cer-NDS(d21:0/36:2)-H,856.8486,824.8224,808.8275,342.3378,572.5406,556.5458,530.5306,281.285,513.5279
Cer-NDS(d21:0/38:0)-H,888.9112,856.8849,840.89,342.3378,604.6033,588.6083,562.5933,281.285,545.5905
Cer-NDS(d21:0/38:1)-H,886.8955,854.8693,838.8744,342.3378,602.5876,586.5927,560.5776,281.285,543.5748
Cer-NDS(d21:0/38:2)-H,884.8799,852.8536,836.8588,342.3378,600.572,584.577,558.562,281.285,541.5592
Cer-NDS(d21:0/40:0)-H,916.9425,884.9163,868.9213,342.3378,632.6346,616.6396,590.6245,281.285,573.6218
Cer-NDS(d21:0/40:1)-H,914.9268,882.9006,866.9057,342.3378,630.6189,614.624,588.6089,281.285,571.6061
Cer-NDS(d21:0/40:2)-H,912.9112,880.8849,864.89,342.3378,628.6033,612.6083,586.5933,281.285,569.5905
Cer-NDS(d21:0/42:0)-H,944.9738,912.9476,896.9526,342.3378,660.6659,644.671,618.6558,281.285,601.6531
Cer-NDS(d21:0/42:1)-H,942.9581,910.9319,894.937,342.3378,658.6502,642.6553,616.6402,281.285,599.6375
Cer-NDS(d21:0/42:2)-H,940.9425,908.9163,892.9213,342.3378,656.6346,640.6396,614.6245,281.285,597.6218
Cer-NDS(d22:0/12:0)-H,538.52,506.4937,490.4988,356.3534,240.1964,224.2014,198.1863,295.3006,181.1836
Cer-NDS(d22:0/12:1)-H,536.5043,504.4781,488.4832,356.3534,238.1807,222.1858,196.1707,295.3006,179.168
Cer-NDS(d22:0/13:0)-H,552.5356,520.5093,504.5144,356.3534,254.212,238.2171,212.202,295.3006,195.1992
Cer-NDS(d22:0/13:1)-H,550.52,518.4937,502.4988,356.3534,252.1964,236.2014,210.1863,295.3006,193.1836
Cer-NDS(d22:0/14:0)-H,566.5512,534.525,518.5301,356.3534,268.2277,252.2328,226.2176,295.3006,209.2149
Cer-NDS(d22:0/14:1)-H,564.5356,532.5093,516.5145,356.3534,266.212,250.2171,224.202,295.3006,207.1992
Cer-NDS(d22:0/15:0)-H,580.5669,548.5406,532.5457,356.3534,282.2433,266.2484,240.2333,295.3006,223.2305
Cer-NDS(d22:0/15:1)-H,578.5512,546.525,530.5301,356.3534,280.2277,264.2328,238.2176,295.3006,221.2149
Cer-NDS(d22:0/16:0)-H,594.5825,562.5563,546.5614,356.3534,296.259,280.264,254.2489,295.3006,237.2462
Cer-NDS(d22:0/16:1)-H,592.5669,560.5406,544.5457,356.3534,294.2433,278.2484,252.2333,295.3006,235.2305
Cer-NDS(d22:0/16:2)-H,590.5512,558.525,542.5301,356.3534,292.2277,276.2328,250.2176,295.3006,233.2149
Cer-NDS(d22:0/17:0)-H,608.5982,576.572,560.577,356.3534,310.2746,294.2797,268.2646,295.3006,251.2619
Cer-NDS(d22:0/18:0)-H,622.6138,590.5876,574.5927,356.3534,324.2903,308.2953,282.2802,295.3006,265.2775
Cer-NDS(d22:0/18:1)-H,620.5982,588.572,572.577,356.3534,322.2746,306.2797,280.2646,295.3006,263.2618
Cer-NDS(d22:0/18:2)-H,618.5825,586.5563,570.5614,356.3534,320.259,304.264,278.2489,295.3006,261.2462
Cer-NDS(d22:0/19:0)-H,636.6295,604.6033,588.6083,356.3534,338.3059,322.311,296.2959,295.3006,279.2932
Cer-NDS(d22:0/19:1)-H,634.6138,602.5876,586.5927,356.3534,336.2903,320.2953,294.2802,295.3006,277.2775
Cer-NDS(d22:0/20:0)-H,650.6451,618.6189,602.624,356.3534,352.3216,336.3267,310.3116,295.3006,293.3088
Cer-NDS(d22:0/20:1)-H,648.6295,616.6033,600.6083,356.3534,350.3059,334.311,308.2959,295.3006,291.2932
Cer-NDS(d22:0/20:2)-H,646.6138,614.5876,598.5927,356.3534,348.2903,332.2953,306.2802,295.3006,289.2775
Cer-NDS(d22:0/21:0)-H,664.6608,632.6346,616.6396,356.3534,366.3372,350.3423,324.3272,295.3006,307.3245
Cer-NDS(d22:0/21:1)-H,662.6451,630.6189,614.624,356.3534,364.3216,348.3267,322.3116,295.3006,305.3088
Cer-NDS(d22:0/22:0)-H,678.6765,646.6502,630.6553,356.3534,380.3529,364.3579,338.3428,295.3006,321.3401
Cer-NDS(d22:0/22:1)-H,676.6608,644.6346,628.6396,356.3534,378.3372,362.3423,336.3272,295.3006,319.3245
Cer-NDS(d22:0/22:2)-H,674.6451,642.6189,626.624,356.3534,376.3216,360.3267,334.3116,295.3006,317.3088
Cer-NDS(d22:0/23:0)-H,692.6921,660.6658,644.671,356.3534,394.3685,378.3736,352.3585,295.3006,335.3557
Cer-NDS(d22:0/23:1)-H,690.6765,658.6502,642.6553,356.3534,392.3529,376.3579,350.3428,295.3006,333.3401
Cer-NDS(d22:0/24:0)-H,706.7077,674.6815,658.6866,356.3534,408.3842,392.3893,366.3741,295.3006,349.3714
Cer-NDS(d22:0/24:1)-H,704.6921,672.6658,656.671,356.3534,406.3685,390.3736,364.3585,295.3006,347.3557
Cer-NDS(d22:0/24:2)-H,702.6765,670.6502,654.6553,356.3534,404.3529,388.3579,362.3428,295.3006,345.3401
Cer-NDS(d22:0/25:0)-H,720.7234,688.6971,672.7023,356.3534,422.3998,406.4049,380.3898,295.3006,363.3871
Cer-NDS(d22:0/25:1)-H,718.7077,686.6815,670.6866,356.3534,420.3842,404.3893,378.3741,295.3006,361.3714
Cer-NDS(d22:0/26:0)-H,734.739,702.7128,686.7179,356.3534,436.4155,420.4206,394.4054,295.3006,377.4027
Cer-NDS(d22:0/26:1)-H,732.7234,700.6971,684.7023,356.3534,434.3998,418.4049,392.3898,295.3006,375.3871
Cer-NDS(d22:0/26:2)-H,730.7077,698.6815,682.6866,356.3534,432.3842,416.3893,390.3741,295.3006,373.3714
Cer-NDS(d22:0/27:0)-H,748.7547,716.7285,700.7335,356.3534,450.4311,434.4362,408.4211,295.3006,391.4183
Cer-NDS(d22:0/27:1)-H,746.739,714.7128,698.7179,356.3534,448.4155,432.4206,406.4054,295.3006,389.4027
Cer-NDS(d22:0/28:0)-H,762.7703,730.7441,714.7492,356.3534,464.4468,448.4518,422.4367,295.3006,405.434
Cer-NDS(d22:0/28:1)-H,760.7547,728.7285,712.7335,356.3534,462.4311,446.4362,420.4211,295.3006,403.4183
Cer-NDS(d22:0/28:2)-H,758.739,726.7128,710.7179,356.3534,460.4155,444.4206,418.4054,295.3006,401.4027
Cer-NDS(d22:0/29:0)-H,776.7859,744.7598,728.7648,356.3534,478.4624,462.4675,436.4524,295.3006,419.4496
Cer-NDS(d22:0/29:1)-H,774.7703,742.7441,726.7492,356.3534,476.4468,460.4518,434.4367,295.3006,417.434
Cer-NDS(d22:0/30:0)-H,790.8016,758.7754,742.7805,356.3534,492.4781,476.4832,450.468,295.3006,433.4653
Cer-NDS(d22:0/30:1)-H,788.7859,756.7598,740.7648,356.3534,490.4624,474.4675,448.4524,295.3006,431.4496
Cer-NDS(d22:0/30:2)-H,786.7703,754.7441,738.7492,356.3534,488.4468,472.4518,446.4367,295.3006,429.434
Cer-NDS(d22:0/31:0)-H,804.8173,772.7911,756.7961,356.3534,506.4937,490.4988,464.4837,295.3006,447.481
Cer-NDS(d22:0/31:1)-H,802.8016,770.7754,754.7805,356.3534,504.4781,488.4832,462.468,295.3006,445.4653
Cer-NDS(d22:0/32:0)-H,818.8329,786.8067,770.8118,356.3534,520.5094,504.5144,478.4993,295.3006,461.4966
Cer-NDS(d22:0/32:1)-H,816.8173,784.7911,768.7961,356.3534,518.4937,502.4988,476.4837,295.3006,459.481
Cer-NDS(d22:0/32:2)-H,814.8016,782.7754,766.7805,356.3534,516.4781,500.4832,474.468,295.3006,457.4653
Cer-NDS(d22:0/33:0)-H,832.8486,800.8224,784.8275,356.3534,534.525,518.5301,492.515,295.3006,475.5122
Cer-NDS(d22:0/33:1)-H,830.8329,798.8067,782.8118,356.3534,532.5094,516.5145,490.4993,295.3006,473.4966
Cer-NDS(d22:0/34:0)-H,846.8643,814.838,798.8431,356.3534,548.5406,532.5458,506.5306,295.3006,489.5279
Cer-NDS(d22:0/34:1)-H,844.8486,812.8224,796.8275,356.3534,546.525,530.5301,504.515,295.3006,487.5122
Cer-NDS(d22:0/34:2)-H,842.8329,810.8067,794.8118,356.3534,544.5094,528.5145,502.4993,295.3006,485.4966
Cer-NDS(d22:0/35:0)-H,860.8799,828.8536,812.8588,356.3534,562.5563,546.5614,520.5463,295.3006,503.5435
Cer-NDS(d22:0/35:1)-H,858.8643,826.838,810.8431,356.3534,560.5406,544.5458,518.5306,295.3006,501.5279
Cer-NDS(d22:0/36:0)-H,874.8955,842.8693,826.8744,356.3534,576.572,560.577,534.562,295.3006,517.5592
Cer-NDS(d22:0/36:1)-H,872.8799,840.8536,824.8588,356.3534,574.5563,558.5614,532.5463,295.3006,515.5436
Cer-NDS(d22:0/36:2)-H,870.8643,838.838,822.8431,356.3534,572.5406,556.5458,530.5306,295.3006,513.5279
Cer-NDS(d22:0/38:0)-H,902.9268,870.9006,854.9057,356.3534,604.6033,588.6083,562.5933,295.3006,545.5905
Cer-NDS(d22:0/38:1)-H,900.9112,868.8849,852.89,356.3534,602.5876,586.5927,560.5776,295.3006,543.5748
Cer-NDS(d22:0/38:2)-H,898.8955,866.8693,850.8744,356.3534,600.572,584.577,558.562,295.3006,541.5592
Cer-NDS(d22:0/40:0)-H,930.9581,898.9319,882.937,356.3534,632.6346,616.6396,590.6245,295.3006,573.6218
Cer-NDS(d22:0/40:1)-H,928.9425,896.9163,880.9213,356.3534,630.6189,614.624,588.6089,295.3006,571.6061
Cer-NDS(d22:0/40:2)-H,926.9268,894.9006,878.9057,356.3534,628.6033,612.6083,586.5933,295.3006,569.5905
Cer-NDS(d22:0/42:0)-H,958.9894,926.9632,910.9683,356.3534,660.6659,644.671,618.6558,295.3006,601.6531
Cer-NDS(d22:0/42:1)-H,956.9738,924.9476,908.9526,356.3534,658.6502,642.6553,616.6402,295.3006,599.6375
Cer-NDS(d22:0/42:2)-H,954.9581,922.9319,906.937,356.3534,656.6346,640.6396,614.6245,295.3006,597.6218
Cer-NDS(d23:0/12:0)-H,552.5356,520.5093,504.5144,370.369,240.1964,224.2014,198.1863,309.3163,181.1836
Cer-NDS(d23:0/12:1)-H,550.52,518.4937,502.4988,370.369,238.1807,222.1858,196.1707,309.3163,179.168
Cer-NDS(d23:0/13:0)-H,566.5512,534.525,518.5301,370.369,254.212,238.2171,212.202,309.3163,195.1992
Cer-NDS(d23:0/13:1)-H,564.5356,532.5093,516.5145,370.369,252.1964,236.2014,210.1863,309.3163,193.1836
Cer-NDS(d23:0/14:0)-H,580.5669,548.5406,532.5457,370.369,268.2277,252.2328,226.2176,309.3163,209.2149
Cer-NDS(d23:0/14:1)-H,578.5512,546.525,530.5301,370.369,266.212,250.2171,224.202,309.3163,207.1992
Cer-NDS(d23:0/15:0)-H,594.5825,562.5563,546.5614,370.369,282.2433,266.2484,240.2333,309.3163,223.2305
Cer-NDS(d23:0/15:1)-H,592.5669,560.5406,544.5457,370.369,280.2277,264.2328,238.2176,309.3163,221.2149
Cer-NDS(d23:0/16:0)-H,608.5982,576.572,560.577,370.369,296.259,280.264,254.2489,309.3163,237.2462
Cer-NDS(d23:0/16:1)-H,606.5825,574.5563,558.5614,370.369,294.2433,278.2484,252.2333,309.3163,235.2305
Cer-NDS(d23:0/16:2)-H,604.5669,572.5406,556.5457,370.369,292.2277,276.2328,250.2176,309.3163,233.2149
Cer-NDS(d23:0/17:0)-H,622.6138,590.5876,574.5927,370.369,310.2746,294.2797,268.2646,309.3163,251.2619
Cer-NDS(d23:0/18:0)-H,636.6295,604.6033,588.6083,370.369,324.2903,308.2953,282.2802,309.3163,265.2775
Cer-NDS(d23:0/18:1)-H,634.6138,602.5876,586.5927,370.369,322.2746,306.2797,280.2646,309.3163,263.2618
Cer-NDS(d23:0/18:2)-H,632.5982,600.572,584.577,370.369,320.259,304.264,278.2489,309.3163,261.2462
Cer-NDS(d23:0/19:0)-H,650.6451,618.6189,602.624,370.369,338.3059,322.311,296.2959,309.3163,279.2932
Cer-NDS(d23:0/19:1)-H,648.6295,616.6033,600.6083,370.369,336.2903,320.2953,294.2802,309.3163,277.2775
Cer-NDS(d23:0/20:0)-H,664.6608,632.6346,616.6396,370.369,352.3216,336.3267,310.3116,309.3163,293.3088
Cer-NDS(d23:0/20:1)-H,662.6451,630.6189,614.624,370.369,350.3059,334.311,308.2959,309.3163,291.2932
Cer-NDS(d23:0/20:2)-H,660.6295,628.6033,612.6083,370.369,348.2903,332.2953,306.2802,309.3163,289.2775
Cer-NDS(d23:0/21:0)-H,678.6765,646.6502,630.6553,370.369,366.3372,350.3423,324.3272,309.3163,307.3245
Cer-NDS(d23:0/21:1)-H,676.6608,644.6346,628.6396,370.369,364.3216,348.3267,322.3116,309.3163,305.3088
Cer-NDS(d23:0/22:0)-H,692.6921,660.6658,644.671,370.369,380.3529,364.3579,338.3428,309.3163,321.3401
Cer-NDS(d23:0/22:1)-H,690.6765,658.6502,642.6553,370.369,378.3372,362.3423,336.3272,309.3163,319.3245
Cer-NDS(d23:0/22:2)-H,688.6608,656.6346,640.6396,370.369,376.3216,360.3267,334.3116,309.3163,317.3088
Cer-NDS(d23:0/23:0)-H,706.7077,674.6815,658.6866,370.369,394.3685,378.3736,352.3585,309.3163,335.3557
Cer-NDS(d23:0/23:1)-H,704.6921,672.6658,656.671,370.369,392.3529,376.3579,350.3428,309.3163,333.3401
Cer-NDS(d23:0/24:0)-H,720.7234,688.6971,672.7023,370.369,408.3842,392.3893,366.3741,309.3163,349.3714
Cer-NDS(d23:0/24:1)-H,718.7077,686.6815,670.6866,370.369,406.3685,390.3736,364.3585,309.3163,347.3557
Cer-NDS(d23:0/24:2)-H,716.6921,684.6658,668.671,370.369,404.3529,388.3579,362.3428,309.3163,345.3401
Cer-NDS(d23:0/25:0)-H,734.739,702.7128,686.7179,370.369,422.3998,406.4049,380.3898,309.3163,363.3871
Cer-NDS(d23:0/25:1)-H,732.7234,700.6971,684.7023,370.369,420.3842,404.3893,378.3741,309.3163,361.3714
Cer-NDS(d23:0/26:0)-H,748.7547,716.7285,700.7335,370.369,436.4155,420.4206,394.4054,309.3163,377.4027
Cer-NDS(d23:0/26:1)-H,746.739,714.7128,698.7179,370.369,434.3998,418.4049,392.3898,309.3163,375.3871
Cer-NDS(d23:0/26:2)-H,744.7234,712.6971,696.7023,370.369,432.3842,416.3893,390.3741,309.3163,373.3714
Cer-NDS(d23:0/27:0)-H,762.7703,730.7441,714.7492,370.369,450.4311,434.4362,408.4211,309.3163,391.4183
Cer-NDS(d23:0/27:1)-H,760.7547,728.7285,712.7335,370.369,448.4155,432.4206,406.4054,309.3163,389.4027
Cer-NDS(d23:0/28:0)-H,776.7859,744.7598,728.7648,370.369,464.4468,448.4518,422.4367,309.3163,405.434
Cer-NDS(d23:0/28:1)-H,774.7703,742.7441,726.7492,370.369,462.4311,446.4362,420.4211,309.3163,403.4183
Cer-NDS(d23:0/28:2)-H,772.7547,740.7285,724.7335,370.369,460.4155,444.4206,418.4054,309.3163,401.4027
Cer-NDS(d23:0/29:0)-H,790.8016,758.7754,742.7805,370.369,478.4624,462.4675,436.4524,309.3163,419.4496
Cer-NDS(d23:0/29:1)-H,788.7859,756.7598,740.7648,370.369,476.4468,460.4518,434.4367,309.3163,417.434
Cer-NDS(d23:0/30:0)-H,804.8173,772.7911,756.7961,370.369,492.4781,476.4832,450.468,309.3163,433.4653
Cer-NDS(d23:0/30:1)-H,802.8016,770.7754,754.7805,370.369,490.4624,474.4675,448.4524,309.3163,431.4496
Cer-NDS(d23:0/30:2)-H,800.7859,768.7598,752.7648,370.369,488.4468,472.4518,446.4367,309.3163,429.434
Cer-NDS(d23:0/31:0)-H,818.8329,786.8067,770.8118,370.369,506.4937,490.4988,464.4837,309.3163,447.481
Cer-NDS(d23:0/31:1)-H,816.8173,784.7911,768.7961,370.369,504.4781,488.4832,462.468,309.3163,445.4653
Cer-NDS(d23:0/32:0)-H,832.8486,800.8224,784.8275,370.369,520.5094,504.5144,478.4993,309.3163,461.4966
Cer-NDS(d23:0/32:1)-H,830.8329,798.8067,782.8118,370.369,518.4937,502.4988,476.4837,309.3163,459.481
Cer-NDS(d23:0/32:2)-H,828.8173,796.7911,780.7961,370.369,516.4781,500.4832,474.468,309.3163,457.4653
Cer-NDS(d23:0/33:0)-H,846.8643,814.838,798.8431,370.369,534.525,518.5301,492.515,309.3163,475.5122
Cer-NDS(d23:0/33:1)-H,844.8486,812.8224,796.8275,370.369,532.5094,516.5145,490.4993,309.3163,473.4966
Cer-NDS(d23:0/34:0)-H,860.8799,828.8536,812.8588,370.369,548.5406,532.5458,506.5306,309.3163,489.5279
Cer-NDS(d23:0/34:1)-H,858.8643,826.838,810.8431,370.369,546.525,530.5301,504.515,309.3163,487.5122
Cer-NDS(d23:0/34:2)-H,856.8486,824.8224,808.8275,370.369,544.5094,528.5145,502.4993,309.3163,485.4966
Cer-NDS(d23:0/35:0)-H,874.8955,842.8693,826.8744,370.369,562.5563,546.5614,520.5463,309.3163,503.5435
Cer-NDS(d23:0/35:1)-H,872.8799,840.8536,824.8588,370.369,560.5406,544.5458,518.5306,309.3163,501.5279
Cer-NDS(d23:0/36:0)-H,888.9112,856.8849,840.89,370.369,576.572,560.577,534.562,309.3163,517.5592
Cer-NDS(d23:0/36:1)-H,886.8955,854.8693,838.8744,370.369,574.5563,558.5614,532.5463,309.3163,515.5436
Cer-NDS(d23:0/36:2)-H,884.8799,852.8536,836.8588,370.369,572.5406,556.5458,530.5306,309.3163,513.5279
Cer-NDS(d23:0/38:0)-H,916.9425,884.9163,868.9213,370.369,604.6033,588.6083,562.5933,309.3163,545.5905
Cer-NDS(d23:0/38:1)-H,914.9268,882.9006,866.9057,370.369,602.5876,586.5927,560.5776,309.3163,543.5748
Cer-NDS(d23:0/38:2)-H,912.9112,880.8849,864.89,370.369,600.572,584.577,558.562,309.3163,541.5592
Cer-NDS(d23:0/40:0)-H,944.9738,912.9476,896.9526,370.369,632.6346,616.6396,590.6245,309.3163,573.6218
Cer-NDS(d23:0/40:1)-H,942.9581,910.9319,894.937,370.369,630.6189,614.624,588.6089,309.3163,571.6061
Cer-NDS(d23:0/40:2)-H,940.9425,908.9163,892.9213,370.369,628.6033,612.6083,586.5933,309.3163,569.5905
Cer-NDS(d23:0/42:0)-H,973.0051,940.9789,924.9839,370.369,660.6659,644.671,618.6558,309.3163,601.6531
Cer-NDS(d23:0/42:1)-H,970.9894,938.9632,922.9683,370.369,658.6502,642.6553,616.6402,309.3163,599.6375
Cer-NDS(d23:0/42:2)-H,968.9738,936.9476,920.9526,370.369,656.6346,640.6396,614.6245,309.3163,597.6218
Cer-NDS(d24:0/12:0)-H,566.5512,534.525,518.5301,384.3847,240.1964,224.2014,198.1863,323.3319,181.1836
Cer-NDS(d24:0/12:1)-H,564.5356,532.5093,516.5145,384.3847,238.1807,222.1858,196.1707,323.3319,179.168
Cer-NDS(d24:0/13:0)-H,580.5669,548.5406,532.5457,384.3847,254.212,238.2171,212.202,323.3319,195.1992
Cer-NDS(d24:0/13:1)-H,578.5512,546.525,530.5301,384.3847,252.1964,236.2014,210.1863,323.3319,193.1836
Cer-NDS(d24:0/14:0)-H,594.5825,562.5563,546.5614,384.3847,268.2277,252.2328,226.2176,323.3319,209.2149
Cer-NDS(d24:0/14:1)-H,592.5669,560.5406,544.5457,384.3847,266.212,250.2171,224.202,323.3319,207.1992
Cer-NDS(d24:0/15:0)-H,608.5982,576.572,560.577,384.3847,282.2433,266.2484,240.2333,323.3319,223.2305
Cer-NDS(d24:0/15:1)-H,606.5825,574.5563,558.5614,384.3847,280.2277,264.2328,238.2176,323.3319,221.2149
Cer-NDS(d24:0/16:0)-H,622.6138,590.5876,574.5927,384.3847,296.259,280.264,254.2489,323.3319,237.2462
Cer-NDS(d24:0/16:1)-H,620.5982,588.572,572.577,384.3847,294.2433,278.2484,252.2333,323.3319,235.2305
Cer-NDS(d24:0/16:2)-H,618.5825,586.5563,570.5614,384.3847,292.2277,276.2328,250.2176,323.3319,233.2149
Cer-NDS(d24:0/17:0)-H,636.6295,604.6033,588.6083,384.3847,310.2746,294.2797,268.2646,323.3319,251.2619
Cer-NDS(d24:0/18:0)-H,650.6451,618.6189,602.624,384.3847,324.2903,308.2953,282.2802,323.3319,265.2775
Cer-NDS(d24:0/18:1)-H,648.6295,616.6033,600.6083,384.3847,322.2746,306.2797,280.2646,323.3319,263.2618
Cer-NDS(d24:0/18:2)-H,646.6138,614.5876,598.5927,384.3847,320.259,304.264,278.2489,323.3319,261.2462
Cer-NDS(d24:0/19:0)-H,664.6608,632.6346,616.6396,384.3847,338.3059,322.311,296.2959,323.3319,279.2932
Cer-NDS(d24:0/19:1)-H,662.6451,630.6189,614.624,384.3847,336.2903,320.2953,294.2802,323.3319,277.2775
Cer-NDS(d24:0/20:0)-H,678.6765,646.6502,630.6553,384.3847,352.3216,336.3267,310.3116,323.3319,293.3088
Cer-NDS(d24:0/20:1)-H,676.6608,644.6346,628.6396,384.3847,350.3059,334.311,308.2959,323.3319,291.2932
Cer-NDS(d24:0/20:2)-H,674.6451,642.6189,626.624,384.3847,348.2903,332.2953,306.2802,323.3319,289.2775
Cer-NDS(d24:0/21:0)-H,692.6921,660.6658,644.671,384.3847,366.3372,350.3423,324.3272,323.3319,307.3245
Cer-NDS(d24:0/21:1)-H,690.6765,658.6502,642.6553,384.3847,364.3216,348.3267,322.3116,323.3319,305.3088
Cer-NDS(d24:0/22:0)-H,706.7077,674.6815,658.6866,384.3847,380.3529,364.3579,338.3428,323.3319,321.3401
Cer-NDS(d24:0/22:1)-H,704.6921,672.6658,656.671,384.3847,378.3372,362.3423,336.3272,323.3319,319.3245
Cer-NDS(d24:0/22:2)-H,702.6765,670.6502,654.6553,384.3847,376.3216,360.3267,334.3116,323.3319,317.3088
Cer-NDS(d24:0/23:0)-H,720.7234,688.6971,672.7023,384.3847,394.3685,378.3736,352.3585,323.3319,335.3557
Cer-NDS(d24:0/23:1)-H,718.7077,686.6815,670.6866,384.3847,392.3529,376.3579,350.3428,323.3319,333.3401
Cer-NDS(d24:0/24:0)-H,734.739,702.7128,686.7179,384.3847,408.3842,392.3893,366.3741,323.3319,349.3714
Cer-NDS(d24:0/24:1)-H,732.7234,700.6971,684.7023,384.3847,406.3685,390.3736,364.3585,323.3319,347.3557
Cer-NDS(d24:0/24:2)-H,730.7077,698.6815,682.6866,384.3847,404.3529,388.3579,362.3428,323.3319,345.3401
Cer-NDS(d24:0/25:0)-H,748.7547,716.7285,700.7335,384.3847,422.3998,406.4049,380.3898,323.3319,363.3871
Cer-NDS(d24:0/25:1)-H,746.739,714.7128,698.7179,384.3847,420.3842,404.3893,378.3741,323.3319,361.3714
Cer-NDS(d24:0/26:0)-H,762.7703,730.7441,714.7492,384.3847,436.4155,420.4206,394.4054,323.3319,377.4027
Cer-NDS(d24:0/26:1)-H,760.7547,728.7285,712.7335,384.3847,434.3998,418.4049,392.3898,323.3319,375.3871
Cer-NDS(d24:0/26:2)-H,758.739,726.7128,710.7179,384.3847,432.3842,416.3893,390.3741,323.3319,373.3714
Cer-NDS(d24:0/27:0)-H,776.7859,744.7598,728.7648,384.3847,450.4311,434.4362,408.4211,323.3319,391.4183
Cer-NDS(d24:0/27:1)-H,774.7703,742.7441,726.7492,384.3847,448.4155,432.4206,406.4054,323.3319,389.4027
Cer-NDS(d24:0/28:0)-H,790.8016,758.7754,742.7805,384.3847,464.4468,448.4518,422.4367,323.3319,405.434
Cer-NDS(d24:0/28:1)-H,788.7859,756.7598,740.7648,384.3847,462.4311,446.4362,420.4211,323.3319,403.4183
Cer-NDS(d24:0/28:2)-H,786.7703,754.7441,738.7492,384.3847,460.4155,444.4206,418.4054,323.3319,401.4027
Cer-NDS(d24:0/29:0)-H,804.8173,772.7911,756.7961,384.3847,478.4624,462.4675,436.4524,323.3319,419.4496
Cer-NDS(d24:0/29:1)-H,802.8016,770.7754,754.7805,384.3847,476.4468,460.4518,434.4367,323.3319,417.434
Cer-NDS(d24:0/30:0)-H,818.8329,786.8067,770.8118,384.3847,492.4781,476.4832,450.468,323.3319,433.4653
Cer-NDS(d24:0/30:1)-H,816.8173,784.7911,768.7961,384.3847,490.4624,474.4675,448.4524,323.3319,431.4496
Cer-NDS(d24:0/30:2)-H,814.8016,782.7754,766.7805,384.3847,488.4468,472.4518,446.4367,323.3319,429.434
Cer-NDS(d24:0/31:0)-H,832.8486,800.8224,784.8275,384.3847,506.4937,490.4988,464.4837,323.3319,447.481
Cer-NDS(d24:0/31:1)-H,830.8329,798.8067,782.8118,384.3847,504.4781,488.4832,462.468,323.3319,445.4653
Cer-NDS(d24:0/32:0)-H,846.8643,814.838,798.8431,384.3847,520.5094,504.5144,478.4993,323.3319,461.4966
Cer-NDS(d24:0/32:1)-H,844.8486,812.8224,796.8275,384.3847,518.4937,502.4988,476.4837,323.3319,459.481
Cer-NDS(d24:0/32:2)-H,842.8329,810.8067,794.8118,384.3847,516.4781,500.4832,474.468,323.3319,457.4653
Cer-NDS(d24:0/33:0)-H,860.8799,828.8536,812.8588,384.3847,534.525,518.5301,492.515,323.3319,475.5122
Cer-NDS(d24:0/33:1)-H,858.8643,826.838,810.8431,384.3847,532.5094,516.5145,490.4993,323.3319,473.4966
Cer-NDS(d24:0/34:0)-H,874.8955,842.8693,826.8744,384.3847,548.5406,532.5458,506.5306,323.3319,489.5279
Cer-NDS(d24:0/34:1)-H,872.8799,840.8536,824.8588,384.3847,546.525,530.5301,504.515,323.3319,487.5122
Cer-NDS(d24:0/34:2)-H,870.8643,838.838,822.8431,384.3847,544.5094,528.5145,502.4993,323.3319,485.4966
Cer-NDS(d24:0/35:0)-H,888.9112,856.8849,840.89,384.3847,562.5563,546.5614,520.5463,323.3319,503.5435
Cer-NDS(d24:0/35:1)-H,886.8955,854.8693,838.8744,384.3847,560.5406,544.5458,518.5306,323.3319,501.5279
