PE,[M-H]-,NL_T1Ketene&serene,NL_T2Ketene&serene,NL_T1RCOOH,NL_T2RCOOH,T1_RCOO-,T2_RCOO-, Glycerol-3-phosphate_NLH2O,H2PO4-,PO3-,EthanolaminePhosphate,EthanolaminePhosphate_NLH2O
PE(8:0_24:1)-H,688.49232,562.38785,340.15305,544.37729,322.14249,143.10775,365.34255,152.99586,96.96964,78.95852,140.01128,122.0007
PE(8:0_25:0)-H,704.52362,578.41915,340.15305,560.40859,322.14249,143.10775,381.37385,152.99586,96.96964,78.95852,140.01128,122.0007
PE(8:0_26:0)-H,718.53922,592.43475,340.15305,574.42419,322.14249,143.10775,395.38945,152.99586,96.96964,78.95852,140.01128,122.0007
PE(10:0_10:0)-H,522.32012,368.18435,368.18435,350.17379,350.17379,171.13905,171.13905,152.99586,96.96964,78.95852,140.01128,122.0007
PE(10:0_12:0)-H,550.35142,396.21565,368.18435,378.20509,350.17379,171.13905,199.17035,152.99586,96.96964,78.95852,140.01128,122.0007
PE(10:0_13:0)-H,564.36712,410.23135,368.18435,392.22079,350.17379,171.13905,213.18605,152.99586,96.96964,78.95852,140.01128,122.0007
PE(10:0_14:0)-H,578.38272,424.24695,368.18435,406.23639,350.17379,171.13905,227.20165,152.99586,96.96964,78.95852,140.01128,122.0007
PE(10:0_14:1)-H,576.36712,422.23135,368.18435,404.22079,350.17379,171.13905,225.18605,152.99586,96.96964,78.95852,140.01128,122.0007
PE(10:0_15:0)-H,592.39842,438.26265,368.18435,420.25209,350.17379,171.13905,241.21735,152.99586,96.96964,78.95852,140.01128,122.0007
PE(10:0_15:1)-H,590.38272,436.24695,368.18435,418.23639,350.17379,171.13905,239.20165,152.99586,96.96964,78.95852,140.01128,122.0007
PE(10:0_16:0)-H,606.41402,452.27825,368.18435,434.26769,350.17379,171.13905,255.23295,152.99586,96.96964,78.95852,140.01128,122.0007
PE(10:0_16:1)-H,604.39842,450.26265,368.18435,432.25209,350.17379,171.13905,253.21735,152.99586,96.96964,78.95852,140.01128,122.0007
PE(10:0_17:0)-H,620.42972,466.29395,368.18435,448.28339,350.17379,171.13905,269.24865,152.99586,96.96964,78.95852,140.01128,122.0007
PE(10:0_17:1)-H,618.41402,464.27825,368.18435,446.26769,350.17379,171.13905,267.23295,152.99586,96.96964,78.95852,140.01128,122.0007
