Plasmenyl-PS,[M-H]-,M-Serine,NL_T2Ketene&serene,NL_T2RCOOH,T2_RCOO-, Glycerol-3-phosphate_NLH2O,H2PO4-,PO3-
Plasmenyl-PS(P-16:0/10:0)-H,634.40891,547.37689,393.24112,375.23056,171.13905,152.99586,96.96964,78.95852
Plasmenyl-PS(P-16:0/12:0)-H,662.44021,575.40819,393.24112,375.23056,199.17035,152.99586,96.96964,78.95852
Plasmenyl-PS(P-16:0/13:0)-H,676.45591,589.42389,393.24112,375.23056,213.18605,152.99586,96.96964,78.95852
Plasmenyl-PS(P-16:0/14:0)-H,690.47151,603.43949,393.24112,375.23056,227.20165,152.99586,96.96964,78.95852
Plasmenyl-PS(P-16:0/14:1)-H,688.45591,601.42389,393.24112,375.23056,225.18605,152.99586,96.96964,78.95852
Plasmenyl-PS(P-16:0/15:0)-H,704.48721,617.45519,393.24112,375.23056,241.21735,152.99586,96.96964,78.95852
Plasmenyl-PS(P-16:0/15:1)-H,702.47151,615.43949,393.24112,375.23056,239.20165,152.99586,96.96964,78.95852
Plasmenyl-PS(P-16:0/16:0)-H,718.50281,631.47079,393.24112,375.23056,255.23295,152.99586,96.96964,78.95852
Plasmenyl-PS(P-16:0/16:1)-H,716.48721,629.45519,393.24112,375.23056,253.21735,152.99586,96.96964,78.95852
Plasmenyl-PS(P-16:0/17:0)-H,732.51851,645.48649,393.24112,375.23056,269.24865,152.99586,96.96964,78.95852
Plasmenyl-PS(P-16:0/17:1)-H,730.50281,643.47079,393.24112,375.23056,267.23295,152.99586,96.96964,78.95852
Plasmenyl-PS(P-16:0/17:2)-H,728.48721,641.45519,393.24112,375.23056,265.21735,152.99586,96.96964,78.95852
Plasmenyl-PS(P-16:0/18:0)-H,746.53411,659.50209,393.24112,375.23056,283.26425,152.99586,96.96964,78.95852
Plasmenyl-PS(P-16:0/18:1)-H,744.51851,657.48649,393.24112,375.23056,281.24865,152.99586,96.96964,78.95852
Plasmenyl-PS(P-16:0/18:2)-H,742.50281,655.47079,393.24112,375.23056,279.23295,152.99586,96.96964,78.95852
Plasmenyl-PS(P-16:0/18:3)-H,740.48721,653.45519,393.24112,375.23056,277.21735,152.99586,96.96964,78.95852
Plasmenyl-PS(P-16:0/18:4)-H,738.47151,651.43949,393.24112,375.23056,275.20165,152.99586,96.96964,78.95852
