PE,[M+Na]+,PreCursor -43,PreCursor -141,M+Na-43-SN1-H acyl loss,M+Na-43-SN2-H acyl loss,phosphoethanolamine+Na
PE(10:0_21:0)+Na,700.4888178,657.4466178,559.4697235,485.3004378,331.1282378,164.00888
PE(10:0_22:0)+Na,714.5044178,671.4622178,573.4853235,499.3160378,331.1282378,164.00888
PE(10:0_22:1)+Na,712.4888178,669.4466178,571.4697235,497.3004378,331.1282378,164.00888
PE(10:0_22:2)+Na,710.4731178,667.4309178,569.4540235,495.2847378,331.1282378,164.00888
PE(10:0_22:3)+Na,708.4575178,665.4153178,567.4384235,493.2691378,331.1282378,164.00888
PE(10:0_22:4)+Na,706.4418178,663.3996178,565.4227235,491.2534378,331.1282378,164.00888
PE(10:0_22:5)+Na,704.4262178,661.3840178,563.4071235,489.2378378,331.1282378,164.00888
PE(10:0_22:6)+Na,702.4105178,659.3683178,561.3914235,487.2221378,331.1282378,164.00888
PE(10:0_23:0)+Na,728.5201178,685.4779178,587.5010235,513.3317378,331.1282378,164.00888
PE(10:0_24:0)+Na,742.5357178,699.4935178,601.5166235,527.3473378,331.1282378,164.00888
PE(10:0_24:1)+Na,740.5201178,697.4779178,599.5010235,525.3317378,331.1282378,164.00888
PE(10:0_25:0)+Na,756.5514178,713.5092178,615.5323235,541.3630378,331.1282378,164.00888
PE(10:0_26:0)+Na,770.5670178,727.5248178,629.5479235,555.3786378,331.1282378,164.00888
PE(12:0_12:0)+Na,602.3792178,559.3370178,461.3601235,359.1595378,359.1595378,164.00888
PE(12:0_13:0)+Na,616.3949178,573.3527178,475.3758235,373.1752378,359.1595378,164.00888
PE(12:0_14:0)+Na,630.4105178,587.3683178,489.3914235,387.1908378,359.1595378,164.00888
PE(12:0_14:1)+Na,628.3949178,585.3527178,487.3758235,385.1752378,359.1595378,164.00888
PE(12:0_15:0)+Na,644.4262178,601.3840178,503.4071235,401.2065378,359.1595378,164.00888
PE(12:0_15:1)+Na,642.4105178,599.3683178,501.3914235,399.1908378,359.1595378,164.00888
PE(12:0_16:0)+Na,658.4418178,615.3996178,517.4227235,415.2221378,359.1595378,164.00888
PE(12:0_16:1)+Na,656.4262178,613.3840178,515.4071235,413.2065378,359.1595378,164.00888
PE(12:0_17:0)+Na,672.4575178,629.4153178,531.4384235,429.2378378,359.1595378,164.00888
PE(12:0_17:1)+Na,670.4418178,627.3996178,529.4227235,427.2221378,359.1595378,164.00888
PE(12:0_17:2)+Na,668.4262178,625.3840178,527.4071235,425.2065378,359.1595378,164.00888
PE(12:0_18:0)+Na,686.4731178,643.4309178,545.4540235,443.2534378,359.1595378,164.00888
PE(12:0_18:1)+Na,684.4575178,641.4153178,543.4384235,441.2378378,359.1595378,164.00888
PE(12:0_18:2)+Na,682.4418178,639.3996178,541.4227235,439.2221378,359.1595378,164.00888
PE(12:0_18:3)+Na,680.4262178,637.3840178,539.4071235,437.2065378,359.1595378,164.00888
PE(12:0_18:4)+Na,678.4105178,635.3683178,537.3914235,435.1908378,359.1595378,164.00888
PE(12:0_19:0)+Na,700.4888178,657.4466178,559.4697235,457.2691378,359.1595378,164.00888
PE(12:0_20:0)+Na,714.5044178,671.4622178,573.4853235,471.2847378,359.1595378,164.00888
PE(12:0_20:1)+Na,712.4888178,669.4466178,571.4697235,469.2691378,359.1595378,164.00888
PE(12:0_20:2)+Na,710.4731178,667.4309178,569.4540235,467.2534378,359.1595378,164.00888
PE(12:0_20:3)+Na,708.4575178,665.4153178,567.4384235,465.2378378,359.1595378,164.00888
PE(12:0_20:4)+Na,706.4418178,663.3996178,565.4227235,463.2221378,359.1595378,164.00888
PE(12:0_20:5)+Na,704.4262178,661.3840178,563.4071235,461.2065378,359.1595378,164.00888
PE(12:0_21:0)+Na,728.5201178,685.4779178,587.5010235,485.3004378,359.1595378,164.00888
PE(12:0_22:0)+Na,742.5357178,699.4935178,601.5166235,499.3160378,359.1595378,164.00888
PE(12:0_22:1)+Na,740.5201178,697.4779178,599.5010235,497.3004378,359.1595378,164.00888
PE(12:0_22:2)+Na,738.5044178,695.4622178,597.4853235,495.2847378,359.1595378,164.00888
PE(12:0_22:3)+Na,736.4888178,693.4466178,595.4697235,493.2691378,359.1595378,164.00888
PE(12:0_22:4)+Na,734.4731178,691.4309178,593.4540235,491.2534378,359.1595378,164.00888
PE(12:0_22:5)+Na,732.4575178,689.4153178,591.4384235,489.2378378,359.1595378,164.00888
PE(12:0_22:6)+Na,730.4418178,687.3996178,589.4227235,487.2221378,359.1595378,164.00888
PE(12:0_23:0)+Na,756.5514178,713.5092178,615.5323235,513.3317378,359.1595378,164.00888
PE(12:0_24:0)+Na,770.5670178,727.5248178,629.5479235,527.3473378,359.1595378,164.00888
PE(12:0_24:1)+Na,768.5514178,725.5092178,627.5323235,525.3317378,359.1595378,164.00888
PE(12:0_25:0)+Na,784.5827178,741.5405178,643.5636235,541.3630378,359.1595378,164.00888
PE(12:0_26:0)+Na,798.5983178,755.5561178,657.5792235,555.3786378,359.1595378,164.00888
PE(13:0_13:0)+Na,630.4106178,587.3684178,489.3915235,373.1752378,373.1752378,164.00888
PE(13:0_14:0)+Na,644.4262178,601.3840178,503.4071235,387.1908378,373.1752378,164.00888
PE(13:0_14:1)+Na,642.4106178,599.3684178,501.3915235,385.1752378,373.1752378,164.00888
PE(13:0_15:0)+Na,658.4419178,615.3997178,517.4228235,401.2065378,373.1752378,164.00888
PE(13:0_15:1)+Na,656.4262178,613.3840178,515.4071235,399.1908378,373.1752378,164.00888
PE(13:0_16:0)+Na,672.4575178,629.4153178,531.4384235,415.2221378,373.1752378,164.00888
PE(13:0_16:1)+Na,670.4419178,627.3997178,529.4228235,413.2065378,373.1752378,164.00888
PE(13:0_17:0)+Na,686.4732178,643.4310178,545.4541235,429.2378378,373.1752378,164.00888
