PA,[M+H]+,NL_head,NL_T1_RCOOH,NL_T2_RCOOH,T1_RCO+,T2_RCO+
PA(10:0_24:0)+H,677.5116,579.53469,425.39894,229.17984,155.14305,351.36215
PA(10:0_24:1)+H,675.496,577.51909,423.38334,229.17984,155.14305,349.34655
PA(10:0_25:0)+H,691.5273,593.55039,439.41464,229.17984,155.14305,365.37785
PA(10:0_26:0)+H,705.5429,607.56599,453.43024,229.17984,155.14305,379.39345
PA(12:0_12:0)+H,537.3551,439.37819,257.21114,257.21114,183.17435,183.17435
PA(12:0_13:0)+H,551.3708,453.39389,271.22684,257.21114,183.17435,197.19005
PA(12:0_14:0)+H,565.3864,467.40949,285.24244,257.21114,183.17435,211.20565
PA(12:0_14:1)+H,563.3708,465.39389,283.22684,257.21114,183.17435,209.19005
PA(12:0_15:0)+H,579.4021,481.42519,299.25814,257.21114,183.17435,225.22135
PA(12:0_15:1)+H,577.3864,479.40949,297.24244,257.21114,183.17435,223.20565
PA(12:0_16:0)+H,593.4177,495.44079,313.27374,257.21114,183.17435,239.23695
PA(12:0_16:1)+H,591.4021,493.42519,311.25814,257.21114,183.17435,237.22135
PA(12:0_17:0)+H,607.4334,509.45649,327.28944,257.21114,183.17435,253.25265
PA(12:0_17:1)+H,605.4177,507.44079,325.27374,257.21114,183.17435,251.23695
PA(12:0_17:2)+H,603.4021,505.42519,323.25814,257.21114,183.17435,249.22135
PA(12:0_18:0)+H,621.449,523.47209,341.30504,257.21114,183.17435,267.26825
PA(12:0_18:1)+H,619.4334,521.45649,339.28944,257.21114,183.17435,265.25265
PA(12:0_18:2)+H,617.4177,519.44079,337.27374,257.21114,183.17435,263.23695
PA(12:0_18:3)+H,615.4021,517.42519,335.25814,257.21114,183.17435,261.22135
PA(12:0_18:4)+H,613.3864,515.40949,333.24244,257.21114,183.17435,259.20565
PA(12:0_19:0)+H,635.4647,537.48779,355.32074,257.21114,183.17435,281.28395
PA(12:0_20:0)+H,649.4803,551.50339,369.33634,257.21114,183.17435,295.29955
PA(12:0_20:1)+H,647.4647,549.48779,367.32074,257.21114,183.17435,293.28395
PA(12:0_20:2)+H,645.449,547.47209,365.30504,257.21114,183.17435,291.26825
PA(12:0_20:3)+H,643.4334,545.45649,363.28944,257.21114,183.17435,289.25265
PA(12:0_20:4)+H,641.4177,543.44079,361.27374,257.21114,183.17435,287.23695
PA(12:0_20:5)+H,639.4021,541.42519,359.25814,257.21114,183.17435,285.22135
PA(12:0_21:0)+H,663.496,565.51909,383.35204,257.21114,183.17435,309.31525
PA(12:0_22:0)+H,677.5116,579.53469,397.36764,257.21114,183.17435,323.33085
PA(12:0_22:1)+H,675.496,577.51909,395.35204,257.21114,183.17435,321.31525
PA(12:0_22:2)+H,673.4803,575.50339,393.33634,257.21114,183.17435,319.29955
PA(12:0_22:3)+H,671.4647,573.48779,391.32074,257.21114,183.17435,317.28395
PA(12:0_22:4)+H,669.449,571.47209,389.30504,257.21114,183.17435,315.26825
PA(12:0_22:5)+H,667.4334,569.45649,387.28944,257.21114,183.17435,313.25265
PA(12:0_22:6)+H,665.4177,567.44079,385.27374,257.21114,183.17435,311.23695
PA(12:0_23:0)+H,691.5273,593.55039,411.38334,257.21114,183.17435,337.34655
PA(12:0_24:0)+H,705.5429,607.56599,425.39894,257.21114,183.17435,351.36215
PA(12:0_24:1)+H,703.5273,605.55039,423.38334,257.21114,183.17435,349.34655
PA(12:0_25:0)+H,719.5586,621.58169,439.41464,257.21114,183.17435,365.37785
PA(12:0_26:0)+H,733.5742,635.59729,453.43024,257.21114,183.17435,379.39345
PA(13:0_13:0)+H,565.3865,467.40959,271.22684,271.22684,197.19005,197.19005
PA(13:0_14:0)+H,579.4021,481.42519,285.24244,271.22684,197.19005,211.20565
PA(13:0_14:1)+H,577.3865,479.40959,283.22684,271.22684,197.19005,209.19005
PA(13:0_15:0)+H,593.4178,495.44089,299.25814,271.22684,197.19005,225.22135
