PA,[M+H]+,NL_head,NL_T1_RCOOH,NL_T2_RCOOH,T1_RCO+,T2_RCO+
PA(16:1_18:0)+H,675.496,577.51909,341.30504,311.25814,237.22135,267.26825
PA(16:1_18:1)+H,673.4804,575.50349,339.28944,311.25814,237.22135,265.25265
PA(16:1_18:2)+H,671.4647,573.48779,337.27374,311.25814,237.22135,263.23695
PA(16:1_18:3)+H,669.4491,571.47219,335.25814,311.25814,237.22135,261.22135
PA(16:1_18:4)+H,667.4334,569.45649,333.24244,311.25814,237.22135,259.20565
PA(16:1_19:0)+H,689.5117,591.53479,355.32074,311.25814,237.22135,281.28395
PA(16:1_20:0)+H,703.5273,605.55039,369.33634,311.25814,237.22135,295.29955
PA(16:1_20:1)+H,701.5117,603.53479,367.32074,311.25814,237.22135,293.28395
PA(16:1_20:2)+H,699.496,601.51909,365.30504,311.25814,237.22135,291.26825
PA(16:1_20:3)+H,697.4804,599.50349,363.28944,311.25814,237.22135,289.25265
PA(16:1_20:4)+H,695.4647,597.48779,361.27374,311.25814,237.22135,287.23695
PA(16:1_20:5)+H,693.4491,595.47219,359.25814,311.25814,237.22135,285.22135
PA(16:1_21:0)+H,717.543,619.56609,383.35204,311.25814,237.22135,309.31525
PA(16:1_22:0)+H,731.5586,633.58169,397.36764,311.25814,237.22135,323.33085
PA(16:1_22:1)+H,729.543,631.56609,395.35204,311.25814,237.22135,321.31525
PA(16:1_22:2)+H,727.5273,629.55039,393.33634,311.25814,237.22135,319.29955
PA(16:1_22:3)+H,725.5117,627.53479,391.32074,311.25814,237.22135,317.28395
PA(16:1_22:4)+H,723.496,625.51909,389.30504,311.25814,237.22135,315.26825
PA(16:1_22:5)+H,721.4804,623.50349,387.28944,311.25814,237.22135,313.25265
PA(16:1_22:6)+H,719.4647,621.48779,385.27374,311.25814,237.22135,311.23695
PA(16:1_23:0)+H,745.5743,647.59739,411.38334,311.25814,237.22135,337.34655
PA(16:1_24:0)+H,759.5899,661.61299,425.39894,311.25814,237.22135,351.36215
PA(16:1_24:1)+H,757.5743,659.59739,423.38334,311.25814,237.22135,349.34655
PA(16:1_25:0)+H,773.6056,675.62869,439.41464,311.25814,237.22135,365.37785
PA(16:1_26:0)+H,787.6212,689.64429,453.43024,311.25814,237.22135,379.39345
PA(17:0_17:0)+H,677.5117,579.53479,327.28944,327.28944,253.25265,253.25265
PA(17:0_17:1)+H,675.496,577.51909,325.27374,327.28944,253.25265,251.23695
PA(17:0_17:2)+H,673.4804,575.50349,323.25814,327.28944,253.25265,249.22135
PA(17:0_18:0)+H,691.5273,593.55039,341.30504,327.28944,253.25265,267.26825
PA(17:0_18:1)+H,689.5117,591.53479,339.28944,327.28944,253.25265,265.25265
PA(17:0_18:2)+H,687.496,589.51909,337.27374,327.28944,253.25265,263.23695
PA(17:0_18:3)+H,685.4804,587.50349,335.25814,327.28944,253.25265,261.22135
PA(17:0_18:4)+H,683.4647,585.48779,333.24244,327.28944,253.25265,259.20565
PA(17:0_19:0)+H,705.543,607.56609,355.32074,327.28944,253.25265,281.28395
PA(17:0_20:0)+H,719.5586,621.58169,369.33634,327.28944,253.25265,295.29955
PA(17:0_20:1)+H,717.543,619.56609,367.32074,327.28944,253.25265,293.28395
PA(17:0_20:2)+H,715.5273,617.55039,365.30504,327.28944,253.25265,291.26825
PA(17:0_20:3)+H,713.5117,615.53479,363.28944,327.28944,253.25265,289.25265
PA(17:0_20:4)+H,711.496,613.51909,361.27374,327.28944,253.25265,287.23695
PA(17:0_20:5)+H,709.4804,611.50349,359.25814,327.28944,253.25265,285.22135
PA(17:0_21:0)+H,733.5743,635.59739,383.35204,327.28944,253.25265,309.31525
PA(17:0_22:0)+H,747.5899,649.61299,397.36764,327.28944,253.25265,323.33085
PA(17:0_22:1)+H,745.5743,647.59739,395.35204,327.28944,253.25265,321.31525
PA(17:0_22:2)+H,743.5586,645.58169,393.33634,327.28944,253.25265,319.29955
PA(17:0_22:3)+H,741.543,643.56609,391.32074,327.28944,253.25265,317.28395
PA(17:0_22:4)+H,739.5273,641.55039,389.30504,327.28944,253.25265,315.26825
PA(17:0_22:5)+H,737.5117,639.53479,387.28944,327.28944,253.25265,313.25265
PA(17:0_22:6)+H,735.496,637.51909,385.27374,327.28944,253.25265,311.23695
PA(17:0_23:0)+H,761.6056,663.62869,411.38334,327.28944,253.25265,337.34655
PA(17:0_24:0)+H,775.6212,677.64429,425.39894,327.28944,253.25265,351.36215
PA(17:0_24:1)+H,773.6056,675.62869,423.38334,327.28944,253.25265,349.34655
PA(17:0_25:0)+H,789.6369,691.65999,439.41464,327.28944,253.25265,365.37785
PA(17:0_26:0)+H,803.6525,705.67559,453.43024,327.28944,253.25265,379.39345
PA(17:1_17:1)+H,673.4803,575.50339,325.27374,325.27374,251.23695,251.23695
PA(17:1_17:2)+H,671.4647,573.48779,323.25814,325.27374,251.23695,249.22135
PA(17:1_18:0)+H,689.5116,591.53469,341.30504,325.27374,251.23695,267.26825
PA(17:1_18:1)+H,687.496,589.51909,339.28944,325.27374,251.23695,265.25265
PA(17:1_18:2)+H,685.4803,587.50339,337.27374,325.27374,251.23695,263.23695
PA(17:1_18:3)+H,683.4647,585.48779,335.25814,325.27374,251.23695,261.22135
PA(17:1_18:4)+H,681.449,583.47209,333.24244,325.27374,251.23695,259.20565
PA(17:1_19:0)+H,703.5273,605.55039,355.32074,325.27374,251.23695,281.28395
PA(17:1_20:0)+H,717.5429,619.56599,369.33634,325.27374,251.23695,295.29955
PA(17:1_20:1)+H,715.5273,617.55039,367.32074,325.27374,251.23695,293.28395
PA(17:1_20:2)+H,713.5116,615.53469,365.30504,325.27374,251.23695,291.26825
PA(17:1_20:3)+H,711.496,613.51909,363.28944,325.27374,251.23695,289.25265
PA(17:1_20:4)+H,709.4803,611.50339,361.27374,325.27374,251.23695,287.23695
PA(17:1_20:5)+H,707.4647,609.48779,359.25814,325.27374,251.23695,285.22135
PA(17:1_21:0)+H,731.5586,633.58169,383.35204,325.27374,251.23695,309.31525
PA(17:1_22:0)+H,745.5742,647.59729,397.36764,325.27374,251.23695,323.33085
PA(17:1_22:1)+H,743.5586,645.58169,395.35204,325.27374,251.23695,321.31525
PA(17:1_22:2)+H,741.5429,643.56599,393.33634,325.27374,251.23695,319.29955
PA(17:1_22:3)+H,739.5273,641.55039,391.32074,325.27374,251.23695,317.28395
PA(17:1_22:4)+H,737.5116,639.53469,389.30504,325.27374,251.23695,315.26825
PA(17:1_22:5)+H,735.496,637.51909,387.28944,325.27374,251.23695,313.25265
PA(17:1_22:6)+H,733.4803,635.50339,385.27374,325.27374,251.23695,311.23695
PA(17:1_23:0)+H,759.5899,661.61299,411.38334,325.27374,251.23695,337.34655
PA(17:1_24:0)+H,773.6055,675.62859,425.39894,325.27374,251.23695,351.36215
PA(17:1_24:1)+H,771.5899,673.61299,423.38334,325.27374,251.23695,349.34655
PA(17:1_25:0)+H,787.6212,689.64429,439.41464,325.27374,251.23695,365.37785
PA(17:1_26:0)+H,801.6368,703.65989,453.43024,325.27374,251.23695,379.39345
PA(17:2_17:2)+H,669.4491,571.47219,323.25814,323.25814,249.22135,249.22135
PA(17:2_18:0)+H,687.496,589.51909,341.30504,323.25814,249.22135,267.26825
PA(17:2_18:1)+H,685.4804,587.50349,339.28944,323.25814,249.22135,265.25265
PA(17:2_18:2)+H,683.4647,585.48779,337.27374,323.25814,249.22135,263.23695
PA(17:2_18:3)+H,681.4491,583.47219,335.25814,323.25814,249.22135,261.22135
PA(17:2_18:4)+H,679.4334,581.45649,333.24244,323.25814,249.22135,259.20565
PA(17:2_19:0)+H,701.5117,603.53479,355.32074,323.25814,249.22135,281.28395
PA(17:2_20:0)+H,715.5273,617.55039,369.33634,323.25814,249.22135,295.29955
PA(17:2_20:1)+H,713.5117,615.53479,367.32074,323.25814,249.22135,293.28395
PA(17:2_20:2)+H,711.496,613.51909,365.30504,323.25814,249.22135,291.26825
PA(17:2_20:3)+H,709.4804,611.50349,363.28944,323.25814,249.22135,289.25265
PA(17:2_20:4)+H,707.4647,609.48779,361.27374,323.25814,249.22135,287.23695
PA(17:2_20:5)+H,705.4491,607.47219,359.25814,323.25814,249.22135,285.22135
PA(17:2_21:0)+H,729.543,631.56609,383.35204,323.25814,249.22135,309.31525
PA(17:2_22:0)+H,743.5586,645.58169,397.36764,323.25814,249.22135,323.33085
PA(17:2_22:1)+H,741.543,643.56609,395.35204,323.25814,249.22135,321.31525
PA(17:2_22:2)+H,739.5273,641.55039,393.33634,323.25814,249.22135,319.29955
PA(17:2_22:3)+H,737.5117,639.53479,391.32074,323.25814,249.22135,317.28395
PA(17:2_22:4)+H,735.496,637.51909,389.30504,323.25814,249.22135,315.26825
PA(17:2_22:5)+H,733.4804,635.50349,387.28944,323.25814,249.22135,313.25265
PA(17:2_22:6)+H,731.4647,633.48779,385.27374,323.25814,249.22135,311.23695
PA(17:2_23:0)+H,757.5743,659.59739,411.38334,323.25814,249.22135,337.34655
PA(17:2_24:0)+H,771.5899,673.61299,425.39894,323.25814,249.22135,351.36215
PA(17:2_24:1)+H,769.5743,671.59739,423.38334,323.25814,249.22135,349.34655
PA(17:2_25:0)+H,785.6056,687.62869,439.41464,323.25814,249.22135,365.37785
PA(17:2_26:0)+H,799.6212,701.64429,453.43024,323.25814,249.22135,379.39345
PA(18:0_18:0)+H,705.5429,607.56599,341.30504,341.30504,267.26825,267.26825
PA(18:0_18:1)+H,703.5273,605.55039,339.28944,341.30504,267.26825,265.25265
PA(18:0_18:2)+H,701.5116,603.53469,337.27374,341.30504,267.26825,263.23695
PA(18:0_18:3)+H,699.496,601.51909,335.25814,341.30504,267.26825,261.22135
PA(18:0_18:4)+H,697.4803,599.50339,333.24244,341.30504,267.26825,259.20565
PA(18:0_19:0)+H,719.5586,621.58169,355.32074,341.30504,267.26825,281.28395
PA(18:0_20:0)+H,733.5742,635.59729,369.33634,341.30504,267.26825,295.29955
PA(18:0_20:1)+H,731.5586,633.58169,367.32074,341.30504,267.26825,293.28395
PA(18:0_20:2)+H,729.5429,631.56599,365.30504,341.30504,267.26825,291.26825
PA(18:0_20:3)+H,727.5273,629.55039,363.28944,341.30504,267.26825,289.25265
PA(18:0_20:4)+H,725.5116,627.53469,361.27374,341.30504,267.26825,287.23695
PA(18:0_20:5)+H,723.496,625.51909,359.25814,341.30504,267.26825,285.22135
PA(18:0_21:0)+H,747.5899,649.61299,383.35204,341.30504,267.26825,309.31525
PA(18:0_22:0)+H,761.6055,663.62859,397.36764,341.30504,267.26825,323.33085
PA(18:0_22:1)+H,759.5899,661.61299,395.35204,341.30504,267.26825,321.31525
PA(18:0_22:2)+H,757.5742,659.59729,393.33634,341.30504,267.26825,319.29955
PA(18:0_22:3)+H,755.5586,657.58169,391.32074,341.30504,267.26825,317.28395
PA(18:0_22:4)+H,753.5429,655.56599,389.30504,341.30504,267.26825,315.26825
PA(18:0_22:5)+H,751.5273,653.55039,387.28944,341.30504,267.26825,313.25265
PA(18:0_22:6)+H,749.5116,651.53469,385.27374,341.30504,267.26825,311.23695
PA(18:0_23:0)+H,775.6212,677.64429,411.38334,341.30504,267.26825,337.34655
PA(18:0_24:0)+H,789.6368,691.65989,425.39894,341.30504,267.26825,351.36215
PA(18:0_24:1)+H,787.6212,689.64429,423.38334,341.30504,267.26825,349.34655
PA(18:0_25:0)+H,803.6525,705.67559,439.41464,341.30504,267.26825,365.37785
PA(18:0_26:0)+H,817.6681,719.69119,453.43024,341.30504,267.26825,379.39345
PA(18:1_18:1)+H,701.5117,603.53479,339.28944,339.28944,265.25265,265.25265
PA(18:1_18:2)+H,699.496,601.51909,337.27374,339.28944,265.25265,263.23695
PA(18:1_18:3)+H,697.4804,599.50349,335.25814,339.28944,265.25265,261.22135
PA(18:1_18:4)+H,695.4647,597.48779,333.24244,339.28944,265.25265,259.20565
PA(18:1_19:0)+H,717.543,619.56609,355.32074,339.28944,265.25265,281.28395
PA(18:1_20:0)+H,731.5586,633.58169,369.33634,339.28944,265.25265,295.29955
PA(18:1_20:1)+H,729.543,631.56609,367.32074,339.28944,265.25265,293.28395
PA(18:1_20:2)+H,727.5273,629.55039,365.30504,339.28944,265.25265,291.26825
PA(18:1_20:3)+H,725.5117,627.53479,363.28944,339.28944,265.25265,289.25265
PA(18:1_20:4)+H,723.496,625.51909,361.27374,339.28944,265.25265,287.23695
PA(18:1_20:5)+H,721.4804,623.50349,359.25814,339.28944,265.25265,285.22135
PA(18:1_21:0)+H,745.5743,647.59739,383.35204,339.28944,265.25265,309.31525
PA(18:1_22:0)+H,759.5899,661.61299,397.36764,339.28944,265.25265,323.33085
PA(18:1_22:1)+H,757.5743,659.59739,395.35204,339.28944,265.25265,321.31525
PA(18:1_22:2)+H,755.5586,657.58169,393.33634,339.28944,265.25265,319.29955
PA(18:1_22:3)+H,753.543,655.56609,391.32074,339.28944,265.25265,317.28395
PA(18:1_22:4)+H,751.5273,653.55039,389.30504,339.28944,265.25265,315.26825
PA(18:1_22:5)+H,749.5117,651.53479,387.28944,339.28944,265.25265,313.25265
PA(18:1_22:6)+H,747.496,649.51909,385.27374,339.28944,265.25265,311.23695
PA(18:1_23:0)+H,773.6056,675.62869,411.38334,339.28944,265.25265,337.34655
PA(18:1_24:0)+H,787.6212,689.64429,425.39894,339.28944,265.25265,351.36215
PA(18:1_24:1)+H,785.6056,687.62869,423.38334,339.28944,265.25265,349.34655
PA(18:1_25:0)+H,801.6369,703.65999,439.41464,339.28944,265.25265,365.37785
PA(18:1_26:0)+H,815.6525,717.67559,453.43024,339.28944,265.25265,379.39345
PA(18:2_18:2)+H,697.4803,599.50339,337.27374,337.27374,263.23695,263.23695
PA(18:2_18:3)+H,695.4647,597.48779,335.25814,337.27374,263.23695,261.22135
PA(18:2_18:4)+H,693.449,595.47209,333.24244,337.27374,263.23695,259.20565
PA(18:2_19:0)+H,715.5273,617.55039,355.32074,337.27374,263.23695,281.28395
PA(18:2_20:0)+H,729.5429,631.56599,369.33634,337.27374,263.23695,295.29955
PA(18:2_20:1)+H,727.5273,629.55039,367.32074,337.27374,263.23695,293.28395
PA(18:2_20:2)+H,725.5116,627.53469,365.30504,337.27374,263.23695,291.26825
PA(18:2_20:3)+H,723.496,625.51909,363.28944,337.27374,263.23695,289.25265
PA(18:2_20:4)+H,721.4803,623.50339,361.27374,337.27374,263.23695,287.23695
PA(18:2_20:5)+H,719.4647,621.48779,359.25814,337.27374,263.23695,285.22135
PA(18:2_21:0)+H,743.5586,645.58169,383.35204,337.27374,263.23695,309.31525
PA(18:2_22:0)+H,757.5742,659.59729,397.36764,337.27374,263.23695,323.33085
PA(18:2_22:1)+H,755.5586,657.58169,395.35204,337.27374,263.23695,321.31525
PA(18:2_22:2)+H,753.5429,655.56599,393.33634,337.27374,263.23695,319.29955
PA(18:2_22:3)+H,751.5273,653.55039,391.32074,337.27374,263.23695,317.28395
PA(18:2_22:4)+H,749.5116,651.53469,389.30504,337.27374,263.23695,315.26825
PA(18:2_22:5)+H,747.496,649.51909,387.28944,337.27374,263.23695,313.25265
PA(18:2_22:6)+H,745.4803,647.50339,385.27374,337.27374,263.23695,311.23695
PA(18:2_23:0)+H,771.5899,673.61299,411.38334,337.27374,263.23695,337.34655
PA(18:2_24:0)+H,785.6055,687.62859,425.39894,337.27374,263.23695,351.36215
PA(18:2_24:1)+H,783.5899,685.61299,423.38334,337.27374,263.23695,349.34655
PA(18:2_25:0)+H,799.6212,701.64429,439.41464,337.27374,263.23695,365.37785
PA(18:2_26:0)+H,813.6368,715.65989,453.43024,337.27374,263.23695,379.39345
PA(18:3_18:3)+H,693.4491,595.47219,335.25814,335.25814,261.22135,261.22135
PA(18:3_18:4)+H,691.4334,593.45649,333.24244,335.25814,261.22135,259.20565
PA(18:3_19:0)+H,713.5117,615.53479,355.32074,335.25814,261.22135,281.28395
PA(18:3_20:0)+H,727.5273,629.55039,369.33634,335.25814,261.22135,295.29955
PA(18:3_20:1)+H,725.5117,627.53479,367.32074,335.25814,261.22135,293.28395
PA(18:3_20:2)+H,723.496,625.51909,365.30504,335.25814,261.22135,291.26825
PA(18:3_20:3)+H,721.4804,623.50349,363.28944,335.25814,261.22135,289.25265
PA(18:3_20:4)+H,719.4647,621.48779,361.27374,335.25814,261.22135,287.23695
PA(18:3_20:5)+H,717.4491,619.47219,359.25814,335.25814,261.22135,285.22135
PA(18:3_21:0)+H,741.543,643.56609,383.35204,335.25814,261.22135,309.31525
PA(18:3_22:0)+H,755.5586,657.58169,397.36764,335.25814,261.22135,323.33085
PA(18:3_22:1)+H,753.543,655.56609,395.35204,335.25814,261.22135,321.31525
PA(18:3_22:2)+H,751.5273,653.55039,393.33634,335.25814,261.22135,319.29955
PA(18:3_22:3)+H,749.5117,651.53479,391.32074,335.25814,261.22135,317.28395
PA(18:3_22:4)+H,747.496,649.51909,389.30504,335.25814,261.22135,315.26825
PA(18:3_22:5)+H,745.4804,647.50349,387.28944,335.25814,261.22135,313.25265
PA(18:3_22:6)+H,743.4647,645.48779,385.27374,335.25814,261.22135,311.23695
PA(18:3_23:0)+H,769.5743,671.59739,411.38334,335.25814,261.22135,337.34655
PA(18:3_24:0)+H,783.5899,685.61299,425.39894,335.25814,261.22135,351.36215
PA(18:3_24:1)+H,781.5743,683.59739,423.38334,335.25814,261.22135,349.34655
PA(18:3_25:0)+H,797.6056,699.62869,439.41464,335.25814,261.22135,365.37785
PA(18:3_26:0)+H,811.6212,713.64429,453.43024,335.25814,261.22135,379.39345
PA(18:4_18:4)+H,689.4177,591.44079,333.24244,333.24244,259.20565,259.20565
PA(18:4_19:0)+H,711.496,613.51909,355.32074,333.24244,259.20565,281.28395
PA(18:4_20:0)+H,725.5116,627.53469,369.33634,333.24244,259.20565,295.29955
PA(18:4_20:1)+H,723.496,625.51909,367.32074,333.24244,259.20565,293.28395
PA(18:4_20:2)+H,721.4803,623.50339,365.30504,333.24244,259.20565,291.26825
PA(18:4_20:3)+H,719.4647,621.48779,363.28944,333.24244,259.20565,289.25265
PA(18:4_20:4)+H,717.449,619.47209,361.27374,333.24244,259.20565,287.23695
PA(18:4_20:5)+H,715.4334,617.45649,359.25814,333.24244,259.20565,285.22135
PA(18:4_21:0)+H,739.5273,641.55039,383.35204,333.24244,259.20565,309.31525
PA(18:4_22:0)+H,753.5429,655.56599,397.36764,333.24244,259.20565,323.33085
PA(18:4_22:1)+H,751.5273,653.55039,395.35204,333.24244,259.20565,321.31525
PA(18:4_22:2)+H,749.5116,651.53469,393.33634,333.24244,259.20565,319.29955
PA(18:4_22:3)+H,747.496,649.51909,391.32074,333.24244,259.20565,317.28395
PA(18:4_22:4)+H,745.4803,647.50339,389.30504,333.24244,259.20565,315.26825
PA(18:4_22:5)+H,743.4647,645.48779,387.28944,333.24244,259.20565,313.25265
PA(18:4_22:6)+H,741.449,643.47209,385.27374,333.24244,259.20565,311.23695
PA(18:4_23:0)+H,767.5586,669.58169,411.38334,333.24244,259.20565,337.34655
PA(18:4_24:0)+H,781.5742,683.59729,425.39894,333.24244,259.20565,351.36215
PA(18:4_24:1)+H,779.5586,681.58169,423.38334,333.24244,259.20565,349.34655
PA(18:4_25:0)+H,795.5899,697.61299,439.41464,333.24244,259.20565,365.37785
PA(18:4_26:0)+H,809.6055,711.62859,453.43024,333.24244,259.20565,379.39345
PA(19:0_19:0)+H,733.5743,635.59739,355.32074,355.32074,281.28395,281.28395
PA(19:0_20:0)+H,747.5899,649.61299,369.33634,355.32074,281.28395,295.29955
PA(19:0_20:1)+H,745.5743,647.59739,367.32074,355.32074,281.28395,293.28395
PA(19:0_20:2)+H,743.5586,645.58169,365.30504,355.32074,281.28395,291.26825
PA(19:0_20:3)+H,741.543,643.56609,363.28944,355.32074,281.28395,289.25265
PA(19:0_20:4)+H,739.5273,641.55039,361.27374,355.32074,281.28395,287.23695
PA(19:0_20:5)+H,737.5117,639.53479,359.25814,355.32074,281.28395,285.22135
PA(19:0_21:0)+H,761.6056,663.62869,383.35204,355.32074,281.28395,309.31525
PA(19:0_22:0)+H,775.6212,677.64429,397.36764,355.32074,281.28395,323.33085
PA(19:0_22:1)+H,773.6056,675.62869,395.35204,355.32074,281.28395,321.31525
PA(19:0_22:2)+H,771.5899,673.61299,393.33634,355.32074,281.28395,319.29955
PA(19:0_22:3)+H,769.5743,671.59739,391.32074,355.32074,281.28395,317.28395
PA(19:0_22:4)+H,767.5586,669.58169,389.30504,355.32074,281.28395,315.26825
PA(19:0_22:5)+H,765.543,667.56609,387.28944,355.32074,281.28395,313.25265
PA(19:0_22:6)+H,763.5273,665.55039,385.27374,355.32074,281.28395,311.23695
PA(19:0_23:0)+H,789.6369,691.65999,411.38334,355.32074,281.28395,337.34655
PA(19:0_24:0)+H,803.6525,705.67559,425.39894,355.32074,281.28395,351.36215
PA(19:0_24:1)+H,801.6369,703.65999,423.38334,355.32074,281.28395,349.34655
PA(19:0_25:0)+H,817.6682,719.69129,439.41464,355.32074,281.28395,365.37785
PA(19:0_26:0)+H,831.6838,733.70689,453.43024,355.32074,281.28395,379.39345
PA(20:0_20:0)+H,761.6055,663.62859,369.33634,369.33634,295.29955,295.29955
PA(20:0_20:1)+H,759.5899,661.61299,367.32074,369.33634,295.29955,293.28395
PA(20:0_20:2)+H,757.5742,659.59729,365.30504,369.33634,295.29955,291.26825
PA(20:0_20:3)+H,755.5586,657.58169,363.28944,369.33634,295.29955,289.25265
PA(20:0_20:4)+H,753.5429,655.56599,361.27374,369.33634,295.29955,287.23695
PA(20:0_20:5)+H,751.5273,653.55039,359.25814,369.33634,295.29955,285.22135
PA(20:0_21:0)+H,775.6212,677.64429,383.35204,369.33634,295.29955,309.31525
PA(20:0_22:0)+H,789.6368,691.65989,397.36764,369.33634,295.29955,323.33085
PA(20:0_22:1)+H,787.6212,689.64429,395.35204,369.33634,295.29955,321.31525
PA(20:0_22:2)+H,785.6055,687.62859,393.33634,369.33634,295.29955,319.29955
PA(20:0_22:3)+H,783.5899,685.61299,391.32074,369.33634,295.29955,317.28395
PA(20:0_22:4)+H,781.5742,683.59729,389.30504,369.33634,295.29955,315.26825
PA(20:0_22:5)+H,779.5586,681.58169,387.28944,369.33634,295.29955,313.25265
PA(20:0_22:6)+H,777.5429,679.56599,385.27374,369.33634,295.29955,311.23695
PA(20:0_23:0)+H,803.6525,705.67559,411.38334,369.33634,295.29955,337.34655
PA(20:0_24:0)+H,817.6681,719.69119,425.39894,369.33634,295.29955,351.36215
PA(20:0_24:1)+H,815.6525,717.67559,423.38334,369.33634,295.29955,349.34655
PA(20:0_25:0)+H,831.6838,733.70689,439.41464,369.33634,295.29955,365.37785
PA(20:0_26:0)+H,845.6994,747.72249,453.43024,369.33634,295.29955,379.39345
PA(20:1_20:1)+H,757.5743,659.59739,367.32074,367.32074,293.28395,293.28395
PA(20:1_20:2)+H,755.5586,657.58169,365.30504,367.32074,293.28395,291.26825
PA(20:1_20:3)+H,753.543,655.56609,363.28944,367.32074,293.28395,289.25265
PA(20:1_20:4)+H,751.5273,653.55039,361.27374,367.32074,293.28395,287.23695
PA(20:1_20:5)+H,749.5117,651.53479,359.25814,367.32074,293.28395,285.22135
PA(20:1_21:0)+H,773.6056,675.62869,383.35204,367.32074,293.28395,309.31525
PA(20:1_22:0)+H,787.6212,689.64429,397.36764,367.32074,293.28395,323.33085
PA(20:1_22:1)+H,785.6056,687.62869,395.35204,367.32074,293.28395,321.31525
PA(20:1_22:2)+H,783.5899,685.61299,393.33634,367.32074,293.28395,319.29955
PA(20:1_22:3)+H,781.5743,683.59739,391.32074,367.32074,293.28395,317.28395
PA(20:1_22:4)+H,779.5586,681.58169,389.30504,367.32074,293.28395,315.26825
PA(20:1_22:5)+H,777.543,679.56609,387.28944,367.32074,293.28395,313.25265
PA(20:1_22:6)+H,775.5273,677.55039,385.27374,367.32074,293.28395,311.23695
PA(20:1_23:0)+H,801.6369,703.65999,411.38334,367.32074,293.28395,337.34655
PA(20:1_24:0)+H,815.6525,717.67559,425.39894,367.32074,293.28395,351.36215
PA(20:1_24:1)+H,813.6369,715.65999,423.38334,367.32074,293.28395,349.34655
PA(20:1_25:0)+H,829.6682,731.69129,439.41464,367.32074,293.28395,365.37785
PA(20:1_26:0)+H,843.6838,745.70689,453.43024,367.32074,293.28395,379.39345
PA(20:2_20:2)+H,753.5429,655.56599,365.30504,365.30504,291.26825,291.26825
PA(20:2_20:3)+H,751.5273,653.55039,363.28944,365.30504,291.26825,289.25265
PA(20:2_20:4)+H,749.5116,651.53469,361.27374,365.30504,291.26825,287.23695
PA(20:2_20:5)+H,747.496,649.51909,359.25814,365.30504,291.26825,285.22135
PA(20:2_21:0)+H,771.5899,673.61299,383.35204,365.30504,291.26825,309.31525
PA(20:2_22:0)+H,785.6055,687.62859,397.36764,365.30504,291.26825,323.33085
PA(20:2_22:1)+H,783.5899,685.61299,395.35204,365.30504,291.26825,321.31525
PA(20:2_22:2)+H,781.5742,683.59729,393.33634,365.30504,291.26825,319.29955
PA(20:2_22:3)+H,779.5586,681.58169,391.32074,365.30504,291.26825,317.28395
PA(20:2_22:4)+H,777.5429,679.56599,389.30504,365.30504,291.26825,315.26825
PA(20:2_22:5)+H,775.5273,677.55039,387.28944,365.30504,291.26825,313.25265
PA(20:2_22:6)+H,773.5116,675.53469,385.27374,365.30504,291.26825,311.23695
PA(20:2_23:0)+H,799.6212,701.64429,411.38334,365.30504,291.26825,337.34655
PA(20:2_24:0)+H,813.6368,715.65989,425.39894,365.30504,291.26825,351.36215
PA(20:2_24:1)+H,811.6212,713.64429,423.38334,365.30504,291.26825,349.34655
PA(20:2_25:0)+H,827.6525,729.67559,439.41464,365.30504,291.26825,365.37785
PA(20:2_26:0)+H,841.6681,743.69119,453.43024,365.30504,291.26825,379.39345
PA(20:3_20:3)+H,749.5117,651.53479,363.28944,363.28944,289.25265,289.25265
PA(20:3_20:4)+H,747.496,649.51909,361.27374,363.28944,289.25265,287.23695
PA(20:3_20:5)+H,745.4804,647.50349,359.25814,363.28944,289.25265,285.22135
PA(20:3_21:0)+H,769.5743,671.59739,383.35204,363.28944,289.25265,309.31525
PA(20:3_22:0)+H,783.5899,685.61299,397.36764,363.28944,289.25265,323.33085
PA(20:3_22:1)+H,781.5743,683.59739,395.35204,363.28944,289.25265,321.31525
PA(20:3_22:2)+H,779.5586,681.58169,393.33634,363.28944,289.25265,319.29955
PA(20:3_22:3)+H,777.543,679.56609,391.32074,363.28944,289.25265,317.28395
PA(20:3_22:4)+H,775.5273,677.55039,389.30504,363.28944,289.25265,315.26825
PA(20:3_22:5)+H,773.5117,675.53479,387.28944,363.28944,289.25265,313.25265
PA(20:3_22:6)+H,771.496,673.51909,385.27374,363.28944,289.25265,311.23695
PA(20:3_23:0)+H,797.6056,699.62869,411.38334,363.28944,289.25265,337.34655
PA(20:3_24:0)+H,811.6212,713.64429,425.39894,363.28944,289.25265,351.36215
PA(20:3_24:1)+H,809.6056,711.62869,423.38334,363.28944,289.25265,349.34655
PA(20:3_25:0)+H,825.6369,727.65999,439.41464,363.28944,289.25265,365.37785
PA(20:3_26:0)+H,839.6525,741.67559,453.43024,363.28944,289.25265,379.39345
PA(20:4_20:4)+H,745.4803,647.50339,361.27374,361.27374,287.23695,287.23695
PA(20:4_20:5)+H,743.4647,645.48779,359.25814,361.27374,287.23695,285.22135
PA(20:4_21:0)+H,767.5586,669.58169,383.35204,361.27374,287.23695,309.31525
PA(20:4_22:0)+H,781.5742,683.59729,397.36764,361.27374,287.23695,323.33085
PA(20:4_22:1)+H,779.5586,681.58169,395.35204,361.27374,287.23695,321.31525
PA(20:4_22:2)+H,777.5429,679.56599,393.33634,361.27374,287.23695,319.29955
PA(20:4_22:3)+H,775.5273,677.55039,391.32074,361.27374,287.23695,317.28395
