ether-TG,[M+NH4],NL R2COOH,NL R3COOH,RCO_2,RCO_3,RCO2+74.0368,RCO3+74.0368,RCO2+74-H2O,RCO3+74-H2O
plasmanyl-TG(O-16:0_8:0_24:0)+NH4,810.79095,649.64925,425.39885,127.11174,351.36214,201.1485364,425.3989364,183.1379714,407.3883714
plasmanyl-TG(O-16:0_8:0_24:1)+NH4,808.77535,647.63365,425.39885,127.11174,349.34654,201.1485364,423.3833364,183.1379714,405.3727714
plasmanyl-TG(O-16:0_8:0_25:0)+NH4,824.80665,663.66495,425.39885,127.11174,365.37784,201.1485364,439.4146364,183.1379714,421.4040714
plasmanyl-TG(O-16:0_8:0_26:0)+NH4,838.82225,677.68055,425.39885,127.11174,379.39344,201.1485364,453.4302364,183.1379714,435.4196714
plasmanyl-TG(O-16:0_10:0_10:0)+NH4,642.60315,453.43015,453.43015,155.14304,155.14304,229.1798364,229.1798364,211.1692714,211.1692714
plasmanyl-TG(O-16:0_10:0_12:0)+NH4,670.63445,481.46145,453.43015,155.14304,183.17434,229.1798364,257.2111364,211.1692714,239.2005714
plasmanyl-TG(O-16:0_10:0_13:0)+NH4,684.65015,495.47715,453.43015,155.14304,197.19004,229.1798364,271.2268364,211.1692714,253.2162714
plasmanyl-TG(O-16:0_10:0_14:0)+NH4,698.66575,509.49275,453.43015,155.14304,211.20564,229.1798364,285.2424364,211.1692714,267.2318714
plasmanyl-TG(O-16:0_10:0_14:1)+NH4,696.65015,507.47715,453.43015,155.14304,209.19004,229.1798364,283.2268364,211.1692714,265.2162714
plasmanyl-TG(O-16:0_10:0_15:0)+NH4,712.68145,523.50845,453.43015,155.14304,225.22134,229.1798364,299.2581364,211.1692714,281.2475714
plasmanyl-TG(O-16:0_10:0_15:1)+NH4,710.66575,521.49275,453.43015,155.14304,223.20564,229.1798364,297.2424364,211.1692714,279.2318714
plasmanyl-TG(O-16:0_10:0_16:0)+NH4,726.69705,537.52405,453.43015,155.14304,239.23694,229.1798364,313.2737364,211.1692714,295.2631714
plasmanyl-TG(O-16:0_10:0_16:1)+NH4,724.68145,535.50845,453.43015,155.14304,237.22134,229.1798364,311.2581364,211.1692714,293.2475714
plasmanyl-TG(O-16:0_10:0_17:0)+NH4,740.71275,551.53975,453.43015,155.14304,253.25264,229.1798364,327.2894364,211.1692714,309.2788714
plasmanyl-TG(O-16:0_10:0_17:1)+NH4,738.69705,549.52405,453.43015,155.14304,251.23694,229.1798364,325.2737364,211.1692714,307.2631714
plasmanyl-TG(O-16:0_10:0_17:2)+NH4,736.68145,547.50845,453.43015,155.14304,249.22134,229.1798364,323.2581364,211.1692714,305.2475714
