OxPC,[M+HCO2]-,[M-CH3]-,FA SN2,FA SN2-H2O,FA SN2-2H2O,FA SN1,C7H15NO5P
OxPC(16:0_18:0(1O))+HCO2,822.586,762.5649,299.2592,281.2486,0.01,255.2323,224.0693
OxPC(16:0_18:0(1O(1Cyc)))+HCO2,820.5704,760.5493,297.2435,0.01,0.01,255.2323,224.0693
OxPC(16:0_18:0(2O))+HCO2,838.5809,778.5598,315.2541,297.2435,279.233,255.2323,224.0693
OxPC(16:0_18:1(1O))+HCO2,820.5704,760.5493,297.2435,279.233,0.01,255.2323,224.0693
OxPC(16:0_18:1(1O(1Cyc)))+HCO2,818.5547,758.5336,295.2279,0.01,0.01,255.2323,224.0693
OxPC(16:0_18:1(2O))+HCO2,836.5653,776.5442,313.2384,295.2279,277.2173,255.2323,224.0693
OxPC(16:0_18:1(3O))+HCO2,852.5602,792.5391,329.2333,311.2228,293.2122,255.2323,224.0693
OxPC(16:0_18:2(1O))+HCO2,818.5547,758.5336,295.2279,277.2173,0.01,255.2323,224.0693
OxPC(16:0_18:2(2O))+HCO2,834.5496,774.5285,311.2228,293.2122,275.2017,255.2323,224.0693
OxPC(16:0_18:3(1O))+HCO2,816.5391,756.5179,293.2122,275.2017,0.01,255.2323,224.0693
OxPC(16:0_20:3(1O))+HCO2,844.5704,784.5493,321.2435,303.233,0.01,255.2323,224.0693
OxPC(16:0_20:3(1O(1Cyc)))+HCO2,842.5547,782.5336,319.2279,0.01,0.01,255.2323,224.0693
OxPC(16:0_20:3(2O))+HCO2,860.5653,800.5442,337.2384,319.2279,301.2173,255.2323,224.0693
OxPC(16:0_20:3(2O(1Cyc)))+HCO2,858.5496,798.5285,335.2228,317.2122,0.01,255.2323,224.0693
OxPC(16:0_20:3(3O))+HCO2,876.5602,816.5391,353.2333,335.2228,317.2122,255.2323,224.0693
OxPC(16:0_20:3(4O(1Cyc)))+HCO2,892.5551,832.534,369.2283,351.2177,333.2072,255.2323,224.0693
OxPC(16:0_20:4(1O))+HCO2,842.5547,782.5336,319.2279,301.2173,0.01,255.2323,224.0693
OxPC(16:0_20:4(1O(1Cyc)))+HCO2,840.5391,780.5179,317.2122,0.01,0.01,255.2323,224.0693
OxPC(16:0_20:4(2O))+HCO2,858.5496,798.5285,335.2228,317.2122,299.2017,255.2323,224.0693
OxPC(16:0_20:4(3O))+HCO2,874.5446,814.5234,351.2177,333.2072,315.1966,255.2323,224.0693
OxPC(16:0_20:4(3O(2Cyc)))+HCO2,874.5446,814.5234,351.2177,333.2072,0.01,255.2323,224.0693
OxPC(16:0_20:4(4O(1Cyc)))+HCO2,890.5395,830.5183,367.2126,349.2021,331.1915,255.2323,224.0693
OxPC(16:0_20:4(4O(2Cyc)))+HCO2,890.5395,830.5183,367.2126,349.2021,331.1915,255.2323,224.0693
OxPC(16:0_20:5(1O))+HCO2,840.5391,780.5179,317.2122,299.2017,0.01,255.2323,224.0693
OxPC(16:0_20:5(1O(1Cyc)))+HCO2,838.5234,778.5023,315.1966,0.01,0.01,255.2323,224.0693
OxPC(16:0_20:5(2O))+HCO2,856.534,796.5129,333.2071,315.1966,297.186,255.2323,224.0693
OxPC(16:0_20:5(3O))+HCO2,872.5289,812.5078,349.2021,331.1915,313.1809,255.2323,224.0693
OxPC(16:0_20:5(3O(2Cyc)))+HCO2,872.5289,812.5078,349.2021,331.1915,0.01,255.2323,224.0693
OxPC(16:0_20:5(4O(2Cyc)))+HCO2,888.5238,828.5027,365.197,347.1864,329.1758,255.2323,224.0693
OxPC(16:0_22:5(1O(1Cyc)))+HCO2,866.5547,806.5336,343.2279,0.01,0.01,255.2323,224.0693
OxPC(16:0_22:5(2O))+HCO2,884.5653,824.5442,361.2384,343.2279,325.2173,255.2323,224.0693
OxPC(16:0_22:6(1O))+HCO2,866.5547,806.5336,343.2279,325.2173,0.01,255.2323,224.0693
OxPC(16:0_22:6(2O))+HCO2,882.5496,822.5285,359.2228,341.2122,323.2017,255.2323,224.0693
OxPC(16:0_22:6(3O))+HCO2,898.5446,838.5234,375.2177,357.2072,339.1966,255.2323,224.0693
OxPC(16:0_22:6(4O))+HCO2,914.5395,854.5183,391.2126,373.2021,355.1915,255.2323,224.0693
OxPC(18:0_18:0(1O))+HCO2,850.6173,790.5962,299.2592,281.2486,0.01,283.2635,224.0693
OxPC(18:0_18:0(1O(1Cyc)))+HCO2,848.6017,788.5806,297.2435,0.01,0.01,283.2635,224.0693
OxPC(18:0_18:0(2O))+HCO2,866.6122,806.5911,315.2541,297.2435,279.233,283.2635,224.0693
OxPC(18:0_18:1(1O))+HCO2,848.6017,788.5806,297.2435,279.233,0.01,283.2635,224.0693
OxPC(18:0_18:1(1O(1Cyc)))+HCO2,846.586,786.5649,295.2279,0.01,0.01,283.2635,224.0693
OxPC(18:0_18:1(2O))+HCO2,864.5966,804.5754,313.2384,295.2279,277.2173,283.2635,224.0693
OxPC(18:0_18:1(3O))+HCO2,880.5915,820.5704,329.2333,311.2228,293.2122,283.2635,224.0693
OxPC(18:0_18:2(1O))+HCO2,846.586,786.5649,295.2279,277.2173,0.01,283.2635,224.0693
