OxPC,[M+HCO2]-,[M-CH3]-,FA SN2,FA SN2-H2O,FA SN2-2H2O,FA SN1,C7H15NO5P
OxPC(18:0_18:2(2O))+HCO2,862.5809,802.5598,311.2228,293.2122,275.2017,283.2635,224.0693
OxPC(18:0_18:3(1O))+HCO2,844.5704,784.5493,293.2122,275.2017,0.01,283.2635,224.0693
OxPC(18:0_20:3(1O))+HCO2,872.6017,812.5806,321.2435,303.233,0.01,283.2635,224.0693
OxPC(18:0_20:3(1O(1Cyc)))+HCO2,870.586,810.5649,319.2279,0.01,0.01,283.2635,224.0693
OxPC(18:0_20:3(2O))+HCO2,888.5966,828.5754,337.2384,319.2279,301.2173,283.2635,224.0693
OxPC(18:0_20:3(2O(1Cyc)))+HCO2,886.5809,826.5598,335.2228,317.2122,0.01,283.2635,224.0693
OxPC(18:0_20:3(3O))+HCO2,904.5915,844.5704,353.2333,335.2228,317.2122,283.2635,224.0693
OxPC(18:0_20:3(4O(1Cyc)))+HCO2,920.5864,860.5653,369.2283,351.2177,333.2072,283.2635,224.0693
OxPC(18:0_20:4(1O))+HCO2,870.586,810.5649,319.2279,301.2173,0.01,283.2635,224.0693
OxPC(18:0_20:4(1O(1Cyc)))+HCO2,868.5704,808.5493,317.2122,0.01,0.01,283.2635,224.0693
OxPC(18:0_20:4(2O))+HCO2,886.5809,826.5598,335.2228,317.2122,299.2017,283.2635,224.0693
OxPC(18:0_20:4(3O))+HCO2,902.5759,842.5547,351.2177,333.2072,315.1966,283.2635,224.0693
OxPC(18:0_20:4(3O(2Cyc)))+HCO2,902.5759,842.5547,351.2177,333.2072,0.01,283.2635,224.0693
OxPC(18:0_20:4(4O(1Cyc)))+HCO2,918.5707,858.5496,367.2126,349.2021,331.1915,283.2635,224.0693
OxPC(18:0_20:4(4O(2Cyc)))+HCO2,918.5707,858.5496,367.2126,349.2021,331.1915,283.2635,224.0693
OxPC(18:0_20:5(1O))+HCO2,868.5704,808.5493,317.2122,299.2017,0.01,283.2635,224.0693
OxPC(18:0_20:5(1O(1Cyc)))+HCO2,866.5547,806.5336,315.1966,0.01,0.01,283.2635,224.0693
OxPC(18:0_20:5(2O))+HCO2,884.5653,824.5442,333.2071,315.1966,297.186,283.2635,224.0693
OxPC(18:0_20:5(3O))+HCO2,900.5602,840.5391,349.2021,331.1915,313.1809,283.2635,224.0693
OxPC(18:0_20:5(3O(2Cyc)))+HCO2,900.5602,840.5391,349.2021,331.1915,0.01,283.2635,224.0693
OxPC(18:0_20:5(4O(2Cyc)))+HCO2,916.5551,856.534,365.197,347.1864,329.1758,283.2635,224.0693
OxPC(18:0_22:5(1O(1Cyc)))+HCO2,894.586,834.5649,343.2279,0.01,0.01,283.2635,224.0693
OxPC(18:0_22:5(2O))+HCO2,912.5966,852.5754,361.2384,343.2279,325.2173,283.2635,224.0693
OxPC(18:0_22:6(1O))+HCO2,894.586,834.5649,343.2279,325.2173,0.01,283.2635,224.0693
OxPC(18:0_22:6(2O))+HCO2,910.5809,850.5598,359.2228,341.2122,323.2017,283.2635,224.0693
OxPC(18:0_22:6(3O))+HCO2,926.5759,866.5547,375.2177,357.2072,339.1966,283.2635,224.0693
OxPC(18:0_22:6(4O))+HCO2,942.5707,882.5496,391.2126,373.2021,355.1915,283.2635,224.0693
OxPC(18:1_18:0(1O))+HCO2,848.6017,788.5806,299.2592,281.2486,0.01,281.2479,224.0693
OxPC(18:1_18:0(1O(1Cyc)))+HCO2,846.586,786.5649,297.2435,0.01,0.01,281.2479,224.0693
OxPC(18:1_18:0(2O))+HCO2,864.5966,804.5754,315.2541,297.2435,279.233,281.2479,224.0693
OxPC(18:1_18:1(1O))+HCO2,846.586,786.5649,297.2435,279.233,0.01,281.2479,224.0693
OxPC(18:1_18:1(1O(1Cyc)))+HCO2,844.5704,784.5493,295.2279,0.01,0.01,281.2479,224.0693
OxPC(18:1_18:1(2O))+HCO2,862.5809,802.5598,313.2384,295.2279,277.2173,281.2479,224.0693
OxPC(18:1_18:1(3O))+HCO2,878.5759,818.5547,329.2333,311.2228,293.2122,281.2479,224.0693
OxPC(18:1_18:2(1O))+HCO2,844.5704,784.5493,295.2279,277.2173,0.01,281.2479,224.0693
OxPC(18:1_18:2(2O))+HCO2,860.5653,800.5442,311.2228,293.2122,275.2017,281.2479,224.0693
OxPC(18:1_18:3(1O))+HCO2,842.5547,782.5336,293.2122,275.2017,0.01,281.2479,224.0693
OxPC(18:1_20:3(1O))+HCO2,870.586,810.5649,321.2435,303.233,0.01,281.2479,224.0693
OxPC(18:1_20:3(1O(1Cyc)))+HCO2,868.5704,808.5493,319.2279,0.01,0.01,281.2479,224.0693
OxPC(18:1_20:3(2O))+HCO2,886.5809,826.5598,337.2384,319.2279,301.2173,281.2479,224.0693
OxPC(18:1_20:3(2O(1Cyc)))+HCO2,884.5653,824.5442,335.2228,317.2122,0.01,281.2479,224.0693
OxPC(18:1_20:3(3O))+HCO2,902.5759,842.5547,353.2333,335.2228,317.2122,281.2479,224.0693
OxPC(18:1_20:3(4O(1Cyc)))+HCO2,918.5707,858.5496,369.2283,351.2177,333.2072,281.2479,224.0693
OxPC(18:1_20:4(1O))+HCO2,868.5704,808.5493,319.2279,301.2173,0.01,281.2479,224.0693
OxPC(18:1_20:4(1O(1Cyc)))+HCO2,866.5547,806.5336,317.2122,0.01,0.01,281.2479,224.0693
OxPC(18:1_20:4(2O))+HCO2,884.5653,824.5442,335.2228,317.2122,299.2017,281.2479,224.0693
OxPC(18:1_20:4(3O))+HCO2,900.5602,840.5391,351.2177,333.2072,315.1966,281.2479,224.0693
OxPC(18:1_20:4(3O(2Cyc)))+HCO2,900.5602,840.5391,351.2177,333.2072,0.01,281.2479,224.0693
OxPC(18:1_20:4(4O(1Cyc)))+HCO2,916.5551,856.534,367.2126,349.2021,331.1915,281.2479,224.0693
OxPC(18:1_20:4(4O(2Cyc)))+HCO2,916.5551,856.534,367.2126,349.2021,331.1915,281.2479,224.0693
OxPC(18:1_20:5(1O))+HCO2,866.5547,806.5336,317.2122,299.2017,0.01,281.2479,224.0693
OxPC(18:1_20:5(1O(1Cyc)))+HCO2,864.5391,804.5179,315.1966,0.01,0.01,281.2479,224.0693
OxPC(18:1_20:5(2O))+HCO2,882.5496,822.5285,333.2071,315.1966,297.186,281.2479,224.0693
OxPC(18:1_20:5(3O))+HCO2,898.5446,838.5234,349.2021,331.1915,313.1809,281.2479,224.0693
OxPC(18:1_20:5(3O(2Cyc)))+HCO2,898.5446,838.5234,349.2021,331.1915,0.01,281.2479,224.0693
OxPC(18:1_20:5(4O(2Cyc)))+HCO2,914.5395,854.5183,365.197,347.1864,329.1758,281.2479,224.0693
OxPC(18:1_22:5(1O(1Cyc)))+HCO2,892.5704,832.5493,343.2279,0.01,0.01,281.2479,224.0693
OxPC(18:1_22:5(2O))+HCO2,910.5809,850.5598,361.2384,343.2279,325.2173,281.2479,224.0693
OxPC(18:1_22:6(1O))+HCO2,892.5704,832.5493,343.2279,325.2173,0.01,281.2479,224.0693
OxPC(18:1_22:6(2O))+HCO2,908.5653,848.5442,359.2228,341.2122,323.2017,281.2479,224.0693
OxPC(18:1_22:6(3O))+HCO2,924.5602,864.5391,375.2177,357.2072,339.1966,281.2479,224.0693
OxPC(18:1_22:6(4O))+HCO2,940.5551,880.534,391.2126,373.2021,355.1915,281.2479,224.0693
