SQDG,[M+NH4]+,[M-SN1+H]+,[M-SN2+H]+,[M-C6H10O7S+H]+,[M-C6H10O7S-H2O+H]+,[M-C6H10O7S-SN1+H]+,[M-C6H10O7S-SN2+H]+,SN2,SN1
SQDG(20:0_14:1)+NH4,838.5714,509.2415,595.351,595.5296,577.519,283.2267,369.3363,209.19,295.2996
SQDG(14:1_20:1)+NH4,836.5558,593.3354,509.2415,593.514,575.5034,367.3206,283.2267,293.2839,209.19
SQDG(14:1_20:2)+NH4,834.5401,591.3198,509.2415,591.4983,573.4877,365.305,283.2267,291.2682,209.19
SQDG(14:1_20:3)+NH4,832.5245,589.3041,509.2415,589.4827,571.4721,363.2894,283.2267,289.2526,209.19
SQDG(14:1_20:4)+NH4,830.5089,587.2885,509.2415,587.467,569.4564,361.2737,283.2267,287.2369,209.19
SQDG(14:1_20:5)+NH4,828.4932,585.2728,509.2415,585.4514,567.4408,359.2581,283.2267,285.2213,209.19
SQDG(21:0_14:1)+NH4,852.5871,509.2415,609.3667,609.5452,591.5347,283.2267,383.352,209.19,309.3152
SQDG(14:1_21:1)+NH4,850.5714,607.351,509.2415,607.5296,589.519,381.3363,283.2267,307.2996,209.19
SQDG(14:1_21:2)+NH4,848.5558,605.3354,509.2415,605.514,587.5034,379.3206,283.2267,305.2839,209.19
SQDG(22:0_14:1)+NH4,866.6027,509.2415,623.3823,623.5609,605.5504,283.2267,397.3676,209.19,323.3308
SQDG(14:1_22:1)+NH4,864.5871,621.3667,509.2415,621.5452,603.5347,395.352,283.2267,321.3152,209.19
SQDG(14:1_22:2)+NH4,862.5714,619.351,509.2415,619.5296,601.519,393.3363,283.2267,319.2996,209.19
SQDG(14:1_22:3)+NH4,860.5558,617.3354,509.2415,617.514,599.5034,391.3206,283.2267,317.2839,209.19
SQDG(14:1_22:4)+NH4,858.5401,615.3198,509.2415,615.4983,597.4877,389.305,283.2267,315.2682,209.19
SQDG(14:1_22:5)+NH4,856.5245,613.3041,509.2415,613.4827,595.4721,387.2894,283.2267,313.2526,209.19
SQDG(14:1_22:6)+NH4,854.5089,611.2885,509.2415,611.467,593.4564,385.2737,283.2267,311.2369,209.19
SQDG(23:0_14:1)+NH4,880.6183,509.2415,637.398,637.5765,619.566,283.2267,411.3833,209.19,337.3465
SQDG(24:0_14:1)+NH4,894.634,509.2415,651.4136,651.5922,633.5816,283.2267,425.3989,209.19,351.3622
SQDG(14:1_24:1)+NH4,892.6183,649.398,509.2415,649.5765,631.566,423.3833,283.2267,349.3465,209.19
SQDG(14:1_24:2)+NH4,890.6027,647.3823,509.2415,647.5609,629.5504,421.3676,283.2267,347.3308,209.19
SQDG(14:1_24:4)+NH4,886.5714,643.351,509.2415,643.5296,625.519,417.3363,283.2267,343.2996,209.19
SQDG(25:0_14:1)+NH4,908.6497,509.2415,665.4293,665.6078,647.5973,283.2267,439.4146,209.19,365.3778
SQDG(26:0_14:1)+NH4,922.6653,509.2415,679.4449,679.6235,661.6129,283.2267,453.4302,209.19,379.3935
SQDG(14:1_26:1)+NH4,920.6497,677.4293,509.2415,677.6078,659.5973,451.4146,283.2267,377.3778,209.19
SQDG(14:1_26:2)+NH4,918.634,675.4136,509.2415,675.5922,657.5816,449.3989,283.2267,375.3622,209.19
SQDG(14:1_26:4)+NH4,914.6027,671.3823,509.2415,671.5609,653.5504,445.3676,283.2267,371.3308,209.19
SQDG(27:0_14:1)+NH4,936.681,509.2415,693.4606,693.6392,675.6286,283.2267,467.4459,209.19,393.4091
SQDG(15:0_15:0)+NH4,784.5245,525.2728,525.2728,541.4827,523.4721,299.2581,299.2581,225.2213,225.2213
SQDG(15:0_15:1)+NH4,782.5089,523.2571,525.2728,539.467,521.4564,297.2424,299.2581,223.2056,225.2213
SQDG(15:0_16:0)+NH4,798.5401,539.2885,525.2728,555.4983,537.4877,313.2737,299.2581,239.237,225.2213
SQDG(15:0_16:1)+NH4,796.5245,537.2728,525.2728,553.4827,535.4721,311.2581,299.2581,237.2213,225.2213
SQDG(15:0_16:2)+NH4,794.5089,535.2571,525.2728,551.467,533.4564,309.2424,299.2581,235.2056,225.2213
SQDG(15:0_16:3)+NH4,792.4932,533.2415,525.2728,549.4514,531.4408,307.2267,299.2581,233.19,225.2213
SQDG(15:0_16:4)+NH4,790.4775,531.2258,525.2728,547.4357,529.4251,305.2111,299.2581,231.1743,225.2213
SQDG(15:0_17:0)+NH4,812.5558,553.3041,525.2728,569.514,551.5034,327.2894,299.2581,253.2526,225.2213
SQDG(15:0_17:1)+NH4,810.5401,551.2885,525.2728,567.4983,549.4877,325.2737,299.2581,251.237,225.2213
SQDG(15:0_17:2)+NH4,808.5245,549.2728,525.2728,565.4827,547.4721,323.2581,299.2581,249.2213,225.2213
SQDG(15:0_18:0)+NH4,826.5714,567.3198,525.2728,583.5296,565.519,341.305,299.2581,267.2682,225.2213
SQDG(15:0_18:1)+NH4,824.5558,565.3041,525.2728,581.514,563.5034,339.2894,299.2581,265.2526,225.2213
SQDG(15:0_18:2)+NH4,822.5401,563.2885,525.2728,579.4983,561.4877,337.2737,299.2581,263.2369,225.2213
SQDG(15:0_18:3)+NH4,820.5245,561.2728,525.2728,577.4827,559.4721,335.2581,299.2581,261.2213,225.2213
SQDG(15:0_18:4)+NH4,818.5089,559.2571,525.2728,575.467,557.4564,333.2424,299.2581,259.2057,225.2213
SQDG(15:0_18:5)+NH4,816.4932,557.2415,525.2728,573.4514,555.4408,331.2267,299.2581,257.19,225.2213
SQDG(15:0_19:0)+NH4,840.5871,581.3354,525.2728,597.5452,579.5347,355.3206,299.2581,281.2839,225.2213
SQDG(15:0_19:1)+NH4,838.5714,579.3198,525.2728,595.5296,577.519,353.305,299.2581,279.2682,225.2213
SQDG(15:0_19:2)+NH4,836.5558,577.3041,525.2728,593.514,575.5034,351.2894,299.2581,277.2526,225.2213
SQDG(15:0_20:0)+NH4,854.6027,595.351,525.2728,611.5609,593.5504,369.3363,299.2581,295.2996,225.2213
SQDG(15:0_20:1)+NH4,852.5871,593.3354,525.2728,609.5452,591.5347,367.3206,299.2581,293.2839,225.2213
SQDG(15:0_20:2)+NH4,850.5714,591.3198,525.2728,607.5296,589.519,365.305,299.2581,291.2682,225.2213
SQDG(15:0_20:3)+NH4,848.5558,589.3041,525.2728,605.514,587.5034,363.2894,299.2581,289.2526,225.2213
SQDG(15:0_20:4)+NH4,846.5401,587.2885,525.2728,603.4983,585.4877,361.2737,299.2581,287.2369,225.2213
SQDG(15:0_20:5)+NH4,844.5245,585.2728,525.2728,601.4827,583.4721,359.2581,299.2581,285.2213,225.2213
SQDG(15:0_21:0)+NH4,868.6183,609.3667,525.2728,625.5765,607.566,383.352,299.2581,309.3152,225.2213
SQDG(15:0_21:1)+NH4,866.6027,607.351,525.2728,623.5609,605.5504,381.3363,299.2581,307.2996,225.2213
SQDG(15:0_21:2)+NH4,864.5871,605.3354,525.2728,621.5452,603.5347,379.3206,299.2581,305.2839,225.2213
SQDG(15:0_22:0)+NH4,882.634,623.3823,525.2728,639.5922,621.5816,397.3676,299.2581,323.3308,225.2213
SQDG(15:0_22:1)+NH4,880.6183,621.3667,525.2728,637.5765,619.566,395.352,299.2581,321.3152,225.2213
SQDG(15:0_22:2)+NH4,878.6027,619.351,525.2728,635.5609,617.5504,393.3363,299.2581,319.2996,225.2213
SQDG(15:0_22:3)+NH4,876.5871,617.3354,525.2728,633.5452,615.5347,391.3206,299.2581,317.2839,225.2213
SQDG(15:0_22:4)+NH4,874.5714,615.3198,525.2728,631.5296,613.519,389.305,299.2581,315.2682,225.2213
SQDG(15:0_22:5)+NH4,872.5558,613.3041,525.2728,629.514,611.5034,387.2894,299.2581,313.2526,225.2213
SQDG(15:0_22:6)+NH4,870.5401,611.2885,525.2728,627.4983,609.4877,385.2737,299.2581,311.2369,225.2213
SQDG(15:0_23:0)+NH4,896.6497,637.398,525.2728,653.6078,635.5973,411.3833,299.2581,337.3465,225.2213
SQDG(15:0_24:0)+NH4,910.6653,651.4136,525.2728,667.6235,649.6129,425.3989,299.2581,351.3622,225.2213
SQDG(15:0_24:1)+NH4,908.6497,649.398,525.2728,665.6078,647.5973,423.3833,299.2581,349.3465,225.2213
SQDG(15:0_24:2)+NH4,906.634,647.3823,525.2728,663.5922,645.5816,421.3676,299.2581,347.3308,225.2213
SQDG(15:0_24:4)+NH4,902.6027,643.351,525.2728,659.5609,641.5504,417.3363,299.2581,343.2996,225.2213
SQDG(15:0_25:0)+NH4,924.681,665.4293,525.2728,681.6392,663.6286,439.4146,299.2581,365.3778,225.2213
SQDG(15:0_26:0)+NH4,938.6966,679.4449,525.2728,695.6548,677.6442,453.4302,299.2581,379.3935,225.2213
SQDG(15:0_26:1)+NH4,936.681,677.4293,525.2728,693.6392,675.6286,451.4146,299.2581,377.3778,225.2213
SQDG(15:0_26:2)+NH4,934.6653,675.4136,525.2728,691.6235,673.6129,449.3989,299.2581,375.3622,225.2213
SQDG(15:0_26:4)+NH4,930.634,671.3823,525.2728,687.5922,669.5816,445.3676,299.2581,371.3308,225.2213
SQDG(15:0_27:0)+NH4,952.7123,693.4606,525.2728,709.6705,691.6599,467.4459,299.2581,393.4091,225.2213
SQDG(15:1_15:1)+NH4,780.4932,523.2571,523.2571,537.4514,519.4408,297.2424,297.2424,223.2056,223.2056
SQDG(16:0_15:1)+NH4,796.5245,523.2571,539.2885,553.4827,535.4721,297.2424,313.2737,223.2056,239.237
SQDG(15:1_16:1)+NH4,794.5089,537.2728,523.2571,551.467,533.4564,311.2581,297.2424,237.2213,223.2056
SQDG(15:1_16:2)+NH4,792.4932,535.2571,523.2571,549.4514,531.4408,309.2424,297.2424,235.2056,223.2056
SQDG(15:1_16:3)+NH4,790.4775,533.2415,523.2571,547.4357,529.4251,307.2267,297.2424,233.19,223.2056
SQDG(15:1_16:4)+NH4,788.4619,531.2258,523.2571,545.42,527.4095,305.2111,297.2424,231.1743,223.2056
SQDG(17:0_15:1)+NH4,810.5401,523.2571,553.3041,567.4983,549.4877,297.2424,327.2894,223.2056,253.2526
SQDG(15:1_17:1)+NH4,808.5245,551.2885,523.2571,565.4827,547.4721,325.2737,297.2424,251.237,223.2056
SQDG(15:1_17:2)+NH4,806.5089,549.2728,523.2571,563.467,545.4564,323.2581,297.2424,249.2213,223.2056
SQDG(18:0_15:1)+NH4,824.5558,523.2571,567.3198,581.514,563.5034,297.2424,341.305,223.2056,267.2682
SQDG(15:1_18:1)+NH4,822.5401,565.3041,523.2571,579.4983,561.4877,339.2894,297.2424,265.2526,223.2056
SQDG(15:1_18:2)+NH4,820.5245,563.2885,523.2571,577.4827,559.4721,337.2737,297.2424,263.2369,223.2056
SQDG(15:1_18:3)+NH4,818.5089,561.2728,523.2571,575.467,557.4564,335.2581,297.2424,261.2213,223.2056
SQDG(15:1_18:4)+NH4,816.4932,559.2571,523.2571,573.4514,555.4408,333.2424,297.2424,259.2057,223.2056
SQDG(15:1_18:5)+NH4,814.4775,557.2415,523.2571,571.4357,553.4251,331.2267,297.2424,257.19,223.2056
SQDG(19:0_15:1)+NH4,838.5714,523.2571,581.3354,595.5296,577.519,297.2424,355.3206,223.2056,281.2839
SQDG(15:1_19:1)+NH4,836.5558,579.3198,523.2571,593.514,575.5034,353.305,297.2424,279.2682,223.2056
SQDG(15:1_19:2)+NH4,834.5401,577.3041,523.2571,591.4983,573.4877,351.2894,297.2424,277.2526,223.2056
SQDG(20:0_15:1)+NH4,852.5871,523.2571,595.351,609.5452,591.5347,297.2424,369.3363,223.2056,295.2996
SQDG(15:1_20:1)+NH4,850.5714,593.3354,523.2571,607.5296,589.519,367.3206,297.2424,293.2839,223.2056
SQDG(15:1_20:2)+NH4,848.5558,591.3198,523.2571,605.514,587.5034,365.305,297.2424,291.2682,223.2056
SQDG(15:1_20:3)+NH4,846.5401,589.3041,523.2571,603.4983,585.4877,363.2894,297.2424,289.2526,223.2056
SQDG(15:1_20:4)+NH4,844.5245,587.2885,523.2571,601.4827,583.4721,361.2737,297.2424,287.2369,223.2056
SQDG(15:1_20:5)+NH4,842.5089,585.2728,523.2571,599.467,581.4564,359.2581,297.2424,285.2213,223.2056
SQDG(21:0_15:1)+NH4,866.6027,523.2571,609.3667,623.5609,605.5504,297.2424,383.352,223.2056,309.3152
SQDG(15:1_21:1)+NH4,864.5871,607.351,523.2571,621.5452,603.5347,381.3363,297.2424,307.2996,223.2056
SQDG(15:1_21:2)+NH4,862.5714,605.3354,523.2571,619.5296,601.519,379.3206,297.2424,305.2839,223.2056
SQDG(22:0_15:1)+NH4,880.6183,523.2571,623.3823,637.5765,619.566,297.2424,397.3676,223.2056,323.3308
SQDG(15:1_22:1)+NH4,878.6027,621.3667,523.2571,635.5609,617.5504,395.352,297.2424,321.3152,223.2056
SQDG(15:1_22:2)+NH4,876.5871,619.351,523.2571,633.5452,615.5347,393.3363,297.2424,319.2996,223.2056
SQDG(15:1_22:3)+NH4,874.5714,617.3354,523.2571,631.5296,613.519,391.3206,297.2424,317.2839,223.2056
SQDG(15:1_22:4)+NH4,872.5558,615.3198,523.2571,629.514,611.5034,389.305,297.2424,315.2682,223.2056
SQDG(15:1_22:5)+NH4,870.5401,613.3041,523.2571,627.4983,609.4877,387.2894,297.2424,313.2526,223.2056
SQDG(15:1_22:6)+NH4,868.5245,611.2885,523.2571,625.4827,607.4721,385.2737,297.2424,311.2369,223.2056
SQDG(23:0_15:1)+NH4,894.634,523.2571,637.398,651.5922,633.5816,297.2424,411.3833,223.2056,337.3465
SQDG(24:0_15:1)+NH4,908.6497,523.2571,651.4136,665.6078,647.5973,297.2424,425.3989,223.2056,351.3622
SQDG(15:1_24:1)+NH4,906.634,649.398,523.2571,663.5922,645.5816,423.3833,297.2424,349.3465,223.2056
SQDG(15:1_24:2)+NH4,904.6183,647.3823,523.2571,661.5765,643.566,421.3676,297.2424,347.3308,223.2056
SQDG(15:1_24:4)+NH4,900.5871,643.351,523.2571,657.5452,639.5347,417.3363,297.2424,343.2996,223.2056
SQDG(25:0_15:1)+NH4,922.6653,523.2571,665.4293,679.6235,661.6129,297.2424,439.4146,223.2056,365.3778
SQDG(26:0_15:1)+NH4,936.681,523.2571,679.4449,693.6392,675.6286,297.2424,453.4302,223.2056,379.3935
SQDG(15:1_26:1)+NH4,934.6653,677.4293,523.2571,691.6235,673.6129,451.4146,297.2424,377.3778,223.2056
SQDG(15:1_26:2)+NH4,932.6497,675.4136,523.2571,689.6078,671.5973,449.3989,297.2424,375.3622,223.2056
SQDG(15:1_26:4)+NH4,928.6183,671.3823,523.2571,685.5765,667.566,445.3676,297.2424,371.3308,223.2056
SQDG(27:0_15:1)+NH4,950.6966,523.2571,693.4606,707.6548,689.6442,297.2424,467.4459,223.2056,393.4091
SQDG(16:0_16:0)+NH4,812.5558,539.2885,539.2885,569.514,551.5034,313.2737,313.2737,239.237,239.237
SQDG(16:0_16:1)+NH4,810.5401,537.2728,539.2885,567.4983,549.4877,311.2581,313.2737,237.2213,239.237
SQDG(16:0_16:2)+NH4,808.5245,535.2571,539.2885,565.4827,547.4721,309.2424,313.2737,235.2056,239.237
SQDG(16:0_16:3)+NH4,806.5089,533.2415,539.2885,563.467,545.4564,307.2267,313.2737,233.19,239.237
SQDG(16:0_16:4)+NH4,804.4932,531.2258,539.2885,561.4514,543.4408,305.2111,313.2737,231.1743,239.237
SQDG(16:0_17:0)+NH4,826.5714,553.3041,539.2885,583.5296,565.519,327.2894,313.2737,253.2526,239.237
SQDG(16:0_17:1)+NH4,824.5558,551.2885,539.2885,581.514,563.5034,325.2737,313.2737,251.237,239.237
SQDG(16:0_17:2)+NH4,822.5401,549.2728,539.2885,579.4983,561.4877,323.2581,313.2737,249.2213,239.237
SQDG(16:0_18:0)+NH4,840.5871,567.3198,539.2885,597.5452,579.5347,341.305,313.2737,267.2682,239.237
SQDG(16:0_18:1)+NH4,838.5714,565.3041,539.2885,595.5296,577.519,339.2894,313.2737,265.2526,239.237
SQDG(16:0_18:2)+NH4,836.5558,563.2885,539.2885,593.514,575.5034,337.2737,313.2737,263.2369,239.237
SQDG(16:0_18:3)+NH4,834.5401,561.2728,539.2885,591.4983,573.4877,335.2581,313.2737,261.2213,239.237
SQDG(16:0_18:4)+NH4,832.5245,559.2571,539.2885,589.4827,571.4721,333.2424,313.2737,259.2057,239.237
SQDG(16:0_18:5)+NH4,830.5089,557.2415,539.2885,587.467,569.4564,331.2267,313.2737,257.19,239.237
SQDG(16:0_19:0)+NH4,854.6027,581.3354,539.2885,611.5609,593.5504,355.3206,313.2737,281.2839,239.237
SQDG(16:0_19:1)+NH4,852.5871,579.3198,539.2885,609.5452,591.5347,353.305,313.2737,279.2682,239.237
SQDG(16:0_19:2)+NH4,850.5714,577.3041,539.2885,607.5296,589.519,351.2894,313.2737,277.2526,239.237
SQDG(16:0_20:0)+NH4,868.6183,595.351,539.2885,625.5765,607.566,369.3363,313.2737,295.2996,239.237
SQDG(16:0_20:1)+NH4,866.6027,593.3354,539.2885,623.5609,605.5504,367.3206,313.2737,293.2839,239.237
SQDG(16:0_20:2)+NH4,864.5871,591.3198,539.2885,621.5452,603.5347,365.305,313.2737,291.2682,239.237
SQDG(16:0_20:3)+NH4,862.5714,589.3041,539.2885,619.5296,601.519,363.2894,313.2737,289.2526,239.237
SQDG(16:0_20:4)+NH4,860.5558,587.2885,539.2885,617.514,599.5034,361.2737,313.2737,287.2369,239.237
SQDG(16:0_20:5)+NH4,858.5401,585.2728,539.2885,615.4983,597.4877,359.2581,313.2737,285.2213,239.237
SQDG(16:0_21:0)+NH4,882.634,609.3667,539.2885,639.5922,621.5816,383.352,313.2737,309.3152,239.237
SQDG(16:0_21:1)+NH4,880.6183,607.351,539.2885,637.5765,619.566,381.3363,313.2737,307.2996,239.237
SQDG(16:0_21:2)+NH4,878.6027,605.3354,539.2885,635.5609,617.5504,379.3206,313.2737,305.2839,239.237
SQDG(16:0_22:0)+NH4,896.6497,623.3823,539.2885,653.6078,635.5973,397.3676,313.2737,323.3308,239.237
SQDG(16:0_22:1)+NH4,894.634,621.3667,539.2885,651.5922,633.5816,395.352,313.2737,321.3152,239.237
SQDG(16:0_22:2)+NH4,892.6183,619.351,539.2885,649.5765,631.566,393.3363,313.2737,319.2996,239.237
SQDG(16:0_22:3)+NH4,890.6027,617.3354,539.2885,647.5609,629.5504,391.3206,313.2737,317.2839,239.237
SQDG(16:0_22:4)+NH4,888.5871,615.3198,539.2885,645.5452,627.5347,389.305,313.2737,315.2682,239.237
SQDG(16:0_22:5)+NH4,886.5714,613.3041,539.2885,643.5296,625.519,387.2894,313.2737,313.2526,239.237
SQDG(16:0_22:6)+NH4,884.5558,611.2885,539.2885,641.514,623.5034,385.2737,313.2737,311.2369,239.237
SQDG(16:0_23:0)+NH4,910.6653,637.398,539.2885,667.6235,649.6129,411.3833,313.2737,337.3465,239.237
SQDG(16:0_24:0)+NH4,924.681,651.4136,539.2885,681.6392,663.6286,425.3989,313.2737,351.3622,239.237
SQDG(16:0_24:1)+NH4,922.6653,649.398,539.2885,679.6235,661.6129,423.3833,313.2737,349.3465,239.237
SQDG(16:0_24:2)+NH4,920.6497,647.3823,539.2885,677.6078,659.5973,421.3676,313.2737,347.3308,239.237
SQDG(16:0_24:4)+NH4,916.6183,643.351,539.2885,673.5765,655.566,417.3363,313.2737,343.2996,239.237
SQDG(16:0_25:0)+NH4,938.6966,665.4293,539.2885,695.6548,677.6442,439.4146,313.2737,365.3778,239.237
SQDG(16:0_26:0)+NH4,952.7123,679.4449,539.2885,709.6705,691.6599,453.4302,313.2737,379.3935,239.237
SQDG(16:0_26:1)+NH4,950.6966,677.4293,539.2885,707.6548,689.6442,451.4146,313.2737,377.3778,239.237
SQDG(16:0_26:2)+NH4,948.681,675.4136,539.2885,705.6392,687.6286,449.3989,313.2737,375.3622,239.237
SQDG(16:0_26:4)+NH4,944.6497,671.3823,539.2885,701.6078,683.5973,445.3676,313.2737,371.3308,239.237
SQDG(16:0_27:0)+NH4,966.7279,693.4606,539.2885,723.6861,705.6755,467.4459,313.2737,393.4091,239.237
SQDG(16:1_16:1)+NH4,808.5245,537.2728,537.2728,565.4827,547.4721,311.2581,311.2581,237.2213,237.2213
SQDG(16:1_16:2)+NH4,806.5089,535.2571,537.2728,563.467,545.4564,309.2424,311.2581,235.2056,237.2213
SQDG(16:1_16:3)+NH4,804.4932,533.2415,537.2728,561.4514,543.4408,307.2267,311.2581,233.19,237.2213
SQDG(16:1_16:4)+NH4,802.4775,531.2258,537.2728,559.4357,541.4251,305.2111,311.2581,231.1743,237.2213
SQDG(17:0_16:1)+NH4,824.5558,537.2728,553.3041,581.514,563.5034,311.2581,327.2894,237.2213,253.2526
SQDG(16:1_17:1)+NH4,822.5401,551.2885,537.2728,579.4983,561.4877,325.2737,311.2581,251.237,237.2213
SQDG(16:1_17:2)+NH4,820.5245,549.2728,537.2728,577.4827,559.4721,323.2581,311.2581,249.2213,237.2213
SQDG(18:0_16:1)+NH4,838.5714,537.2728,567.3198,595.5296,577.519,311.2581,341.305,237.2213,267.2682
SQDG(16:1_18:1)+NH4,836.5558,565.3041,537.2728,593.514,575.5034,339.2894,311.2581,265.2526,237.2213
SQDG(16:1_18:2)+NH4,834.5401,563.2885,537.2728,591.4983,573.4877,337.2737,311.2581,263.2369,237.2213
SQDG(16:1_18:3)+NH4,832.5245,561.2728,537.2728,589.4827,571.4721,335.2581,311.2581,261.2213,237.2213
SQDG(16:1_18:4)+NH4,830.5089,559.2571,537.2728,587.467,569.4564,333.2424,311.2581,259.2057,237.2213
SQDG(16:1_18:5)+NH4,828.4932,557.2415,537.2728,585.4514,567.4408,331.2267,311.2581,257.19,237.2213
SQDG(19:0_16:1)+NH4,852.5871,537.2728,581.3354,609.5452,591.5347,311.2581,355.3206,237.2213,281.2839
SQDG(16:1_19:1)+NH4,850.5714,579.3198,537.2728,607.5296,589.519,353.305,311.2581,279.2682,237.2213
SQDG(16:1_19:2)+NH4,848.5558,577.3041,537.2728,605.514,587.5034,351.2894,311.2581,277.2526,237.2213
SQDG(20:0_16:1)+NH4,866.6027,537.2728,595.351,623.5609,605.5504,311.2581,369.3363,237.2213,295.2996
SQDG(16:1_20:1)+NH4,864.5871,593.3354,537.2728,621.5452,603.5347,367.3206,311.2581,293.2839,237.2213
SQDG(16:1_20:2)+NH4,862.5714,591.3198,537.2728,619.5296,601.519,365.305,311.2581,291.2682,237.2213
SQDG(16:1_20:3)+NH4,860.5558,589.3041,537.2728,617.514,599.5034,363.2894,311.2581,289.2526,237.2213
SQDG(16:1_20:4)+NH4,858.5401,587.2885,537.2728,615.4983,597.4877,361.2737,311.2581,287.2369,237.2213
SQDG(16:1_20:5)+NH4,856.5245,585.2728,537.2728,613.4827,595.4721,359.2581,311.2581,285.2213,237.2213
SQDG(21:0_16:1)+NH4,880.6183,537.2728,609.3667,637.5765,619.566,311.2581,383.352,237.2213,309.3152
SQDG(16:1_21:1)+NH4,878.6027,607.351,537.2728,635.5609,617.5504,381.3363,311.2581,307.2996,237.2213
SQDG(16:1_21:2)+NH4,876.5871,605.3354,537.2728,633.5452,615.5347,379.3206,311.2581,305.2839,237.2213
SQDG(22:0_16:1)+NH4,894.634,537.2728,623.3823,651.5922,633.5816,311.2581,397.3676,237.2213,323.3308
SQDG(16:1_22:1)+NH4,892.6183,621.3667,537.2728,649.5765,631.566,395.352,311.2581,321.3152,237.2213
SQDG(16:1_22:2)+NH4,890.6027,619.351,537.2728,647.5609,629.5504,393.3363,311.2581,319.2996,237.2213
SQDG(16:1_22:3)+NH4,888.5871,617.3354,537.2728,645.5452,627.5347,391.3206,311.2581,317.2839,237.2213
SQDG(16:1_22:4)+NH4,886.5714,615.3198,537.2728,643.5296,625.519,389.305,311.2581,315.2682,237.2213
SQDG(16:1_22:5)+NH4,884.5558,613.3041,537.2728,641.514,623.5034,387.2894,311.2581,313.2526,237.2213
SQDG(16:1_22:6)+NH4,882.5401,611.2885,537.2728,639.4983,621.4877,385.2737,311.2581,311.2369,237.2213
SQDG(23:0_16:1)+NH4,908.6497,537.2728,637.398,665.6078,647.5973,311.2581,411.3833,237.2213,337.3465
SQDG(24:0_16:1)+NH4,922.6653,537.2728,651.4136,679.6235,661.6129,311.2581,425.3989,237.2213,351.3622
SQDG(16:1_24:1)+NH4,920.6497,649.398,537.2728,677.6078,659.5973,423.3833,311.2581,349.3465,237.2213
SQDG(16:1_24:2)+NH4,918.634,647.3823,537.2728,675.5922,657.5816,421.3676,311.2581,347.3308,237.2213
SQDG(16:1_24:4)+NH4,914.6027,643.351,537.2728,671.5609,653.5504,417.3363,311.2581,343.2996,237.2213
SQDG(25:0_16:1)+NH4,936.681,537.2728,665.4293,693.6392,675.6286,311.2581,439.4146,237.2213,365.3778
SQDG(26:0_16:1)+NH4,950.6966,537.2728,679.4449,707.6548,689.6442,311.2581,453.4302,237.2213,379.3935
SQDG(16:1_26:1)+NH4,948.681,677.4293,537.2728,705.6392,687.6286,451.4146,311.2581,377.3778,237.2213
SQDG(16:1_26:2)+NH4,946.6653,675.4136,537.2728,703.6235,685.6129,449.3989,311.2581,375.3622,237.2213
SQDG(16:1_26:4)+NH4,942.634,671.3823,537.2728,699.5922,681.5816,445.3676,311.2581,371.3308,237.2213
SQDG(27:0_16:1)+NH4,964.7123,537.2728,693.4606,721.6705,703.6599,311.2581,467.4459,237.2213,393.4091
SQDG(16:2_16:2)+NH4,804.4932,535.2571,535.2571,561.4514,543.4408,309.2424,309.2424,235.2056,235.2056
SQDG(16:2_16:3)+NH4,802.4775,533.2415,535.2571,559.4357,541.4251,307.2267,309.2424,233.19,235.2056
SQDG(16:2_16:4)+NH4,800.4619,531.2258,535.2571,557.42,539.4095,305.2111,309.2424,231.1743,235.2056
SQDG(17:0_16:2)+NH4,822.5401,535.2571,553.3041,579.4983,561.4877,309.2424,327.2894,235.2056,253.2526
SQDG(17:1_16:2)+NH4,820.5245,535.2571,551.2885,577.4827,559.4721,309.2424,325.2737,235.2056,251.237
SQDG(16:2_17:2)+NH4,818.5089,549.2728,535.2571,575.467,557.4564,323.2581,309.2424,249.2213,235.2056
SQDG(18:0_16:2)+NH4,836.5558,535.2571,567.3198,593.514,575.5034,309.2424,341.305,235.2056,267.2682
SQDG(18:1_16:2)+NH4,834.5401,535.2571,565.3041,591.4983,573.4877,309.2424,339.2894,235.2056,265.2526
SQDG(16:2_18:2)+NH4,832.5245,563.2885,535.2571,589.4827,571.4721,337.2737,309.2424,263.2369,235.2056
SQDG(16:2_18:3)+NH4,830.5089,561.2728,535.2571,587.467,569.4564,335.2581,309.2424,261.2213,235.2056
SQDG(16:2_18:4)+NH4,828.4932,559.2571,535.2571,585.4514,567.4408,333.2424,309.2424,259.2057,235.2056
SQDG(16:2_18:5)+NH4,826.4775,557.2415,535.2571,583.4357,565.4251,331.2267,309.2424,257.19,235.2056
SQDG(19:0_16:2)+NH4,850.5714,535.2571,581.3354,607.5296,589.519,309.2424,355.3206,235.2056,281.2839
SQDG(19:1_16:2)+NH4,848.5558,535.2571,579.3198,605.514,587.5034,309.2424,353.305,235.2056,279.2682
SQDG(16:2_19:2)+NH4,846.5401,577.3041,535.2571,603.4983,585.4877,351.2894,309.2424,277.2526,235.2056
SQDG(20:0_16:2)+NH4,864.5871,535.2571,595.351,621.5452,603.5347,309.2424,369.3363,235.2056,295.2996
SQDG(20:1_16:2)+NH4,862.5714,535.2571,593.3354,619.5296,601.519,309.2424,367.3206,235.2056,293.2839
SQDG(16:2_20:2)+NH4,860.5558,591.3198,535.2571,617.514,599.5034,365.305,309.2424,291.2682,235.2056
SQDG(16:2_20:3)+NH4,858.5401,589.3041,535.2571,615.4983,597.4877,363.2894,309.2424,289.2526,235.2056
