SQDG,[M+NH4]+,[M-SN1+H]+,[M-SN2+H]+,[M-C6H10O7S+H]+,[M-C6H10O7S-H2O+H]+,[M-C6H10O7S-SN1+H]+,[M-C6H10O7S-SN2+H]+,SN2,SN1
SQDG(12:0_22:1)+NH4,838.5714,621.3667,483.2258,595.5296,577.519,395.352,257.2111,321.3152,183.1743
SQDG(12:0_22:2)+NH4,836.5558,619.351,483.2258,593.514,575.5034,393.3363,257.2111,319.2996,183.1743
SQDG(12:0_22:3)+NH4,834.5401,617.3354,483.2258,591.4983,573.4877,391.3206,257.2111,317.2839,183.1743
SQDG(12:0_22:4)+NH4,832.5245,615.3197,483.2258,589.4827,571.4721,389.305,257.2111,315.2682,183.1743
SQDG(12:0_22:5)+NH4,830.5089,613.3041,483.2258,587.467,569.4564,387.2894,257.2111,313.2526,183.1743
SQDG(12:0_22:6)+NH4,828.4932,611.2885,483.2258,585.4514,567.4408,385.2737,257.2111,311.2369,183.1743
SQDG(12:0_23:0)+NH4,854.6027,637.398,483.2258,611.5609,593.5504,411.3833,257.2111,337.3465,183.1743
SQDG(12:0_24:0)+NH4,868.6183,651.4136,483.2258,625.5765,607.566,425.3989,257.2111,351.3622,183.1743
SQDG(12:0_24:1)+NH4,866.6027,649.398,483.2258,623.5609,605.5504,423.3833,257.2111,349.3465,183.1743
SQDG(12:0_24:2)+NH4,864.5871,647.3823,483.2258,621.5452,603.5347,421.3676,257.2111,347.3308,183.1743
SQDG(12:0_24:4)+NH4,860.5558,643.351,483.2258,617.514,599.5034,417.3363,257.2111,343.2996,183.1743
SQDG(12:0_25:0)+NH4,882.634,665.4293,483.2258,639.5922,621.5816,439.4146,257.2111,365.3778,183.1743
SQDG(12:0_26:0)+NH4,896.6497,679.4449,483.2258,653.6078,635.5973,453.4302,257.2111,379.3935,183.1743
SQDG(12:0_26:1)+NH4,894.634,677.4293,483.2258,651.5922,633.5816,451.4146,257.2111,377.3778,183.1743
SQDG(12:0_26:2)+NH4,892.6183,675.4136,483.2258,649.5765,631.566,449.3989,257.2111,375.3622,183.1743
SQDG(12:0_26:4)+NH4,888.5871,671.3823,483.2258,645.5452,627.5347,445.3676,257.2111,371.3308,183.1743
SQDG(12:0_27:0)+NH4,910.6653,693.4606,483.2258,667.6235,649.6129,467.4459,257.2111,393.4091,183.1743
SQDG(13:0_13:0)+NH4,728.4619,497.2415,497.2415,485.42,467.4095,271.2267,271.2267,197.19,197.19
SQDG(13:0_13:1)+NH4,726.4462,495.2258,497.2415,483.4044,465.3938,269.2111,271.2267,195.1743,197.19
SQDG(13:0_14:0)+NH4,742.4775,511.2571,497.2415,499.4357,481.4251,285.2424,271.2267,211.2056,197.19
SQDG(13:0_14:1)+NH4,740.4619,509.2415,497.2415,497.42,479.4095,283.2267,271.2267,209.19,197.19
SQDG(13:0_15:0)+NH4,756.4932,525.2728,497.2415,513.4514,495.4408,299.2581,271.2267,225.2213,197.19
SQDG(13:0_15:1)+NH4,754.4775,523.2571,497.2415,511.4357,493.4251,297.2424,271.2267,223.2056,197.19
SQDG(13:0_16:0)+NH4,770.5089,539.2885,497.2415,527.467,509.4564,313.2737,271.2267,239.237,197.19
SQDG(13:0_16:1)+NH4,768.4932,537.2728,497.2415,525.4514,507.4408,311.2581,271.2267,237.2213,197.19
SQDG(13:0_16:2)+NH4,766.4775,535.2571,497.2415,523.4357,505.4251,309.2424,271.2267,235.2056,197.19
SQDG(13:0_16:3)+NH4,764.4619,533.2415,497.2415,521.42,503.4095,307.2267,271.2267,233.19,197.19
SQDG(13:0_16:4)+NH4,762.4462,531.2258,497.2415,519.4044,501.3938,305.2111,271.2267,231.1743,197.19
SQDG(13:0_17:0)+NH4,784.5245,553.3041,497.2415,541.4827,523.4721,327.2894,271.2267,253.2526,197.19
SQDG(13:0_17:1)+NH4,782.5089,551.2885,497.2415,539.467,521.4564,325.2737,271.2267,251.237,197.19
SQDG(13:0_17:2)+NH4,780.4932,549.2728,497.2415,537.4514,519.4408,323.2581,271.2267,249.2213,197.19
SQDG(13:0_18:0)+NH4,798.5401,567.3198,497.2415,555.4983,537.4877,341.305,271.2267,267.2682,197.19
SQDG(13:0_18:1)+NH4,796.5245,565.3041,497.2415,553.4827,535.4721,339.2894,271.2267,265.2526,197.19
SQDG(13:0_18:2)+NH4,794.5089,563.2885,497.2415,551.467,533.4564,337.2737,271.2267,263.2369,197.19
SQDG(13:0_18:3)+NH4,792.4932,561.2728,497.2415,549.4514,531.4408,335.2581,271.2267,261.2213,197.19
SQDG(13:0_18:4)+NH4,790.4775,559.2571,497.2415,547.4357,529.4251,333.2424,271.2267,259.2057,197.19
SQDG(13:0_18:5)+NH4,788.4619,557.2415,497.2415,545.42,527.4095,331.2267,271.2267,257.19,197.19
SQDG(13:0_19:0)+NH4,812.5558,581.3354,497.2415,569.514,551.5034,355.3206,271.2267,281.2839,197.19
SQDG(13:0_19:1)+NH4,810.5401,579.3198,497.2415,567.4983,549.4877,353.305,271.2267,279.2682,197.19
SQDG(13:0_19:2)+NH4,808.5245,577.3041,497.2415,565.4827,547.4721,351.2894,271.2267,277.2526,197.19
SQDG(13:0_20:0)+NH4,826.5714,595.351,497.2415,583.5296,565.519,369.3363,271.2267,295.2996,197.19
SQDG(13:0_20:1)+NH4,824.5558,593.3354,497.2415,581.514,563.5034,367.3206,271.2267,293.2839,197.19
SQDG(13:0_20:2)+NH4,822.5401,591.3198,497.2415,579.4983,561.4877,365.305,271.2267,291.2682,197.19
SQDG(13:0_20:3)+NH4,820.5245,589.3041,497.2415,577.4827,559.4721,363.2894,271.2267,289.2526,197.19
SQDG(13:0_20:4)+NH4,818.5089,587.2885,497.2415,575.467,557.4564,361.2737,271.2267,287.2369,197.19
SQDG(13:0_20:5)+NH4,816.4932,585.2728,497.2415,573.4514,555.4408,359.2581,271.2267,285.2213,197.19
SQDG(13:0_21:0)+NH4,840.5871,609.3667,497.2415,597.5452,579.5347,383.352,271.2267,309.3152,197.19
SQDG(13:0_21:1)+NH4,838.5714,607.351,497.2415,595.5296,577.519,381.3363,271.2267,307.2996,197.19
SQDG(13:0_21:2)+NH4,836.5558,605.3354,497.2415,593.514,575.5034,379.3206,271.2267,305.2839,197.19
SQDG(13:0_22:0)+NH4,854.6027,623.3823,497.2415,611.5609,593.5504,397.3676,271.2267,323.3308,197.19
SQDG(13:0_22:1)+NH4,852.5871,621.3667,497.2415,609.5452,591.5347,395.352,271.2267,321.3152,197.19
SQDG(13:0_22:2)+NH4,850.5714,619.351,497.2415,607.5296,589.519,393.3363,271.2267,319.2996,197.19
SQDG(13:0_22:3)+NH4,848.5558,617.3354,497.2415,605.514,587.5034,391.3206,271.2267,317.2839,197.19
SQDG(13:0_22:4)+NH4,846.5401,615.3198,497.2415,603.4983,585.4877,389.305,271.2267,315.2682,197.19
SQDG(13:0_22:5)+NH4,844.5245,613.3041,497.2415,601.4827,583.4721,387.2894,271.2267,313.2526,197.19
SQDG(13:0_22:6)+NH4,842.5089,611.2885,497.2415,599.467,581.4564,385.2737,271.2267,311.2369,197.19
SQDG(13:0_23:0)+NH4,868.6183,637.398,497.2415,625.5765,607.566,411.3833,271.2267,337.3465,197.19
SQDG(13:0_24:0)+NH4,882.634,651.4136,497.2415,639.5922,621.5816,425.3989,271.2267,351.3622,197.19
SQDG(13:0_24:1)+NH4,880.6183,649.398,497.2415,637.5765,619.566,423.3833,271.2267,349.3465,197.19
SQDG(13:0_24:2)+NH4,878.6027,647.3823,497.2415,635.5609,617.5504,421.3676,271.2267,347.3308,197.19
SQDG(13:0_24:4)+NH4,874.5714,643.351,497.2415,631.5296,613.519,417.3363,271.2267,343.2996,197.19
SQDG(13:0_25:0)+NH4,896.6497,665.4293,497.2415,653.6078,635.5973,439.4146,271.2267,365.3778,197.19
SQDG(13:0_26:0)+NH4,910.6653,679.4449,497.2415,667.6235,649.6129,453.4302,271.2267,379.3935,197.19
SQDG(13:0_26:1)+NH4,908.6497,677.4293,497.2415,665.6078,647.5973,451.4146,271.2267,377.3778,197.19
SQDG(13:0_26:2)+NH4,906.634,675.4136,497.2415,663.5922,645.5816,449.3989,271.2267,375.3622,197.19
SQDG(13:0_26:4)+NH4,902.6027,671.3823,497.2415,659.5609,641.5504,445.3676,271.2267,371.3308,197.19
SQDG(13:0_27:0)+NH4,924.681,693.4606,497.2415,681.6392,663.6286,467.4459,271.2267,393.4091,197.19
SQDG(13:1_13:1)+NH4,724.4305,495.2258,495.2258,481.3888,463.3782,269.2111,269.2111,195.1743,195.1743
SQDG(14:0_13:1)+NH4,740.4619,495.2258,511.2571,497.42,479.4095,269.2111,285.2424,195.1743,211.2056
SQDG(13:1_14:1)+NH4,738.4462,509.2415,495.2258,495.4044,477.3938,283.2267,269.2111,209.19,195.1743
SQDG(15:0_13:1)+NH4,754.4775,495.2258,525.2728,511.4357,493.4251,269.2111,299.2581,195.1743,225.2213
SQDG(13:1_15:1)+NH4,752.4619,523.2571,495.2258,509.42,491.4095,297.2424,269.2111,223.2056,195.1743
SQDG(16:0_13:1)+NH4,768.4932,495.2258,539.2885,525.4514,507.4408,269.2111,313.2737,195.1743,239.237
SQDG(13:1_16:1)+NH4,766.4775,537.2728,495.2258,523.4357,505.4251,311.2581,269.2111,237.2213,195.1743
SQDG(13:1_16:2)+NH4,764.4619,535.2571,495.2258,521.42,503.4095,309.2424,269.2111,235.2056,195.1743
SQDG(13:1_16:3)+NH4,762.4462,533.2415,495.2258,519.4044,501.3938,307.2267,269.2111,233.19,195.1743
SQDG(13:1_16:4)+NH4,760.4305,531.2258,495.2258,517.3887,499.3782,305.2111,269.2111,231.1743,195.1743
SQDG(17:0_13:1)+NH4,782.5089,495.2258,553.3041,539.467,521.4564,269.2111,327.2894,195.1743,253.2526
SQDG(13:1_17:1)+NH4,780.4932,551.2885,495.2258,537.4514,519.4408,325.2737,269.2111,251.237,195.1743
SQDG(13:1_17:2)+NH4,778.4775,549.2728,495.2258,535.4357,517.4251,323.2581,269.2111,249.2213,195.1743
SQDG(18:0_13:1)+NH4,796.5245,495.2258,567.3197,553.4827,535.4721,269.2111,341.305,195.1743,267.2682
SQDG(13:1_18:1)+NH4,794.5089,565.3041,495.2258,551.467,533.4564,339.2894,269.2111,265.2526,195.1743
SQDG(13:1_18:2)+NH4,792.4932,563.2885,495.2258,549.4514,531.4408,337.2737,269.2111,263.2369,195.1743
SQDG(13:1_18:3)+NH4,790.4775,561.2728,495.2258,547.4357,529.4251,335.2581,269.2111,261.2213,195.1743
SQDG(13:1_18:4)+NH4,788.4619,559.2571,495.2258,545.42,527.4095,333.2424,269.2111,259.2057,195.1743
SQDG(13:1_18:5)+NH4,786.4462,557.2415,495.2258,543.4044,525.3939,331.2267,269.2111,257.19,195.1743
SQDG(19:0_13:1)+NH4,810.5401,495.2258,581.3354,567.4983,549.4877,269.2111,355.3206,195.1743,281.2839
SQDG(13:1_19:1)+NH4,808.5245,579.3197,495.2258,565.4827,547.4721,353.305,269.2111,279.2682,195.1743
SQDG(13:1_19:2)+NH4,806.5089,577.3041,495.2258,563.467,545.4564,351.2894,269.2111,277.2526,195.1743
SQDG(20:0_13:1)+NH4,824.5558,495.2258,595.351,581.514,563.5034,269.2111,369.3363,195.1743,295.2996
SQDG(13:1_20:1)+NH4,822.5401,593.3354,495.2258,579.4983,561.4877,367.3206,269.2111,293.2839,195.1743
SQDG(13:1_20:2)+NH4,820.5245,591.3197,495.2258,577.4827,559.4721,365.305,269.2111,291.2682,195.1743
SQDG(13:1_20:3)+NH4,818.5089,589.3041,495.2258,575.467,557.4564,363.2894,269.2111,289.2526,195.1743
SQDG(13:1_20:4)+NH4,816.4932,587.2885,495.2258,573.4514,555.4408,361.2737,269.2111,287.2369,195.1743
SQDG(13:1_20:5)+NH4,814.4775,585.2728,495.2258,571.4357,553.4251,359.2581,269.2111,285.2213,195.1743
SQDG(21:0_13:1)+NH4,838.5714,495.2258,609.3667,595.5296,577.519,269.2111,383.352,195.1743,309.3152
SQDG(13:1_21:1)+NH4,836.5558,607.351,495.2258,593.514,575.5034,381.3363,269.2111,307.2996,195.1743
SQDG(13:1_21:2)+NH4,834.5401,605.3354,495.2258,591.4983,573.4877,379.3206,269.2111,305.2839,195.1743
SQDG(22:0_13:1)+NH4,852.5871,495.2258,623.3823,609.5452,591.5347,269.2111,397.3676,195.1743,323.3308
SQDG(13:1_22:1)+NH4,850.5714,621.3667,495.2258,607.5296,589.519,395.352,269.2111,321.3152,195.1743
SQDG(13:1_22:2)+NH4,848.5558,619.351,495.2258,605.514,587.5034,393.3363,269.2111,319.2996,195.1743
SQDG(13:1_22:3)+NH4,846.5401,617.3354,495.2258,603.4983,585.4877,391.3206,269.2111,317.2839,195.1743
SQDG(13:1_22:4)+NH4,844.5245,615.3197,495.2258,601.4827,583.4721,389.305,269.2111,315.2682,195.1743
SQDG(13:1_22:5)+NH4,842.5089,613.3041,495.2258,599.467,581.4564,387.2894,269.2111,313.2526,195.1743
SQDG(13:1_22:6)+NH4,840.4932,611.2885,495.2258,597.4514,579.4408,385.2737,269.2111,311.2369,195.1743
SQDG(23:0_13:1)+NH4,866.6027,495.2258,637.398,623.5609,605.5504,269.2111,411.3833,195.1743,337.3465
SQDG(24:0_13:1)+NH4,880.6183,495.2258,651.4136,637.5765,619.566,269.2111,425.3989,195.1743,351.3622
SQDG(13:1_24:1)+NH4,878.6027,649.398,495.2258,635.5609,617.5504,423.3833,269.2111,349.3465,195.1743
SQDG(13:1_24:2)+NH4,876.5871,647.3823,495.2258,633.5452,615.5347,421.3676,269.2111,347.3308,195.1743
SQDG(13:1_24:4)+NH4,872.5558,643.351,495.2258,629.514,611.5034,417.3363,269.2111,343.2996,195.1743
SQDG(25:0_13:1)+NH4,894.634,495.2258,665.4293,651.5922,633.5816,269.2111,439.4146,195.1743,365.3778
SQDG(26:0_13:1)+NH4,908.6497,495.2258,679.4449,665.6078,647.5973,269.2111,453.4302,195.1743,379.3935
SQDG(13:1_26:1)+NH4,906.634,677.4293,495.2258,663.5922,645.5816,451.4146,269.2111,377.3778,195.1743
SQDG(13:1_26:2)+NH4,904.6183,675.4136,495.2258,661.5765,643.566,449.3989,269.2111,375.3622,195.1743
SQDG(13:1_26:4)+NH4,900.5871,671.3823,495.2258,657.5452,639.5347,445.3676,269.2111,371.3308,195.1743
SQDG(27:0_13:1)+NH4,922.6653,495.2258,693.4606,679.6235,661.6129,269.2111,467.4459,195.1743,393.4091
SQDG(14:0_14:0)+NH4,756.4932,511.2571,511.2571,513.4514,495.4408,285.2424,285.2424,211.2056,211.2056
SQDG(14:0_14:1)+NH4,754.4775,509.2415,511.2571,511.4357,493.4251,283.2267,285.2424,209.19,211.2056
SQDG(14:0_15:0)+NH4,770.5089,525.2728,511.2571,527.467,509.4564,299.2581,285.2424,225.2213,211.2056
SQDG(14:0_15:1)+NH4,768.4932,523.2571,511.2571,525.4514,507.4408,297.2424,285.2424,223.2056,211.2056
SQDG(14:0_16:0)+NH4,784.5245,539.2885,511.2571,541.4827,523.4721,313.2737,285.2424,239.237,211.2056
SQDG(14:0_16:1)+NH4,782.5089,537.2728,511.2571,539.467,521.4564,311.2581,285.2424,237.2213,211.2056
SQDG(14:0_16:2)+NH4,780.4932,535.2571,511.2571,537.4514,519.4408,309.2424,285.2424,235.2056,211.2056
SQDG(14:0_16:3)+NH4,778.4775,533.2415,511.2571,535.4357,517.4251,307.2267,285.2424,233.19,211.2056
SQDG(14:0_16:4)+NH4,776.4619,531.2258,511.2571,533.42,515.4095,305.2111,285.2424,231.1743,211.2056
SQDG(14:0_17:0)+NH4,798.5401,553.3041,511.2571,555.4983,537.4877,327.2894,285.2424,253.2526,211.2056
SQDG(14:0_17:1)+NH4,796.5245,551.2885,511.2571,553.4827,535.4721,325.2737,285.2424,251.237,211.2056
SQDG(14:0_17:2)+NH4,794.5089,549.2728,511.2571,551.467,533.4564,323.2581,285.2424,249.2213,211.2056
SQDG(14:0_18:0)+NH4,812.5558,567.3198,511.2571,569.514,551.5034,341.305,285.2424,267.2682,211.2056
SQDG(14:0_18:1)+NH4,810.5401,565.3041,511.2571,567.4983,549.4877,339.2894,285.2424,265.2526,211.2056
SQDG(14:0_18:2)+NH4,808.5245,563.2885,511.2571,565.4827,547.4721,337.2737,285.2424,263.2369,211.2056
SQDG(14:0_18:3)+NH4,806.5089,561.2728,511.2571,563.467,545.4564,335.2581,285.2424,261.2213,211.2056
SQDG(14:0_18:4)+NH4,804.4932,559.2571,511.2571,561.4514,543.4408,333.2424,285.2424,259.2057,211.2056
SQDG(14:0_18:5)+NH4,802.4775,557.2415,511.2571,559.4357,541.4251,331.2267,285.2424,257.19,211.2056
SQDG(14:0_19:0)+NH4,826.5714,581.3354,511.2571,583.5296,565.519,355.3206,285.2424,281.2839,211.2056
SQDG(14:0_19:1)+NH4,824.5558,579.3198,511.2571,581.514,563.5034,353.305,285.2424,279.2682,211.2056
SQDG(14:0_19:2)+NH4,822.5401,577.3041,511.2571,579.4983,561.4877,351.2894,285.2424,277.2526,211.2056
SQDG(14:0_20:0)+NH4,840.5871,595.351,511.2571,597.5452,579.5347,369.3363,285.2424,295.2996,211.2056
SQDG(14:0_20:1)+NH4,838.5714,593.3354,511.2571,595.5296,577.519,367.3206,285.2424,293.2839,211.2056
SQDG(14:0_20:2)+NH4,836.5558,591.3198,511.2571,593.514,575.5034,365.305,285.2424,291.2682,211.2056
SQDG(14:0_20:3)+NH4,834.5401,589.3041,511.2571,591.4983,573.4877,363.2894,285.2424,289.2526,211.2056
