Cer_EOS,[M-H]-,NL of EFA,[FAA+C2H2-H]-,[FAA-H]-,[EFA-H]-,[Sph-C2H8NO]-
Cer_EOS(d16:1/16:0/O-20:2)-H,814.72945,576.49975,348.29135,322.27565,255.23355,209.19165
Cer_EOS(d16:1/16:0/O-20:3)-H,812.71375,574.48405,346.27565,320.26005,255.23355,209.19165
Cer_EOS(d16:1/16:0/O-20:4)-H,810.69815,572.46845,344.26005,318.24445,255.23355,209.19165
Cer_EOS(d16:1/16:0/O-21:0)-H,832.77635,594.54665,366.33835,340.32265,255.23355,209.19165
Cer_EOS(d16:1/16:0/O-21:1)-H,830.76065,592.53105,364.32265,338.30705,255.23355,209.19165
Cer_EOS(d16:1/16:0/O-21:2)-H,828.74505,590.51535,362.30705,336.29135,255.23355,209.19165
Cer_EOS(d16:1/16:0/O-21:3)-H,826.72945,588.49975,360.29135,334.27565,255.23355,209.19165
Cer_EOS(d16:1/16:0/O-21:4)-H,824.71375,586.48405,358.27565,332.26005,255.23355,209.19165
Cer_EOS(d16:1/16:0/O-22:0)-H,846.79195,608.56235,380.35395,354.33835,255.23355,209.19165
Cer_EOS(d16:1/16:0/O-22:1)-H,844.77635,606.54665,378.33835,352.32265,255.23355,209.19165
Cer_EOS(d16:1/16:0/O-22:2)-H,842.76065,604.53105,376.32265,350.30705,255.23355,209.19165
Cer_EOS(d16:1/16:0/O-22:3)-H,840.74505,602.51535,374.30705,348.29135,255.23355,209.19165
Cer_EOS(d16:1/16:0/O-22:4)-H,838.72945,600.49975,372.29135,346.27565,255.23355,209.19165
Cer_EOS(d16:1/16:0/O-23:0)-H,860.80765,622.57805,394.36955,368.35395,255.23355,209.19165
Cer_EOS(d16:1/16:0/O-23:1)-H,858.79195,620.56235,392.35395,366.33835,255.23355,209.19165
Cer_EOS(d16:1/16:0/O-23:2)-H,856.77635,618.54665,390.33835,364.32265,255.23355,209.19165
Cer_EOS(d16:1/16:0/O-23:3)-H,854.76065,616.53105,388.32265,362.30705,255.23355,209.19165
Cer_EOS(d16:1/16:0/O-23:4)-H,852.74505,614.51535,386.30705,360.29135,255.23355,209.19165
Cer_EOS(d16:1/16:0/O-24:0)-H,874.82335,636.59365,408.38525,382.36955,255.23355,209.19165
Cer_EOS(d16:1/16:0/O-24:1)-H,872.80765,634.57805,406.36955,380.35395,255.23355,209.19165
Cer_EOS(d16:1/16:0/O-24:2)-H,870.79195,632.56235,404.35395,378.33835,255.23355,209.19165
Cer_EOS(d16:1/16:0/O-24:3)-H,868.77635,630.54665,402.33835,376.32265,255.23355,209.19165
Cer_EOS(d16:1/16:0/O-24:4)-H,866.76065,628.53105,400.32265,374.30705,255.23355,209.19165
Cer_EOS(d16:1/16:0/O-25:0)-H,888.83895,650.60935,422.40095,396.38525,255.23355,209.19165
Cer_EOS(d16:1/16:0/O-25:1)-H,886.82335,648.59365,420.38525,394.36955,255.23355,209.19165
Cer_EOS(d16:1/16:0/O-25:2)-H,884.80765,646.57805,418.36955,392.35395,255.23355,209.19165
Cer_EOS(d16:1/16:0/O-25:3)-H,882.79195,644.56235,416.35395,390.33835,255.23355,209.19165
Cer_EOS(d16:1/16:0/O-25:4)-H,880.77635,642.54665,414.33835,388.32265,255.23355,209.19165
Cer_EOS(d16:1/16:0/O-26:0)-H,902.85465,664.62495,436.41655,410.40095,255.23355,209.19165
Cer_EOS(d16:1/16:0/O-26:1)-H,900.83895,662.60935,434.40095,408.38525,255.23355,209.19165
Cer_EOS(d16:1/16:0/O-26:2)-H,898.82335,660.59365,432.38525,406.36955,255.23355,209.19165
Cer_EOS(d16:1/16:0/O-26:3)-H,896.80765,658.57805,430.36955,404.35395,255.23355,209.19165
Cer_EOS(d16:1/16:0/O-26:4)-H,894.79195,656.56235,428.35395,402.33835,255.23355,209.19165
Cer_EOS(d16:1/16:0/O-27:0)-H,916.87025,678.64055,450.43225,424.41655,255.23355,209.19165
Cer_EOS(d16:1/16:0/O-27:1)-H,914.85465,676.62495,448.41655,422.40095,255.23355,209.19165
Cer_EOS(d16:1/16:0/O-27:2)-H,912.83895,674.60935,446.40095,420.38525,255.23355,209.19165
Cer_EOS(d16:1/16:0/O-27:3)-H,910.82335,672.59365,444.38525,418.36955,255.23355,209.19165
Cer_EOS(d16:1/16:0/O-27:4)-H,908.80765,670.57805,442.36955,416.35395,255.23355,209.19165
Cer_EOS(d16:1/16:0/O-28:0)-H,930.88595,692.65625,464.44785,438.43225,255.23355,209.19165
Cer_EOS(d16:1/16:0/O-28:1)-H,928.87025,690.64055,462.43225,436.41655,255.23355,209.19165
Cer_EOS(d16:1/16:0/O-28:2)-H,926.85465,688.62495,460.41655,434.40095,255.23355,209.19165
Cer_EOS(d16:1/16:0/O-28:3)-H,924.83895,686.60935,458.40095,432.38525,255.23355,209.19165
Cer_EOS(d16:1/16:0/O-28:4)-H,922.82335,684.59365,456.38525,430.36955,255.23355,209.19165
Cer_EOS(d16:1/16:0/O-29:0)-H,944.90155,706.67185,478.46355,452.44785,255.23355,209.19165
Cer_EOS(d16:1/16:0/O-29:1)-H,942.88595,704.65625,476.44785,450.43225,255.23355,209.19165
Cer_EOS(d16:1/16:0/O-29:2)-H,940.87025,702.64055,474.43225,448.41655,255.23355,209.19165
Cer_EOS(d16:1/16:0/O-29:3)-H,938.85465,700.62495,472.41655,446.40095,255.23355,209.19165
Cer_EOS(d16:1/16:0/O-29:4)-H,936.83895,698.60935,470.40095,444.38525,255.23355,209.19165
Cer_EOS(d16:1/16:0/O-30:0)-H,958.91725,720.68755,492.47915,466.46355,255.23355,209.19165
Cer_EOS(d16:1/16:0/O-30:1)-H,956.90155,718.67185,490.46355,464.44785,255.23355,209.19165
Cer_EOS(d16:1/16:0/O-30:2)-H,954.88595,716.65625,488.44785,462.43225,255.23355,209.19165
Cer_EOS(d16:1/16:0/O-30:3)-H,952.87025,714.64055,486.43225,460.41655,255.23355,209.19165
Cer_EOS(d16:1/16:0/O-30:4)-H,950.85465,712.62495,484.41655,458.40095,255.23355,209.19165
Cer_EOS(d16:1/16:0/O-31:0)-H,972.93285,734.70315,506.49485,480.47915,255.23355,209.19165
Cer_EOS(d16:1/16:0/O-31:1)-H,970.91725,732.68755,504.47915,478.46355,255.23355,209.19165
Cer_EOS(d16:1/16:0/O-31:2)-H,968.90155,730.67185,502.46355,476.44785,255.23355,209.19165
Cer_EOS(d16:1/16:0/O-31:3)-H,966.88595,728.65625,500.44785,474.43225,255.23355,209.19165
Cer_EOS(d16:1/16:0/O-31:4)-H,964.87025,726.64055,498.43225,472.41655,255.23355,209.19165
Cer_EOS(d16:1/16:0/O-32:0)-H,986.94845,748.71885,520.51045,494.49485,255.23355,209.19165
Cer_EOS(d16:1/16:0/O-32:1)-H,984.93285,746.70315,518.49485,492.47915,255.23355,209.19165
Cer_EOS(d16:1/16:0/O-32:2)-H,982.91725,744.68755,516.47915,490.46355,255.23355,209.19165
Cer_EOS(d16:1/16:0/O-32:3)-H,980.90155,742.67185,514.46355,488.44785,255.23355,209.19165
Cer_EOS(d16:1/16:0/O-32:4)-H,978.88595,740.65625,512.44785,486.43225,255.23355,209.19165
Cer_EOS(d16:1/16:0/O-33:0)-H,1000.96455,762.73445,534.52615,508.51045,255.23355,209.19165
Cer_EOS(d16:1/16:0/O-33:1)-H,998.94845,760.71885,532.51045,506.49485,255.23355,209.19165
Cer_EOS(d16:1/16:0/O-33:2)-H,996.93285,758.70315,530.49485,504.47915,255.23355,209.19165
Cer_EOS(d16:1/16:0/O-33:3)-H,994.91725,756.68755,528.47915,502.46355,255.23355,209.19165
Cer_EOS(d16:1/16:0/O-33:4)-H,992.90155,754.67185,526.46355,500.44785,255.23355,209.19165
Cer_EOS(d16:1/16:0/O-34:0)-H,1014.97955,776.75015,548.54175,522.52615,255.23355,209.19165
Cer_EOS(d16:1/16:0/O-34:1)-H,1012.96455,774.73445,546.52615,520.51045,255.23355,209.19165
Cer_EOS(d16:1/16:0/O-34:2)-H,1010.94855,772.71885,544.51045,518.49485,255.23355,209.19165
Cer_EOS(d16:1/16:0/O-34:3)-H,1008.93255,770.70315,542.49485,516.47915,255.23355,209.19165
Cer_EOS(d16:1/16:0/O-34:4)-H,1006.91755,768.68755,540.47915,514.46355,255.23355,209.19165
Cer_EOS(d16:1/16:0/O-35:0)-H,1028.99555,790.76585,562.55745,536.54175,255.23355,209.19165
Cer_EOS(d16:1/16:0/O-35:1)-H,1026.97955,788.75015,560.54175,534.52615,255.23355,209.19165
Cer_EOS(d16:1/16:0/O-35:2)-H,1024.96455,786.73445,558.52615,532.51045,255.23355,209.19165
Cer_EOS(d16:1/16:0/O-35:3)-H,1022.94855,784.71885,556.51045,530.49485,255.23355,209.19165
Cer_EOS(d16:1/16:0/O-35:4)-H,1020.93255,782.70315,554.49485,528.47915,255.23355,209.19165
Cer_EOS(d16:1/16:0/O-36:0)-H,1043.01155,804.78145,576.57305,550.55745,255.23355,209.19165
Cer_EOS(d16:1/16:0/O-36:1)-H,1040.99555,802.76585,574.55745,548.54175,255.23355,209.19165
Cer_EOS(d16:1/16:0/O-36:2)-H,1038.97955,800.75015,572.54175,546.52615,255.23355,209.19165
Cer_EOS(d16:1/16:0/O-36:3)-H,1036.96455,798.73445,570.52615,544.51045,255.23355,209.19165
Cer_EOS(d16:1/16:0/O-36:4)-H,1034.94855,796.71885,568.51045,542.49485,255.23355,209.19165
Cer_EOS(d16:1/16:1/O-16:0)-H,760.68245,524.46845,296.26005,270.24445,253.21785,209.19165
Cer_EOS(d16:1/16:1/O-16:1)-H,758.66685,522.45275,294.24445,268.22875,253.21785,209.19165
Cer_EOS(d16:1/16:1/O-16:2)-H,756.65115,520.43715,292.22875,266.21315,253.21785,209.19165
Cer_EOS(d16:1/16:1/O-16:3)-H,754.63545,518.42155,290.21315,264.19745,253.21785,209.19165
Cer_EOS(d16:1/16:1/O-16:4)-H,752.61985,516.40585,288.19745,262.18185,253.21785,209.19165
Cer_EOS(d16:1/16:1/O-17:0)-H,774.69815,538.48405,310.27565,284.26005,253.21785,209.19165
Cer_EOS(d16:1/16:1/O-17:1)-H,772.68245,536.46845,308.26005,282.24445,253.21785,209.19165
Cer_EOS(d16:1/16:1/O-17:2)-H,770.66685,534.45275,306.24445,280.22875,253.21785,209.19165
Cer_EOS(d16:1/16:1/O-17:3)-H,768.65115,532.43715,304.22875,278.21315,253.21785,209.19165
Cer_EOS(d16:1/16:1/O-18:0)-H,788.71375,552.49975,324.29135,298.27565,253.21785,209.19165
Cer_EOS(d16:1/16:1/O-18:1)-H,786.69815,550.48405,322.27565,296.26005,253.21785,209.19165
Cer_EOS(d16:1/16:1/O-18:2)-H,784.68245,548.46845,320.26005,294.24445,253.21785,209.19165
Cer_EOS(d16:1/16:1/O-18:3)-H,782.66685,546.45275,318.24445,292.22875,253.21785,209.19165
Cer_EOS(d16:1/16:1/O-18:4)-H,780.65115,544.43715,316.22875,290.21315,253.21785,209.19165
Cer_EOS(d16:1/16:1/O-19:0)-H,802.72945,566.51535,338.30705,312.29135,253.21785,209.19165
Cer_EOS(d16:1/16:1/O-19:1)-H,800.71375,564.49975,336.29135,310.27565,253.21785,209.19165
Cer_EOS(d16:1/16:1/O-19:2)-H,798.69815,562.48405,334.27565,308.26005,253.21785,209.19165
Cer_EOS(d16:1/16:1/O-19:3)-H,796.68245,560.46845,332.26005,306.24445,253.21785,209.19165
Cer_EOS(d16:1/16:1/O-19:4)-H,794.66685,558.45275,330.24445,304.22875,253.21785,209.19165
Cer_EOS(d16:1/16:1/O-20:0)-H,816.74505,580.53105,352.32265,326.30705,253.21785,209.19165
Cer_EOS(d16:1/16:1/O-20:1)-H,814.72945,578.51535,350.30705,324.29135,253.21785,209.19165
Cer_EOS(d16:1/16:1/O-20:2)-H,812.71375,576.49975,348.29135,322.27565,253.21785,209.19165
Cer_EOS(d16:1/16:1/O-20:3)-H,810.69815,574.48405,346.27565,320.26005,253.21785,209.19165
Cer_EOS(d16:1/16:1/O-20:4)-H,808.68245,572.46845,344.26005,318.24445,253.21785,209.19165
Cer_EOS(d16:1/16:1/O-21:0)-H,830.76065,594.54665,366.33835,340.32265,253.21785,209.19165
Cer_EOS(d16:1/16:1/O-21:1)-H,828.74505,592.53105,364.32265,338.30705,253.21785,209.19165
Cer_EOS(d16:1/16:1/O-21:2)-H,826.72945,590.51535,362.30705,336.29135,253.21785,209.19165
Cer_EOS(d16:1/16:1/O-21:3)-H,824.71375,588.49975,360.29135,334.27565,253.21785,209.19165
Cer_EOS(d16:1/16:1/O-21:4)-H,822.69815,586.48405,358.27565,332.26005,253.21785,209.19165
Cer_EOS(d16:1/16:1/O-22:0)-H,844.77635,608.56235,380.35395,354.33835,253.21785,209.19165
Cer_EOS(d16:1/16:1/O-22:1)-H,842.76065,606.54665,378.33835,352.32265,253.21785,209.19165
Cer_EOS(d16:1/16:1/O-22:2)-H,840.74505,604.53105,376.32265,350.30705,253.21785,209.19165
Cer_EOS(d16:1/16:1/O-22:3)-H,838.72945,602.51535,374.30705,348.29135,253.21785,209.19165
Cer_EOS(d16:1/16:1/O-22:4)-H,836.71375,600.49975,372.29135,346.27565,253.21785,209.19165
Cer_EOS(d16:1/16:1/O-23:0)-H,858.79195,622.57805,394.36955,368.35395,253.21785,209.19165
Cer_EOS(d16:1/16:1/O-23:1)-H,856.77635,620.56235,392.35395,366.33835,253.21785,209.19165
Cer_EOS(d16:1/16:1/O-23:2)-H,854.76065,618.54665,390.33835,364.32265,253.21785,209.19165
Cer_EOS(d16:1/16:1/O-23:3)-H,852.74505,616.53105,388.32265,362.30705,253.21785,209.19165
Cer_EOS(d16:1/16:1/O-23:4)-H,850.72945,614.51535,386.30705,360.29135,253.21785,209.19165
Cer_EOS(d16:1/16:1/O-24:0)-H,872.80765,636.59365,408.38525,382.36955,253.21785,209.19165
Cer_EOS(d16:1/16:1/O-24:1)-H,870.79195,634.57805,406.36955,380.35395,253.21785,209.19165
Cer_EOS(d16:1/16:1/O-24:2)-H,868.77635,632.56235,404.35395,378.33835,253.21785,209.19165
Cer_EOS(d16:1/16:1/O-24:3)-H,866.76065,630.54665,402.33835,376.32265,253.21785,209.19165
Cer_EOS(d16:1/16:1/O-24:4)-H,864.74505,628.53105,400.32265,374.30705,253.21785,209.19165
Cer_EOS(d16:1/16:1/O-25:0)-H,886.82335,650.60935,422.40095,396.38525,253.21785,209.19165
Cer_EOS(d16:1/16:1/O-25:1)-H,884.80765,648.59365,420.38525,394.36955,253.21785,209.19165
Cer_EOS(d16:1/16:1/O-25:2)-H,882.79195,646.57805,418.36955,392.35395,253.21785,209.19165
Cer_EOS(d16:1/16:1/O-25:3)-H,880.77635,644.56235,416.35395,390.33835,253.21785,209.19165
Cer_EOS(d16:1/16:1/O-25:4)-H,878.76065,642.54665,414.33835,388.32265,253.21785,209.19165
Cer_EOS(d16:1/16:1/O-26:0)-H,900.83895,664.62495,436.41655,410.40095,253.21785,209.19165
Cer_EOS(d16:1/16:1/O-26:1)-H,898.82335,662.60935,434.40095,408.38525,253.21785,209.19165
Cer_EOS(d16:1/16:1/O-26:2)-H,896.80765,660.59365,432.38525,406.36955,253.21785,209.19165
Cer_EOS(d16:1/16:1/O-26:3)-H,894.79195,658.57805,430.36955,404.35395,253.21785,209.19165
Cer_EOS(d16:1/16:1/O-26:4)-H,892.77635,656.56235,428.35395,402.33835,253.21785,209.19165
Cer_EOS(d16:1/16:1/O-27:0)-H,914.85465,678.64055,450.43225,424.41655,253.21785,209.19165
Cer_EOS(d16:1/16:1/O-27:1)-H,912.83895,676.62495,448.41655,422.40095,253.21785,209.19165
Cer_EOS(d16:1/16:1/O-27:2)-H,910.82335,674.60935,446.40095,420.38525,253.21785,209.19165
Cer_EOS(d16:1/16:1/O-27:3)-H,908.80765,672.59365,444.38525,418.36955,253.21785,209.19165
Cer_EOS(d16:1/16:1/O-27:4)-H,906.79195,670.57805,442.36955,416.35395,253.21785,209.19165
Cer_EOS(d16:1/16:1/O-28:0)-H,928.87025,692.65625,464.44785,438.43225,253.21785,209.19165
Cer_EOS(d16:1/16:1/O-28:1)-H,926.85465,690.64055,462.43225,436.41655,253.21785,209.19165
Cer_EOS(d16:1/16:1/O-28:2)-H,924.83895,688.62495,460.41655,434.40095,253.21785,209.19165
Cer_EOS(d16:1/16:1/O-28:3)-H,922.82335,686.60935,458.40095,432.38525,253.21785,209.19165
Cer_EOS(d16:1/16:1/O-28:4)-H,920.80765,684.59365,456.38525,430.36955,253.21785,209.19165
Cer_EOS(d16:1/16:1/O-29:0)-H,942.88595,706.67185,478.46355,452.44785,253.21785,209.19165
Cer_EOS(d16:1/16:1/O-29:1)-H,940.87025,704.65625,476.44785,450.43225,253.21785,209.19165
Cer_EOS(d16:1/16:1/O-29:2)-H,938.85465,702.64055,474.43225,448.41655,253.21785,209.19165
Cer_EOS(d16:1/16:1/O-29:3)-H,936.83895,700.62495,472.41655,446.40095,253.21785,209.19165
Cer_EOS(d16:1/16:1/O-29:4)-H,934.82335,698.60935,470.40095,444.38525,253.21785,209.19165
Cer_EOS(d16:1/16:1/O-30:0)-H,956.90155,720.68755,492.47915,466.46355,253.21785,209.19165
Cer_EOS(d16:1/16:1/O-30:1)-H,954.88595,718.67185,490.46355,464.44785,253.21785,209.19165
Cer_EOS(d16:1/16:1/O-30:2)-H,952.87025,716.65625,488.44785,462.43225,253.21785,209.19165
Cer_EOS(d16:1/16:1/O-30:3)-H,950.85465,714.64055,486.43225,460.41655,253.21785,209.19165
Cer_EOS(d16:1/16:1/O-30:4)-H,948.83895,712.62495,484.41655,458.40095,253.21785,209.19165
Cer_EOS(d16:1/16:1/O-31:0)-H,970.91725,734.70315,506.49485,480.47915,253.21785,209.19165
Cer_EOS(d16:1/16:1/O-31:1)-H,968.90155,732.68755,504.47915,478.46355,253.21785,209.19165
Cer_EOS(d16:1/16:1/O-31:2)-H,966.88595,730.67185,502.46355,476.44785,253.21785,209.19165
Cer_EOS(d16:1/16:1/O-31:3)-H,964.87025,728.65625,500.44785,474.43225,253.21785,209.19165
Cer_EOS(d16:1/16:1/O-31:4)-H,962.85465,726.64055,498.43225,472.41655,253.21785,209.19165
Cer_EOS(d16:1/16:1/O-32:0)-H,984.93285,748.71885,520.51045,494.49485,253.21785,209.19165
Cer_EOS(d16:1/16:1/O-32:1)-H,982.91725,746.70315,518.49485,492.47915,253.21785,209.19165
Cer_EOS(d16:1/16:1/O-32:2)-H,980.90155,744.68755,516.47915,490.46355,253.21785,209.19165
Cer_EOS(d16:1/16:1/O-32:3)-H,978.88595,742.67185,514.46355,488.44785,253.21785,209.19165
Cer_EOS(d16:1/16:1/O-32:4)-H,976.87025,740.65625,512.44785,486.43225,253.21785,209.19165
Cer_EOS(d16:1/16:1/O-33:0)-H,998.94845,762.73445,534.52615,508.51045,253.21785,209.19165
Cer_EOS(d16:1/16:1/O-33:1)-H,996.93285,760.71885,532.51045,506.49485,253.21785,209.19165
Cer_EOS(d16:1/16:1/O-33:2)-H,994.91725,758.70315,530.49485,504.47915,253.21785,209.19165
Cer_EOS(d16:1/16:1/O-33:3)-H,992.90155,756.68755,528.47915,502.46355,253.21785,209.19165
Cer_EOS(d16:1/16:1/O-33:4)-H,990.88595,754.67185,526.46355,500.44785,253.21785,209.19165
Cer_EOS(d16:1/16:1/O-34:0)-H,1012.96455,776.75015,548.54175,522.52615,253.21785,209.19165
Cer_EOS(d16:1/16:1/O-34:1)-H,1010.94855,774.73445,546.52615,520.51045,253.21785,209.19165
Cer_EOS(d16:1/16:1/O-34:2)-H,1008.93255,772.71885,544.51045,518.49485,253.21785,209.19165
Cer_EOS(d16:1/16:1/O-34:3)-H,1006.91755,770.70315,542.49485,516.47915,253.21785,209.19165
Cer_EOS(d16:1/16:1/O-34:4)-H,1004.90155,768.68755,540.47915,514.46355,253.21785,209.19165
Cer_EOS(d16:1/16:1/O-35:0)-H,1026.97955,790.76585,562.55745,536.54175,253.21785,209.19165
Cer_EOS(d16:1/16:1/O-35:1)-H,1024.96455,788.75015,560.54175,534.52615,253.21785,209.19165
Cer_EOS(d16:1/16:1/O-35:2)-H,1022.94855,786.73445,558.52615,532.51045,253.21785,209.19165
Cer_EOS(d16:1/16:1/O-35:3)-H,1020.93255,784.71885,556.51045,530.49485,253.21785,209.19165
Cer_EOS(d16:1/16:1/O-35:4)-H,1018.91755,782.70315,554.49485,528.47915,253.21785,209.19165
Cer_EOS(d16:1/16:1/O-36:0)-H,1040.99555,804.78145,576.57305,550.55745,253.21785,209.19165
Cer_EOS(d16:1/16:1/O-36:1)-H,1038.97955,802.76585,574.55745,548.54175,253.21785,209.19165
Cer_EOS(d16:1/16:1/O-36:2)-H,1036.96455,800.75015,572.54175,546.52615,253.21785,209.19165
Cer_EOS(d16:1/16:1/O-36:3)-H,1034.94855,798.73445,570.52615,544.51045,253.21785,209.19165
Cer_EOS(d16:1/16:1/O-36:4)-H,1032.93255,796.71885,568.51045,542.49485,253.21785,209.19165
Cer_EOS(d16:1/16:2/O-16:0)-H,758.66685,524.46845,296.26005,270.24445,251.20225,209.19165
Cer_EOS(d16:1/16:2/O-16:1)-H,756.65115,522.45275,294.24445,268.22875,251.20225,209.19165
Cer_EOS(d16:1/16:2/O-16:2)-H,754.63545,520.43715,292.22875,266.21315,251.20225,209.19165
Cer_EOS(d16:1/16:2/O-16:3)-H,752.61985,518.42155,290.21315,264.19745,251.20225,209.19165
Cer_EOS(d16:1/16:2/O-16:4)-H,750.60415,516.40585,288.19745,262.18185,251.20225,209.19165
Cer_EOS(d16:1/16:2/O-17:0)-H,772.68245,538.48405,310.27565,284.26005,251.20225,209.19165
Cer_EOS(d16:1/16:2/O-17:1)-H,770.66685,536.46845,308.26005,282.24445,251.20225,209.19165
Cer_EOS(d16:1/16:2/O-17:2)-H,768.65115,534.45275,306.24445,280.22875,251.20225,209.19165
Cer_EOS(d16:1/16:2/O-17:3)-H,766.63545,532.43715,304.22875,278.21315,251.20225,209.19165
Cer_EOS(d16:1/16:2/O-18:0)-H,786.69815,552.49975,324.29135,298.27565,251.20225,209.19165
Cer_EOS(d16:1/16:2/O-18:1)-H,784.68245,550.48405,322.27565,296.26005,251.20225,209.19165
Cer_EOS(d16:1/16:2/O-18:2)-H,782.66685,548.46845,320.26005,294.24445,251.20225,209.19165
Cer_EOS(d16:1/16:2/O-18:3)-H,780.65115,546.45275,318.24445,292.22875,251.20225,209.19165
Cer_EOS(d16:1/16:2/O-18:4)-H,778.63545,544.43715,316.22875,290.21315,251.20225,209.19165
Cer_EOS(d16:1/16:2/O-19:0)-H,800.71375,566.51535,338.30705,312.29135,251.20225,209.19165
Cer_EOS(d16:1/16:2/O-19:1)-H,798.69815,564.49975,336.29135,310.27565,251.20225,209.19165
Cer_EOS(d16:1/16:2/O-19:2)-H,796.68245,562.48405,334.27565,308.26005,251.20225,209.19165
Cer_EOS(d16:1/16:2/O-19:3)-H,794.66685,560.46845,332.26005,306.24445,251.20225,209.19165
Cer_EOS(d16:1/16:2/O-19:4)-H,792.65115,558.45275,330.24445,304.22875,251.20225,209.19165
Cer_EOS(d16:1/16:2/O-20:0)-H,814.72945,580.53105,352.32265,326.30705,251.20225,209.19165
Cer_EOS(d16:1/16:2/O-20:1)-H,812.71375,578.51535,350.30705,324.29135,251.20225,209.19165
Cer_EOS(d16:1/16:2/O-20:2)-H,810.69815,576.49975,348.29135,322.27565,251.20225,209.19165
Cer_EOS(d16:1/16:2/O-20:3)-H,808.68245,574.48405,346.27565,320.26005,251.20225,209.19165
Cer_EOS(d16:1/16:2/O-20:4)-H,806.66685,572.46845,344.26005,318.24445,251.20225,209.19165
Cer_EOS(d16:1/16:2/O-21:0)-H,828.74505,594.54665,366.33835,340.32265,251.20225,209.19165
Cer_EOS(d16:1/16:2/O-21:1)-H,826.72945,592.53105,364.32265,338.30705,251.20225,209.19165
Cer_EOS(d16:1/16:2/O-21:2)-H,824.71375,590.51535,362.30705,336.29135,251.20225,209.19165
Cer_EOS(d16:1/16:2/O-21:3)-H,822.69815,588.49975,360.29135,334.27565,251.20225,209.19165
Cer_EOS(d16:1/16:2/O-21:4)-H,820.68245,586.48405,358.27565,332.26005,251.20225,209.19165
Cer_EOS(d16:1/16:2/O-22:0)-H,842.76065,608.56235,380.35395,354.33835,251.20225,209.19165
Cer_EOS(d16:1/16:2/O-22:1)-H,840.74505,606.54665,378.33835,352.32265,251.20225,209.19165
Cer_EOS(d16:1/16:2/O-22:2)-H,838.72945,604.53105,376.32265,350.30705,251.20225,209.19165
Cer_EOS(d16:1/16:2/O-22:3)-H,836.71375,602.51535,374.30705,348.29135,251.20225,209.19165
Cer_EOS(d16:1/16:2/O-22:4)-H,834.69815,600.49975,372.29135,346.27565,251.20225,209.19165
Cer_EOS(d16:1/16:2/O-23:0)-H,856.77635,622.57805,394.36955,368.35395,251.20225,209.19165
Cer_EOS(d16:1/16:2/O-23:1)-H,854.76065,620.56235,392.35395,366.33835,251.20225,209.19165
Cer_EOS(d16:1/16:2/O-23:2)-H,852.74505,618.54665,390.33835,364.32265,251.20225,209.19165
Cer_EOS(d16:1/16:2/O-23:3)-H,850.72945,616.53105,388.32265,362.30705,251.20225,209.19165
Cer_EOS(d16:1/16:2/O-23:4)-H,848.71375,614.51535,386.30705,360.29135,251.20225,209.19165
