Cer_EOS,[M-H]-,NL of EFA,[FAA+C2H2-H]-,[FAA-H]-,[EFA-H]-,[Sph-C2H8NO]-
Cer_EOS(d16:1/16:0/O-16:0)-H,762.69815,524.46845,296.26005,270.24445,255.23355,209.19165
Cer_EOS(d16:1/16:0/O-16:1)-H,760.68245,522.45285,294.24445,268.22875,255.23355,209.19165
Cer_EOS(d16:1/16:0/O-16:2)-H,758.66685,520.43715,292.22875,266.21315,255.23355,209.19165
Cer_EOS(d16:1/16:0/O-16:3)-H,756.65115,518.42155,290.21315,264.19745,255.23355,209.19165
Cer_EOS(d16:1/16:0/O-16:4)-H,754.63545,516.40585,288.19745,262.18185,255.23355,209.19165
Cer_EOS(d16:1/16:0/O-17:0)-H,776.71375,538.48405,310.27565,284.26005,255.23355,209.19165
Cer_EOS(d16:1/16:0/O-17:1)-H,774.69815,536.46845,308.26005,282.24445,255.23355,209.19165
Cer_EOS(d16:1/16:0/O-17:2)-H,772.68245,534.45285,306.24445,280.22875,255.23355,209.19165
Cer_EOS(d16:1/16:0/O-17:3)-H,770.66685,532.43715,304.22875,278.21315,255.23355,209.19165
Cer_EOS(d16:1/16:0/O-18:0)-H,790.72945,552.49975,324.29135,298.27565,255.23355,209.19165
Cer_EOS(d16:1/16:0/O-18:1)-H,788.71375,550.48405,322.27565,296.26005,255.23355,209.19165
Cer_EOS(d16:1/16:0/O-18:2)-H,786.69815,548.46845,320.26005,294.24445,255.23355,209.19165
Cer_EOS(d16:1/16:0/O-18:3)-H,784.68245,546.45285,318.24445,292.22875,255.23355,209.19165
Cer_EOS(d16:1/16:0/O-18:4)-H,782.66685,544.43715,316.22875,290.21315,255.23355,209.19165
Cer_EOS(d16:1/16:0/O-19:0)-H,804.74505,566.51535,338.30705,312.29135,255.23355,209.19165
Cer_EOS(d16:1/16:0/O-19:1)-H,802.72945,564.49975,336.29135,310.27565,255.23355,209.19165
Cer_EOS(d16:1/16:0/O-19:2)-H,800.71375,562.48405,334.27565,308.26005,255.23355,209.19165
Cer_EOS(d16:1/16:0/O-19:3)-H,798.69815,560.46845,332.26005,306.24445,255.23355,209.19165
Cer_EOS(d16:1/16:0/O-19:4)-H,796.68245,558.45285,330.24445,304.22875,255.23355,209.19165
Cer_EOS(d16:1/16:0/O-20:0)-H,818.76065,580.53105,352.32265,326.30705,255.23355,209.19165
Cer_EOS(d16:1/16:0/O-20:1)-H,816.74505,578.51535,350.30705,324.29135,255.23355,209.19165
