PG,[M-H]-,M-H_Nlglycerol,NL_T1Ketene,NL_T2Ketene,NL_T1RCOOH,NL_T2RCOOH,NL_T1Ketene&Glycerol,NL_T2Ketene&Glycerol,NL_T1RCOOH&Glycerol,NL_T2RCOOH&Glycerol,T1_RCOO-,T2_RCOO-, Glycerol-3-phosphate_NLH2O,H2PO4-,PO3-,Glycerophosphoglycerol,Glycerophosphoglycerol_NLH2O,Glycerophosphoglycerol_NL2H2O
PG(8:0_24:1)-H,719.48696,645.45018,593.38249,371.14769,575.37193,353.13713,519.34571,297.11091,501.33515,279.10035,143.10775,365.34255,152.99586,96.96964,78.95852,245.04211,227.03153,209.02095
PG(8:0_25:0)-H,735.51826,661.48148,609.41379,371.14769,591.40323,353.13713,535.37701,297.11091,517.36645,279.10035,143.10775,381.37385,152.99586,96.96964,78.95852,245.04211,227.03153,209.02095
PG(8:0_26:0)-H,749.53386,675.49708,623.42939,371.14769,605.41883,353.13713,549.39261,297.11091,531.38205,279.10035,143.10775,395.38945,152.99586,96.96964,78.95852,245.04211,227.03153,209.02095
PG(10:0_10:0)-H,553.31476,479.27798,399.17899,399.17899,381.16843,381.16843,325.14221,325.14221,307.13165,307.13165,171.13905,171.13905,152.99586,96.96964,78.95852,245.04211,227.03153,209.02095
PG(10:0_12:0)-H,581.34606,507.30928,427.21029,399.17899,409.19973,381.16843,353.17351,325.14221,335.16295,307.13165,171.13905,199.17035,152.99586,96.96964,78.95852,245.04211,227.03153,209.02095
PG(10:0_13:0)-H,595.36176,521.32498,441.22599,399.17899,423.21543,381.16843,367.18921,325.14221,349.17865,307.13165,171.13905,213.18605,152.99586,96.96964,78.95852,245.04211,227.03153,209.02095
PG(10:0_14:0)-H,609.37736,535.34058,455.24159,399.17899,437.23103,381.16843,381.20481,325.14221,363.19425,307.13165,171.13905,227.20165,152.99586,96.96964,78.95852,245.04211,227.03153,209.02095
PG(10:0_14:1)-H,607.36176,533.32498,453.22599,399.17899,435.21543,381.16843,379.18921,325.14221,361.17865,307.13165,171.13905,225.18605,152.99586,96.96964,78.95852,245.04211,227.03153,209.02095
PG(10:0_15:0)-H,623.39306,549.35628,469.25729,399.17899,451.24673,381.16843,395.22051,325.14221,377.20995,307.13165,171.13905,241.21735,152.99586,96.96964,78.95852,245.04211,227.03153,209.02095
PG(10:0_15:1)-H,621.37736,547.34058,467.24159,399.17899,449.23103,381.16843,393.20481,325.14221,375.19425,307.13165,171.13905,239.20165,152.99586,96.96964,78.95852,245.04211,227.03153,209.02095
PG(10:0_16:0)-H,637.40866,563.37188,483.27289,399.17899,465.26233,381.16843,409.23611,325.14221,391.22555,307.13165,171.13905,255.23295,152.99586,96.96964,78.95852,245.04211,227.03153,209.02095
PG(10:0_16:1)-H,635.39306,561.35628,481.25729,399.17899,463.24673,381.16843,407.22051,325.14221,389.20995,307.13165,171.13905,253.21735,152.99586,96.96964,78.95852,245.04211,227.03153,209.02095
PG(10:0_17:0)-H,651.42436,577.38758,497.28859,399.17899,479.27803,381.16843,423.25181,325.14221,405.24125,307.13165,171.13905,269.24865,152.99586,96.96964,78.95852,245.04211,227.03153,209.02095
PG(10:0_17:1)-H,649.40866,575.37188,495.27289,399.17899,477.26233,381.16843,421.23611,325.14221,403.22555,307.13165,171.13905,267.23295,152.99586,96.96964,78.95852,245.04211,227.03153,209.02095
PG(10:0_17:2)-H,647.39306,573.35628,493.25729,399.17899,475.24673,381.16843,419.22051,325.14221,401.20995,307.13165,171.13905,265.21735,152.99586,96.96964,78.95852,245.04211,227.03153,209.02095
PG(10:0_18:0)-H,665.43996,591.40318,511.30419,399.17899,493.29363,381.16843,437.26741,325.14221,419.25685,307.13165,171.13905,283.26425,152.99586,96.96964,78.95852,245.04211,227.03153,209.02095
PG(10:0_18:1)-H,663.42436,589.38758,509.28859,399.17899,491.27803,381.16843,435.25181,325.14221,417.24125,307.13165,171.13905,281.24865,152.99586,96.96964,78.95852,245.04211,227.03153,209.02095
PG(10:0_18:2)-H,661.40866,587.37188,507.27289,399.17899,489.26233,381.16843,433.23611,325.14221,415.22555,307.13165,171.13905,279.23295,152.99586,96.96964,78.95852,245.04211,227.03153,209.02095
PG(10:0_18:3)-H,659.39306,585.35628,505.25729,399.17899,487.24673,381.16843,431.22051,325.14221,413.20995,307.13165,171.13905,277.21735,152.99586,96.96964,78.95852,245.04211,227.03153,209.02095
PG(10:0_18:4)-H,657.37736,583.34058,503.24159,399.17899,485.23103,381.16843,429.20481,325.14221,411.19425,307.13165,171.13905,275.20165,152.99586,96.96964,78.95852,245.04211,227.03153,209.02095
PG(10:0_19:0)-H,679.45566,605.41888,525.31989,399.17899,507.30933,381.16843,451.28311,325.14221,433.27255,307.13165,171.13905,297.27995,152.99586,96.96964,78.95852,245.04211,227.03153,209.02095
PG(10:0_20:0)-H,693.47126,619.43448,539.33549,399.17899,521.32493,381.16843,465.29871,325.14221,447.28815,307.13165,171.13905,311.29555,152.99586,96.96964,78.95852,245.04211,227.03153,209.02095
PG(10:0_20:1)-H,691.45566,617.41888,537.31989,399.17899,519.30933,381.16843,463.28311,325.14221,445.27255,307.13165,171.13905,309.27995,152.99586,96.96964,78.95852,245.04211,227.03153,209.02095
PG(10:0_20:2)-H,689.43996,615.40318,535.30419,399.17899,517.29363,381.16843,461.26741,325.14221,443.25685,307.13165,171.13905,307.26425,152.99586,96.96964,78.95852,245.04211,227.03153,209.02095
PG(10:0_20:3)-H,687.42436,613.38758,533.28859,399.17899,515.27803,381.16843,459.25181,325.14221,441.24125,307.13165,171.13905,305.24865,152.99586,96.96964,78.95852,245.04211,227.03153,209.02095
PG(10:0_20:4)-H,685.40866,611.37188,531.27289,399.17899,513.26233,381.16843,457.23611,325.14221,439.22555,307.13165,171.13905,303.23295,152.99586,96.96964,78.95852,245.04211,227.03153,209.02095
PG(10:0_20:5)-H,683.39306,609.35628,529.25729,399.17899,511.24673,381.16843,455.22051,325.14221,437.20995,307.13165,171.13905,301.21735,152.99586,96.96964,78.95852,245.04211,227.03153,209.02095
PG(10:0_21:0)-H,707.48696,633.45018,553.35119,399.17899,535.34063,381.16843,479.31441,325.14221,461.30385,307.13165,171.13905,325.31125,152.99586,96.96964,78.95852,245.04211,227.03153,209.02095
PG(10:0_22:0)-H,721.50256,647.46578,567.36679,399.17899,549.35623,381.16843,493.33001,325.14221,475.31945,307.13165,171.13905,339.32685,152.99586,96.96964,78.95852,245.04211,227.03153,209.02095
PG(10:0_22:1)-H,719.48696,645.45018,565.35119,399.17899,547.34063,381.16843,491.31441,325.14221,473.30385,307.13165,171.13905,337.31125,152.99586,96.96964,78.95852,245.04211,227.03153,209.02095
PG(10:0_22:2)-H,717.47126,643.43448,563.33549,399.17899,545.32493,381.16843,489.29871,325.14221,471.28815,307.13165,171.13905,335.29555,152.99586,96.96964,78.95852,245.04211,227.03153,209.02095
PG(10:0_22:3)-H,715.45566,641.41888,561.31989,399.17899,543.30933,381.16843,487.28311,325.14221,469.27255,307.13165,171.13905,333.27995,152.99586,96.96964,78.95852,245.04211,227.03153,209.02095
PG(10:0_22:4)-H,713.43996,639.40318,559.30419,399.17899,541.29363,381.16843,485.26741,325.14221,467.25685,307.13165,171.13905,331.26425,152.99586,96.96964,78.95852,245.04211,227.03153,209.02095
PG(10:0_22:5)-H,711.42436,637.38758,557.28859,399.17899,539.27803,381.16843,483.25181,325.14221,465.24125,307.13165,171.13905,329.24865,152.99586,96.96964,78.95852,245.04211,227.03153,209.02095
PG(10:0_22:6)-H,709.40866,635.37188,555.27289,399.17899,537.26233,381.16843,481.23611,325.14221,463.22555,307.13165,171.13905,327.23295,152.99586,96.96964,78.95852,245.04211,227.03153,209.02095
PG(10:0_23:0)-H,735.51826,661.48148,581.38249,399.17899,563.37193,381.16843,507.34571,325.14221,489.33515,307.13165,171.13905,353.34255,152.99586,96.96964,78.95852,245.04211,227.03153,209.02095
PG(10:0_24:0)-H,749.53386,675.49708,595.39809,399.17899,577.38753,381.16843,521.36131,325.14221,503.35075,307.13165,171.13905,367.35815,152.99586,96.96964,78.95852,245.04211,227.03153,209.02095
PG(10:0_24:1)-H,747.51826,673.48148,593.38249,399.17899,575.37193,381.16843,519.34571,325.14221,501.33515,307.13165,171.13905,365.34255,152.99586,96.96964,78.95852,245.04211,227.03153,209.02095
PG(10:0_25:0)-H,763.54956,689.51278,609.41379,399.17899,591.40323,381.16843,535.37701,325.14221,517.36645,307.13165,171.13905,381.37385,152.99586,96.96964,78.95852,245.04211,227.03153,209.02095
PG(10:0_26:0)-H,777.56516,703.52838,623.42939,399.17899,605.41883,381.16843,549.39261,325.14221,531.38205,307.13165,171.13905,395.38945,152.99586,96.96964,78.95852,245.04211,227.03153,209.02095
PG(12:0_12:0)-H,609.37736,535.34058,427.21029,427.21029,409.19973,409.19973,353.17351,353.17351,335.16295,335.16295,199.17035,199.17035,152.99586,96.96964,78.95852,245.04211,227.03153,209.02095
PG(12:0_13:0)-H,623.39306,549.35628,441.22599,427.21029,423.21543,409.19973,367.18921,353.17351,349.17865,335.16295,199.17035,213.18605,152.99586,96.96964,78.95852,245.04211,227.03153,209.02095
PG(12:0_14:0)-H,637.40866,563.37188,455.24159,427.21029,437.23103,409.19973,381.20481,353.17351,363.19425,335.16295,199.17035,227.20165,152.99586,96.96964,78.95852,245.04211,227.03153,209.02095
PG(12:0_14:1)-H,635.39306,561.35628,453.22599,427.21029,435.21543,409.19973,379.18921,353.17351,361.17865,335.16295,199.17035,225.18605,152.99586,96.96964,78.95852,245.04211,227.03153,209.02095
PG(12:0_15:0)-H,651.42436,577.38758,469.25729,427.21029,451.24673,409.19973,395.22051,353.17351,377.20995,335.16295,199.17035,241.21735,152.99586,96.96964,78.95852,245.04211,227.03153,209.02095
PG(12:0_15:1)-H,649.40866,575.37188,467.24159,427.21029,449.23103,409.19973,393.20481,353.17351,375.19425,335.16295,199.17035,239.20165,152.99586,96.96964,78.95852,245.04211,227.03153,209.02095
PG(12:0_16:0)-H,665.43996,591.40318,483.27289,427.21029,465.26233,409.19973,409.23611,353.17351,391.22555,335.16295,199.17035,255.23295,152.99586,96.96964,78.95852,245.04211,227.03153,209.02095
PG(12:0_16:1)-H,663.42436,589.38758,481.25729,427.21029,463.24673,409.19973,407.22051,353.17351,389.20995,335.16295,199.17035,253.21735,152.99586,96.96964,78.95852,245.04211,227.03153,209.02095
PG(12:0_17:0)-H,679.45566,605.41888,497.28859,427.21029,479.27803,409.19973,423.25181,353.17351,405.24125,335.16295,199.17035,269.24865,152.99586,96.96964,78.95852,245.04211,227.03153,209.02095
PG(12:0_17:1)-H,677.43996,603.40318,495.27289,427.21029,477.26233,409.19973,421.23611,353.17351,403.22555,335.16295,199.17035,267.23295,152.99586,96.96964,78.95852,245.04211,227.03153,209.02095
PG(12:0_17:2)-H,675.42436,601.38758,493.25729,427.21029,475.24673,409.19973,419.22051,353.17351,401.20995,335.16295,199.17035,265.21735,152.99586,96.96964,78.95852,245.04211,227.03153,209.02095
PG(12:0_18:0)-H,693.47126,619.43448,511.30419,427.21029,493.29363,409.19973,437.26741,353.17351,419.25685,335.16295,199.17035,283.26425,152.99586,96.96964,78.95852,245.04211,227.03153,209.02095
PG(12:0_18:1)-H,691.45566,617.41888,509.28859,427.21029,491.27803,409.19973,435.25181,353.17351,417.24125,335.16295,199.17035,281.24865,152.99586,96.96964,78.95852,245.04211,227.03153,209.02095
PG(12:0_18:2)-H,689.43996,615.40318,507.27289,427.21029,489.26233,409.19973,433.23611,353.17351,415.22555,335.16295,199.17035,279.23295,152.99586,96.96964,78.95852,245.04211,227.03153,209.02095
PG(12:0_18:3)-H,687.42436,613.38758,505.25729,427.21029,487.24673,409.19973,431.22051,353.17351,413.20995,335.16295,199.17035,277.21735,152.99586,96.96964,78.95852,245.04211,227.03153,209.02095
PG(12:0_18:4)-H,685.40866,611.37188,503.24159,427.21029,485.23103,409.19973,429.20481,353.17351,411.19425,335.16295,199.17035,275.20165,152.99586,96.96964,78.95852,245.04211,227.03153,209.02095
PG(12:0_19:0)-H,707.48696,633.45018,525.31989,427.21029,507.30933,409.19973,451.28311,353.17351,433.27255,335.16295,199.17035,297.27995,152.99586,96.96964,78.95852,245.04211,227.03153,209.02095
PG(12:0_20:0)-H,721.50256,647.46578,539.33549,427.21029,521.32493,409.19973,465.29871,353.17351,447.28815,335.16295,199.17035,311.29555,152.99586,96.96964,78.95852,245.04211,227.03153,209.02095
PG(12:0_20:1)-H,719.48696,645.45018,537.31989,427.21029,519.30933,409.19973,463.28311,353.17351,445.27255,335.16295,199.17035,309.27995,152.99586,96.96964,78.95852,245.04211,227.03153,209.02095
PG(12:0_20:2)-H,717.47126,643.43448,535.30419,427.21029,517.29363,409.19973,461.26741,353.17351,443.25685,335.16295,199.17035,307.26425,152.99586,96.96964,78.95852,245.04211,227.03153,209.02095
PG(12:0_20:3)-H,715.45566,641.41888,533.28859,427.21029,515.27803,409.19973,459.25181,353.17351,441.24125,335.16295,199.17035,305.24865,152.99586,96.96964,78.95852,245.04211,227.03153,209.02095
PG(12:0_20:4)-H,713.43996,639.40318,531.27289,427.21029,513.26233,409.19973,457.23611,353.17351,439.22555,335.16295,199.17035,303.23295,152.99586,96.96964,78.95852,245.04211,227.03153,209.02095
PG(12:0_20:5)-H,711.42436,637.38758,529.25729,427.21029,511.24673,409.19973,455.22051,353.17351,437.20995,335.16295,199.17035,301.21735,152.99586,96.96964,78.95852,245.04211,227.03153,209.02095
PG(12:0_21:0)-H,735.51826,661.48148,553.35119,427.21029,535.34063,409.19973,479.31441,353.17351,461.30385,335.16295,199.17035,325.31125,152.99586,96.96964,78.95852,245.04211,227.03153,209.02095
PG(12:0_22:0)-H,749.53386,675.49708,567.36679,427.21029,549.35623,409.19973,493.33001,353.17351,475.31945,335.16295,199.17035,339.32685,152.99586,96.96964,78.95852,245.04211,227.03153,209.02095
PG(12:0_22:1)-H,747.51826,673.48148,565.35119,427.21029,547.34063,409.19973,491.31441,353.17351,473.30385,335.16295,199.17035,337.31125,152.99586,96.96964,78.95852,245.04211,227.03153,209.02095
PG(12:0_22:2)-H,745.50256,671.46578,563.33549,427.21029,545.32493,409.19973,489.29871,353.17351,471.28815,335.16295,199.17035,335.29555,152.99586,96.96964,78.95852,245.04211,227.03153,209.02095
PG(12:0_22:3)-H,743.48696,669.45018,561.31989,427.21029,543.30933,409.19973,487.28311,353.17351,469.27255,335.16295,199.17035,333.27995,152.99586,96.96964,78.95852,245.04211,227.03153,209.02095
PG(12:0_22:4)-H,741.47126,667.43448,559.30419,427.21029,541.29363,409.19973,485.26741,353.17351,467.25685,335.16295,199.17035,331.26425,152.99586,96.96964,78.95852,245.04211,227.03153,209.02095
PG(12:0_22:5)-H,739.45566,665.41888,557.28859,427.21029,539.27803,409.19973,483.25181,353.17351,465.24125,335.16295,199.17035,329.24865,152.99586,96.96964,78.95852,245.04211,227.03153,209.02095
PG(12:0_22:6)-H,737.43996,663.40318,555.27289,427.21029,537.26233,409.19973,481.23611,353.17351,463.22555,335.16295,199.17035,327.23295,152.99586,96.96964,78.95852,245.04211,227.03153,209.02095
PG(12:0_23:0)-H,763.54956,689.51278,581.38249,427.21029,563.37193,409.19973,507.34571,353.17351,489.33515,335.16295,199.17035,353.34255,152.99586,96.96964,78.95852,245.04211,227.03153,209.02095
PG(12:0_24:0)-H,777.56516,703.52838,595.39809,427.21029,577.38753,409.19973,521.36131,353.17351,503.35075,335.16295,199.17035,367.35815,152.99586,96.96964,78.95852,245.04211,227.03153,209.02095
PG(12:0_24:1)-H,775.54956,701.51278,593.38249,427.21029,575.37193,409.19973,519.34571,353.17351,501.33515,335.16295,199.17035,365.34255,152.99586,96.96964,78.95852,245.04211,227.03153,209.02095
PG(12:0_25:0)-H,791.58086,717.54408,609.41379,427.21029,591.40323,409.19973,535.37701,353.17351,517.36645,335.16295,199.17035,381.37385,152.99586,96.96964,78.95852,245.04211,227.03153,209.02095
PG(12:0_26:0)-H,805.59646,731.55968,623.42939,427.21029,605.41883,409.19973,549.39261,353.17351,531.38205,335.16295,199.17035,395.38945,152.99586,96.96964,78.95852,245.04211,227.03153,209.02095
PG(13:0_13:0)-H,637.40876,563.37198,441.22599,441.22599,423.21543,423.21543,367.18921,367.18921,349.17865,349.17865,213.18605,213.18605,152.99586,96.96964,78.95852,245.04211,227.03153,209.02095
PG(13:0_14:0)-H,651.42436,577.38758,455.24159,441.22599,437.23103,423.21543,381.20481,367.18921,363.19425,349.17865,213.18605,227.20165,152.99586,96.96964,78.95852,245.04211,227.03153,209.02095
PG(13:0_14:1)-H,649.40876,575.37198,453.22599,441.22599,435.21543,423.21543,379.18921,367.18921,361.17865,349.17865,213.18605,225.18605,152.99586,96.96964,78.95852,245.04211,227.03153,209.02095
PG(13:0_15:0)-H,665.44006,591.40328,469.25729,441.22599,451.24673,423.21543,395.22051,367.18921,377.20995,349.17865,213.18605,241.21735,152.99586,96.96964,78.95852,245.04211,227.03153,209.02095
PG(13:0_15:1)-H,663.42436,589.38758,467.24159,441.22599,449.23103,423.21543,393.20481,367.18921,375.19425,349.17865,213.18605,239.20165,152.99586,96.96964,78.95852,245.04211,227.03153,209.02095
PG(13:0_16:0)-H,679.45566,605.41888,483.27289,441.22599,465.26233,423.21543,409.23611,367.18921,391.22555,349.17865,213.18605,255.23295,152.99586,96.96964,78.95852,245.04211,227.03153,209.02095
PG(13:0_16:1)-H,677.44006,603.40328,481.25729,441.22599,463.24673,423.21543,407.22051,367.18921,389.20995,349.17865,213.18605,253.21735,152.99586,96.96964,78.95852,245.04211,227.03153,209.02095
PG(13:0_17:0)-H,693.47136,619.43458,497.28859,441.22599,479.27803,423.21543,423.25181,367.18921,405.24125,349.17865,213.18605,269.24865,152.99586,96.96964,78.95852,245.04211,227.03153,209.02095
PG(13:0_17:1)-H,691.45566,617.41888,495.27289,441.22599,477.26233,423.21543,421.23611,367.18921,403.22555,349.17865,213.18605,267.23295,152.99586,96.96964,78.95852,245.04211,227.03153,209.02095
PG(13:0_17:2)-H,689.44006,615.40328,493.25729,441.22599,475.24673,423.21543,419.22051,367.18921,401.20995,349.17865,213.18605,265.21735,152.99586,96.96964,78.95852,245.04211,227.03153,209.02095
PG(13:0_18:0)-H,707.48696,633.45018,511.30419,441.22599,493.29363,423.21543,437.26741,367.18921,419.25685,349.17865,213.18605,283.26425,152.99586,96.96964,78.95852,245.04211,227.03153,209.02095
PG(13:0_18:1)-H,705.47136,631.43458,509.28859,441.22599,491.27803,423.21543,435.25181,367.18921,417.24125,349.17865,213.18605,281.24865,152.99586,96.96964,78.95852,245.04211,227.03153,209.02095
PG(13:0_18:2)-H,703.45566,629.41888,507.27289,441.22599,489.26233,423.21543,433.23611,367.18921,415.22555,349.17865,213.18605,279.23295,152.99586,96.96964,78.95852,245.04211,227.03153,209.02095
PG(13:0_18:3)-H,701.44006,627.40328,505.25729,441.22599,487.24673,423.21543,431.22051,367.18921,413.20995,349.17865,213.18605,277.21735,152.99586,96.96964,78.95852,245.04211,227.03153,209.02095
PG(13:0_18:4)-H,699.42436,625.38758,503.24159,441.22599,485.23103,423.21543,429.20481,367.18921,411.19425,349.17865,213.18605,275.20165,152.99586,96.96964,78.95852,245.04211,227.03153,209.02095
PG(13:0_19:0)-H,721.50266,647.46588,525.31989,441.22599,507.30933,423.21543,451.28311,367.18921,433.27255,349.17865,213.18605,297.27995,152.99586,96.96964,78.95852,245.04211,227.03153,209.02095
PG(13:0_20:0)-H,735.51826,661.48148,539.33549,441.22599,521.32493,423.21543,465.29871,367.18921,447.28815,349.17865,213.18605,311.29555,152.99586,96.96964,78.95852,245.04211,227.03153,209.02095
PG(13:0_20:1)-H,733.50266,659.46588,537.31989,441.22599,519.30933,423.21543,463.28311,367.18921,445.27255,349.17865,213.18605,309.27995,152.99586,96.96964,78.95852,245.04211,227.03153,209.02095
PG(13:0_20:2)-H,731.48696,657.45018,535.30419,441.22599,517.29363,423.21543,461.26741,367.18921,443.25685,349.17865,213.18605,307.26425,152.99586,96.96964,78.95852,245.04211,227.03153,209.02095
