GlcCer_AS,[M+HCO2]-,[M-H]-,[M-C6H10O5-H]-,[M-Hex-H2O-H]-,[M-Hex-CH4O-H]-,[M-Hex-CH4O2-H]-,[M-Hex-CH6O3-H]-,[FAA+C2H5O-H]-,[FAA+C2H3O-H]-,[Sph-H]-,[FAA+C2H5O-H2O-H]-,[Sph-H2O-H]-,[FAA+C2H5O-2H2O-H]-,[FAA+O-H]-,[FAA-H]-,[Sph-CH2O-H]-,[Sph-H5NO-H]-,[FA-2H-H]-,[Sph-CH4O2-H]-,[Sph-C2H5NO-H]-,[Sph-C2H7NO-H]-,[FA+CH2O-H]-
GlcCer_AS(d16:1/16:2)+HCO2,728.49545,682.48995,520.43715,502.42655,488.41095,472.41595,454.40545,310.23935,308.22365,270.24445,292.22825,252.23385,274.21765,267.19715,266.18935,240.23385,235.20725,249.18655,222.22325,211.20725,209.19165,221.19165
GlcCer_AS(d16:1/16:3)+HCO2,726.47975,680.47435,518.42155,500.41095,486.39525,470.40035,452.38975,308.22365,306.20805,270.24445,290.21255,252.23385,272.20195,265.18145,264.17365,240.23385,235.20725,247.17095,222.22325,211.20725,209.19165,219.17595
GlcCer_AS(d16:1/16:4)+HCO2,724.46415,678.45865,516.40585,498.39525,484.37965,468.38465,450.37415,306.20805,304.19235,270.24445,288.19695,252.23385,270.18635,263.16585,262.15805,240.23385,235.20725,245.15525,222.22325,211.20725,209.19165,217.16035
GlcCer_AS(d16:1/17:0)+HCO2,746.54245,700.53695,538.48405,520.47355,506.45785,490.46295,472.45235,328.28625,326.27065,270.24445,310.27515,252.23385,292.26455,285.24405,284.23625,240.23385,235.20725,267.23355,222.22325,211.20725,209.19165,239.23855
GlcCer_AS(d16:1/17:1)+HCO2,744.52675,698.52125,536.46845,518.45785,504.44225,488.44725,470.43675,326.27065,324.25495,270.24445,308.25955,252.23385,290.24895,283.22845,282.22065,240.23385,235.20725,265.21785,222.22325,211.20725,209.19165,237.22295
GlcCer_AS(d16:1/17:2)+HCO2,742.51115,696.50565,534.45275,516.44225,502.42655,486.43165,468.42105,324.25495,322.23935,270.24445,306.24385,252.23385,288.23335,281.21275,280.20495,240.23385,235.20725,263.20225,222.22325,211.20725,209.19165,235.20725
GlcCer_AS(d16:1/17:3)+HCO2,740.49545,694.48995,532.43715,514.42655,500.41095,484.41595,466.40545,322.23935,320.22365,270.24445,304.22825,252.23385,286.21765,279.19715,278.18935,240.23385,235.20725,261.18655,222.22325,211.20725,209.19165,233.19165
GlcCer_AS(d16:1/18:0)+HCO2,760.55805,714.55255,552.49975,534.48915,520.47355,504.47855,486.46805,342.30195,340.28625,270.24445,324.29085,252.23385,306.28025,299.25975,298.25195,240.23385,235.20725,281.24915,222.22325,211.20725,209.19165,253.25425
GlcCer_AS(d16:1/18:1)+HCO2,758.54245,712.53695,550.48405,532.47355,518.45785,502.46295,484.45235,340.28625,338.27065,270.24445,322.27515,252.23385,304.26455,297.24405,296.23625,240.23385,235.20725,279.23355,222.22325,211.20725,209.19165,251.23855
GlcCer_AS(d16:1/18:2)+HCO2,756.52675,710.52125,548.46845,530.45785,516.44225,500.44725,482.43675,338.27065,336.25495,270.24445,320.25955,252.23385,302.24895,295.22845,294.22065,240.23385,235.20725,277.21785,222.22325,211.20725,209.19165,249.22295
GlcCer_AS(d16:1/18:3)+HCO2,754.51115,708.50565,546.45275,528.44225,514.42655,498.43165,480.42105,336.25495,334.23935,270.24445,318.24385,252.23385,300.23335,293.21275,292.20495,240.23385,235.20725,275.20225,222.22325,211.20725,209.19165,247.20725
GlcCer_AS(d16:1/18:4)+HCO2,752.49545,706.48995,544.43715,526.42655,512.41085,496.41595,478.40545,334.23935,332.22365,270.24445,316.22825,252.23385,298.21765,291.19715,290.18935,240.23385,235.20725,273.18655,222.22325,211.20725,209.19165,245.19165
GlcCer_AS(d16:1/19:0)+HCO2,774.57365,728.56825,566.51535,548.50485,534.48915,518.49425,500.48365,356.31755,354.30195,270.24445,338.30645,252.23385,320.29585,313.27535,312.26755,240.23385,235.20725,295.26485,222.22325,211.20725,209.19165,267.26985
GlcCer_AS(d16:1/19:1)+HCO2,772.55805,726.55255,564.49975,546.48915,532.47355,516.47855,498.46805,354.30195,352.28625,270.24445,336.29085,252.23385,318.28025,311.25975,310.25195,240.23385,235.20725,293.24915,222.22325,211.20725,209.19165,265.25425
GlcCer_AS(d16:1/19:2)+HCO2,770.54245,724.53695,562.48405,544.47355,530.45785,514.46295,496.45235,352.28625,350.27065,270.24445,334.27515,252.23385,316.26455,309.24405,308.23625,240.23385,235.20725,291.23355,222.22325,211.20725,209.19165,263.23855
GlcCer_AS(d16:1/19:3)+HCO2,768.52675,722.52125,560.46845,542.45785,528.44225,512.44725,494.43675,350.27065,348.25495,270.24445,332.25955,252.23385,314.24895,307.22845,306.22065,240.23385,235.20725,289.21785,222.22325,211.20725,209.19165,261.22295
