GlcCer_AS,[M+HCO2]-,[M-H]-,[M-C6H10O5-H]-,[M-Hex-H2O-H]-,[M-Hex-CH4O-H]-,[M-Hex-CH4O2-H]-,[M-Hex-CH6O3-H]-,[FAA+C2H5O-H]-,[FAA+C2H3O-H]-,[Sph-H]-,[FAA+C2H5O-H2O-H]-,[Sph-H2O-H]-,[FAA+C2H5O-2H2O-H]-,[FAA+O-H]-,[FAA-H]-,[Sph-CH2O-H]-,[Sph-H5NO-H]-,[FA-2H-H]-,[Sph-CH4O2-H]-,[Sph-C2H5NO-H]-,[Sph-C2H7NO-H]-,[FA+CH2O-H]-
GlcCer_AS(d18:1/21:2)+HCO2,826.60495,780.59945,618.54665,600.53615,586.52045,570.52555,552.51495,380.31755,378.30195,298.27565,362.30645,280.26515,344.29585,337.27535,336.26755,268.26515,263.23855,319.26485,250.25455,239.23855,237.22295,291.26985
GlcCer_AS(d18:1/21:3)+HCO2,824.58935,778.58385,616.53105,598.52045,584.50485,568.50985,550.49935,378.30195,376.28625,298.27565,360.29085,280.26515,342.28025,335.25975,334.25195,268.26515,263.23855,317.24915,250.25455,239.23855,237.22295,289.25425
GlcCer_AS(d18:1/21:4)+HCO2,822.57365,776.56825,614.51535,596.50485,582.48915,566.49425,548.48365,376.28625,374.27065,298.27565,358.27515,280.26515,340.26455,333.24405,332.23625,268.26515,263.23855,315.23355,250.25455,239.23855,237.22295,287.23855
GlcCer_AS(d18:1/22:0)+HCO2,844.65195,798.64645,636.59365,618.58305,604.56735,588.57255,570.56185,398.36455,396.34885,298.27565,380.35345,280.26515,362.34285,355.32235,354.31455,268.26515,263.23855,337.31175,250.25455,239.23855,237.22295,309.31685
GlcCer_AS(d18:1/22:1)+HCO2,842.63625,796.63075,634.57805,616.56735,602.55175,586.55685,568.54625,396.34885,394.33325,298.27565,378.33775,280.26515,360.32725,353.30665,352.29885,268.26515,263.23855,335.29615,250.25455,239.23855,237.22295,307.30115
GlcCer_AS(d18:1/22:2)+HCO2,840.62065,794.61515,632.56235,614.55175,600.53615,584.54115,566.53065,394.33325,392.31755,298.27565,376.32215,280.26515,358.31155,351.29105,350.28325,268.26515,263.23855,333.28045,250.25455,239.23855,237.22295,305.28555
GlcCer_AS(d18:1/22:3)+HCO2,838.60495,792.59945,630.54665,612.53615,598.52045,582.52555,564.51495,392.31755,390.30195,298.27565,374.30645,280.26515,356.29585,349.27535,348.26755,268.26515,263.23855,331.26485,250.25455,239.23855,237.22295,303.26985
GlcCer_AS(d18:1/22:4)+HCO2,836.58935,790.58385,628.53105,610.52045,596.50485,580.50985,562.49935,390.30195,388.28625,298.27565,372.29085,280.26515,354.28025,347.25975,346.25195,268.26515,263.23855,329.24915,250.25455,239.23855,237.22295,301.25425
GlcCer_AS(d18:1/23:0)+HCO2,858.66765,812.66215,650.60925,632.59865,618.58305,602.58815,584.57755,412.38015,410.36455,298.27565,394.36905,280.26515,376.35845,369.33795,368.33015,268.26515,263.23855,351.32745,250.25455,239.23855,237.22295,323.33245
GlcCer_AS(d18:1/23:1)+HCO2,856.65195,810.64645,648.59365,630.58305,616.56735,600.57255,582.56185,410.36455,408.34885,298.27565,392.35345,280.26515,374.34285,367.32235,366.31455,268.26515,263.23855,349.31175,250.25455,239.23855,237.22295,321.31685
GlcCer_AS(d18:1/23:2)+HCO2,854.63625,808.63075,646.57805,628.56735,614.55175,598.55685,580.54625,408.34885,406.33325,298.27565,390.33775,280.26515,372.32725,365.30665,364.29885,268.26515,263.23855,347.29615,250.25455,239.23855,237.22295,319.30115
GlcCer_AS(d18:1/23:3)+HCO2,852.62065,806.61515,644.56235,626.55175,612.53615,596.54115,578.53065,406.33325,404.31755,298.27565,388.32215,280.26515,370.31155,363.29105,362.28325,268.26515,263.23855,345.28045,250.25455,239.23855,237.22295,317.28555
GlcCer_AS(d18:1/23:4)+HCO2,850.60495,804.59945,642.54665,624.53615,610.52045,594.52555,576.51495,404.31755,402.30195,298.27565,386.30645,280.26515,368.29585,361.27535,360.26755,268.26515,263.23855,343.26485,250.25455,239.23855,237.22295,315.26985
GlcCer_AS(d18:1/24:0)+HCO2,872.68325,826.67775,664.62495,646.61435,632.59865,616.60375,598.59325,426.39585,424.38015,298.27565,408.38475,280.26515,390.37415,383.35365,382.34575,268.26515,263.23855,365.34305,250.25455,239.23855,237.22295,337.34815
GlcCer_AS(d18:1/24:1)+HCO2,870.66765,824.66215,662.60925,644.59865,630.58305,614.58815,596.57755,424.38015,422.36455,298.27565,406.36905,280.26515,388.35845,381.33795,380.33015,268.26515,263.23855,363.32745,250.25455,239.23855,237.22295,335.33245
GlcCer_AS(d18:1/24:2)+HCO2,868.65195,822.64645,660.59365,642.58305,628.56735,612.57255,594.56185,422.36455,420.34885,298.27565,404.35345,280.26515,386.34285,379.32235,378.31455,268.26515,263.23855,361.31175,250.25455,239.23855,237.22295,333.31685
GlcCer_AS(d18:1/24:3)+HCO2,866.63625,820.63075,658.57805,640.56735,626.55175,610.55685,592.54625,420.34885,418.33325,298.27565,402.33775,280.26515,384.32725,377.30665,376.29885,268.26515,263.23855,359.29615,250.25455,239.23855,237.22295,331.30115
GlcCer_AS(d18:1/24:4)+HCO2,864.62065,818.61515,656.56235,638.55175,624.53615,608.54115,590.53065,418.33325,416.31755,298.27565,400.32215,280.26515,382.31155,375.29105,374.28325,268.26515,263.23855,357.28045,250.25455,239.23855,237.22295,329.28555
GlcCer_AS(d18:1/25:0)+HCO2,886.69895,840.69345,678.64055,660.63005,646.61435,630.61945,612.60885,440.41145,438.39585,298.27565,422.40035,280.26515,404.38985,397.36925,396.36145,268.26515,263.23855,379.35875,250.25455,239.23855,237.22295,351.36385
GlcCer_AS(d18:1/25:1)+HCO2,884.68325,838.67775,676.62495,658.61435,644.59865,628.60375,610.59325,438.39585,436.38015,298.27565,420.38475,280.26515,402.37415,395.35365,394.34575,268.26515,263.23855,377.34305,250.25455,239.23855,237.22295,349.34815
GlcCer_AS(d18:1/25:2)+HCO2,882.66765,836.66215,674.60925,656.59865,642.58305,626.58815,608.57755,436.38015,434.36455,298.27565,418.36905,280.26515,400.35845,393.33795,392.33015,268.26515,263.23855,375.32745,250.25455,239.23855,237.22295,347.33245
GlcCer_AS(d18:1/25:3)+HCO2,880.65195,834.64645,672.59365,654.58305,640.56735,624.57255,606.56185,434.36455,432.34885,298.27565,416.35345,280.26515,398.34285,391.32235,390.31455,268.26515,263.23855,373.31175,250.25455,239.23855,237.22295,345.31685
GlcCer_AS(d18:1/25:4)+HCO2,878.63625,832.63075,670.57805,652.56735,638.55175,622.55685,604.54625,432.34885,430.33325,298.27565,414.33775,280.26515,396.32725,389.30665,388.29885,268.26515,263.23855,371.29615,250.25455,239.23855,237.22295,343.30115
GlcCer_AS(d18:1/26:0)+HCO2,900.71455,854.70905,692.65625,674.64565,660.63005,644.63505,626.62455,454.42715,452.41145,298.27565,436.41605,280.26515,418.40545,411.38495,410.37715,268.26515,263.23855,393.37435,250.25455,239.23855,237.22295,365.37945
GlcCer_AS(d18:1/26:1)+HCO2,898.69895,852.69345,690.64055,672.63005,658.61435,642.61945,624.60885,452.41145,450.39585,298.27565,434.40035,280.26515,416.38985,409.36925,408.36145,268.26515,263.23855,391.35875,250.25455,239.23855,237.22295,363.36385
GlcCer_AS(d18:1/26:2)+HCO2,896.68325,850.67775,688.62495,670.61435,656.59865,640.60375,622.59325,450.39585,448.38015,298.27565,432.38475,280.26515,414.37415,407.35365,406.34575,268.26515,263.23855,389.34305,250.25455,239.23855,237.22295,361.34815
GlcCer_AS(d18:1/26:3)+HCO2,894.66765,848.66215,686.60925,668.59865,654.58305,638.58815,620.57755,448.38015,446.36455,298.27565,430.36905,280.26515,412.35845,405.33795,404.33015,268.26515,263.23855,387.32745,250.25455,239.23855,237.22295,359.33245
GlcCer_AS(d18:1/26:4)+HCO2,892.65195,846.64645,684.59365,666.58305,652.56735,636.57255,618.56185,446.36455,444.34885,298.27565,428.35345,280.26515,410.34285,403.32235,402.31455,268.26515,263.23855,385.31175,250.25455,239.23855,237.22295,357.31685
GlcCer_AS(d18:1/27:0)+HCO2,914.73015,868.72475,706.67185,688.66135,674.64565,658.65075,640.64015,468.44275,466.42715,298.27565,450.43165,280.26515,432.42115,425.40055,424.39275,268.26515,263.23855,407.39005,250.25455,239.23855,237.22295,379.39505
GlcCer_AS(d18:1/27:1)+HCO2,912.71455,866.70905,704.65625,686.64565,672.63005,656.63505,638.62455,466.42715,464.41145,298.27565,448.41605,280.26515,430.40545,423.38495,422.37715,268.26515,263.23855,405.37435,250.25455,239.23855,237.22295,377.37945
GlcCer_AS(d18:1/27:2)+HCO2,910.69895,864.69345,702.64055,684.63005,670.61435,654.61945,636.60885,464.41145,462.39585,298.27565,446.40035,280.26515,428.38985,421.36925,420.36145,268.26515,263.23855,403.35875,250.25455,239.23855,237.22295,375.36385
GlcCer_AS(d18:1/27:3)+HCO2,908.68325,862.67775,700.62495,682.61435,668.59865,652.60375,634.59325,462.39585,460.38015,298.27565,444.38475,280.26515,426.37415,419.35365,418.34575,268.26515,263.23855,401.34305,250.25455,239.23855,237.22295,373.34815
GlcCer_AS(d18:1/27:4)+HCO2,906.66765,860.66215,698.60925,680.59865,666.58305,650.58815,632.57755,460.38015,458.36455,298.27565,442.36905,280.26515,424.35845,417.33795,416.33015,268.26515,263.23855,399.32745,250.25455,239.23855,237.22295,371.33245
GlcCer_AS(d18:1/28:0)+HCO2,928.74585,882.74035,720.68755,702.67695,688.66135,672.66635,654.65585,482.45845,480.44275,298.27565,464.44735,280.26515,446.43675,439.41625,438.40845,268.26515,263.23855,421.40565,250.25455,239.23855,237.22295,393.41075
GlcCer_AS(d18:1/28:1)+HCO2,926.73015,880.72475,718.67185,700.66135,686.64565,670.65075,652.64015,480.44275,478.42715,298.27565,462.43165,280.26515,444.42115,437.40055,436.39275,268.26515,263.23855,419.39005,250.25455,239.23855,237.22295,391.39505
GlcCer_AS(d18:1/28:2)+HCO2,924.71455,878.70905,716.65625,698.64565,684.63005,668.63505,650.62455,478.42715,476.41145,298.27565,460.41605,280.26515,442.40545,435.38495,434.37715,268.26515,263.23855,417.37435,250.25455,239.23855,237.22295,389.37945
GlcCer_AS(d18:1/28:3)+HCO2,922.69895,876.69345,714.64055,696.63005,682.61435,666.61945,648.60885,476.41145,474.39585,298.27565,458.40035,280.26515,440.38985,433.36925,432.36145,268.26515,263.23855,415.35875,250.25455,239.23855,237.22295,387.36385
GlcCer_AS(d18:1/28:4)+HCO2,920.68325,874.67775,712.62495,694.61435,680.59865,664.60375,646.59325,474.39585,472.38015,298.27565,456.38475,280.26515,438.37415,431.35365,430.34575,268.26515,263.23855,413.34305,250.25455,239.23855,237.22295,385.34815
GlcCer_AS(d18:1/29:0)+HCO2,942.76145,896.75595,734.70315,716.69265,702.67695,686.68205,668.67145,496.47405,494.45845,298.27565,478.46295,280.26515,460.45235,453.43185,452.42405,268.26515,263.23855,435.42125,250.25455,239.23855,237.22295,407.42635
GlcCer_AS(d18:1/29:1)+HCO2,940.74585,894.74035,732.68755,714.67695,700.66135,684.66635,666.65585,494.45845,492.44275,298.27565,476.44735,280.26515,458.43675,451.41625,450.40845,268.26515,263.23855,433.40565,250.25455,239.23855,237.22295,405.41075
GlcCer_AS(d18:1/29:2)+HCO2,938.73015,892.72475,730.67185,712.66135,698.64565,682.65075,664.64015,492.44275,490.42715,298.27565,474.43165,280.26515,456.42115,449.40055,448.39275,268.26515,263.23855,431.39005,250.25455,239.23855,237.22295,403.39505
GlcCer_AS(d18:1/29:3)+HCO2,936.71455,890.70905,728.65625,710.64565,696.63005,680.63505,662.62455,490.42715,488.41145,298.27565,472.41605,280.26515,454.40545,447.38495,446.37715,268.26515,263.23855,429.37435,250.25455,239.23855,237.22295,401.37945
GlcCer_AS(d18:1/29:4)+HCO2,934.69895,888.69345,726.64055,708.63005,694.61435,678.61945,660.60885,488.41145,486.39585,298.27565,470.40035,280.26515,452.38985,445.36925,444.36145,268.26515,263.23855,427.35875,250.25455,239.23855,237.22295,399.36385
GlcCer_AS(d18:1/30:0)+HCO2,956.77715,910.77165,748.71885,730.70825,716.69265,700.69765,682.68715,510.48975,508.47405,298.27565,492.47865,280.26515,474.46805,467.44755,466.43965,268.26515,263.23855,449.43695,250.25455,239.23855,237.22295,421.44205
GlcCer_AS(d18:1/30:1)+HCO2,954.76145,908.75595,746.70315,728.69265,714.67695,698.68205,680.67145,508.47405,506.45845,298.27565,490.46295,280.26515,472.45235,465.43185,464.42405,268.26515,263.23855,447.42125,250.25455,239.23855,237.22295,419.42635
GlcCer_AS(d18:1/30:2)+HCO2,952.74585,906.74035,744.68755,726.67695,712.66135,696.66635,678.65585,506.45845,504.44275,298.27565,488.44735,280.26515,470.43675,463.41625,462.40845,268.26515,263.23855,445.40565,250.25455,239.23855,237.22295,417.41075
GlcCer_AS(d18:1/30:3)+HCO2,950.73015,904.72475,742.67185,724.66135,710.64565,694.65075,676.64015,504.44275,502.42715,298.27565,486.43165,280.26515,468.42115,461.40055,460.39275,268.26515,263.23855,443.39005,250.25455,239.23855,237.22295,415.39505
GlcCer_AS(d18:1/30:4)+HCO2,948.71455,902.70905,740.65625,722.64565,708.63005,692.63505,674.62455,502.42715,500.41145,298.27565,484.41605,280.26515,466.40545,459.38495,458.37715,268.26515,263.23855,441.37435,250.25455,239.23855,237.22295,413.37945
GlcCer_AS(d18:1/31:0)+HCO2,970.79275,924.78725,762.73445,744.72395,730.70825,714.71335,696.70275,524.50535,522.48975,298.27565,506.49425,280.26515,488.48375,481.46315,480.45535,268.26515,263.23855,463.45265,250.25455,239.23855,237.22295,435.45775
GlcCer_AS(d18:1/31:1)+HCO2,968.77715,922.77165,760.71885,742.70825,728.69265,712.69765,694.68715,522.48975,520.47405,298.27565,504.47865,280.26515,486.46805,479.44755,478.43965,268.26515,263.23855,461.43695,250.25455,239.23855,237.22295,433.44205
GlcCer_AS(d18:1/31:2)+HCO2,966.76145,920.75595,758.70315,740.69265,726.67695,710.68205,692.67145,520.47405,518.45845,298.27565,502.46295,280.26515,484.45235,477.43185,476.42405,268.26515,263.23855,459.42125,250.25455,239.23855,237.22295,431.42635
GlcCer_AS(d18:1/31:3)+HCO2,964.74585,918.74035,756.68755,738.67695,724.66135,708.66635,690.65585,518.45845,516.44275,298.27565,500.44735,280.26515,482.43675,475.41625,474.40845,268.26515,263.23855,457.40565,250.25455,239.23855,237.22295,429.41075
GlcCer_AS(d18:1/31:4)+HCO2,962.73015,916.72475,754.67185,736.66135,722.64565,706.65075,688.64015,516.44275,514.42715,298.27565,498.43165,280.26515,480.42115,473.40055,472.39275,268.26515,263.23855,455.39005,250.25455,239.23855,237.22295,427.39505
GlcCer_AS(d18:1/32:0)+HCO2,984.80845,938.80295,776.75015,758.73955,744.72395,728.72905,710.71845,538.52105,536.50535,298.27565,520.50995,280.26515,502.49935,495.47885,494.47105,268.26515,263.23855,477.46825,250.25455,239.23855,237.22295,449.47335
GlcCer_AS(d18:1/32:1)+HCO2,982.79275,936.78725,774.73445,756.72395,742.70825,726.71335,708.70275,536.50535,534.48975,298.27565,518.49425,280.26515,500.48375,493.46315,492.45535,268.26515,263.23855,475.45265,250.25455,239.23855,237.22295,447.45775
GlcCer_AS(d18:1/32:2)+HCO2,980.77715,934.77165,772.71885,754.70825,740.69265,724.69765,706.68715,534.48975,532.47405,298.27565,516.47865,280.26515,498.46805,491.44755,490.43965,268.26515,263.23855,473.43695,250.25455,239.23855,237.22295,445.44205
GlcCer_AS(d18:1/32:3)+HCO2,978.76145,932.75595,770.70315,752.69265,738.67695,722.68205,704.67145,532.47405,530.45845,298.27565,514.46295,280.26515,496.45235,489.43185,488.42405,268.26515,263.23855,471.42125,250.25455,239.23855,237.22295,443.42635
GlcCer_AS(d18:1/32:4)+HCO2,976.74585,930.74035,768.68755,750.67695,736.66135,720.66635,702.65585,530.45845,528.44275,298.27565,512.44735,280.26515,494.43675,487.41625,486.40845,268.26515,263.23855,469.40565,250.25455,239.23855,237.22295,441.41075
GlcCer_AS(d18:1/33:0)+HCO2,998.82405,952.81865,790.76585,772.75515,758.73955,742.74465,724.73405,552.53665,550.52105,298.27565,534.52555,280.26515,516.51505,509.49445,508.48665,268.26515,263.23855,491.48395,250.25455,239.23855,237.22295,463.48895
GlcCer_AS(d18:1/33:1)+HCO2,996.80845,950.80295,788.75015,770.73955,756.72395,740.72905,722.71845,550.52105,548.50535,298.27565,532.50995,280.26515,514.49935,507.47885,506.47105,268.26515,263.23855,489.46825,250.25455,239.23855,237.22295,461.47335
GlcCer_AS(d18:1/33:2)+HCO2,994.79275,948.78725,786.73445,768.72395,754.70825,738.71335,720.70275,548.50535,546.48975,298.27565,530.49425,280.26515,512.48375,505.46315,504.45535,268.26515,263.23855,487.45265,250.25455,239.23855,237.22295,459.45775
GlcCer_AS(d18:1/33:3)+HCO2,992.77715,946.77165,784.71885,766.70825,752.69265,736.69765,718.68715,546.48975,544.47405,298.27565,528.47865,280.26515,510.46805,503.44755,502.43965,268.26515,263.23855,485.43695,250.25455,239.23855,237.22295,457.44205
GlcCer_AS(d18:1/33:4)+HCO2,990.76145,944.75595,782.70315,764.69265,750.67695,734.68205,716.67145,544.47405,542.45845,298.27565,526.46295,280.26515,508.45235,501.43185,500.42405,268.26515,263.23855,483.42125,250.25455,239.23855,237.22295,455.42635
GlcCer_AS(d18:1/34:0)+HCO2,1012.83955,966.83425,804.78145,786.77085,772.75515,756.76035,738.74965,566.55235,564.53665,298.27565,548.54115,280.26515,530.53065,523.51015,522.50235,268.26515,263.23855,505.49955,250.25455,239.23855,237.22295,477.50465
GlcCer_AS(d18:1/34:1)+HCO2,1010.82455,964.81865,802.76585,784.75515,770.73955,754.74465,736.73405,564.53665,562.52105,298.27565,546.52555,280.26515,528.51505,521.49455,520.48665,268.26515,263.23855,503.48395,250.25455,239.23855,237.22295,475.48895
GlcCer_AS(d18:1/34:2)+HCO2,1008.80855,962.80295,800.75015,782.73955,768.72395,752.72905,734.71845,562.52105,560.50535,298.27565,544.50995,280.26515,526.49935,519.47885,518.47105,268.26515,263.23855,501.46825,250.25455,239.23855,237.22295,473.47335
GlcCer_AS(d18:1/34:3)+HCO2,1006.79255,960.78725,798.73445,780.72395,766.70825,750.71335,732.70275,560.50535,558.48975,298.27565,542.49425,280.26515,524.48375,517.46315,516.45535,268.26515,263.23855,499.45265,250.25455,239.23855,237.22295,471.45775
GlcCer_AS(d18:1/34:4)+HCO2,1004.77755,958.77165,796.71885,778.70825,764.69265,748.69765,730.68715,558.48975,556.47405,298.27565,540.47865,280.26515,522.46805,515.44755,514.43965,268.26515,263.23855,497.43695,250.25455,239.23855,237.22295,469.44205
GlcCer_AS(d18:1/35:0)+HCO2,1026.85555,980.84995,818.79705,800.78645,786.77085,770.77595,752.76535,580.56795,578.55235,298.27565,562.55685,280.26515,544.54635,537.52575,536.51795,268.26515,263.23855,519.51515,250.25455,239.23855,237.22295,491.52025
GlcCer_AS(d18:1/35:1)+HCO2,1024.83955,978.83425,816.78145,798.77085,784.75515,768.76035,750.74965,578.55235,576.53665,298.27565,560.54115,280.26515,542.53065,535.51015,534.50235,268.26515,263.23855,517.49955,250.25455,239.23855,237.22295,489.50465
GlcCer_AS(d18:1/35:2)+HCO2,1022.82455,976.81865,814.76585,796.75515,782.73955,766.74465,748.73405,576.53665,574.52105,298.27565,558.52555,280.26515,540.51505,533.49455,532.48665,268.26515,263.23855,515.48385,250.25455,239.23855,237.22295,487.48895
GlcCer_AS(d18:1/35:3)+HCO2,1020.80855,974.80295,812.75015,794.73955,780.72395,764.72905,746.71845,574.52105,572.50535,298.27565,556.50995,280.26515,538.49935,531.47885,530.47105,268.26515,263.23855,513.46825,250.25455,239.23855,237.22295,485.47335
GlcCer_AS(d18:1/35:4)+HCO2,1018.79255,972.78725,810.73445,792.72395,778.70825,762.71335,744.70275,572.50535,570.48975,298.27565,554.49425,280.26515,536.48375,529.46315,528.45535,268.26515,263.23855,511.45265,250.25455,239.23855,237.22295,483.45775
GlcCer_AS(d18:1/36:0)+HCO2,1040.87055,994.86555,832.81275,814.80215,800.78645,784.79155,766.78105,594.58365,592.56795,298.27565,576.57255,280.26515,558.56195,551.54145,550.53365,268.26515,263.23855,533.53085,250.25455,239.23855,237.22295,505.53595
GlcCer_AS(d18:1/36:1)+HCO2,1038.85555,992.84995,830.79705,812.78645,798.77085,782.77595,764.76535,592.56795,590.55235,298.27565,574.55685,280.26515,556.54635,549.52575,548.51795,268.26515,263.23855,531.51515,250.25455,239.23855,237.22295,503.52025
GlcCer_AS(d18:1/36:2)+HCO2,1036.83955,990.83425,828.78145,810.77085,796.75515,780.76035,762.74965,590.55235,588.53665,298.27565,572.54115,280.26515,554.53065,547.51015,546.50235,268.26515,263.23855,529.49955,250.25455,239.23855,237.22295,501.50465
GlcCer_AS(d18:1/36:3)+HCO2,1034.82355,988.81865,826.76585,808.75515,794.73955,778.74465,760.73405,588.53665,586.52105,298.27565,570.52555,280.26515,552.51505,545.49455,544.48665,268.26515,263.23855,527.48385,250.25455,239.23855,237.22295,499.48895
GlcCer_AS(d18:1/36:4)+HCO2,1032.80855,986.80295,824.75015,806.73955,792.72395,776.72905,758.71845,586.52105,584.50535,298.27565,568.50995,280.26515,550.49935,543.47885,542.47105,268.26515,263.23855,525.46825,250.25455,239.23855,237.22295,497.47335
GlcCer_AS(d19:1/14:0)+HCO2,746.54245,700.53695,538.48405,520.47355,506.45785,490.46295,472.45235,286.23935,284.22365,312.29135,268.22825,294.28075,250.21765,243.19715,242.18935,282.28075,277.25425,225.18655,264.27025,253.25425,251.23855,197.19165
GlcCer_AS(d19:1/14:1)+HCO2,744.52675,698.52125,536.46845,518.45785,504.44225,488.44725,470.43675,284.22365,282.20805,312.29135,266.21255,294.28075,248.20195,241.18145,240.17365,282.28075,277.25425,223.17095,264.27025,253.25425,251.23855,195.17595
GlcCer_AS(d19:1/14:2)+HCO2,742.51115,696.50565,534.45275,516.44225,502.42655,486.43165,468.42105,282.20805,280.19235,312.29135,264.19695,294.28075,246.18635,239.16585,238.15805,282.28075,277.25425,221.15525,264.27025,253.25425,251.23855,193.16035
GlcCer_AS(d19:1/14:3)+HCO2,740.49545,694.48995,532.43715,514.42655,500.41095,484.41595,466.40545,280.19235,278.17675,312.29135,262.18125,294.28075,244.17075,237.15015,236.14235,282.28075,277.25425,219.13965,264.27025,253.25425,251.23855,191.14465
GlcCer_AS(d19:1/15:0)+HCO2,760.55805,714.55255,552.49975,534.48915,520.47355,504.47855,486.46805,300.25495,298.23935,312.29135,282.24385,294.28075,264.23335,257.21275,256.20495,282.28075,277.25425,239.20225,264.27025,253.25425,251.23855,211.20725
GlcCer_AS(d19:1/15:1)+HCO2,758.54245,712.53695,550.48405,532.47355,518.45785,502.46295,484.45235,298.23935,296.22365,312.29135,280.22825,294.28075,262.21765,255.19715,254.18935,282.28075,277.25425,237.18655,264.27025,253.25425,251.23855,209.19165
GlcCer_AS(d19:1/15:2)+HCO2,756.52675,710.52125,548.46845,530.45785,516.44225,500.44725,482.43675,296.22365,294.20805,312.29135,278.21255,294.28075,260.20195,253.18145,252.17365,282.28075,277.25425,235.17095,264.27025,253.25425,251.23855,207.17595
GlcCer_AS(d19:1/15:3)+HCO2,754.51115,708.50565,546.45275,528.44225,514.42655,498.43165,480.42105,294.20805,292.19235,312.29135,276.19695,294.28075,258.18635,251.16585,250.15805,282.28075,277.25425,233.15525,264.27025,253.25425,251.23855,205.16035
GlcCer_AS(d19:1/16:0)+HCO2,774.57365,728.56825,566.51535,548.50485,534.48915,518.49425,500.48365,314.27065,312.25495,312.29135,296.25955,294.28075,278.24895,271.22845,270.22065,282.28075,277.25425,253.21785,264.27025,253.25425,251.23855,225.22295
GlcCer_AS(d19:1/16:1)+HCO2,772.55805,726.55255,564.49975,546.48915,532.47355,516.47855,498.46805,312.25495,310.23935,312.29135,294.24385,294.28075,276.23335,269.21275,268.20495,282.28075,277.25425,251.20225,264.27025,253.25425,251.23855,223.20725
GlcCer_AS(d19:1/16:2)+HCO2,770.54245,724.53695,562.48405,544.47355,530.45785,514.46295,496.45235,310.23935,308.22365,312.29135,292.22825,294.28075,274.21765,267.19715,266.18935,282.28075,277.25425,249.18655,264.27025,253.25425,251.23855,221.19165
GlcCer_AS(d19:1/16:3)+HCO2,768.52675,722.52125,560.46845,542.45785,528.44225,512.44725,494.43675,308.22365,306.20805,312.29135,290.21255,294.28075,272.20195,265.18145,264.17365,282.28075,277.25425,247.17095,264.27025,253.25425,251.23855,219.17595
GlcCer_AS(d19:1/16:4)+HCO2,766.51115,720.50565,558.45275,540.44225,526.42655,510.43165,492.42105,306.20805,304.19235,312.29135,288.19695,294.28075,270.18635,263.16585,262.15805,282.28075,277.25425,245.15525,264.27025,253.25425,251.23855,217.16035
GlcCer_AS(d19:1/17:0)+HCO2,788.58935,742.58385,580.53105,562.52045,548.50485,532.50985,514.49935,328.28625,326.27065,312.29135,310.27515,294.28075,292.26455,285.24405,284.23625,282.28075,277.25425,267.23355,264.27025,253.25425,251.23855,239.23855
GlcCer_AS(d19:1/17:1)+HCO2,786.57365,740.56825,578.51535,560.50485,546.48915,530.49425,512.48365,326.27065,324.25495,312.29135,308.25955,294.28075,290.24895,283.22845,282.22065,282.28075,277.25425,265.21785,264.27025,253.25425,251.23855,237.22295
GlcCer_AS(d19:1/17:2)+HCO2,784.55805,738.55255,576.49975,558.48915,544.47355,528.47855,510.46805,324.25495,322.23935,312.29135,306.24385,294.28075,288.23335,281.21275,280.20495,282.28075,277.25425,263.20225,264.27025,253.25425,251.23855,235.20725
GlcCer_AS(d19:1/17:3)+HCO2,782.54245,736.53695,574.48405,556.47355,542.45785,526.46295,508.45235,322.23935,320.22365,312.29135,304.22825,294.28075,286.21765,279.19715,278.18935,282.28075,277.25425,261.18655,264.27025,253.25425,251.23855,233.19165
GlcCer_AS(d19:1/18:0)+HCO2,802.60495,756.59945,594.54665,576.53615,562.52045,546.52555,528.51495,342.30195,340.28625,312.29135,324.29085,294.28075,306.28025,299.25975,298.25195,282.28075,277.25425,281.24915,264.27025,253.25425,251.23855,253.25425
GlcCer_AS(d19:1/18:1)+HCO2,800.58935,754.58385,592.53105,574.52045,560.50485,544.50985,526.49935,340.28625,338.27065,312.29135,322.27515,294.28075,304.26455,297.24405,296.23625,282.28075,277.25425,279.23355,264.27025,253.25425,251.23855,251.23855
GlcCer_AS(d19:1/18:2)+HCO2,798.57365,752.56825,590.51535,572.50485,558.48915,542.49425,524.48365,338.27065,336.25495,312.29135,320.25955,294.28075,302.24895,295.22845,294.22065,282.28075,277.25425,277.21785,264.27025,253.25425,251.23855,249.22295
GlcCer_AS(d19:1/18:3)+HCO2,796.55805,750.55255,588.49975,570.48915,556.47355,540.47855,522.46805,336.25495,334.23935,312.29135,318.24385,294.28075,300.23335,293.21275,292.20495,282.28075,277.25425,275.20225,264.27025,253.25425,251.23855,247.20725
GlcCer_AS(d19:1/18:4)+HCO2,794.54245,748.53695,586.48405,568.47355,554.45785,538.46295,520.45235,334.23935,332.22365,312.29135,316.22825,294.28075,298.21765,291.19715,290.18935,282.28075,277.25425,273.18655,264.27025,253.25425,251.23855,245.19165
GlcCer_AS(d19:1/19:0)+HCO2,816.62065,770.61515,608.56235,590.55175,576.53615,560.54115,542.53065,356.31755,354.30195,312.29135,338.30645,294.28075,320.29585,313.27535,312.26755,282.28075,277.25425,295.26485,264.27025,253.25425,251.23855,267.26985
GlcCer_AS(d19:1/19:1)+HCO2,814.60495,768.59945,606.54665,588.53615,574.52045,558.52555,540.51495,354.30195,352.28625,312.29135,336.29085,294.28075,318.28025,311.25975,310.25195,282.28075,277.25425,293.24915,264.27025,253.25425,251.23855,265.25425
