Cer_NDS,[M+HCO2]-,[M-H]-,[M-CO-3H]-,[M-CO-O-3H]-,[Sph-H]-,[FA+NCCO-3H]-,[FA+NCC-3H]-,[FA+N-H]-,[Sph-NCCO-3H]-,[FA-3H]-
Cer_NDS(d16:0/20:2)+HCO2,608.52595,562.52055,530.49425,514.49935,272.26005,348.29085,332.29585,306.28075,211.20725,289.27805
Cer_NDS(d16:0/20:3)+HCO2,606.51035,560.50485,528.47865,512.48375,272.26005,346.27515,330.28025,304.26515,211.20725,287.26235
Cer_NDS(d16:0/20:4)+HCO2,604.49465,558.48915,526.46295,510.46805,272.26005,344.25955,328.26455,302.24945,211.20725,285.24675
Cer_NDS(d16:0/21:0)+HCO2,626.57285,580.56745,548.54115,532.54625,272.26005,366.33775,350.34285,324.32775,211.20725,307.32505
Cer_NDS(d16:0/21:1)+HCO2,624.55725,578.55175,546.52555,530.53065,272.26005,364.32215,348.32725,322.31215,211.20725,305.30935
Cer_NDS(d16:0/21:2)+HCO2,622.54165,576.53615,544.50985,528.51505,272.26005,362.30645,346.31155,320.29645,211.20725,303.29375
Cer_NDS(d16:0/21:3)+HCO2,620.52595,574.52055,542.49425,526.49935,272.26005,360.29085,344.29585,318.28075,211.20725,301.27805
Cer_NDS(d16:0/21:4)+HCO2,618.51035,572.50485,540.47865,524.48375,272.26005,358.27515,342.28025,316.26515,211.20725,299.26235
Cer_NDS(d16:0/22:0)+HCO2,640.58855,594.58305,562.55685,546.56195,272.26005,380.35345,364.35845,338.34335,211.20725,321.34065
Cer_NDS(d16:0/22:1)+HCO2,638.57285,592.56745,560.54115,544.54625,272.26005,378.33775,362.34285,336.32775,211.20725,319.32505
Cer_NDS(d16:0/22:2)+HCO2,636.55725,590.55175,558.52555,542.53065,272.26005,376.32215,360.32725,334.31215,211.20725,317.30935
Cer_NDS(d16:0/22:3)+HCO2,634.54165,588.53615,556.50985,540.51505,272.26005,374.30645,358.31155,332.29645,211.20725,315.29375
Cer_NDS(d16:0/22:4)+HCO2,632.52595,586.52055,554.49425,538.49935,272.26005,372.29085,356.29585,330.28075,211.20725,313.27805
Cer_NDS(d16:0/23:0)+HCO2,654.60415,608.59875,576.57255,560.57755,272.26005,394.36905,378.37415,352.35905,211.20725,335.35625
Cer_NDS(d16:0/23:1)+HCO2,652.58855,606.58305,574.55685,558.56195,272.26005,392.35345,376.35845,350.34335,211.20725,333.34065
Cer_NDS(d16:0/23:2)+HCO2,650.57285,604.56745,572.54115,556.54625,272.26005,390.33775,374.34285,348.32775,211.20725,331.32505
Cer_NDS(d16:0/23:3)+HCO2,648.55725,602.55175,570.52555,554.53065,272.26005,388.32215,372.32725,346.31215,211.20725,329.30935
Cer_NDS(d16:0/23:4)+HCO2,646.54165,600.53615,568.50985,552.51505,272.26005,386.30645,370.31155,344.29645,211.20725,327.29375
Cer_NDS(d16:0/24:0)+HCO2,668.61985,622.61435,590.58815,574.59325,272.26005,408.38475,392.38985,366.37465,211.20725,349.37195
Cer_NDS(d16:0/24:1)+HCO2,666.60415,620.59875,588.57255,572.57755,272.26005,406.36905,390.37415,364.35905,211.20725,347.35625
Cer_NDS(d16:0/24:2)+HCO2,664.58855,618.58305,586.55685,570.56195,272.26005,404.35345,388.35845,362.34335,211.20725,345.34065
Cer_NDS(d16:0/24:3)+HCO2,662.57285,616.56745,584.54115,568.54625,272.26005,402.33775,386.34285,360.32775,211.20725,343.32505
Cer_NDS(d16:0/24:4)+HCO2,660.55725,614.55175,582.52555,566.53065,272.26005,400.32215,384.32725,358.31215,211.20725,341.30935
Cer_NDS(d16:0/25:0)+HCO2,682.63545,636.63005,604.60385,588.60885,272.26005,422.40035,406.40545,380.39035,211.20725,363.38765
Cer_NDS(d16:0/25:1)+HCO2,680.61985,634.61435,602.58815,586.59325,272.26005,420.38475,404.38985,378.37465,211.20725,361.37195
Cer_NDS(d16:0/25:2)+HCO2,678.60415,632.59875,600.57255,584.57755,272.26005,418.36905,402.37415,376.35905,211.20725,359.35625
