Sulfatide,[M+H]+,[M-SO3+H]+,[M-H2SO4+H]+,[M-C6H12O9S+H]+,[M-C6H10O8S+H]+,[M-C6H10O8S-H2O+H]+,[M-FA-H2SO4+H]+,[Sph-H2O+H]+,[Sph-2H2O+H]+,[FAA+H]+,[Sph-CH4O2+H]+
SHexCer(d14:0/12:0)+H,670.419503,590.4621,572.4515,428.4093,410.3987,392.3882,390.285,228.2322,210.2216,200.2009,198.2216
SHexCer(d14:0/12:1)+H,668.403803,588.4464,570.4359,426.3936,408.383,390.3724,390.285,228.2322,210.2216,198.1853,198.2216
SHexCer(d14:1/12:0)+H,668.403803,588.4464,570.4359,426.3936,408.383,390.3724,388.2693,226.2166,208.206,200.2009,196.206
SHexCer(d14:1/12:1)+H,666.388203,586.4308,568.4202,424.378,406.3674,388.3568,388.2694,226.2166,208.206,198.1853,196.206
SHexCer(d14:0/13:0)+H,684.435203,604.4778,586.4672,442.425,424.4144,406.4038,390.2851,228.2322,210.2216,214.2166,198.2216
SHexCer(d15:0/12:0)+H,684.435203,604.4778,586.4672,442.425,424.4144,406.4038,404.3007,242.2478,224.2373,200.2009,212.2373
SHexCer(d14:0/13:1)+H,682.419503,602.4621,584.4515,440.4093,422.3987,404.3882,390.285,228.2322,210.2216,212.2009,198.2216
SHexCer(d14:1/13:0)+H,682.419503,602.4621,584.4515,440.4093,422.3987,404.3882,388.2694,226.2166,208.206,214.2166,196.206
SHexCer(d15:0/12:1)+H,682.419503,602.4621,584.4515,440.4093,422.3987,404.3882,404.3007,242.2478,224.2373,198.1853,212.2373
SHexCer(d15:1/12:0)+H,682.419503,602.4621,584.4515,440.4093,422.3987,404.3882,402.285,240.2322,222.2216,200.2009,210.2216
SHexCer(d14:1/13:1)+H,680.403803,600.4464,582.4359,438.3936,420.383,402.3724,388.2693,226.2166,208.206,212.2009,196.206
SHexCer(d15:1/12:1)+H,680.403803,600.4464,582.4359,438.3936,420.383,402.3724,402.285,240.2322,222.2216,198.1853,210.2216
SHexCer(d14:0/14:0)+H,698.450803,618.4934,600.4828,456.4406,438.43,420.4195,390.285,228.2322,210.2216,228.2322,198.2216
SHexCer(d15:0/13:0)+H,698.450803,618.4934,600.4828,456.4406,438.43,420.4195,404.3007,242.2478,224.2373,214.2166,212.2373
SHexCer(d16:0/12:0)+H,698.450803,618.4934,600.4828,456.4406,438.43,420.4195,418.3163,256.2635,238.2529,200.2009,226.2529
SHexCer(d14:0/14:1)+H,696.435203,616.4778,598.4672,454.425,436.4144,418.4038,390.2851,228.2322,210.2216,226.2166,198.2216
SHexCer(d14:1/14:0)+H,696.435203,616.4778,598.4672,454.425,436.4144,418.4038,388.2694,226.2166,208.206,228.2322,196.206
SHexCer(d15:0/13:1)+H,696.435203,616.4778,598.4672,454.425,436.4144,418.4038,404.3007,242.2478,224.2373,212.2009,212.2373
SHexCer(d15:1/13:0)+H,696.435203,616.4778,598.4672,454.425,436.4144,418.4038,402.2851,240.2322,222.2216,214.2166,210.2216
SHexCer(d16:0/12:1)+H,696.435203,616.4778,598.4672,454.425,436.4144,418.4038,418.3164,256.2635,238.2529,198.1853,226.2529
SHexCer(d16:1/12:0)+H,696.435203,616.4778,598.4672,454.425,436.4144,418.4038,416.3007,254.2478,236.2373,200.2009,224.2373
SHexCer(d14:1/14:1)+H,694.419503,614.4621,596.4515,452.4093,434.3987,416.3882,388.2694,226.2166,208.206,226.2166,196.206
SHexCer(d15:1/13:1)+H,694.419503,614.4621,596.4515,452.4093,434.3987,416.3882,402.285,240.2322,222.2216,212.2009,210.2216
SHexCer(d16:1/12:1)+H,694.419503,614.4621,596.4515,452.4093,434.3987,416.3882,416.3007,254.2478,236.2373,198.1853,224.2373
SHexCer(d14:0/15:0)+H,712.466403,632.509,614.4984,470.4562,452.4456,434.4351,390.285,228.2322,210.2216,242.2478,198.2216
SHexCer(d15:0/14:0)+H,712.466403,632.509,614.4984,470.4562,452.4456,434.4351,404.3006,242.2478,224.2373,228.2322,212.2373
SHexCer(d16:0/13:0)+H,712.466403,632.509,614.4984,470.4562,452.4456,434.4351,418.3163,256.2635,238.2529,214.2166,226.2529
SHexCer(d17:0/12:0)+H,712.466403,632.509,614.4984,470.4562,452.4456,434.4351,432.3319,270.2791,252.2686,200.2009,240.2686
SHexCer(d14:0/15:1)+H,710.450803,630.4934,612.4828,468.4406,450.43,432.4195,390.285,228.2322,210.2216,240.2322,198.2216
SHexCer(d14:1/15:0)+H,710.450803,630.4934,612.4828,468.4406,450.43,432.4195,388.2694,226.2166,208.206,242.2478,196.206
SHexCer(d15:0/14:1)+H,710.450803,630.4934,612.4828,468.4406,450.43,432.4195,404.3007,242.2478,224.2373,226.2166,212.2373
SHexCer(d15:1/14:0)+H,710.450803,630.4934,612.4828,468.4406,450.43,432.4195,402.285,240.2322,222.2216,228.2322,210.2216
SHexCer(d16:0/13:1)+H,710.450803,630.4934,612.4828,468.4406,450.43,432.4195,418.3163,256.2635,238.2529,212.2009,226.2529
SHexCer(d16:1/13:0)+H,710.450803,630.4934,612.4828,468.4406,450.43,432.4195,416.3007,254.2478,236.2373,214.2166,224.2373
SHexCer(d17:0/12:1)+H,710.450803,630.4934,612.4828,468.4406,450.43,432.4195,432.332,270.2791,252.2686,198.1853,240.2686
SHexCer(d17:1/12:0)+H,710.450803,630.4934,612.4828,468.4406,450.43,432.4195,430.3163,268.2635,250.2529,200.2009,238.2529
SHexCer(d14:1/15:1)+H,708.435203,628.4778,610.4672,466.425,448.4144,430.4038,388.2694,226.2166,208.206,240.2322,196.206
SHexCer(d15:1/14:1)+H,708.435203,628.4778,610.4672,466.425,448.4144,430.4038,402.2851,240.2322,222.2216,226.2166,210.2216
SHexCer(d16:1/13:1)+H,708.435203,628.4778,610.4672,466.425,448.4144,430.4038,416.3007,254.2478,236.2373,212.2009,224.2373
SHexCer(d17:1/12:1)+H,708.435203,628.4778,610.4672,466.425,448.4144,430.4038,430.3164,268.2635,250.2529,198.1853,238.2529
SHexCer(d14:0/16:0)+H,726.482103,646.5247,628.5142,484.4719,466.4613,448.4507,390.285,228.2322,210.2216,256.2635,198.2216
SHexCer(d15:0/15:0)+H,726.482103,646.5247,628.5142,484.4719,466.4613,448.4507,404.3007,242.2478,224.2373,242.2478,212.2373
SHexCer(d16:0/14:0)+H,726.482103,646.5247,628.5142,484.4719,466.4613,448.4507,418.3163,256.2635,238.2529,228.2322,226.2529
SHexCer(d17:0/13:0)+H,726.482103,646.5247,628.5142,484.4719,466.4613,448.4507,432.332,270.2791,252.2686,214.2166,240.2686
SHexCer(d18:0/12:0)+H,726.482103,646.5247,628.5142,484.4719,466.4613,448.4507,446.3476,284.2948,266.2842,200.2009,254.2842
SHexCer(d14:0/16:1)+H,724.466403,644.509,626.4984,482.4562,464.4456,446.4351,390.285,228.2322,210.2216,254.2478,198.2216
SHexCer(d14:1/16:0)+H,724.466403,644.509,626.4984,482.4562,464.4456,446.4351,388.2693,226.2166,208.206,256.2635,196.206
SHexCer(d15:0/15:1)+H,724.466403,644.509,626.4984,482.4562,464.4456,446.4351,404.3006,242.2478,224.2373,240.2322,212.2373
SHexCer(d15:1/15:0)+H,724.466403,644.509,626.4984,482.4562,464.4456,446.4351,402.285,240.2322,222.2216,242.2478,210.2216
SHexCer(d16:0/14:1)+H,724.466403,644.509,626.4984,482.4562,464.4456,446.4351,418.3163,256.2635,238.2529,226.2166,226.2529
SHexCer(d16:1/14:0)+H,724.466403,644.509,626.4984,482.4562,464.4456,446.4351,416.3006,254.2478,236.2373,228.2322,224.2373
SHexCer(d17:0/13:1)+H,724.466403,644.509,626.4984,482.4562,464.4456,446.4351,432.3319,270.2791,252.2686,212.2009,240.2686
SHexCer(d17:1/13:0)+H,724.466403,644.509,626.4984,482.4562,464.4456,446.4351,430.3163,268.2635,250.2529,214.2166,238.2529
SHexCer(d18:0/12:1)+H,724.466403,644.509,626.4984,482.4562,464.4456,446.4351,446.3476,284.2948,266.2842,198.1853,254.2842
SHexCer(d18:1/12:0)+H,724.466403,644.509,626.4984,482.4562,464.4456,446.4351,444.3319,282.2791,264.2686,200.2009,252.2686
SHexCer(d14:0/16:2)+H,722.450803,642.4934,624.4828,480.4406,462.43,444.4195,390.285,228.2322,210.2216,252.2322,198.2216
SHexCer(d14:1/16:1)+H,722.450803,642.4934,624.4828,480.4406,462.43,444.4195,388.2694,226.2166,208.206,254.2478,196.206
SHexCer(d15:1/15:1)+H,722.450803,642.4934,624.4828,480.4406,462.43,444.4195,402.285,240.2322,222.2216,240.2322,210.2216
SHexCer(d16:1/14:1)+H,722.450803,642.4934,624.4828,480.4406,462.43,444.4195,416.3007,254.2478,236.2373,226.2166,224.2373
SHexCer(d17:1/13:1)+H,722.450803,642.4934,624.4828,480.4406,462.43,444.4195,430.3163,268.2635,250.2529,212.2009,238.2529
SHexCer(d18:1/12:1)+H,722.450803,642.4934,624.4828,480.4406,462.43,444.4195,444.332,282.2791,264.2686,198.1853,252.2686
SHexCer(d14:1/16:2)+H,720.435203,640.4778,622.4672,478.425,460.4144,442.4038,388.2694,226.2166,208.206,252.2322,196.206
SHexCer(d14:0/17:0)+H,740.497703,660.5403,642.5297,498.4875,480.4769,462.4663,390.285,228.2322,210.2216,270.2791,198.2216
SHexCer(d15:0/16:0)+H,740.497703,660.5403,642.5297,498.4875,480.4769,462.4663,404.3006,242.2478,224.2373,256.2635,212.2373
SHexCer(d16:0/15:0)+H,740.497703,660.5403,642.5297,498.4875,480.4769,462.4663,418.3163,256.2635,238.2529,242.2478,226.2529
SHexCer(d17:0/14:0)+H,740.497703,660.5403,642.5297,498.4875,480.4769,462.4663,432.3319,270.2791,252.2686,228.2322,240.2686
SHexCer(d18:0/13:0)+H,740.497703,660.5403,642.5297,498.4875,480.4769,462.4663,446.3476,284.2948,266.2842,214.2166,254.2842
SHexCer(d19:0/12:0)+H,740.497703,660.5403,642.5297,498.4875,480.4769,462.4663,460.3632,298.3105,280.2999,200.2009,268.2999
SHexCer(d14:1/17:0)+H,738.482103,658.5247,640.5142,496.4719,478.4613,460.4507,388.2694,226.2166,208.206,270.2791,196.206
SHexCer(d15:0/16:1)+H,738.482103,658.5247,640.5142,496.4719,478.4613,460.4507,404.3007,242.2478,224.2373,254.2478,212.2373
SHexCer(d15:1/16:0)+H,738.482103,658.5247,640.5142,496.4719,478.4613,460.4507,402.285,240.2322,222.2216,256.2635,210.2216
SHexCer(d16:0/15:1)+H,738.482103,658.5247,640.5142,496.4719,478.4613,460.4507,418.3163,256.2635,238.2529,240.2322,226.2529
SHexCer(d16:1/15:0)+H,738.482103,658.5247,640.5142,496.4719,478.4613,460.4507,416.3007,254.2478,236.2373,242.2478,224.2373
SHexCer(d17:0/14:1)+H,738.482103,658.5247,640.5142,496.4719,478.4613,460.4507,432.332,270.2791,252.2686,226.2166,240.2686
SHexCer(d17:1/14:0)+H,738.482103,658.5247,640.5142,496.4719,478.4613,460.4507,430.3163,268.2635,250.2529,228.2322,238.2529
SHexCer(d18:0/13:1)+H,738.482103,658.5247,640.5142,496.4719,478.4613,460.4507,446.3476,284.2948,266.2842,212.2009,254.2842
SHexCer(d18:1/13:0)+H,738.482103,658.5247,640.5142,496.4719,478.4613,460.4507,444.332,282.2791,264.2686,214.2166,252.2686
SHexCer(d19:0/12:1)+H,738.482103,658.5247,640.5142,496.4719,478.4613,460.4507,460.3633,298.3105,280.2999,198.1853,268.2999
SHexCer(d19:1/12:0)+H,738.482103,658.5247,640.5142,496.4719,478.4613,460.4507,458.3476,296.2948,278.2842,200.2009,266.2842
SHexCer(d15:0/16:2)+H,736.466403,656.509,638.4984,494.4562,476.4456,458.4351,404.3006,242.2478,224.2373,252.2322,212.2373
SHexCer(d15:1/16:1)+H,736.466403,656.509,638.4984,494.4562,476.4456,458.4351,402.285,240.2322,222.2216,254.2478,210.2216
SHexCer(d16:1/15:1)+H,736.466403,656.509,638.4984,494.4562,476.4456,458.4351,416.3006,254.2478,236.2373,240.2322,224.2373
SHexCer(d17:1/14:1)+H,736.466403,656.509,638.4984,494.4562,476.4456,458.4351,430.3163,268.2635,250.2529,226.2166,238.2529
SHexCer(d18:1/13:1)+H,736.466403,656.509,638.4984,494.4562,476.4456,458.4351,444.3319,282.2791,264.2686,212.2009,252.2686
SHexCer(d19:1/12:1)+H,736.466403,656.509,638.4984,494.4562,476.4456,458.4351,458.3476,296.2948,278.2842,198.1853,266.2842
SHexCer(d15:1/16:2)+H,734.450803,654.4934,636.4828,492.4406,474.43,456.4195,402.285,240.2322,222.2216,252.2322,210.2216
SHexCer(d14:0/18:0)+H,754.513403,674.556,656.5454,512.5032,494.4926,476.4821,390.285,228.2322,210.2216,284.2948,198.2216
SHexCer(d15:0/17:0)+H,754.513403,674.556,656.5454,512.5032,494.4926,476.4821,404.3007,242.2478,224.2373,270.2791,212.2373
SHexCer(d16:0/16:0)+H,754.513403,674.556,656.5454,512.5032,494.4926,476.4821,418.3163,256.2635,238.2529,256.2635,226.2529
SHexCer(d17:0/15:0)+H,754.513403,674.556,656.5454,512.5032,494.4926,476.4821,432.332,270.2791,252.2686,242.2478,240.2686
SHexCer(d18:0/14:0)+H,754.513403,674.556,656.5454,512.5032,494.4926,476.4821,446.3476,284.2948,266.2842,228.2322,254.2842
SHexCer(d19:0/13:0)+H,754.513403,674.556,656.5454,512.5032,494.4926,476.4821,460.3633,298.3105,280.2999,214.2166,268.2999
SHexCer(d20:0/12:0)+H,754.513403,674.556,656.5454,512.5032,494.4926,476.4821,474.3789,312.3261,294.3155,200.2009,282.3155
SHexCer(d14:0/18:1)+H,752.497703,672.5403,654.5297,510.4875,492.4769,474.4663,390.285,228.2322,210.2216,282.2791,198.2216
SHexCer(d14:1/18:0)+H,752.497703,672.5403,654.5297,510.4875,492.4769,474.4663,388.2693,226.2166,208.206,284.2948,196.206
SHexCer(d15:1/17:0)+H,752.497703,672.5403,654.5297,510.4875,492.4769,474.4663,402.285,240.2322,222.2216,270.2791,210.2216
SHexCer(d16:0/16:1)+H,752.497703,672.5403,654.5297,510.4875,492.4769,474.4663,418.3163,256.2635,238.2529,254.2478,226.2529
SHexCer(d16:1/16:0)+H,752.497703,672.5403,654.5297,510.4875,492.4769,474.4663,416.3006,254.2478,236.2373,256.2635,224.2373
SHexCer(d17:0/15:1)+H,752.497703,672.5403,654.5297,510.4875,492.4769,474.4663,432.3319,270.2791,252.2686,240.2322,240.2686
SHexCer(d17:1/15:0)+H,752.497703,672.5403,654.5297,510.4875,492.4769,474.4663,430.3163,268.2635,250.2529,242.2478,238.2529
SHexCer(d18:0/14:1)+H,752.497703,672.5403,654.5297,510.4875,492.4769,474.4663,446.3476,284.2948,266.2842,226.2166,254.2842
SHexCer(d18:1/14:0)+H,752.497703,672.5403,654.5297,510.4875,492.4769,474.4663,444.3319,282.2791,264.2686,228.2322,252.2686
SHexCer(d19:0/13:1)+H,752.497703,672.5403,654.5297,510.4875,492.4769,474.4663,460.3632,298.3105,280.2999,212.2009,268.2999
SHexCer(d19:1/13:0)+H,752.497703,672.5403,654.5297,510.4875,492.4769,474.4663,458.3476,296.2948,278.2842,214.2166,266.2842
SHexCer(d20:0/12:1)+H,752.497703,672.5403,654.5297,510.4875,492.4769,474.4663,474.3789,312.3261,294.3155,198.1853,282.3155
SHexCer(d20:1/12:0)+H,752.497703,672.5403,654.5297,510.4875,492.4769,474.4663,472.3632,310.3105,292.2999,200.2009,280.2999
SHexCer(d14:0/18:2)+H,750.482103,670.5247,652.5142,508.4719,490.4613,472.4507,390.285,228.2322,210.2216,280.2635,198.2216
SHexCer(d14:1/18:1)+H,750.482103,670.5247,652.5142,508.4719,490.4613,472.4507,388.2694,226.2166,208.206,282.2791,196.206
SHexCer(d16:0/16:2)+H,750.482103,670.5247,652.5142,508.4719,490.4613,472.4507,418.3163,256.2635,238.2529,252.2322,226.2529
SHexCer(d16:1/16:1)+H,750.482103,670.5247,652.5142,508.4719,490.4613,472.4507,416.3007,254.2478,236.2373,254.2478,224.2373
SHexCer(d17:1/15:1)+H,750.482103,670.5247,652.5142,508.4719,490.4613,472.4507,430.3163,268.2635,250.2529,240.2322,238.2529
SHexCer(d18:1/14:1)+H,750.482103,670.5247,652.5142,508.4719,490.4613,472.4507,444.332,282.2791,264.2686,226.2166,252.2686
SHexCer(d19:1/13:1)+H,750.482103,670.5247,652.5142,508.4719,490.4613,472.4507,458.3476,296.2948,278.2842,212.2009,266.2842
SHexCer(d20:1/12:1)+H,750.482103,670.5247,652.5142,508.4719,490.4613,472.4507,472.3633,310.3105,292.2999,198.1853,280.2999
SHexCer(d14:1/18:2)+H,748.466403,668.509,650.4984,506.4562,488.4456,470.4351,388.2693,226.2166,208.206,280.2635,196.206
SHexCer(d16:1/16:2)+H,748.466403,668.509,650.4984,506.4562,488.4456,470.4351,416.3006,254.2478,236.2373,252.2322,224.2373
SHexCer(d14:0/19:0)+H,768.529003,688.5716,670.561,526.5188,508.5082,490.4977,390.285,228.2322,210.2216,298.3105,198.2216
SHexCer(d15:0/18:0)+H,768.529003,688.5716,670.561,526.5188,508.5082,490.4977,404.3006,242.2478,224.2373,284.2948,212.2373
SHexCer(d16:0/17:0)+H,768.529003,688.5716,670.561,526.5188,508.5082,490.4977,418.3163,256.2635,238.2529,270.2791,226.2529
SHexCer(d17:0/16:0)+H,768.529003,688.5716,670.561,526.5188,508.5082,490.4977,432.3319,270.2791,252.2686,256.2635,240.2686
SHexCer(d18:0/15:0)+H,768.529003,688.5716,670.561,526.5188,508.5082,490.4977,446.3476,284.2948,266.2842,242.2478,254.2842
SHexCer(d19:0/14:0)+H,768.529003,688.5716,670.561,526.5188,508.5082,490.4977,460.3632,298.3105,280.2999,228.2322,268.2999
SHexCer(d20:0/13:0)+H,768.529003,688.5716,670.561,526.5188,508.5082,490.4977,474.3789,312.3261,294.3155,214.2166,282.3155
SHexCer(d21:0/12:0)+H,768.529003,688.5716,670.561,526.5188,508.5082,490.4977,488.3945,326.3417,308.3312,200.2009,296.3312
SHexCer(d14:0/19:1)+H,766.513403,686.556,668.5454,524.5032,506.4926,488.4821,390.285,228.2322,210.2216,296.2948,198.2216
SHexCer(d14:1/19:0)+H,766.513403,686.556,668.5454,524.5032,506.4926,488.4821,388.2694,226.2166,208.206,298.3105,196.206
SHexCer(d15:0/18:1)+H,766.513403,686.556,668.5454,524.5032,506.4926,488.4821,404.3007,242.2478,224.2373,282.2791,212.2373
SHexCer(d15:1/18:0)+H,766.513403,686.556,668.5454,524.5032,506.4926,488.4821,402.285,240.2322,222.2216,284.2948,210.2216
SHexCer(d16:1/17:0)+H,766.513403,686.556,668.5454,524.5032,506.4926,488.4821,416.3007,254.2478,236.2373,270.2791,224.2373
SHexCer(d17:0/16:1)+H,766.513403,686.556,668.5454,524.5032,506.4926,488.4821,432.332,270.2791,252.2686,254.2478,240.2686
SHexCer(d17:1/16:0)+H,766.513403,686.556,668.5454,524.5032,506.4926,488.4821,430.3163,268.2635,250.2529,256.2635,238.2529
SHexCer(d18:0/15:1)+H,766.513403,686.556,668.5454,524.5032,506.4926,488.4821,446.3476,284.2948,266.2842,240.2322,254.2842
SHexCer(d18:1/15:0)+H,766.513403,686.556,668.5454,524.5032,506.4926,488.4821,444.332,282.2791,264.2686,242.2478,252.2686
SHexCer(d19:0/14:1)+H,766.513403,686.556,668.5454,524.5032,506.4926,488.4821,460.3633,298.3105,280.2999,226.2166,268.2999
SHexCer(d19:1/14:0)+H,766.513403,686.556,668.5454,524.5032,506.4926,488.4821,458.3476,296.2948,278.2842,228.2322,266.2842
SHexCer(d20:0/13:1)+H,766.513403,686.556,668.5454,524.5032,506.4926,488.4821,474.3789,312.3261,294.3155,212.2009,282.3155
SHexCer(d20:1/13:0)+H,766.513403,686.556,668.5454,524.5032,506.4926,488.4821,472.3633,310.3105,292.2999,214.2166,280.2999
SHexCer(d21:0/12:1)+H,766.513403,686.556,668.5454,524.5032,506.4926,488.4821,488.3946,326.3417,308.3312,198.1853,296.3312
SHexCer(d21:1/12:0)+H,766.513403,686.556,668.5454,524.5032,506.4926,488.4821,486.3789,324.3261,306.3155,200.2009,294.3155
SHexCer(d14:1/19:1)+H,764.497703,684.5403,666.5297,522.4875,504.4769,486.4663,388.2693,226.2166,208.206,296.2948,196.206
SHexCer(d15:0/18:2)+H,764.497703,684.5403,666.5297,522.4875,504.4769,486.4663,404.3006,242.2478,224.2373,280.2635,212.2373
SHexCer(d15:1/18:1)+H,764.497703,684.5403,666.5297,522.4875,504.4769,486.4663,402.285,240.2322,222.2216,282.2791,210.2216
SHexCer(d17:0/16:2)+H,764.497703,684.5403,666.5297,522.4875,504.4769,486.4663,432.3319,270.2791,252.2686,252.2322,240.2686
SHexCer(d17:1/16:1)+H,764.497703,684.5403,666.5297,522.4875,504.4769,486.4663,430.3163,268.2635,250.2529,254.2478,238.2529
SHexCer(d18:1/15:1)+H,764.497703,684.5403,666.5297,522.4875,504.4769,486.4663,444.3319,282.2791,264.2686,240.2322,252.2686
SHexCer(d19:1/14:1)+H,764.497703,684.5403,666.5297,522.4875,504.4769,486.4663,458.3476,296.2948,278.2842,226.2166,266.2842
SHexCer(d20:1/13:1)+H,764.497703,684.5403,666.5297,522.4875,504.4769,486.4663,472.3632,310.3105,292.2999,212.2009,280.2999
SHexCer(d21:1/12:1)+H,764.497703,684.5403,666.5297,522.4875,504.4769,486.4663,486.3789,324.3261,306.3155,198.1853,294.3155
SHexCer(d15:1/18:2)+H,762.482103,682.5247,664.5142,520.4719,502.4613,484.4507,402.285,240.2322,222.2216,280.2635,210.2216
SHexCer(d17:1/16:2)+H,762.482103,682.5247,664.5142,520.4719,502.4613,484.4507,430.3163,268.2635,250.2529,252.2322,238.2529
SHexCer(d14:0/20:0)+H,782.544703,702.5873,684.5767,540.5345,522.5239,504.5133,390.285,228.2322,210.2216,312.3261,198.2216
SHexCer(d15:0/19:0)+H,782.544703,702.5873,684.5767,540.5345,522.5239,504.5133,404.3007,242.2478,224.2373,298.3105,212.2373
SHexCer(d16:0/18:0)+H,782.544703,702.5873,684.5767,540.5345,522.5239,504.5133,418.3163,256.2635,238.2529,284.2948,226.2529
SHexCer(d17:0/17:0)+H,782.544703,702.5873,684.5767,540.5345,522.5239,504.5133,432.332,270.2791,252.2686,270.2791,240.2686
SHexCer(d18:0/16:0)+H,782.544703,702.5873,684.5767,540.5345,522.5239,504.5133,446.3476,284.2948,266.2842,256.2635,254.2842
SHexCer(d19:0/15:0)+H,782.544703,702.5873,684.5767,540.5345,522.5239,504.5133,460.3633,298.3105,280.2999,242.2478,268.2999
SHexCer(d20:0/14:0)+H,782.544703,702.5873,684.5767,540.5345,522.5239,504.5133,474.3789,312.3261,294.3155,228.2322,282.3155
SHexCer(d21:0/13:0)+H,782.544703,702.5873,684.5767,540.5345,522.5239,504.5133,488.3946,326.3417,308.3312,214.2166,296.3312
SHexCer(d22:0/12:0)+H,782.544703,702.5873,684.5767,540.5345,522.5239,504.5133,502.4102,340.3574,322.3468,200.2009,310.3468
SHexCer(d14:0/20:1)+H,780.529003,700.5716,682.561,538.5188,520.5082,502.4977,390.285,228.2322,210.2216,310.3105,198.2216
SHexCer(d14:1/20:0)+H,780.529003,700.5716,682.561,538.5188,520.5082,502.4977,388.2693,226.2166,208.206,312.3261,196.206
SHexCer(d15:0/19:1)+H,780.529003,700.5716,682.561,538.5188,520.5082,502.4977,404.3006,242.2478,224.2373,296.2948,212.2373
SHexCer(d15:1/19:0)+H,780.529003,700.5716,682.561,538.5188,520.5082,502.4977,402.285,240.2322,222.2216,298.3105,210.2216
SHexCer(d16:0/18:1)+H,780.529003,700.5716,682.561,538.5188,520.5082,502.4977,418.3163,256.2635,238.2529,282.2791,226.2529
SHexCer(d16:1/18:0)+H,780.529003,700.5716,682.561,538.5188,520.5082,502.4977,416.3006,254.2478,236.2373,284.2948,224.2373
SHexCer(d17:1/17:0)+H,780.529003,700.5716,682.561,538.5188,520.5082,502.4977,430.3163,268.2635,250.2529,270.2791,238.2529
SHexCer(d18:0/16:1)+H,780.529003,700.5716,682.561,538.5188,520.5082,502.4977,446.3476,284.2948,266.2842,254.2478,254.2842
SHexCer(d18:1/16:0)+H,780.529003,700.5716,682.561,538.5188,520.5082,502.4977,444.3319,282.2791,264.2686,256.2635,252.2686
SHexCer(d19:0/15:1)+H,,700.5716,682.561,538.5188,520.5082,502.4977,460.3632,298.3105,280.2999,240.2322,268.2999
SHexCer(d19:1/15:0)+H,,700.5716,682.561,538.5188,520.5082,502.4977,458.3476,296.2948,278.2842,242.2478,266.2842
SHexCer(d20:0/14:1)+H,,700.5716,682.561,538.5188,520.5082,502.4977,474.3789,312.3261,294.3155,226.2166,282.3155
SHexCer(d20:1/14:0)+H,,700.5716,682.561,538.5188,520.5082,502.4977,472.3632,310.3105,292.2999,228.2322,280.2999
SHexCer(d21:0/13:1)+H,,700.5716,682.561,538.5188,520.5082,502.4977,488.3945,326.3417,308.3312,212.2009,296.3312
SHexCer(d21:1/13:0)+H,,700.5716,682.561,538.5188,520.5082,502.4977,486.3789,324.3261,306.3155,214.2166,294.3155
SHexCer(d22:0/12:1)+H,,700.5716,682.561,538.5188,520.5082,502.4977,502.4102,340.3574,322.3468,198.1853,310.3468
SHexCer(d22:1/12:0)+H,,700.5716,682.561,538.5188,520.5082,502.4977,500.3945,338.3417,320.3312,200.2009,308.3312
SHexCer(d14:0/20:2)+H,,698.556,680.5454,536.5032,518.4926,500.4821,390.285,228.2322,210.2216,308.2948,198.2216
SHexCer(d14:1/20:1)+H,,698.556,680.5454,536.5032,518.4926,500.4821,388.2694,226.2166,208.206,310.3105,196.206
SHexCer(d15:1/19:1)+H,,698.556,680.5454,536.5032,518.4926,500.4821,402.285,240.2322,222.2216,296.2948,210.2216
SHexCer(d16:0/18:2)+H,,698.556,680.5454,536.5032,518.4926,500.4821,418.3163,256.2635,238.2529,280.2635,226.2529
SHexCer(d16:1/18:1)+H,,698.556,680.5454,536.5032,518.4926,500.4821,416.3007,254.2478,236.2373,282.2791,224.2373
SHexCer(d18:0/16:2)+H,,698.556,680.5454,536.5032,518.4926,500.4821,446.3476,284.2948,266.2842,252.2322,254.2842
SHexCer(d18:1/16:1)+H,,698.556,680.5454,536.5032,518.4926,500.4821,444.332,282.2791,264.2686,254.2478,252.2686
SHexCer(d19:1/15:1)+H,,698.556,680.5454,536.5032,518.4926,500.4821,458.3476,296.2948,278.2842,240.2322,266.2842
SHexCer(d20:1/14:1)+H,,698.556,680.5454,536.5032,518.4926,500.4821,472.3633,310.3105,292.2999,226.2166,280.2999
SHexCer(d21:1/13:1)+H,,698.556,680.5454,536.5032,518.4926,500.4821,486.3789,324.3261,306.3155,212.2009,294.3155
SHexCer(d22:1/12:1)+H,,698.556,680.5454,536.5032,518.4926,500.4821,500.3946,338.3417,320.3312,198.1853,308.3312
SHexCer(d14:1/20:2)+H,,696.5403,678.5297,534.4875,516.4769,498.4663,388.2693,226.2166,208.206,308.2948,196.206
SHexCer(d16:1/18:2)+H,,696.5403,678.5297,534.4875,516.4769,498.4663,416.3006,254.2478,236.2373,280.2635,224.2373
SHexCer(d18:1/16:2)+H,,696.5403,678.5297,534.4875,516.4769,498.4663,444.3319,282.2791,264.2686,252.2322,252.2686
SHexCer(d14:0/21:0)+H,,716.6029,698.5923,554.5501,536.5395,518.5289,390.285,228.2322,210.2216,326.3417,198.2216
SHexCer(d15:0/20:0)+H,,716.6029,698.5923,554.5501,536.5395,518.5289,404.3006,242.2478,224.2373,312.3261,212.2373
SHexCer(d16:0/19:0)+H,,716.6029,698.5923,554.5501,536.5395,518.5289,418.3163,256.2635,238.2529,298.3105,226.2529
